Time after Ignition,Memory_Foam_Carpet_Pad_R1,Memory_Foam_Carpet_Pad_R2,Memory_Foam_Carpet_Pad_R3,Mean,Std. Dev.
16.25,349.6,383.4,362.5,365.2,17.0
16.5,348.2,383.9,370.0,367.4,18.0
16.75,350.7,401.4,368.3,373.4,25.8
17.0,361.0,406.3,372.1,379.8,23.6
17.25,364.4,389.8,374.2,376.1,12.8
17.5,363.1,406.3,376.0,381.8,22.2
17.75,373.0,415.2,389.6,392.6,21.3
18.0,365.7,420.2,390.3,392.1,27.3
18.25,377.2,418.4,385.1,393.6,21.8
18.5,371.0,421.4,395.3,395.9,25.2
18.75,386.6,423.1,389.3,399.7,20.4
19.0,392.6,421.2,393.5,402.4,16.3
19.25,396.8,424.3,401.0,407.3,14.8
19.5,394.7,419.1,403.3,405.7,12.4
19.75,405.7,429.5,407.9,414.4,13.1
20.0,393.8,441.5,416.8,417.3,23.8
20.25,403.8,454.5,427.3,428.6,25.4
20.5,413.7,451.8,430.4,432.0,19.1
20.75,413.8,470.1,417.0,433.6,31.6
21.0,401.6,463.6,449.0,438.1,32.4
21.25,410.6,478.0,445.5,444.7,33.7
21.5,424.5,496.0,443.9,454.8,36.9
21.75,413.6,484.6,463.3,453.8,36.4
22.0,406.8,494.0,472.8,457.9,45.5
22.25,426.5,502.0,463.9,464.1,37.7
22.5,442.8,488.0,480.6,470.5,24.3
22.75,435.2,521.1,471.5,476.0,43.1
23.0,445.2,527.6,521.3,498.0,45.8
23.25,444.4,528.4,507.4,493.4,43.7
23.5,450.2,524.8,533.6,502.9,45.9
23.75,448.9,552.7,535.6,512.4,55.6
24.0,455.3,543.2,542.7,513.7,50.6
24.25,462.8,547.9,570.7,527.2,56.9
24.5,475.1,567.7,577.5,540.1,56.5
24.75,479.2,563.9,574.1,539.1,52.1
25.0,499.4,586.8,560.2,548.8,44.8
25.25,497.1,578.6,586.1,554.0,49.4
25.5,496.2,602.9,614.0,571.0,65.0
25.75,531.1,595.1,611.5,579.3,42.5
26.0,527.5,613.7,599.7,580.3,46.3
26.25,542.4,585.3,613.4,580.4,35.7
26.5,534.4,596.8,636.2,589.1,51.3
26.75,523.9,625.2,634.5,594.5,61.3
27.0,546.2,592.8,629.5,589.5,41.8
27.25,558.4,615.2,649.6,607.7,46.1
27.5,548.1,629.1,643.3,606.8,51.4
27.75,568.6,632.6,656.8,619.3,45.6
28.0,565.9,628.8,666.8,620.5,50.9
28.25,577.0,656.2,648.0,627.1,43.5
28.5,571.2,674.0,683.2,642.8,62.2
28.75,568.7,660.3,687.9,639.0,62.4
29.0,576.2,653.3,671.2,633.6,50.5
29.25,571.0,664.4,676.7,637.3,57.8
29.5,577.7,657.7,652.8,629.4,44.8
29.75,573.0,686.4,686.8,648.7,65.6
30.0,581.2,695.0,694.5,656.9,65.6
30.25,596.6,663.7,701.2,653.8,53.0
30.5,599.7,684.6,692.4,658.9,51.4
30.75,596.8,698.4,705.7,667.0,60.9
31.0,587.3,719.8,692.3,666.5,69.9
31.25,571.2,729.3,726.1,675.5,90.4
31.5,589.8,710.4,727.9,676.0,75.2
31.75,598.7,735.4,754.7,696.3,85.1
32.0,595.5,746.2,735.2,692.3,84.0
32.25,596.7,716.1,710.7,674.5,67.5
32.5,610.1,772.3,743.9,708.8,86.6
32.75,593.8,728.5,782.9,701.7,97.4
33.0,607.0,743.3,750.7,700.3,80.9
33.25,600.9,761.2,716.2,692.8,82.7
33.5,594.3,765.6,757.6,705.8,96.7
33.75,594.9,760.6,781.9,712.5,102.4
34.0,593.6,771.1,779.1,714.6,104.9
34.25,576.1,741.6,802.1,706.6,117.0
34.5,622.4,795.2,724.8,714.1,86.9
34.75,607.8,766.7,809.4,728.0,106.3
35.0,593.7,792.2,766.8,717.6,108.0
35.25,591.4,821.5,803.3,738.7,127.9
35.5,604.8,763.9,815.8,728.2,110.0
35.75,616.9,764.0,835.7,738.9,111.5
36.0,607.2,796.1,824.0,742.5,118.0
36.25,606.7,836.7,834.6,759.4,132.2
36.5,602.5,804.3,870.5,759.1,139.6
36.75,625.9,832.1,840.3,766.1,121.5
37.0,610.0,828.0,839.4,759.1,129.3
37.25,621.9,849.8,864.7,778.8,136.1
37.5,628.3,885.6,855.1,789.7,140.6
37.75,608.8,881.6,917.4,802.6,168.7
38.0,645.8,823.9,858.2,776.0,114.0
38.25,612.2,922.3,881.9,805.5,168.5
38.5,643.6,877.4,910.8,810.6,145.6
38.75,653.9,859.1,900.6,804.5,132.1
39.0,623.4,878.0,934.0,811.8,165.6
39.25,652.6,936.1,977.6,855.5,176.9
39.5,651.6,885.5,883.9,807.0,134.6
39.75,649.9,924.7,929.7,834.7,160.1
40.0,656.3,910.9,948.6,838.6,159.0
40.25,677.7,897.8,962.2,845.9,149.2
40.5,656.5,928.7,952.6,845.9,164.5
40.75,653.5,920.5,987.4,853.8,176.7
41.0,678.2,998.0,1007.1,894.5,187.4
41.25,684.2,964.6,970.0,872.9,163.5
41.5,705.1,957.3,963.4,875.3,147.4
41.75,698.0,966.6,981.9,882.2,159.7
42.0,718.3,953.3,998.3,890.0,150.4
42.25,704.0,1015.9,995.0,905.0,174.4
42.5,694.6,986.7,1063.7,915.0,194.7
42.75,741.3,1019.7,1016.8,925.9,159.9
43.0,733.9,982.4,981.5,899.3,143.2
43.25,741.6,1059.9,1028.4,943.3,175.4
43.5,727.3,1001.1,1039.1,922.5,170.1
43.75,747.2,1067.3,991.1,935.2,167.2
44.0,741.2,1030.5,1065.4,945.7,177.9
44.25,721.1,1069.2,1042.5,944.3,193.7
44.5,765.5,1045.9,1088.9,966.8,175.6
44.75,723.9,1078.3,1068.7,957.0,201.9
45.0,728.9,1142.9,1119.1,997.0,232.5
45.25,761.6,984.4,1133.0,959.7,187.0
45.5,743.9,1122.9,1130.9,999.2,221.2
45.75,758.2,1091.0,1092.3,980.5,192.5
46.0,772.7,1067.2,1093.0,977.6,178.0
46.25,745.3,1141.1,1106.0,997.5,219.1
46.5,804.1,1135.9,1123.0,1021.0,188.0
46.75,760.0,1192.1,1136.5,1029.5,235.1
47.0,790.0,1084.9,1078.8,984.5,168.5
47.25,776.4,1106.7,1114.5,999.2,193.0
47.5,832.2,1175.2,1119.7,1042.4,184.1
47.75,784.0,1057.1,1130.2,990.4,182.5
48.0,812.0,1133.5,1124.0,1023.2,182.9
48.25,845.4,1085.6,1139.1,1023.4,156.4
48.5,855.2,1165.8,1198.4,1073.1,189.4
48.75,838.5,1150.3,1140.9,1043.2,177.4
49.0,854.9,1223.8,1205.5,1094.7,207.9
49.25,861.4,1079.7,1225.6,1055.6,183.3
49.5,856.2,1044.4,1126.4,1009.0,138.5
49.75,879.4,1156.5,1135.2,1057.0,154.2
50.0,892.3,1137.8,1164.4,1064.8,150.0
50.25,893.1,1163.0,1234.4,1096.8,180.0
50.5,875.7,1157.3,1103.9,1045.6,149.5
50.75,953.0,1150.2,1137.3,1080.2,110.3
51.0,936.5,1180.8,1146.6,1088.0,132.3
51.25,930.4,1022.0,1246.7,1066.4,162.8
51.5,916.7,1155.4,1177.4,1083.1,144.6
51.75,998.5,1192.2,1264.5,1151.7,137.5
52.0,933.6,1159.4,1235.8,1109.6,157.1
52.25,1034.4,1100.5,1188.4,1107.8,77.3
52.5,983.0,1151.0,1236.9,1123.6,129.2
52.75,936.4,1176.0,1230.4,1114.3,156.4
53.0,1044.3,1172.3,1211.2,1142.6,87.3
53.25,1016.1,1203.8,1260.8,1160.2,128.1
53.5,886.9,1097.6,1216.0,1066.8,166.7
53.75,983.0,1211.8,1185.5,1126.8,125.2
54.0,982.0,1154.5,1277.5,1138.0,148.5
54.25,1034.2,1253.6,1249.0,1178.9,125.3
54.5,999.2,1207.3,1219.0,1141.8,123.7
54.75,993.6,1153.8,1167.3,1104.9,96.6
55.0,1006.6,1093.8,1265.1,1121.8,131.6
55.25,982.6,1171.4,1193.7,1115.9,116.0
55.5,1015.7,1158.8,1258.9,1144.5,122.2
55.75,1105.6,1123.5,1205.3,1144.8,53.2
56.0,999.2,1108.0,1160.6,1089.3,82.3
56.25,1047.4,1188.8,1158.8,1131.7,74.5
56.5,1071.6,1142.3,1151.8,1121.9,43.8
56.75,1018.4,1095.9,1141.5,1085.3,62.2
57.0,1025.7,1117.5,1129.8,1091.0,56.9
57.25,975.0,1138.8,1162.7,1092.2,102.2
57.5,1004.8,1070.0,1159.8,1078.2,77.8
57.75,1045.7,1117.3,1125.4,1096.1,43.9
58.0,1056.7,1140.3,1137.4,1111.5,47.4
58.25,1013.5,1103.1,1087.7,1068.1,47.9
58.5,1080.3,1039.1,1085.7,1068.4,25.5
58.75,1030.4,1065.9,1064.4,1053.6,20.1
59.0,1056.6,1062.3,1028.0,1049.0,18.4
59.25,1005.2,1088.0,1010.1,1034.4,46.5
59.5,974.4,1036.0,1052.0,1020.8,41.0
59.75,1017.4,1026.1,981.3,1008.3,23.8
60.0,970.1,1051.5,992.8,1004.8,42.0
60.25,1007.3,1014.8,980.9,1001.0,17.8
60.5,941.2,998.7,951.8,963.9,30.6
60.75,1009.7,984.3,917.4,970.5,47.7
61.0,996.2,986.4,917.5,966.7,42.9
61.25,956.5,968.1,894.8,939.8,39.4
61.5,978.0,953.8,878.7,936.8,51.8
61.75,992.5,919.6,832.2,914.8,80.2
62.0,879.8,928.4,847.8,885.3,40.6
62.25,931.8,911.3,823.7,888.9,57.4
62.5,926.7,887.2,797.3,870.4,66.3
62.75,946.0,858.8,773.6,859.5,86.2
63.0,908.5,861.1,741.3,837.0,86.2
63.25,864.2,808.0,728.0,800.1,68.5
63.5,877.7,784.7,723.3,795.2,77.8
63.75,878.0,790.4,696.9,788.4,90.5
64.0,879.1,742.5,660.2,760.6,110.5
64.25,905.5,735.8,634.8,758.7,136.8
64.5,864.6,705.8,615.0,728.5,126.4
64.75,847.3,694.0,584.8,708.7,131.8
65.0,822.2,667.1,553.9,681.1,134.7
65.25,846.3,644.4,542.4,677.7,154.7
65.5,813.9,622.4,511.2,649.1,153.1
65.75,795.8,600.8,480.9,625.8,158.9
66.0,809.7,594.8,455.0,619.9,178.7
66.25,788.2,560.4,430.6,593.1,181.0
66.5,811.9,548.5,414.1,591.5,202.3
66.75,797.6,528.0,404.3,576.7,201.1
67.0,796.2,508.3,376.1,560.2,214.8
67.25,766.8,493.4,355.8,538.6,209.2
67.5,751.9,476.9,334.8,521.2,212.0
67.75,749.1,456.8,326.6,510.8,216.4
68.0,743.5,439.4,303.4,495.4,225.4
68.25,749.3,440.2,291.7,493.8,233.5
68.5,720.8,431.6,278.2,476.9,224.8
68.75,709.0,402.6,267.7,459.7,226.1
69.0,691.5,384.9,251.9,442.8,225.5
69.25,681.5,363.5,238.1,427.7,228.5
69.5,666.6,350.1,229.1,415.3,225.9
69.75,665.4,327.6,220.5,404.5,232.2
70.0,653.6,311.8,,482.7,241.7
70.25,639.5,296.4,,468.0,242.6
70.5,637.1,282.7,,459.9,250.6
70.75,618.0,268.6,,443.3,247.1
71.0,606.6,250.6,,428.6,251.7
71.25,581.6,241.3,,411.4,240.6
71.5,593.6,228.5,,411.0,258.2
71.75,563.8,218.7,,391.2,244.0
72.0,558.7,205.1,,381.9,250.1
72.25,542.7,190.4,,366.6,249.1
72.5,531.8,181.9,,356.9,247.4
72.75,520.4,172.5,,346.5,246.0
73.0,515.5,162.9,,339.2,249.3
73.25,499.2,153.1,,326.2,244.7
73.5,481.4,144.9,,313.1,237.9
73.75,474.3,,,474.3,
74.0,466.5,,,466.5,
74.25,452.9,,,452.9,
74.5,442.1,,,442.1,
74.75,438.0,,,438.0,
75.0,426.9,,,426.9,
75.25,416.3,,,416.3,
75.5,405.0,,,405.0,
75.75,400.4,,,400.4,
76.0,391.9,,,391.9,
76.25,386.6,,,386.6,
76.5,381.6,,,381.6,
76.75,367.5,,,367.5,
77.0,359.8,,,359.8,
77.25,362.5,,,362.5,
77.5,350.6,,,350.6,
77.75,342.5,,,342.5,
78.0,331.5,,,331.5,
78.25,322.5,,,322.5,
78.5,317.4,,,317.4,
78.75,309.3,,,309.3,
79.0,289.1,,,289.1,
79.25,289.0,,,289.0,
79.5,280.8,,,280.8,
79.75,272.0,,,272.0,
80.0,260.9,,,260.9,
80.25,254.0,,,254.0,
80.5,247.6,,,247.6,
80.75,237.3,,,237.3,
81.0,225.6,,,225.6,
81.25,219.1,,,219.1,
81.5,211.1,,,211.1,
81.75,205.6,,,205.6,
82.0,200.7,,,200.7,
82.25,189.8,,,189.8,
82.5,185.3,,,185.3,
82.75,178.3,,,178.3,
83.0,174.9,,,174.9,
83.25,168.5,,,168.5,
83.5,163.2,,,163.2,
83.75,155.8,,,155.8,
84.0,155.3,,,155.3,
84.25,147.1,,,147.1,
84.5,142.0,,,142.0,
84.75,139.5,,,139.5,
85.0,136.7,,,136.7,
85.25,130.3,,,130.3,
85.5,127.7,,,127.7,
85.75,122.6,,,122.6,
86.0,117.9,,,117.9,
86.25,116.3,,,116.3,
86.5,111.1,,,111.1,
86.75,107.5,,,107.5,
87.0,104.1,,,104.1,
87.25,100.3,,,100.3,
87.5,98.4,,,98.4,
87.75,95.9,,,95.9,
88.0,92.3,,,92.3,
88.25,89.2,,,89.2,
88.5,86.4,,,86.4,
88.75,83.0,,,83.0,
89.0,81.1,,,81.1,
89.25,79.5,,,79.5,
89.5,77.3,,,77.3,
89.75,75.7,,,75.7,
90.0,74.2,,,74.2,
90.25,73.5,,,73.5,
90.5,70.8,,,70.8,
90.75,70.0,,,70.0,
91.0,68.7,,,68.7,
91.25,67.2,,,67.2,
91.5,65.7,,,65.7,
91.75,65.2,,,65.2,
92.0,63.7,,,63.7,
92.25,63.2,,,63.2,
92.5,62.4,,,62.4,
92.75,60.9,,,60.9,
93.0,60.5,,,60.5,
93.25,60.5,,,60.5,
93.5,59.6,,,59.6,
93.75,58.4,,,58.4,
94.0,57.9,,,57.9,
94.25,56.3,,,56.3,
94.5,55.7,,,55.7,
94.75,55.0,,,55.0,
95.0,54.6,,,54.6,
95.25,53.3,,,53.3,
95.5,52.3,,,52.3,
95.75,51.8,,,51.8,
96.0,50.0,,,50.0,
96.25,50.4,,,50.4,
96.5,49.8,,,49.8,
96.75,48.0,,,48.0,
97.0,48.0,,,48.0,
97.25,47.0,,,47.0,
97.5,46.3,,,46.3,
97.75,45.1,,,45.1,
98.0,45.0,,,45.0,
98.25,44.7,,,44.7,
98.5,43.8,,,43.8,
98.75,43.2,,,43.2,
99.0,42.6,,,42.6,
99.25,42.3,,,42.3,
99.5,41.7,,,41.7,
99.75,41.5,,,41.5,
100.0,40.2,,,40.2,
100.25,39.4,,,39.4,
100.5,39.0,,,39.0,
100.75,38.6,,,38.6,
101.0,37.9,,,37.9,
101.25,37.5,,,37.5,
101.5,37.4,,,37.4,
101.75,36.7,,,36.7,
102.0,36.5,,,36.5,
102.25,35.8,,,35.8,
102.5,35.1,,,35.1,
102.75,35.1,,,35.1,
103.0,35.0,,,35.0,
103.25,34.2,,,34.2,
103.5,33.9,,,33.9,
103.75,33.8,,,33.8,
104.0,33.7,,,33.7,
104.25,33.3,,,33.3,
104.5,33.3,,,33.3,
104.75,32.6,,,32.6,
105.0,33.2,,,33.2,
105.25,32.5,,,32.5,
105.5,32.8,,,32.8,
105.75,32.2,,,32.2,
106.0,32.0,,,32.0,
