Names,Rug_Pad_R1,Rug_Pad_R2,Rug_Pad_R3,Mean,Std. Dev.
157,75.9,77.0,90.3,81.0,8.0
158,74.9,76.0,87.5,79.5,7.0
159,73.7,75.2,86.3,78.4,6.9
160,73.3,72.8,86.0,77.4,7.5
161,71.5,72.5,85.0,76.3,7.5
162,71.0,70.9,83.8,75.2,7.4
163,69.5,68.7,84.0,74.1,8.6
164,68.1,68.1,82.3,72.8,8.2
165,67.8,66.8,81.2,71.9,8.0
166,67.8,65.4,80.6,71.3,8.1
167,66.0,66.4,81.2,71.2,8.6
168,65.9,64.5,80.1,70.2,8.6
169,64.3,63.6,79.2,69.0,8.8
170,64.6,62.5,78.9,68.6,8.9
171,63.5,61.6,78.2,67.8,9.1
172,61.9,60.7,78.4,67.0,9.9
173,62.2,60.0,78.0,66.7,9.8
174,61.0,59.2,76.7,65.7,9.6
175,60.9,57.9,78.5,65.8,11.1
176,60.3,58.7,77.8,65.6,10.6
177,59.2,57.6,76.1,64.3,10.3
178,58.4,56.2,76.9,63.8,11.4
179,58.3,56.2,77.9,64.1,11.9
180,58.5,55.2,76.3,63.3,11.4
181,57.7,54.7,76.7,63.0,11.9
182,56.7,54.5,75.2,62.2,11.4
183,57.4,54.5,75.2,62.4,11.2
184,57.4,53.6,75.4,62.1,11.7
185,57.1,52.5,75.6,61.7,12.2
186,57.1,51.8,74.9,61.3,12.1
187,56.3,52.0,75.4,61.2,12.5
188,56.3,51.0,75.2,60.9,12.7
189,56.8,50.9,74.6,60.8,12.4
190,56.1,50.3,73.6,60.0,12.1
191,55.5,51.0,74.6,60.3,12.5
192,55.2,50.3,74.7,60.1,12.9
193,54.2,49.2,74.3,59.2,13.3
194,54.6,50.0,73.9,59.5,12.7
195,54.0,48.4,74.8,59.1,13.9
196,53.8,48.9,74.9,59.2,13.8
197,53.3,48.5,75.1,59.0,14.1
198,53.0,48.4,74.1,58.5,13.7
199,52.8,47.4,73.9,58.1,14.0
200,52.0,48.1,75.3,58.5,14.7
201,51.7,48.0,74.1,58.0,14.1
202,51.9,48.1,74.3,58.1,14.2
203,51.8,47.7,74.0,57.8,14.2
204,51.3,48.2,74.9,58.1,14.6
205,51.0,48.0,75.2,58.1,14.9
206,51.4,47.3,74.7,57.8,14.8
207,50.6,47.4,74.3,57.4,14.7
208,50.4,46.7,76.2,57.8,16.0
209,50.3,47.6,75.2,57.7,15.2
210,50.0,47.6,76.2,57.9,15.9
211,49.5,47.7,74.9,57.4,15.2
212,50.0,47.3,74.8,57.4,15.2
213,49.0,47.6,74.4,57.0,15.1
214,49.9,48.0,75.8,57.9,15.6
215,49.0,47.2,74.2,56.8,15.1
216,49.2,47.5,73.8,56.8,14.7
217,48.7,47.8,74.2,56.9,15.0
218,48.7,47.4,74.0,56.7,15.0
219,48.5,47.9,73.2,56.5,14.4
220,47.7,47.0,74.2,56.3,15.5
221,48.5,46.6,73.2,56.1,14.8
222,48.8,47.1,73.1,56.3,14.6
223,49.0,47.5,73.5,56.7,14.6
224,48.3,47.1,73.1,56.2,14.7
225,48.1,46.9,72.7,55.9,14.6
226,47.8,47.0,72.7,55.8,14.6
227,48.7,46.8,73.2,56.2,14.7
