Time after Ignition,Rug_Pad_R1,Rug_Pad_R2,Rug_Pad_R3,Mean,Std. Dev.
23.0,338.8,326.5,304.9,323.4,17.1
23.25,333.7,323.8,309.6,322.4,12.1
23.5,331.8,315.3,310.5,319.2,11.2
23.75,329.2,319.3,305.8,318.1,11.7
24.0,319.6,317.3,306.2,314.3,7.2
24.25,314.5,302.9,302.8,306.7,6.7
24.5,314.6,300.4,301.4,305.4,7.9
24.75,302.4,301.5,295.1,299.7,4.0
25.0,296.1,290.9,293.6,293.5,2.6
25.25,292.6,285.4,290.5,289.5,3.7
25.5,280.5,278.9,286.3,281.9,3.9
25.75,276.4,278.8,288.9,281.3,6.7
26.0,273.7,268.8,280.8,274.4,6.0
26.25,266.9,263.6,279.2,269.9,8.2
26.5,265.3,256.2,274.6,265.4,9.2
26.75,264.6,250.9,270.9,262.1,10.2
27.0,256.6,248.1,269.4,258.0,10.7
27.25,249.6,246.3,262.4,252.8,8.5
27.5,244.5,236.8,254.4,245.2,8.8
27.75,241.9,230.8,251.5,241.4,10.3
28.0,239.5,230.0,253.8,241.1,12.0
28.25,232.9,219.8,244.9,232.5,12.6
28.5,228.9,220.9,240.0,230.0,9.6
28.75,221.8,211.9,233.2,222.3,10.7
29.0,219.7,208.0,231.3,219.7,11.7
29.25,216.2,204.5,225.8,215.5,10.6
29.5,210.8,201.7,223.1,211.9,10.8
29.75,205.7,198.8,223.6,209.4,12.8
30.0,204.1,189.9,216.4,203.5,13.2
30.25,199.9,186.4,214.2,200.1,13.9
30.5,194.9,183.1,211.2,196.4,14.1
30.75,185.9,180.7,213.4,193.3,17.6
31.0,185.4,175.7,205.3,188.8,15.1
31.25,183.4,170.3,202.7,185.5,16.3
31.5,179.1,166.4,197.5,181.0,15.6
31.75,170.9,166.8,195.2,177.6,15.4
32.0,166.7,157.5,194.5,172.9,19.3
32.25,162.3,152.8,186.7,167.2,17.5
32.5,160.8,150.7,186.6,166.0,18.5
32.75,157.6,147.2,180.3,161.7,17.0
33.0,152.8,141.5,176.9,157.1,18.1
33.25,148.1,138.9,173.2,153.4,17.8
33.5,145.0,135.5,169.3,150.0,17.4
33.75,143.9,133.1,167.7,148.2,17.7
34.0,138.4,130.0,163.9,144.1,17.7
34.25,136.1,126.7,162.2,141.6,18.4
34.5,133.5,122.8,158.7,138.4,18.4
34.75,131.8,120.4,152.2,134.8,16.1
35.0,129.8,118.0,151.0,132.9,16.7
35.25,124.9,114.7,150.6,130.1,18.5
35.5,123.5,112.8,146.3,127.5,17.1
35.75,118.0,111.3,140.2,123.1,15.1
36.0,116.8,109.2,137.5,121.1,14.7
36.25,115.3,107.2,135.4,119.3,14.5
36.5,112.4,102.8,134.4,116.5,16.2
36.75,109.9,100.2,131.3,113.8,15.9
37.0,108.9,99.4,130.1,112.8,15.7
37.25,107.9,97.7,126.7,110.8,14.7
37.5,104.1,94.2,123.3,107.2,14.8
37.75,102.8,91.9,121.9,105.5,15.2
38.0,98.6,90.4,120.3,103.1,15.5
38.25,99.1,88.6,119.0,102.3,15.4
38.5,96.3,86.0,116.1,99.5,15.3
38.75,95.4,84.7,113.9,98.0,14.7
39.0,93.7,81.8,112.2,95.9,15.3
39.25,89.8,80.3,110.6,93.6,15.5
39.5,89.9,80.1,110.5,93.5,15.5
39.75,87.5,77.3,106.8,90.5,15.0
40.0,86.3,76.0,105.3,89.2,14.9
40.25,85.6,75.0,103.8,88.1,14.5
40.5,83.5,72.5,103.5,86.5,15.7
40.75,83.5,72.1,100.0,85.2,14.0
41.0,80.8,70.5,99.6,83.6,14.7
41.25,81.6,69.2,95.5,82.1,13.1
41.5,79.3,69.2,95.3,81.3,13.1
41.75,78.6,67.2,93.9,79.9,13.4
42.0,79.1,65.8,92.9,79.3,13.5
42.25,76.2,65.3,91.6,77.7,13.3
42.5,76.4,63.7,91.0,77.1,13.6
42.75,74.6,62.5,88.0,75.0,12.7
43.0,73.0,62.3,88.6,74.6,13.2
43.25,71.9,61.4,86.4,73.2,12.6
43.5,71.6,60.1,84.2,71.9,12.0
43.75,71.1,59.5,83.0,71.2,11.7
44.0,69.2,58.7,82.8,70.2,12.1
44.25,68.3,57.9,81.3,69.1,11.7
44.5,67.6,57.8,80.4,68.6,11.3
44.75,67.2,56.5,79.1,67.6,11.3
45.0,65.8,56.1,77.7,66.5,10.9
45.25,65.0,55.9,77.4,66.1,10.8
45.5,63.4,55.0,76.9,65.1,11.1
45.75,63.1,55.0,75.3,64.5,10.3
46.0,62.4,53.5,74.3,63.4,10.4
46.25,62.2,53.0,73.1,62.7,10.0
46.5,61.8,52.0,73.4,62.4,10.7
46.75,61.7,51.1,72.1,61.6,10.5
47.0,60.4,50.5,71.6,60.9,10.6
47.25,60.5,50.2,71.1,60.6,10.4
47.5,59.8,49.4,69.9,59.7,10.2
47.75,59.0,48.7,69.7,59.1,10.5
48.0,58.7,48.4,68.8,58.6,10.2
48.25,58.0,48.2,68.3,58.2,10.0
48.5,58.2,47.5,67.9,57.9,10.2
48.75,56.6,47.2,67.6,57.1,10.2
49.0,57.3,47.2,65.7,56.7,9.2
49.25,56.4,46.8,66.9,56.7,10.1
49.5,55.8,46.4,65.2,55.8,9.4
49.75,56.1,46.3,65.5,56.0,9.6
50.0,55.4,45.9,66.7,56.0,10.4
50.25,55.3,45.1,64.4,54.9,9.7
50.5,53.8,44.5,64.2,54.2,9.9
50.75,54.5,44.1,64.9,54.5,10.4
51.0,53.7,43.7,65.8,54.4,11.1
51.25,53.3,43.8,63.0,53.3,9.6
51.5,52.7,43.3,62.3,52.8,9.5
51.75,53.0,42.4,62.8,52.7,10.2
52.0,52.6,42.5,61.6,52.2,9.5
52.25,51.5,42.9,62.1,52.2,9.6
52.5,51.6,42.9,61.9,52.1,9.5
52.75,51.1,42.6,61.1,51.6,9.2
53.0,50.2,42.1,60.5,50.9,9.2
53.25,50.5,41.8,59.7,50.7,8.9
53.5,50.6,42.3,59.9,50.9,8.8
53.75,49.7,42.0,60.3,50.6,9.2
54.0,49.7,41.6,60.1,50.5,9.3
54.25,49.6,40.9,59.8,50.1,9.5
54.5,48.9,41.5,58.9,49.8,8.7
54.75,49.1,40.6,59.8,49.8,9.6
55.0,48.6,40.6,58.9,49.4,9.2
55.25,48.0,41.1,58.8,49.3,8.9
55.5,47.9,41.3,58.6,49.3,8.7
55.75,47.9,40.3,57.1,48.4,8.4
56.0,47.1,40.5,57.5,48.4,8.6
56.25,47.6,39.4,57.5,48.2,9.1
56.5,46.9,40.4,56.2,47.8,8.0
56.75,46.8,39.3,56.6,47.6,8.7
57.0,46.8,38.8,57.4,47.6,9.4
57.25,46.1,38.6,55.4,46.7,8.4
57.5,45.7,38.5,55.5,46.6,8.6
57.75,45.6,38.9,55.5,46.7,8.3
58.0,46.0,38.7,55.6,46.7,8.5
58.25,45.3,38.3,55.9,46.5,8.9
58.5,45.3,38.0,54.9,46.1,8.5
58.75,45.2,37.6,55.0,46.0,8.7
59.0,44.7,37.6,54.9,45.8,8.7
59.25,44.2,37.6,54.4,45.4,8.4
59.5,43.7,36.9,54.8,45.1,9.0
59.75,43.5,36.5,54.6,44.9,9.1
60.0,43.7,36.3,53.8,44.6,8.8
60.25,43.3,36.1,53.7,44.4,8.9
60.5,43.0,35.7,53.7,44.2,9.0
60.75,43.1,35.5,53.4,44.0,9.0
61.0,42.8,36.0,53.3,44.1,8.7
61.25,42.4,35.3,53.3,43.7,9.1
61.5,42.8,36.0,53.0,44.0,8.6
61.75,42.5,35.2,52.3,43.3,8.6
62.0,42.1,34.9,52.3,43.1,8.7
62.25,41.9,34.9,51.9,42.9,8.5
62.5,41.9,35.2,51.9,43.0,8.4
62.75,41.5,34.6,51.6,42.6,8.6
63.0,41.3,34.4,51.5,42.4,8.6
63.25,40.9,34.5,51.4,42.3,8.5
63.5,40.8,34.6,50.1,41.9,7.8
63.75,41.2,34.3,51.4,42.3,8.6
64.0,40.8,33.9,50.9,41.9,8.5
64.25,40.2,33.5,50.5,41.4,8.6
64.5,40.3,33.6,50.2,41.4,8.4
64.75,40.3,33.3,50.4,41.3,8.6
65.0,40.2,33.3,49.6,41.0,8.2
65.25,40.3,33.3,49.4,41.0,8.1
65.5,39.6,33.3,49.5,40.8,8.2
65.75,39.5,33.1,49.6,40.7,8.3
66.0,39.2,33.1,49.7,40.7,8.4
66.25,38.8,32.9,49.7,40.5,8.6
66.5,38.8,32.6,50.4,40.6,9.0
66.75,39.1,32.9,49.2,40.4,8.2
67.0,38.7,33.2,49.0,40.3,8.0
67.25,37.9,32.5,49.7,40.0,8.8
67.5,39.0,32.7,49.3,40.3,8.4
67.75,38.2,33.0,48.7,40.0,8.0
68.0,38.2,32.6,48.4,39.7,8.0
68.25,37.6,32.8,48.2,39.5,7.9
68.5,38.0,32.5,48.6,39.7,8.2
68.75,37.3,32.4,48.9,39.5,8.5
69.0,37.1,32.2,47.9,39.1,8.0
69.25,37.2,32.7,48.5,39.5,8.2
69.5,37.4,32.5,47.5,39.1,7.6
69.75,36.8,32.6,47.0,38.8,7.4
70.0,36.7,32.5,47.1,38.8,7.5
70.25,36.4,32.5,47.4,38.8,7.8
70.5,36.2,32.3,46.5,38.3,7.3
70.75,36.1,32.0,47.4,38.5,8.0
71.0,35.8,32.0,46.2,38.0,7.4
71.25,35.4,32.1,46.4,38.0,7.5
71.5,36.0,31.9,46.3,38.1,7.4
71.75,35.5,31.2,46.1,37.6,7.7
72.0,35.2,32.0,46.2,37.8,7.5
72.25,35.0,31.6,45.8,37.5,7.4
72.5,34.3,31.7,45.7,37.2,7.4
72.75,34.3,31.3,46.3,37.3,7.9
73.0,34.0,31.7,45.2,37.0,7.3
73.25,34.0,31.2,44.7,36.6,7.2
73.5,33.9,31.5,45.3,36.9,7.4
73.75,33.7,31.0,44.9,36.6,7.4
74.0,33.3,31.0,44.6,36.3,7.3
74.25,33.5,30.7,45.3,36.5,7.7
74.5,33.3,30.6,44.8,36.2,7.5
74.75,32.8,30.8,45.0,36.2,7.7
75.0,32.8,30.9,44.8,36.2,7.5
75.25,33.3,30.7,44.8,36.3,7.5
75.5,32.5,30.4,44.0,35.6,7.4
75.75,32.4,30.5,44.1,35.6,7.3
76.0,32.2,30.6,43.5,35.4,7.0
76.25,31.8,30.5,44.2,35.5,7.6
76.5,31.5,30.2,43.5,35.1,7.3
76.75,31.3,30.3,43.3,35.0,7.3
77.0,30.9,30.3,43.0,34.7,7.2
77.25,30.9,30.0,43.4,34.8,7.5
77.5,30.5,30.0,42.9,34.5,7.3
77.75,29.9,29.8,42.8,34.2,7.5
78.0,30.3,29.9,42.6,34.3,7.2
78.25,30.0,29.8,42.5,34.1,7.3
78.5,29.8,29.7,42.7,34.1,7.5
78.75,29.9,29.6,41.8,33.7,6.9
79.0,29.3,29.1,41.6,33.3,7.2
79.25,29.2,29.5,41.6,33.4,7.0
79.5,29.5,29.3,41.4,33.4,6.9
79.75,29.1,29.4,40.9,33.1,6.7
80.0,28.9,29.0,41.2,33.0,7.1
80.25,29.3,29.1,40.7,33.0,6.7
80.5,28.8,28.8,41.3,33.0,7.2
80.75,28.7,29.0,40.5,32.7,6.8
81.0,28.9,28.8,40.9,32.8,7.0
81.25,28.6,28.3,40.6,32.5,7.0
81.5,28.5,28.5,40.2,32.4,6.7
81.75,28.7,28.9,39.8,32.5,6.4
82.0,28.5,28.1,39.5,32.0,6.5
82.25,28.3,28.7,39.8,32.2,6.5
82.5,28.8,28.2,39.5,32.1,6.4
82.75,28.3,28.2,39.1,31.9,6.3
83.0,28.1,28.4,38.8,31.8,6.1
83.25,28.2,28.1,38.3,31.5,5.9
83.5,28.1,28.5,38.4,31.7,5.8
83.75,27.8,28.2,38.1,31.3,5.9
84.0,27.7,28.0,37.8,31.2,5.8
84.25,27.6,27.9,38.0,31.2,5.9
84.5,27.4,27.8,37.6,30.9,5.8
84.75,27.5,27.7,37.1,30.8,5.5
85.0,27.7,27.8,37.3,30.9,5.5
85.25,27.6,27.8,37.8,31.0,5.8
85.5,27.3,27.3,37.0,30.5,5.6
85.75,27.3,27.5,36.7,30.5,5.4
86.0,27.0,27.5,36.8,30.4,5.5
86.25,27.1,27.6,36.8,30.5,5.5
86.5,27.4,27.7,37.0,30.7,5.4
86.75,27.1,27.5,36.9,30.5,5.6
87.0,27.5,27.4,36.3,30.4,5.1
87.25,27.0,27.2,36.2,30.1,5.3
87.5,26.9,27.3,36.2,30.1,5.3
87.75,26.8,26.8,35.5,29.7,5.0
88.0,27.2,26.7,35.3,29.7,4.9
88.25,26.6,26.8,35.0,29.5,4.8
88.5,26.9,26.4,35.0,29.4,4.9
88.75,26.5,26.5,34.9,29.3,4.9
89.0,26.5,26.5,34.0,29.0,4.3
89.25,26.3,26.5,34.2,29.0,4.5
89.5,26.4,26.2,33.8,28.8,4.3
89.75,25.9,26.3,33.4,28.5,4.2
90.0,26.4,26.3,33.1,28.6,3.9
90.25,26.3,26.3,33.7,28.8,4.3
90.5,26.4,26.5,33.1,28.7,3.8
90.75,26.0,26.0,32.2,28.1,3.5
91.0,26.3,26.0,32.2,28.2,3.5
91.25,26.4,26.0,32.0,28.1,3.4
91.5,26.5,25.6,31.7,27.9,3.3
91.75,26.0,25.6,31.7,27.7,3.4
92.0,26.0,25.3,31.9,27.7,3.6
92.25,25.9,25.3,31.8,27.7,3.6
92.5,26.0,25.3,31.3,27.5,3.3
92.75,25.5,25.4,31.2,27.4,3.3
93.0,25.3,25.4,31.2,27.3,3.4
93.25,25.3,25.4,30.8,27.2,3.1
93.5,25.0,25.3,30.9,27.1,3.3
93.75,24.9,25.4,30.5,26.9,3.1
94.0,24.5,25.4,30.1,26.7,3.0
94.25,24.8,25.4,29.7,26.6,2.7
94.5,24.7,25.0,29.5,26.4,2.7
94.75,24.5,25.5,29.3,26.4,2.5
95.0,24.4,25.5,28.8,26.2,2.3
95.25,24.4,25.3,28.9,26.2,2.4
95.5,24.3,24.9,28.7,25.9,2.4
95.75,24.2,25.1,28.7,26.0,2.4
96.0,24.1,25.3,28.6,26.0,2.4
96.25,24.0,25.2,28.0,25.8,2.0
96.5,24.0,25.1,27.8,25.6,1.9
96.75,23.9,25.3,27.9,25.7,2.0
97.0,24.0,24.8,27.4,25.4,1.8
97.25,24.2,24.8,27.1,25.4,1.5
97.5,23.8,24.6,27.0,25.1,1.7
97.75,23.5,24.6,26.8,25.0,1.7
98.0,23.9,24.6,26.5,25.0,1.4
98.25,24.3,24.5,26.2,25.0,1.1
98.5,23.9,24.5,26.1,24.8,1.1
98.75,24.0,24.7,25.8,24.8,0.9
99.0,24.3,24.4,26.0,24.9,1.0
99.25,24.5,24.1,26.3,25.0,1.2
99.5,24.7,24.0,25.7,24.8,0.9
99.75,24.6,24.3,25.7,24.9,0.8
100.0,24.2,23.9,25.4,24.5,0.8
100.25,24.2,24.1,25.6,24.6,0.8
100.5,24.5,24.0,25.4,24.6,0.7
100.75,24.0,24.0,25.4,24.4,0.8
101.0,24.2,24.3,25.1,24.5,0.5
101.25,24.0,24.3,24.7,24.3,0.4
101.5,24.3,24.3,24.9,24.5,0.3
101.75,23.7,24.4,24.3,24.1,0.4
102.0,24.1,24.6,24.0,24.3,0.3
102.25,23.9,24.2,24.3,24.1,0.2
102.5,23.9,24.6,23.7,24.1,0.5
102.75,24.1,24.4,23.8,24.1,0.3
103.0,23.9,24.8,23.4,24.0,0.7
103.25,23.8,24.6,22.9,23.8,0.9
103.5,23.7,24.5,22.9,23.7,0.8
103.75,24.0,24.7,22.8,23.9,1.0
104.0,23.6,24.8,22.3,23.6,1.3
104.25,24.0,24.9,22.0,23.6,1.5
104.5,24.0,25.0,21.6,23.5,1.7
104.75,24.0,25.2,21.5,23.5,1.9
105.0,23.9,25.1,21.5,23.5,1.8
105.25,23.8,25.0,21.4,23.4,1.8
105.5,23.7,25.1,21.2,23.3,2.0
105.75,23.6,24.8,21.2,23.2,1.8
106.0,23.5,24.8,20.9,23.1,2.0
106.25,23.4,24.7,21.0,23.0,1.9
106.5,23.4,24.9,20.7,23.0,2.1
106.75,23.6,24.4,20.5,22.8,2.1
107.0,23.3,24.6,20.7,22.9,2.0
107.25,23.2,24.8,20.6,22.8,2.1
107.5,22.9,24.7,20.5,22.7,2.1
107.75,23.1,24.8,20.3,22.7,2.3
108.0,23.0,24.6,20.2,22.6,2.2
108.25,23.0,24.3,20.0,22.4,2.2
108.5,22.9,24.6,19.8,22.4,2.4
108.75,22.6,24.4,19.7,22.3,2.4
109.0,23.0,24.1,19.7,22.3,2.3
109.25,22.5,24.2,19.4,22.0,2.4
109.5,22.6,24.0,19.2,22.0,2.5
109.75,22.3,23.9,18.9,21.7,2.5
110.0,22.2,24.2,18.7,21.7,2.8
110.25,22.3,23.7,18.7,21.6,2.6
110.5,22.0,23.8,18.8,21.5,2.5
110.75,22.0,23.9,18.8,21.6,2.6
111.0,22.2,23.5,18.5,21.4,2.6
111.25,22.0,23.4,18.3,21.2,2.7
111.5,21.8,23.5,18.2,21.2,2.7
111.75,21.9,23.5,18.5,21.3,2.6
112.0,21.6,23.1,18.2,21.0,2.5
112.25,21.4,23.5,18.2,21.0,2.6
112.5,21.5,23.4,18.1,21.0,2.7
112.75,21.3,23.4,18.2,20.9,2.6
113.0,21.2,23.5,17.8,20.8,2.9
113.25,21.1,23.2,17.6,20.6,2.8
113.5,21.0,23.0,17.7,20.6,2.7
113.75,20.8,23.4,17.6,20.6,2.9
114.0,20.9,23.4,17.3,20.5,3.1
114.25,20.7,23.4,17.3,20.5,3.1
114.5,20.7,23.4,17.3,20.5,3.0
114.75,20.8,23.6,17.2,20.5,3.2
115.0,20.7,23.7,17.3,20.5,3.2
115.25,20.8,23.7,17.2,20.6,3.2
115.5,20.5,23.6,17.0,20.4,3.3
115.75,20.2,23.7,17.1,20.3,3.3
116.0,20.3,23.7,16.9,20.3,3.4
116.25,20.7,23.6,16.8,20.4,3.4
116.5,20.7,23.8,17.0,20.5,3.4
116.75,20.5,24.0,17.0,20.5,3.5
117.0,20.8,23.6,16.7,20.3,3.5
117.25,20.4,23.5,16.9,20.3,3.3
117.5,20.5,23.5,16.7,20.2,3.4
117.75,20.7,23.3,16.3,20.1,3.6
118.0,20.3,22.9,16.4,19.9,3.3
118.25,20.7,22.9,16.3,20.0,3.3
118.5,20.4,22.8,16.4,19.9,3.2
118.75,20.4,22.5,16.1,19.7,3.3
119.0,20.5,22.9,16.2,19.9,3.4
119.25,20.3,22.4,16.2,19.6,3.1
119.5,20.4,22.2,16.2,19.6,3.1
119.75,20.5,22.5,15.7,19.5,3.5
120.0,20.1,22.1,15.7,19.3,3.3
120.25,19.9,22.4,15.4,19.2,3.5
120.5,20.0,22.0,15.3,19.1,3.4
120.75,19.6,22.0,15.5,19.0,3.3
121.0,19.8,22.0,15.4,19.1,3.4
121.25,19.6,21.8,15.1,18.8,3.4
121.5,19.7,21.6,15.1,18.8,3.4
121.75,19.7,21.2,15.1,18.6,3.2
122.0,19.3,21.0,14.8,18.4,3.2
122.25,19.2,21.4,14.7,18.4,3.4
122.5,19.4,21.2,15.0,18.5,3.2
122.75,19.5,21.2,14.7,18.5,3.4
123.0,19.2,20.6,14.6,18.1,3.2
123.25,19.2,20.9,14.6,18.2,3.3
123.5,19.2,21.1,14.9,18.4,3.2
123.75,19.3,20.9,14.6,18.2,3.3
124.0,19.2,20.7,14.6,18.2,3.2
124.25,19.2,21.1,14.5,18.3,3.4
124.5,19.3,20.9,14.2,18.1,3.5
124.75,18.9,20.9,14.2,18.0,3.4
125.0,18.9,20.6,14.5,18.0,3.1
125.25,19.0,20.5,14.2,17.9,3.3
125.5,18.9,20.2,14.2,17.8,3.2
125.75,19.0,20.2,14.0,17.7,3.3
126.0,18.6,20.4,14.0,17.7,3.3
126.25,18.3,20.3,14.0,17.5,3.2
126.5,18.6,20.0,14.1,17.6,3.1
126.75,18.6,20.0,14.2,17.6,3.0
127.0,18.1,19.8,13.9,17.2,3.0
127.25,18.2,19.6,14.0,17.3,2.9
127.5,18.1,19.7,14.0,17.3,2.9
127.75,17.9,19.5,13.9,17.1,2.9
128.0,17.8,19.5,14.1,17.1,2.8
128.25,17.9,19.4,13.9,17.1,2.9
128.5,17.8,19.3,13.9,17.0,2.8
128.75,17.5,19.2,13.9,16.9,2.7
129.0,17.7,18.8,13.8,16.7,2.6
129.25,17.6,18.8,13.9,16.8,2.5
129.5,17.6,19.1,13.8,16.8,2.8
129.75,17.8,18.9,13.5,16.7,2.8
130.0,17.7,18.8,13.5,16.6,2.8
130.25,17.3,18.5,13.5,16.4,2.6
130.5,17.5,18.6,13.3,16.5,2.8
130.75,17.5,18.7,13.4,16.5,2.8
131.0,17.6,18.5,13.3,16.5,2.8
131.25,17.7,18.3,13.2,16.4,2.8
131.5,17.2,18.2,13.1,16.2,2.7
131.75,17.4,18.0,13.1,16.2,2.7
132.0,17.4,18.4,13.2,16.4,2.8
132.25,17.3,18.0,13.1,16.2,2.6
132.5,17.1,18.0,13.2,16.1,2.6
132.75,17.6,17.7,12.9,16.0,2.8
133.0,17.2,17.7,13.1,16.0,2.6
133.25,17.0,17.8,13.0,16.0,2.6
133.5,17.0,17.8,12.8,15.9,2.7
133.75,17.0,17.7,12.9,15.9,2.6
134.0,16.9,17.5,13.0,15.8,2.4
134.25,16.7,17.3,13.0,15.7,2.4
134.5,16.5,17.5,12.9,15.7,2.4
134.75,16.6,17.4,12.9,15.7,2.4
135.0,16.8,17.3,12.9,15.7,2.4
135.25,16.6,17.2,12.8,15.6,2.4
135.5,16.9,17.2,12.9,15.7,2.4
135.75,16.6,17.0,13.0,15.5,2.2
136.0,16.9,16.9,13.2,15.7,2.1
136.25,16.8,16.9,13.3,15.7,2.0
136.5,17.1,16.7,13.4,15.7,2.0
136.75,16.6,16.8,13.5,15.6,1.9
137.0,16.8,16.5,13.5,15.6,1.8
137.25,16.5,16.5,13.6,15.5,1.7
137.5,16.7,16.5,13.4,15.5,1.9
137.75,16.7,16.4,13.6,15.6,1.7
138.0,16.9,16.2,13.6,15.6,1.8
138.25,16.8,16.4,13.6,15.6,1.7
138.5,16.4,16.5,13.8,15.6,1.5
138.75,16.3,16.3,13.7,15.4,1.5
139.0,16.3,16.2,13.8,15.4,1.4
139.25,16.2,16.0,13.9,15.4,1.3
139.5,15.9,16.0,13.8,15.2,1.2
139.75,16.1,16.1,13.8,15.3,1.3
140.0,15.7,15.7,13.8,15.1,1.1
140.25,15.8,15.7,13.8,15.1,1.1
140.5,15.6,15.5,13.8,15.0,1.0
140.75,15.6,15.2,13.8,14.9,0.9
141.0,15.2,15.2,13.9,14.8,0.8
141.25,15.4,15.3,14.0,14.9,0.8
141.5,15.1,15.2,13.9,14.7,0.7
141.75,15.0,14.7,13.8,14.5,0.6
142.0,14.9,14.5,13.5,14.3,0.7
142.25,14.8,14.7,13.6,14.4,0.7
142.5,14.6,14.4,13.4,14.2,0.6
142.75,15.0,14.5,13.4,14.3,0.8
143.0,14.7,14.3,13.4,14.1,0.7
143.25,14.6,14.1,13.4,14.0,0.6
143.5,14.6,14.2,13.2,14.0,0.7
143.75,14.7,14.1,13.2,14.0,0.8
144.0,14.7,13.9,13.1,13.9,0.8
144.25,14.4,14.0,13.2,13.9,0.6
