##Temp./°C,Time/min,DSC/(mW/mg),Mass/%,Sensit./(uV/mW)
398.20099,22.906670000000002,1.50243,35.92313,0.8821700000000001
401.70599,23.00667,1.15065,34.265640000000005,0.88008
405.21701,23.10667,0.88084,33.279959999999996,0.87797
408.73499,23.206670000000003,0.70895,32.70727,0.8758600000000001
412.263,23.30667,0.60893,32.2315,0.87374
415.76501,23.406670000000002,0.5463899999999999,31.876209999999997,0.8716200000000001
419.267,23.50667,0.49863999999999997,31.55242,0.8695
422.75,23.60667,0.46148999999999996,31.24075,0.8673799999999999
426.24300999999997,23.706670000000003,0.43136,30.914759999999998,0.86526
429.711,23.80667,0.40476999999999996,30.639429999999997,0.86314
433.18399000000005,23.906670000000002,0.38469000000000003,30.37841,0.86101
436.642,24.00667,0.37195,30.105290000000004,0.85888
440.09799000000004,24.10667,0.3613,29.79604,0.85675
443.53601,24.206670000000003,0.35591,29.54471,0.8546299999999999
446.98099,24.30667,0.35836999999999997,29.257270000000002,0.85249
450.401,24.406670000000002,0.36006,29.05198,0.8503700000000001
453.82199,24.50667,0.37048000000000003,28.81035,0.8482299999999999
457.245,24.60667,0.38214000000000004,28.55198,0.84609
460.655,24.706670000000003,0.39545,28.336779999999997,0.84395
464.05701,24.80667,0.41163,28.078190000000003,0.8418100000000001
467.45000999999996,24.906670000000002,0.42628999999999995,27.8826,0.83967
470.83300999999994,25.00667,0.44263,27.6652,0.8375299999999999
474.202,25.10667,0.45503000000000005,27.515420000000002,0.83539
477.578,25.206670000000003,0.46931000000000006,27.379959999999997,0.83324
480.939,25.30667,0.48063,27.18194,0.8311
484.28799000000004,25.406670000000002,0.491,27.007929999999998,0.82895
487.629,25.50667,0.49938,26.841409999999996,0.82681
490.97500999999994,25.60667,0.50843,26.64317,0.82465
494.29400999999996,25.706670000000003,0.51854,26.37753,0.8225100000000001
497.616,25.80667,0.5242100000000001,26.12379,0.8203600000000001
500.92801,25.906670000000002,0.5270199999999999,25.966739999999998,0.8182
504.237,26.00667,0.5300600000000001,25.86784,0.81605
507.535,26.10667,0.52899,25.862779999999997,0.81389
510.827,26.206670000000003,0.5310199999999999,25.700879999999998,0.8117300000000001
514.10901,26.30667,0.5289,25.57048,0.80958
517.39203,26.406670000000002,0.5301100000000001,25.45947,0.8074100000000001
520.67603,26.50667,0.53196,25.28546,0.80524
523.94598,26.60667,0.52984,25.08018,0.80307
527.20502,26.706670000000003,0.5254,24.98348,0.80091
530.45898,26.80667,0.52262,24.862779999999997,0.79874
533.70398,26.906670000000002,0.5194,24.72489,0.79656
536.95502,27.00667,0.51532,24.53172,0.79438
540.1829799999999,27.10667,0.50995,24.47599,0.7922100000000001
543.41998,27.206670000000003,0.5051899999999999,24.393829999999998,0.79003
546.64203,27.30667,0.50403,24.26344,0.78785
549.86401,27.406670000000002,0.4988,24.17181,0.78566
553.07599,27.50667,0.49483,24.07731,0.7834800000000001
556.27698,27.60667,0.48718,23.95176,0.7813
559.48297,27.706670000000003,0.48358999999999996,23.85749,0.7791
562.68103,27.80667,0.47846000000000005,23.76079,0.77691
565.8770099999999,27.906670000000002,0.47353,23.67159,0.77471
569.0670200000001,28.00667,0.46813999999999995,23.63789,0.77251
572.23602,28.10667,0.46531999999999996,23.58458,0.77032
575.4180299999999,28.206670000000003,0.46141000000000004,23.43722,0.7681100000000001
578.59003,28.30667,0.45528,23.3696,0.7659
581.76001,28.406670000000002,0.44978,23.32841,0.76369
584.9249900000001,28.50667,0.44401999999999997,23.29934,0.76148
588.08398,28.60667,0.43868,23.17621,0.75927
591.23401,28.706670000000003,0.43151999999999996,23.02401,0.75705
594.39001,28.80667,0.43123999999999996,22.97335,0.75483
597.5360099999999,28.906670000000002,0.42291000000000006,22.94912,0.7526
600.685,29.00667,0.42103,22.82841,0.75037
603.80902,29.10667,0.41553999999999996,22.705070000000003,0.74815
606.961,29.206670000000003,0.40846,22.67841,0.7459100000000001
610.052,29.30667,0.40673000000000004,22.6859,0.7437
613.16699,29.406670000000002,0.40093,22.6011,0.74147
616.2880200000001,29.50667,0.3976,22.55286,0.73923
619.401,29.60667,0.39333,22.43194,0.7369899999999999
622.495,29.706670000000003,0.39155,22.374010000000002,0.7347600000000001
625.586,29.80667,0.3861,22.344929999999998,0.73252
628.685,29.906670000000002,0.3859,22.35947,0.73028
