Time after Ignition,MDF_R1,MDF_R2,MDF_R3,Mean,Std. Dev.
34.25,371.15729417391475,374.1691191561859,379.7904361140387,375.03894981471313,4.381807728605534
34.5,385.68244089065604,373.677304669949,380.12753386544296,379.829093142016,6.008129831193945
34.75,380.1244487194848,370.4554144116275,374.9321253476783,375.1706628262635,4.838928725260147
35.0,378.0541111225003,382.61147768388884,386.93584898446346,382.53381259695084,4.441378250211799
35.25,372.81973230661515,374.6822110891444,372.7491307002252,373.4170246986616,1.096252068961984
35.5,372.9697680068457,376.42451580261263,379.6606402517914,376.3516413537499,3.3460313602115184
35.75,372.97878920835507,371.7271018040242,370.87866195746983,371.86151765661634,1.0564962534475721
36.0,379.72647078202255,374.1140914161195,369.8258967559002,374.5554863180141,4.965024028768238
36.25,382.7591938960405,378.0414436833235,378.4036209070489,379.73475282880435,2.6254953651139648
36.5,374.9970038802177,368.3704297832904,379.6265587985553,374.3313308206878,5.657512754621969
36.75,359.71905526702807,363.73671304918474,380.6113996376722,368.02238931796165,11.08592707607103
37.0,368.36362985037516,366.77960754649337,368.6902565261199,367.9444979743295,1.0219581830853837
37.25,365.20420961139547,370.8182772926851,377.3291049671161,371.1171972903989,6.067972208289101
37.5,362.3163542428883,364.08227391574076,364.3643456442812,363.5876579343034,1.1099778925117079
37.75,355.4212276071365,368.03930985444026,372.49174644900404,365.3174279701936,8.85478029803572
38.0,363.75102461255494,361.1196621599633,370.9274753612134,365.26605404457723,5.076394939578107
38.25,356.5939837755258,359.4224640975646,362.7837349032177,359.6000609254361,3.0986949237772943
38.5,351.70116660437174,360.69893689536815,365.95540811659333,359.4518372054444,7.208487601407197
38.75,365.55702478000734,359.7419601823242,363.5154746697559,362.9381532106959,2.950206623124121
39.0,360.5401344207437,361.3766165469717,356.98080258615875,359.63251785129137,2.334228132033766
39.25,365.74140368342216,351.233297691008,353.5035076140102,356.8260696628135,7.8038995891728336
39.5,359.47972310946744,366.7918676476218,363.2605240271195,363.17737159473626,3.6567813965253158
39.75,366.62553037945924,357.50240950584174,358.9346137139722,361.0208511997577,4.9063350633626
40.0,351.89428293116777,353.6290750419746,361.1190982508753,355.5474854080059,4.902502235598673
40.25,355.96586835658394,348.56295855661654,350.00585589405307,351.5115609357511,3.924427236051102
40.5,352.77007905431776,345.0146244117769,354.7546618332269,350.8464550997739,5.147069951116183
