Names,Cotton_Rug_R1,Cotton_Rug_R2,Cotton_Rug_R3,Mean,Std. Dev.
263,389.4,257.2,352.2,332.9,68.2
264,381.6,252.4,347.6,327.2,67.0
265,380.5,243.5,339.4,321.1,70.3
266,371.6,237.7,328.5,312.6,68.3
267,366.0,235.0,317.6,306.2,66.3
268,362.9,225.3,318.3,302.2,70.2
269,359.6,216.9,306.1,294.2,72.1
270,352.2,212.2,303.9,289.5,71.1
271,347.9,208.2,293.8,283.3,70.5
272,343.9,201.7,280.4,275.3,71.3
273,336.8,195.1,274.0,268.6,71.0
274,328.7,189.9,273.7,264.1,69.9
275,321.3,184.6,265.5,257.1,68.8
276,321.8,178.4,259.7,253.3,71.9
277,318.1,175.2,250.5,247.9,71.5
278,313.7,168.5,238.9,240.4,72.6
279,306.2,166.8,236.1,236.4,69.7
280,304.4,160.6,231.7,232.3,71.9
281,297.4,156.2,225.2,226.3,70.6
282,296.7,152.2,218.6,222.5,72.3
283,292.1,147.6,216.4,218.7,72.3
284,293.0,142.9,209.3,215.1,75.3
285,283.7,141.0,199.9,208.2,71.7
286,278.5,139.9,191.0,203.1,70.1
287,279.1,135.0,187.7,200.6,72.9
288,272.6,132.0,182.1,195.6,71.2
289,272.5,128.0,176.8,192.5,73.5
290,271.3,124.6,170.0,188.6,75.1
291,264.2,123.5,167.1,185.0,72.0
292,260.5,118.7,163.3,180.8,72.5
293,261.5,117.5,153.7,177.6,74.9
294,260.3,113.8,150.8,174.9,76.2
295,249.5,112.3,148.2,170.0,71.2
296,246.9,108.6,142.8,166.1,72.0
297,243.3,105.3,137.5,162.0,72.2
298,242.3,103.6,135.6,160.5,72.6
299,237.6,101.9,132.7,157.4,71.1
300,233.3,101.2,127.6,154.1,69.9
301,235.7,97.4,124.8,152.6,73.2
302,230.9,96.5,122.4,149.9,71.3
303,223.5,93.8,118.6,145.3,68.8
304,222.4,93.1,116.9,144.1,68.8
305,217.2,89.7,112.9,139.9,67.9
306,214.7,88.6,109.2,137.5,67.7
307,210.3,86.2,109.7,135.4,66.0
308,209.2,85.3,104.9,133.1,66.6
309,204.5,84.9,101.9,130.4,64.7
310,202.6,82.9,101.6,129.1,64.4
311,198.2,81.3,99.7,126.4,62.8
312,192.3,79.2,96.4,122.7,61.0
313,192.7,79.8,95.1,122.5,61.2
314,188.0,79.1,92.6,119.9,59.4
315,188.6,78.8,91.1,119.5,60.2
316,185.2,76.4,87.9,116.5,59.8
317,182.8,75.7,89.1,115.9,58.3
318,177.1,74.0,86.7,112.6,56.2
319,176.7,73.1,85.2,111.7,56.6
320,176.2,75.7,83.0,111.6,56.0
321,171.6,72.2,81.8,108.5,54.8
322,170.1,70.9,79.5,106.9,55.0
323,171.8,71.0,77.8,106.9,56.3
324,170.2,69.8,77.6,105.9,55.8
325,167.1,69.8,77.0,104.6,54.2
326,163.5,68.5,78.2,103.4,52.3
327,160.6,69.2,75.3,101.7,51.1
328,160.2,68.8,74.7,101.2,51.2
329,159.9,67.5,74.9,100.7,51.3
330,156.0,67.6,73.4,99.0,49.4
331,157.4,67.0,71.6,98.7,50.9
332,156.4,65.9,71.9,98.1,50.6
333,153.9,65.2,70.7,96.6,49.7
334,152.0,65.1,69.1,95.4,49.1
335,149.3,64.3,68.6,94.1,47.9
336,148.2,64.1,68.4,93.6,47.4
337,145.2,62.4,68.5,92.0,46.1
338,146.1,62.4,68.5,92.3,46.7
339,145.7,62.0,67.0,91.6,46.9
340,141.4,61.5,65.7,89.5,45.0
341,142.7,62.5,65.4,90.2,45.5
342,140.7,61.4,65.6,89.2,44.6
343,139.4,59.7,65.3,88.1,44.5
344,139.1,60.5,64.8,88.1,44.2
345,136.4,59.7,63.4,86.5,43.2
346,137.9,59.5,64.0,87.1,44.0
347,136.3,59.3,63.5,86.4,43.3
348,133.5,58.9,62.9,85.1,41.9
349,135.8,58.5,64.1,86.1,43.1
350,131.0,58.3,63.0,84.1,40.7
351,134.2,58.1,63.4,85.2,42.5
352,133.7,56.9,63.2,84.6,42.6
353,129.6,58.2,63.7,83.8,39.7
354,129.1,57.2,63.8,83.4,39.7
355,129.3,57.0,62.3,82.8,40.3
356,127.5,56.8,62.5,82.3,39.3
357,126.5,56.7,62.7,82.0,38.7
358,127.1,56.4,61.8,81.8,39.3
359,124.1,56.8,61.5,80.8,37.6
360,120.5,55.8,62.2,79.5,35.7
361,122.8,56.8,62.3,80.6,36.6
362,120.7,56.3,62.3,79.7,35.6
363,118.2,56.3,62.5,79.0,34.1
364,119.3,56.5,62.2,79.3,34.7
365,118.4,56.2,61.9,78.8,34.4
366,117.6,56.1,61.6,78.5,34.0
367,113.2,56.5,61.1,76.9,31.5
368,111.9,56.2,61.5,76.5,30.7
369,113.1,56.5,61.7,77.1,31.3
370,112.0,56.5,61.3,76.6,30.8
371,108.9,55.8,62.4,75.7,28.9
372,110.3,56.2,61.0,75.8,30.0
373,108.0,56.7,61.3,75.3,28.4
374,106.2,56.2,60.9,74.4,27.6
375,107.6,56.1,61.2,75.0,28.4
376,107.7,55.9,61.0,74.9,28.6
377,105.9,56.2,61.1,74.4,27.4
378,104.8,56.1,60.4,73.7,27.0
379,102.9,55.8,60.0,72.9,26.1
380,104.1,55.4,60.1,73.2,26.9
381,103.6,56.2,59.9,73.2,26.3
382,100.0,56.2,60.1,72.1,24.2
383,98.8,55.4,59.8,71.3,23.9
384,99.8,55.4,59.5,71.6,24.5
