Time after Ignition,Cotton_Rug_R1,Cotton_Rug_R2,Cotton_Rug_R3,Mean,Std. Dev.
19.25,647.3,692.2,595.6,645.0,48.3
19.5,625.4,679.0,605.8,636.7,37.9
19.75,605.7,696.6,594.0,632.1,56.2
20.0,642.6,696.9,608.2,649.2,44.7
20.25,641.5,715.2,607.7,654.8,55.0
20.5,633.8,712.1,635.1,660.3,44.8
20.75,635.7,734.4,634.4,668.2,57.4
21.0,670.7,713.6,628.7,671.0,42.5
21.25,657.0,740.7,653.3,683.7,49.4
21.5,648.5,748.6,650.7,682.6,57.2
21.75,655.5,753.0,645.0,684.5,59.6
22.0,649.3,745.7,660.1,685.0,52.8
22.25,646.9,756.4,656.8,686.7,60.5
22.5,639.6,725.4,662.5,675.8,44.4
22.75,659.5,750.8,662.0,690.8,52.0
23.0,661.2,751.3,687.5,700.0,46.3
23.25,636.4,769.8,674.9,693.7,68.7
23.5,664.3,759.7,689.6,704.5,49.4
23.75,661.3,770.0,674.3,701.8,59.4
24.0,654.2,774.2,693.5,707.3,61.2
24.25,668.3,744.4,702.9,705.2,38.1
24.5,650.6,776.0,695.3,707.3,63.5
24.75,665.2,777.4,705.9,716.2,56.8
25.0,631.1,804.8,697.4,711.1,87.7
25.25,659.5,796.6,689.9,715.3,72.0
25.5,653.9,779.7,711.6,715.0,63.0
25.75,656.2,764.8,683.8,701.6,56.5
26.0,653.6,794.3,719.8,722.6,70.3
26.25,654.9,761.4,726.0,714.1,54.2
26.5,640.4,779.9,708.1,709.5,69.7
26.75,643.7,774.5,716.0,711.4,65.5
27.0,640.0,757.4,730.4,709.2,61.5
27.25,632.7,760.3,735.0,709.3,67.5
27.5,648.5,744.2,707.3,700.0,48.2
27.75,640.6,754.4,726.8,707.3,59.4
28.0,649.9,767.4,715.9,711.1,58.9
28.25,625.1,773.9,744.0,714.3,78.7
28.5,627.1,747.5,719.6,698.0,63.0
28.75,633.2,779.8,735.1,716.0,75.2
29.0,639.8,751.6,743.0,711.4,62.2
29.25,628.0,764.9,725.4,706.1,70.4
29.5,603.8,771.2,719.0,698.0,85.7
29.75,617.0,755.9,741.8,704.9,76.5
30.0,632.3,739.7,732.2,701.4,60.0
30.25,614.8,717.4,734.6,688.9,64.8
30.5,595.0,732.6,763.8,697.1,89.8
30.75,606.1,761.7,735.0,700.9,83.2
31.0,599.9,760.4,730.0,696.8,85.3
31.25,611.0,747.7,711.3,690.0,70.8
31.5,625.5,719.3,728.2,691.0,56.9
31.75,607.2,726.3,726.1,686.6,68.7
32.0,590.1,717.0,749.3,685.4,84.1
32.25,573.5,709.8,734.8,672.7,86.8
32.5,591.1,697.8,736.8,675.2,75.4
32.75,568.7,715.0,730.7,671.5,89.3
33.0,579.5,702.8,727.9,670.0,79.4
33.25,567.8,704.7,744.3,672.2,92.6
33.5,569.1,676.1,711.6,652.3,74.2
33.75,544.6,686.2,709.1,646.6,89.1
34.0,563.8,649.7,714.4,642.6,75.5
34.25,546.4,646.8,699.8,631.0,77.9
34.5,544.9,647.9,716.2,636.3,86.2
34.75,525.1,648.2,700.8,624.7,90.2
35.0,531.0,644.4,698.9,624.8,85.7
35.25,519.4,619.8,710.9,616.7,95.8
35.5,508.9,603.3,697.0,603.1,94.1
35.75,506.8,607.1,693.0,602.3,93.2
36.0,494.4,597.8,689.1,593.8,97.4
36.25,491.6,594.3,678.4,588.1,93.6
36.5,486.4,571.3,680.6,579.4,97.3
36.75,475.2,569.3,678.1,574.2,101.5
37.0,470.0,557.8,644.8,557.5,87.4
37.25,465.7,556.3,642.8,554.9,88.6
37.5,453.3,544.8,639.6,545.9,93.2
37.75,437.8,530.7,612.3,526.9,87.3
38.0,431.7,521.8,609.6,521.0,88.9
38.25,426.4,512.1,581.3,506.6,77.6
38.5,411.4,510.4,586.8,502.9,87.9
38.75,401.3,496.5,593.8,497.2,96.2
39.0,394.8,495.3,567.4,485.8,86.7
39.25,375.5,492.4,555.9,474.6,91.5
39.5,365.8,473.3,541.0,460.0,88.4
39.75,348.7,464.9,535.8,449.8,94.4
40.0,333.2,449.4,526.2,436.2,97.2
40.25,322.3,443.5,519.1,428.3,99.3
40.5,308.5,436.8,502.8,416.0,98.8
40.75,292.7,422.8,489.0,401.5,99.9
41.0,285.6,404.1,485.1,391.6,100.3
41.25,274.9,398.0,469.6,380.8,98.5
41.5,265.5,391.5,451.7,369.6,95.0
41.75,254.3,371.8,437.9,354.7,93.0
42.0,246.8,363.3,430.8,347.0,93.1
42.25,234.9,355.1,427.1,339.0,97.1
42.5,226.2,341.0,405.8,324.4,90.9
42.75,215.7,334.9,390.2,313.6,89.2
43.0,210.7,325.3,385.4,307.1,88.8
43.25,205.6,312.1,366.2,294.6,81.7
43.5,200.0,305.6,347.9,284.5,76.2
43.75,190.8,300.6,339.1,276.8,76.9
44.0,183.1,294.0,326.5,267.8,75.2
44.25,177.5,283.4,321.6,260.8,74.7
44.5,174.5,276.5,313.7,254.9,72.0
44.75,166.1,270.6,297.3,244.7,69.3
45.0,162.9,262.1,290.7,238.6,67.1
45.25,156.7,260.5,286.4,234.5,68.6
45.5,152.6,249.3,274.8,225.6,64.5
45.75,147.2,246.6,268.9,220.9,64.8
46.0,142.6,243.1,260.6,215.5,63.7
46.25,139.7,237.2,254.4,210.4,61.9
46.5,134.6,230.4,247.5,204.2,60.8
46.75,127.7,226.9,237.4,197.4,60.5
47.0,126.5,223.9,232.1,194.2,58.7
47.25,122.2,222.8,230.2,191.7,60.3
47.5,117.2,214.5,226.7,186.1,60.0
47.75,115.0,213.9,218.9,182.6,58.6
48.0,111.0,209.4,211.1,177.1,57.3
48.25,108.2,202.8,205.4,172.1,55.4
48.5,104.3,200.2,207.0,170.5,57.4
48.75,103.3,198.0,198.2,166.5,54.7
49.0,98.5,196.4,193.3,162.7,55.6
49.25,95.5,194.3,186.8,158.9,55.0
49.5,94.0,186.8,184.1,155.0,52.8
49.75,91.5,184.0,182.7,152.7,53.1
50.0,89.7,180.2,176.6,148.8,51.2
50.25,87.7,178.7,174.6,147.0,51.4
50.5,86.0,176.1,168.7,143.6,50.0
50.75,83.5,176.7,164.4,141.5,50.6
51.0,81.8,170.0,163.1,138.3,49.0
51.25,80.1,168.8,159.1,136.0,48.6
51.5,79.5,167.6,153.5,133.6,47.3
51.75,77.8,165.6,154.0,132.4,47.7
52.0,76.2,162.2,149.6,129.3,46.5
52.25,73.7,160.5,147.5,127.2,46.8
52.5,72.9,158.3,148.0,126.4,46.6
52.75,71.9,156.8,144.1,124.2,45.8
53.0,71.2,154.4,143.4,123.0,45.2
53.25,69.6,155.7,141.4,122.2,46.1
53.5,69.5,152.6,139.8,120.6,44.7
53.75,66.6,150.4,136.4,117.8,44.9
54.0,66.2,148.9,136.7,117.3,44.6
54.25,66.0,149.1,135.4,116.8,44.6
54.5,63.0,145.0,133.3,113.8,44.4
54.75,63.0,146.7,132.7,114.1,44.8
55.0,62.3,142.3,130.6,111.8,43.2
55.25,61.3,142.8,133.5,112.6,44.6
55.5,61.0,140.0,130.7,110.6,43.2
55.75,59.5,138.0,128.7,108.7,42.9
56.0,59.8,138.6,129.4,109.3,43.1
56.25,60.3,134.8,128.5,107.9,41.3
56.5,57.8,134.9,126.3,106.3,42.3
56.75,57.9,133.8,127.6,106.4,42.1
57.0,56.9,131.6,125.5,104.7,41.5
57.25,56.3,130.1,125.3,103.9,41.3
57.5,56.5,126.8,124.4,102.6,39.9
57.75,55.8,126.2,122.4,101.5,39.6
58.0,55.4,124.4,123.5,101.1,39.6
58.25,55.8,123.5,122.3,100.5,38.8
58.5,54.4,121.1,121.7,99.0,38.7
58.75,54.3,121.2,121.4,99.0,38.6
59.0,54.5,117.9,119.2,97.2,37.0
59.25,54.5,118.3,120.4,97.7,37.4
59.5,53.8,117.9,120.0,97.2,37.6
59.75,53.5,114.6,118.3,95.5,36.4
60.0,53.4,115.1,116.8,95.1,36.1
60.25,53.0,114.3,116.6,94.7,36.1
60.5,53.2,112.0,115.7,93.6,35.1
60.75,52.4,114.6,117.0,94.7,36.6
61.0,51.9,111.6,115.6,93.0,35.7
61.25,51.7,109.9,115.8,92.5,35.4
61.5,51.5,109.7,113.4,91.5,34.7
61.75,51.8,108.8,114.1,91.6,34.5
62.0,50.9,108.6,113.1,90.8,34.7
62.25,50.3,105.8,113.0,89.7,34.3
62.5,50.7,107.3,111.8,89.9,34.1
62.75,49.9,103.7,110.7,88.1,33.3
63.0,50.4,104.1,110.0,88.2,32.8
63.25,49.8,105.8,110.9,88.8,33.9
63.5,49.8,104.0,109.4,87.7,32.9
63.75,48.8,102.7,109.3,87.0,33.2
64.0,49.9,102.4,106.5,86.3,31.6
64.25,49.4,101.8,105.7,85.6,31.4
64.5,49.2,101.5,106.1,85.6,31.6
64.75,49.0,100.7,105.4,85.1,31.3
65.0,48.9,99.6,104.4,84.3,30.7
65.25,49.0,99.3,104.1,84.1,30.6
65.5,49.1,99.1,104.6,84.3,30.6
65.75,49.3,97.4,102.8,83.1,29.5
66.0,49.0,99.0,102.3,83.4,29.9
66.25,48.6,97.5,103.7,83.3,30.2
66.5,48.2,97.5,100.6,82.1,29.4
66.75,48.4,97.7,99.9,82.0,29.1
67.0,48.5,94.4,99.5,80.8,28.1
67.25,47.9,94.8,98.9,80.5,28.3
67.5,47.2,95.5,97.4,80.0,28.4
67.75,48.9,94.4,97.3,80.2,27.1
68.0,47.9,93.6,96.2,79.2,27.2
68.25,47.7,93.5,97.0,79.4,27.5
68.5,47.9,91.7,96.1,78.5,26.6
68.75,47.3,92.2,94.6,78.0,26.6
69.0,47.4,92.0,94.2,77.8,26.4
69.25,47.2,90.4,92.5,76.7,25.6
69.5,46.6,89.5,91.5,75.9,25.4
69.75,47.3,89.3,90.8,75.8,24.7
70.0,46.9,88.7,90.4,75.4,24.6
70.25,46.5,88.0,88.5,74.3,24.1
70.5,46.1,88.3,88.8,74.4,24.5
70.75,46.5,87.1,88.0,73.9,23.7
71.0,45.9,85.5,86.1,72.5,23.1
71.25,46.2,87.0,86.0,73.1,23.3
71.5,45.5,86.7,85.4,72.5,23.4
71.75,46.0,86.0,85.0,72.3,22.8
72.0,46.1,84.9,82.5,71.2,21.7
72.25,46.0,84.5,82.4,70.9,21.7
72.5,45.2,84.9,82.2,70.7,22.2
72.75,45.2,85.8,81.3,70.7,22.2
73.0,45.5,84.2,80.2,69.9,21.3
73.25,44.9,83.3,78.9,69.0,21.0
73.5,45.2,83.0,78.1,68.8,20.5
73.75,46.0,82.4,77.2,68.6,19.7
74.0,44.8,81.7,76.5,67.7,20.0
74.25,44.7,81.1,75.2,67.0,19.6
74.5,44.7,81.4,75.9,67.4,19.8
74.75,44.8,81.1,74.4,66.8,19.3
75.0,44.5,81.1,73.9,66.5,19.4
75.25,44.3,81.4,72.8,66.2,19.4
75.5,44.2,80.5,72.5,65.7,19.1
75.75,43.8,80.3,72.0,65.4,19.1
76.0,43.7,79.4,70.1,64.4,18.5
76.25,43.4,79.9,70.9,64.7,19.0
76.5,43.0,79.2,70.2,64.1,18.9
76.75,43.3,78.3,68.7,63.4,18.1
77.0,43.7,77.8,69.3,63.6,17.7
77.25,43.1,77.6,68.4,63.1,17.9
77.5,43.0,77.1,67.9,62.7,17.6
77.75,42.8,76.5,69.2,62.8,17.7
78.0,43.4,76.3,66.8,62.2,16.9
78.25,43.9,76.2,66.5,62.2,16.6
78.5,43.5,75.9,65.7,61.7,16.6
78.75,42.9,75.9,65.2,61.3,16.9
79.0,43.0,74.8,64.9,60.9,16.3
79.25,43.0,74.2,65.2,60.8,16.1
79.5,42.8,74.4,63.3,60.2,16.0
79.75,42.9,73.9,63.8,60.2,15.8
80.0,42.8,74.0,62.9,59.9,15.8
80.25,42.6,72.9,62.7,59.4,15.4
80.5,42.7,72.3,62.4,59.2,15.1
80.75,42.6,73.3,63.1,59.7,15.7
81.0,42.7,72.4,61.9,59.0,15.1
81.25,42.3,72.9,61.0,58.8,15.4
81.5,42.7,71.5,60.9,58.4,14.6
81.75,42.3,72.0,60.2,58.2,15.0
82.0,42.4,72.2,60.8,58.5,15.0
82.25,42.8,70.1,60.0,57.6,13.8
82.5,42.2,71.5,59.3,57.7,14.7
82.75,42.6,71.6,59.8,58.0,14.6
83.0,42.7,70.8,59.1,57.5,14.1
83.25,42.8,69.8,58.5,57.0,13.6
83.5,42.8,69.8,59.1,57.2,13.6
83.75,43.0,69.8,58.3,57.1,13.4
84.0,42.7,70.9,58.9,57.5,14.2
84.25,42.7,70.1,59.0,57.3,13.8
84.5,42.5,70.1,57.2,56.6,13.8
84.75,42.6,69.9,57.4,56.6,13.7
85.0,43.2,68.6,57.1,56.3,12.7
85.25,43.0,69.6,57.0,56.5,13.3
85.5,42.4,68.7,56.8,56.0,13.2
85.75,41.9,67.5,56.9,55.4,12.8
86.0,41.6,67.8,56.5,55.3,13.1
86.25,42.4,67.4,57.1,55.6,12.5
86.5,42.2,68.2,56.1,55.5,13.0
86.75,42.1,67.7,55.4,55.1,12.8
87.0,41.9,67.5,56.5,55.3,12.8
87.25,41.3,67.5,56.5,55.1,13.2
87.5,41.8,66.9,55.9,54.8,12.6
87.75,42.0,67.4,55.6,55.0,12.7
88.0,41.7,66.9,55.4,54.7,12.6
88.25,41.4,66.5,55.0,54.3,12.5
88.5,41.4,66.1,54.6,54.0,12.3
88.75,41.4,66.7,55.8,54.6,12.7
89.0,40.8,66.6,54.8,54.1,12.9
89.25,40.8,67.2,55.3,54.4,13.3
89.5,41.0,65.7,54.9,53.9,12.4
89.75,41.0,65.9,55.1,54.0,12.5
90.0,40.3,66.5,55.8,54.2,13.2
90.25,40.7,65.9,54.7,53.8,12.6
90.5,40.2,66.8,54.5,53.9,13.3
90.75,40.3,65.6,54.2,53.4,12.7
91.0,41.1,65.7,54.0,53.6,12.3
91.25,41.0,66.5,53.1,53.5,12.8
91.5,40.2,65.7,53.1,53.0,12.7
91.75,40.0,65.4,53.4,52.9,12.7
92.0,39.8,66.0,52.8,52.9,13.1
92.25,40.1,65.5,53.0,52.9,12.7
92.5,40.2,64.8,53.2,52.7,12.3
92.75,39.6,65.7,53.6,53.0,13.1
93.0,40.0,65.2,52.3,52.5,12.6
93.25,39.5,64.9,52.3,52.2,12.7
93.5,40.2,66.0,52.5,52.9,12.9
93.75,39.4,65.3,51.3,52.0,12.9
94.0,39.9,64.1,51.4,51.8,12.1
94.25,39.4,66.5,52.0,52.6,13.5
94.5,39.8,65.1,51.4,52.1,12.7
94.75,39.7,64.8,50.7,51.7,12.6
95.0,39.9,65.8,50.5,52.1,13.0
95.25,39.3,65.4,51.0,51.9,13.1
95.5,39.2,65.6,50.9,51.9,13.2
95.75,38.5,64.6,50.9,51.3,13.0
96.0,38.9,65.4,50.9,51.7,13.3
96.25,38.8,64.7,50.1,51.2,13.0
96.5,39.5,64.0,50.4,51.3,12.3
96.75,39.1,64.5,50.4,51.3,12.7
97.0,39.2,64.4,50.2,51.2,12.6
97.25,39.0,64.1,50.2,51.1,12.6
97.5,38.6,62.6,50.6,50.6,12.0
97.75,38.7,63.7,49.9,50.8,12.5
98.0,39.3,63.8,49.9,51.0,12.3
98.25,39.6,63.4,49.4,50.8,12.0
98.5,39.0,62.4,50.2,50.5,11.7
98.75,38.3,62.7,50.0,50.4,12.2
99.0,39.0,61.8,49.5,50.1,11.5
99.25,38.8,62.3,49.4,50.2,11.8
99.5,39.1,62.2,49.5,50.3,11.6
99.75,39.1,62.2,49.2,50.1,11.6
100.0,38.9,63.0,49.3,50.4,12.1
100.25,38.5,61.8,49.0,49.7,11.7
100.5,39.0,61.8,49.2,50.0,11.4
100.75,38.6,61.2,49.0,49.6,11.3
101.0,38.8,61.4,49.1,49.8,11.3
101.25,38.6,60.9,49.5,49.7,11.1
101.5,38.7,60.5,49.1,49.4,10.9
101.75,38.5,60.3,48.7,49.1,10.9
102.0,38.6,60.7,49.2,49.5,11.1
102.25,38.0,60.4,48.7,49.0,11.2
102.5,38.2,60.4,49.3,49.3,11.1
102.75,38.5,59.7,48.4,48.9,10.6
103.0,38.0,58.9,48.3,48.4,10.4
103.25,38.3,59.7,48.6,48.9,10.7
103.5,38.6,59.3,49.2,49.0,10.3
103.75,38.3,58.2,48.6,48.4,9.9
104.0,37.4,58.2,47.6,47.7,10.4
104.25,37.9,58.7,48.6,48.4,10.4
104.5,38.0,58.7,48.4,48.4,10.3
104.75,38.5,58.6,47.7,48.2,10.1
105.0,38.0,59.0,47.9,48.3,10.5
105.25,37.7,58.1,48.1,48.0,10.2
105.5,37.5,58.8,48.8,48.3,10.7
105.75,37.7,58.4,48.2,48.1,10.4
106.0,37.8,57.4,48.1,47.8,9.8
106.25,37.5,57.1,48.2,47.6,9.8
106.5,36.9,57.7,47.7,47.4,10.4
106.75,37.4,56.2,48.5,47.3,9.4
107.0,37.2,57.3,48.0,47.5,10.0
107.25,36.6,57.3,48.1,47.4,10.4
107.5,36.8,56.7,47.2,46.9,10.0
107.75,36.8,56.9,48.5,47.4,10.1
108.0,36.5,56.6,47.6,46.9,10.1
108.25,35.8,55.7,48.3,46.6,10.0
108.5,36.7,56.1,47.9,46.9,9.7
108.75,36.6,56.5,46.9,46.7,10.0
109.0,36.8,56.2,47.5,46.8,9.7
109.25,36.6,56.4,48.4,47.1,10.0
109.5,37.0,56.0,48.2,47.1,9.6
109.75,36.4,56.0,48.2,46.9,9.8
110.0,36.8,56.2,49.0,47.3,9.8
110.25,36.4,55.5,48.7,46.9,9.7
110.5,36.5,56.1,48.5,47.0,9.9
110.75,36.3,56.2,48.4,46.9,10.0
111.0,35.9,55.9,47.9,46.6,10.0
111.25,36.0,56.9,48.6,47.2,10.5
111.5,36.3,55.3,48.4,46.6,9.6
111.75,35.9,55.6,48.6,46.7,10.0
112.0,36.1,55.3,48.7,46.7,9.8
112.25,35.2,54.9,48.3,46.1,10.0
112.5,35.4,55.2,48.5,46.3,10.1
112.75,35.5,55.3,48.7,46.5,10.1
113.0,34.9,55.7,49.4,46.7,10.7
113.25,35.3,55.5,48.8,46.5,10.3
113.5,35.3,55.7,49.2,46.7,10.5
113.75,35.5,56.3,48.4,46.7,10.5
114.0,35.3,55.7,49.3,46.8,10.4
114.25,35.4,55.4,49.3,46.7,10.3
114.5,34.7,55.6,48.7,46.3,10.6
114.75,34.9,56.3,49.1,46.7,10.9
115.0,34.9,55.9,49.1,46.6,10.7
115.25,35.0,55.9,48.9,46.6,10.6
115.5,35.0,56.4,48.5,46.6,10.9
115.75,34.7,55.3,48.5,46.2,10.5
116.0,34.9,55.6,48.9,46.5,10.6
116.25,34.9,56.8,47.8,46.5,11.0
116.5,34.7,55.3,48.7,46.3,10.5
116.75,34.1,56.4,47.9,46.1,11.2
117.0,34.4,56.2,47.7,46.1,11.0
117.25,33.8,55.1,47.6,45.5,10.8
117.5,34.1,55.6,48.1,46.0,10.9
117.75,34.4,55.7,47.5,45.9,10.8
118.0,34.1,56.5,47.0,45.9,11.2
118.25,34.2,55.9,47.7,45.9,11.0
118.5,34.1,54.9,47.7,45.6,10.6
118.75,34.0,55.0,46.8,45.3,10.6
119.0,34.2,55.4,46.9,45.5,10.7
119.25,34.0,55.1,46.5,45.2,10.6
119.5,34.0,55.3,47.1,45.5,10.7
119.75,34.7,55.4,46.5,45.5,10.4
120.0,33.8,54.8,46.7,45.1,10.6
120.25,33.6,54.6,46.2,44.8,10.6
120.5,33.5,54.3,46.5,44.8,10.5
120.75,33.8,54.2,46.9,45.0,10.3
121.0,33.8,54.6,45.8,44.7,10.4
121.25,33.6,53.8,46.2,44.5,10.2
121.5,33.5,54.3,45.0,44.3,10.4
121.75,33.6,54.2,45.0,44.2,10.3
122.0,33.9,53.7,45.1,44.2,9.9
122.25,33.8,52.7,44.4,43.6,9.5
122.5,33.6,53.7,44.7,44.0,10.1
122.75,33.7,53.0,45.1,43.9,9.7
123.0,33.7,53.1,44.2,43.7,9.7
123.25,33.9,53.2,44.6,43.9,9.7
123.5,33.5,52.7,43.7,43.3,9.6
123.75,33.9,53.1,43.9,43.6,9.6
124.0,33.9,52.8,43.4,43.4,9.5
124.25,33.9,,44.1,39.0,7.2
124.5,33.4,,43.7,38.5,7.3
124.75,33.3,,43.8,38.5,7.4
125.0,33.6,,43.1,38.4,6.7
125.25,33.5,,43.4,38.4,7.0
125.5,33.0,,43.3,38.2,7.3
125.75,33.4,,42.8,38.1,6.7
126.0,33.0,,42.8,37.9,7.0
126.25,32.9,,43.1,38.0,7.2
126.5,33.1,,42.9,38.0,7.0
126.75,32.7,,42.9,37.8,7.2
127.0,33.4,,43.5,38.4,7.1
127.25,32.9,,42.8,37.8,7.0
127.5,32.7,,42.9,37.8,7.2
127.75,32.8,,41.9,37.3,6.4
128.0,32.9,,42.0,37.5,6.5
128.25,32.8,,42.5,37.6,6.8
128.5,33.2,,42.3,37.8,6.5
128.75,32.7,,41.8,37.2,6.4
129.0,32.8,,42.0,37.4,6.5
129.25,33.1,,41.5,37.3,5.9
129.5,32.6,,41.8,37.2,6.5
129.75,32.6,,41.3,36.9,6.1
130.0,33.7,,41.5,37.6,5.5
130.25,33.4,,41.5,37.4,5.7
130.5,32.5,,40.8,36.7,5.8
130.75,33.4,,41.1,37.3,5.5
131.0,33.2,,40.8,37.0,5.4
131.25,32.7,,41.0,36.8,5.9
131.5,32.4,,41.2,36.8,6.2
131.75,32.4,,40.9,36.7,6.0
132.0,32.3,,40.2,36.3,5.6
132.25,32.3,,40.6,36.4,5.9
132.5,32.6,,40.5,36.6,5.6
132.75,32.7,,40.3,36.5,5.4
133.0,32.4,,40.2,36.3,5.5
133.25,32.3,,39.7,36.0,5.3
133.5,32.1,,40.4,36.2,5.9
133.75,31.9,,39.8,35.9,5.5
134.0,31.9,,39.1,35.5,5.0
134.25,31.2,,39.6,35.4,5.9
134.5,31.3,,39.2,35.2,5.6
134.75,31.4,,39.0,35.2,5.4
135.0,31.4,,38.7,35.1,5.2
135.25,31.7,,38.8,35.2,5.0
135.5,31.5,,39.4,35.5,5.5
135.75,31.3,,38.5,34.9,5.1
136.0,31.0,,38.2,34.6,5.1
136.25,30.9,,37.9,34.4,5.0
136.5,31.1,,38.7,34.9,5.4
136.75,31.2,,37.6,34.4,4.5
137.0,30.9,,37.9,34.4,5.0
137.25,30.8,,37.4,34.1,4.6
137.5,31.2,,37.8,34.5,4.7
137.75,31.2,,37.7,34.4,4.5
138.0,30.7,,37.7,34.2,5.0
138.25,30.3,,37.9,34.1,5.3
138.5,30.5,,38.1,34.3,5.3
138.75,30.4,,37.8,34.1,5.2
139.0,30.4,,37.7,34.0,5.1
139.25,30.7,,37.6,34.1,4.8
139.5,30.2,,38.0,34.1,5.5
139.75,30.1,,37.8,33.9,5.4
140.0,29.9,,37.5,33.7,5.3
140.25,29.7,,37.5,33.6,5.5
140.5,30.0,,37.5,33.8,5.3
140.75,30.2,,37.4,33.8,5.2
141.0,29.6,,37.3,33.4,5.5
141.25,30.1,,37.6,33.9,5.3
141.5,30.2,,37.7,33.9,5.3
141.75,30.0,,36.9,33.4,4.9
142.0,29.9,,36.8,33.4,4.9
142.25,29.9,,36.9,33.4,4.9
142.5,30.2,,37.1,33.6,4.9
142.75,30.2,,37.5,33.8,5.2
143.0,30.4,,37.9,34.2,5.4
143.25,30.0,,37.4,33.7,5.2
143.5,30.3,,36.9,33.6,4.6
143.75,30.3,,37.3,33.8,5.0
144.0,29.9,,37.7,33.8,5.5
144.25,30.6,,37.0,33.8,4.5
144.5,30.1,,36.4,33.3,4.5
144.75,30.2,,36.8,33.5,4.7
145.0,30.6,,,30.6,
145.25,30.3,,,30.3,
145.5,30.6,,,30.6,
145.75,30.3,,,30.3,
146.0,29.8,,,29.8,
146.25,30.4,,,30.4,
146.5,29.9,,,29.9,
146.75,29.9,,,29.9,
147.0,29.5,,,29.5,
147.25,29.8,,,29.8,
147.5,29.6,,,29.6,
147.75,29.9,,,29.9,
148.0,29.1,,,29.1,
148.25,29.3,,,29.3,
