Names,Polyolefin_Carpet_Low_Pile_R1,Polyolefin_Carpet_Low_Pile_R2,Polyolefin_Carpet_Low_Pile_R3,Mean,Std. Dev.
451,25.9,13.3,12.4,17.2,7.6
452,25.7,13.4,12.3,17.1,7.5
453,26.0,13.0,11.9,17.0,7.8
454,25.5,13.0,11.9,16.8,7.6
455,25.2,12.8,11.8,16.6,7.5
456,25.2,12.7,11.5,16.5,7.6
457,25.5,12.9,11.5,16.6,7.7
458,25.0,12.8,11.4,16.4,7.5
459,25.1,12.6,11.3,16.3,7.6
460,24.6,12.5,11.2,16.1,7.4
461,24.6,12.4,11.2,16.0,7.4
462,24.6,12.2,11.2,16.0,7.5
463,24.5,12.0,11.0,15.8,7.5
464,24.3,11.8,10.9,15.7,7.5
465,23.9,11.7,10.6,15.4,7.3
466,24.0,11.7,10.5,15.4,7.5
467,24.0,11.5,10.6,15.4,7.5
468,24.0,11.6,10.1,15.3,7.6
469,23.4,11.4,10.0,14.9,7.4
470,23.5,11.3,9.9,14.9,7.5
471,23.5,11.3,9.5,14.8,7.6
472,23.3,11.2,9.3,14.6,7.6
473,23.1,11.2,8.9,14.4,7.6
474,22.9,11.2,8.8,14.3,7.6
475,22.7,11.0,8.5,14.1,7.6
476,22.7,11.0,8.3,14.0,7.7
477,22.8,11.0,8.1,14.0,7.8
478,22.3,11.0,7.8,13.7,7.6
479,22.4,11.0,7.6,13.6,7.8
480,22.5,11.0,7.4,13.6,7.9
481,22.2,10.8,7.2,13.4,7.9
482,22.3,10.9,7.1,13.4,7.9
483,22.3,10.8,7.0,13.4,8.0
484,22.1,10.7,6.8,13.2,7.9
485,22.1,10.9,6.5,13.2,8.1
486,22.1,11.0,6.3,13.1,8.1
487,22.0,10.9,6.1,13.0,8.1
488,21.5,10.9,5.9,12.8,7.9
489,21.7,10.9,5.8,12.8,8.1
490,21.6,10.8,5.5,12.6,8.2
491,21.3,10.8,5.4,12.5,8.1
492,21.0,10.8,5.2,12.3,8.0
493,21.1,10.7,5.1,12.3,8.1
494,21.2,10.8,5.0,12.3,8.2
495,21.4,10.6,4.9,12.3,8.4
496,21.1,10.9,4.8,12.2,8.2
497,20.7,10.8,4.7,12.1,8.1
498,20.6,10.7,4.6,12.0,8.0
499,20.6,10.8,4.5,12.0,8.1
500,20.6,10.7,4.5,11.9,8.1
501,20.4,10.7,4.4,11.8,8.0
502,20.4,10.8,4.3,11.9,8.1
503,20.1,10.8,4.3,11.7,8.0
504,20.3,10.8,4.3,11.8,8.0
505,20.2,10.9,4.1,11.7,8.1
506,20.0,10.9,3.9,11.6,8.0
507,19.7,10.9,,15.3,6.2
508,19.6,10.8,,15.2,6.3
509,19.6,10.8,,15.2,6.2
510,19.3,10.8,,15.1,6.0
511,19.3,10.9,,15.1,6.0
512,18.9,10.7,,14.8,5.8
513,18.7,10.8,,14.7,5.6
514,18.3,10.9,,14.6,5.2
515,18.4,10.7,,14.6,5.4
516,18.1,10.8,,14.5,5.1
517,18.0,10.8,,14.4,5.1
518,18.0,10.8,,14.4,5.1
519,17.9,10.9,,14.4,4.9
520,17.9,10.9,,14.4,5.0
521,17.8,10.9,,14.3,4.9
522,17.8,10.8,,14.3,5.0
523,17.6,10.9,,14.2,4.8
524,17.6,10.8,,14.2,4.8
525,17.4,10.7,,14.0,4.7
526,17.6,10.6,,14.1,5.0
527,17.4,10.5,,14.0,4.9
528,17.2,10.3,,13.7,4.9
529,17.2,10.2,,13.7,4.9
530,16.9,10.2,,13.5,4.7
531,16.8,10.2,,13.5,4.6
532,16.4,10.0,,13.2,4.5
533,16.5,10.0,,13.2,4.6
534,16.6,10.0,,13.3,4.7
535,16.4,10.1,,13.2,4.5
536,16.4,9.9,,13.1,4.6
537,16.4,9.9,,13.1,4.6
538,16.2,9.8,,13.0,4.5
539,16.3,9.9,,13.1,4.5
540,15.9,9.8,,12.9,4.3
541,16.3,9.9,,13.1,4.5
542,16.0,9.8,,12.9,4.4
543,15.8,9.7,,12.7,4.3
544,16.1,9.7,,12.9,4.5
545,15.9,9.6,,12.8,4.5
546,15.9,9.6,,12.7,4.5
547,16.0,9.5,,12.8,4.6
548,15.8,9.7,,12.7,4.3
549,15.7,9.5,,12.6,4.4
550,15.9,9.5,,12.7,4.6
551,15.7,9.4,,12.6,4.5
552,15.8,9.3,,12.6,4.6
553,15.8,9.3,,12.6,4.6
554,15.8,9.3,,12.5,4.6
555,15.6,9.2,,12.4,4.5
556,15.6,9.1,,12.3,4.7
557,15.8,9.2,,12.5,4.7
558,15.8,9.1,,12.5,4.7
559,15.8,9.0,,12.4,4.8
560,15.6,9.2,,12.4,4.5
561,15.4,8.9,,12.2,4.6
562,15.5,9.1,,12.3,4.5
563,15.2,9.1,,12.2,4.3
564,14.9,9.3,,12.1,4.0
565,15.0,9.3,,12.2,4.0
566,14.9,9.4,,12.1,3.9
567,14.5,9.5,,12.0,3.5
568,14.6,9.5,,12.1,3.6
569,14.6,9.5,,12.1,3.6
570,14.6,9.6,,12.1,3.5
571,14.5,9.6,,12.1,3.5
572,14.4,9.7,,12.0,3.3
573,14.4,9.8,,12.1,3.3
574,14.3,9.9,,12.1,3.1
575,14.2,9.8,,12.0,3.1
576,14.5,9.9,,12.2,3.2
577,14.1,9.8,,12.0,3.0
578,14.2,9.9,,12.0,3.1
579,14.4,10.1,,12.2,3.0
580,14.1,9.9,,12.0,2.9
581,14.0,9.9,,12.0,2.9
582,13.9,10.0,,12.0,2.7
583,13.8,9.9,,11.8,2.8
584,13.6,10.0,,11.8,2.6
585,13.5,10.1,,11.8,2.4
586,13.6,10.0,,11.8,2.6
587,13.4,10.0,,11.7,2.4
588,13.4,10.0,,11.7,2.5
589,13.5,9.8,,11.6,2.5
590,13.1,9.8,,11.4,2.3
591,13.1,9.7,,11.4,2.4
592,13.1,9.7,,11.4,2.4
593,13.1,9.6,,11.4,2.5
594,13.0,9.4,,11.2,2.5
595,13.2,9.5,,11.3,2.6
596,13.1,9.4,,11.2,2.6
597,13.3,9.3,,11.3,2.9
598,13.3,9.3,,11.3,2.8
599,13.4,9.2,,11.3,3.0
600,13.5,9.1,,11.3,3.1
601,13.5,8.9,,11.2,3.2
602,13.5,8.8,,11.2,3.3
603,13.4,8.6,,11.0,3.5
604,13.6,8.5,,11.1,3.6
605,13.9,8.5,,11.2,3.8
606,13.8,8.3,,11.1,3.9
607,13.9,8.3,,11.1,4.0
608,13.9,8.1,,11.0,4.1
609,14.1,8.1,,11.1,4.2
610,13.8,8.1,,10.9,4.0
611,14.1,8.1,,11.1,4.2
612,13.9,8.0,,11.0,4.1
613,13.8,8.0,,10.9,4.1
614,13.8,7.8,,10.8,4.3
615,13.7,7.9,,10.8,4.1
616,13.7,7.9,,10.8,4.0
617,13.6,7.8,,10.7,4.1
618,13.5,7.8,,10.6,4.1
619,13.7,7.7,,10.7,4.2
620,13.4,7.8,,10.6,4.0
621,13.4,7.7,,10.5,4.0
622,13.3,7.7,,10.5,4.0
623,13.7,7.7,,10.7,4.2
624,13.4,7.7,,10.6,4.1
625,13.2,7.7,,10.5,3.9
626,13.4,7.7,,10.5,4.0
627,13.1,7.5,,10.3,4.0
628,13.1,7.4,,10.3,4.0
629,12.7,7.4,,10.1,3.8
630,12.9,7.2,,10.0,4.0
631,12.8,7.1,,10.0,4.0
632,12.8,7.0,,9.9,4.1
633,12.7,6.8,,9.8,4.2
634,12.4,6.9,,9.7,3.9
635,12.3,6.7,,9.5,3.9
636,12.4,6.7,,9.6,4.0
637,12.3,6.7,,9.5,4.0
638,12.4,6.7,,9.5,4.0
639,12.3,6.6,,9.5,4.0
640,12.2,6.6,,9.4,4.0
641,12.1,6.5,,9.3,4.0
642,12.1,6.6,,9.3,3.9
643,12.3,6.5,,9.4,4.1
644,12.1,6.7,,9.4,3.8
645,12.1,6.6,,9.3,3.8
646,12.0,6.7,,9.4,3.8
647,12.3,6.9,,9.6,3.8
648,12.0,7.0,,9.5,3.5
649,12.0,7.2,,9.6,3.4
650,11.9,7.2,,9.6,3.3
651,11.7,7.4,,9.6,3.1
652,11.7,7.5,,9.6,2.9
653,11.5,7.5,,9.5,2.8
654,11.3,7.6,,9.5,2.7
655,11.3,7.7,,9.5,2.6
656,11.2,7.7,,9.5,2.5
657,11.1,7.7,,9.4,2.4
658,11.1,7.7,,9.4,2.4
659,11.0,7.6,,9.3,2.5
660,11.2,7.5,,9.3,2.6
661,10.9,7.5,,9.2,2.4
662,10.9,7.4,,9.2,2.5
663,10.9,7.4,,9.2,2.4
664,10.8,7.4,,9.1,2.4
665,10.8,7.4,,9.1,2.4
666,10.9,7.1,,9.0,2.7
667,11.0,7.2,,9.1,2.7
668,10.8,7.3,,9.0,2.5
669,10.8,7.2,,9.0,2.5
670,10.6,7.2,,8.9,2.4
671,10.7,7.2,,9.0,2.5
672,10.7,7.1,,8.9,2.5
673,10.7,7.1,,8.9,2.5
674,10.7,7.1,,8.9,2.5
675,10.5,7.2,,8.8,2.4
676,10.4,7.2,,8.8,2.3
677,10.4,7.2,,8.8,2.3
678,10.2,7.1,,8.6,2.2
679,10.0,7.1,,8.6,2.1
680,10.1,7.1,,8.6,2.1
681,9.9,7.1,,8.5,2.0
682,9.8,7.1,,8.5,1.9
683,9.9,7.1,,8.5,2.0
684,9.9,7.1,,8.5,2.0
685,9.6,7.1,,8.3,1.8
686,9.7,7.1,,8.4,1.8
687,9.4,7.1,,8.2,1.6
688,9.2,7.1,,8.1,1.5
689,9.0,7.1,,8.0,1.4
690,8.9,7.2,,8.0,1.2
691,8.7,7.1,,7.9,1.2
692,8.5,7.1,,7.8,1.0
693,8.4,7.1,,7.7,0.9
694,8.5,7.0,,7.7,1.0
695,8.3,7.1,,7.7,0.9
696,8.2,7.0,,7.6,0.9
697,8.1,6.9,,7.5,0.8
698,8.0,6.8,,7.4,0.8
