Time after Ignition,Polyolefin_Carpet_Low_Pile_R1,Polyolefin_Carpet_Low_Pile_R2,Polyolefin_Carpet_Low_Pile_R3,Mean,Std. Dev.
71.0,310.6,273.5,285.4,289.8,18.9
71.25,308.2,272.1,285.0,288.4,18.3
71.5,309.9,268.3,279.3,285.8,21.5
71.75,300.8,270.6,275.1,282.2,16.3
72.0,299.3,266.6,282.4,282.8,16.3
72.25,294.9,264.6,280.7,280.1,15.1
72.5,295.8,267.9,280.0,281.2,14.0
72.75,297.2,264.4,276.9,279.5,16.6
73.0,296.3,266.9,279.0,280.8,14.8
73.25,284.8,265.0,270.6,273.5,10.2
73.5,288.2,265.8,272.9,275.6,11.5
73.75,285.6,264.0,275.3,275.0,10.8
74.0,275.4,261.4,270.0,269.0,7.1
74.25,277.8,260.7,273.2,270.5,8.9
74.5,270.3,258.9,265.2,264.8,5.7
74.75,270.6,256.7,259.8,262.4,7.3
75.0,269.7,262.1,262.8,264.9,4.2
75.25,267.5,257.2,259.3,261.3,5.4
75.5,258.9,257.4,255.7,257.3,1.6
75.75,257.6,255.9,261.9,258.4,3.1
76.0,254.4,255.2,253.1,254.2,1.0
76.25,255.3,252.8,248.9,252.3,3.3
76.5,253.0,254.2,248.8,252.0,2.8
76.75,249.3,254.4,253.7,252.5,2.8
77.0,244.5,252.2,244.9,247.2,4.3
77.25,238.7,252.1,240.1,243.6,7.3
77.5,237.1,249.0,237.0,241.0,6.9
77.75,231.3,249.6,240.3,240.4,9.2
78.0,232.0,247.7,234.7,238.1,8.4
78.25,231.3,244.6,229.7,235.2,8.2
78.5,224.7,245.2,227.8,232.6,11.0
78.75,222.0,248.5,229.0,233.1,13.7
79.0,216.8,241.0,225.0,227.6,12.3
79.25,217.3,240.6,225.3,227.7,11.8
79.5,218.1,241.6,224.2,228.0,12.2
79.75,208.2,234.8,218.7,220.6,13.4
80.0,205.0,239.4,221.2,221.9,17.2
80.25,202.4,234.9,212.5,216.6,16.6
80.5,201.5,240.0,213.7,218.4,19.7
80.75,203.3,234.9,211.1,216.4,16.4
81.0,197.7,232.4,207.9,212.6,17.8
81.25,191.6,228.2,210.1,210.0,18.3
81.5,186.8,235.3,204.7,208.9,24.6
81.75,187.9,227.4,201.3,205.5,20.1
82.0,185.6,228.3,198.1,204.0,22.0
82.25,185.5,224.6,201.6,203.9,19.6
82.5,178.2,226.4,196.2,200.3,24.3
82.75,179.5,222.0,195.5,199.0,21.5
83.0,174.0,224.2,196.0,198.1,25.2
83.25,174.1,221.6,190.1,195.2,24.2
83.5,173.1,222.1,189.8,195.0,24.9
83.75,166.6,224.7,188.2,193.2,29.4
84.0,163.4,222.5,181.2,189.0,30.3
84.25,160.7,217.5,179.3,185.8,28.9
84.5,162.0,218.3,180.6,187.0,28.6
84.75,157.9,217.0,178.3,184.4,30.0
85.0,156.5,217.0,173.6,182.4,31.2
85.25,155.3,214.0,174.7,181.3,29.9
85.5,152.1,215.4,174.2,180.6,32.1
85.75,147.9,214.8,171.0,177.9,34.0
86.0,148.0,213.0,166.7,175.9,33.4
86.25,144.0,210.8,166.1,173.6,34.0
86.5,143.2,211.9,162.4,172.5,35.4
86.75,140.9,207.9,160.9,169.9,34.4
87.0,138.7,207.3,162.4,169.5,34.8
87.25,135.5,206.8,160.1,167.5,36.2
87.5,136.9,202.5,156.6,165.4,33.7
87.75,134.0,203.1,158.3,165.1,35.1
88.0,134.4,200.8,153.7,163.0,34.1
88.25,130.1,198.9,151.6,160.2,35.2
88.5,130.9,199.9,149.8,160.2,35.7
88.75,126.4,196.1,150.4,157.6,35.4
89.0,124.6,195.0,148.9,156.2,35.8
89.25,123.6,193.3,146.0,154.3,35.6
89.5,121.6,192.4,145.0,153.0,36.1
89.75,120.6,189.0,142.6,150.7,34.9
90.0,120.6,190.2,140.6,150.5,35.8
90.25,117.3,184.8,139.6,147.2,34.4
90.5,115.2,184.6,134.4,144.7,35.9
90.75,113.9,183.0,134.2,143.7,35.5
91.0,111.4,184.5,131.2,142.4,37.8
91.25,110.1,179.9,130.7,140.2,35.8
91.5,107.6,182.6,127.9,139.3,38.8
91.75,109.4,180.9,126.4,138.9,37.3
92.0,104.4,179.0,126.0,136.5,38.4
92.25,103.7,177.0,123.2,134.6,38.0
92.5,103.9,175.4,121.1,133.5,37.3
92.75,102.9,176.3,119.2,132.8,38.5
93.0,101.9,177.7,120.3,133.3,39.6
93.25,100.8,175.1,119.5,131.8,38.6
93.5,98.1,171.0,117.6,128.9,37.7
93.75,99.4,171.0,115.8,128.7,37.5
94.0,97.8,170.8,114.0,127.5,38.3
94.25,95.9,169.3,114.4,126.5,38.2
94.5,96.8,167.4,110.7,125.0,37.4
94.75,95.7,164.1,111.4,123.7,35.8
95.0,92.4,165.0,110.1,122.5,37.9
95.25,93.2,165.7,108.8,122.5,38.1
95.5,90.4,162.7,108.8,120.6,37.6
95.75,89.9,162.3,107.5,119.9,37.8
96.0,88.9,163.6,104.2,118.9,39.5
96.25,87.3,160.5,104.4,117.4,38.3
96.5,87.0,160.3,105.0,117.4,38.2
96.75,85.3,153.8,102.3,113.8,35.7
97.0,84.6,157.9,99.8,114.1,38.7
97.25,82.6,158.4,100.5,113.9,39.6
97.5,82.0,155.8,98.6,112.1,38.7
97.75,80.2,155.7,97.3,111.0,39.6
98.0,79.2,151.2,96.4,109.0,37.6
98.25,77.3,153.9,94.3,108.5,40.3
98.5,77.2,149.8,93.2,106.7,38.1
98.75,75.6,150.8,90.7,105.7,39.8
99.0,74.0,151.0,90.7,105.2,40.5
99.25,72.9,148.7,88.6,103.4,40.0
99.5,72.3,147.2,86.8,102.1,39.7
99.75,69.8,147.1,84.9,100.6,41.0
100.0,68.9,144.0,84.2,99.0,39.7
100.25,69.6,143.9,82.4,98.6,39.7
100.5,68.2,142.3,82.6,97.7,39.3
100.75,67.7,142.6,81.6,97.3,39.8
101.0,66.7,141.4,79.9,96.0,39.9
101.25,66.4,140.3,79.1,95.3,39.5
101.5,63.2,139.2,79.7,94.0,40.0
101.75,63.8,137.7,77.0,92.8,39.4
102.0,62.3,135.5,76.3,91.4,38.8
102.25,60.9,135.0,74.8,90.2,39.4
102.5,60.5,134.0,74.3,89.6,39.1
102.75,60.0,132.2,73.2,88.5,38.4
103.0,58.0,131.0,72.5,87.2,38.7
103.25,57.6,131.1,71.9,86.9,39.0
103.5,57.1,128.7,69.6,85.1,38.3
103.75,56.6,128.2,68.8,84.5,38.3
104.0,56.2,126.3,68.1,83.5,37.5
104.25,54.9,125.0,66.2,82.0,37.7
104.5,52.8,123.8,65.3,80.7,37.9
104.75,52.6,122.4,64.0,79.7,37.4
105.0,52.6,122.1,64.3,79.7,37.2
105.25,51.8,122.2,62.8,78.9,37.9
105.5,50.0,120.1,62.2,77.5,37.4
105.75,49.7,119.7,60.5,76.7,37.7
106.0,48.7,120.1,59.0,75.9,38.6
106.25,47.4,117.8,59.1,74.7,37.7
106.5,47.3,117.9,58.7,74.6,37.8
106.75,46.6,115.9,57.2,73.2,37.3
107.0,45.3,115.8,55.7,72.3,38.1
107.25,45.8,114.2,55.3,71.7,37.0
107.5,45.1,113.1,54.5,70.9,36.9
107.75,44.8,113.3,53.8,70.6,37.2
108.0,43.8,110.5,53.2,69.2,36.1
108.25,43.5,110.0,52.8,68.8,36.0
108.5,43.2,107.4,50.7,67.1,35.1
108.75,42.7,107.3,49.9,66.6,35.4
109.0,41.4,107.0,50.4,66.3,35.6
109.25,41.0,106.1,50.0,65.7,35.3
109.5,40.9,104.8,48.7,64.8,34.8
109.75,40.1,103.3,49.3,64.2,34.1
110.0,39.1,102.0,48.2,63.1,34.0
110.25,39.2,101.2,48.0,62.8,33.5
110.5,38.6,99.5,46.6,61.6,33.1
110.75,38.3,97.9,46.2,60.8,32.4
111.0,37.6,97.7,45.8,60.4,32.6
111.25,37.1,96.0,45.0,59.4,31.9
111.5,36.2,95.3,44.0,58.5,32.1
111.75,36.1,94.5,43.7,58.1,31.8
112.0,35.4,92.9,43.6,57.3,31.1
112.25,34.8,91.7,42.3,56.3,30.9
112.5,34.8,91.9,41.5,56.0,31.2
112.75,33.7,90.8,41.0,55.2,31.1
113.0,33.2,90.0,40.7,54.6,30.9
113.25,33.0,88.8,40.0,53.9,30.4
113.5,32.2,90.0,40.0,54.1,31.4
113.75,32.1,86.6,39.4,52.7,29.6
114.0,31.7,87.3,38.2,52.4,30.4
114.25,31.6,85.8,37.9,51.8,29.7
114.5,31.3,85.1,37.4,51.2,29.4
114.75,30.9,84.9,37.1,51.0,29.5
115.0,30.3,83.4,36.2,49.9,29.1
115.25,30.0,82.0,35.9,49.3,28.5
115.5,29.9,80.1,36.0,48.7,27.4
115.75,29.3,81.5,35.8,48.9,28.4
116.0,28.9,79.4,34.9,47.8,27.6
116.25,28.6,78.3,34.6,47.2,27.1
116.5,28.2,77.5,34.5,46.7,26.8
116.75,27.9,76.8,34.2,46.3,26.6
117.0,27.6,75.9,33.7,45.7,26.3
117.25,27.5,73.9,33.3,44.9,25.3
117.5,26.7,74.0,32.6,44.4,25.8
117.75,26.7,72.7,32.2,43.9,25.1
118.0,26.6,71.7,32.0,43.4,24.6
118.25,25.9,71.7,31.8,43.1,24.9
118.5,26.0,69.9,31.3,42.4,23.9
118.75,25.6,69.3,31.5,42.1,23.7
119.0,25.3,69.1,30.6,41.7,23.9
119.25,25.1,68.7,30.3,41.3,23.8
119.5,24.7,67.3,30.1,40.7,23.2
119.75,24.3,66.9,29.9,40.4,23.2
120.0,24.0,66.6,29.1,39.9,23.2
120.25,23.5,67.0,29.2,39.9,23.7
120.5,23.4,66.0,29.0,39.4,23.1
120.75,23.3,64.2,28.3,38.6,22.3
121.0,23.1,64.6,28.0,38.6,22.7
121.25,22.4,63.6,27.5,37.8,22.4
121.5,22.1,63.1,27.6,37.6,22.3
121.75,21.8,62.6,27.4,37.3,22.1
122.0,21.8,62.0,27.1,36.9,21.8
122.25,21.5,61.6,27.2,36.8,21.7
122.5,21.1,60.2,26.5,35.9,21.2
122.75,21.1,60.6,26.2,36.0,21.5
123.0,20.6,58.7,25.8,35.0,20.6
123.25,20.3,58.3,25.8,34.8,20.6
123.5,19.9,58.3,25.4,34.6,20.8
123.75,20.1,58.3,25.1,34.5,20.8
124.0,19.8,57.2,24.7,33.9,20.3
124.25,19.4,56.3,24.5,33.4,20.0
124.5,19.4,56.2,24.0,33.2,20.1
124.75,18.9,55.6,23.9,32.8,19.9
125.0,18.6,54.8,23.8,32.4,19.6
125.25,18.6,54.6,23.5,32.3,19.5
125.5,18.4,54.4,23.2,32.0,19.6
125.75,18.5,53.7,22.7,31.6,19.2
126.0,18.1,52.6,22.1,30.9,18.9
126.25,17.9,52.3,22.2,30.8,18.8
126.5,17.6,52.7,21.8,30.7,19.2
126.75,17.7,51.9,21.6,30.4,18.7
127.0,17.4,51.0,21.1,29.8,18.5
127.25,17.1,52.1,20.9,30.0,19.2
127.5,17.0,50.9,20.3,29.4,18.7
127.75,16.6,49.9,20.2,28.9,18.3
128.0,17.1,50.2,19.9,29.0,18.3
128.25,16.7,49.8,19.8,28.8,18.3
128.5,16.1,48.7,19.3,28.0,18.0
128.75,15.9,49.2,18.8,28.0,18.5
129.0,15.8,49.0,18.8,27.9,18.3
129.25,15.6,48.6,19.0,27.7,18.1
129.5,15.4,47.9,18.4,27.3,18.0
129.75,15.2,47.5,18.2,27.0,17.8
130.0,15.2,47.0,17.8,26.6,17.6
130.25,15.2,47.4,17.7,26.8,18.0
130.5,15.1,46.8,17.5,26.5,17.6
130.75,15.1,46.4,16.8,26.1,17.6
131.0,15.0,46.1,16.7,25.9,17.5
131.25,14.8,45.4,16.4,25.5,17.2
131.5,14.8,45.7,16.1,25.5,17.5
131.75,14.6,45.0,16.0,25.2,17.2
132.0,14.6,44.3,15.4,24.8,16.9
132.25,14.5,43.6,15.3,24.5,16.6
132.5,14.6,43.8,15.1,24.5,16.7
132.75,14.3,43.6,14.8,24.3,16.8
133.0,14.4,42.6,14.6,23.9,16.2
133.25,14.3,42.3,14.6,23.7,16.1
133.5,14.6,41.5,14.2,23.4,15.6
133.75,14.2,40.8,14.0,23.0,15.4
134.0,14.2,40.7,13.5,22.8,15.5
134.25,14.2,40.7,13.5,22.8,15.5
134.5,14.3,39.4,13.1,22.3,14.8
134.75,14.3,39.3,13.0,22.2,14.8
135.0,14.6,39.1,12.9,22.2,14.6
135.25,14.5,38.6,12.9,22.0,14.4
135.5,14.6,38.5,12.6,21.9,14.4
135.75,14.6,38.2,12.5,21.8,14.3
136.0,14.7,37.7,12.4,21.6,14.0
136.25,14.8,37.3,12.0,21.4,13.9
136.5,14.8,36.7,11.8,21.1,13.6
136.75,14.9,35.8,11.5,20.7,13.2
137.0,14.9,36.0,11.2,20.7,13.4
137.25,15.1,35.3,11.0,20.4,13.0
137.5,15.2,35.4,11.0,20.5,13.0
137.75,15.0,34.3,11.0,20.1,12.4
138.0,15.0,33.7,10.9,19.9,12.1
138.25,15.2,33.6,10.6,19.8,12.2
138.5,15.2,32.7,10.4,19.4,11.8
138.75,15.3,32.4,10.1,19.2,11.7
139.0,15.4,32.0,9.9,19.1,11.5
139.25,15.7,32.0,9.8,19.1,11.5
139.5,15.4,31.1,9.4,18.6,11.2
139.75,15.5,31.2,9.4,18.7,11.3
140.0,15.6,31.1,9.4,18.7,11.2
140.25,15.6,30.7,9.1,18.4,11.1
140.5,15.7,30.3,8.8,18.3,11.0
140.75,15.8,30.1,8.6,18.2,10.9
141.0,15.6,29.8,8.5,18.0,10.8
141.25,15.6,29.4,8.3,17.8,10.7
141.5,15.6,28.8,8.2,17.5,10.4
141.75,15.7,28.5,8.1,17.4,10.3
142.0,15.6,28.5,8.0,17.4,10.3
142.25,15.7,28.3,7.9,17.3,10.3
142.5,15.7,27.4,7.9,17.0,9.8
142.75,16.1,27.2,7.8,17.0,9.7
143.0,15.8,26.5,7.4,16.6,9.6
143.25,15.7,26.1,7.3,16.3,9.4
143.5,15.5,25.4,7.2,16.0,9.1
143.75,15.2,24.8,7.0,15.6,8.9
