Names,Black_PMMA_R1,Black_PMMA_R2,Black_PMMA_R3,Black_PMMA_R4,Mean,Std. Dev.
277,762.7,760.8,725.8,681.2,732.6,38.2
278,751.9,749.0,705.6,689.3,723.9,31.3
279,744.8,760.4,732.0,694.9,733.0,27.9
280,761.8,767.7,750.4,704.3,746.1,28.8
281,760.0,754.7,728.5,710.6,738.5,23.1
282,752.1,735.4,754.8,722.9,741.3,15.0
283,770.3,772.9,721.4,694.2,739.7,38.5
284,785.3,780.0,718.4,730.8,753.6,34.0
285,751.7,749.1,739.4,709.9,737.5,19.2
286,756.5,777.0,762.5,729.7,756.4,19.8
287,796.5,745.0,735.1,701.2,744.5,39.4
288,800.5,758.8,728.9,710.7,749.7,39.2
289,770.2,788.0,762.3,701.7,755.6,37.5
290,750.7,772.9,724.0,733.5,745.3,21.5
291,781.3,783.1,733.5,725.3,755.8,30.7
292,737.0,768.6,726.1,717.3,737.3,22.4
293,794.2,760.0,740.4,711.0,751.4,34.9
294,782.9,743.9,738.1,691.8,739.1,37.3
295,768.8,745.0,736.2,743.9,748.5,14.1
296,769.4,741.5,739.5,707.6,739.5,25.3
297,747.6,774.2,726.1,716.7,741.1,25.6
298,764.7,777.0,732.3,719.3,748.3,27.0
299,748.7,764.3,721.9,714.8,737.4,23.1
300,762.6,759.4,744.8,690.5,739.3,33.5
301,783.3,758.8,756.8,699.9,749.7,35.3
302,750.3,774.3,728.7,677.2,732.6,41.4
303,757.7,772.9,727.7,732.5,747.7,21.3
304,762.5,736.4,766.5,724.5,747.5,20.3
305,748.4,769.6,735.8,717.9,742.9,21.7
306,756.9,769.2,754.6,737.1,754.4,13.2
307,759.2,770.4,728.4,689.9,737.0,36.0
308,767.8,756.1,744.9,733.5,750.6,14.7
309,746.2,761.0,766.6,711.9,746.4,24.6
310,774.7,771.0,726.0,705.6,744.3,34.0
311,766.0,743.3,740.7,695.8,736.4,29.4
312,756.6,772.5,748.0,722.2,749.8,21.0
313,750.8,765.0,754.1,715.3,746.3,21.6
314,765.9,775.4,738.2,738.0,754.3,19.2
315,744.0,770.3,742.9,733.5,747.7,15.8
316,789.1,762.7,733.9,712.9,749.7,33.3
317,768.1,780.3,742.7,711.5,750.6,30.4
318,789.5,781.6,761.1,679.6,752.9,50.3
319,774.9,803.1,758.1,745.5,770.4,24.9
320,792.6,801.2,733.4,712.0,759.8,43.9
321,756.5,744.2,732.6,707.0,735.1,21.1
322,763.6,776.8,740.9,716.3,749.4,26.6
323,779.3,779.6,722.6,716.0,749.4,34.8
324,765.7,767.1,733.7,697.7,741.1,32.8
325,780.2,785.2,745.9,720.3,757.9,30.6
326,795.2,727.7,720.0,694.3,734.3,43.1
327,756.8,775.6,753.1,713.7,749.8,26.0
328,758.9,762.1,744.6,731.8,749.4,14.0
329,762.1,755.2,713.0,722.6,738.2,24.1
330,792.4,745.0,754.4,734.0,756.5,25.4
331,800.1,764.5,732.6,720.2,754.4,35.8
332,781.8,756.5,752.4,735.2,756.5,19.2
333,771.5,763.1,735.9,714.7,746.3,26.0
334,766.2,760.5,766.7,716.8,752.5,24.0
335,808.1,758.7,732.6,759.5,764.7,31.5
336,764.6,767.0,746.9,699.7,744.5,31.2
337,745.1,769.7,745.9,739.5,750.1,13.4
338,796.3,755.6,716.9,743.8,753.2,33.0
339,763.2,813.9,718.8,737.7,758.4,41.2
340,797.3,749.3,738.1,733.6,754.6,29.3
341,784.4,764.9,763.2,742.6,763.8,17.1
342,778.3,765.8,721.1,714.4,744.9,31.9
343,783.2,760.7,739.4,705.2,747.1,33.2
344,771.8,766.6,730.8,717.0,746.5,26.8
345,770.8,772.8,749.4,724.7,754.4,22.5
346,784.0,772.4,732.5,732.4,755.3,26.9
347,769.0,774.8,717.6,727.6,747.2,28.8
348,802.5,767.8,741.1,742.1,763.4,28.9
349,795.8,759.9,737.4,710.5,750.9,36.1
350,773.3,785.9,730.9,731.1,755.3,28.5
351,808.5,786.8,755.3,724.8,768.9,36.6
352,795.7,785.0,741.2,751.8,768.4,26.1
353,763.5,783.5,746.4,750.8,761.0,16.6
354,766.3,808.7,724.4,745.5,761.2,36.0
355,773.2,795.5,757.6,722.8,762.3,30.6
356,802.0,765.2,749.2,708.6,756.2,38.7
357,798.9,754.6,761.2,712.2,756.7,35.5
358,761.4,815.0,745.8,743.3,766.4,33.4
359,795.3,772.9,759.2,689.1,754.1,45.8
360,765.7,772.8,705.0,740.1,745.9,30.6
361,777.4,765.9,743.1,718.6,751.3,26.0
362,804.4,782.9,741.8,709.5,759.6,42.3
363,799.1,795.0,763.3,739.1,774.1,28.3
364,810.3,805.9,732.1,726.5,768.7,45.6
365,765.9,795.0,778.2,750.9,772.5,18.7
366,765.0,785.7,769.1,719.5,759.8,28.3
367,793.5,781.9,774.5,722.9,768.2,31.2
368,792.0,775.2,763.6,746.1,769.2,19.3
369,771.4,797.6,746.1,739.5,763.7,26.5
370,786.8,775.3,785.4,729.1,769.1,27.2
371,829.4,794.4,760.9,707.1,772.9,52.0
372,792.0,775.9,757.8,734.9,765.1,24.5
373,797.2,825.7,751.6,728.7,775.8,43.8
374,768.2,795.5,740.3,732.4,759.1,28.7
375,760.8,767.2,736.2,735.6,750.0,16.4
376,811.6,811.9,764.1,749.9,784.4,32.1
377,791.0,762.1,742.5,743.5,759.8,22.7
378,798.4,768.1,772.9,724.8,766.0,30.6
379,791.3,777.7,764.4,751.9,771.3,17.0
380,789.1,752.0,758.9,722.1,755.6,27.5
381,775.3,778.0,751.7,705.6,752.7,33.5
382,814.4,796.2,741.2,737.1,772.2,38.9
383,795.9,774.3,773.8,743.3,771.8,21.6
384,797.1,828.3,736.0,723.3,771.2,49.9
385,774.5,779.9,758.2,757.5,767.5,11.4
386,804.1,794.8,731.5,741.6,768.0,36.8
387,816.9,785.1,757.7,758.6,779.6,28.0
388,783.1,776.9,769.5,740.4,767.5,18.9
389,781.9,780.7,733.0,727.1,755.7,29.7
390,811.9,815.5,726.9,737.4,772.9,47.3
391,774.5,771.4,781.5,729.9,764.3,23.4
392,790.6,790.5,747.9,722.8,762.9,33.5
393,783.0,804.6,786.1,713.6,771.8,40.0
394,793.7,782.8,794.8,733.7,776.3,28.9
395,776.2,789.8,734.0,734.5,758.6,28.7
396,817.0,773.4,770.4,748.2,777.3,28.8
397,795.5,796.6,772.4,750.1,778.7,22.1
398,784.5,763.6,778.2,750.5,769.2,15.2
399,798.2,784.0,740.5,731.2,763.5,32.6
400,801.3,796.3,774.6,735.2,776.9,30.1
401,798.4,783.2,761.2,746.2,772.3,23.1
402,769.8,800.3,746.0,762.7,769.7,22.7
403,775.1,779.3,755.1,731.1,760.1,22.1
404,782.6,789.7,750.7,761.8,771.2,18.1
405,788.7,794.5,776.3,713.8,768.3,37.1
406,783.8,790.1,796.8,777.5,787.0,8.3
407,796.1,799.7,744.6,733.7,768.5,34.3
408,781.9,800.4,769.7,764.4,779.1,15.9
409,780.6,792.9,754.3,749.4,769.3,20.9
410,798.3,791.3,756.1,777.9,780.9,18.5
411,804.4,819.2,753.7,769.2,786.6,30.3
412,788.4,798.9,765.1,772.9,781.3,15.2
413,804.9,792.3,722.6,750.5,767.6,37.9
414,805.1,807.1,746.0,768.0,781.5,29.8
415,790.1,771.8,727.2,749.3,759.6,27.3
416,790.9,792.0,791.7,765.3,785.0,13.1
417,823.3,803.4,764.5,771.0,790.5,27.7
418,779.8,806.1,772.4,747.7,776.5,24.0
419,779.6,787.0,753.0,775.2,773.7,14.6
420,818.4,816.8,764.1,761.4,790.2,31.7
421,821.9,799.8,764.6,762.4,787.2,28.8
422,815.2,764.4,759.8,778.4,779.5,25.1
423,814.3,827.4,774.2,755.4,792.8,33.7
424,815.5,811.6,799.8,735.7,790.7,37.2
425,796.7,828.6,782.8,761.5,792.4,28.2
426,791.6,786.2,745.8,764.5,772.0,21.0
427,798.9,812.0,773.7,743.1,781.9,30.4
428,791.2,826.5,780.0,767.4,791.3,25.4
429,812.3,764.9,778.6,760.8,779.2,23.4
430,798.0,803.0,767.7,740.1,777.2,29.2
431,798.1,796.6,751.1,786.0,782.9,21.9
432,806.5,799.9,744.8,791.9,785.8,28.0
433,811.7,813.9,754.2,759.2,784.7,32.5
434,834.2,795.0,765.7,771.9,791.7,31.0
435,812.1,854.4,772.5,737.1,794.0,50.6
436,795.8,787.0,736.5,765.6,771.2,26.4
437,774.9,830.7,804.1,728.3,784.5,43.9
438,843.2,825.3,733.2,742.8,786.1,56.2
439,795.1,789.9,767.6,796.3,787.2,13.4
440,799.7,791.9,781.1,765.8,784.6,14.7
441,804.9,795.2,781.3,769.6,787.7,15.5
442,804.7,805.7,758.2,758.6,781.8,27.0
443,783.1,773.9,767.1,763.3,771.8,8.7
444,827.1,803.2,800.5,764.2,798.8,26.0
445,774.4,779.1,767.1,782.0,775.6,6.5
446,835.0,812.0,753.3,765.1,791.4,38.6
447,819.2,807.6,802.0,769.4,799.6,21.3
448,826.4,798.5,786.5,788.3,799.9,18.4
449,794.1,833.0,765.4,746.3,784.7,37.7
450,805.9,818.4,783.7,797.1,801.3,14.6
451,817.2,796.0,771.0,735.4,779.9,35.2
452,806.7,820.7,778.5,763.0,792.2,26.2
453,796.3,793.0,777.7,756.5,780.9,18.2
454,784.1,800.7,786.7,782.4,788.4,8.3
455,797.5,803.6,760.7,770.7,783.2,20.7
456,814.0,803.1,792.7,764.2,793.5,21.4
457,816.0,792.5,790.8,775.9,793.8,16.6
458,809.9,829.8,760.8,753.0,788.4,37.4
459,814.8,784.6,788.0,754.8,785.6,24.6
460,829.5,779.5,766.6,740.1,778.9,37.5
461,807.6,785.2,776.9,773.2,785.7,15.4
462,795.4,812.3,793.4,756.4,789.4,23.5
463,819.3,831.0,774.7,756.4,795.4,35.6
464,827.1,821.0,777.4,760.0,796.4,32.8
465,801.2,794.3,785.5,787.6,792.2,7.1
466,794.2,809.6,775.1,739.2,779.6,30.4
467,819.9,792.6,782.8,802.9,799.5,15.9
468,835.6,809.7,759.2,782.8,796.8,33.1
469,808.1,815.5,764.6,768.8,789.3,26.3
470,793.7,810.6,814.0,748.2,791.6,30.3
471,847.9,836.2,767.9,768.5,805.1,42.9
472,795.6,786.7,812.2,804.8,799.8,11.1
473,788.7,782.1,755.2,766.2,773.1,15.2
474,824.9,801.0,789.7,782.2,799.5,18.6
475,812.8,793.0,787.8,749.3,785.7,26.5
476,828.8,812.9,810.6,805.6,814.5,10.0
477,799.5,807.9,785.7,810.5,800.9,11.2
478,835.7,809.3,767.3,781.8,798.5,30.3
479,832.2,803.1,805.0,772.9,803.3,24.2
480,828.1,805.0,791.6,789.7,803.6,17.7
481,813.3,812.8,817.8,747.6,797.9,33.6
482,837.5,788.4,773.1,794.0,798.3,27.6
483,801.3,808.4,784.3,737.4,782.8,31.9
484,817.0,801.6,807.5,800.0,806.5,7.7
485,821.0,838.5,784.1,781.8,806.4,28.0
486,816.1,853.3,805.9,758.2,808.4,39.2
487,809.0,797.4,776.8,756.2,784.8,23.3
488,832.5,839.3,794.3,786.4,813.1,26.6
489,824.5,825.4,832.9,781.6,816.1,23.3
490,851.2,838.3,821.5,779.5,822.6,31.2
491,803.5,802.0,785.8,775.2,791.6,13.6
492,793.0,844.8,779.4,784.8,800.5,30.0
493,811.1,781.3,760.5,801.7,788.7,22.5
494,846.9,810.2,801.8,769.4,807.0,31.8
495,829.0,815.1,790.0,753.0,796.8,33.4
496,829.2,825.9,815.6,760.6,807.8,32.0
497,825.2,816.2,808.6,777.6,806.9,20.7
498,809.4,836.4,788.5,780.4,803.7,25.0
499,838.8,815.3,808.7,790.8,813.4,19.8
500,814.2,798.3,779.6,782.7,793.7,15.9
501,796.0,842.9,785.0,785.9,802.4,27.4
502,829.9,794.0,794.7,789.3,802.0,18.8
503,798.2,817.2,775.5,764.3,788.8,23.6
504,807.9,806.3,804.8,778.9,799.5,13.8
505,821.4,800.3,759.9,781.3,790.7,26.3
506,823.2,838.5,793.3,812.2,816.8,19.0
507,822.6,843.1,812.3,764.3,810.6,33.4
508,836.3,843.0,794.7,751.4,806.3,42.4
509,822.7,856.7,807.2,815.3,825.5,21.8
510,795.1,810.6,789.1,785.5,795.1,11.1
511,851.6,850.3,798.3,767.3,816.9,41.3
512,827.9,854.7,793.7,824.8,825.3,25.0
513,858.1,834.8,821.1,773.2,821.8,35.8
514,793.4,788.2,806.4,761.2,787.3,19.0
515,801.0,832.3,830.9,790.1,813.6,21.3
516,825.1,806.5,798.6,816.8,811.8,11.6
517,813.4,791.3,810.3,776.7,797.9,17.2
518,811.8,836.8,799.6,766.3,803.7,29.3
519,817.8,838.1,807.6,791.7,813.8,19.4
520,835.5,830.2,809.1,769.1,811.0,30.1
521,823.4,842.3,803.1,795.8,816.1,21.0
522,796.7,833.2,836.3,771.1,809.3,31.2
523,824.6,831.6,807.0,824.4,821.9,10.5
524,817.6,836.2,789.4,796.8,810.0,21.2
525,801.2,844.0,814.2,776.4,809.0,28.2
526,857.3,841.1,840.5,785.1,831.0,31.6
527,844.0,822.4,787.1,810.9,816.1,23.7
528,811.0,843.0,811.0,800.9,816.5,18.3
529,814.8,834.5,815.2,785.6,812.5,20.2
530,853.3,850.7,817.3,765.9,821.8,40.7
531,843.5,819.9,795.1,759.9,804.6,35.8
532,802.3,823.0,827.5,810.6,815.9,11.5
533,843.7,826.8,797.8,751.7,805.0,40.3
534,845.7,857.0,785.2,787.6,818.9,37.8
535,816.8,847.5,827.0,818.6,827.4,14.1
536,854.0,844.7,838.2,789.0,831.5,29.0
537,839.1,844.3,817.9,794.9,824.1,22.5
538,826.3,802.1,792.7,791.0,803.0,16.3
539,821.1,813.8,812.9,791.8,809.9,12.6
540,849.7,844.7,811.2,809.2,828.7,21.5
541,848.6,842.3,789.8,774.8,813.9,37.1
542,845.9,827.4,790.6,814.6,819.7,23.2
543,867.8,824.1,818.9,765.9,819.2,41.7
544,838.0,846.6,825.6,841.2,837.9,8.9
545,876.8,848.4,802.9,784.7,828.2,42.0
546,845.6,832.8,818.8,823.3,830.1,11.9
547,840.3,828.4,789.5,746.7,801.2,42.3
548,828.7,858.9,808.1,799.7,823.8,26.4
549,879.1,851.0,809.3,795.5,833.7,38.3
550,862.9,836.9,804.3,810.4,828.6,26.9
551,829.6,867.6,777.2,798.8,818.3,39.3
552,824.8,845.4,837.2,773.0,820.1,32.5
553,818.6,857.5,839.9,823.6,834.9,17.6
554,811.7,832.4,809.7,771.9,806.4,25.2
555,859.3,856.4,823.1,787.0,831.4,33.9
556,808.7,858.1,791.6,782.3,810.2,33.7
557,841.5,842.5,813.0,799.0,824.0,21.5
558,866.2,832.6,811.5,789.9,825.0,32.5
559,831.9,836.5,839.3,821.4,832.3,7.8
560,825.3,829.9,819.5,791.6,816.6,17.2
561,843.7,828.1,816.8,797.1,821.4,19.6
562,847.2,804.6,783.6,795.6,807.8,27.7
563,831.6,827.7,825.5,794.2,819.7,17.2
564,862.1,802.2,815.8,798.0,819.5,29.4
565,847.8,846.7,822.5,761.4,819.6,40.5
566,838.6,860.3,835.6,855.8,847.6,12.3
567,830.9,852.5,829.6,835.5,837.1,10.6
568,843.1,856.3,814.3,766.2,820.0,39.9
569,828.3,845.0,811.1,792.6,819.2,22.5
570,838.4,856.5,825.6,808.6,832.3,20.2
571,856.1,825.9,829.4,803.4,828.7,21.6
572,846.2,848.0,820.6,787.6,825.6,28.3
573,829.6,830.1,819.8,778.7,814.6,24.4
574,892.8,816.9,784.2,799.8,823.4,48.1
575,817.0,842.3,819.6,825.8,826.2,11.4
576,883.1,833.6,796.3,824.7,834.4,36.2
577,822.3,838.3,826.9,799.5,821.8,16.3
578,822.3,836.4,816.6,814.8,822.5,9.8
579,847.9,851.5,822.4,801.2,830.8,23.6
580,821.6,826.6,803.6,809.9,815.4,10.5
581,822.8,842.2,808.2,786.1,814.8,23.7
582,822.1,837.3,813.2,812.8,821.4,11.5
583,817.0,837.5,771.3,822.6,812.1,28.5
584,845.4,825.0,838.5,787.3,824.1,25.9
585,830.1,854.8,800.6,836.6,830.5,22.5
586,846.5,831.7,816.4,822.2,829.2,13.2
587,818.5,823.5,835.7,825.0,825.7,7.2
588,835.3,863.0,806.9,834.3,834.9,22.9
589,815.9,870.4,861.1,811.5,839.7,30.4
590,837.1,813.3,793.0,799.3,810.7,19.6
591,842.9,881.5,813.0,859.4,849.2,28.9
592,833.2,828.0,822.8,832.9,829.2,4.9
593,875.8,836.1,796.5,802.4,827.7,36.5
594,825.5,853.1,813.4,862.5,838.6,23.0
595,865.6,859.9,841.6,804.8,843.0,27.4
596,842.1,857.1,792.9,807.2,824.8,29.8
597,848.6,854.2,789.3,811.3,825.9,30.9
598,862.4,836.8,799.3,835.0,833.4,26.0
599,850.8,835.5,807.4,830.1,830.9,18.0
600,855.6,842.8,799.6,822.2,830.1,24.5
601,856.4,838.0,805.7,843.8,836.0,21.6
602,861.8,857.8,831.9,849.7,850.3,13.3
603,809.6,881.6,816.0,851.6,839.7,33.5
604,823.4,875.6,808.3,833.9,835.3,28.8
605,835.4,830.9,776.6,849.1,823.0,31.9
606,841.5,871.2,808.5,814.0,833.8,28.8
607,827.2,824.2,839.2,828.4,829.7,6.6
608,823.6,829.0,798.1,829.5,820.0,14.9
609,853.7,849.0,807.2,834.2,836.0,21.0
610,877.7,853.9,793.5,814.0,834.8,38.1
611,874.2,867.9,817.9,871.7,857.9,26.8
612,865.4,872.9,805.5,857.0,850.2,30.5
613,833.8,833.4,821.7,824.2,828.3,6.2
614,843.6,845.4,833.9,829.6,838.1,7.6
615,851.6,826.1,820.0,834.3,833.0,13.7
616,843.4,847.7,809.3,835.3,833.9,17.2
617,817.7,853.7,820.4,835.7,831.9,16.5
618,845.0,848.7,830.7,830.5,838.7,9.5
619,859.1,843.6,831.2,896.4,857.6,28.3
620,816.2,879.7,790.8,836.6,830.9,37.6
621,891.4,859.8,792.9,830.4,843.6,42.0
622,869.1,873.4,800.9,842.2,846.4,33.3
623,834.3,879.7,776.7,869.7,840.1,46.5
624,856.9,855.2,846.0,852.7,852.7,4.8
625,860.6,854.4,842.1,835.4,848.1,11.4
626,874.9,880.3,844.3,844.9,861.1,19.2
627,866.0,900.7,802.1,807.0,844.0,47.7
628,883.1,826.8,761.6,825.6,824.3,49.7
629,853.6,823.7,812.7,838.4,832.1,17.8
630,855.9,842.6,798.6,817.5,828.6,25.6
631,873.4,865.0,826.2,859.6,856.1,20.7
632,864.7,872.4,807.0,831.5,843.9,30.3
633,862.5,849.3,791.3,858.4,840.4,33.2
634,896.3,872.2,820.0,826.1,853.6,36.8
635,881.5,839.4,819.6,823.7,841.1,28.3
636,877.2,870.8,835.8,834.8,854.6,22.5
637,898.6,860.1,811.2,819.1,847.3,40.4
638,893.1,858.9,805.1,814.1,842.8,41.0
639,854.7,861.8,850.1,873.0,859.9,10.0
