Time after Ignition,XPS_Foam_Board_R1,XPS_Foam_Board_R2,XPS_Foam_Board_R3,Mean,Std. Dev.
39.5,341.2,309.3,390.8,347.1,41.1
39.75,345.3,310.1,383.5,346.3,36.7
40.0,332.1,297.2,368.1,332.5,35.5
40.25,326.6,288.7,355.8,323.7,33.7
40.5,320.2,284.3,349.9,318.1,32.9
40.75,313.8,279.7,345.0,312.8,32.6
41.0,312.0,269.2,327.3,302.8,30.1
41.25,296.5,261.8,322.5,293.6,30.5
41.5,287.5,257.2,309.2,284.6,26.1
41.75,287.9,247.3,310.5,281.9,32.0
42.0,278.8,241.5,295.7,272.0,27.7
42.25,275.8,232.5,283.3,263.9,27.4
42.5,268.9,227.7,282.9,259.8,28.7
42.75,258.9,223.2,276.1,252.7,27.0
43.0,256.5,212.2,270.0,246.2,30.3
43.25,247.6,211.5,259.5,239.5,25.0
43.5,243.2,200.4,247.2,230.3,25.9
43.75,238.5,192.2,242.3,224.4,27.9
44.0,231.6,188.5,238.5,219.5,27.1
44.25,225.6,183.3,232.1,213.7,26.5
44.5,217.6,177.5,222.6,205.9,24.7
44.75,216.7,173.1,214.9,201.6,24.6
45.0,211.4,169.4,210.5,197.1,24.0
45.25,209.7,166.6,200.2,192.2,22.7
45.5,206.7,163.3,195.1,188.4,22.5
45.75,199.5,157.5,187.7,181.6,21.6
46.0,194.1,154.1,181.1,176.4,20.4
46.25,191.8,149.3,176.0,172.3,21.5
46.5,194.4,143.4,168.0,168.6,25.5
46.75,183.5,141.7,159.8,161.7,21.0
47.0,181.2,138.4,154.7,158.1,21.6
47.25,178.1,133.4,145.9,152.5,23.0
47.5,174.4,129.4,140.7,148.2,23.4
47.75,172.4,126.8,134.3,144.5,24.4
48.0,168.4,122.7,127.5,139.5,25.1
48.25,165.5,118.3,120.9,134.9,26.6
48.5,162.4,114.7,116.5,131.2,27.0
48.75,160.6,111.3,110.2,127.4,28.8
49.0,155.8,107.6,102.1,121.8,29.5
49.25,150.9,105.3,98.3,118.2,28.5
49.5,148.4,102.1,91.8,114.1,30.1
49.75,147.6,100.4,88.7,112.2,31.2
50.0,142.1,95.0,83.5,106.9,31.1
50.25,141.3,93.7,80.5,105.2,32.0
50.5,137.9,91.0,76.1,101.7,32.2
50.75,137.0,89.2,72.3,99.5,33.6
51.0,133.6,86.2,67.8,95.9,34.0
51.25,129.8,84.4,65.3,93.2,33.2
51.5,126.6,82.7,61.0,90.1,33.4
51.75,124.6,80.0,56.9,87.1,34.4
52.0,122.2,77.6,53.7,84.5,34.8
52.25,118.4,77.9,51.7,82.7,33.6
52.5,117.0,75.8,47.4,80.1,35.0
52.75,114.7,74.2,45.5,78.1,34.8
53.0,114.4,71.7,42.6,76.3,36.1
53.25,112.4,71.4,39.8,74.5,36.4
53.5,109.2,68.9,37.2,71.8,36.1
53.75,106.9,67.3,34.0,69.4,36.5
54.0,104.5,65.3,32.0,67.3,36.3
54.25,103.2,63.8,30.1,65.7,36.6
54.5,100.1,61.5,,80.8,27.2
54.75,97.3,60.0,,78.7,26.4
55.0,97.1,57.9,,77.5,27.7
55.25,93.5,56.4,,74.9,26.2
55.5,90.3,54.0,,72.1,25.7
55.75,89.4,52.3,,70.9,26.3
56.0,87.0,49.6,,68.3,26.4
56.25,84.4,48.1,,66.3,25.7
56.5,82.4,46.4,,64.4,25.5
56.75,80.6,43.9,,62.3,25.9
57.0,79.8,42.2,,61.0,26.6
57.25,77.5,41.6,,59.5,25.4
57.5,74.3,39.3,,56.8,24.8
57.75,73.6,37.2,,55.4,25.7
58.0,71.9,36.4,,54.1,25.1
58.25,70.2,34.9,,52.6,24.9
58.5,68.7,33.9,,51.3,24.6
58.75,68.3,32.8,,50.5,25.1
59.0,66.7,31.1,,48.9,25.2
59.25,65.7,29.7,,47.7,25.5
59.5,64.2,28.6,,46.4,25.2
59.75,64.1,27.6,,45.9,25.8
60.0,63.0,26.5,,44.7,25.8
60.25,61.1,25.3,,43.2,25.3
60.5,60.8,23.7,,42.2,26.2
60.75,60.5,22.9,,41.7,26.6
61.0,59.0,21.6,,40.3,26.4
61.25,59.0,20.2,,39.6,27.4
61.5,57.9,19.5,,38.7,27.2
61.75,56.4,,,56.4,
62.0,56.6,,,56.6,
62.25,56.9,,,56.9,
62.5,54.6,,,54.6,
62.75,53.3,,,53.3,
63.0,53.5,,,53.5,
63.25,52.8,,,52.8,
63.5,51.8,,,51.8,
63.75,50.4,,,50.4,
64.0,49.7,,,49.7,
64.25,49.5,,,49.5,
64.5,48.0,,,48.0,
64.75,47.2,,,47.2,
65.0,46.9,,,46.9,
65.25,46.3,,,46.3,
65.5,45.1,,,45.1,
65.75,44.2,,,44.2,
66.0,43.5,,,43.5,
66.25,43.3,,,43.3,
66.5,42.1,,,42.1,
66.75,42.0,,,42.0,
67.0,40.8,,,40.8,
67.25,40.3,,,40.3,
67.5,39.9,,,39.9,
67.75,39.5,,,39.5,
68.0,39.0,,,39.0,
68.25,38.4,,,38.4,
68.5,38.3,,,38.3,
68.75,38.1,,,38.1,
69.0,37.3,,,37.3,
69.25,36.9,,,36.9,
69.5,36.8,,,36.8,
69.75,35.8,,,35.8,
70.0,36.0,,,36.0,
70.25,35.1,,,35.1,
70.5,34.0,,,34.0,
70.75,33.9,,,33.9,
71.0,33.2,,,33.2,
71.25,31.8,,,31.8,
71.5,31.2,,,31.2,
71.75,30.9,,,30.9,
72.0,30.1,,,30.1,
72.25,29.8,,,29.8,
72.5,28.8,,,28.8,
72.75,28.3,,,28.3,
73.0,28.0,,,28.0,
73.25,28.1,,,28.1,
73.5,27.3,,,27.3,
73.75,27.0,,,27.0,
74.0,26.7,,,26.7,
74.25,26.1,,,26.1,
74.5,25.0,,,25.0,
74.75,24.5,,,24.5,
75.0,24.0,,,24.0,
75.25,23.6,,,23.6,
75.5,22.3,,,22.3,
75.75,22.2,,,22.2,
76.0,22.1,,,22.1,
76.25,21.3,,,21.3,
76.5,20.7,,,20.7,
76.75,19.9,,,19.9,
77.0,19.7,,,19.7,
77.25,19.1,,,19.1,
77.5,18.2,,,18.2,
77.75,17.5,,,17.5,
78.0,16.8,,,16.8,
78.25,16.2,,,16.2,
78.5,14.9,,,14.9,
78.75,14.2,,,14.2,
79.0,13.4,,,13.4,
79.25,12.6,,,12.6,
79.5,11.9,,,11.9,
79.75,11.1,,,11.1,
80.0,10.3,,,10.3,
80.25,9.6,,,9.6,
