Names,XPS_Foam_Board_R1,XPS_Foam_Board_R2,XPS_Foam_Board_R3,Mean,Std. Dev.
660,522.4,126.6,129.4,259.4,227.7
661,521.5,134.7,143.1,266.4,220.9
662,553.7,143.5,157.4,284.9,232.9
663,539.2,152.5,165.2,285.6,219.7
664,525.3,161.2,174.5,287.0,206.4
665,542.1,172.8,190.8,301.9,208.2
666,560.8,184.5,201.4,315.6,212.6
667,544.4,189.8,208.7,314.3,199.5
668,552.9,197.8,222.3,324.3,198.3
669,544.5,209.5,229.5,327.8,187.9
670,558.2,211.0,233.3,334.2,194.3
671,556.8,215.0,240.4,337.4,190.4
672,566.6,227.4,240.0,344.6,192.3
673,554.2,235.7,258.1,349.3,177.8
674,567.7,244.8,258.9,357.1,182.5
675,549.1,251.2,266.3,355.5,167.8
676,562.6,257.9,275.4,365.3,171.1
677,543.7,260.2,280.4,361.4,158.2
678,578.9,272.3,279.7,377.0,174.9
679,552.2,269.9,286.4,369.5,158.5
680,563.1,272.0,292.1,375.7,162.6
681,549.1,295.8,293.5,379.4,146.9
682,561.4,300.1,297.0,386.2,151.8
683,543.6,304.0,305.8,384.5,137.8
684,568.6,320.9,306.3,398.6,147.4
685,539.9,311.2,313.1,388.1,131.5
686,537.7,328.3,317.5,394.5,124.1
687,536.6,332.3,325.6,398.2,119.9
688,553.6,338.5,331.8,407.9,126.2
689,552.5,340.7,338.3,410.5,123.0
690,546.6,345.5,344.3,412.1,116.5
691,556.3,346.9,345.5,416.2,121.3
692,531.4,358.5,356.7,415.5,100.4
693,532.0,366.8,356.2,418.3,98.6
694,518.3,366.2,358.5,414.3,90.1
695,531.4,370.4,362.2,421.3,95.4
696,517.8,383.8,384.6,428.7,77.1
697,531.7,386.4,378.9,432.3,86.1
698,532.9,391.0,386.7,436.9,83.2
699,524.3,391.5,402.0,439.3,73.9
700,523.8,399.5,402.2,441.8,71.0
701,512.3,418.1,417.2,449.2,54.7
702,502.9,423.4,415.4,447.2,48.4
703,491.7,422.0,414.4,442.7,42.6
704,492.8,431.5,423.0,449.1,38.1
705,492.2,436.1,426.8,451.7,35.4
706,493.4,446.7,441.5,460.5,28.6
707,484.3,462.2,447.8,464.8,18.4
708,478.3,462.5,461.9,467.6,9.3
709,472.3,469.7,445.5,462.5,14.8
710,476.5,483.0,457.9,472.5,13.0
711,478.1,483.8,472.0,478.0,5.9
712,461.3,490.1,467.4,473.0,15.2
713,458.0,494.8,482.4,478.4,18.7
714,463.1,482.6,474.6,473.4,9.8
715,454.1,490.2,495.3,479.9,22.5
716,447.1,500.0,494.0,480.4,29.0
717,454.2,517.3,503.5,491.7,33.1
718,448.1,511.2,531.0,496.8,43.3
719,439.4,517.2,525.2,493.9,47.4
720,425.7,512.4,508.7,482.3,49.1
721,431.0,514.1,534.2,493.1,54.7
722,426.8,533.1,522.3,494.1,58.5
723,418.5,510.7,537.9,489.0,62.6
724,415.8,547.8,533.5,499.1,72.4
725,416.5,527.0,532.7,492.1,65.5
726,406.2,519.0,539.4,488.2,71.7
727,393.0,521.4,511.7,475.4,71.5
728,397.0,537.4,527.7,487.4,78.4
729,394.8,544.0,532.1,490.3,82.9
730,393.3,561.5,562.0,505.6,97.2
731,388.3,549.9,548.6,495.6,92.9
732,387.4,544.4,544.3,492.1,90.6
733,383.0,529.5,536.7,483.0,86.7
734,378.7,538.7,552.1,489.8,96.5
735,372.8,537.5,537.9,482.7,95.2
736,364.7,547.5,561.9,491.4,110.0
737,358.4,534.8,541.6,478.3,103.9
738,354.7,549.3,546.8,483.6,111.6
739,356.1,545.2,539.9,480.4,107.7
740,352.6,557.1,566.4,492.0,120.8
741,354.8,549.0,557.2,487.0,114.5
742,339.7,548.6,558.2,482.1,123.5
743,334.4,537.3,540.2,470.7,118.0
744,332.2,552.4,538.9,474.5,123.4
745,336.6,540.5,542.4,473.2,118.3
746,337.5,552.7,556.1,482.1,125.3
747,330.4,528.1,553.5,470.7,122.1
748,339.8,541.0,549.6,476.8,118.7
749,333.9,535.5,552.8,474.1,121.7
750,328.4,545.0,550.0,474.5,126.5
751,321.7,531.7,545.4,466.3,125.4
752,330.4,526.4,518.5,458.5,110.9
753,323.5,534.8,538.5,465.6,123.1
754,318.7,537.5,522.4,459.5,122.2
755,324.9,528.2,535.0,462.7,119.4
756,323.2,531.8,528.1,461.0,119.4
757,318.1,525.0,511.8,451.6,115.8
758,315.8,510.6,536.3,454.2,120.6
759,324.4,508.9,526.6,453.3,112.0
760,319.7,498.9,524.1,447.5,111.4
761,315.0,498.4,517.4,443.6,111.8
762,318.4,490.6,513.2,440.7,106.6
763,312.4,505.3,513.1,443.6,113.7
764,306.4,476.2,520.2,434.3,112.9
765,311.6,484.9,508.0,434.8,107.3
766,302.4,485.7,516.5,434.9,115.7
767,303.1,486.7,503.9,431.2,111.3
768,302.2,475.5,509.4,429.0,111.1
769,303.1,475.7,490.7,423.2,104.3
770,303.9,475.2,496.5,425.2,105.6
771,302.9,469.6,496.6,423.0,104.9
772,291.7,468.0,494.5,418.0,110.2
773,289.2,463.1,486.0,412.8,107.6
774,287.1,443.5,477.7,402.8,101.6
775,292.2,452.7,479.9,408.3,101.4
776,284.3,452.0,479.0,405.1,105.5
777,283.9,447.6,462.9,398.1,99.2
778,275.6,450.5,458.5,394.9,103.4
779,274.0,449.4,454.0,392.5,102.6
780,270.4,441.1,459.6,390.4,104.3
781,270.9,429.0,462.8,387.6,102.4
782,269.2,437.3,453.9,386.8,102.2
783,261.6,445.3,452.2,386.4,108.1
784,258.6,428.5,448.4,378.5,104.3
785,257.0,422.3,436.2,371.8,99.7
786,251.3,423.8,435.5,370.2,103.1
787,252.7,415.1,435.1,367.6,100.0
788,246.2,422.3,431.6,366.7,104.5
789,245.3,404.5,425.3,358.4,98.5
790,241.3,401.7,417.1,353.4,97.3
791,239.3,396.8,420.2,352.1,98.4
792,231.0,397.8,415.3,348.0,101.7
793,229.5,403.1,411.7,348.1,102.8
794,229.7,391.9,401.7,341.1,96.6
795,231.4,396.7,401.8,343.3,96.9
796,225.9,393.5,399.5,339.6,98.5
797,224.3,391.3,403.6,339.8,100.2
798,219.7,385.8,390.0,331.8,97.2
799,223.2,383.3,384.3,330.3,92.7
800,219.4,381.3,391.7,330.8,96.6
801,218.0,374.2,388.8,327.0,94.7
802,214.5,382.0,386.9,327.8,98.1
803,212.3,376.7,383.4,324.1,96.9
804,208.9,371.2,373.8,318.0,94.5
805,208.2,376.2,375.8,320.1,96.9
806,206.0,368.2,368.8,314.3,93.8
807,203.5,370.2,364.6,312.8,94.7
808,199.6,361.8,368.3,309.9,95.6
809,200.9,360.5,366.4,309.3,93.9
810,197.6,352.9,354.9,301.8,90.3
811,196.5,351.9,361.2,303.2,92.5
812,195.8,349.4,358.4,301.2,91.4
813,193.6,349.4,356.1,299.7,91.9
814,190.7,341.7,355.7,296.0,91.5
815,193.0,336.7,351.7,293.8,87.6
816,191.4,329.5,353.4,291.4,87.4
817,186.2,329.4,358.0,291.2,92.0
818,184.5,327.0,351.3,287.6,90.1
819,185.7,320.7,342.0,282.8,84.7
820,182.6,317.5,349.0,283.0,88.4
821,180.4,319.4,349.8,283.2,90.3
822,181.2,305.6,351.6,279.4,88.2
823,180.5,305.3,339.0,274.9,83.5
824,170.4,309.2,334.6,271.4,88.4
825,175.9,302.9,336.5,271.7,84.7
826,170.8,303.8,339.9,271.5,89.1
827,168.7,305.1,333.2,269.0,88.0
828,171.3,296.4,330.0,265.9,83.6
829,166.0,300.8,328.4,265.1,86.9
830,167.4,298.4,322.0,262.6,83.3
831,162.5,300.2,324.1,262.3,87.2
832,163.8,297.8,320.9,260.8,84.8
833,163.4,293.1,324.0,260.2,85.2
834,160.9,289.1,315.9,255.3,82.9
835,159.2,293.7,315.5,256.1,84.7
836,159.9,293.8,319.7,257.8,85.8
837,158.2,297.3,324.2,259.9,89.1
838,157.9,291.4,313.1,254.1,84.1
839,158.2,289.2,309.6,252.3,82.1
840,154.7,290.0,315.6,253.4,86.4
841,154.6,290.4,306.8,250.6,83.6
842,151.7,292.1,309.7,251.2,86.6
843,151.1,287.7,310.4,249.8,86.2
844,150.8,290.4,306.4,249.2,85.6
845,149.0,293.5,306.5,249.7,87.4
846,146.5,290.4,292.2,243.0,83.6
847,146.5,284.9,297.6,243.0,83.8
848,146.4,288.7,291.2,242.1,82.9
849,145.2,279.3,292.0,238.8,81.4
850,145.5,279.0,294.5,239.7,81.9
851,143.8,282.8,298.9,241.8,85.3
852,142.2,278.8,293.0,238.0,83.2
853,144.8,272.5,288.0,235.1,78.6
854,140.7,275.7,282.3,232.9,79.9
855,138.9,274.6,287.5,233.7,82.3
856,140.1,266.9,284.1,230.4,78.7
857,139.8,262.2,283.8,228.6,77.7
858,136.5,265.0,273.8,225.1,76.8
859,136.7,263.4,271.5,223.9,75.6
860,136.2,260.5,266.8,221.2,73.6
861,135.3,263.4,266.8,221.9,75.0
862,132.8,251.3,270.4,218.2,74.6
863,129.9,251.9,261.8,214.5,73.4
864,131.0,250.2,262.8,214.7,72.8
865,128.8,243.6,258.0,210.1,70.8
866,129.1,237.5,254.6,207.1,68.1
867,124.6,239.8,252.1,205.5,70.3
868,122.5,232.8,250.4,201.9,69.3
869,121.7,230.3,246.8,199.6,68.0
870,120.0,228.7,242.1,196.9,67.0
871,116.0,223.4,239.0,192.8,67.0
872,115.2,220.9,237.4,191.2,66.3
873,114.1,218.9,232.5,188.5,64.8
874,111.6,218.1,231.1,186.9,65.6
875,110.5,213.4,231.1,185.0,65.1
876,107.0,213.7,228.2,183.0,66.2
877,103.9,206.7,222.5,177.7,64.4
878,103.6,206.0,215.7,175.1,62.1
879,101.3,201.9,211.5,171.6,61.0
880,100.7,200.3,208.6,169.9,60.0
881,97.2,197.1,207.8,167.3,61.0
882,95.7,196.5,204.5,165.6,60.6
883,93.3,193.7,198.6,161.9,59.4
884,92.6,189.2,196.3,159.4,58.0
885,90.0,188.9,191.3,156.8,57.8
886,87.3,187.3,189.0,154.5,58.2
887,86.9,184.4,183.1,151.5,55.9
888,85.6,183.6,179.2,149.5,55.3
889,82.9,180.6,176.8,146.8,55.3
890,81.0,178.0,177.5,145.5,55.9
891,79.2,174.4,173.2,142.3,54.6
892,78.2,172.8,171.3,140.8,54.2
893,77.8,168.4,167.7,138.0,52.1
894,74.1,166.3,164.9,135.1,52.8
895,72.8,162.7,160.0,131.8,51.1
896,71.1,157.7,159.0,129.2,50.4
897,70.3,154.2,156.0,126.8,49.0
898,68.7,151.2,151.3,123.7,47.7
899,69.1,148.7,150.3,122.7,46.4
900,66.9,143.9,148.2,119.7,45.8
901,64.7,140.2,143.5,116.1,44.5
902,63.1,137.8,140.6,113.8,44.0
903,62.9,133.3,138.0,111.4,42.0
904,62.0,131.3,137.1,110.1,41.8
905,60.2,126.4,130.8,105.8,39.6
906,60.0,121.8,128.7,103.5,37.8
907,58.4,121.1,125.0,101.5,37.3
908,57.9,117.5,121.0,98.8,35.5
909,57.9,113.7,119.0,96.9,33.9
910,57.0,111.5,117.9,95.5,33.5
911,55.6,109.0,114.5,93.0,32.5
912,54.3,105.6,112.3,90.8,31.8
913,53.5,104.3,108.3,88.7,30.6
914,52.4,99.7,105.5,85.9,29.1
915,52.0,98.2,102.5,84.3,28.0
916,50.7,95.9,99.0,81.9,27.1
917,50.6,92.8,97.2,80.2,25.7
918,49.9,91.5,94.6,78.7,24.9
919,49.4,89.1,93.0,77.2,24.1
920,47.8,86.9,91.6,75.4,24.1
921,46.8,84.1,89.6,73.5,23.3
922,45.4,82.3,87.9,71.9,23.1
923,44.9,81.1,85.3,70.4,22.2
924,43.9,77.9,82.9,68.2,21.2
925,42.8,75.8,82.6,67.1,21.3
926,42.3,73.7,78.1,64.7,19.5
927,40.7,72.7,76.1,63.2,19.5
928,39.7,69.3,74.0,61.0,18.6
929,39.6,67.6,72.1,59.8,17.6
930,38.4,66.1,69.3,57.9,17.0
931,36.8,64.6,67.6,56.3,16.9
932,36.9,62.4,65.4,54.9,15.7
933,35.8,61.0,63.2,53.4,15.2
934,36.0,58.7,61.4,52.0,14.0
935,34.4,58.1,60.0,50.8,14.2
936,34.1,57.3,57.9,49.8,13.5
937,34.0,55.7,55.9,48.5,12.6
938,33.8,55.0,54.5,47.8,12.1
939,32.5,53.1,52.9,46.1,11.8
940,32.3,51.6,50.7,44.9,10.9
941,31.2,51.1,50.3,44.2,11.3
942,30.7,49.3,48.4,42.8,10.5
943,29.9,48.4,46.6,41.6,10.2
944,29.3,47.1,45.3,40.6,9.8
945,28.6,46.2,44.1,39.6,9.6
946,28.1,45.0,43.0,38.7,9.2
947,27.1,44.2,41.9,37.7,9.3
948,26.3,43.3,42.6,37.4,9.6
949,26.0,43.2,41.0,36.7,9.4
950,25.3,42.2,40.0,35.9,9.2
951,24.7,40.4,39.0,34.7,8.7
952,24.0,39.0,38.1,33.7,8.5
953,23.4,38.3,37.6,33.1,8.4
954,22.5,37.6,36.8,32.3,8.5
955,21.4,36.7,36.0,31.4,8.6
956,21.0,35.8,35.2,30.7,8.4
957,20.6,34.5,34.1,29.7,7.9
958,19.5,33.7,33.5,28.9,8.1
959,18.8,33.0,32.5,28.1,8.0
960,18.4,32.4,31.7,27.5,7.9
961,17.9,31.5,31.0,26.8,7.7
962,17.5,30.6,29.9,26.0,7.3
963,17.0,30.5,29.1,25.6,7.4
964,16.2,29.5,28.9,24.8,7.5
965,15.5,29.1,28.1,24.2,7.5
966,15.1,28.8,27.5,23.8,7.6
967,14.6,28.5,26.7,23.3,7.6
968,13.9,27.8,25.5,22.4,7.4
969,13.3,27.1,25.4,21.9,7.5
970,12.8,26.7,24.8,21.5,7.6
971,12.3,26.2,24.2,20.9,7.5
972,12.1,25.7,23.8,20.5,7.3
973,11.6,25.0,23.3,20.0,7.3
974,10.9,24.4,23.2,19.5,7.5
975,10.4,23.9,22.8,19.1,7.5
976,10.2,24.3,22.6,19.0,7.7
977,9.4,23.3,21.8,18.2,7.6
978,8.8,22.4,21.3,17.5,7.6
979,8.5,22.5,21.0,17.3,7.7
980,7.9,22.3,20.9,17.0,7.9
981,7.4,21.4,20.5,16.4,7.8
982,6.8,21.0,20.0,16.0,7.9
983,6.4,20.5,19.4,15.4,7.8
984,6.0,20.1,19.5,15.2,8.0
985,5.6,19.5,19.1,14.7,8.0
986,5.2,19.1,18.7,14.3,7.9
987,4.8,18.3,18.8,14.0,8.0
988,4.3,18.1,18.2,13.5,8.0
989,4.2,17.5,18.1,13.3,7.9
990,3.8,16.9,17.6,12.8,7.8
991,3.6,16.8,17.8,12.7,7.9
992,3.3,16.3,17.4,12.4,7.8
993,3.0,15.8,17.0,11.9,7.8
994,2.8,15.5,16.9,11.7,7.8
995,2.5,15.3,16.6,11.4,7.8
996,2.2,14.9,16.2,11.1,7.7
997,2.2,14.4,16.1,10.9,7.6
998,1.8,14.0,16.0,10.6,7.7
999,1.4,13.8,15.7,10.3,7.8
1000,1.0,13.5,15.7,10.0,7.9
1001,0.7,13.3,15.3,9.7,7.9
1002,0.2,12.8,15.5,9.5,8.1
1003,-0.1,12.7,15.1,9.2,8.2
1004,-0.5,12.1,14.9,8.8,8.2
1005,-0.8,11.7,14.7,8.5,8.2
1006,-1.2,11.2,14.6,8.2,8.3
1007,-1.5,10.8,14.5,7.9,8.4
1008,-1.9,10.4,14.1,7.6,8.4
1009,-2.2,10.2,14.0,7.3,8.4
1010,-2.4,9.9,13.7,7.1,8.4
