Time after Ignition,PP_R1,PP_R2,PP_R3,Mean,Std. Dev.
22.75,762.4587067271322,656.0622134869091,660.8877861932453,693.1362354690955,60.08348611704401
23.0,712.585445438781,701.1550367977525,651.0159836245858,688.2521552870397,32.750006419572316
23.25,752.1862725109819,658.737333799058,658.2375004962939,689.7203689354446,54.097636643978085
23.5,770.9067851351659,677.4956013466247,682.346819385172,710.2497352889874,52.586517769726015
23.75,742.1442804045159,706.7239786996962,661.5333510925512,703.467203398921,40.40402727642934
24.0,768.3857165316,699.731259889084,670.7077172862722,712.9415645689854,50.161060559406366
24.25,760.5385018379147,725.2781375530418,710.7883281836254,732.2016558581939,25.587521840719937
24.5,786.6374930431177,733.1297501031249,734.1498621332006,751.3057017598144,30.602479696973198
24.75,770.6753336578032,717.6750297475193,703.1304835296648,730.4936156449958,35.55015897315237
25.0,815.7020050966368,771.1585165055769,702.936675843097,763.2657324817702,56.7954830963665
25.25,797.4329314223075,754.8527390943773,738.3043483873754,763.5300063013534,30.50440226533973
25.5,815.0976081273099,778.2375267237112,733.304065143811,775.5463999982773,40.96312415743732
25.75,797.9634384308152,767.9214949889166,733.5911335492589,766.492022322997,32.20995114895349
26.0,820.0386289638127,785.1738052201332,752.6332013026215,785.9485451621891,33.7093916591561
26.25,842.178575941076,806.9660434450009,758.8843627002494,802.6763273621087,41.812471081077476
26.5,853.4320217908561,791.2349524945465,744.8556388832797,796.5075377228941,54.479884797655416
26.75,864.6911443048282,798.6511326373727,845.5111947603681,836.284490567523,33.97307519133516
27.0,830.8346687941047,765.1394080230823,799.7044499340859,798.559508917091,32.862592554338384
27.25,858.263137818459,809.1539133693026,794.2318700098364,820.5496403991992,33.502205303529294
27.5,817.1925918207404,825.0316135994767,800.423475050968,814.215893490395,12.571223902948372
27.75,849.1015446754004,806.9566752361216,822.4260366849239,826.161418865482,21.31929443109195
28.0,920.390909269058,856.8944888126155,805.6244911904452,860.9699630907062,57.49164980753532
28.25,861.1715253115751,789.6540892398183,842.5623274501608,831.1293140005181,37.10419468165614
28.5,879.3492270135249,864.0830976028157,892.2594503896861,878.5639250020089,14.104582182025588
28.75,879.6948823331693,837.1749308782911,793.5231166336712,836.7976432817105,43.08712174641281
29.0,889.355918036549,884.8878662786731,877.21024024741,883.818008187544,6.143111547966742
29.25,851.1037978879702,886.8450128936073,828.102063110883,855.3502912974868,29.600811931460896
29.5,925.7096752098549,846.1983114651163,876.6165991041042,882.8415285930251,40.11952830597044
29.75,925.1700471345926,869.4700939955899,863.3689389660053,886.0030266987293,34.056535944532826
30.0,850.6381195825934,829.9063259026552,873.4346052277397,851.3263502376627,21.772299403751003
30.25,899.7330562423183,938.9653561158071,870.348670198259,903.0156941854615,34.42592308822211
30.5,911.4946530008037,970.4832354422521,872.0869397242941,918.0216093891166,49.52179946776129
30.75,977.1159933956599,944.3488430586319,943.4000552514825,954.9549639019248,19.197876724846335
31.0,950.9702778790028,869.2098724766862,859.4201129845363,893.2000877800751,50.26933454680114
31.25,1005.4310454963802,916.481396987627,922.1556725314094,948.022705005139,49.797967018799206
31.5,979.6252340912505,907.5485629660669,970.0682785725052,952.4140252099409,39.14736423393249
31.75,971.7507890518467,983.4997627006403,898.4058281408409,951.2187932977758,46.11308449833671
32.0,1007.8681954516355,954.148612865409,1010.9810916779733,990.9992999983392,31.951563144169064
32.25,1003.2222554250786,974.7915503479078,938.8327195884422,972.2821751204762,32.268030685779514
32.5,955.364123006902,960.2937934425931,960.8101193646052,958.8226786047002,3.006302252224624
32.75,967.2161800527398,952.6642160263366,1073.047654139793,997.6426834062898,65.70671291996568
33.0,947.9881085308963,985.4868785743244,914.1572987171629,949.2107619407944,35.68050450414546
33.25,1003.2893511698388,975.7109227618956,931.8561090514697,970.2854609944014,36.02434935468358
33.5,1075.6766211755241,982.4392026292021,1023.6870056282467,1027.2676098109912,46.72172512900848
33.75,991.5765082231914,1056.7991141718232,976.3291670520084,1008.2349298156743,42.74319074228229
34.0,1025.3296866756752,1055.3489270290934,1067.2542409815728,1049.3109515621138,21.604627380307303
34.25,1060.417309183222,1075.4266954482068,1056.7592805750403,1064.201095068823,9.892212656063617
34.5,1095.7223958173759,960.1794320944242,1052.1996078017303,1036.03381190451,69.20240943379993
34.75,1075.0496938374774,1073.710594130186,1028.884292388668,1059.214860118777,26.275574230253714
35.0,1090.0319200324204,960.6208954193105,1096.9383840044195,1049.1970664853834,76.78690234469546
35.25,1096.3748876468717,1054.1498719880778,1070.4788897789442,1073.6678831379647,21.292375297961783
35.5,1079.6279425437804,1063.0404905794596,1177.804855181058,1106.824429434766,62.02782859338875
35.75,959.5204083866057,1115.592729749067,1058.1844456516135,1044.4325279290954,78.93971626913815
36.0,1032.3705607571617,1007.2691173740858,1206.9130696861826,1082.1842492724766,108.74502101854738
36.25,1167.8289110402684,1041.6659682468694,1013.6278019108512,1074.3742270659964,82.13932164572492
36.5,1205.2585450234008,1114.2171950460067,1051.3227180704314,1123.5994860466128,77.39560868187985
36.75,1116.3064026424486,1161.2497371874576,1174.8239475515634,1150.7933624604898,30.62805241719827
37.0,1039.5079510215892,1146.341440675909,1171.5853975473067,1119.1449297482684,70.11312733836941
37.25,1159.992628434332,1109.9328654989927,1041.0696052920916,1103.6650330751388,59.70875690208756
37.5,991.2934426497444,1171.01801738127,1073.8333264572166,1078.7149288294104,89.9616764066627
37.75,1166.5975538797272,1146.0346494680898,1139.4523272513222,1150.6948435330467,14.15993957328772
38.0,1236.779740490264,1085.8939780828052,1173.952036428552,1165.5419183338736,75.79364016258124
38.25,1237.0625235672053,1289.3686172401513,1140.5228586492165,1222.3179998188577,75.51036814936012
38.5,1174.6294135310857,1097.5438213239574,1194.771232106412,1155.6481556538183,51.317720767952416
38.75,1180.7746466498293,1202.9770664590549,1064.600778401869,1149.4508305035845,74.31611781837185
39.0,1243.6275461403875,1241.5251416445544,1224.6864204761714,1236.6130360870377,10.382107017029144
39.25,1169.4190647984733,1235.2090782175592,1183.4123950637918,1196.0135126932748,34.65793690563425
39.5,1178.0544915436062,1133.042091107836,1365.1330075075066,1225.4098633863161,123.07902664784409
39.75,1337.4834465310905,1151.1433668002167,1128.66759349238,1205.7648022745623,114.62391124904815
40.0,1232.3147738221176,1283.386381754294,1273.0283163890515,1262.9098239884877,26.997503598290116
40.25,1098.3748966076557,1252.003455489492,1318.0897296736339,1222.8226939235938,112.72661443278162
40.5,1466.6779320364756,1158.9079827229893,1156.9091692840602,1260.831694681175,178.27087223882637
40.75,1310.4388529007254,1148.781887384705,1245.4368645505344,1234.885868278655,81.3433234304381
41.0,1277.9152145626601,1103.9728139926517,1210.268921439825,1197.3856499983788,87.68394203780873
41.25,1149.3392351621771,1184.7683955525354,1252.334208196541,1195.4806129704177,52.32642562886681
41.5,1330.935975832832,1260.1865268467157,1208.9299917145715,1266.6841647980398,61.26197445704933
41.75,1373.6824966770475,1144.0082743473827,1294.9122418154247,1270.8676709466183,116.70976026829493
42.0,1230.1236514597697,1160.308735325699,1235.6339137412222,1208.6887668422303,41.98882392682629
42.25,1485.914261414278,1443.4774290857924,1336.4935486276897,1421.9617463759203,76.99890131857042
42.5,1274.7469155048302,1252.5102641926057,1529.1408662968022,1352.1326819980795,153.69625937850057
42.75,1297.986892125144,1209.2577910147588,1282.5035627257441,1263.249415288549,47.39467260266895
43.0,1333.787178378753,1150.1381772429984,1264.7161941841061,1249.5471832686192,92.75943657469962
43.25,1746.2100844522731,1333.2798293368269,1310.9743505031413,1463.4880880974135,245.09830479556123
43.5,1400.3310342526174,1333.2396739067221,1247.23136870637,1326.9340256219032,76.74436655424351
43.75,1477.3443640862718,1504.4028107874124,1521.3971988577466,1501.0481245771437,22.217189348064302
44.0,1517.1380400421224,1383.3441489643392,1675.657075922838,1525.379754976433,146.33064004354998
44.25,1333.3738720272286,1462.141272381793,1438.1815804052055,1411.2322416047425,68.48328989508887
44.5,1703.0445523119286,1584.3170430716357,1663.2595776748983,1650.2070576861543,60.43038615749018
44.75,1431.4728068964184,1254.9296609814658,1288.5738302578955,1324.9920993785934,93.73680353360544
45.0,1511.5020687655663,1386.0567210509648,1354.5557782882474,1417.3715227015928,83.02708669742282
45.25,1409.2602283252984,1599.6806431733094,1497.0526000373093,1501.9978238453057,95.30647945761889
45.5,1576.4997440610928,1241.8213395186658,1556.8966590549946,1458.4059142115846,187.823663928759
45.75,1621.5224963607131,1472.1340939613683,1240.7341931433573,1444.7969278218131,191.86042701973346
46.0,1739.774737531507,1467.268056814894,1341.6525748422746,1516.2317897295586,203.52739241141936
46.25,1595.5092488844032,1760.96908438199,1733.9032936115916,1696.7938756259948,88.75286456303486
46.5,1494.7813608405127,1435.6021151612126,1686.3592342497775,1538.914236750501,131.07465905148865
46.75,1661.4233525379473,1629.7537947827752,1622.9940176150337,1638.0570549785855,20.51612885180486
47.0,1922.290155383658,1356.6665181014414,1494.3988531012005,1591.1185088620998,294.9551552710535
47.25,1754.234781769509,1567.6098284131003,1419.9923684965688,1580.6123262263927,167.50013856611656
47.5,1597.878195943168,1629.7872814229854,1595.9829070379471,1607.8827948013668,18.99349706152247
47.75,1668.962409758846,1422.5669332566176,1540.7583622956417,1544.0959017703683,123.23163996108734
