Names,PP_R1,PP_R2,PP_R3,Mean,Std. Dev.
700,494.5,459.4,483.0,479.0,17.9
701,487.9,464.3,503.7,485.3,19.8
702,468.0,450.6,496.2,471.6,23.0
703,488.9,473.4,501.5,487.9,14.0
704,493.8,486.6,492.4,491.0,3.8
705,490.6,468.2,504.0,487.6,18.1
706,510.9,491.1,505.1,502.4,10.2
707,483.7,483.6,525.1,497.5,23.9
708,505.7,477.7,525.5,503.0,24.1
709,503.2,472.6,501.7,492.5,17.3
710,497.3,494.5,516.8,502.9,12.1
711,515.5,488.0,518.3,507.3,16.7
712,515.7,506.6,518.9,513.7,6.4
713,511.9,493.3,534.7,513.3,20.7
714,500.3,489.7,543.3,511.1,28.4
715,511.8,518.0,541.8,523.8,15.8
716,522.7,497.4,526.0,515.4,15.6
717,509.3,510.2,528.4,516.0,10.8
718,505.8,529.4,535.3,523.5,15.6
719,521.7,509.1,533.1,521.3,12.0
720,533.3,520.9,540.4,531.5,9.9
721,536.8,503.6,535.5,525.3,18.8
722,549.1,517.5,574.7,547.1,28.7
723,512.4,526.2,550.0,529.5,19.0
724,529.7,532.1,563.2,541.7,18.7
725,526.3,528.1,557.1,537.2,17.3
726,539.8,529.0,578.2,549.0,25.9
727,540.6,555.9,554.7,550.4,8.5
728,556.0,525.4,582.7,554.7,28.7
729,570.0,567.5,590.4,575.9,12.6
730,559.9,550.3,582.3,564.1,16.4
731,547.6,569.2,575.9,564.3,14.8
732,523.0,573.1,562.5,552.9,26.4
733,557.3,562.1,598.3,572.6,22.4
734,549.2,570.4,575.5,565.0,13.9
735,553.7,549.4,588.6,563.9,21.5
736,570.2,569.6,584.4,574.7,8.4
737,562.8,561.3,598.4,574.2,21.0
738,576.8,577.5,582.3,578.9,3.0
739,549.5,587.6,569.0,568.7,19.1
740,603.2,584.7,582.7,590.2,11.3
741,573.4,577.8,585.9,579.0,6.4
742,571.8,591.0,583.2,582.0,9.6
743,562.6,584.2,589.3,578.7,14.1
744,573.5,588.1,598.2,586.6,12.4
745,579.7,605.1,596.3,593.7,12.9
746,585.2,593.8,613.7,597.5,14.6
747,585.2,593.5,590.0,589.6,4.2
748,579.3,613.1,586.7,593.0,17.7
749,589.8,612.6,624.5,609.0,17.6
750,592.2,593.0,602.8,596.0,5.9
751,569.5,606.3,598.7,591.5,19.4
752,569.1,628.6,622.6,606.8,32.8
753,591.2,616.7,624.2,610.7,17.3
754,585.5,632.2,642.9,620.2,30.5
755,585.8,627.8,627.4,613.7,24.1
756,595.0,632.2,638.2,621.8,23.4
757,600.8,633.0,635.2,623.0,19.3
758,605.0,634.7,650.6,630.1,23.1
759,592.7,624.3,633.9,616.9,21.6
760,599.9,644.3,625.3,623.2,22.3
761,610.4,618.5,636.2,621.7,13.2
762,611.1,633.9,637.9,627.6,14.5
763,616.5,664.2,655.4,645.3,25.4
764,600.1,641.8,678.5,640.1,39.2
765,630.4,659.1,649.7,646.4,14.6
766,623.7,665.1,654.2,647.7,21.5
767,616.5,621.9,684.6,641.0,37.9
768,599.2,697.9,636.6,644.6,49.8
769,619.9,644.6,649.9,638.2,16.0
770,609.3,661.4,660.3,643.6,29.8
771,621.8,657.4,629.0,636.1,18.8
772,639.9,668.3,636.0,648.1,17.6
773,632.9,684.4,644.3,653.8,27.0
774,635.2,675.2,682.5,664.3,25.5
775,607.8,676.4,647.4,643.9,34.5
776,628.3,638.4,655.9,640.9,14.0
777,620.9,669.8,654.4,648.4,25.0
778,634.3,657.3,676.2,655.9,21.0
779,671.8,695.1,650.8,672.6,22.1
780,652.6,679.3,671.3,667.7,13.7
781,642.9,698.9,696.4,679.4,31.6
782,638.5,681.8,685.3,668.6,26.1
783,653.2,669.7,668.5,663.8,9.2
784,657.0,663.2,682.1,667.4,13.1
785,648.4,691.5,679.1,673.0,22.2
786,645.2,683.2,703.5,677.3,29.6
787,662.0,680.1,673.6,671.9,9.2
788,676.8,692.2,693.1,687.4,9.2
789,650.4,695.8,670.3,672.2,22.8
790,646.1,679.1,696.9,674.0,25.8
791,681.1,686.5,665.9,677.8,10.7
792,655.8,686.4,700.4,680.9,22.8
793,695.2,698.6,685.1,693.0,7.0
794,654.8,681.5,679.4,671.9,14.9
795,678.2,681.6,701.7,687.1,12.7
796,673.6,697.7,732.8,701.4,29.8
797,688.1,699.5,688.0,691.9,6.6
798,676.4,675.4,714.0,688.6,22.0
799,690.0,706.3,713.5,703.2,12.0
800,683.5,699.0,728.9,703.8,23.1
801,697.7,731.7,746.4,725.2,25.0
802,681.2,725.0,699.2,701.8,22.0
803,657.6,719.5,736.4,704.5,41.5
804,689.1,710.5,694.8,698.2,11.1
805,690.7,710.6,736.1,712.5,22.7
806,684.7,719.7,730.7,711.7,24.0
807,718.1,741.0,721.1,726.7,12.4
808,704.3,723.4,705.8,711.2,10.6
809,686.6,741.8,766.7,731.7,41.0
810,707.5,733.7,717.9,719.7,13.2
811,726.5,759.0,766.6,750.7,21.3
812,678.8,743.4,747.1,723.1,38.4
813,726.0,700.8,712.1,713.0,12.6
814,683.4,725.0,730.0,712.8,25.6
815,739.0,733.4,744.6,739.0,5.6
816,711.8,742.4,758.3,737.5,23.6
817,695.0,725.3,747.7,722.6,26.5
818,714.3,726.5,778.9,739.9,34.3
819,708.4,734.0,754.7,732.4,23.2
820,751.8,730.6,774.9,752.5,22.2
821,709.0,718.0,782.9,736.6,40.3
822,729.1,750.6,787.0,755.6,29.3
