Names,PET_R1,PET_R2,PET_R3,Mean,Std. Dev.
749,521.5,514.2,561.7,532.5,25.6
750,494.0,518.0,569.1,527.0,38.4
751,523.8,518.7,560.7,534.4,22.9
752,534.8,506.6,586.7,542.7,40.6
753,515.5,510.5,591.9,539.3,45.6
754,505.6,501.9,580.3,529.3,44.2
755,516.3,515.6,588.0,540.0,41.6
756,514.1,501.1,590.2,535.2,48.1
757,508.2,511.2,593.8,537.7,48.6
758,517.5,514.4,573.9,535.2,33.5
759,525.8,500.7,591.8,539.4,47.1
760,507.6,513.5,597.1,539.4,50.1
761,506.4,512.0,596.4,538.3,50.4
762,516.3,491.9,595.7,534.7,54.3
763,523.5,503.7,587.9,538.4,44.0
764,505.3,506.1,599.2,536.9,54.0
765,517.8,518.9,609.1,548.6,52.4
766,519.8,511.9,601.9,544.5,49.9
767,521.6,522.2,606.4,550.1,48.7
768,507.7,513.9,613.3,545.0,59.3
769,513.7,518.2,599.1,543.7,48.1
770,507.2,515.5,607.1,543.3,55.4
771,514.1,520.6,600.5,545.1,48.1
772,520.4,505.3,610.6,545.5,56.9
773,517.8,522.3,608.2,549.4,51.0
774,514.5,511.8,611.3,545.9,56.7
775,501.7,510.6,617.6,543.3,64.5
776,499.3,518.4,615.9,544.5,62.6
777,500.6,532.4,613.1,548.7,58.0
778,518.7,527.8,607.5,551.3,48.9
779,499.4,522.9,600.5,540.9,52.9
780,514.8,519.7,606.9,547.1,51.8
781,513.0,530.8,613.2,552.3,53.5
782,509.4,512.6,625.3,549.1,66.0
783,514.0,516.5,603.0,544.5,50.7
784,496.8,508.3,616.3,540.4,65.9
785,508.3,510.9,615.4,544.9,61.1
786,504.9,523.7,612.3,546.9,57.3
787,493.7,510.3,607.3,537.1,61.3
788,498.3,523.7,617.6,546.5,62.8
789,512.0,524.3,628.2,554.8,63.8
790,506.1,518.7,616.8,547.2,60.6
791,496.0,515.1,621.3,544.1,67.5
792,500.2,530.6,617.2,549.4,60.7
793,495.5,518.4,615.5,543.2,63.7
794,504.3,534.3,622.9,553.9,61.6
795,501.3,527.0,638.2,555.5,72.7
796,499.2,518.6,634.2,550.7,73.0
797,484.6,531.6,615.3,543.8,66.2
798,500.3,524.7,604.9,543.3,54.7
799,494.5,529.7,618.4,547.6,63.8
800,506.0,524.8,630.4,553.7,67.0
