Time after Ignition,PET_R1,PET_R2,PET_R3,Mean,Std. Dev.
39.25,595.7,576.8,528.0,566.8,34.9
39.5,609.7,574.2,534.5,572.8,37.6
39.75,595.3,559.9,523.3,559.5,36.0
40.0,621.7,556.8,538.6,572.4,43.7
40.25,609.3,577.3,543.4,576.6,33.0
40.5,612.2,570.1,540.0,574.1,36.2
40.75,610.2,561.8,534.1,568.7,38.5
41.0,597.7,564.8,534.0,565.5,31.8
41.25,615.5,564.4,532.0,570.6,42.1
41.5,579.5,576.6,536.3,564.1,24.1
41.75,601.4,571.4,534.2,569.0,33.7
42.0,629.1,571.5,526.1,575.6,51.6
42.25,602.7,560.6,538.0,567.1,32.8
42.5,594.5,566.3,523.9,561.5,35.5
42.75,594.5,571.3,514.9,560.2,40.9
43.0,593.2,582.9,522.0,566.1,38.5
43.25,601.2,572.4,512.8,562.2,45.1
43.5,607.5,564.9,532.1,568.2,37.8
43.75,602.0,570.2,524.8,565.6,38.8
44.0,608.3,575.7,519.4,567.8,45.0
44.25,586.0,570.1,516.6,557.6,36.3
44.5,584.4,567.2,531.8,561.1,26.8
44.75,601.9,562.2,511.8,558.6,45.2
45.0,583.6,580.4,510.0,558.0,41.6
45.25,567.2,569.3,514.2,550.2,31.2
45.5,571.2,559.2,514.6,548.4,29.8
45.75,609.7,552.9,512.7,558.4,48.7
46.0,605.0,565.1,509.4,559.8,48.0
46.25,585.8,550.3,515.8,550.6,35.0
46.5,586.1,581.0,522.9,563.3,35.1
46.75,578.6,553.1,523.9,551.9,27.4
47.0,578.2,560.7,529.3,556.0,24.8
47.25,571.8,568.7,531.5,557.3,22.4
47.5,564.8,575.3,537.3,559.1,19.7
47.75,571.6,566.0,523.8,553.8,26.1
48.0,571.6,564.9,523.7,553.4,25.9
48.25,568.2,565.1,533.8,555.7,19.0
48.5,579.8,582.5,514.5,558.9,38.5
48.75,567.7,554.5,531.8,551.4,18.2
49.0,571.5,563.3,521.6,552.2,26.8
49.25,562.2,568.6,532.6,554.4,19.2
49.5,578.4,557.0,531.7,555.7,23.4
49.75,565.4,545.8,524.7,545.3,20.4
50.0,571.8,566.6,544.7,561.0,14.4
50.25,564.5,587.7,534.4,562.2,26.7
50.5,554.8,560.3,526.6,547.3,18.1
50.75,563.3,555.2,541.5,553.3,11.0
51.0,559.2,558.7,527.9,548.6,17.9
51.25,553.7,561.8,549.4,555.0,6.3
51.5,556.7,549.4,536.0,547.4,10.5
51.75,560.2,568.1,546.0,558.1,11.2
52.0,553.2,568.1,565.6,562.3,8.0
52.25,545.6,592.3,552.9,563.6,25.1
52.5,565.2,576.4,542.1,561.2,17.5
52.75,557.4,561.1,543.0,553.9,9.6
53.0,546.8,555.7,573.0,558.5,13.3
53.25,562.3,567.9,548.6,559.6,9.9
53.5,548.4,562.6,553.2,554.7,7.3
53.75,557.4,550.5,571.3,559.7,10.6
54.0,549.4,564.5,569.6,561.2,10.5
54.25,558.8,544.9,573.4,559.0,14.2
54.5,559.1,562.8,560.5,560.8,1.9
54.75,550.6,574.5,560.2,561.8,12.0
55.0,546.9,554.3,556.8,552.7,5.1
55.25,551.6,560.8,587.1,566.5,18.4
55.5,553.3,555.3,559.2,555.9,3.0
55.75,567.3,550.4,581.9,566.6,15.8
56.0,547.1,543.3,588.0,559.5,24.8
56.25,545.3,554.4,591.6,563.8,24.5
56.5,543.4,540.2,589.2,557.6,27.4
56.75,550.8,541.7,597.7,563.4,30.1
57.0,543.7,543.3,583.4,556.8,23.0
57.25,554.0,542.7,580.0,558.9,19.1
57.5,535.2,544.4,585.3,555.0,26.7
57.75,544.5,548.2,598.4,563.7,30.1
58.0,556.7,537.5,591.9,562.0,27.6
58.25,544.6,536.3,577.7,552.9,21.9
58.5,539.5,538.5,586.3,554.8,27.3
58.75,523.5,531.8,589.3,548.2,35.8
59.0,547.5,532.4,586.2,555.3,27.7
59.25,543.8,536.2,585.7,555.2,26.7
59.5,533.6,534.0,616.6,561.4,47.8
59.75,540.4,527.8,604.2,557.4,41.0
60.0,531.0,536.8,600.7,556.2,38.7
60.25,534.3,532.6,586.2,551.0,30.5
60.5,534.5,532.3,598.8,555.2,37.8
60.75,537.3,536.0,612.5,561.9,43.8
61.0,540.1,532.6,599.9,557.6,36.9
61.25,518.4,537.8,599.2,551.8,42.2
61.5,539.5,540.6,602.0,560.7,35.7
61.75,530.1,514.5,610.5,551.7,51.5
62.0,507.5,527.7,601.7,545.6,49.6
62.25,519.2,515.5,603.8,546.2,49.9
62.5,529.7,530.2,615.8,558.6,49.6
62.75,518.6,522.3,608.9,549.9,51.1
63.0,529.5,513.9,600.0,547.8,45.9
63.25,511.0,511.8,596.3,539.7,49.0
63.5,521.8,529.7,617.0,556.2,52.8
63.75,519.8,517.9,599.4,545.7,46.5
64.0,530.5,519.8,623.0,557.8,56.7
64.25,523.4,513.5,599.4,545.4,47.0
64.5,522.0,519.7,618.7,553.5,56.5
64.75,514.6,523.4,623.6,553.8,60.6
65.0,512.7,516.9,617.5,549.0,59.3
65.25,516.0,518.9,613.5,549.5,55.5
65.5,524.6,511.8,614.2,550.2,55.8
65.75,527.1,513.8,621.8,554.2,58.9
66.0,521.4,517.5,627.3,555.4,62.3
66.25,523.5,524.3,615.2,554.4,52.7
66.5,511.7,511.6,614.4,545.9,59.3
66.75,517.8,516.0,631.0,554.9,65.9
67.0,529.3,508.1,641.0,559.5,71.4
67.25,520.4,521.7,644.0,562.0,71.0
67.5,527.4,510.8,619.5,552.6,58.5
67.75,526.2,529.2,610.7,555.3,48.0
68.0,519.3,510.5,626.5,552.1,64.6
68.25,531.5,508.3,624.4,554.8,61.4
68.5,522.1,514.2,646.6,561.0,74.3
68.75,540.0,501.8,657.0,566.3,80.9
69.0,530.9,510.0,653.0,564.6,77.2
69.25,543.8,521.4,668.6,578.0,79.3
69.5,528.5,518.2,658.8,568.5,78.3
69.75,537.0,525.2,664.7,575.7,77.4
70.0,529.4,515.5,663.1,569.3,81.5
70.25,515.3,512.4,673.2,567.0,92.0
70.5,548.0,518.9,673.9,580.2,82.4
70.75,536.6,507.6,672.3,572.2,87.9
71.0,549.3,513.4,674.2,579.0,84.4
71.25,532.1,510.9,669.0,570.7,85.8
71.5,555.2,502.0,688.1,581.8,95.8
71.75,553.7,511.1,656.1,573.6,74.6
72.0,552.0,504.6,682.8,579.8,92.3
72.25,571.6,510.8,691.7,591.4,92.1
72.5,570.3,504.5,688.5,587.8,93.2
72.75,563.7,520.0,684.8,589.5,85.3
73.0,567.4,507.9,684.8,586.7,90.0
73.25,592.0,508.1,651.1,583.7,71.9
73.5,580.1,525.8,689.6,598.5,83.4
73.75,581.8,520.7,661.9,588.1,70.8
74.0,579.9,519.7,691.0,596.9,86.9
74.25,563.8,513.1,704.7,593.9,99.3
74.5,599.3,517.4,656.6,591.1,70.0
74.75,581.0,505.5,691.6,592.7,93.6
75.0,590.8,511.1,684.1,595.3,86.6
75.25,578.7,516.5,663.3,586.2,73.7
75.5,581.6,527.0,695.7,601.5,86.1
75.75,581.0,510.7,681.0,590.9,85.6
76.0,569.2,501.4,671.2,580.6,85.5
76.25,587.9,519.1,696.9,601.3,89.7
76.5,581.4,517.1,697.1,598.5,91.2
76.75,583.9,515.5,678.3,592.6,81.8
77.0,608.5,521.9,691.3,607.3,84.7
77.25,610.0,535.3,709.8,618.4,87.6
77.5,611.3,528.3,687.0,608.9,79.4
77.75,603.4,520.8,674.8,599.7,77.0
78.0,614.6,531.2,707.6,617.8,88.2
78.25,598.7,520.4,684.1,601.1,81.9
78.5,608.2,537.1,682.2,609.2,72.6
78.75,592.0,524.7,688.5,601.8,82.3
79.0,593.6,535.3,646.5,591.8,55.7
79.25,598.2,549.2,681.2,609.5,66.7
79.5,618.3,553.3,675.0,615.5,60.9
79.75,608.7,540.8,632.5,594.0,47.6
80.0,608.2,554.7,679.5,614.1,62.6
80.25,607.7,561.2,649.2,606.0,44.0
80.5,582.9,551.0,654.4,596.1,52.9
80.75,593.7,552.3,687.1,611.0,69.0
81.0,600.6,587.0,644.9,610.9,30.3
81.25,602.3,578.1,661.5,613.9,42.9
81.5,604.7,597.0,667.6,623.1,38.7
81.75,607.4,600.4,639.5,615.8,20.9
82.0,616.4,609.3,643.9,623.2,18.3
82.25,614.9,623.9,646.1,628.3,16.1
82.5,615.3,592.2,660.0,622.5,34.5
82.75,612.8,614.7,648.3,625.3,19.9
83.0,596.2,627.5,656.9,626.9,30.4
83.25,602.2,610.5,664.2,625.7,33.6
83.5,596.2,637.7,674.7,636.2,39.2
83.75,600.3,620.4,645.5,622.1,22.6
84.0,590.8,625.1,667.7,627.9,38.5
84.25,603.8,613.9,649.0,622.2,23.7
84.5,629.1,634.7,664.2,642.7,18.8
84.75,608.3,634.4,649.6,630.7,20.9
85.0,622.4,634.7,638.5,631.8,8.4
85.25,615.4,640.6,681.5,645.8,33.4
85.5,594.5,638.7,662.0,631.7,34.3
85.75,579.5,646.9,660.9,629.1,43.5
86.0,622.7,656.3,642.2,640.4,16.9
86.25,612.7,642.7,635.6,630.3,15.7
86.5,577.8,683.6,664.0,641.8,56.3
86.75,590.8,666.2,671.5,642.8,45.1
87.0,616.2,661.9,655.8,644.6,24.8
87.25,588.1,681.4,663.9,644.4,49.6
87.5,586.4,678.1,655.5,640.0,47.8
87.75,600.9,651.3,673.8,642.0,37.3
88.0,587.0,657.8,658.3,634.4,41.0
88.25,599.5,664.7,638.5,634.2,32.8
88.5,604.0,675.6,649.6,643.1,36.2
88.75,589.2,669.7,642.5,633.8,40.9
89.0,593.9,675.0,659.5,642.8,43.1
89.25,618.0,679.0,648.6,648.5,30.5
89.5,600.1,682.6,646.3,643.0,41.4
89.75,585.9,660.3,651.5,632.5,40.7
90.0,598.3,673.0,645.7,639.0,37.8
90.25,600.4,666.3,641.3,636.0,33.2
90.5,592.1,663.0,653.5,636.2,38.5
90.75,594.5,688.5,623.4,635.5,48.1
91.0,586.3,675.5,652.7,638.2,46.3
91.25,597.6,691.6,649.5,646.2,47.1
91.5,594.7,692.3,646.6,644.6,48.8
91.75,575.5,663.5,624.3,621.1,44.0
92.0,579.5,682.7,638.5,633.6,51.8
92.25,596.0,662.1,649.7,635.9,35.2
92.5,595.9,682.9,656.4,645.1,44.6
92.75,589.3,715.0,625.7,643.3,64.7
93.0,594.2,707.3,600.0,633.8,63.7
93.25,594.0,672.9,627.6,631.5,39.6
93.5,602.3,692.1,633.2,642.5,45.6
93.75,580.2,694.1,637.4,637.2,56.9
94.0,600.0,694.3,661.9,652.1,47.9
94.25,572.3,682.7,610.8,621.9,56.1
94.5,565.1,690.3,616.4,623.9,62.9
94.75,579.2,686.7,641.8,635.9,54.0
95.0,582.7,685.7,631.4,633.3,51.5
95.25,579.0,707.3,624.6,636.9,65.0
95.5,576.3,677.6,617.3,623.7,51.0
95.75,570.2,667.2,633.1,623.5,49.3
96.0,575.6,719.0,619.2,637.9,73.5
96.25,600.6,697.4,619.1,639.0,51.4
96.5,585.6,694.3,619.0,632.9,55.7
96.75,580.4,666.8,631.4,626.2,43.4
97.0,564.6,691.0,606.4,620.7,64.4
97.25,580.3,694.4,614.2,629.6,58.6
97.5,607.8,687.0,613.9,636.3,44.1
97.75,599.9,682.3,621.7,634.6,42.7
98.0,597.5,689.2,617.1,634.6,48.3
98.25,589.7,674.9,595.3,619.9,47.7
98.5,596.0,704.9,604.2,635.0,60.7
98.75,594.4,690.4,614.8,633.2,50.6
99.0,588.2,693.1,597.0,626.1,58.2
99.25,579.8,692.6,621.3,631.2,57.1
99.5,589.2,700.0,599.2,629.5,61.3
99.75,594.5,683.1,609.0,628.8,47.5
100.0,592.8,693.6,609.5,631.9,54.0
100.25,614.6,684.3,602.7,633.8,44.1
100.5,597.1,679.9,589.9,622.3,50.0
100.75,614.6,674.9,608.1,632.5,36.9
101.0,606.6,685.7,607.2,633.2,45.5
101.25,598.5,667.2,585.1,616.9,44.0
101.5,590.6,678.9,595.5,621.7,49.6
101.75,597.5,652.1,594.2,614.6,32.5
102.0,610.4,689.7,589.5,629.9,52.8
102.25,617.3,664.3,599.9,627.1,33.3
102.5,595.8,658.9,601.5,618.7,34.9
102.75,608.7,668.5,611.1,629.4,33.9
103.0,617.4,697.9,602.7,639.3,51.3
103.25,605.7,689.4,608.1,634.4,47.6
103.5,621.9,672.0,593.2,629.0,39.9
103.75,611.7,686.5,608.0,635.4,44.3
104.0,627.6,674.1,594.9,632.2,39.8
104.25,621.2,689.8,607.5,639.5,44.1
104.5,624.1,667.9,625.6,639.2,24.9
104.75,627.2,679.4,618.4,641.6,33.0
105.0,604.9,670.4,612.2,629.2,35.9
105.25,621.5,669.0,596.5,629.0,36.8
105.5,616.5,670.9,613.5,633.7,32.3
105.75,622.8,673.5,612.5,636.3,32.7
106.0,599.6,663.6,614.3,625.8,33.5
106.25,613.6,664.3,598.6,625.5,34.4
106.5,636.0,662.4,594.3,630.9,34.4
106.75,610.1,696.2,600.2,635.5,52.8
107.0,606.4,662.9,605.6,625.0,32.9
107.25,635.9,647.2,613.5,632.2,17.2
107.5,632.9,655.9,582.8,623.9,37.3
107.75,613.5,670.2,603.5,629.1,36.0
108.0,612.0,671.9,604.5,629.5,37.0
108.25,628.7,669.6,625.2,641.2,24.7
108.5,641.2,650.5,593.3,628.3,30.7
108.75,618.3,671.8,590.4,626.8,41.3
109.0,639.2,644.4,610.8,631.5,18.1
109.25,598.8,651.1,614.8,621.6,26.8
109.5,627.6,667.3,586.2,627.1,40.6
109.75,621.5,664.2,606.1,630.6,30.1
110.0,626.2,627.1,583.7,612.3,24.8
110.25,627.5,655.3,595.6,626.1,29.9
110.5,628.7,642.0,583.2,618.0,30.8
110.75,622.1,631.4,602.1,618.5,15.0
111.0,596.8,648.8,591.0,612.2,31.8
111.25,610.5,648.1,601.2,619.9,24.8
111.5,620.6,655.6,600.3,625.5,27.9
111.75,627.1,652.2,585.6,621.6,33.6
112.0,618.6,656.6,605.2,626.8,26.7
112.25,592.4,645.1,591.3,609.6,30.8
112.5,620.7,633.9,577.2,610.6,29.7
112.75,600.5,631.7,588.7,607.0,22.2
113.0,593.4,641.2,596.8,610.5,26.7
113.25,599.3,643.9,612.1,618.4,22.9
113.5,612.6,653.2,585.0,616.9,34.3
113.75,600.3,630.3,600.4,610.3,17.3
114.0,592.5,613.0,597.5,601.0,10.6
114.25,584.2,626.9,600.9,604.0,21.5
114.5,600.4,634.7,580.7,605.3,27.3
114.75,592.4,655.8,580.0,609.4,40.7
115.0,584.8,649.3,598.2,610.8,34.0
115.25,585.4,657.5,597.4,613.5,38.6
115.5,572.9,620.9,610.1,601.3,25.2
115.75,595.2,632.4,594.2,607.3,21.8
116.0,578.6,627.5,581.4,595.8,27.4
116.25,573.7,651.2,592.5,605.8,40.4
116.5,558.9,648.3,591.0,599.4,45.3
116.75,563.1,622.8,597.5,594.5,30.0
117.0,589.0,630.1,588.9,602.6,23.8
117.25,578.4,611.0,601.6,597.0,16.8
117.5,575.4,635.4,587.4,599.4,31.7
117.75,551.0,627.5,592.7,590.4,38.3
118.0,568.3,624.4,573.2,588.6,31.1
118.25,567.5,634.7,577.8,593.3,36.2
118.5,578.0,630.3,579.0,595.8,29.9
118.75,567.3,624.2,563.6,585.0,34.0
119.0,563.6,623.3,574.9,587.3,31.7
119.25,542.3,619.1,573.9,578.4,38.6
119.5,561.9,612.4,564.8,579.7,28.4
119.75,554.2,624.1,582.1,586.8,35.2
120.0,547.6,601.2,582.0,576.9,27.2
120.25,548.1,605.4,580.8,578.1,28.7
120.5,558.5,624.3,563.9,582.3,36.5
120.75,530.1,626.7,583.3,580.0,48.4
121.0,539.9,601.6,563.5,568.3,31.1
121.25,547.0,616.3,550.7,571.3,39.0
121.5,535.0,622.3,553.4,570.2,46.0
121.75,543.2,610.1,567.4,573.6,33.9
122.0,536.1,618.1,563.3,572.5,41.8
122.25,536.7,620.0,575.3,577.4,41.7
122.5,530.6,637.1,562.4,576.7,54.7
122.75,529.8,599.9,572.8,567.5,35.4
123.0,526.1,612.7,572.0,570.3,43.4
123.25,537.1,601.1,545.4,561.2,34.8
123.5,525.8,588.9,552.0,555.6,31.7
123.75,514.5,628.2,553.9,565.5,57.7
124.0,512.6,607.6,552.6,557.6,47.7
124.25,516.2,610.5,550.9,559.2,47.7
124.5,516.4,583.8,560.0,553.4,34.2
124.75,507.4,608.3,527.1,547.6,53.5
125.0,508.5,617.9,550.5,559.0,55.2
125.25,526.0,601.6,555.9,561.2,38.1
125.5,511.6,602.2,537.0,550.3,46.7
125.75,504.3,604.0,561.4,556.6,50.0
126.0,507.6,603.7,534.2,548.5,49.6
126.25,502.0,614.6,563.8,560.1,56.4
126.5,514.9,595.5,534.0,548.1,42.1
126.75,504.2,617.5,543.7,555.1,57.5
127.0,502.1,610.8,529.5,547.4,56.5
127.25,505.9,611.0,532.9,550.0,54.6
127.5,496.3,602.5,542.4,547.1,53.2
127.75,497.8,611.5,546.2,551.8,57.0
128.0,496.9,608.8,532.1,546.0,57.2
128.25,494.0,615.6,543.1,550.9,61.2
128.5,479.2,593.8,536.6,536.5,57.3
128.75,486.6,606.1,537.2,543.3,60.0
129.0,494.7,614.8,544.1,551.2,60.4
129.25,492.9,620.8,541.4,551.7,64.6
129.5,485.9,604.5,542.8,544.4,59.3
129.75,475.2,608.7,539.8,541.2,66.8
130.0,483.2,610.4,535.0,542.9,64.0
130.25,494.5,602.4,530.5,542.5,54.9
130.5,488.5,592.7,555.1,545.4,52.8
130.75,489.7,615.7,554.3,553.2,63.0
131.0,488.6,607.8,543.4,546.6,59.7
131.25,486.6,593.0,535.4,538.4,53.3
131.5,488.1,593.0,533.0,538.0,52.6
131.75,476.2,598.7,549.1,541.3,61.6
132.0,484.8,592.8,543.4,540.4,54.1
132.25,478.8,594.9,546.4,540.0,58.3
132.5,480.5,593.4,534.3,536.0,56.5
132.75,473.3,596.4,555.3,541.7,62.7
133.0,477.2,617.5,533.5,542.8,70.6
133.25,470.7,594.1,548.7,537.8,62.4
133.5,472.9,583.3,531.9,529.3,55.2
133.75,488.7,603.0,536.6,542.7,57.4
134.0,480.7,581.4,531.9,531.4,50.3
134.25,474.9,607.8,529.9,537.6,66.8
134.5,476.3,589.2,526.8,530.8,56.6
134.75,486.0,582.3,530.4,532.9,48.2
135.0,469.0,584.4,524.6,526.0,57.7
135.25,472.3,580.0,531.5,527.9,53.9
135.5,468.3,594.3,527.9,530.2,63.0
135.75,483.6,606.9,518.3,536.3,63.6
136.0,474.4,583.1,537.7,531.7,54.6
136.25,479.3,593.8,533.2,535.4,57.3
136.5,480.2,571.4,537.8,529.8,46.2
136.75,476.1,596.6,523.9,532.2,60.7
137.0,477.6,592.5,536.4,535.5,57.4
137.25,469.6,585.6,528.9,528.0,58.0
137.5,471.2,597.4,532.3,533.6,63.1
137.75,465.7,592.6,528.9,529.1,63.4
138.0,464.9,590.4,524.6,526.6,62.8
138.25,471.8,596.2,531.6,533.2,62.2
138.5,477.2,584.0,525.7,529.0,53.5
138.75,459.9,586.7,535.9,527.5,63.8
139.0,477.0,570.4,517.2,521.6,46.9
139.25,472.0,598.3,521.8,530.7,63.6
139.5,469.0,583.2,532.2,528.1,57.2
139.75,461.3,583.4,551.3,532.0,63.3
140.0,464.8,578.3,540.6,527.9,57.8
140.25,468.2,578.6,528.1,525.0,55.3
140.5,466.6,593.6,533.3,531.2,63.5
140.75,464.8,578.3,536.8,526.7,57.4
141.0,478.7,563.3,520.9,521.0,42.3
141.25,461.9,580.0,526.0,522.6,59.1
141.5,466.6,596.1,545.2,536.0,65.3
141.75,469.7,585.4,525.7,526.9,57.9
142.0,465.0,562.5,520.2,515.9,48.9
142.25,483.1,572.5,537.9,531.2,45.1
142.5,477.9,582.4,551.8,537.4,53.7
142.75,468.5,588.5,545.1,534.0,60.7
143.0,459.2,558.3,528.5,515.3,50.8
143.25,454.0,573.2,535.2,520.8,60.9
143.5,463.7,585.1,545.3,531.4,61.8
143.75,470.2,594.7,546.6,537.2,62.8
144.0,469.7,592.2,523.6,528.5,61.4
144.25,469.1,587.6,545.1,533.9,60.1
144.5,468.2,578.8,532.7,526.6,55.5
144.75,459.7,598.7,528.0,528.8,69.5
