Names,PET_R1,PET_R2,PET_R3,PET_R4,PET_R5,Mean,Std. Dev.
1656,595.0,431.6,463.7,,,496.7,86.6
1657,575.2,443.6,453.0,,,490.6,73.4
1658,582.9,427.8,457.2,,,489.3,82.4
1659,577.5,435.4,464.0,,,492.3,75.1
1660,580.5,420.7,463.7,,,488.3,82.7
1661,592.2,433.0,469.3,,,498.1,83.4
1662,610.0,430.5,463.7,,,501.4,95.5
1663,588.5,433.7,498.2,,,506.8,77.8
1664,578.2,433.7,489.8,,,500.5,72.8
1665,598.3,434.6,480.3,,,504.4,84.5
1666,562.7,435.9,494.8,,,497.8,63.5
1667,558.6,424.2,493.4,,,492.1,67.2
1668,590.4,423.1,501.6,,,505.0,83.7
1669,584.5,422.5,514.6,,,507.2,81.3
1670,564.3,430.0,513.0,,,502.4,67.8
1671,570.7,431.8,503.4,,,502.0,69.5
1672,560.3,422.1,524.9,,,502.5,71.8
1673,566.9,431.4,523.4,,,507.2,69.2
1674,569.0,422.6,545.8,,,512.4,78.7
1675,573.1,430.8,554.3,,,519.4,77.3
1676,555.3,427.0,539.6,,,507.3,70.0
1677,586.5,419.0,547.0,,,517.5,87.5
1678,562.6,423.3,553.0,,,513.0,77.8
1679,544.7,425.4,549.5,,,506.5,70.3
1680,543.9,425.4,557.9,,,509.1,72.8
1681,554.3,418.2,584.2,,,518.9,88.5
1682,570.0,416.2,571.6,,,519.3,89.3
1683,560.9,421.2,590.5,,,524.2,90.4
1684,561.1,414.3,578.2,,,517.9,90.1
1685,541.5,422.8,617.7,,,527.3,98.2
1686,554.1,414.3,588.6,,,519.0,92.3
1687,545.3,422.8,607.3,,,525.2,93.9
1688,556.6,417.2,618.9,,,530.9,103.3
1689,532.9,419.7,600.4,,,517.7,91.3
1690,550.5,415.1,606.7,,,524.1,98.4
1691,550.5,423.5,603.4,,,525.8,92.4
1692,537.0,416.1,621.2,,,524.8,103.1
1693,536.8,415.3,627.1,,,526.4,106.3
1694,549.3,418.5,614.7,,,527.5,99.9
1695,546.1,417.5,625.4,,,529.7,104.9
1696,545.0,423.7,642.0,,,536.9,109.4
1697,543.4,416.9,613.2,,,524.5,99.5
1698,533.6,418.5,611.4,,,521.1,97.1
1699,540.6,409.9,611.0,,,520.5,102.1
1700,539.4,419.3,630.2,,,529.6,105.8
1701,517.1,418.5,613.7,,,516.4,97.6
1702,535.8,433.7,625.4,,,531.6,95.9
1703,545.2,413.7,611.2,,,523.4,100.6
1704,533.3,410.4,582.9,,,508.9,88.8
1705,535.3,424.5,613.8,,,524.5,95.1
1706,546.3,416.7,611.3,,,524.8,99.1
1707,521.5,418.2,604.7,,,514.8,93.4
1708,513.0,414.1,590.7,,,506.0,88.5
1709,513.0,421.5,597.1,,,510.5,87.8
1710,524.7,418.9,583.5,,,509.0,83.4
1711,518.7,410.1,593.9,,,507.6,92.4
1712,526.5,412.8,602.3,,,513.9,95.4
1713,528.8,401.0,605.2,,,511.7,103.2
1714,526.6,418.9,584.8,,,510.1,84.2
1715,509.3,411.3,567.9,,,496.2,79.2
1716,512.2,405.9,596.7,,,505.0,95.6
1717,522.0,399.1,592.1,,,504.4,97.7
1718,506.4,405.4,571.7,,,494.5,83.8
1719,493.2,412.9,597.5,,,501.2,92.6
1720,495.7,397.3,588.6,,,493.9,95.7
1721,501.2,402.2,606.6,,,503.4,102.2
1722,516.3,411.6,595.5,,,507.8,92.3
1723,500.9,400.2,595.2,,,498.8,97.5
1724,500.1,394.3,576.7,,,490.4,91.6
1725,497.0,402.9,573.2,,,491.0,85.3
1726,486.5,399.5,585.5,,,490.5,93.1
1727,493.0,397.0,595.6,,,495.2,99.3
1728,489.5,404.1,579.6,,,491.1,87.8
1729,488.3,396.9,572.0,,,485.7,87.6
1730,484.7,393.1,560.6,,,479.5,83.9
1731,479.2,398.3,582.3,,,486.6,92.2
1732,477.4,402.0,590.7,,,490.0,95.0
1733,473.5,394.0,580.3,,,482.6,93.5
1734,488.0,400.3,569.2,,,485.8,84.5
1735,458.0,388.6,577.5,,,474.7,95.6
1736,470.8,404.6,576.0,,,483.8,86.4
1737,471.2,398.1,579.1,,,482.8,91.1
1738,456.1,394.3,569.4,,,473.3,88.8
1739,477.8,390.7,571.6,,,480.0,90.4
1740,463.4,398.3,570.3,,,477.3,86.9
1741,458.3,390.0,570.0,,,472.8,90.9
1742,467.5,394.5,582.0,,,481.4,94.5
1743,461.4,391.9,583.8,,,479.0,97.2
1744,464.8,389.2,564.9,,,473.0,88.1
1745,454.5,384.6,588.5,,,475.9,103.6
1746,448.6,378.1,555.2,,,460.6,89.2
1747,461.7,391.6,565.4,,,472.9,87.5
1748,451.8,385.9,572.2,,,470.0,94.5
1749,458.9,379.4,564.8,,,467.7,93.0
1750,457.7,383.7,574.7,,,472.0,96.3
1751,452.1,374.0,549.9,,,458.7,88.1
1752,451.7,380.0,542.6,,,458.1,81.5
1753,448.0,378.9,573.2,,,466.7,98.5
1754,442.8,378.5,551.1,,,457.5,87.3
1755,441.9,380.5,559.8,,,460.7,91.1
1756,443.9,372.9,539.7,,,452.2,83.7
1757,446.8,376.2,557.0,,,460.0,91.1
1758,442.9,378.6,533.8,,,451.8,78.0
1759,439.1,373.9,544.1,,,452.4,85.8
1760,443.1,367.8,546.2,,,452.4,89.5
1761,449.6,371.8,527.7,,,449.7,77.9
1762,447.0,372.3,545.5,,,454.9,86.9
1763,445.4,372.1,533.0,,,450.2,80.5
1764,443.8,369.1,551.6,,,454.8,91.8
1765,451.3,372.4,527.4,,,450.4,77.5
1766,442.1,369.6,531.0,,,447.5,80.8
1767,434.5,366.0,526.1,,,442.2,80.3
1768,449.3,364.3,533.6,,,449.1,84.7
1769,440.3,356.9,532.5,,,443.3,87.8
1770,435.7,366.0,517.4,,,439.7,75.8
1771,447.6,367.4,525.7,,,446.9,79.2
1772,441.9,369.6,522.1,,,444.5,76.3
1773,451.9,360.6,515.9,,,442.8,78.1
1774,447.8,358.1,530.9,,,445.6,86.4
1775,450.3,356.3,510.8,,,439.1,77.9
1776,441.9,363.6,521.6,,,442.3,79.0
1777,435.0,359.6,518.0,,,437.5,79.3
1778,451.0,349.7,529.8,,,443.5,90.3
1779,450.4,357.0,515.1,,,440.8,79.5
1780,440.5,351.8,512.5,,,434.9,80.5
1781,425.8,355.3,511.4,,,430.8,78.2
1782,434.6,347.6,515.3,,,432.5,83.9
1783,438.9,351.7,512.2,,,434.3,80.4
1784,438.0,348.4,521.0,,,435.8,86.4
1785,428.0,352.3,516.2,,,432.2,82.0
1786,441.0,349.5,510.9,,,433.8,80.9
1787,424.7,347.7,496.8,,,423.1,74.6
1788,428.2,349.2,493.7,,,423.7,72.4
1789,429.9,346.7,514.6,,,430.4,83.9
1790,419.7,346.6,505.4,,,423.9,79.5
1791,418.4,343.8,504.6,,,422.3,80.5
1792,425.3,345.4,496.6,,,422.4,75.7
1793,430.0,336.9,489.4,,,418.7,76.9
1794,415.8,338.8,501.7,,,418.8,81.5
1795,421.2,336.2,496.9,,,418.1,80.4
1796,412.2,343.1,495.0,,,416.8,76.0
1797,417.8,338.6,486.7,,,414.4,74.1
1798,418.1,336.8,471.1,,,408.7,67.7
1799,399.1,337.2,484.1,,,406.8,73.8
1800,404.2,330.0,486.8,,,407.0,78.4
1801,404.7,340.0,478.4,,,407.7,69.2
1802,394.1,331.6,497.4,,,407.7,83.7
1803,393.1,328.2,479.0,,,400.1,75.7
1804,392.7,333.0,479.5,,,401.7,73.7
1805,390.3,322.3,471.9,,,394.8,74.9
1806,394.1,332.9,467.6,,,398.2,67.4
1807,392.1,327.5,467.0,,,395.6,69.8
1808,390.3,327.3,491.0,,,402.9,82.5
1809,381.5,335.2,459.7,,,392.2,62.9
1810,379.6,327.7,469.4,,,392.2,71.7
1811,380.3,326.6,471.9,,,392.9,73.4
1812,382.6,330.7,462.4,,,391.9,66.3
1813,379.0,327.1,475.1,,,393.7,75.1
1814,366.3,326.0,473.5,,,388.6,76.3
1815,376.5,321.6,464.8,,,387.6,72.2
1816,371.2,320.7,457.2,,,383.0,69.0
1817,373.5,321.4,454.4,,,383.1,67.1
1818,359.5,323.6,451.4,,,378.1,65.9
1819,367.5,321.4,453.9,,,380.9,67.2
1820,361.1,323.4,462.4,,,382.3,71.9
1821,360.8,323.9,464.5,,,383.0,72.9
1822,352.4,319.9,458.3,,,376.9,72.4
1823,358.5,322.2,463.5,,,381.4,73.4
1824,357.5,324.2,458.0,,,379.9,69.7
1825,352.9,314.4,452.5,,,373.3,71.3
1826,354.1,321.5,456.6,,,377.4,70.5
1827,354.8,320.9,450.3,,,375.3,67.1
1828,348.1,318.3,452.9,,,373.1,70.7
1829,353.2,316.2,451.2,,,373.5,69.7
1830,347.0,310.3,458.9,,,372.1,77.4
1831,352.2,313.1,449.4,,,371.6,70.2
1832,347.4,312.4,442.7,,,367.5,67.4
1833,345.6,310.5,460.7,,,372.3,78.6
1834,340.4,310.8,449.3,,,366.9,72.9
1835,337.0,317.4,454.4,,,369.6,74.1
1836,336.5,307.4,460.5,,,368.1,81.3
1837,338.8,314.0,452.1,,,368.3,73.6
1838,337.7,303.3,437.9,,,359.6,69.9
1839,340.2,311.3,441.8,,,364.4,68.5
1840,331.9,304.3,457.3,,,364.5,81.5
1841,332.5,308.0,449.0,,,363.2,75.3
1842,331.7,310.0,449.5,,,363.7,75.1
1843,329.3,305.1,437.9,,,357.4,70.7
1844,328.9,308.1,447.2,,,361.4,75.0
1845,326.1,310.1,439.5,,,358.6,70.6
1846,320.2,305.6,435.0,,,353.6,70.9
1847,326.9,302.6,442.6,,,357.3,74.8
1848,329.8,302.8,432.8,,,355.1,68.6
1849,317.3,306.5,444.3,,,356.0,76.6
1850,321.0,299.1,441.0,,,353.7,76.4
1851,317.2,305.4,440.2,,,354.2,74.7
1852,318.8,299.9,430.7,,,349.8,70.7
1853,315.3,299.9,428.9,,,348.1,70.5
1854,314.5,299.7,439.7,,,351.3,76.9
1855,315.1,301.0,447.4,,,354.5,80.8
1856,314.6,295.8,450.4,,,353.6,84.3
1857,315.5,297.9,433.0,,,348.8,73.5
1858,315.9,296.8,428.9,,,347.2,71.4
1859,307.4,303.3,438.6,,,349.8,77.0
1860,306.6,303.1,430.2,,,346.6,72.4
1861,309.0,297.8,430.6,,,345.8,73.7
1862,311.1,300.4,432.9,,,348.1,73.6
1863,309.6,299.9,432.4,,,347.3,73.8
1864,313.5,291.6,440.7,,,348.6,80.5
1865,306.9,295.6,427.4,,,343.3,73.0
1866,311.3,300.7,428.7,,,346.9,71.0
1867,310.9,300.0,422.7,,,344.5,67.9
1868,311.1,291.4,425.9,,,342.8,72.7
1869,304.3,293.4,419.8,,,339.2,70.0
1870,303.0,290.7,418.7,,,337.5,70.6
1871,303.8,294.2,416.6,,,338.2,68.1
1872,303.2,298.5,421.3,,,341.0,69.6
1873,304.4,292.5,411.2,,,336.0,65.4
1874,302.1,298.7,419.5,,,340.1,68.8
1875,299.7,290.4,419.7,,,336.6,72.1
1876,299.3,293.5,423.6,,,338.8,73.5
1877,295.3,286.7,413.2,,,331.7,70.7
1878,296.1,290.2,413.4,,,333.2,69.5
1879,299.3,290.5,410.4,,,333.4,66.8
1880,304.6,296.0,404.9,,,335.2,60.5
1881,296.8,290.6,403.8,,,330.4,63.7
1882,296.8,289.6,408.5,,,331.6,66.7
1883,295.7,288.4,403.7,,,329.3,64.6
1884,294.4,281.4,402.1,,,326.0,66.2
1885,296.1,285.4,398.8,,,326.8,62.6
1886,297.7,289.9,404.1,,,330.6,63.8
1887,292.2,281.6,396.4,,,323.4,63.4
1888,297.5,287.9,399.1,,,328.2,61.6
1889,294.2,284.9,392.1,,,323.7,59.4
1890,297.7,289.1,393.3,,,326.7,57.9
1891,295.1,285.6,395.4,,,325.4,60.8
1892,300.1,281.7,403.2,,,328.3,65.5
1893,296.4,287.7,402.9,,,329.0,64.2
1894,301.0,288.2,395.8,,,328.3,58.7
1895,300.5,286.2,392.5,,,326.4,57.7
1896,299.4,289.6,404.2,,,331.1,63.5
1897,297.1,288.6,405.8,,,330.5,65.3
1898,301.8,284.7,391.2,,,325.9,57.2
1899,302.5,291.5,391.3,,,328.4,54.7
1900,297.7,281.1,389.1,,,322.7,58.1
1901,308.1,283.8,393.6,,,328.5,57.7
1902,305.2,280.7,394.1,,,326.7,59.7
1903,300.8,280.5,402.1,,,327.8,65.1
1904,304.5,287.5,391.1,,,327.7,55.5
1905,305.1,286.8,390.7,,,327.6,55.5
1906,307.9,280.2,394.6,,,327.5,59.7
1907,307.0,279.2,386.7,,,324.3,55.8
1908,306.8,282.3,400.7,,,329.9,62.5
1909,303.9,277.5,394.6,,,325.3,61.4
1910,309.3,278.7,392.9,,,327.0,59.1
1911,308.9,285.5,393.0,,,329.1,56.5
1912,303.2,280.7,390.3,,,324.7,57.9
1913,307.5,282.1,391.0,,,326.8,57.0
1914,312.4,281.3,396.5,,,330.0,59.6
1915,307.0,281.4,398.1,,,328.8,61.3
1916,312.2,278.0,387.2,,,325.8,55.9
1917,311.2,274.6,382.9,,,322.9,55.1
1918,305.5,275.4,395.8,,,325.6,62.6
1919,308.9,281.6,386.8,,,325.8,54.6
1920,307.0,271.7,390.7,,,323.1,61.1
1921,315.6,273.9,399.8,,,329.8,64.1
1922,316.7,272.8,387.4,,,325.7,57.8
1923,313.1,276.8,393.2,,,327.7,59.6
1924,312.2,275.7,397.2,,,328.4,62.4
1925,315.6,275.0,393.7,,,328.1,60.3
1926,317.0,273.2,388.1,,,326.1,58.0
1927,312.4,277.1,386.8,,,325.4,56.0
1928,310.3,275.0,384.0,,,323.1,55.6
1929,311.0,274.1,390.7,,,325.2,59.6
1930,321.6,270.9,387.5,,,326.7,58.5
1931,322.0,274.2,394.8,,,330.4,60.8
1932,313.6,275.0,384.5,,,324.4,55.6
1933,314.9,271.9,391.5,,,326.1,60.6
1934,313.0,274.7,401.6,,,329.8,65.1
1935,317.8,270.9,389.3,,,326.0,59.6
1936,316.3,274.7,392.8,,,327.9,59.9
1937,316.7,277.6,395.9,,,330.1,60.3
1938,315.5,271.0,383.1,,,323.2,56.4
1939,323.4,274.8,398.2,,,332.1,62.2
1940,315.5,269.3,391.4,,,325.4,61.6
1941,317.4,270.2,392.6,,,326.7,61.7
1942,319.3,270.5,385.8,,,325.2,57.9
1943,320.3,277.2,391.1,,,329.6,57.5
1944,321.0,268.2,388.8,,,326.0,60.5
1945,320.3,267.7,382.0,,,323.3,57.2
1946,314.0,272.1,377.5,,,321.2,53.1
