Time after Ignition,PlasticC_R1,PlasticC_R2,PlasticC_R3,Mean,Std. Dev.
43.5,935.0,917.5,1021.5,958.0,55.7
43.75,935.1,960.7,993.1,963.0,29.1
44.0,967.3,898.9,1094.5,986.9,99.2
44.25,941.4,921.4,1090.1,984.3,92.2
44.5,927.4,962.5,1030.9,973.6,52.7
44.75,947.7,946.6,1040.2,978.2,53.7
45.0,954.2,948.4,1088.9,997.2,79.5
45.25,920.2,955.0,1038.7,971.3,60.9
45.5,974.7,961.6,1076.9,1004.4,63.1
45.75,985.1,979.3,1077.9,1014.1,55.4
46.0,972.3,940.2,1028.2,980.2,44.5
46.25,951.3,915.1,1075.2,980.6,84.0
46.5,1014.3,980.0,1091.4,1028.6,57.1
46.75,978.2,993.3,1015.0,995.5,18.5
47.0,1022.1,960.9,1080.1,1021.0,59.6
47.25,956.3,996.9,1093.3,1015.5,70.4
47.5,1014.1,978.3,1045.4,1012.6,33.6
47.75,1008.9,1002.1,1105.3,1038.8,57.7
48.0,1006.6,932.6,1102.1,1013.8,85.0
48.25,994.7,1006.4,1149.8,1050.3,86.4
48.5,983.7,965.4,1087.7,1012.3,66.0
48.75,983.7,982.7,1142.6,1036.3,92.0
49.0,1011.9,966.9,1058.8,1012.5,46.0
49.25,1011.8,1044.3,1081.5,1045.9,34.9
49.5,1022.3,996.6,1102.1,1040.3,55.0
49.75,1022.0,1024.8,1138.9,1061.9,66.7
50.0,1025.6,998.5,1102.3,1042.1,53.8
50.25,1010.5,1039.7,1113.5,1054.6,53.1
50.5,1025.4,994.1,1078.6,1032.7,42.7
50.75,1027.6,1053.3,1120.5,1067.1,47.9
51.0,1011.3,1013.9,1163.7,1063.0,87.3
51.25,1015.8,1038.5,1133.8,1062.7,62.6
51.5,1050.5,1043.2,1137.8,1077.2,52.7
51.75,1096.2,1049.8,1110.3,1085.4,31.7
52.0,1044.5,1032.0,1136.3,1070.9,57.0
52.25,1032.1,1032.3,1151.0,1071.8,68.6
52.5,1059.4,1077.2,1159.0,1098.5,53.1
52.75,1072.9,1064.6,1126.8,1088.1,33.8
53.0,1111.9,1032.4,1138.5,1094.3,55.2
53.25,1079.0,1043.7,1099.0,1073.9,28.0
53.5,1075.1,1048.9,1129.4,1084.5,41.0
53.75,1091.5,1050.4,1149.7,1097.2,49.9
54.0,1097.1,1038.0,1216.7,1117.3,91.0
54.25,1060.2,1073.8,1211.5,1115.2,83.7
54.5,1098.6,1037.3,1192.3,1109.4,78.1
54.75,1088.3,1072.3,1182.9,1114.5,59.8
55.0,1086.6,1033.5,1243.5,1121.2,109.2
55.25,1090.7,1050.9,1169.1,1103.6,60.2
55.5,1148.4,1091.1,1168.1,1135.9,40.0
55.75,1073.2,1044.6,1164.5,1094.1,62.6
56.0,1109.4,1039.3,1198.3,1115.7,79.7
56.25,1109.9,1063.4,1186.3,1119.9,62.0
56.5,1157.3,1073.7,1184.4,1138.5,57.7
56.75,1090.4,1060.9,1187.7,1113.0,66.4
57.0,1096.4,1063.6,1225.7,1128.6,85.7
57.25,1128.3,1090.8,1171.8,1130.3,40.5
57.5,1116.3,1044.1,1186.6,1115.7,71.2
57.75,1108.5,1119.9,1178.1,1135.5,37.3
58.0,1099.6,1100.7,1203.2,1134.5,59.5
58.25,1123.6,1093.2,1273.5,1163.4,96.5
58.5,1074.4,1038.5,1220.8,1111.2,96.5
58.75,1150.4,1101.4,1252.4,1168.1,77.0
59.0,1094.3,1068.2,1264.1,1142.2,106.4
59.25,1144.4,1137.3,1269.6,1183.8,74.4
59.5,1122.3,1126.6,1175.4,1141.4,29.5
59.75,1124.5,1110.8,1225.9,1153.8,62.9
60.0,1142.7,1098.5,1242.6,1161.3,73.8
60.25,1133.9,1069.2,1256.7,1153.3,95.3
60.5,1167.5,1173.7,1195.5,1178.9,14.7
60.75,1172.3,1133.8,1213.0,1173.0,39.6
61.0,1230.9,1125.1,1257.4,1204.5,70.0
61.25,1104.1,1056.6,1271.8,1144.2,113.1
61.5,1149.7,1147.9,1254.6,1184.1,61.1
61.75,1182.9,1165.8,1194.2,1181.0,14.3
62.0,1154.3,1159.0,1254.8,1189.4,56.7
62.25,1107.3,1099.7,1192.5,1133.2,51.5
62.5,1157.2,1132.3,1315.1,1201.5,99.1
62.75,1151.9,1089.3,1245.8,1162.3,78.8
63.0,1153.9,1197.6,1252.8,1201.4,49.6
63.25,1157.7,1153.0,1255.9,1188.9,58.1
63.5,1129.3,1137.0,1269.8,1178.7,79.0
63.75,1146.7,1174.7,1273.6,1198.3,66.7
64.0,1192.7,1128.2,1293.9,1205.0,83.5
64.25,1175.7,1140.2,1298.4,1204.8,83.1
64.5,1143.7,1127.2,1319.7,1196.9,106.7
64.75,1232.0,1146.0,1289.3,1222.5,72.1
65.0,1174.2,1157.5,1299.8,1210.5,77.8
65.25,1158.8,1159.8,1290.7,1203.1,75.9
65.5,1184.8,1192.1,1286.5,1221.1,56.7
65.75,1182.1,1108.8,1358.2,1216.3,128.2
66.0,1200.9,1196.0,1231.6,1209.5,19.3
66.25,1204.5,1099.6,1287.3,1197.1,94.0
66.5,1245.5,1211.1,1277.4,1244.7,33.2
66.75,1193.9,1128.2,1316.6,1212.9,95.6
67.0,1248.6,1174.1,1284.3,1235.6,56.2
67.25,1233.7,1183.4,1309.8,1242.3,63.6
67.5,1151.2,1154.3,1332.7,1212.7,103.9
67.75,1239.0,1182.3,1309.2,1243.5,63.5
68.0,1129.9,1155.8,1327.7,1204.4,107.5
68.25,1205.1,1168.7,1310.2,1228.0,73.5
68.5,1188.6,1163.6,1382.4,1244.9,119.7
68.75,1234.7,1212.7,1338.9,1262.1,67.4
69.0,1256.8,1092.0,1319.0,1222.6,117.3
69.25,1217.3,1138.8,1306.6,1220.9,83.9
69.5,1265.8,1205.3,1318.6,1263.2,56.7
69.75,1231.6,1164.1,1354.6,1250.1,96.6
70.0,1235.4,1189.3,1373.2,1266.0,95.7
70.25,1306.2,1186.5,1314.4,1269.0,71.6
70.5,1289.3,1209.9,1329.6,1276.3,60.9
70.75,1301.5,1243.2,1348.4,1297.7,52.7
71.0,1247.0,1170.7,1368.0,1261.9,99.5
71.25,1268.5,1234.1,1368.2,1290.3,69.7
71.5,1259.4,1197.0,1367.2,1274.5,86.1
71.75,1233.6,1179.8,1325.4,1246.3,73.6
72.0,1244.0,1172.5,1317.0,1244.5,72.2
72.25,1251.6,1145.1,1356.0,1250.9,105.5
72.5,1223.5,1198.9,1331.4,1251.3,70.5
72.75,1301.7,1201.6,1309.9,1271.0,60.3
73.0,1264.5,1158.4,1342.1,1255.0,92.2
73.25,1315.7,1183.7,1378.7,1292.7,99.5
73.5,1317.7,1160.1,1359.0,1278.9,105.0
73.75,1304.1,1161.5,1341.8,1269.1,95.1
74.0,1274.7,1197.3,1335.9,1269.3,69.5
74.25,1271.7,1241.9,1322.1,1278.6,40.5
74.5,1263.6,1178.9,1295.2,1245.9,60.1
74.75,1294.3,1178.7,1390.5,1287.8,106.0
75.0,1289.9,1155.4,1414.5,1286.6,129.6
75.25,1344.3,1126.1,1337.6,1269.4,124.1
75.5,1247.1,1226.7,1359.4,1277.7,71.5
75.75,1315.5,1165.6,1301.3,1260.8,82.8
76.0,1242.8,1217.0,1346.5,1268.8,68.5
76.25,1301.8,1236.8,1343.0,1293.9,53.6
76.5,1323.3,1224.0,1355.9,1301.1,68.7
76.75,1317.9,1166.6,1375.4,1286.6,107.9
77.0,1292.4,1246.9,1410.3,1316.6,84.3
77.25,1271.1,1181.7,1354.1,1268.9,86.2
77.5,1304.5,1190.6,1343.2,1279.4,79.4
77.75,1320.6,1277.1,1390.6,1329.4,57.3
78.0,1268.6,1179.3,1305.5,1251.1,64.9
78.25,1272.3,1231.7,1339.8,1281.3,54.6
78.5,1279.3,1175.8,1354.9,1270.0,89.9
78.75,1280.0,1219.5,1341.5,1280.3,61.0
79.0,1329.3,1191.8,1341.3,1287.5,83.1
79.25,1271.5,1256.5,1323.1,1283.7,34.9
79.5,1330.9,1144.0,1327.4,1267.5,106.9
79.75,1318.5,1192.8,1400.4,1303.9,104.6
80.0,1285.1,1214.3,1370.3,1289.9,78.1
80.25,1323.8,1241.8,1386.4,1317.3,72.5
80.5,1282.0,1194.7,1402.5,1293.0,104.3
80.75,1257.1,1242.3,1405.0,1301.5,90.0
81.0,1290.4,1176.7,1325.1,1264.1,77.7
81.25,1289.4,1247.4,1336.2,1291.0,44.5
81.5,1312.1,1232.7,1420.3,1321.7,94.1
81.75,1274.1,1217.9,1368.9,1287.0,76.3
82.0,1297.9,1241.2,1362.6,1300.6,60.7
82.25,1458.2,1250.1,1318.7,1342.3,106.0
82.5,1323.8,1206.6,1327.4,1285.9,68.7
82.75,1346.2,1188.2,1392.0,1308.8,107.0
83.0,1312.0,1142.4,1332.6,1262.4,104.4
83.25,1269.8,1195.6,1342.1,1269.2,73.3
83.5,1315.1,1275.4,1385.2,1325.3,55.6
83.75,1340.4,1208.5,1325.2,1291.4,72.2
84.0,1355.0,1211.0,1406.2,1324.1,101.2
84.25,1310.4,1225.8,1368.2,1301.4,71.6
84.5,1290.5,1249.6,1374.5,1304.9,63.7
84.75,1325.1,1230.4,1369.5,1308.4,71.1
85.0,1313.7,1260.1,1381.9,1318.6,61.0
85.25,1257.3,1209.4,1339.0,1268.6,65.5
85.5,1460.6,1213.7,1305.0,1326.4,124.9
85.75,1367.7,1176.8,1333.7,1292.7,101.9
86.0,1262.5,1266.3,1389.4,1306.1,72.2
86.25,1370.4,1173.8,1358.9,1301.0,110.3
86.5,1313.3,1252.8,1383.7,1316.6,65.5
86.75,1382.9,1198.7,1359.8,1313.8,100.4
87.0,1346.4,1187.7,1350.9,1295.0,92.9
87.25,1281.1,1189.4,1331.7,1267.4,72.2
87.5,1315.7,1184.0,1315.4,1271.7,75.9
87.75,1337.4,1211.7,1329.2,1292.8,70.3
88.0,1329.4,1186.5,1320.5,1278.8,80.0
88.25,1308.9,1239.3,1293.2,1280.5,36.5
88.5,1309.6,1166.0,1272.2,1249.3,74.5
88.75,1343.5,1160.3,1271.9,1258.6,92.4
89.0,1257.0,1189.5,1263.4,1236.6,40.9
89.25,1288.2,1158.7,1258.9,1235.3,67.9
89.5,1299.0,1260.9,1271.3,1277.1,19.7
89.75,1311.0,1210.5,1287.2,1269.5,52.5
90.0,1324.3,1226.2,1264.3,1271.6,49.4
90.25,1269.0,1279.2,1251.2,1266.5,14.1
90.5,1311.9,1153.5,1265.1,1243.5,81.4
90.75,1228.5,1216.9,1282.8,1242.8,35.2
91.0,1338.9,1174.4,1318.5,1277.3,89.7
91.25,1305.1,1211.6,1324.3,1280.3,60.3
91.5,1207.5,1188.1,1262.7,1219.4,38.7
91.75,1252.2,1215.1,1260.8,1242.7,24.3
92.0,1269.5,1201.4,1267.2,1246.0,38.7
92.25,1254.5,1145.4,1232.2,1210.7,57.6
92.5,1254.5,1212.8,1212.9,1226.8,24.1
92.75,1234.9,1177.5,1189.6,1200.7,30.3
93.0,1249.5,1202.0,1234.8,1228.8,24.3
93.25,1266.8,1145.8,1255.6,1222.7,66.9
93.5,1285.2,1208.3,1257.7,1250.4,39.0
93.75,1231.1,1195.7,1210.9,1212.6,17.8
94.0,1253.7,1243.0,1211.9,1236.2,21.7
94.25,1247.1,1151.8,1208.9,1202.6,48.0
94.5,1256.9,1190.2,1170.8,1206.0,45.2
94.75,1226.0,1183.1,1198.0,1202.4,21.8
95.0,1267.9,1190.0,1163.6,1207.2,54.2
95.25,1228.1,1194.0,1168.5,1196.8,29.9
95.5,1255.0,1177.0,1166.9,1199.7,48.2
95.75,1270.6,1183.0,1154.8,1202.8,60.3
96.0,1272.7,1195.1,1157.6,1208.5,58.7
96.25,1242.4,1173.6,1122.4,1179.5,60.2
96.5,1226.6,1165.4,1132.5,1174.9,47.7
96.75,1220.4,1215.9,1171.3,1202.5,27.2
97.0,1182.7,1165.1,1178.6,1175.5,9.2
97.25,1185.6,1157.4,1122.4,1155.1,31.7
97.5,1229.1,1130.3,1135.0,1164.8,55.8
97.75,1216.0,1204.1,1095.6,1171.9,66.3
98.0,1203.1,1124.7,1077.6,1135.2,63.4
98.25,1214.7,1162.8,1098.0,1158.5,58.5
98.5,1254.9,1174.9,1086.8,1172.2,84.1
98.75,1218.5,1087.8,1064.2,1123.5,83.1
99.0,1170.4,1109.6,1013.2,1097.7,79.3
99.25,1213.2,1152.9,1028.6,1131.6,94.1
99.5,1164.5,1088.9,1033.2,1095.6,65.9
99.75,1154.8,1036.3,1030.3,1073.8,70.2
100.0,1185.9,1112.6,1016.4,1105.0,85.0
100.25,1219.9,1139.8,979.7,1113.1,122.3
100.5,1160.9,1105.2,954.9,1073.6,106.6
100.75,1169.8,1125.4,947.7,1081.0,117.6
101.0,1170.6,1134.9,936.3,1080.6,126.3
101.25,1158.0,1063.5,912.8,1044.8,123.7
101.5,1175.1,1078.8,921.5,1058.5,128.0
101.75,1182.3,1071.7,914.5,1056.2,134.6
102.0,1123.3,1113.9,928.1,1055.1,110.1
102.25,1124.9,1089.2,897.4,1037.2,122.4
102.5,1086.7,1079.3,846.3,1004.1,136.7
102.75,1101.9,1069.4,845.9,1005.7,139.4
103.0,1088.8,1091.2,831.9,1003.9,149.0
103.25,1108.4,1043.3,815.4,989.0,153.8
103.5,1088.8,1080.9,837.8,1002.5,142.7
103.75,1054.8,1048.5,810.3,971.2,139.4
104.0,1047.0,1063.9,797.9,969.6,149.0
104.25,1028.6,1020.2,784.7,944.5,138.5
104.5,1025.8,1043.7,774.4,948.0,150.5
104.75,1037.1,1008.8,772.0,939.3,145.6
105.0,999.9,1016.1,761.7,925.9,142.5
105.25,997.4,987.3,757.8,914.1,135.5
105.5,996.8,982.4,740.4,906.5,144.0
105.75,989.2,962.3,714.6,888.7,151.4
106.0,989.3,940.2,709.0,879.5,149.7
106.25,944.9,946.4,704.6,865.3,139.2
106.5,956.8,922.2,669.9,849.6,156.6
106.75,900.9,932.1,650.2,827.7,154.6
107.0,889.9,935.9,650.6,825.4,153.2
107.25,908.7,931.3,642.9,827.6,160.4
107.5,887.0,903.6,619.1,803.2,159.7
107.75,862.8,896.2,610.5,789.8,156.2
108.0,842.0,897.6,610.6,783.4,152.2
108.25,870.1,870.3,589.2,776.5,162.2
108.5,823.7,879.5,572.3,758.5,163.7
108.75,830.6,849.3,569.6,749.8,156.3
109.0,810.8,825.4,548.6,728.3,155.8
109.25,788.9,845.0,543.3,725.7,160.4
109.5,795.0,814.7,525.6,711.8,161.5
109.75,775.9,814.5,523.9,704.8,157.8
110.0,774.4,821.8,522.7,706.3,160.8
110.25,761.1,779.3,498.8,679.7,157.0
110.5,741.6,805.2,486.5,677.8,168.6
110.75,740.5,757.8,487.1,661.8,151.5
111.0,714.0,762.9,479.3,652.1,151.6
111.25,712.0,734.7,463.5,636.7,150.4
111.5,692.0,756.5,451.8,633.4,160.6
111.75,689.2,729.9,441.3,620.1,156.2
112.0,659.5,722.4,425.0,602.3,156.7
112.25,648.0,708.3,415.6,590.6,154.6
112.5,627.4,723.3,400.7,583.8,165.7
112.75,619.1,679.6,394.7,564.5,150.1
113.0,607.2,676.0,384.3,555.8,152.5
113.25,587.0,643.0,373.7,534.6,142.1
113.5,570.9,657.5,368.8,532.4,148.1
113.75,563.7,669.2,355.4,529.4,159.7
114.0,543.9,654.3,343.5,513.9,157.5
114.25,526.6,643.2,332.2,500.7,157.1
114.5,507.7,640.9,319.9,489.5,161.2
114.75,500.8,612.5,313.3,475.5,151.2
115.0,490.4,603.2,301.6,465.1,152.4
115.25,467.0,596.0,288.0,450.3,154.7
115.5,456.5,589.1,280.5,442.0,154.8
115.75,433.0,576.0,269.8,426.3,153.2
116.0,419.2,568.9,259.4,415.8,154.8
116.25,406.2,565.7,247.6,406.5,159.1
116.5,383.8,544.6,236.6,388.3,154.1
116.75,363.8,544.2,,454.0,127.6
117.0,351.6,529.2,,440.4,125.5
117.25,333.4,507.2,,420.3,122.8
117.5,319.9,504.5,,412.2,130.5
117.75,296.8,482.6,,389.7,131.4
118.0,282.4,468.7,,375.5,131.8
118.25,269.1,457.2,,363.1,133.0
118.5,256.7,441.4,,349.0,130.6
118.75,242.3,430.0,,336.2,132.7
119.0,230.6,415.2,,322.9,130.5
119.25,215.7,400.0,,307.9,130.3
119.5,206.5,385.7,,296.1,126.7
119.75,194.9,381.4,,288.1,131.9
120.0,183.9,366.1,,275.0,128.8
