Names,PlasticC_R1,PlasticC_R2,PlasticC_R3,Mean,Std. Dev.
364,1526.5,1535.8,1484.1,1515.4,27.6
365,1534.4,1775.3,1437.8,1582.5,173.9
366,1552.2,1534.1,1510.3,1532.2,21.0
367,1573.9,1514.9,1517.8,1535.5,33.2
368,1530.3,1533.6,1463.7,1509.2,39.4
369,1534.2,1465.3,1450.4,1483.3,44.7
370,1445.2,1620.1,1486.4,1517.2,91.5
371,1550.4,1598.0,1434.3,1527.6,84.2
372,1486.7,1644.3,1479.5,1536.8,93.1
373,1480.4,1543.9,1497.7,1507.4,32.8
374,1571.6,1594.1,1462.6,1542.7,70.3
375,1422.5,1543.6,1467.8,1478.0,61.2
376,1438.8,1606.7,1440.5,1495.3,96.4
377,1502.8,1663.2,1361.6,1509.2,150.9
378,1462.1,1416.0,1401.1,1426.4,31.8
379,1681.0,1435.1,1365.8,1494.0,165.7
380,1456.0,1428.4,1399.5,1428.0,28.2
381,1503.5,1467.8,1400.7,1457.3,52.2
382,1540.3,1522.3,1408.7,1490.4,71.4
383,1395.5,1465.0,1357.5,1406.0,54.5
384,1464.3,1434.6,1385.9,1428.3,39.6
385,1540.4,1487.0,1414.3,1480.6,63.3
386,1507.9,1530.8,1393.0,1477.2,73.8
387,1490.6,1424.0,1417.8,1444.1,40.3
388,1507.6,1499.7,1384.1,1463.8,69.1
389,1491.1,1488.7,1403.4,1461.1,50.0
390,1487.2,1500.2,1422.2,1469.9,41.8
391,1464.9,1515.0,1396.8,1458.9,59.3
392,1490.1,1393.8,1389.5,1424.5,56.9
393,1442.0,1487.1,1392.6,1440.6,47.2
394,1377.7,1468.7,1363.6,1403.3,57.0
395,1354.5,1428.1,1327.6,1370.1,52.0
396,1419.1,1360.2,1360.4,1379.9,33.9
397,1417.2,1392.7,1349.5,1386.5,34.2
398,1399.1,1367.4,1345.4,1370.6,27.0
399,1383.6,1384.3,1334.2,1367.3,28.7
400,1359.6,1355.7,1276.9,1330.8,46.7
401,1404.2,1317.6,1278.8,1333.5,64.2
402,1410.7,1354.2,1262.5,1342.5,74.8
403,1378.7,1425.5,1277.7,1360.6,75.6
404,1360.8,1311.8,1305.9,1326.2,30.1
405,1375.5,1324.4,1291.3,1330.4,42.4
406,1358.5,1251.7,1286.0,1298.7,54.5
407,1347.0,1270.0,1233.8,1283.6,57.8
408,1330.1,1228.5,1273.4,1277.3,50.9
409,1267.0,1271.6,1208.6,1249.1,35.1
410,1273.5,1321.8,1189.8,1261.7,66.8
411,1298.6,1270.9,1166.4,1245.3,69.7
412,1255.5,1245.3,1180.7,1227.2,40.6
413,1241.2,1227.6,1182.2,1217.0,30.9
414,1215.5,1196.0,1217.3,1209.6,11.8
415,1223.1,1237.1,1192.2,1217.5,23.0
416,1203.2,1202.4,1160.4,1188.7,24.5
417,1212.2,1152.3,1124.9,1163.1,44.6
418,1173.3,1167.7,1112.7,1151.2,33.5
419,1178.3,1138.2,1115.5,1144.0,31.8
420,1142.9,1150.9,1122.4,1138.7,14.7
421,1119.2,1156.9,1087.6,1121.2,34.7
422,1123.2,1109.4,1070.4,1101.0,27.4
423,1133.5,1091.4,1049.4,1091.4,42.0
424,1093.2,1073.0,1030.1,1065.4,32.2
425,1061.9,1035.0,1010.2,1035.7,25.9
426,1093.5,1005.8,982.2,1027.2,58.7
427,1049.4,1015.2,966.5,1010.4,41.7
428,1032.5,1008.1,968.2,1002.9,32.5
429,1030.7,977.1,957.4,988.4,37.9
430,1007.1,951.0,920.0,959.3,44.2
431,977.7,926.5,911.7,938.6,34.6
432,956.6,912.7,899.3,922.8,30.0
433,954.5,869.8,876.8,900.4,47.0
434,900.2,846.2,841.5,862.7,32.6
435,880.2,830.5,842.0,850.9,26.0
436,862.2,810.4,825.3,832.6,26.7
437,861.8,794.2,829.1,828.4,33.8
438,818.4,758.4,793.0,789.9,30.1
439,804.8,748.9,765.2,772.9,28.8
440,775.7,751.5,758.5,761.9,12.4
441,770.7,713.0,759.9,747.8,30.7
442,753.9,712.2,741.3,735.8,21.4
443,728.2,703.1,723.8,718.4,13.4
444,726.2,675.2,711.3,704.3,26.2
445,690.5,660.4,698.8,683.2,20.2
446,677.8,639.0,688.8,668.6,26.2
447,654.4,629.3,665.9,649.9,18.7
448,637.5,601.5,638.9,625.9,21.2
449,624.3,588.9,623.5,612.2,20.2
450,598.0,569.0,616.0,594.3,23.7
451,581.5,549.6,589.5,573.5,21.1
452,565.8,527.6,565.0,552.8,21.8
453,546.7,506.2,552.6,535.2,25.3
454,525.2,483.7,527.8,512.2,24.7
455,514.3,462.4,523.9,500.2,33.1
456,489.5,440.7,506.6,478.9,34.2
457,470.7,419.8,484.5,458.3,34.1
458,448.6,401.9,463.6,438.0,32.2
459,432.4,383.3,448.2,421.3,33.9
460,419.8,356.8,436.0,404.2,41.9
461,398.5,337.0,419.5,385.0,42.8
462,379.8,323.0,401.8,368.2,40.6
463,366.9,304.2,396.9,356.0,47.3
464,347.6,289.7,384.8,340.7,47.9
465,336.7,276.8,,306.8,42.4
466,325.1,261.9,,293.5,44.7
467,303.9,,,303.9,
468,294.3,,,294.3,
469,279.9,,,279.9,
470,268.3,,,268.3,
471,252.4,,,252.4,
472,239.3,,,239.3,
473,229.6,,,229.6,
474,220.1,,,220.1,
475,208.4,,,208.4,
