Names,Wool_Rug_R1,Wool_Rug_R2,Wool_Rug_R3,Wool_Rug_R4,Mean,Std. Dev.
2452,125.5,25.1,26.1,47.8,56.1,47.4
2453,125.8,25.1,25.9,47.7,56.1,47.6
2454,124.9,25.2,25.9,47.6,55.9,47.2
2455,126.5,24.8,26.1,48.0,56.4,48.0
2456,124.8,25.3,26.0,48.4,56.1,47.0
2457,124.1,25.2,26.2,47.9,55.9,46.7
2458,124.7,25.1,26.5,47.9,56.0,46.9
2459,125.8,25.2,26.5,48.1,56.4,47.4
2460,124.8,25.6,26.4,48.7,56.4,46.8
2461,125.1,25.8,26.2,47.7,56.2,47.1
2462,125.7,25.7,26.7,48.4,56.6,47.2
2463,126.2,25.2,26.4,47.7,56.4,47.7
2464,123.9,25.6,26.1,48.4,56.0,46.5
2465,125.0,25.5,25.9,49.4,56.5,47.1
2466,124.8,25.6,25.8,48.4,56.1,47.0
2467,123.2,26.1,25.3,48.2,55.7,46.2
2468,125.6,25.7,25.2,48.1,56.1,47.5
2469,123.8,25.7,25.3,48.7,55.9,46.6
2470,122.7,25.7,24.9,49.0,55.6,46.1
2471,123.6,25.9,24.6,49.2,55.8,46.6
2472,122.5,26.0,24.4,48.9,55.5,46.1
2473,125.2,25.8,24.3,48.7,56.0,47.4
2474,123.6,26.4,24.3,49.5,55.9,46.5
2475,123.5,26.0,23.6,49.4,55.6,46.7
2476,122.9,25.6,24.1,49.8,55.6,46.4
2477,124.1,25.7,23.7,49.4,55.7,47.1
2478,122.4,26.1,23.3,49.2,55.2,46.2
2479,122.0,25.8,23.4,49.9,55.3,46.0
2480,122.4,25.7,23.5,49.3,55.2,46.3
2481,120.2,26.0,23.2,50.1,54.9,45.2
2482,122.3,26.1,23.0,49.7,55.3,46.2
2483,122.6,25.8,23.0,49.6,55.3,46.5
2484,123.0,25.8,23.4,49.8,55.5,46.5
2485,121.5,26.5,23.2,50.3,55.4,45.7
2486,121.1,26.1,23.0,49.8,55.0,45.6
2487,122.0,26.1,22.5,49.7,55.1,46.2
2488,121.5,25.7,22.4,50.3,55.0,46.1
2489,121.1,25.4,22.9,49.2,54.6,45.9
2490,122.9,25.5,23.0,49.1,55.1,46.7
2491,121.8,25.5,22.6,50.3,55.1,46.2
2492,121.9,25.0,22.5,49.9,54.8,46.4
2493,123.0,25.5,22.7,50.0,55.3,46.7
2494,122.0,25.0,22.5,49.0,54.6,46.5
2495,121.8,24.6,22.9,50.1,54.9,46.3
2496,122.6,24.8,22.7,49.6,54.9,46.7
2497,119.9,24.9,22.9,50.1,54.4,45.3
2498,120.2,25.0,22.5,49.8,54.4,45.6
2499,118.5,24.8,22.6,49.7,53.9,44.8
2500,118.8,24.7,22.6,50.0,54.0,44.9
2501,120.2,25.1,22.8,49.9,54.5,45.5
2502,120.8,24.9,22.7,49.9,54.5,45.8
2503,119.4,24.6,22.5,49.8,54.1,45.3
2504,119.4,24.9,22.4,50.7,54.3,45.2
2505,119.3,25.0,22.3,49.6,54.0,45.2
2506,118.7,24.9,22.4,50.6,54.1,44.9
2507,119.2,24.7,22.3,49.8,54.0,45.2
2508,116.4,24.7,22.4,50.2,53.4,43.9
2509,117.7,24.9,22.7,51.2,54.1,44.3
2510,117.2,25.0,22.6,50.9,53.9,44.1
2511,118.0,24.9,23.0,50.9,54.2,44.4
2512,119.0,24.9,23.4,51.0,54.5,44.8
2513,118.1,24.8,23.2,50.9,54.2,44.4
2514,115.9,25.0,23.3,51.3,53.9,43.3
2515,118.8,25.1,23.3,51.8,54.7,44.6
2516,116.9,25.1,23.4,51.9,54.3,43.7
2517,119.5,24.9,23.2,52.0,54.9,45.1
2518,115.2,24.7,23.5,51.9,53.8,42.9
2519,116.7,25.0,23.5,51.5,54.2,43.6
2520,115.9,25.0,23.3,52.4,54.1,43.3
2521,116.8,24.9,23.4,52.4,54.4,43.7
2522,117.1,25.3,23.3,52.6,54.6,43.8
2523,115.6,25.3,23.5,52.7,54.3,43.0
2524,115.8,25.3,23.4,52.4,54.2,43.1
2525,117.5,25.6,23.6,53.0,54.9,43.8
2526,117.1,25.5,23.6,52.5,54.7,43.7
2527,117.1,25.7,23.6,52.2,54.6,43.6
2528,114.6,25.9,23.7,53.8,54.5,42.3
2529,116.3,25.8,23.8,52.2,54.5,43.2
2530,115.9,26.1,23.8,53.1,54.7,42.9
2531,114.7,26.3,23.4,53.3,54.4,42.4
2532,115.9,26.3,23.6,54.2,55.0,42.9
2533,114.5,25.9,23.7,53.6,54.4,42.3
2534,116.4,26.2,23.8,53.8,55.1,43.1
2535,114.6,26.4,23.7,53.4,54.5,42.2
2536,114.8,26.2,23.6,54.3,54.7,42.4
2537,114.5,26.3,23.7,54.6,54.8,42.2
2538,113.5,26.4,23.7,53.9,54.4,41.7
2539,114.5,26.3,23.6,53.6,54.5,42.2
2540,112.8,26.4,23.7,53.9,54.2,41.4
2541,112.2,26.6,23.9,54.4,54.3,41.0
2542,113.8,26.3,24.0,54.2,54.6,41.8
2543,113.6,26.6,23.6,54.2,54.5,41.8
2544,111.3,26.5,23.9,55.1,54.2,40.6
2545,112.2,26.3,23.8,55.4,54.4,41.1
2546,112.0,26.0,23.9,54.7,54.1,41.0
2547,113.1,26.5,23.6,54.6,54.5,41.5
2548,112.7,26.4,23.5,55.0,54.4,41.4
2549,111.9,26.3,22.9,55.3,54.1,41.2
2550,111.2,26.3,23.1,55.6,54.0,40.8
2551,113.2,26.1,23.3,55.9,54.6,41.7
2552,112.5,26.2,23.2,55.6,54.4,41.4
2553,111.6,26.4,23.2,55.2,54.1,41.0
2554,111.1,26.3,23.1,55.5,54.0,40.8
2555,112.5,26.3,22.8,55.8,54.3,41.5
2556,111.9,26.1,23.0,55.0,54.0,41.2
2557,111.2,26.6,23.2,55.5,54.1,40.7
2558,112.1,26.3,23.0,55.9,54.3,41.3
2559,110.9,26.5,22.7,56.1,54.1,40.7
2560,110.2,26.1,22.4,57.2,54.0,40.6
2561,110.7,26.3,22.2,56.8,54.0,40.8
