Time after Ignition,Nylon_R1,Nylon_R2,Nylon_R3,Mean,Std. Dev.
14.0,286.7,256.2,364.1,302.3,55.6
14.25,300.7,259.7,382.0,314.1,62.2
14.5,299.9,257.2,380.2,312.4,62.5
14.75,304.8,268.0,382.5,318.4,58.4
15.0,309.3,276.0,381.2,322.2,53.7
15.25,319.3,278.2,396.2,331.2,59.9
15.5,327.6,275.5,410.0,337.7,67.8
15.75,334.0,279.3,406.5,339.9,63.8
16.0,333.4,287.0,401.9,340.8,57.8
16.25,335.3,283.2,425.1,347.8,71.8
16.5,344.9,295.6,421.1,353.9,63.3
16.75,343.0,291.6,415.4,350.0,62.2
17.0,358.0,303.5,412.9,358.2,54.7
17.25,347.4,307.5,435.1,363.4,65.3
17.5,353.9,310.2,436.4,366.8,64.1
17.75,369.1,316.2,448.4,377.9,66.5
18.0,375.1,323.9,446.2,381.7,61.4
18.25,371.8,330.3,450.7,384.3,61.2
18.5,377.1,329.1,441.5,382.6,56.4
18.75,377.5,333.2,455.4,388.7,61.9
19.0,373.4,337.3,474.0,394.9,70.8
19.25,376.1,347.5,469.7,397.8,63.9
19.5,382.0,359.1,471.4,404.2,59.4
19.75,400.4,349.4,473.5,407.8,62.4
20.0,405.1,360.4,485.3,417.0,63.3
20.25,406.8,352.3,495.6,418.2,72.3
20.5,397.7,376.2,479.0,417.6,54.2
20.75,416.0,384.7,495.4,432.0,57.1
21.0,415.4,384.6,502.9,434.3,61.4
21.25,400.6,388.2,485.6,424.8,53.0
21.5,414.9,390.4,502.1,435.8,58.7
21.75,415.5,390.7,502.7,436.3,58.9
22.0,420.7,398.0,497.7,438.8,52.3
22.25,424.3,413.7,537.0,458.4,68.4
22.5,432.4,415.4,509.0,452.3,49.8
22.75,441.8,418.1,530.3,463.4,59.1
23.0,437.8,417.8,536.4,464.0,63.5
23.25,440.7,422.1,550.5,471.1,69.4
23.5,440.5,436.9,528.1,468.5,51.6
23.75,436.9,434.6,538.4,470.0,59.3
24.0,459.3,443.9,568.8,490.7,68.1
24.25,474.9,445.8,544.4,488.4,50.7
24.5,470.0,457.4,553.9,493.8,52.4
24.75,473.7,451.2,593.8,506.2,76.6
25.0,477.7,452.7,547.8,492.8,49.3
25.25,483.8,466.6,570.0,506.8,55.4
25.5,483.1,461.6,580.3,508.3,63.2
25.75,478.0,476.0,582.0,512.0,60.6
26.0,482.9,469.6,575.2,509.3,57.5
26.25,490.8,478.2,582.1,517.0,56.7
26.5,498.9,479.3,599.0,525.7,64.2
26.75,505.3,491.6,582.8,526.6,49.2
27.0,507.0,498.8,597.7,534.5,54.9
27.25,508.5,503.3,623.6,545.1,68.0
27.5,497.3,493.6,612.8,534.6,67.8
27.75,511.4,502.9,609.2,541.2,59.1
28.0,516.2,512.0,615.2,547.8,58.4
28.25,508.2,522.7,622.3,551.1,62.1
28.5,526.8,511.3,629.1,555.7,64.0
28.75,524.6,522.5,621.9,556.3,56.8
29.0,506.4,519.4,632.9,552.9,69.6
29.25,532.4,535.9,633.6,567.3,57.5
29.5,527.2,525.6,614.2,555.7,50.7
29.75,519.7,524.3,629.5,557.9,62.1
30.0,535.8,520.9,630.7,562.5,59.6
30.25,540.2,539.8,639.9,573.3,57.7
30.5,528.1,541.8,654.2,574.7,69.2
30.75,536.2,541.2,629.3,568.9,52.4
31.0,533.0,536.9,646.7,572.2,64.5
31.25,537.1,537.3,638.7,571.0,58.6
31.5,563.3,544.2,655.0,587.5,59.2
31.75,534.7,556.2,643.0,578.0,57.4
32.0,541.5,562.8,662.6,589.0,64.6
32.25,547.8,550.1,679.1,592.3,75.1
32.5,557.8,563.7,634.0,585.2,42.4
32.75,539.4,567.8,670.9,592.7,69.2
33.0,546.8,558.2,676.6,593.9,71.9
33.25,546.7,574.3,664.6,595.2,61.7
33.5,540.2,564.9,677.8,594.3,73.3
33.75,538.9,581.9,679.6,600.1,72.1
34.0,558.3,558.5,688.5,601.8,75.1
34.25,547.7,572.5,669.3,596.5,64.3
34.5,558.8,583.1,691.9,611.3,70.9
34.75,552.4,581.4,710.2,614.7,84.0
35.0,542.3,573.9,694.4,603.6,80.3
35.25,548.3,582.9,707.0,612.7,83.5
35.5,555.1,584.6,683.3,607.7,67.2
35.75,564.1,579.9,673.2,605.8,59.0
36.0,552.9,589.9,720.6,621.1,88.1
36.25,558.6,580.3,720.9,619.9,88.1
36.5,570.9,580.8,761.3,637.7,107.1
36.75,553.9,584.5,696.5,611.6,75.1
37.0,564.4,585.5,710.3,620.1,78.9
37.25,555.8,594.7,726.0,625.5,89.2
37.5,579.2,592.2,731.5,634.3,84.4
37.75,565.6,607.8,702.2,625.2,69.9
38.0,569.6,600.9,709.2,626.5,73.3
38.25,561.9,588.1,721.9,624.0,85.8
38.5,583.3,595.1,716.8,631.7,73.9
38.75,570.1,586.3,709.2,621.9,76.0
39.0,583.0,603.5,734.7,640.4,82.3
39.25,581.5,587.9,711.9,627.1,73.5
39.5,592.0,599.9,723.5,638.5,73.7
39.75,576.3,621.7,719.0,639.0,72.9
40.0,592.2,597.4,739.9,643.1,83.8
40.25,592.9,594.6,731.1,639.5,79.3
40.5,575.7,606.8,723.0,635.2,77.6
40.75,574.7,588.1,720.3,627.7,80.5
41.0,588.0,602.8,765.9,652.3,98.7
41.25,601.6,606.6,742.4,650.2,79.9
41.5,607.3,601.2,748.0,652.2,83.1
41.75,599.9,610.0,740.3,650.1,78.3
42.0,592.0,589.7,759.6,647.1,97.4
42.25,594.4,605.2,773.5,657.7,100.4
42.5,610.9,611.1,749.8,657.3,80.1
42.75,590.7,604.3,739.0,644.6,82.0
43.0,608.0,618.1,739.9,655.4,73.4
43.25,596.9,617.2,772.1,662.1,95.9
43.5,612.2,618.6,766.2,665.7,87.1
43.75,607.4,591.9,762.8,654.1,94.5
44.0,619.0,608.7,743.8,657.2,75.2
44.25,615.9,637.4,744.0,665.8,68.6
44.5,604.1,629.1,760.2,664.5,83.8
44.75,604.3,628.4,743.0,658.5,74.1
45.0,608.0,626.9,762.9,665.9,84.5
45.25,614.2,623.4,783.1,673.6,94.9
45.5,624.1,633.2,761.3,672.9,76.8
45.75,620.5,619.3,729.7,656.5,63.4
46.0,628.6,632.8,764.7,675.3,77.4
46.25,596.1,628.4,775.0,666.5,95.3
46.5,627.8,638.0,759.0,674.9,73.0
46.75,633.1,636.1,779.8,683.0,83.9
47.0,612.8,645.3,774.5,677.5,85.6
47.25,619.0,636.3,734.7,663.3,62.4
47.5,620.6,639.4,726.5,662.2,56.5
47.75,627.4,654.7,758.8,680.3,69.4
48.0,635.3,620.9,758.7,671.6,75.7
48.25,645.7,620.4,723.9,663.3,53.9
48.5,636.0,627.2,764.6,675.9,76.9
48.75,641.2,640.9,754.5,678.8,65.5
49.0,644.4,632.2,745.2,673.9,62.0
49.25,625.6,645.6,747.2,672.8,65.2
49.5,608.4,629.2,752.3,663.3,77.8
49.75,607.7,647.3,755.8,670.3,76.7
50.0,632.9,643.5,747.3,674.6,63.2
50.25,633.8,639.8,743.2,672.3,61.5
50.5,619.4,639.6,744.1,667.7,66.9
50.75,614.3,641.3,735.1,663.6,63.4
51.0,625.4,640.0,760.1,675.2,73.9
51.25,617.5,644.8,755.3,672.5,73.0
51.5,642.2,625.9,736.6,668.2,59.8
51.75,642.9,644.1,738.4,675.1,54.8
52.0,650.7,647.4,734.8,677.6,49.6
52.25,633.2,643.7,743.7,673.6,61.0
52.5,617.8,656.5,773.8,682.7,81.2
52.75,650.7,649.9,773.3,691.3,71.0
53.0,655.4,647.4,765.3,689.4,65.9
53.25,653.5,646.0,791.4,697.0,81.9
53.5,668.3,635.4,770.0,691.2,70.2
53.75,647.3,643.0,768.5,686.2,71.3
54.0,677.3,656.0,816.3,716.5,87.0
54.25,654.3,640.1,760.6,685.0,65.8
54.5,663.0,657.2,780.0,700.1,69.3
54.75,659.6,674.5,764.8,699.6,56.9
55.0,662.1,666.2,769.6,699.3,60.9
55.25,684.2,635.7,770.9,696.9,68.5
55.5,668.0,657.6,771.8,699.1,63.1
55.75,671.9,651.6,787.9,703.8,73.5
56.0,665.4,644.0,787.3,698.9,77.3
56.25,694.0,652.7,784.6,710.4,67.5
56.5,664.0,659.9,768.5,697.5,61.5
56.75,676.7,637.2,772.7,695.5,69.6
57.0,676.3,649.6,787.6,704.5,73.2
57.25,686.3,640.8,762.4,696.5,61.4
57.5,664.4,649.6,815.1,709.7,91.6
57.75,693.7,653.8,771.9,706.5,60.1
58.0,687.6,629.9,764.1,693.8,67.3
58.25,691.9,645.7,773.1,703.6,64.5
58.5,695.3,637.3,790.6,707.7,77.4
58.75,678.6,651.1,754.6,694.8,53.6
59.0,701.8,642.6,781.3,708.6,69.6
59.25,681.6,651.8,772.0,701.8,62.6
59.5,681.5,650.4,787.8,706.6,72.1
59.75,693.5,624.1,789.0,702.2,82.8
60.0,688.3,661.7,767.3,705.8,54.9
60.25,712.3,677.6,785.1,725.0,54.9
60.5,698.6,637.8,833.0,723.1,99.9
60.75,682.6,652.5,820.9,718.7,89.8
61.0,683.0,656.4,824.0,721.1,90.1
61.25,695.4,629.7,786.2,703.8,78.6
61.5,710.1,650.3,802.0,720.8,76.4
61.75,702.4,671.7,831.2,735.1,84.6
62.0,708.5,659.2,804.8,724.2,74.1
62.25,722.5,639.2,821.5,727.7,91.2
62.5,722.9,660.7,828.9,737.5,85.0
62.75,702.3,643.9,799.0,715.1,78.3
63.0,724.4,670.1,827.2,740.6,79.8
63.25,707.7,674.1,838.3,740.0,86.8
63.5,702.8,679.0,799.4,727.1,63.7
63.75,710.0,643.3,812.6,722.0,85.3
64.0,701.0,653.5,806.0,720.2,78.0
64.25,717.9,673.0,802.5,731.1,65.8
64.5,712.9,674.4,835.8,741.0,84.3
64.75,725.1,660.5,808.7,731.4,74.3
65.0,714.7,669.0,839.0,740.9,88.0
65.25,698.2,633.9,778.1,703.4,72.3
65.5,712.3,670.4,848.1,743.6,92.9
65.75,727.5,663.7,800.9,730.7,68.7
66.0,732.8,667.6,865.5,755.3,100.8
66.25,716.7,673.4,812.6,734.3,71.2
66.5,714.9,667.6,838.3,740.3,88.1
66.75,723.8,688.1,868.1,760.0,95.3
67.0,717.4,662.9,831.1,737.1,85.8
67.25,736.2,667.9,854.4,752.8,94.4
67.5,740.7,667.0,849.5,752.4,91.8
67.75,751.8,668.4,857.7,759.3,94.9
68.0,699.7,682.7,846.2,742.9,89.9
68.25,707.5,676.2,828.2,737.3,80.3
68.5,715.2,684.2,853.7,751.0,90.2
68.75,733.2,672.9,858.3,754.8,94.5
69.0,745.5,688.9,877.7,770.7,96.9
69.25,738.1,665.2,879.2,760.8,108.8
69.5,736.3,688.3,878.9,767.8,99.1
69.75,731.5,671.9,858.3,753.9,95.2
70.0,723.7,695.7,866.3,761.9,91.5
70.25,769.4,675.6,872.4,772.5,98.4
70.5,754.3,654.8,904.5,771.2,125.7
70.75,741.3,677.2,854.0,757.5,89.5
71.0,754.3,675.5,870.3,766.7,98.0
71.25,749.8,674.6,823.2,749.2,74.3
71.5,756.2,689.0,918.2,787.8,117.9
71.75,766.1,670.6,867.5,768.1,98.5
72.0,796.2,665.4,900.5,787.4,117.8
72.25,769.8,686.4,916.4,790.9,116.5
72.5,785.2,696.5,901.1,794.3,102.6
72.75,811.9,687.0,904.0,800.9,108.9
73.0,794.4,696.4,906.2,799.0,105.0
73.25,790.3,710.8,917.2,806.1,104.1
73.5,763.3,668.0,869.0,766.8,100.5
73.75,772.7,678.1,906.1,785.6,114.6
74.0,781.7,686.1,897.4,788.4,105.8
74.25,791.9,676.6,877.6,782.1,100.9
74.5,804.3,694.2,860.5,786.4,84.6
74.75,769.5,677.6,911.0,786.0,117.6
75.0,790.6,679.0,897.0,788.9,109.0
75.25,795.7,687.7,936.7,806.7,124.9
75.5,811.1,696.8,924.2,810.7,113.7
75.75,819.0,709.4,959.4,829.3,125.3
76.0,810.4,693.7,935.0,813.0,120.7
76.25,806.0,697.8,922.8,808.8,112.5
76.5,844.8,677.1,930.1,817.3,128.7
76.75,810.8,702.5,930.4,814.6,114.0
77.0,837.9,690.4,932.0,820.1,121.8
77.25,819.2,707.6,945.5,824.1,119.0
77.5,854.5,700.5,960.9,838.7,130.9
77.75,796.5,706.2,933.3,812.0,114.3
78.0,816.1,720.9,965.5,834.2,123.3
78.25,814.6,749.8,955.4,839.9,105.1
78.5,800.2,705.1,938.8,814.7,117.5
78.75,835.5,718.0,916.4,823.3,99.7
79.0,870.0,683.8,957.5,837.1,139.8
79.25,810.3,722.2,971.4,834.6,126.4
79.5,861.1,705.1,926.3,830.8,113.7
79.75,830.0,717.9,937.2,828.4,109.6
80.0,860.9,725.6,992.5,859.7,133.4
80.25,877.6,715.1,996.8,863.2,141.4
80.5,898.3,740.4,982.7,873.8,123.0
80.75,840.8,734.0,974.4,849.8,120.4
81.0,885.8,730.1,960.7,858.9,117.6
81.25,886.1,712.9,993.8,864.3,141.7
81.5,861.5,738.7,978.1,859.4,119.7
81.75,895.5,750.9,1015.8,887.4,132.6
82.0,894.0,751.1,1035.7,893.6,142.3
82.25,920.9,743.0,966.3,876.7,118.0
82.5,889.9,727.9,984.0,867.2,129.6
82.75,867.7,741.8,1044.5,884.7,152.1
83.0,902.7,754.8,1023.8,893.8,134.7
83.25,910.1,757.8,960.6,876.2,105.6
83.5,910.4,795.0,1015.3,906.9,110.2
83.75,894.4,742.0,1050.5,895.6,154.2
84.0,926.5,768.8,1026.7,907.4,130.0
84.25,865.6,766.5,994.3,875.5,114.2
84.5,921.3,745.6,999.9,889.0,130.2
84.75,942.0,773.9,1040.0,918.6,134.6
85.0,895.0,767.8,1041.0,901.3,136.7
85.25,925.5,765.7,1056.2,915.8,145.5
85.5,943.2,770.3,1078.5,930.7,154.5
85.75,920.3,792.0,1052.3,921.5,130.2
86.0,908.7,783.0,1054.9,915.5,136.1
86.25,952.7,809.8,974.1,912.2,89.3
86.5,948.6,786.8,1099.3,944.9,156.3
86.75,966.9,775.2,1131.0,957.7,178.1
87.0,986.1,813.2,1048.8,949.4,122.0
87.25,975.3,779.0,1076.7,943.7,151.4
87.5,985.1,771.5,1091.6,949.4,163.0
87.75,962.2,780.0,1148.7,963.6,184.4
88.0,984.6,795.2,1081.0,953.6,145.4
88.25,981.8,813.1,1078.3,957.8,134.2
88.5,1005.2,799.5,1047.4,950.7,132.7
88.75,1012.1,768.8,1111.7,964.2,176.4
89.0,997.0,784.8,1114.8,965.5,167.3
89.25,985.1,814.3,1117.0,972.1,151.8
89.5,1020.8,802.7,1133.1,985.5,168.0
89.75,1008.5,810.4,1127.5,982.1,160.2
90.0,1027.7,806.9,1088.1,974.2,148.0
90.25,1053.7,817.4,1159.1,1010.1,175.0
90.5,952.1,806.0,1166.6,974.9,181.4
90.75,1016.6,794.9,1110.1,973.9,161.9
91.0,1029.3,818.2,1084.7,977.4,140.6
91.25,1070.3,845.0,1157.1,1024.1,161.1
91.5,1027.9,833.6,1181.0,1014.2,174.1
91.75,997.5,852.8,1145.0,998.4,146.1
92.0,1070.9,831.7,1111.5,1004.7,151.2
92.25,1095.9,848.0,1140.6,1028.2,157.6
92.5,1019.0,828.3,1088.4,978.5,134.7
92.75,1035.0,856.1,1217.2,1036.1,180.6
93.0,1089.9,855.9,1170.9,1038.9,163.6
93.25,1118.6,832.5,1122.4,1024.5,166.3
93.5,1069.8,873.2,1139.4,1027.5,138.0
93.75,1086.2,869.0,1149.0,1034.7,146.9
94.0,1052.3,861.9,1099.1,1004.4,125.6
94.25,1116.5,889.8,1126.1,1044.1,133.7
94.5,1087.8,839.3,1213.0,1046.7,190.2
94.75,1078.2,867.9,1152.8,1033.0,147.7
95.0,1096.6,903.9,1111.1,1037.2,115.7
95.25,1103.6,923.0,1147.2,1057.9,118.9
95.5,1069.7,901.2,1186.1,1052.3,143.3
95.75,1119.8,892.4,1221.4,1077.9,168.5
96.0,1125.5,885.4,1189.7,1066.9,160.4
96.25,1077.9,923.8,1227.8,1076.5,152.0
96.5,1121.5,938.1,1226.8,1095.5,146.1
96.75,1079.7,891.8,1159.5,1043.7,137.4
97.0,1129.1,922.8,1212.8,1088.2,149.3
97.25,1082.9,970.4,1183.1,1078.8,106.4
97.5,1091.0,957.4,1154.6,1067.7,100.6
97.75,1106.4,948.4,1211.8,1088.9,132.6
98.0,1100.9,930.8,1235.6,1089.1,152.7
98.25,1056.8,920.5,1156.3,1044.5,118.4
98.5,1100.4,919.4,1223.7,1081.2,153.1
98.75,1166.2,943.7,1189.4,1099.8,135.7
99.0,1130.6,921.6,1261.0,1104.4,171.2
99.25,1181.3,966.9,1245.0,1131.1,145.7
99.5,1098.8,1006.7,1155.5,1087.0,75.1
99.75,1101.7,953.2,1141.2,1065.4,99.1
100.0,1099.4,957.7,1239.4,1098.8,140.8
100.25,1118.9,922.9,1270.8,1104.2,174.4
100.5,1139.9,945.6,1306.4,1130.6,180.6
100.75,1134.7,986.5,1172.7,1098.0,98.4
101.0,1151.8,946.5,1233.5,1110.6,147.8
101.25,1130.2,935.4,1269.0,1111.6,167.6
101.5,1161.0,949.8,1131.2,1080.7,114.3
101.75,1188.3,962.2,1234.3,1128.3,145.7
102.0,1230.0,992.2,1220.9,1147.7,134.7
102.25,1186.8,976.5,1236.1,1133.1,137.9
102.5,1108.7,989.2,1315.8,1137.9,165.2
102.75,1171.9,1017.5,1279.7,1156.4,131.8
103.0,1168.9,966.2,1263.5,1132.9,151.9
103.25,1161.7,971.4,1186.3,1106.5,117.6
103.5,1123.2,948.7,1227.7,1099.9,140.9
103.75,1116.7,1005.4,1283.0,1135.0,139.7
104.0,1138.4,972.5,1283.5,1131.5,155.6
104.25,1188.0,993.3,1240.9,1140.7,130.4
104.5,1137.5,1042.1,1313.3,1164.3,137.6
104.75,1141.6,987.2,1231.6,1120.1,123.6
105.0,1120.0,1043.1,1278.3,1147.1,119.9
105.25,1144.7,1021.2,1288.2,1151.4,133.6
105.5,1172.9,1011.1,1151.6,1111.9,87.9
105.75,1181.2,1004.1,1356.3,1180.5,176.1
106.0,1144.9,1057.7,1314.3,1172.3,130.5
106.25,1110.5,1062.2,1193.0,1121.9,66.1
106.5,1170.0,1021.4,1290.0,1160.5,134.6
106.75,1179.4,987.9,1263.4,1143.6,141.2
107.0,1213.5,1029.5,1236.3,1159.8,113.4
107.25,1267.4,1006.0,1248.7,1174.0,145.9
107.5,1154.6,1091.2,1299.3,1181.7,106.7
107.75,1163.8,1018.8,1308.9,1163.8,145.1
108.0,1202.2,1034.6,1343.9,1193.5,154.8
108.25,1169.6,1092.9,1207.4,1156.6,58.4
108.5,1217.2,1031.8,1279.1,1176.0,128.7
108.75,1203.6,1033.8,1294.8,1177.4,132.4
109.0,1136.4,1039.5,1277.4,1151.1,119.6
109.25,1157.9,1071.4,1198.0,1142.4,64.7
109.5,1208.5,1057.2,1280.6,1182.1,114.0
109.75,1193.5,1034.3,1362.5,1196.7,164.1
110.0,1211.7,1080.2,1322.0,1204.6,121.1
110.25,1173.2,1043.7,1324.3,1180.4,140.4
110.5,1301.7,1095.4,1349.0,1248.7,134.8
110.75,1237.3,1099.3,1318.8,1218.5,110.9
111.0,1195.9,1035.0,1243.3,1158.1,109.2
111.25,1254.5,1027.1,1395.1,1225.6,185.7
111.5,1230.2,1044.2,1225.8,1166.7,106.1
111.75,1200.2,1030.1,1351.7,1194.0,160.9
112.0,1217.4,1105.2,1255.1,1192.6,78.0
112.25,1198.7,1042.4,1321.0,1187.3,139.6
112.5,1211.6,1052.2,1342.1,1202.0,145.2
112.75,1223.3,1097.7,1292.6,1204.5,98.8
113.0,1162.0,1067.0,1321.0,1183.4,128.3
113.25,1237.9,1067.2,1285.9,1197.0,115.0
113.5,1208.6,1112.6,1326.8,1216.0,107.3
113.75,1208.5,1098.3,1254.0,1186.9,80.1
114.0,1217.8,1115.8,1278.7,1204.1,82.3
114.25,1230.1,1124.8,1232.9,1195.9,61.6
114.5,1230.9,1080.6,1291.7,1201.1,108.6
114.75,1195.6,1127.3,1388.1,1237.0,135.3
115.0,1269.3,1052.9,1296.4,1206.2,133.5
115.25,1261.6,1098.8,1250.1,1203.5,90.8
115.5,1187.8,1129.3,1269.0,1195.4,70.2
115.75,1190.1,1111.9,1260.2,1187.4,74.2
116.0,1189.0,1121.3,1322.5,1210.9,102.4
116.25,1242.5,1117.6,1220.7,1193.6,66.7
116.5,1269.4,1154.0,1246.3,1223.2,61.0
116.75,1240.3,1148.6,1290.6,1226.5,72.0
117.0,1243.2,1144.7,1389.4,1259.1,123.1
117.25,1233.1,1154.5,1239.5,1209.1,47.3
117.5,1179.9,1130.1,1269.3,1193.1,70.5
117.75,1218.6,1145.1,1314.1,1225.9,84.7
118.0,1220.8,1104.9,1267.3,1197.6,83.6
118.25,1244.2,1107.5,1256.2,1202.6,82.6
118.5,1206.5,1154.0,1260.9,1207.1,53.4
118.75,1167.6,1115.6,1212.5,1165.2,48.5
119.0,1186.8,1132.6,1223.6,1181.0,45.7
119.25,1213.6,1161.7,1253.2,1209.5,45.9
119.5,1252.3,1107.6,1252.5,1204.1,83.6
119.75,1225.7,1154.6,1319.4,1233.2,82.6
120.0,1242.2,1167.2,1209.7,1206.4,37.6
120.25,1199.3,1155.8,1279.2,1211.4,62.6
120.5,1180.4,1138.7,1209.6,1176.2,35.6
120.75,1219.7,1161.6,1175.2,1185.5,30.4
121.0,1223.3,1142.9,1208.6,1191.6,42.8
121.25,1241.2,1170.2,1230.0,1213.8,38.2
121.5,1201.0,1161.5,1174.6,1179.1,20.1
121.75,1184.1,1171.5,1257.9,1204.5,46.7
122.0,1161.5,1173.9,1212.9,1182.8,26.8
122.25,1209.4,1155.8,1205.7,1190.3,29.9
122.5,1150.5,1110.6,1244.0,1168.4,68.5
122.75,1195.4,1188.3,1173.4,1185.7,11.2
123.0,1172.3,1170.7,1237.8,1193.6,38.3
123.25,1214.9,1084.3,1220.1,1173.1,76.9
123.5,1156.5,1117.4,1261.6,1178.5,74.6
123.75,1214.2,1149.7,1153.3,1172.4,36.2
124.0,1247.3,1119.7,1169.0,1178.7,64.3
124.25,1172.7,1138.9,1195.0,1168.9,28.2
124.5,1206.9,1169.1,1179.7,1185.2,19.5
124.75,1118.2,1177.1,1192.6,1162.6,39.3
125.0,1222.0,1137.7,1220.4,1193.4,48.2
125.25,1203.1,1137.4,1169.5,1170.0,32.8
125.5,1199.2,1176.7,1225.5,1200.5,24.4
125.75,1192.8,1070.6,1214.5,1159.3,77.6
126.0,1197.2,1129.8,1195.2,1174.1,38.4
126.25,1247.1,1124.0,1140.8,1170.7,66.8
126.5,1222.6,1120.8,1160.1,1167.8,51.3
126.75,1179.9,1138.6,1197.0,1171.8,30.0
127.0,1110.2,1067.8,1112.7,1096.9,25.3
127.25,1128.0,1079.9,1172.7,1126.9,46.4
127.5,1145.3,1127.0,1182.2,1151.5,28.1
127.75,1181.1,1080.2,1105.9,1122.4,52.4
128.0,1160.5,1103.6,1156.2,1140.1,31.7
128.25,1202.7,1125.2,1116.3,1148.1,47.5
128.5,1189.9,1114.9,1160.4,1155.1,37.8
128.75,1150.2,1104.1,1117.8,1124.0,23.7
129.0,1171.1,1143.8,1090.5,1135.1,41.0
129.25,1230.4,1158.7,1110.0,1166.4,60.6
129.5,1161.4,1099.9,1094.7,1118.7,37.1
129.75,1167.0,1147.2,1107.9,1140.7,30.1
130.0,1145.4,1130.5,1091.9,1122.6,27.6
130.25,1179.9,1087.5,1085.4,1117.6,54.0
130.5,1151.2,1094.5,1042.1,1095.9,54.6
130.75,1106.0,1094.1,1048.4,1082.8,30.4
131.0,1144.1,1116.6,1044.7,1101.8,51.3
131.25,1160.0,1087.6,1044.1,1097.2,58.6
131.5,1114.4,1054.0,1016.6,1061.7,49.3
131.75,1138.3,1061.3,1005.8,1068.4,66.5
132.0,1066.5,1083.9,1005.1,1051.8,41.4
132.25,1147.8,1159.7,1024.4,1110.7,74.9
132.5,1104.5,1104.6,1032.4,1080.5,41.6
132.75,1082.0,1074.7,998.7,1051.8,46.1
133.0,1077.5,1128.8,1017.5,1074.6,55.7
133.25,1087.9,1075.7,989.9,1051.2,53.5
133.5,1074.0,1053.8,950.7,1026.2,66.1
133.75,1073.8,1052.4,997.2,1041.1,39.5
134.0,1067.0,1073.2,983.1,1041.1,50.3
134.25,1064.8,1030.1,965.6,1020.2,50.4
134.5,1054.8,1046.5,919.6,1007.0,75.8
134.75,1033.6,1100.4,947.2,1027.1,76.8
135.0,1044.9,1030.1,941.5,1005.5,55.9
135.25,1030.8,1061.8,927.1,1006.5,70.5
135.5,1019.1,1061.3,895.1,991.8,86.4
135.75,1023.1,1042.0,891.4,985.5,82.1
136.0,1014.0,1075.8,907.3,999.0,85.2
136.25,1027.4,1043.7,889.5,986.8,84.7
136.5,981.9,1047.7,871.5,967.0,89.0
136.75,990.9,1017.5,840.4,949.6,95.5
137.0,1013.8,1074.3,870.4,986.2,104.7
137.25,980.4,1036.1,848.8,955.1,96.2
