Time after Ignition,Nylon_R4,Nylon_R2,Nylon_R3,Mean,Std. Dev.
42.5,11.6,56.7,130.2,66.2,59.9
42.75,11.5,57.1,130.8,66.5,60.2
43.0,11.6,56.2,132.7,66.8,61.3
43.25,11.5,56.9,132.3,66.9,61.0
43.5,11.5,57.3,135.2,68.0,62.5
43.75,11.6,57.5,132.3,67.1,60.9
44.0,11.7,57.8,135.1,68.2,62.4
44.25,11.7,57.1,135.4,68.1,62.6
44.5,11.6,57.7,135.0,68.1,62.4
44.75,11.6,58.2,134.8,68.2,62.2
45.0,11.7,57.9,137.5,69.0,63.7
45.25,11.4,58.6,139.2,69.7,64.6
45.5,11.6,60.4,138.6,70.2,64.1
45.75,11.6,59.5,139.9,70.4,64.8
46.0,11.6,59.9,139.5,70.3,64.6
46.25,11.6,60.9,142.7,71.7,66.2
46.5,11.5,61.9,143.7,72.4,66.7
46.75,11.5,61.1,144.1,72.2,67.0
47.0,11.5,61.8,145.3,72.9,67.6
47.25,11.4,62.5,148.6,74.2,69.3
47.5,11.2,63.6,147.4,74.1,68.7
47.75,11.2,64.0,149.4,74.8,69.7
48.0,11.1,64.6,150.9,75.5,70.5
48.25,10.8,64.8,150.5,75.4,70.5
48.5,10.9,65.1,154.5,76.9,72.5
48.75,10.6,65.9,153.1,76.5,71.8
49.0,10.8,66.9,152.5,76.7,71.4
49.25,10.6,68.5,156.3,78.5,73.4
49.5,10.7,69.0,156.7,78.8,73.5
49.75,10.7,69.1,157.7,79.2,74.0
50.0,10.6,69.1,158.9,79.5,74.7
50.25,10.5,69.6,162.9,81.0,76.9
50.5,10.6,71.3,161.5,81.1,76.0
50.75,10.3,70.0,162.5,81.0,76.7
51.0,10.2,71.5,160.2,80.6,75.4
51.25,10.4,71.6,161.6,81.2,76.1
51.5,10.4,72.4,162.3,81.7,76.4
51.75,10.4,73.2,162.5,82.0,76.4
52.0,10.3,71.9,164.2,82.1,77.5
52.25,10.3,74.5,167.4,84.1,79.0
52.5,10.3,72.2,165.7,82.8,78.3
52.75,10.3,74.5,169.0,84.6,79.8
53.0,10.3,74.2,166.6,83.7,78.6
53.25,10.3,75.4,166.3,84.0,78.4
53.5,10.5,76.6,171.6,86.2,81.0
53.75,10.7,75.4,169.7,85.3,80.0
54.0,10.7,75.7,171.0,85.8,80.6
54.25,10.9,76.6,172.8,86.8,81.5
54.5,10.7,78.4,174.4,87.8,82.3
54.75,10.9,78.8,174.4,88.1,82.1
55.0,10.7,80.2,174.1,88.3,82.0
55.25,10.9,80.9,175.0,88.9,82.4
55.5,10.9,82.0,177.6,90.2,83.6
55.75,10.9,82.0,175.0,89.3,82.3
56.0,11.2,83.2,174.7,89.7,81.9
56.25,11.1,82.6,178.1,90.6,83.8
56.5,11.2,83.5,177.5,90.7,83.4
56.75,11.1,84.9,182.0,92.7,85.7
57.0,11.2,85.1,183.0,93.1,86.2
57.25,11.2,86.4,178.2,91.9,83.6
57.5,11.4,86.5,179.2,92.4,84.0
57.75,11.4,88.3,181.6,93.8,85.2
58.0,11.3,88.5,186.3,95.4,87.7
58.25,11.4,90.8,183.7,95.3,86.2
58.5,11.3,90.5,185.0,95.6,86.9
58.75,11.3,91.6,186.1,96.3,87.5
59.0,11.4,94.2,186.1,97.2,87.4
59.25,11.4,96.7,183.9,97.4,86.2
59.5,11.5,96.2,183.7,97.2,86.1
59.75,11.5,95.5,191.5,99.5,90.0
60.0,11.4,98.5,188.3,99.4,88.4
60.25,11.4,99.1,186.7,99.1,87.6
60.5,11.5,100.5,190.0,100.7,89.2
60.75,11.6,101.5,189.9,101.0,89.2
61.0,11.7,104.6,193.5,103.3,90.9
61.25,11.3,104.4,195.0,103.6,91.9
61.5,11.4,106.9,193.6,104.0,91.2
61.75,11.5,106.6,191.3,103.1,90.0
62.0,11.5,108.0,194.3,104.6,91.5
62.25,11.6,108.6,199.3,106.5,93.9
62.5,11.4,111.9,199.7,107.7,94.2
62.75,11.5,109.7,199.4,106.9,94.0
63.0,11.3,111.1,201.6,108.0,95.2
63.25,11.1,113.0,205.0,109.7,97.0
63.5,11.1,112.8,205.8,109.9,97.4
63.75,11.3,114.5,205.0,110.2,96.9
64.0,11.2,116.2,207.2,111.5,98.1
64.25,11.3,116.8,208.1,112.1,98.5
64.5,11.2,118.2,210.3,113.2,99.6
64.75,11.1,116.4,211.8,113.1,100.4
65.0,11.2,119.7,214.3,115.1,101.7
65.25,11.3,121.6,213.6,115.5,101.3
65.5,11.3,123.0,215.7,116.6,102.3
65.75,11.2,123.7,218.5,117.8,103.8
66.0,11.1,125.7,219.0,118.6,104.1
66.25,11.1,125.2,219.2,118.5,104.2
66.5,11.0,126.3,222.5,119.9,105.9
66.75,11.0,131.8,224.6,122.4,107.1
67.0,11.2,133.2,228.5,124.3,108.9
67.25,11.1,130.8,230.0,124.0,109.6
67.5,11.1,131.0,229.3,123.8,109.3
67.75,11.1,136.1,232.0,126.4,110.7
68.0,11.1,133.4,233.2,125.9,111.3
68.25,11.0,136.7,234.9,127.5,112.2
68.5,11.0,137.5,237.8,128.8,113.7
68.75,11.0,136.2,238.7,128.6,114.0
69.0,10.9,137.9,241.5,130.1,115.5
69.25,10.8,138.6,243.8,131.1,116.7
69.5,10.7,138.8,245.1,131.5,117.3
69.75,10.6,137.3,241.5,129.8,115.6
70.0,10.5,144.4,251.1,135.4,120.5
70.25,10.4,139.8,251.0,133.7,120.4
70.5,10.2,143.9,252.9,135.7,121.6
70.75,10.4,145.9,256.8,137.7,123.4
71.0,10.2,145.9,258.4,138.2,124.3
71.25,10.3,146.6,257.5,138.1,123.8
71.5,10.1,147.1,261.0,139.4,125.6
71.75,10.1,148.0,261.7,139.9,126.0
72.0,10.0,147.7,266.3,141.3,128.2
72.25,9.9,149.1,268.1,142.4,129.2
72.5,9.9,151.6,263.3,141.6,127.0
72.75,9.5,154.1,269.1,144.2,130.1
73.0,9.8,158.7,272.8,147.1,131.9
73.25,9.9,153.7,274.9,146.2,132.7
73.5,9.9,158.1,276.7,148.2,133.7
73.75,9.7,161.0,274.0,148.2,132.6
74.0,10.0,158.8,274.2,147.7,132.4
74.25,10.2,161.5,285.3,152.3,137.8
74.5,10.2,164.7,278.4,151.1,134.6
74.75,10.1,166.7,280.4,152.4,135.7
75.0,10.4,166.9,283.2,153.5,136.9
75.25,10.4,168.1,282.8,153.8,136.8
75.5,10.4,171.3,284.4,155.4,137.7
75.75,10.6,170.3,284.2,155.0,137.4
76.0,10.5,171.1,285.7,155.8,138.2
76.25,10.4,173.5,292.3,158.7,141.5
76.5,10.6,175.8,288.7,158.4,139.9
76.75,10.9,178.1,287.3,158.8,139.2
77.0,11.2,176.1,294.8,160.7,142.4
77.25,11.5,177.5,293.7,160.9,141.9
77.5,11.7,180.3,290.8,160.9,140.6
77.75,12.0,179.6,294.1,161.9,141.9
78.0,12.5,182.6,293.4,162.8,141.5
78.25,12.8,182.2,293.3,162.7,141.3
