Names,Nylon_R1,Nylon_R2,Nylon_R3,Mean,Std. Dev.
395,1369.2,1313.5,1153.0,1278.6,112.3
396,1363.8,1252.8,1130.7,1249.1,116.6
397,1431.1,1285.8,1115.0,1277.3,158.2
398,1408.7,1198.9,1177.0,1261.5,127.9
399,1457.9,1268.0,1153.4,1293.1,153.8
400,1561.8,1266.8,1174.4,1334.3,202.3
401,1334.1,1279.5,1108.0,1240.5,118.0
402,1404.3,1282.9,1177.9,1288.4,113.3
403,1333.9,1257.2,1164.7,1251.9,84.7
404,1404.2,1255.4,1255.2,1305.0,86.0
405,1690.0,1289.9,1149.4,1376.4,280.5
406,1581.9,1323.2,1282.9,1396.0,162.3
407,1457.5,1378.4,1257.9,1364.6,100.5
408,1518.5,1278.9,1165.6,1321.0,180.2
409,1395.1,1280.1,1263.1,1312.7,71.8
410,1581.8,1323.7,1280.4,1395.3,163.0
411,1446.2,1412.5,1179.8,1346.1,145.1
412,1428.1,1316.4,1201.0,1315.2,113.6
413,1552.6,1426.9,1346.7,1442.1,103.8
414,1503.2,1439.2,1290.6,1411.0,109.0
415,1628.6,1335.5,1290.4,1418.2,183.6
416,1580.5,1399.2,1254.4,1411.4,163.4
417,1393.7,1308.3,1229.8,1310.6,82.0
418,1575.3,1466.7,1306.8,1449.6,135.1
419,1537.7,1369.3,1387.1,1431.4,92.5
420,1424.7,1414.7,1316.4,1385.3,59.8
421,1409.7,1481.7,1353.7,1415.0,64.1
422,1698.1,1397.4,1350.9,1482.1,188.5
423,1541.7,1408.1,1291.6,1413.8,125.2
424,1595.0,1473.3,1376.6,1481.6,109.4
425,1621.9,1403.1,1458.6,1494.6,113.8
426,1546.4,1478.9,1425.6,1483.6,60.5
427,1601.1,1391.2,1389.7,1460.7,121.6
428,1742.8,1532.4,1447.5,1574.2,152.0
429,1436.6,1418.0,1375.2,1410.0,31.5
430,1575.5,1405.8,1423.0,1468.1,93.4
431,1628.4,1481.0,1356.5,1488.7,136.1
432,1599.5,1442.2,1425.9,1489.2,95.9
433,1655.0,1532.5,1451.8,1546.4,102.3
434,1781.2,1531.2,1405.3,1572.6,191.4
435,1654.1,1539.3,1379.9,1524.4,137.7
436,1623.7,1489.4,1436.3,1516.5,96.6
437,1518.3,1447.9,1422.6,1463.0,49.6
438,1678.7,1545.8,1470.9,1565.1,105.3
439,1664.3,1547.0,1375.9,1529.1,145.0
440,1662.1,1474.8,1522.3,1553.1,97.4
441,1644.8,1494.1,1406.3,1515.1,120.6
442,1725.2,1677.9,1430.9,1611.4,158.0
443,1593.6,1670.3,1436.7,1566.9,119.0
444,1595.9,1545.5,1524.3,1555.2,36.8
445,1629.2,1697.5,1495.2,1607.3,102.9
446,1675.4,1631.5,1499.6,1602.2,91.5
447,1729.6,1441.0,1573.0,1581.2,144.4
448,1707.5,1725.3,1465.8,1632.8,145.0
449,1547.5,1629.8,1566.1,1581.1,43.1
450,1681.3,1493.5,1605.0,1593.3,94.5
451,1633.5,1415.8,1503.4,1517.6,109.5
452,1773.7,1603.2,1515.4,1630.8,131.3
453,1599.0,1676.0,1478.9,1584.7,99.3
454,1708.7,1492.2,1586.9,1596.0,108.5
455,1722.4,1619.4,1594.9,1645.6,67.7
456,1712.2,1593.1,1562.1,1622.5,79.2
457,1587.0,1577.3,1468.3,1544.2,65.9
458,1628.8,1699.3,1617.0,1648.4,44.5
459,1803.0,1669.9,1462.8,1645.2,171.5
460,1742.2,1692.1,1596.3,1676.9,74.2
461,1811.0,1724.2,1563.7,1699.7,125.5
462,1684.2,1834.8,1633.7,1717.6,104.6
463,1641.1,1697.7,1613.4,1650.8,43.0
464,1883.8,1679.1,1523.2,1695.4,180.8
465,1652.3,1627.9,1537.9,1606.0,60.2
466,1653.0,1747.6,1594.3,1665.0,77.4
467,1747.2,1786.8,1468.0,1667.3,173.7
468,1689.6,1881.4,1553.2,1708.1,164.9
469,1775.9,1653.4,1661.6,1697.0,68.5
470,1807.0,1843.2,1590.3,1746.8,136.8
471,1716.4,1822.9,1649.2,1729.5,87.6
472,1788.3,1840.7,1593.5,1740.9,130.2
473,1829.6,1693.6,1467.2,1663.4,183.1
474,1674.9,1775.8,1669.5,1706.8,59.9
