Time after Ignition,Cotton_Raw_R1,Cotton_Raw_R2,Cotton_Raw_R3,Mean,Std. Dev.
19.0,59.86863828534621,61.32489059400965,59.28788968441732,60.160472854591056,1.0493896980029587
19.25,59.61328685500049,62.134663745054894,59.40414276018422,60.38403112007987,1.5196944606792977
19.5,60.25458268003978,60.97877471241364,59.646799703244824,60.293385698566084,0.6668347710997309
19.75,60.850343771960276,61.48292407664404,58.911884473962054,60.41505077418879,1.3396533712387881
20.0,59.795070295248024,60.749081911025954,59.144723179039566,59.89629179510451,0.806954818592801
20.25,58.872059887732476,62.13820234969337,59.218931010703685,60.07639774937652,1.7939784144196542
20.5,59.009082697302986,61.19904615394248,59.43698848862548,59.88170577995698,1.1607390263366801
20.75,59.124612912584354,62.13921707606793,59.58632845419309,60.28338614761512,1.6236922850688995
21.0,57.41499742443495,62.20747173993828,58.747529035451684,59.45666606660831,2.4736832887231115
21.25,57.784102602972105,61.424871354607944,57.91307241754088,59.04068212504031,2.065775160819107
21.5,57.60339106203926,61.10474278141396,59.0230196986959,59.24371784738304,1.7610782834154468
21.75,57.280724233179214,61.92746356011464,57.863335010576385,59.023840934623415,2.5314278763048446
22.0,56.99664777684586,60.16428680816723,58.16439470610887,58.441776430373984,1.6019331209213656
22.25,57.12402585860413,60.04843218319418,58.0452222930411,58.405893444946464,1.495192578796502
22.5,57.85240253749015,61.65697534247619,57.584738269334345,59.031372049766894,2.2777742487187482
22.75,56.7392278083131,61.71473705135031,58.21561333403394,58.88985939789912,2.555362767370895
23.0,56.719661266054544,61.530946132726456,58.026054525651304,58.7588873081441,2.4879506491063363
23.25,56.02523108348573,62.528840003280244,58.18171853203723,58.9119298729344,3.3127237580560247
23.5,56.037383375502486,62.651970344224324,58.07540252895265,58.92158541622649,3.3875078303573707
23.75,56.04339927865283,61.218590410741896,58.3562104416381,58.53940004367761,2.5924543652945715
24.0,56.178695360629256,62.28969514095057,57.4633966047782,58.643929035452665,3.2220059270084267
24.25,56.115363702491074,61.98364887606908,57.665452515460395,58.588155031340186,3.0410076733242617
24.5,56.835483216342745,61.66402854590321,57.897854997736765,58.799122253327575,2.537306544232521
24.75,55.7839799421141,61.12249002863394,57.72335044779243,58.20994013951349,2.7023137552910867
25.0,55.33635070472969,62.21491957239869,57.55790656460031,58.369725613909566,3.510408102120371
25.25,56.13642998202994,61.480813307206695,56.88545011542065,58.1675644682191,2.8936950758235858
25.5,55.12408851735094,62.31217576320871,57.52921301657954,58.321825765713065,3.6590061206675397
25.75,55.47983642940799,61.61580881523575,57.6570805212425,58.250908588628754,3.110789788803155
26.0,54.72492692242367,61.910860931663215,56.93629260956877,57.857360154551884,3.680446435298618
26.25,55.175755385739514,61.41380600508247,57.251086811814,57.94688273421199,3.1766992077611818
26.5,54.82403187108766,62.01531848401224,56.388513281171186,57.74262121209036,3.782044024564062
26.75,54.75895670421283,61.83906648773632,56.274744103594806,57.62425576518132,3.7279853715183418
27.0,53.770710008973985,61.59813750314369,56.97252125174839,57.44712292128869,3.935237013531559
27.25,54.48187667425523,62.269474339545035,57.06181249668115,57.93772117016047,3.9669990360868534
27.5,53.30872421966927,61.90608400753413,56.95563925060238,57.390149159268596,4.315118535573012
27.75,53.269218971498034,61.20682541281413,56.520006259622676,56.99868354797828,3.9903944622175276
28.0,53.57242433778657,61.11987076538466,56.957716686914935,57.216670596695394,3.780380898786355
28.25,52.96473984884757,62.026277867813356,56.37137014857088,57.12079595507728,4.577018363179669
28.5,52.09791122716325,61.18297413600313,56.57209559613206,56.61766031976615,4.542702843288831
28.75,51.49852624765231,60.90633272317665,56.83563636533154,56.413498445386836,4.718088170840055
29.0,52.10684323318316,61.07025253661139,56.13050466130017,56.43586681036491,4.4895000965315734
29.25,52.34036929974064,61.22765101058509,56.42810046677078,56.665373592365505,4.448389366284689
29.5,51.953729005873086,60.68954329513507,55.820641340340636,56.1546378804496,4.377473939468061
29.75,51.66105277392923,61.85235229066043,55.92101696384396,56.478140676144534,5.118440835160359
30.0,51.966918089811756,61.43858689867573,55.59115108197719,56.33221869015489,4.779122660710786
30.25,50.858842722642414,60.998744212840194,55.90165684621849,55.91974792723369,5.069974952910321
30.5,50.239540523330746,60.64425874890204,56.30416615744089,55.729321809891225,5.226124267209517
30.75,50.83600045393172,59.965986752878536,55.53681871717569,55.44626864132865,4.565666648137606
31.0,49.633845267652134,60.63987639855456,56.07323204763461,55.44898457128044,5.529506668537372
31.25,49.841583641051,59.0914899787665,55.412346961716295,54.78180686051127,4.657078207261293
31.5,49.46710146945429,59.845754201509585,55.10976246807003,54.80753937967796,5.19592265430478
31.75,49.64774980452067,59.43064122605199,55.006065015357954,54.69481868197687,4.898866894640038
32.0,50.06075641616656,59.532174588584375,55.062057710621296,54.88499623845741,4.738190965220295
