Names,Cotton_Raw_R1,Cotton_Raw_R2,Cotton_Raw_R3,Mean,Std. Dev.
78,96.4,90.9,92.6,93.3,2.8
79,95.9,90.8,93.1,93.3,2.5
80,94.4,91.4,91.9,92.5,1.6
81,96.1,90.5,93.3,93.3,2.8
82,95.9,93.6,93.9,94.5,1.2
83,94.1,92.3,93.1,93.2,0.9
84,94.6,92.7,93.5,93.6,0.9
85,92.9,91.2,94.1,92.7,1.5
86,92.9,92.5,92.3,92.6,0.3
87,92.5,94.6,92.4,93.2,1.3
88,90.0,91.7,91.7,91.2,1.0
89,91.9,94.4,91.4,92.6,1.6
90,92.1,92.7,92.0,92.3,0.4
91,91.5,93.8,91.8,92.3,1.2
92,91.9,93.2,91.8,92.3,0.8
93,91.8,92.1,93.3,92.4,0.8
94,90.3,93.6,91.4,91.8,1.7
95,90.6,93.6,91.0,91.8,1.6
96,89.1,94.9,91.3,91.8,2.9
97,90.2,93.5,91.0,91.5,1.7
98,89.7,93.1,91.8,91.5,1.7
99,90.8,92.6,91.2,91.5,1.0
100,87.4,93.3,90.5,90.4,2.9
101,89.8,93.0,89.9,90.9,1.8
102,88.4,91.3,89.3,89.7,1.5
103,86.5,93.1,88.8,89.5,3.4
104,88.0,92.3,88.9,89.7,2.2
105,87.3,91.9,88.0,89.1,2.5
106,86.9,93.5,87.0,89.1,3.8
107,85.2,93.1,87.5,88.6,4.1
108,86.8,91.2,87.8,88.6,2.3
109,86.1,91.7,86.1,87.9,3.2
110,84.4,92.6,87.2,88.1,4.2
111,85.2,91.4,86.8,87.8,3.2
112,86.0,91.4,85.6,87.7,3.2
113,83.6,91.9,86.1,87.2,4.3
114,84.4,91.7,84.9,87.0,4.1
115,83.7,93.0,84.4,87.0,5.2
116,84.3,90.5,83.5,86.1,3.9
117,83.6,89.9,85.2,86.2,3.3
118,83.3,88.5,83.8,85.2,2.8
119,81.6,88.5,84.4,84.8,3.5
120,82.3,88.4,82.9,84.6,3.4
121,81.7,87.7,83.6,84.3,3.1
122,82.9,87.3,84.6,84.9,2.2
123,83.4,87.7,83.9,85.0,2.4
124,80.4,88.4,83.1,83.9,4.1
125,81.8,86.3,83.1,83.8,2.3
126,80.8,86.6,82.9,83.4,2.9
127,80.8,86.7,84.4,84.0,2.9
128,78.3,86.0,82.8,82.4,3.9
129,79.3,85.0,83.6,82.6,3.0
130,79.8,86.6,82.9,83.1,3.4
131,77.9,86.6,82.8,82.4,4.3
132,78.0,83.6,82.7,81.4,3.0
133,78.1,85.3,82.7,82.1,3.6
134,77.9,85.9,82.3,82.0,4.0
135,77.9,85.1,81.8,81.6,3.6
136,77.1,84.6,82.9,81.5,4.0
137,76.4,85.3,82.4,81.4,4.6
138,76.7,85.5,83.1,81.8,4.5
139,75.8,84.4,82.3,80.9,4.5
140,75.5,85.6,83.0,81.4,5.3
141,76.0,84.2,82.0,80.7,4.3
142,74.7,85.0,83.5,81.1,5.6
143,75.6,84.3,81.4,80.4,4.4
144,74.2,84.9,81.4,80.2,5.5
145,73.2,85.2,82.5,80.3,6.3
146,75.5,84.7,82.1,80.7,4.8
147,73.4,84.6,81.3,79.8,5.7
148,73.2,83.3,81.1,79.2,5.3
149,74.3,83.9,81.7,80.0,5.0
150,73.4,83.4,82.3,79.7,5.5
151,74.0,83.6,81.5,79.7,5.0
152,73.4,83.0,82.1,79.5,5.3
153,72.5,84.6,81.7,79.6,6.3
154,73.5,85.9,80.9,80.1,6.2
155,71.9,82.2,81.2,78.4,5.7
156,73.0,83.1,80.6,78.9,5.3
157,72.4,83.1,80.2,78.6,5.5
158,72.9,85.0,80.8,79.6,6.1
159,71.8,84.0,81.5,79.1,6.4
160,70.8,83.6,80.4,78.3,6.6
161,71.9,83.7,80.7,78.8,6.2
162,73.6,83.6,81.9,79.7,5.4
163,71.5,83.5,81.6,78.9,6.4
164,71.3,84.4,80.8,78.8,6.8
165,71.9,83.4,82.6,79.3,6.4
166,70.4,82.7,80.8,78.0,6.6
167,72.0,82.9,82.4,79.1,6.2
168,70.8,82.8,81.7,78.4,6.7
169,70.2,81.1,80.5,77.2,6.2
170,70.9,81.7,81.3,78.0,6.2
171,70.6,82.0,81.9,78.2,6.6
172,70.4,81.9,82.1,78.1,6.7
173,71.2,83.5,81.4,78.7,6.6
174,70.2,81.0,83.5,78.2,7.0
175,70.8,81.7,82.8,78.4,6.6
176,70.6,81.4,82.6,78.2,6.6
177,69.7,80.5,83.1,77.8,7.1
178,70.5,79.8,82.7,77.7,6.4
179,69.3,80.0,84.2,77.8,7.7
180,69.9,79.7,83.3,77.6,7.0
181,69.8,78.9,83.2,77.3,6.8
182,68.9,79.4,82.6,76.9,7.2
183,69.7,80.2,84.0,78.0,7.4
184,69.7,78.4,83.9,77.3,7.2
185,70.1,78.2,83.0,77.1,6.5
186,70.5,78.9,83.3,77.5,6.5
187,69.1,76.9,83.7,76.6,7.3
188,69.6,78.6,84.2,77.5,7.3
189,69.7,77.1,83.7,76.9,7.0
190,69.2,78.2,84.5,77.3,7.7
191,68.5,78.2,84.1,76.9,7.9
192,70.1,77.1,85.0,77.4,7.4
193,69.6,76.4,83.2,76.4,6.8
194,68.7,77.5,84.7,77.0,8.0
195,68.4,76.9,84.0,76.5,7.8
196,68.6,75.9,84.4,76.3,7.9
197,68.8,76.9,85.8,77.2,8.5
198,68.0,77.2,84.1,76.4,8.1
199,68.7,76.5,84.1,76.5,7.7
200,69.2,76.7,85.4,77.1,8.1
201,67.8,76.3,84.8,76.3,8.5
202,67.8,76.6,83.4,75.9,7.9
203,68.2,75.9,84.2,76.1,8.0
204,67.8,75.6,85.3,76.2,8.8
205,68.4,75.2,85.6,76.4,8.7
206,68.5,74.4,82.8,75.2,7.2
207,67.3,75.0,84.7,75.7,8.7
208,68.5,74.2,85.4,76.1,8.6
209,67.1,75.3,84.1,75.5,8.5
210,67.8,74.2,83.9,75.3,8.1
211,67.7,73.8,85.5,75.7,9.1
212,67.9,74.1,84.5,75.5,8.4
213,67.5,74.1,84.6,75.4,8.7
214,69.1,73.8,83.8,75.6,7.5
215,68.7,72.7,86.2,75.9,9.2
216,68.4,73.0,83.7,75.0,7.9
217,67.9,74.1,84.2,75.4,8.3
218,68.0,71.7,84.5,74.8,8.7
219,67.7,72.5,84.5,74.9,8.7
220,68.6,73.5,85.9,76.0,8.9
221,67.7,71.8,84.5,74.7,8.7
222,67.7,71.2,85.8,74.9,9.6
223,67.6,72.1,84.0,74.6,8.5
224,69.3,71.9,84.4,75.2,8.0
225,68.7,72.1,85.7,75.5,9.0
226,67.2,72.6,84.7,74.8,9.0
227,68.3,72.7,85.5,75.5,8.9
228,67.9,71.8,84.8,74.8,8.8
229,68.4,71.2,84.6,74.7,8.7
230,68.0,71.4,84.8,74.7,8.9
231,68.4,71.3,85.1,74.9,8.9
232,67.9,70.8,84.4,74.4,8.8
233,67.7,71.4,84.1,74.4,8.6
234,69.1,68.7,84.5,74.1,9.0
235,67.7,70.0,84.0,73.9,8.8
236,68.1,69.7,84.7,74.2,9.1
237,68.1,69.5,83.5,73.7,8.5
238,68.6,70.3,83.0,74.0,7.9
239,68.2,68.9,85.0,74.0,9.5
240,68.8,69.3,84.0,74.1,8.7
241,69.7,69.6,83.9,74.4,8.2
242,69.0,67.9,84.0,73.6,9.0
243,68.3,68.0,84.1,73.4,9.2
244,69.0,67.6,83.1,73.2,8.6
245,68.7,68.1,83.1,73.3,8.5
246,68.5,67.5,83.7,73.2,9.1
247,69.2,68.2,82.5,73.3,8.0
248,70.2,68.1,83.7,74.0,8.5
249,69.1,67.7,82.9,73.2,8.4
250,68.1,67.9,83.3,73.1,8.8
251,70.0,67.3,81.4,72.9,7.5
252,68.6,67.4,81.9,72.6,8.0
253,68.8,66.0,81.2,72.0,8.1
254,68.3,67.6,82.1,72.7,8.2
255,68.8,66.2,79.4,71.5,7.0
256,68.0,66.4,80.0,71.4,7.5
257,67.3,66.4,80.3,71.3,7.8
258,67.4,66.2,79.2,70.9,7.2
259,69.2,66.6,78.5,71.4,6.3
260,67.4,64.8,78.8,70.3,7.4
261,67.5,65.6,77.6,70.2,6.4
262,67.2,65.3,77.9,70.1,6.8
263,67.4,66.6,77.7,70.6,6.2
264,68.1,65.9,75.9,70.0,5.3
265,67.8,66.7,76.1,70.2,5.1
266,68.3,66.4,75.3,70.0,4.6
267,67.0,65.4,75.9,69.4,5.7
268,69.0,65.2,75.0,69.7,4.9
269,67.5,66.2,75.6,69.7,5.1
270,67.8,65.5,73.6,69.0,4.2
271,67.1,65.2,73.6,68.6,4.4
272,66.3,66.8,72.2,68.5,3.2
273,66.1,65.5,73.8,68.5,4.6
274,66.2,65.7,72.5,68.1,3.8
275,67.3,65.9,73.4,68.9,4.0
276,66.0,65.7,71.0,67.6,3.0
277,66.0,65.4,70.9,67.5,3.0
278,65.2,65.4,71.8,67.5,3.7
279,64.9,65.0,71.1,67.0,3.5
280,65.3,65.9,70.1,67.1,2.6
281,65.4,64.8,69.6,66.6,2.6
282,64.9,65.7,70.2,67.0,2.9
283,65.1,64.7,69.2,66.4,2.5
284,65.0,65.1,69.3,66.5,2.5
285,64.1,65.3,68.3,65.9,2.2
286,65.1,66.3,68.7,66.7,1.8
287,64.8,65.2,69.2,66.4,2.4
288,64.9,64.7,68.4,66.0,2.1
289,63.3,65.1,68.2,65.5,2.5
290,63.4,64.0,66.9,64.7,1.9
291,62.5,65.3,67.6,65.1,2.5
292,62.3,63.8,66.6,64.2,2.1
293,62.5,64.4,66.9,64.6,2.2
294,62.6,63.9,64.9,63.8,1.1
295,63.3,63.3,65.8,64.1,1.4
296,62.0,63.3,64.7,63.3,1.4
297,62.2,63.2,64.0,63.2,0.9
298,62.0,62.6,62.7,62.5,0.4
299,61.7,63.0,62.9,62.5,0.7
300,61.3,63.0,61.8,62.0,0.9
301,60.8,63.2,61.7,61.9,1.2
302,60.7,62.8,61.5,61.7,1.0
303,59.9,61.8,60.4,60.7,1.0
304,61.0,62.2,59.7,61.0,1.2
305,60.0,61.7,59.3,60.3,1.3
306,59.2,62.3,59.7,60.4,1.7
307,59.1,62.0,59.3,60.1,1.6
308,59.3,61.5,58.2,59.6,1.7
309,57.5,61.3,57.1,58.6,2.3
310,57.7,60.2,56.8,58.2,1.8
311,57.3,62.2,55.7,58.4,3.4
312,56.8,60.3,55.2,57.4,2.6
313,55.9,60.3,55.0,57.1,2.8
314,54.9,59.9,54.8,56.5,2.9
315,55.2,59.4,53.5,56.0,3.0
316,55.0,60.4,52.3,55.9,4.1
317,54.3,59.2,52.6,55.4,3.4
318,54.1,59.0,50.9,54.7,4.1
319,52.9,58.6,51.1,54.2,3.9
320,53.2,58.7,50.5,54.1,4.2
321,53.6,60.2,49.6,54.5,5.4
322,51.7,59.2,49.4,53.4,5.2
323,51.6,59.2,48.7,53.1,5.4
324,51.5,59.1,48.1,52.9,5.6
325,50.0,58.4,47.5,52.0,5.7
326,50.5,58.1,46.4,51.7,5.9
327,50.3,58.3,46.4,51.7,6.0
328,50.3,58.1,45.9,51.4,6.2
329,49.0,56.7,45.1,50.2,5.9
330,49.2,57.7,45.2,50.7,6.4
331,49.0,57.4,44.9,50.4,6.4
332,48.6,57.8,43.2,49.9,7.4
333,48.3,57.3,44.0,49.9,6.8
334,47.9,56.6,43.0,49.2,6.9
335,47.1,56.8,42.6,48.8,7.3
336,46.4,57.3,42.4,48.7,7.7
337,46.6,56.8,42.1,48.5,7.5
338,46.9,56.0,40.6,47.8,7.7
339,46.6,57.0,40.3,48.0,8.4
340,45.7,55.6,39.9,47.1,8.0
341,46.3,55.7,38.8,46.9,8.5
342,44.6,56.6,38.4,46.5,9.2
343,45.5,54.8,37.5,45.9,8.6
344,45.0,55.6,37.2,45.9,9.2
345,44.8,55.8,36.1,45.6,9.9
346,44.3,55.8,35.9,45.4,10.0
347,44.2,55.8,35.4,45.1,10.2
348,43.3,54.9,34.6,44.3,10.2
349,43.0,55.2,34.1,44.1,10.6
350,43.5,54.3,33.3,43.7,10.5
351,42.8,54.8,33.4,43.7,10.7
352,43.0,54.1,32.6,43.2,10.7
353,42.2,54.5,32.8,43.2,10.9
354,41.9,55.3,31.9,43.0,11.7
355,41.9,54.7,31.6,42.7,11.6
356,42.0,54.5,31.4,42.6,11.6
357,41.2,53.9,31.1,42.1,11.4
358,40.5,53.3,31.5,41.8,10.9
359,41.0,53.9,30.6,41.8,11.7
360,41.1,54.2,31.0,42.1,11.7
361,40.0,52.4,31.0,41.2,10.8
362,39.9,53.3,30.5,41.3,11.5
363,39.5,53.2,30.5,41.0,11.4
364,39.0,52.6,30.3,40.7,11.2
365,38.5,53.0,30.3,40.6,11.5
366,38.7,52.5,30.1,40.4,11.3
367,39.6,51.7,29.9,40.4,10.9
368,38.1,51.3,30.1,39.9,10.7
369,38.4,50.9,,44.7,8.8
370,37.7,50.4,,44.1,9.0
371,38.1,49.4,,43.8,8.0
372,38.0,50.5,,44.2,8.8
373,37.1,50.0,,43.5,9.1
374,38.2,50.0,,44.1,8.4
375,37.5,48.3,,42.9,7.6
376,37.2,48.4,,42.8,7.9
377,37.2,48.0,,42.6,7.6
378,37.0,48.5,,42.8,8.1
379,36.8,48.0,,42.4,7.9
380,37.6,48.4,,43.0,7.7
381,36.3,46.5,,41.4,7.2
382,36.0,47.8,,41.9,8.4
383,35.9,46.7,,41.3,7.7
384,35.7,46.9,,41.3,7.9
385,35.8,46.3,,41.0,7.4
386,35.6,45.7,,40.7,7.2
387,35.1,46.3,,40.7,7.9
388,35.0,45.3,,40.1,7.3
389,35.0,46.0,,40.5,7.8
390,35.1,45.9,,40.5,7.6
391,34.1,45.3,,39.7,7.9
392,33.6,45.3,,39.5,8.3
393,33.9,45.1,,39.5,7.9
394,33.6,44.4,,39.0,7.7
395,33.6,44.4,,39.0,7.7
396,33.0,44.0,,38.5,7.8
397,33.0,43.4,,38.2,7.3
398,32.9,42.6,,37.7,6.9
399,33.0,42.5,,37.8,6.8
400,32.5,41.8,,37.2,6.6
401,32.4,41.6,,37.0,6.5
402,32.4,41.5,,37.0,6.4
403,32.2,41.3,,36.8,6.4
