Names,Excelsior_R1,Excelsior_R2,Excelsior_R3,Mean,Std. Dev.
276,145.2,151.1,167.3,154.5,11.5
277,143.4,149.3,167.3,153.4,12.5
278,143.9,150.8,165.5,153.4,11.0
279,145.5,152.2,167.2,155.0,11.1
280,141.1,149.8,168.0,152.9,13.7
281,142.7,149.8,166.5,153.0,12.2
282,145.2,150.3,164.3,153.3,9.9
283,143.1,149.3,167.3,153.2,12.6
284,140.8,156.0,169.1,155.3,14.2
285,143.1,150.1,165.2,152.8,11.3
286,139.8,151.5,165.4,152.2,12.8
287,141.2,151.4,164.4,152.4,11.6
288,139.9,149.5,167.8,152.4,14.2
289,139.2,148.5,167.4,151.7,14.4
290,139.7,149.1,162.9,150.6,11.7
291,140.2,148.6,165.6,151.5,13.0
292,141.0,148.3,167.1,152.1,13.5
293,141.1,147.4,165.3,151.3,12.6
294,137.2,147.2,164.2,149.6,13.6
295,139.3,149.9,166.6,151.9,13.8
296,140.8,148.6,163.1,150.8,11.3
297,138.6,147.6,166.1,150.8,14.0
298,140.6,145.8,164.1,150.2,12.3
299,140.3,147.6,166.3,151.4,13.4
300,138.9,147.9,166.7,151.2,14.2
301,135.8,147.8,167.1,150.2,15.8
302,137.7,143.9,165.6,149.1,14.6
303,138.1,146.2,166.2,150.2,14.5
304,137.8,146.9,168.0,150.9,15.5
305,138.2,146.9,167.5,150.9,15.1
306,137.6,145.1,165.6,149.4,14.5
307,138.5,143.5,165.5,149.2,14.4
308,137.0,147.5,164.9,149.8,14.1
309,136.2,143.6,163.8,147.9,14.3
310,139.0,146.2,168.2,151.1,15.2
311,139.2,143.6,168.2,150.3,15.7
312,135.9,146.4,168.4,150.3,16.6
313,138.9,144.2,169.5,150.9,16.4
314,138.4,146.3,163.5,149.4,12.9
315,135.5,143.5,167.5,148.8,16.6
316,136.1,144.2,164.7,148.3,14.8
317,136.9,146.3,166.5,149.9,15.2
318,137.1,146.0,168.0,150.4,15.9
319,137.6,147.2,166.3,150.3,14.6
320,136.7,145.0,166.6,149.4,15.4
321,136.1,142.6,167.3,148.7,16.5
322,136.9,144.1,166.5,149.2,15.4
323,135.6,144.5,166.7,148.9,16.0
324,137.6,144.2,169.3,150.3,16.7
325,135.6,146.3,164.2,148.7,14.4
326,135.7,144.0,165.1,148.3,15.1
327,133.8,143.7,168.8,148.7,18.0
328,134.4,145.9,163.2,147.8,14.5
329,135.4,146.4,166.8,149.5,15.9
330,135.5,144.6,164.5,148.2,14.9
331,135.0,146.2,165.9,149.0,15.6
332,137.3,144.0,167.2,149.5,15.7
333,137.0,148.4,168.4,151.3,15.9
334,136.7,145.9,166.3,149.6,15.1
335,137.0,143.2,168.7,149.6,16.8
336,137.6,144.2,165.6,149.1,14.6
337,133.8,146.3,162.6,147.6,14.4
338,133.3,144.4,167.4,148.4,17.4
339,134.3,145.4,166.7,148.8,16.4
340,135.7,144.4,168.1,149.4,16.7
341,134.0,146.3,164.2,148.1,15.2
342,135.1,143.1,164.4,147.5,15.2
343,134.0,143.4,165.5,147.6,16.2
344,134.1,145.1,165.2,148.1,15.8
345,133.1,142.9,164.6,146.9,16.1
346,135.7,144.1,165.0,148.3,15.1
347,132.8,141.5,164.4,146.2,16.3
348,132.8,145.6,166.1,148.2,16.8
349,134.8,143.4,162.2,146.8,14.0
350,133.1,144.6,165.9,147.8,16.6
351,133.4,141.1,162.5,145.7,15.1
352,134.0,144.4,161.6,146.7,14.0
353,133.1,143.1,165.4,147.2,16.5
354,131.5,142.6,162.1,145.4,15.5
355,131.6,145.3,163.8,146.9,16.1
356,134.5,141.9,164.8,147.1,15.8
357,133.2,140.4,161.8,145.1,14.8
358,133.0,144.2,162.7,146.6,15.0
359,133.2,143.3,161.6,146.0,14.4
360,134.5,140.5,158.7,144.6,12.6
361,130.8,140.9,158.7,143.5,14.1
362,134.3,143.1,162.1,146.5,14.2
363,131.2,143.2,157.0,143.8,12.9
364,132.4,142.4,157.0,143.9,12.4
365,129.1,142.1,159.0,143.4,15.0
366,130.1,141.5,159.6,143.7,14.9
367,129.4,142.9,158.3,143.5,14.4
368,127.9,142.3,156.0,142.1,14.0
369,130.2,143.3,154.3,142.6,12.1
370,129.2,138.4,155.0,140.9,13.1
371,128.1,140.0,154.4,140.9,13.2
372,129.1,138.3,155.8,141.1,13.6
373,127.9,139.8,153.6,140.4,12.9
374,127.5,140.3,151.7,139.8,12.1
375,126.7,139.7,156.5,141.0,15.0
376,125.6,137.4,149.8,137.6,12.1
377,127.4,140.0,149.0,138.8,10.8
378,127.9,139.6,149.4,139.0,10.8
