Names,Luan_Panel_R1,Luan_Panel_R2,Luan_Panel_R3,Mean,Std. Dev.
475,132.2,120.6,140.2,131.0,9.9
476,131.5,122.9,139.0,131.1,8.0
477,128.9,120.2,143.7,130.9,11.8
478,130.6,121.6,141.0,131.1,9.7
479,131.8,120.9,139.8,130.8,9.5
480,131.9,121.2,140.8,131.3,9.8
481,130.8,121.5,139.5,130.6,9.0
482,132.1,120.5,140.0,130.9,9.8
483,129.5,119.7,139.0,129.4,9.6
484,130.7,123.5,141.4,131.9,9.0
485,131.8,122.3,138.6,130.9,8.1
486,131.5,119.5,141.3,130.8,10.9
487,130.4,121.9,139.8,130.7,8.9
488,131.5,121.9,139.2,130.9,8.7
489,134.3,121.2,139.5,131.7,9.5
490,132.4,120.9,142.0,131.8,10.5
491,131.6,120.8,141.9,131.4,10.5
492,132.1,121.0,141.6,131.6,10.3
493,130.3,122.5,137.7,130.2,7.6
494,132.8,120.3,141.6,131.6,10.7
495,132.5,120.6,141.9,131.7,10.7
496,131.7,121.7,141.3,131.6,9.8
497,132.4,122.9,141.8,132.3,9.4
498,131.9,121.7,143.5,132.4,10.9
499,134.9,122.7,142.0,133.2,9.7
500,133.6,120.7,143.4,132.5,11.4
501,133.2,121.7,142.9,132.6,10.6
502,131.7,123.3,140.6,131.9,8.7
503,132.0,124.9,142.8,133.3,9.0
504,129.7,122.1,142.8,131.5,10.5
505,133.0,118.5,141.3,130.9,11.6
506,131.8,121.2,144.2,132.4,11.5
507,131.1,118.0,142.9,130.7,12.5
508,130.0,120.1,145.0,131.7,12.6
509,130.3,120.8,144.2,131.8,11.7
510,130.4,120.1,142.8,131.1,11.4
511,131.4,120.2,144.5,132.0,12.1
512,128.2,121.0,144.7,131.3,12.1
513,130.7,120.1,143.1,131.3,11.5
514,132.5,120.3,144.1,132.3,11.9
515,129.8,119.8,144.4,131.3,12.3
516,128.5,119.5,142.3,130.1,11.5
517,130.6,120.9,144.1,131.9,11.6
518,130.9,119.6,143.5,131.4,11.9
519,129.9,118.9,144.2,131.0,12.7
520,131.6,119.8,142.6,131.3,11.4
521,130.1,119.1,143.3,130.9,12.1
522,129.4,119.4,144.1,131.0,12.4
523,130.4,118.3,143.3,130.7,12.5
524,129.3,117.0,144.1,130.2,13.6
525,126.5,119.1,141.7,129.1,11.5
526,125.6,119.5,143.5,129.5,12.5
527,129.1,116.9,142.8,129.6,13.0
528,125.8,117.2,144.3,129.1,13.8
529,127.1,117.3,142.6,129.0,12.7
530,125.7,121.0,143.4,130.0,11.8
531,127.7,118.5,144.3,130.2,13.1
532,125.3,118.5,142.0,128.6,12.1
533,126.3,118.5,142.6,129.1,12.3
534,125.1,119.4,141.3,128.6,11.4
535,125.8,117.4,143.4,128.9,13.2
536,123.5,120.8,142.7,129.0,11.9
537,126.4,118.3,143.3,129.3,12.7
538,125.3,118.2,144.9,129.5,13.8
539,123.6,117.6,141.5,127.6,12.5
540,123.5,119.3,142.0,128.2,12.1
541,123.7,119.0,140.8,127.8,11.5
542,124.6,122.5,141.3,129.5,10.3
543,125.6,119.3,140.7,128.5,11.0
544,126.1,121.6,142.3,130.0,10.9
545,122.9,118.8,142.0,127.9,12.4
546,124.1,118.3,141.2,127.8,11.9
547,121.5,118.4,141.1,127.0,12.3
548,121.3,121.4,144.5,129.1,13.3
549,122.5,120.9,139.9,127.8,10.6
550,124.0,121.1,140.3,128.5,10.4
551,123.9,121.4,142.6,129.3,11.6
552,122.9,122.9,140.8,128.9,10.3
553,123.5,121.4,139.0,128.0,9.6
554,125.0,119.7,140.4,128.4,10.7
555,125.5,122.0,139.0,128.8,9.0
556,122.0,120.5,138.8,127.1,10.2
557,125.1,123.4,140.6,129.7,9.5
558,126.3,123.5,140.2,130.0,8.9
559,123.4,123.4,139.4,128.7,9.2
560,124.4,126.9,141.1,130.8,9.0
561,121.5,125.1,141.9,129.5,10.9
562,122.6,125.1,139.2,128.9,9.0
563,122.7,124.7,140.9,129.4,10.0
564,125.3,124.9,139.2,129.8,8.1
565,126.4,124.7,139.0,130.0,7.9
566,124.1,127.1,140.9,130.7,9.0
567,125.3,127.1,141.0,131.1,8.6
568,125.9,123.6,141.1,130.2,9.5
569,125.9,126.6,138.9,130.5,7.3
570,124.9,126.9,143.5,131.8,10.2
571,125.9,127.9,139.9,131.2,7.5
572,123.7,128.5,141.1,131.1,9.0
573,126.0,126.8,139.7,130.8,7.7
574,126.3,127.2,140.6,131.4,8.0
575,127.4,128.5,141.8,132.6,8.0
576,128.6,128.9,142.6,133.4,8.0
577,127.3,129.5,140.7,132.5,7.1
578,128.1,128.8,143.1,133.3,8.5
579,127.1,129.6,141.4,132.7,7.6
580,127.8,129.2,142.3,133.1,8.0
581,128.9,130.0,138.0,132.3,5.0
582,131.2,133.5,143.6,136.1,6.6
583,130.0,133.8,140.9,134.9,5.5
584,130.7,133.0,142.5,135.4,6.2
585,130.8,132.6,143.9,135.8,7.1
586,130.3,133.5,142.9,135.6,6.6
587,131.8,135.0,142.1,136.3,5.3
588,131.4,133.7,142.3,135.8,5.7
589,136.6,135.7,142.0,138.1,3.4
590,136.0,132.5,141.7,136.8,4.6
591,134.2,135.9,143.8,138.0,5.1
592,136.3,136.7,143.4,138.8,4.0
593,134.7,135.3,143.2,137.7,4.7
594,135.4,136.3,145.3,139.0,5.5
595,135.8,137.9,143.9,139.2,4.2
596,136.1,137.5,147.0,140.2,5.9
597,134.9,136.8,145.4,139.0,5.6
598,138.7,137.2,145.4,140.4,4.4
599,138.1,135.7,144.1,139.3,4.3
600,137.6,138.3,147.2,141.1,5.3
601,136.9,137.4,145.4,139.9,4.8
602,138.7,138.7,145.7,141.0,4.0
603,137.7,140.2,145.9,141.2,4.2
604,140.5,137.8,148.0,142.1,5.3
605,139.1,140.1,147.8,142.3,4.8
606,141.6,140.8,147.6,143.3,3.7
607,142.2,141.9,145.7,143.3,2.1
608,139.0,139.9,147.7,142.2,4.8
609,141.1,141.2,146.3,142.8,3.0
610,142.7,142.1,147.7,144.2,3.1
611,143.2,140.2,148.9,144.1,4.4
612,140.6,140.2,150.8,143.9,6.0
613,143.0,142.2,148.1,144.4,3.2
614,143.6,142.4,148.3,144.7,3.1
615,144.3,141.3,149.8,145.1,4.3
616,144.0,142.0,151.2,145.7,4.9
617,146.2,143.3,149.0,146.1,2.8
618,146.9,144.4,150.1,147.1,2.9
619,147.1,144.2,148.2,146.5,2.1
620,148.2,143.8,148.1,146.7,2.5
621,149.4,143.2,150.9,147.8,4.1
622,148.1,141.4,150.6,146.7,4.7
623,150.6,143.9,152.8,149.1,4.7
624,150.6,144.1,149.6,148.1,3.5
625,148.9,142.6,149.3,146.9,3.8
626,149.3,145.3,153.0,149.2,3.8
627,152.9,143.5,151.4,149.3,5.1
628,151.2,141.0,150.3,147.5,5.6
629,152.2,142.3,149.1,147.9,5.0
630,153.7,142.4,151.6,149.2,6.0
631,154.7,140.8,151.7,149.1,7.3
632,152.8,141.3,151.8,148.6,6.3
633,150.1,144.9,151.3,148.8,3.4
634,151.8,143.9,149.9,148.6,4.2
635,155.1,142.9,150.4,149.5,6.2
636,157.4,141.2,151.9,150.2,8.3
637,156.2,144.4,151.7,150.8,6.0
638,156.0,141.6,153.5,150.4,7.7
639,154.7,145.5,152.4,150.9,4.8
640,156.9,144.0,151.5,150.8,6.5
641,155.8,142.2,151.4,149.8,7.0
642,159.3,141.2,154.0,151.5,9.3
643,158.1,145.4,154.7,152.7,6.6
644,157.6,143.1,153.2,151.3,7.4
645,160.4,144.6,151.8,152.3,7.9
646,157.0,142.8,151.4,150.4,7.1
647,161.6,144.9,153.9,153.5,8.4
648,158.3,142.1,153.6,151.3,8.4
649,159.1,142.6,153.5,151.7,8.4
650,158.8,143.3,152.8,151.7,7.8
651,162.2,141.1,151.4,151.6,10.5
652,160.9,142.9,151.4,151.7,9.0
653,162.0,142.4,154.6,153.0,9.9
654,162.5,143.2,152.0,152.6,9.7
655,161.4,140.8,152.8,151.6,10.3
656,161.9,143.1,152.8,152.6,9.4
657,163.2,143.5,150.7,152.5,9.9
658,162.5,142.6,152.4,152.5,9.9
659,162.7,140.9,151.3,151.6,10.9
660,163.8,142.5,150.6,152.3,10.8
661,164.6,142.8,151.7,153.0,10.9
662,162.2,142.5,153.8,152.8,9.9
663,164.9,140.2,151.7,152.3,12.4
664,161.2,143.1,149.9,151.4,9.1
665,160.9,141.9,147.9,150.3,9.7
666,161.3,142.0,151.3,151.5,9.7
667,159.7,141.1,149.2,150.0,9.3
668,162.3,141.7,147.4,150.5,10.7
669,163.4,141.4,148.0,150.9,11.3
670,160.4,139.8,150.7,150.3,10.3
671,160.5,140.6,146.3,149.2,10.2
672,160.8,142.3,145.6,149.6,9.9
673,163.4,141.8,147.4,150.9,11.2
674,163.1,138.8,148.5,150.1,12.2
675,161.5,140.7,147.2,149.8,10.6
676,160.4,140.5,148.9,149.9,10.0
677,163.9,140.1,146.8,150.3,12.3
678,161.0,138.6,148.0,149.2,11.2
679,160.7,138.3,147.5,148.8,11.3
680,161.6,139.8,145.9,149.1,11.3
681,160.8,138.0,144.1,147.6,11.8
682,162.4,138.8,144.9,148.7,12.2
683,159.5,137.1,145.2,147.3,11.3
684,162.1,139.1,145.0,148.7,12.0
685,161.2,136.1,145.2,147.5,12.7
686,162.2,134.9,143.0,146.7,14.0
687,160.9,138.4,144.0,147.7,11.7
688,161.7,135.7,141.3,146.3,13.7
689,156.8,135.4,142.9,145.0,10.9
690,156.9,138.2,144.0,146.3,9.6
691,158.9,135.8,141.4,145.3,12.0
692,160.6,134.8,143.3,146.3,13.2
693,159.9,136.4,143.3,146.5,12.0
694,157.3,133.5,142.7,144.5,12.0
695,156.0,134.6,141.1,143.9,11.0
696,157.7,136.7,142.9,145.8,10.8
697,157.2,134.2,142.4,144.6,11.7
698,156.2,132.7,141.7,143.5,11.9
699,156.4,134.1,139.3,143.3,11.7
700,157.7,136.2,141.1,145.0,11.3
701,155.1,133.7,141.4,143.4,10.8
702,153.8,132.9,140.5,142.4,10.6
703,154.0,133.9,140.1,142.6,10.3
704,153.5,134.1,141.3,143.0,9.8
705,154.7,132.9,140.5,142.7,11.1
706,153.2,134.2,141.0,142.8,9.6
707,152.5,132.6,139.9,141.7,10.1
708,152.0,135.0,139.4,142.1,8.8
709,150.9,135.7,138.5,141.7,8.1
710,150.1,134.0,137.4,140.5,8.5
711,152.4,133.6,137.4,141.1,9.9
712,149.5,133.4,139.6,140.8,8.2
713,150.5,130.2,138.5,139.7,10.2
714,149.9,129.8,137.5,139.1,10.1
715,151.1,132.7,137.2,140.3,9.6
716,150.5,131.4,140.3,140.7,9.6
717,149.1,132.2,139.6,140.3,8.5
718,150.5,130.2,138.1,139.6,10.2
719,148.6,131.0,139.1,139.6,8.8
720,149.0,131.5,140.4,140.3,8.8
721,150.4,132.2,137.6,140.0,9.4
722,147.8,131.7,137.1,138.9,8.2
723,149.9,132.7,139.3,140.6,8.7
724,151.6,131.8,137.6,140.4,10.2
725,147.3,130.3,134.8,137.5,8.8
726,150.6,129.9,137.5,139.3,10.5
727,147.5,131.3,138.1,139.0,8.1
728,148.6,130.7,136.2,138.5,9.2
729,145.5,129.9,136.7,137.4,7.8
730,150.8,130.6,139.1,140.2,10.2
731,151.9,131.3,139.7,141.0,10.4
732,148.5,132.1,134.7,138.4,8.8
733,149.8,128.9,137.5,138.7,10.5
734,147.3,131.0,140.5,139.6,8.2
735,146.9,129.8,138.8,138.5,8.5
736,148.6,131.6,139.0,139.7,8.6
737,149.2,129.9,139.6,139.6,9.7
738,148.0,129.5,138.8,138.8,9.3
739,147.1,129.4,138.7,138.4,8.9
740,147.6,131.4,140.0,139.7,8.1
741,147.8,130.1,140.7,139.5,8.9
742,148.0,129.1,139.1,138.7,9.5
743,147.6,128.0,140.6,138.7,9.9
744,145.8,128.8,142.2,138.9,9.0
745,147.5,130.3,138.5,138.8,8.6
746,148.5,130.7,142.1,140.4,9.0
747,149.9,130.0,142.1,140.7,10.0
748,148.2,130.8,142.3,140.4,8.8
749,148.0,128.2,140.6,138.9,10.0
750,148.7,133.1,140.4,140.8,7.8
751,147.4,132.2,142.1,140.6,7.7
752,146.7,132.1,141.0,139.9,7.4
753,148.3,129.8,141.9,140.0,9.4
754,151.0,130.6,142.5,141.4,10.3
755,148.8,132.3,142.6,141.2,8.3
756,148.1,131.1,141.3,140.2,8.6
757,150.7,130.6,145.3,142.2,10.4
758,151.8,131.3,141.1,141.4,10.3
759,154.2,130.3,142.6,142.4,12.0
760,151.5,135.4,141.8,142.9,8.1
761,150.6,133.8,145.5,143.3,8.6
762,150.6,132.7,143.7,142.3,9.0
763,150.4,136.4,144.3,143.7,7.0
764,150.9,134.1,144.9,143.3,8.5
765,153.8,137.6,144.9,145.4,8.1
766,152.8,136.4,143.5,144.2,8.3
767,155.4,140.1,146.2,147.2,7.7
768,154.1,139.1,144.5,145.9,7.6
769,155.7,138.6,145.9,146.7,8.6
770,155.0,141.8,148.2,148.3,6.6
771,157.0,142.8,146.1,148.6,7.4
772,157.0,141.4,147.7,148.7,7.9
773,158.6,142.0,146.5,149.0,8.6
774,158.5,143.0,150.2,150.6,7.8
775,157.0,142.6,148.0,149.2,7.3
776,159.8,145.9,150.1,151.9,7.1
777,158.8,145.1,148.2,150.7,7.2
778,161.2,143.9,147.1,150.7,9.2
779,159.5,144.6,148.8,151.0,7.7
780,161.8,146.7,151.4,153.3,7.7
781,162.0,148.0,147.5,152.5,8.2
782,163.2,147.1,149.0,153.1,8.8
783,165.6,150.9,148.9,155.1,9.1
784,162.7,148.2,149.6,153.5,8.0
785,165.1,151.0,150.7,155.6,8.2
786,164.8,151.7,150.9,155.8,7.8
787,166.3,151.0,153.2,156.8,8.3
788,167.8,151.9,151.3,157.0,9.4
789,167.9,150.9,150.9,156.6,9.8
790,169.2,152.6,152.5,158.1,9.6
791,169.4,153.6,154.6,159.2,8.9
792,168.0,155.3,154.0,159.1,7.8
793,169.6,155.5,153.9,159.7,8.6
794,169.1,157.6,152.2,159.6,8.6
795,169.2,156.2,155.4,160.3,7.8
796,172.0,156.9,154.1,161.0,9.6
797,170.1,158.6,155.7,161.4,7.6
798,174.5,160.8,160.0,165.1,8.2
799,172.5,160.8,160.1,164.5,7.0
800,171.9,158.5,158.6,163.0,7.7
801,174.0,160.8,158.9,164.6,8.2
802,178.2,160.7,162.8,167.2,9.6
803,175.5,161.6,160.3,165.8,8.4
804,175.2,161.3,163.2,166.6,7.5
805,173.9,161.0,163.6,166.2,6.8
806,177.9,165.2,161.8,168.3,8.5
807,174.9,163.4,162.4,166.9,6.9
808,177.8,164.1,163.5,168.5,8.1
809,176.2,163.4,161.4,167.0,8.0
810,175.9,163.7,163.6,167.8,7.1
811,178.2,164.0,164.7,169.0,8.0
812,179.3,161.9,166.4,169.2,9.0
813,177.6,164.8,168.2,170.2,6.6
814,178.4,165.9,167.3,170.6,6.9
815,177.3,164.4,167.8,169.9,6.7
816,178.6,164.8,169.0,170.8,7.1
817,179.2,163.0,167.1,169.8,8.4
818,180.4,165.4,167.4,171.1,8.1
819,181.7,164.2,170.8,172.2,8.8
820,178.6,165.4,169.3,171.1,6.7
821,178.3,167.3,167.6,171.1,6.3
822,177.2,164.9,168.3,170.1,6.4
823,177.4,167.2,169.1,171.2,5.4
824,179.4,164.9,171.3,171.8,7.3
825,179.8,164.8,169.0,171.2,7.7
826,178.7,164.1,172.1,171.7,7.3
827,179.5,166.2,172.3,172.7,6.6
828,175.0,162.7,170.0,169.3,6.2
829,177.3,160.3,170.3,169.3,8.5
830,176.6,161.7,169.3,169.2,7.4
831,178.7,158.6,168.1,168.5,10.0
832,175.4,159.5,169.5,168.1,8.1
833,175.3,158.9,172.1,168.8,8.7
834,173.4,158.1,168.7,166.7,7.9
835,172.5,154.5,167.1,164.7,9.2
836,174.3,156.0,169.2,166.5,9.5
837,173.0,153.8,169.4,165.4,10.2
838,169.6,150.7,167.8,162.7,10.4
839,170.5,151.4,166.5,162.8,10.1
840,171.3,150.4,168.2,163.3,11.3
841,168.6,148.5,166.4,161.1,11.0
842,168.1,148.5,163.4,160.0,10.3
843,166.3,147.5,163.3,159.0,10.1
844,165.0,143.8,162.4,157.0,11.6
845,165.4,144.4,162.5,157.5,11.4
846,163.9,140.6,160.0,154.8,12.5
847,162.7,139.4,158.8,153.6,12.5
848,161.4,138.1,159.2,152.9,12.9
849,160.0,135.5,159.0,151.5,13.9
850,160.3,130.8,157.2,149.4,16.2
851,155.8,128.7,157.8,147.4,16.2
852,155.5,127.5,154.3,145.8,15.8
853,154.4,125.7,155.1,145.1,16.8
854,153.5,122.3,153.6,143.1,18.0
855,152.8,121.4,153.6,142.6,18.4
856,149.5,118.2,149.2,139.0,17.9
857,147.3,118.0,150.5,138.6,17.9
858,145.4,116.1,145.6,135.7,17.0
859,141.8,112.8,145.5,133.4,17.9
860,141.4,111.6,143.8,132.3,18.0
861,138.7,110.3,143.0,130.7,17.7
862,135.5,108.4,142.6,128.9,18.1
863,132.3,108.4,140.8,127.2,16.8
864,131.8,104.6,136.0,124.2,17.0
865,128.4,103.6,135.4,122.5,16.7
866,128.2,100.8,131.9,120.3,16.9
867,123.9,99.3,131.0,118.0,16.6
868,124.0,99.4,129.2,117.5,15.9
869,119.0,96.8,124.7,113.5,14.7
870,118.8,95.4,124.0,112.7,15.2
871,116.0,95.6,118.0,109.9,12.4
872,113.9,93.4,117.2,108.2,12.9
873,110.8,91.1,113.3,105.1,12.1
874,107.4,89.4,110.6,102.4,11.5
875,105.7,87.8,108.5,100.7,11.2
876,103.3,87.4,104.8,98.5,9.6
877,100.6,84.1,104.0,96.2,10.6
878,98.8,82.0,101.3,94.1,10.5
879,98.4,80.7,98.4,92.5,10.2
880,94.1,78.4,96.8,89.8,9.9
881,95.2,76.1,93.0,88.1,10.4
882,92.5,75.6,92.7,86.9,9.9
883,90.4,73.9,91.2,85.2,9.8
884,88.6,72.3,87.6,82.8,9.1
885,88.0,72.0,85.8,81.9,8.7
886,85.8,69.7,84.4,80.0,8.9
887,83.8,69.0,82.0,78.3,8.1
888,81.0,66.8,79.7,75.8,7.9
889,80.0,66.5,77.1,74.6,7.1
890,77.8,63.9,75.9,72.5,7.5
891,76.1,64.4,73.4,71.3,6.1
892,75.0,62.3,71.4,69.6,6.5
893,73.5,60.4,67.6,67.2,6.6
894,71.2,60.4,67.6,66.4,5.5
895,69.0,59.8,64.8,64.5,4.6
896,67.9,58.1,62.3,62.8,4.9
897,66.1,58.2,60.2,61.5,4.1
898,64.7,56.0,59.0,59.9,4.4
899,63.3,54.9,56.5,58.2,4.4
900,60.5,54.4,54.4,56.5,3.5
901,60.1,53.8,53.1,55.7,3.9
902,58.1,52.8,50.9,53.9,3.7
903,56.4,52.3,49.8,52.8,3.3
904,54.8,51.2,47.8,51.2,3.5
905,54.6,50.4,46.5,50.5,4.0
906,52.7,49.0,45.4,49.0,3.7
907,50.8,48.2,44.4,47.8,3.2
908,50.2,47.5,42.7,46.8,3.8
909,48.1,46.7,41.6,45.5,3.4
910,47.3,45.0,40.4,44.2,3.5
911,45.7,45.1,39.8,43.5,3.2
912,45.7,44.4,38.4,42.9,3.9
913,44.8,42.7,37.0,41.5,4.0
914,43.1,42.7,36.5,40.8,3.7
915,41.6,41.6,34.6,39.3,4.0
916,41.0,41.0,34.1,38.7,4.0
917,40.4,40.3,34.0,38.3,3.7
918,38.8,40.5,32.6,37.3,4.1
919,38.1,39.9,32.2,36.7,4.0
920,37.2,39.5,31.4,36.1,4.2
921,36.4,38.7,31.4,35.5,3.7
922,36.5,37.3,,36.9,0.6
923,34.7,37.2,,35.9,1.8
924,33.9,36.7,,35.3,2.0
925,33.7,36.2,,35.0,1.7
926,32.7,35.8,,34.3,2.2
927,32.1,34.8,,33.4,1.9
928,31.1,34.2,,32.6,2.2
929,30.6,33.6,,32.1,2.2
930,30.0,33.0,,31.5,2.1
931,29.4,32.6,,31.0,2.2
932,28.8,32.1,,30.4,2.3
933,28.3,31.4,,29.8,2.2
934,28.0,31.1,,29.5,2.2
935,27.8,30.2,,29.0,1.7
936,27.0,29.5,,28.3,1.7
937,26.5,28.9,,27.7,1.7
938,25.7,28.6,,27.1,2.0
939,25.7,28.5,,27.1,2.0
940,24.9,28.3,,26.6,2.4
941,24.7,27.8,,26.2,2.2
942,24.6,27.4,,26.0,2.0
943,24.3,27.3,,25.8,2.1
944,23.8,26.7,,25.2,2.0
945,23.6,26.3,,25.0,1.9
946,22.9,26.3,,24.6,2.4
947,22.3,26.1,,24.2,2.7
948,22.6,25.7,,24.1,2.2
949,22.2,25.3,,23.8,2.2
950,21.9,25.2,,23.5,2.3
951,21.7,24.8,,23.2,2.2
952,21.2,24.8,,23.0,2.5
953,20.9,24.3,,22.6,2.4
954,21.0,24.4,,22.7,2.4
955,20.8,24.1,,22.4,2.3
956,20.6,23.7,,22.1,2.2
957,20.5,24.0,,22.3,2.5
958,20.5,23.9,,22.2,2.4
959,20.1,23.5,,21.8,2.4
960,19.8,,,19.8,
961,19.7,,,19.7,
