Time after Ignition,Luan_Panel_R1,Luan_Panel_R2,Luan_Panel_R3,Luan_Panel_R4,Mean,Std. Dev.
42.75,182.54230879812292,180.20096765820762,177.87967594965502,191.53637919648645,183.039832900618,5.975650726449148
43.0,185.1504846726707,181.6051657233159,177.35007041010044,194.2185477905161,184.58106714915078,7.17283236862598
43.25,186.3878393482313,180.70550976241188,176.6232828367162,199.51471769697767,185.80783741108428,9.97671889254945
43.5,184.051534313763,183.80102466596307,176.16980283750493,194.15891676047121,184.54531964442555,7.379438331390659
43.75,187.0658444633094,184.53904167043692,178.43047701295046,192.77708135136604,185.7031111245157,5.9482311526942295
44.0,187.6332942628299,187.41166371641265,179.00609433287065,196.0984849976935,187.53738432745166,6.978547080049393
44.25,187.9429613532704,186.71787561522936,177.1708063469893,196.79512957356962,187.1566932222647,8.029698426259708
44.5,189.81687738380214,187.63304109728446,179.5623152454014,197.96031118358377,188.74313622751794,7.563707630196205
44.75,194.89133162913538,191.36381884004703,178.64854127948547,195.59417891490892,190.1244676658942,7.871332181843845
45.0,188.89492584063422,191.16246612764988,177.58741025799682,195.27303536078028,188.22945939676532,7.569908548636112
45.25,194.62682023846222,191.7703551039842,178.97447955803344,199.88432492996108,191.31399495761022,8.886267909083443
45.5,196.76552726502192,195.33883388112696,180.8070754688971,200.85434834921998,193.4414462410665,8.741243942448722
45.75,196.67800371358877,195.6987128256126,180.9194852982246,196.00211379025527,192.32457890692032,7.614405432902455
46.0,201.54027423133388,195.13308880912422,178.13004433524742,195.50793748642488,192.5778362155326,10.069405720263992
46.25,199.1650500803316,196.25668063709603,180.0933048364933,196.7055417324532,193.05514432159353,8.735282236517536
46.5,197.6435713203908,196.59953390671035,182.9211607012402,197.17909845905817,193.5858410968499,7.1226031133476155
46.75,206.11100742066907,198.22263589615852,178.80532985931302,199.40635852540024,195.6363329253852,11.745971310392358
47.0,206.20648074138984,196.24998822400562,180.68467075693871,201.26701672985232,196.10203911304663,11.052810658682406
47.25,204.67855928184545,199.86084613556378,181.484297672521,198.98018049253105,196.25097089561532,10.158061960125757
47.5,204.23835665282277,197.80136016547206,183.0076716187718,196.4188657215086,195.3665635396438,8.916024843803187
47.75,207.83528004269806,198.91296300984038,181.10836720438763,199.89878333420077,196.9388483977817,11.284128983312737
48.0,210.90213540771973,196.39613120648224,180.21982011177283,196.27093647768953,195.94725580091608,12.534045844822904
48.25,210.2332859925066,202.18323422682596,180.76910353923262,198.7991000939165,197.99618096312045,12.445816301506827
48.5,211.12816822769378,200.7097232765022,179.0541310523359,196.5228904766883,196.85372825830504,13.361180690749027
48.75,214.03275095400298,200.69320446989545,182.61799606039625,196.7077213606298,198.5129182112311,12.929631889370194
49.0,213.55342187964823,202.83194793189665,183.17501464080323,196.07008604360433,198.9076176239881,12.720931998833978
49.25,217.57389896292395,201.0377822416389,181.51911837529988,197.9120782159696,199.51071944895807,14.774569795338838
49.5,218.7800810764428,202.0258746854529,179.81974176104114,195.97082695352978,199.14913111911667,16.097378255465184
49.75,218.9813571711276,200.74808662043733,179.2970709207368,197.38302542238222,199.102385033671,16.259238722844962
50.0,222.5708767959706,201.85349495604078,185.3768669996706,197.2622551173971,201.76587346726976,15.51061950480879
50.25,224.6669685615892,202.724136006886,183.7239805872041,197.58574781463986,202.17520824257977,17.00677857942061
50.5,226.8889309609977,197.81453536584266,180.5154339313675,199.26499034950004,201.120972651927,19.17422835662679
50.75,226.47968808245784,201.55127188295396,181.02937814066607,195.38810444610428,201.11211063804555,18.971796957975705
51.0,228.70890307646698,197.9749320958586,184.75463447065317,200.78772628699,203.0565489824922,18.47497164605379
51.25,230.75710702246246,198.90292584281173,187.0111078668721,195.33824778043999,203.00234712814654,19.162377232384515
51.5,229.10310398973252,199.37233814103794,185.17092062926318,196.54634075501,202.5481758787609,18.73713938655971
51.75,231.99635453892645,200.84325688491478,183.68664053641726,197.1555549819961,203.42045173556363,20.427892615260685
52.0,233.88485196644987,197.08319753339475,184.94204376982145,199.12437990237677,203.7586182930107,21.03719594680283
52.25,232.9459313345089,197.18581489905128,183.9400111583748,198.1411086651197,203.05321651426368,20.95586014727708
52.5,234.58034478471436,200.80092623791293,187.0685618421715,197.36110912404754,204.95273549721156,20.595381444487888
52.75,237.82237830253865,201.79253599858723,183.88489628379168,197.4934619150258,205.24831812498584,23.01843763998718
53.0,237.45454907048864,194.26942560825646,187.70061038499165,198.43012670165788,204.46367794134864,22.43304506712691
53.25,240.79935687986506,200.34559606752623,188.07015562714366,199.27968283538863,207.1236978524809,23.12688707728823
53.5,245.02036200479313,199.49050314338507,187.02557555281194,199.2770476175988,207.70337207964724,25.551145873734495
53.75,244.63376313932258,195.71009115431565,189.78506732115835,198.12111194150515,207.06250838907545,25.291204669265362
54.0,249.28149155237168,196.5978461062717,189.16546931913282,201.2019197343032,209.06168167801985,27.267901933289064
