Time after Ignition,Polyisocyanurate_Foam_Board_R1,Polyisocyanurate_Foam_Board_R2,Polyisocyanurate_Foam_Board_R3,Polyisocyanurate_Foam_Board_R4,Mean,Std. Dev.
9.0,126.5,247.8,238.9,256.3,217.4,61.0
9.25,131.7,246.5,241.0,261.5,220.2,59.6
9.5,134.8,247.8,246.9,263.1,223.2,59.4
9.75,134.9,250.9,246.3,262.1,223.5,59.5
10.0,135.7,253.7,246.0,266.1,225.4,60.4
10.25,139.7,251.7,250.2,267.1,227.2,58.8
10.5,140.4,254.9,254.2,268.8,229.6,59.8
10.75,145.2,257.7,249.0,270.4,230.6,57.6
11.0,146.7,251.7,253.0,267.1,229.6,55.7
11.25,144.7,257.6,256.2,272.4,232.7,59.1
11.5,144.8,251.9,248.3,269.2,228.5,56.6
11.75,146.9,253.4,254.9,273.8,232.2,57.7
12.0,147.7,256.3,252.3,273.3,232.4,57.2
12.25,149.6,258.2,251.0,266.5,231.3,54.9
12.5,148.8,254.9,246.4,265.9,229.0,54.0
12.75,148.2,246.9,246.0,260.9,225.5,52.0
13.0,150.2,245.7,246.2,260.1,225.6,50.7
13.25,152.6,243.7,243.3,258.6,224.6,48.5
13.5,152.0,239.3,241.6,252.4,221.3,46.5
13.75,153.7,240.7,239.2,250.0,220.9,45.1
14.0,150.5,236.9,234.7,245.5,216.9,44.5
14.25,151.0,235.4,233.8,245.1,216.3,43.8
14.5,150.7,229.2,233.2,241.9,213.7,42.4
14.75,153.0,227.8,228.1,238.9,211.9,39.7
15.0,150.7,218.4,224.8,234.5,207.1,38.2
15.25,152.1,220.0,222.2,230.7,206.3,36.4
15.5,149.4,217.9,220.7,227.5,203.9,36.5
15.75,152.2,219.7,218.8,218.8,202.4,33.4
16.0,150.2,211.4,213.2,222.2,199.3,33.1
16.25,151.4,211.1,212.5,217.5,198.1,31.3
16.5,149.5,209.2,205.4,212.4,194.1,29.9
16.75,150.5,205.3,205.0,212.5,193.3,28.7
17.0,151.2,203.6,201.8,212.5,192.3,27.8
17.25,149.0,203.3,201.4,210.0,190.9,28.2
17.5,150.2,196.8,200.7,204.0,187.9,25.3
17.75,148.9,192.7,194.2,205.5,185.4,24.9
18.0,147.9,192.6,189.3,201.5,182.8,23.9
18.25,151.3,190.4,189.3,200.7,182.9,21.7
18.5,149.3,186.6,188.8,195.6,180.1,20.8
18.75,148.8,185.5,185.0,191.9,177.8,19.6
19.0,150.7,181.0,180.9,194.0,176.7,18.3
19.25,149.7,181.3,177.8,187.4,174.1,16.7
19.5,150.1,175.0,177.8,191.0,173.5,17.1
19.75,149.5,173.9,172.7,183.4,169.9,14.4
20.0,151.9,174.3,173.0,183.2,170.6,13.3
20.25,148.8,170.0,169.7,181.2,167.4,13.5
20.5,149.7,166.7,168.3,177.7,165.6,11.6
20.75,149.4,161.3,165.2,176.5,163.1,11.2
21.0,150.2,162.3,163.9,174.7,162.8,10.0
21.25,150.2,158.0,161.8,171.5,160.4,8.8
21.5,151.4,155.7,160.4,172.2,159.9,9.0
21.75,150.5,151.8,158.2,166.6,156.8,7.3
22.0,151.6,153.2,159.3,168.2,158.1,7.5
22.25,151.9,148.5,155.0,165.4,155.2,7.3
22.5,151.3,146.9,152.3,165.4,154.0,8.0
22.75,151.5,147.2,151.5,158.2,152.1,4.6
23.0,152.4,143.0,149.4,162.4,151.8,8.1
23.25,150.3,144.1,147.0,157.6,149.7,5.8
23.5,150.4,139.8,145.5,156.3,148.0,7.0
23.75,148.9,139.6,145.9,156.9,147.8,7.2
24.0,152.5,139.5,144.5,155.9,148.1,7.4
24.25,151.0,136.6,143.6,156.6,147.0,8.8
24.5,152.7,137.6,140.3,153.7,146.1,8.3
24.75,149.7,134.3,141.6,152.5,144.5,8.2
25.0,153.5,134.2,139.3,153.0,145.0,9.8
25.25,151.6,132.7,135.7,151.5,142.9,10.1
25.5,153.2,132.2,136.6,151.4,143.3,10.5
25.75,151.5,130.0,136.2,151.2,142.2,10.9
26.0,150.2,129.1,132.6,146.6,139.6,10.3
26.25,152.5,126.9,132.7,149.0,140.3,12.4
26.5,148.4,125.5,132.1,148.1,138.5,11.5
26.75,150.0,125.7,130.1,147.3,138.3,12.1
27.0,151.0,126.3,130.2,146.2,138.4,12.0
27.25,148.2,121.2,130.3,151.1,137.7,14.3
27.5,148.6,123.8,129.2,145.6,136.8,12.2
27.75,149.9,120.0,127.2,145.9,135.8,14.4
28.0,147.9,120.5,127.8,146.7,135.7,13.7
28.25,146.2,119.5,127.7,143.7,134.3,12.8
28.5,147.8,117.5,127.3,146.0,134.6,14.7
28.75,148.6,118.6,125.5,144.6,134.3,14.6
29.0,149.3,118.3,124.6,144.5,134.2,15.0
29.25,146.5,117.6,124.4,142.0,132.7,13.8
29.5,145.4,116.6,121.3,141.1,131.1,14.3
29.75,144.3,117.7,123.1,143.1,132.0,13.6
30.0,146.9,115.7,122.3,142.7,131.9,15.2
30.25,144.2,115.2,123.3,143.1,131.5,14.5
30.5,146.2,114.9,120.5,141.2,130.7,15.3
30.75,147.3,115.8,120.9,140.9,131.2,15.3
31.0,145.7,114.3,117.0,142.7,129.9,16.6
31.25,144.9,114.0,118.1,137.8,128.7,15.0
31.5,143.7,113.1,118.0,140.8,128.9,15.6
31.75,143.1,113.5,117.3,137.5,127.9,14.6
32.0,142.7,111.9,115.7,138.6,127.2,15.6
32.25,144.2,112.1,116.7,138.6,127.9,15.9
32.5,142.3,113.7,114.5,136.5,126.8,14.8
32.75,144.4,110.8,113.6,135.9,126.2,16.6
33.0,142.0,111.1,114.1,133.5,125.2,15.0
33.25,144.4,110.4,113.7,134.7,125.8,16.4
33.5,142.2,111.2,113.0,134.3,125.2,15.5
33.75,142.4,108.9,112.6,131.5,123.8,15.8
34.0,142.7,108.4,110.5,129.8,122.8,16.4
34.25,140.5,110.1,112.5,131.0,123.5,14.7
34.5,142.1,109.2,112.6,126.3,122.5,15.0
34.75,139.5,108.6,114.1,127.3,122.4,13.9
35.0,141.8,108.3,111.0,125.8,121.7,15.4
35.25,139.9,109.7,111.4,127.2,122.1,14.3
35.5,139.9,108.1,110.2,123.6,120.4,14.7
35.75,141.0,109.2,111.9,124.0,121.5,14.5
36.0,139.0,108.8,111.3,122.6,120.4,13.8
36.25,139.9,106.8,110.5,120.6,119.4,14.8
36.5,137.2,108.7,111.6,118.8,119.1,12.8
36.75,137.9,107.5,110.9,119.6,119.0,13.6
37.0,140.8,108.6,110.6,116.4,119.1,14.8
37.25,137.1,106.9,107.6,114.3,116.5,14.1
37.5,135.2,107.7,108.2,111.8,115.7,13.1
37.75,136.0,107.4,107.5,113.4,116.1,13.6
38.0,135.1,105.8,110.2,112.6,115.9,13.1
38.25,134.9,106.9,106.2,107.9,114.0,14.0
38.5,137.2,104.8,106.6,108.9,114.4,15.3
38.75,134.0,106.6,104.8,106.9,113.1,14.0
39.0,134.8,105.3,105.1,105.5,112.7,14.7
39.25,133.9,105.7,102.7,102.5,111.2,15.2
39.5,133.0,103.2,102.8,101.7,110.2,15.2
39.75,131.3,104.6,100.7,100.4,109.3,14.8
40.0,131.2,102.8,100.7,98.9,108.4,15.3
40.25,135.3,103.6,99.3,98.5,109.2,17.6
40.5,130.5,104.1,97.9,97.5,107.5,15.6
40.75,131.1,102.4,97.3,96.0,106.7,16.5
41.0,128.0,101.6,96.4,95.1,105.3,15.4
41.25,129.3,101.3,94.9,93.6,104.8,16.7
41.5,126.7,99.5,93.0,90.9,102.5,16.5
41.75,128.1,99.6,91.5,92.0,102.8,17.3
42.0,126.1,98.2,89.6,89.4,100.8,17.3
42.25,125.2,98.1,89.5,88.4,100.3,17.2
42.5,124.3,96.3,86.6,87.7,98.7,17.6
42.75,123.3,96.6,85.9,86.8,98.1,17.4
43.0,122.0,95.6,84.5,86.4,97.1,17.3
43.25,121.2,95.0,82.8,84.9,96.0,17.7
43.5,121.4,93.6,81.9,83.8,95.2,18.2
43.75,120.6,92.5,80.5,83.9,94.4,18.2
44.0,120.8,91.5,80.3,82.6,93.8,18.6
44.25,117.5,92.2,77.8,82.8,92.6,17.7
44.5,115.7,90.4,77.8,82.2,91.5,17.0
44.75,116.2,90.8,76.7,81.6,91.3,17.6
45.0,115.4,87.9,75.4,81.6,90.1,17.6
45.25,114.6,87.3,75.2,81.2,89.6,17.4
45.5,114.4,88.8,74.7,80.2,89.5,17.6
45.75,114.5,87.6,73.3,80.2,88.9,18.0
46.0,111.5,85.5,72.4,79.4,87.2,17.1
46.25,111.1,84.4,71.9,79.6,86.7,17.1
46.5,112.7,83.8,70.7,80.3,86.9,18.1
46.75,109.6,83.9,70.8,79.4,85.9,16.7
47.0,111.1,82.4,69.3,77.6,85.1,18.2
47.25,108.1,80.7,69.2,79.5,84.4,16.6
47.5,106.7,81.7,68.8,78.4,83.9,16.1
47.75,108.4,79.0,68.9,77.8,83.5,17.2
48.0,107.2,78.5,68.4,80.1,83.6,16.6
48.25,104.8,77.5,67.3,80.4,82.5,15.9
48.5,104.0,77.0,68.2,80.3,82.4,15.3
48.75,105.5,76.7,66.9,81.9,82.8,16.4
49.0,103.2,76.1,67.5,79.9,81.7,15.3
49.25,102.9,74.7,68.4,81.7,81.9,15.0
49.5,100.8,74.1,66.7,81.4,80.7,14.7
49.75,101.4,73.5,67.8,82.2,81.2,14.7
50.0,99.4,72.4,67.2,82.2,80.3,14.2
50.25,100.4,71.6,67.6,83.8,80.9,14.8
50.5,99.7,71.5,67.7,83.9,80.7,14.4
50.75,99.6,71.4,67.5,83.7,80.5,14.5
51.0,98.5,70.6,69.3,84.2,80.6,13.7
51.25,95.6,69.2,69.5,84.1,79.6,12.7
51.5,96.5,70.4,69.8,86.8,80.9,13.0
51.75,96.3,69.0,70.9,88.2,81.1,13.4
52.0,96.6,68.4,71.0,86.5,80.6,13.3
52.25,96.2,69.1,72.4,87.4,81.3,12.7
52.5,93.4,70.1,72.5,88.8,81.2,11.6
52.75,93.2,67.9,75.2,89.5,81.5,11.9
53.0,91.9,68.8,75.2,89.5,81.4,11.1
53.25,91.7,69.4,75.4,91.2,81.9,11.3
53.5,91.5,69.8,76.4,91.4,82.3,11.0
53.75,90.5,69.4,78.0,94.2,83.0,11.4
54.0,89.4,69.9,79.8,92.9,83.0,10.3
54.25,89.1,70.3,80.5,96.5,84.1,11.3
54.5,87.3,70.3,82.0,99.8,84.8,12.2
54.75,87.0,71.5,82.9,98.2,84.9,11.0
55.0,86.6,71.4,86.4,99.1,85.9,11.4
55.25,85.7,70.8,86.0,100.8,85.8,12.2
55.5,85.3,71.3,87.8,103.0,86.8,13.0
55.75,83.0,72.8,89.9,104.6,87.6,13.3
56.0,84.2,71.9,90.0,105.3,87.8,13.9
56.25,84.1,73.9,91.0,106.2,88.8,13.6
56.5,80.5,74.7,94.2,108.0,89.4,14.9
56.75,81.3,75.1,95.1,109.4,90.2,15.3
57.0,79.9,74.6,96.6,109.1,90.0,15.8
57.25,79.1,76.7,97.7,113.1,91.7,17.1
57.5,78.8,76.6,98.9,112.3,91.6,17.0
57.75,77.9,75.3,99.9,114.8,92.0,18.8
58.0,76.7,75.2,100.5,114.6,91.8,19.1
58.25,76.5,76.6,103.0,115.5,92.9,19.5
58.5,75.9,77.4,104.4,114.3,93.0,19.3
58.75,74.9,77.8,106.1,115.5,93.6,20.3
59.0,75.4,78.9,106.3,117.7,94.6,20.7
59.25,73.5,80.7,108.2,118.7,95.3,21.6
59.5,74.2,81.4,106.2,118.6,95.1,20.8
59.75,71.9,82.7,108.6,118.8,95.5,21.9
60.0,71.6,82.2,109.9,118.8,95.6,22.4
60.25,72.4,84.0,110.7,120.0,96.8,22.3
60.5,71.8,83.8,111.0,120.2,96.7,22.7
60.75,71.3,85.6,114.3,118.5,97.4,22.8
61.0,69.9,86.8,113.3,120.2,97.6,23.4
61.25,70.3,86.6,114.0,120.3,97.8,23.5
61.5,69.9,87.6,115.0,120.3,98.2,23.7
61.75,69.0,88.4,113.9,120.8,98.0,23.8
62.0,68.4,88.6,114.8,122.4,98.5,24.8
62.25,68.5,91.0,114.8,120.2,98.6,23.7
62.5,69.1,92.8,115.7,121.5,99.8,23.9
62.75,67.5,91.9,115.9,120.8,99.0,24.5
63.0,66.7,92.6,117.7,121.7,99.7,25.5
63.25,67.1,94.6,115.5,120.1,99.3,24.2
63.5,66.9,93.9,117.1,120.9,99.7,24.9
63.75,67.1,93.8,117.2,121.4,99.9,25.0
64.0,65.7,95.8,117.3,121.6,100.1,25.5
64.25,65.4,96.0,116.3,118.0,98.9,24.5
64.5,65.7,96.1,114.9,117.8,98.6,24.0
64.75,65.1,96.6,115.1,118.8,98.9,24.5
65.0,64.4,98.3,114.6,117.3,98.7,24.3
65.25,65.2,97.4,113.5,117.4,98.4,23.8
65.5,64.3,98.2,115.8,115.9,98.6,24.3
65.75,64.3,98.9,114.4,115.4,98.2,23.9
66.0,63.8,97.9,115.1,115.2,98.0,24.2
66.25,63.2,98.6,114.5,114.6,97.7,24.2
66.5,64.0,100.0,112.9,112.6,97.4,23.0
66.75,63.2,99.6,111.2,112.5,96.6,23.0
67.0,64.2,100.2,111.0,111.6,96.8,22.3
67.25,63.1,102.3,112.1,109.6,96.8,22.8
67.5,63.2,101.7,110.1,109.7,96.2,22.4
67.75,62.5,99.9,110.0,108.0,95.1,22.2
68.0,63.4,100.0,109.4,107.5,95.1,21.5
68.25,63.1,100.6,109.1,105.8,94.6,21.3
68.5,63.8,99.8,108.5,104.8,94.2,20.6
68.75,63.4,99.7,107.8,104.6,93.9,20.6
69.0,64.0,99.7,106.1,102.1,93.0,19.5
69.25,64.2,101.3,106.8,101.9,93.5,19.7
69.5,63.3,98.6,104.1,102.0,92.0,19.3
69.75,64.4,98.9,104.0,100.3,91.9,18.5
70.0,64.5,99.2,103.7,97.5,91.2,18.0
70.25,64.9,97.8,101.7,99.3,90.9,17.4
70.5,65.1,97.6,101.6,97.4,90.4,17.0
70.75,64.7,96.7,101.1,95.5,89.5,16.7
71.0,64.8,96.8,99.4,94.3,88.8,16.2
71.25,66.3,95.2,98.6,94.5,88.7,15.0
71.5,66.4,95.4,96.6,92.9,87.8,14.3
71.75,67.1,95.4,95.7,93.1,87.8,13.9
72.0,66.7,93.4,94.8,91.7,86.6,13.4
72.25,68.1,94.2,92.5,91.8,86.6,12.4
72.5,67.4,93.1,91.6,91.0,85.8,12.3
72.75,68.3,92.2,93.0,89.9,85.9,11.8
73.0,69.2,91.8,89.2,89.7,85.0,10.5
73.25,68.4,90.3,87.2,87.6,83.4,10.1
73.5,70.1,89.4,87.9,87.9,83.8,9.2
73.75,69.4,87.1,88.7,86.8,83.0,9.1
74.0,71.0,87.4,85.4,85.1,82.2,7.6
74.25,70.2,85.7,85.7,87.1,82.2,8.0
74.5,70.9,85.2,83.7,84.0,81.0,6.7
74.75,71.7,84.0,82.3,84.7,80.7,6.1
75.0,71.4,81.6,83.3,82.6,79.7,5.6
75.25,72.6,80.7,81.6,81.2,79.0,4.3
75.5,71.9,80.7,80.4,81.3,78.6,4.4
75.75,72.0,79.0,80.7,79.8,77.9,4.0
76.0,72.7,77.4,79.6,77.9,76.9,2.9
76.25,71.4,76.9,77.9,77.3,75.9,3.0
76.5,72.3,76.3,77.7,76.6,75.7,2.4
76.75,72.1,75.3,76.7,75.6,74.9,2.0
77.0,71.9,75.2,74.6,74.5,74.0,1.5
77.25,73.1,73.8,74.5,74.6,74.0,0.7
77.5,72.9,73.1,75.6,73.8,73.8,1.2
77.75,71.9,72.5,73.3,73.5,72.8,0.7
78.0,71.4,71.4,73.6,72.7,72.3,1.0
78.25,71.6,71.4,72.8,72.1,71.9,0.6
78.5,73.2,70.3,71.7,71.9,71.8,1.2
78.75,72.2,70.3,71.7,71.9,71.5,0.8
79.0,71.8,70.9,71.1,71.0,71.2,0.4
79.25,71.1,69.7,70.8,69.3,70.2,0.9
79.5,71.1,68.4,71.8,69.1,70.1,1.6
79.75,71.2,68.3,70.2,68.3,69.5,1.4
80.0,71.9,67.7,70.6,68.5,69.7,1.9
80.25,71.6,67.2,69.5,68.8,69.3,1.8
80.5,71.8,66.5,69.0,67.8,68.7,2.3
80.75,71.0,66.6,67.8,67.1,68.1,2.0
81.0,70.8,64.9,67.7,66.7,67.6,2.5
81.25,70.9,63.4,68.2,66.7,67.3,3.1
81.5,70.4,64.1,67.2,66.4,67.0,2.6
81.75,70.4,64.1,67.6,65.3,66.8,2.7
82.0,70.2,64.2,67.4,64.4,66.5,2.8
82.25,70.7,63.1,67.6,64.5,66.5,3.4
82.5,69.9,62.6,67.0,65.3,66.2,3.1
82.75,69.6,61.9,66.7,64.5,65.7,3.2
83.0,68.3,62.1,66.3,63.6,65.1,2.8
83.25,69.1,61.9,66.6,63.5,65.3,3.2
83.5,68.6,61.2,66.5,63.1,64.9,3.3
83.75,68.4,61.0,66.4,63.4,64.8,3.3
84.0,68.1,60.8,66.1,62.8,64.4,3.3
84.25,67.5,60.6,66.5,62.5,64.3,3.3
84.5,68.1,60.1,67.2,62.7,64.5,3.8
84.75,68.0,60.5,66.5,61.6,64.1,3.7
85.0,66.3,59.3,65.1,61.9,63.1,3.2
85.25,66.4,59.5,64.4,62.6,63.2,3.0
85.5,66.6,59.1,65.0,61.8,63.1,3.3
85.75,66.5,59.5,65.1,61.5,63.2,3.2
86.0,66.7,59.5,63.4,61.4,62.7,3.1
86.25,66.0,58.7,63.4,60.8,62.2,3.2
86.5,66.3,59.3,63.0,61.3,62.5,3.0
86.75,65.2,58.8,63.0,61.1,62.0,2.7
87.0,64.4,59.8,62.6,61.9,62.2,1.9
87.25,65.3,59.4,62.7,60.9,62.1,2.5
87.5,64.4,60.0,61.5,60.1,61.5,2.1
87.75,64.0,58.9,62.3,60.4,61.4,2.2
88.0,64.5,58.2,60.2,59.4,60.6,2.7
88.25,63.6,58.7,60.6,59.4,60.6,2.1
88.5,63.5,58.7,60.3,59.2,60.4,2.2
88.75,63.5,58.0,59.8,58.5,60.0,2.5
89.0,62.3,57.9,60.2,59.0,59.9,1.9
89.25,62.1,58.8,58.9,59.3,59.8,1.5
89.5,61.5,57.6,59.0,58.1,59.0,1.7
89.75,61.5,58.1,58.1,57.8,58.9,1.8
90.0,61.9,57.4,57.7,57.5,58.6,2.2
90.25,61.3,57.5,57.3,57.3,58.4,1.9
90.5,59.4,58.0,56.5,57.2,57.8,1.2
90.75,59.3,57.4,56.2,56.7,57.4,1.3
91.0,58.7,57.7,56.8,56.6,57.5,1.0
91.25,59.0,56.8,56.2,56.6,57.1,1.2
91.5,58.4,57.0,55.0,56.0,56.6,1.4
91.75,57.4,56.4,55.5,54.8,56.0,1.1
92.0,58.7,56.2,54.9,54.2,56.0,2.0
92.25,55.7,56.5,53.4,54.4,55.0,1.4
92.5,55.6,55.4,54.0,53.9,54.7,0.9
92.75,55.1,55.8,53.6,53.8,54.6,1.1
93.0,54.3,55.4,53.5,53.8,54.3,0.9
93.25,54.4,55.5,52.7,53.1,53.9,1.3
93.5,52.2,55.6,52.9,53.3,53.5,1.5
93.75,51.8,54.4,52.6,53.0,53.0,1.1
94.0,52.2,54.8,51.8,52.8,52.9,1.3
94.25,50.4,53.9,51.5,52.2,52.0,1.5
94.5,51.0,54.6,51.9,52.3,52.4,1.5
94.75,49.8,53.7,51.0,52.3,51.7,1.7
95.0,49.7,53.9,50.9,51.8,51.6,1.8
95.25,49.1,53.2,50.2,51.8,51.1,1.8
95.5,49.0,52.6,49.8,51.4,50.7,1.6
95.75,48.2,53.2,49.1,51.3,50.5,2.2
96.0,48.1,53.4,50.5,52.0,51.0,2.3
96.25,47.0,52.1,49.3,50.9,49.8,2.2
96.5,47.6,52.1,49.3,50.8,49.9,1.9
96.75,45.8,52.1,48.7,51.1,49.4,2.8
97.0,45.5,51.2,47.3,49.3,48.4,2.5
97.25,45.5,51.3,47.8,49.6,48.6,2.5
97.5,45.5,50.8,47.5,49.4,48.3,2.3
97.75,45.1,50.1,46.7,49.4,47.8,2.3
98.0,45.0,50.5,46.7,48.2,47.6,2.3
98.25,44.4,50.7,46.1,49.0,47.5,2.8
98.5,45.1,49.6,45.4,47.8,47.0,2.1
98.75,43.8,49.4,45.7,46.8,46.4,2.3
99.0,43.4,49.6,44.8,47.8,46.4,2.8
99.25,43.8,49.3,45.6,47.1,46.4,2.3
99.5,42.9,49.2,44.5,47.3,45.9,2.8
99.75,42.8,49.4,43.6,47.2,45.7,3.1
100.0,42.0,49.5,43.4,46.7,45.4,3.4
100.25,42.2,48.4,43.4,46.3,45.1,2.8
100.5,42.3,49.0,43.3,45.9,45.1,3.0
100.75,41.9,48.1,42.9,45.5,44.6,2.8
101.0,41.3,47.6,41.9,45.3,44.0,3.0
101.25,41.8,47.6,42.8,45.4,44.4,2.6
101.5,41.6,47.8,42.5,45.5,44.4,2.8
101.75,41.4,48.0,41.4,45.3,44.0,3.2
102.0,41.2,47.7,41.0,45.4,43.8,3.3
102.25,41.6,46.6,41.1,44.7,43.5,2.6
102.5,41.4,46.4,40.6,45.0,43.3,2.8
102.75,40.6,46.0,40.1,44.9,42.9,3.0
103.0,40.9,46.3,39.9,44.0,42.8,2.9
103.25,41.2,45.5,39.7,43.7,42.5,2.6
103.5,41.5,45.8,40.3,43.4,42.7,2.4
103.75,41.9,45.3,39.4,43.7,42.6,2.5
104.0,41.4,45.2,39.1,43.8,42.4,2.7
104.25,40.6,45.0,38.2,43.5,41.8,3.0
104.5,41.4,45.2,38.5,43.5,42.2,2.9
104.75,40.9,44.8,37.9,43.1,41.7,3.0
105.0,41.3,44.2,37.7,42.8,41.5,2.8
105.25,41.5,43.9,37.3,42.9,41.4,2.9
105.5,40.6,44.3,37.4,42.7,41.2,3.0
105.75,41.4,44.1,36.7,42.6,41.2,3.2
106.0,41.5,43.6,36.7,42.3,41.0,3.0
106.25,41.5,43.2,36.1,42.2,40.8,3.2
106.5,40.7,43.4,36.3,41.9,40.6,3.1
106.75,40.8,43.2,35.8,41.8,40.4,3.2
107.0,40.6,42.8,35.8,41.5,40.2,3.0
107.25,41.0,42.7,36.0,40.9,40.2,2.9
107.5,40.8,42.8,36.5,41.4,40.4,2.7
107.75,40.8,42.4,35.8,40.6,39.9,2.9
108.0,40.7,42.3,35.6,40.5,39.8,2.9
108.25,40.5,42.2,35.2,40.4,39.6,3.0
108.5,40.8,42.0,35.0,40.0,39.5,3.1
108.75,40.6,42.4,35.3,39.9,39.5,3.0
109.0,40.7,42.4,34.9,39.2,39.3,3.2
109.25,41.1,42.4,34.6,39.4,39.4,3.4
109.5,40.5,41.7,34.8,39.9,39.2,3.0
109.75,40.5,40.8,33.7,39.1,38.5,3.3
110.0,40.0,41.0,34.2,38.6,38.5,3.0
110.25,40.6,40.5,33.9,39.1,38.5,3.2
110.5,39.9,40.0,34.0,38.9,38.2,2.9
110.75,40.2,39.8,33.6,39.0,38.1,3.1
111.0,40.1,40.0,33.2,38.7,38.0,3.2
111.25,40.0,40.2,33.2,39.1,38.1,3.3
111.5,39.7,39.1,33.0,39.0,37.7,3.1
111.75,39.2,39.1,33.2,38.3,37.4,2.8
112.0,40.2,39.6,33.0,38.9,37.9,3.3
112.25,39.9,39.2,33.0,38.3,37.6,3.1
112.5,39.6,38.5,33.0,37.9,37.3,2.9
112.75,38.9,38.5,33.2,37.8,37.1,2.7
113.0,38.8,38.7,32.9,38.1,37.1,2.8
113.25,39.3,38.6,33.0,38.0,37.2,2.9
113.5,38.4,37.7,32.3,37.6,36.5,2.8
113.75,38.2,38.3,32.6,37.6,36.7,2.8
114.0,37.8,38.1,32.6,37.7,36.5,2.6
114.25,38.1,38.4,32.7,37.3,36.6,2.7
114.5,37.4,38.3,32.0,37.2,36.2,2.8
114.75,37.6,37.4,32.2,36.9,36.0,2.6
115.0,37.0,38.4,31.8,36.8,36.0,2.9
115.25,36.7,37.8,31.6,36.7,35.7,2.8
115.5,37.4,37.8,31.9,36.6,35.9,2.7
115.75,36.4,37.1,31.9,36.4,35.4,2.4
116.0,36.8,37.0,31.5,36.2,35.4,2.6
116.25,35.9,37.2,31.8,35.9,35.2,2.4
116.5,35.5,37.1,31.2,35.4,34.8,2.6
116.75,35.3,37.0,31.0,35.6,34.7,2.6
117.0,34.8,36.9,31.5,35.4,34.7,2.3
117.25,34.4,36.9,31.2,35.1,34.4,2.4
117.5,34.7,36.6,31.4,35.0,34.4,2.2
117.75,34.9,36.2,31.3,34.9,34.3,2.1
118.0,34.3,36.2,30.7,34.7,34.0,2.3
118.25,34.2,36.2,30.4,34.5,33.8,2.4
118.5,33.7,36.3,31.0,34.5,33.9,2.2
118.75,33.6,36.3,30.8,34.0,33.6,2.3
119.0,33.2,36.2,31.1,33.3,33.5,2.1
119.25,32.9,35.5,30.4,33.2,33.0,2.1
119.5,32.2,35.4,30.7,33.2,32.9,2.0
119.75,32.2,35.2,30.6,33.3,32.8,1.9
120.0,32.2,35.3,30.1,33.1,32.6,2.2
120.25,31.6,34.7,29.7,32.7,32.2,2.1
120.5,31.7,34.8,29.8,32.8,32.3,2.1
120.75,31.5,34.7,29.7,32.5,32.1,2.1
121.0,31.2,34.6,29.4,32.4,31.9,2.2
121.25,30.8,35.1,29.0,32.4,31.9,2.6
121.5,30.7,34.8,29.0,31.7,31.6,2.4
121.75,30.7,34.3,29.2,31.6,31.5,2.2
122.0,30.5,34.4,29.2,31.6,31.4,2.2
122.25,30.4,34.4,29.2,31.4,31.4,2.2
122.5,30.1,34.2,29.0,31.6,31.3,2.3
122.75,30.4,34.7,28.7,31.5,31.3,2.5
