Names,Polyisocyanurate_Foam_Board_R1,Polyisocyanurate_Foam_Board_R2,Polyisocyanurate_Foam_Board_R3,Polyisocyanurate_Foam_Board_R4,Mean,Std. Dev.
306,105.3,52.8,57.4,54.9,67.6,25.2
307,104.2,53.0,56.4,54.0,66.9,24.9
308,103.0,52.7,55.4,53.9,66.2,24.5
309,104.6,51.9,55.8,53.4,66.4,25.5
310,103.3,51.6,54.3,52.5,65.4,25.3
311,101.8,50.5,54.1,52.2,64.7,24.8
312,99.1,50.1,53.5,51.4,63.5,23.8
313,100.3,49.3,53.6,51.7,63.7,24.5
314,100.2,48.5,52.6,51.0,63.1,24.8
315,96.3,48.0,52.1,50.4,61.7,23.1
316,96.6,47.6,51.9,50.7,61.7,23.3
317,95.6,47.4,51.4,49.8,61.1,23.1
318,96.1,46.3,50.7,49.7,60.7,23.7
319,95.3,45.8,50.8,49.4,60.3,23.4
320,93.2,45.7,50.1,48.8,59.4,22.6
321,92.7,45.3,49.6,48.2,58.9,22.6
322,91.8,43.9,49.3,48.7,58.4,22.4
323,89.9,43.6,49.0,48.5,57.8,21.6
324,89.0,42.7,48.3,47.0,56.8,21.6
325,90.1,42.1,47.9,47.9,57.0,22.2
326,87.1,41.8,47.6,47.1,55.9,20.9
327,85.5,41.8,47.3,46.3,55.2,20.3
328,84.9,40.6,47.1,45.8,54.6,20.4
329,84.4,40.4,46.0,46.0,54.2,20.3
330,82.7,39.2,46.1,45.8,53.4,19.7
331,81.3,39.2,44.8,44.9,52.5,19.4
332,80.0,39.0,45.5,44.5,52.3,18.7
333,79.6,39.1,45.9,43.5,52.0,18.6
334,78.6,38.3,44.7,44.6,51.6,18.3
335,78.1,37.5,45.3,42.6,50.9,18.4
336,75.8,37.5,44.9,43.3,50.4,17.3
337,75.8,37.1,44.5,43.5,50.2,17.3
338,74.7,37.0,44.4,42.8,49.7,17.0
339,73.4,36.3,44.0,42.4,49.0,16.6
340,73.4,36.1,44.3,42.5,49.1,16.6
341,71.8,36.0,43.1,43.1,48.5,15.9
342,70.0,35.4,42.7,42.2,47.6,15.3
343,68.8,35.8,43.2,42.2,47.5,14.6
344,68.5,35.7,42.4,41.6,47.1,14.6
345,67.3,34.8,42.3,41.7,46.5,14.3
346,66.9,34.4,42.1,42.3,46.4,14.1
347,65.9,34.1,41.9,41.8,45.9,13.8
348,65.2,34.0,42.0,41.7,45.7,13.5
349,65.2,33.8,41.6,42.1,45.6,13.6
350,63.9,33.2,41.4,41.5,45.0,13.2
351,63.1,33.2,41.4,41.7,44.9,12.8
352,63.1,33.0,41.0,40.8,44.5,12.9
353,60.4,32.5,40.7,40.5,43.5,11.9
354,60.3,32.6,41.0,40.1,43.5,11.8
355,60.7,32.5,40.3,40.8,43.5,12.0
356,59.0,32.1,40.1,40.1,42.8,11.4
357,57.8,32.2,39.9,40.0,42.5,10.9
358,58.3,32.0,39.8,40.0,42.6,11.2
359,58.2,32.0,39.2,40.1,42.4,11.2
360,57.0,31.6,39.3,39.9,41.9,10.7
361,55.5,32.0,39.5,39.5,41.6,9.9
362,55.7,31.7,39.4,39.6,41.6,10.1
363,55.1,31.5,38.9,39.4,41.2,9.9
364,53.9,31.5,39.0,38.8,40.8,9.4
365,54.2,31.1,38.6,38.4,40.6,9.7
366,52.4,31.1,39.1,38.5,40.3,8.9
367,52.7,30.6,38.6,38.2,40.0,9.2
368,52.6,30.7,38.3,39.1,40.2,9.1
369,51.1,,38.2,38.6,42.7,7.3
370,51.0,,38.1,38.3,42.5,7.4
371,50.7,,38.2,38.8,42.5,7.1
372,50.8,,37.8,38.6,42.4,7.3
373,50.4,,37.8,37.8,42.0,7.3
374,49.7,,38.0,37.9,41.9,6.8
375,49.1,,37.9,37.0,41.3,6.7
376,48.9,,38.0,37.3,41.4,6.5
377,48.1,,37.2,37.3,40.9,6.2
