Names,Masonite_Board_R1,Masonite_Board_R2,Masonite_Board_R3,Masonite_Board_R4,Masonite_Board_R5,Masonite_Board_R6,Mean,Std. Dev.
245,107.1,142.4,112.9,83.9,126.1,38.4,101.8,36.7
246,109.7,146.6,117.0,87.1,124.3,40.9,104.3,36.6
247,119.5,150.5,121.8,90.0,127.3,43.9,108.8,37.2
248,124.5,155.3,124.9,92.6,131.0,48.1,112.7,37.4
249,129.1,154.3,125.6,98.2,137.8,51.2,116.0,36.7
250,133.0,161.2,132.1,100.3,138.0,54.8,119.9,37.3
251,139.0,162.7,134.3,105.1,141.6,56.3,123.2,37.6
252,140.5,171.2,137.7,106.8,141.4,59.5,126.2,38.5
253,153.8,167.5,142.9,109.1,149.5,63.2,131.0,38.5
254,153.6,170.2,142.2,113.9,150.8,67.9,133.1,36.9
255,163.6,174.6,150.0,118.3,154.1,70.6,138.5,38.3
256,163.1,178.6,154.5,123.6,157.4,72.4,141.6,38.4
257,167.1,183.9,155.0,125.7,158.0,76.6,144.4,38.3
258,175.0,184.5,158.6,129.1,164.6,83.6,149.2,37.3
259,183.0,181.7,161.1,133.0,167.1,83.0,151.5,38.1
260,182.3,186.0,168.6,135.1,167.0,88.8,154.6,36.9
261,183.2,191.0,167.5,138.5,171.3,89.9,156.9,37.4
262,192.8,188.7,171.1,142.2,175.6,96.6,161.2,36.3
263,192.7,191.4,179.4,147.1,175.5,100.6,164.4,35.3
264,196.7,200.4,174.4,146.0,177.6,103.0,166.4,36.6
265,205.5,198.8,180.1,150.2,180.3,103.6,169.8,37.7
266,201.9,204.7,186.1,150.7,180.5,111.7,172.6,35.5
267,212.2,201.8,186.3,153.9,186.4,113.6,175.7,36.3
268,222.4,205.2,192.1,155.8,188.0,116.4,180.0,38.1
269,222.5,215.1,197.0,156.1,187.0,118.8,182.7,39.1
270,227.0,206.0,192.7,161.4,187.5,122.7,182.9,36.5
271,231.6,218.6,199.2,163.1,190.6,127.1,188.4,38.2
272,234.2,215.8,198.1,162.9,189.0,132.1,188.7,36.8
273,244.0,216.3,203.5,170.6,195.4,130.5,193.4,39.2
274,242.2,224.2,206.9,169.0,196.5,134.1,195.5,39.0
275,246.3,222.9,207.1,169.5,198.9,138.0,197.1,38.6
276,252.3,223.2,210.6,173.8,200.8,141.8,200.4,38.6
277,254.3,221.4,211.4,178.1,201.3,147.9,202.4,36.6
278,258.8,226.9,213.7,178.1,204.6,149.9,205.3,38.0
279,257.8,227.9,217.7,181.4,208.0,149.2,207.0,37.7
280,267.6,229.3,218.3,182.9,206.9,154.9,210.0,38.8
281,268.8,230.6,218.6,185.3,204.4,154.4,210.4,39.2
282,270.3,231.8,221.7,190.2,214.5,160.3,214.8,37.4
283,270.8,226.7,226.9,193.3,215.7,159.2,215.4,37.3
284,278.6,233.4,228.0,194.4,217.3,163.4,219.2,38.8
285,283.0,238.9,232.4,195.7,216.0,165.0,221.8,40.2
286,286.3,240.6,232.4,198.7,216.4,166.1,223.4,40.7
287,282.2,238.7,233.2,207.4,226.2,169.1,226.1,37.3
288,281.6,234.5,233.7,205.0,222.8,175.7,225.6,35.2
289,307.3,243.0,235.6,202.2,229.8,175.7,232.3,44.4
290,294.8,247.2,240.6,210.3,232.7,177.3,233.8,39.2
291,294.5,243.6,244.7,208.4,231.8,181.9,234.1,38.1
292,302.2,245.1,248.2,213.1,233.5,184.5,237.8,39.4
293,303.1,249.3,243.2,218.5,233.2,187.7,239.2,38.3
294,307.0,249.4,243.4,216.5,233.2,185.4,239.2,40.4
295,311.2,251.5,250.1,219.6,236.8,188.7,243.0,40.8
296,316.4,254.8,248.5,222.0,235.3,194.8,245.3,40.9
297,314.7,249.3,252.2,219.7,240.2,198.2,245.7,39.5
298,316.6,257.6,256.1,221.7,241.1,196.8,248.3,40.6
299,326.2,261.8,261.6,220.8,248.6,199.8,253.1,43.3
300,327.7,254.8,256.6,226.1,242.6,207.3,252.5,41.3
301,333.5,262.1,255.1,228.4,245.4,200.2,254.1,44.7
302,326.2,271.0,262.7,230.7,246.1,210.6,257.9,40.0
303,314.0,271.9,265.0,227.0,250.1,214.1,257.0,35.6
304,334.4,263.4,263.6,227.4,252.7,215.2,259.4,41.7
305,331.7,277.5,268.1,235.3,263.9,213.4,265.0,40.4
306,344.4,269.6,273.6,230.0,261.6,215.9,265.9,44.8
307,351.5,276.3,275.6,232.7,263.2,218.9,269.7,46.4
308,328.8,277.7,274.8,237.8,263.2,218.8,266.8,37.9
309,342.6,279.4,276.5,239.4,271.2,226.9,272.6,40.4
310,363.1,277.2,278.2,235.9,272.0,223.6,275.0,48.9
311,353.7,278.9,296.2,238.3,275.9,226.7,278.3,45.3
312,355.4,280.6,287.1,249.6,273.3,231.4,279.6,42.6
313,355.2,286.6,282.5,250.7,282.9,234.9,282.1,41.4
314,351.6,287.5,295.4,244.9,279.0,237.1,282.6,41.1
315,356.2,284.7,287.3,253.7,275.4,240.0,282.9,40.4
316,360.8,287.6,293.9,250.8,284.3,246.9,287.4,41.0
317,362.2,288.8,297.1,253.6,282.8,243.9,288.1,41.8
318,365.7,294.4,296.2,252.8,283.4,244.8,289.6,43.0
319,370.3,297.4,303.0,261.2,286.6,248.0,294.4,42.8
320,363.0,294.0,303.1,261.0,289.2,253.3,293.9,39.0
321,377.5,290.5,304.6,263.0,288.3,253.2,296.2,44.1
322,367.7,299.1,301.1,268.8,290.0,262.1,298.2,37.6
323,373.2,308.8,316.1,277.8,293.9,258.3,304.7,39.6
324,384.3,295.7,318.0,269.3,297.4,267.5,305.4,43.1
325,366.9,305.4,310.9,277.1,299.2,274.2,305.6,33.6
326,371.5,302.6,325.8,274.6,288.3,265.9,304.8,39.0
327,388.2,304.4,319.7,273.1,301.8,268.4,309.2,43.4
328,392.2,307.1,326.6,279.3,300.8,271.5,312.9,43.6
329,389.0,304.5,311.6,286.0,294.2,280.3,310.9,39.9
330,395.0,315.4,313.3,282.4,298.8,272.8,313.0,43.6
331,389.6,317.0,333.8,291.8,306.1,286.5,320.8,37.8
332,396.2,324.5,319.6,283.9,303.6,291.5,319.9,40.5
333,404.6,320.4,334.7,282.5,305.6,278.6,321.1,46.3
334,405.2,318.0,320.7,286.4,304.1,287.9,320.4,44.0
335,394.2,320.8,330.1,298.0,313.2,290.5,324.5,37.1
336,412.6,335.9,334.8,297.9,318.3,297.7,332.9,42.5
337,405.9,335.9,335.7,299.2,314.3,294.3,330.9,40.8
338,403.2,331.5,338.8,299.6,316.7,292.3,330.4,39.9
339,427.1,329.8,346.2,293.5,315.9,298.0,335.1,49.2
340,408.9,329.7,350.2,297.6,317.5,300.3,334.0,41.5
341,404.0,331.4,347.1,311.5,323.0,303.6,336.8,36.3
342,423.4,333.8,347.0,306.8,324.6,304.4,340.0,43.9
343,413.3,327.6,357.2,306.6,329.8,305.8,340.0,40.5
344,405.2,340.2,347.6,308.6,326.5,313.5,340.3,35.2
345,415.8,335.6,354.1,313.2,329.0,307.1,342.5,39.6
346,421.4,351.7,352.0,307.5,337.1,310.6,346.7,41.4
347,431.1,344.3,364.2,309.2,335.7,308.6,348.9,45.6
348,432.2,350.8,357.0,314.6,329.1,321.0,350.8,43.2
349,438.1,351.3,374.0,316.4,328.3,319.0,354.5,46.4
350,443.9,362.0,366.7,317.0,341.8,327.4,359.8,45.5
351,447.8,362.1,369.1,324.4,343.5,328.4,362.6,45.4
352,439.4,354.2,369.6,329.1,341.7,326.3,360.1,42.1
353,431.4,356.5,366.9,325.6,345.9,335.2,360.2,37.9
354,451.5,351.6,367.8,326.1,340.9,331.0,361.5,46.6
355,443.9,357.3,384.1,317.7,347.3,328.1,363.1,45.9
356,460.2,366.5,371.6,319.3,338.8,340.7,366.2,49.9
357,449.4,355.0,380.5,335.7,343.1,342.1,367.6,43.1
358,457.4,372.9,382.2,337.4,355.1,335.9,373.5,45.1
359,455.4,370.0,392.7,329.8,349.5,341.5,373.1,46.0
360,497.4,362.3,387.0,336.2,356.0,351.5,381.7,59.1
361,472.5,369.3,392.2,341.3,356.9,349.9,380.4,48.5
362,466.0,363.5,409.8,338.0,353.0,349.6,380.0,49.0
363,473.9,364.2,406.3,332.9,357.7,355.4,381.7,51.1
364,476.1,374.0,412.6,348.1,358.9,352.4,387.0,49.5
365,487.7,372.6,390.4,343.4,367.6,360.1,387.0,51.7
366,482.3,362.7,424.3,339.1,369.1,348.5,387.7,55.0
367,470.0,380.1,407.0,363.4,368.0,359.7,391.3,42.1
368,494.9,380.5,408.1,344.3,378.6,353.3,393.3,54.6
369,496.9,377.7,420.4,361.5,370.2,356.0,397.1,54.0
370,480.6,373.8,404.6,359.3,372.0,377.1,394.6,44.7
371,478.7,374.3,429.3,359.2,376.8,366.2,397.4,46.9
372,496.3,388.0,411.9,367.7,371.2,362.3,399.6,50.7
373,494.8,395.6,416.9,354.2,380.4,368.2,401.7,50.5
374,496.6,372.2,417.5,363.6,375.9,357.7,397.2,53.0
375,498.4,381.3,420.6,381.0,386.6,378.5,407.7,47.1
376,509.6,393.9,427.8,365.5,398.3,378.4,412.2,52.1
377,499.7,394.9,425.7,373.8,382.9,372.7,408.3,48.8
378,503.8,400.8,429.3,380.8,387.5,374.8,412.8,48.6
379,537.4,400.3,428.7,373.4,383.3,372.9,416.0,63.1
380,518.9,391.4,419.8,379.6,392.5,372.4,412.4,54.6
381,529.5,397.6,430.9,377.4,399.8,376.5,418.6,57.8
382,563.4,410.9,446.6,381.8,396.3,375.2,429.0,70.6
383,530.5,398.0,438.7,389.1,403.1,387.4,424.5,55.2
384,550.3,409.5,439.1,381.5,407.2,392.5,430.0,62.0
385,554.5,412.5,439.5,382.4,409.9,382.4,430.2,64.6
386,564.9,418.0,458.1,383.3,402.6,388.0,435.8,68.8
387,549.9,412.5,451.4,399.0,422.9,381.6,436.2,60.4
388,568.1,414.3,443.8,402.9,413.4,389.8,438.7,65.8
389,562.0,424.3,450.3,392.3,405.3,393.4,437.9,64.6
390,567.4,417.2,465.3,400.0,407.9,391.2,441.5,66.9
391,585.1,416.0,448.6,396.5,402.4,390.2,439.8,74.2
392,594.8,416.9,456.0,409.2,416.4,408.1,450.2,73.0
393,592.6,421.8,448.4,401.7,419.5,406.2,448.4,72.5
394,586.4,422.0,462.3,402.2,422.1,408.6,450.6,69.8
395,593.5,444.0,462.3,409.7,414.8,412.7,456.2,70.4
396,603.8,428.7,460.3,410.7,447.3,406.6,459.6,73.6
397,589.3,436.9,468.0,413.1,427.7,401.9,456.2,69.0
398,609.7,436.0,482.6,416.6,422.0,404.9,462.0,77.2
399,598.7,437.6,469.7,413.3,438.4,407.9,461.0,71.0
400,623.1,441.0,472.6,409.8,435.0,410.0,465.2,80.7
401,606.4,455.8,492.8,429.6,430.6,409.9,470.9,72.3
402,635.7,462.9,476.4,428.8,434.2,414.5,475.4,81.8
403,629.0,444.1,476.7,416.0,443.6,394.6,467.3,84.0
404,620.9,445.7,492.0,424.7,447.6,417.7,474.8,76.1
405,644.5,447.0,483.9,421.3,433.7,428.6,476.5,85.3
406,650.1,461.5,478.4,425.9,431.0,414.7,476.9,88.1
407,683.2,477.3,491.3,436.5,440.6,426.6,492.6,96.7
408,646.3,461.8,481.7,436.8,451.9,419.6,483.0,82.7
409,653.7,469.4,508.5,440.1,445.2,428.2,490.8,84.7
410,669.7,461.6,502.3,457.8,457.3,425.0,495.6,88.8
411,684.2,474.6,484.1,449.8,422.5,431.3,491.1,97.6
412,662.9,470.3,494.5,445.3,439.4,439.5,492.0,86.5
413,699.7,471.1,497.5,443.2,452.5,429.1,498.9,101.2
414,668.3,495.8,521.8,440.2,458.1,430.9,502.5,88.2
415,698.4,477.3,510.2,451.4,466.3,433.4,506.2,97.7
416,696.1,481.2,490.3,458.2,460.0,455.6,506.9,93.7
417,711.8,482.4,529.1,442.8,455.3,450.6,512.0,102.8
418,730.2,488.3,515.7,446.1,466.0,452.5,516.4,107.8
419,686.0,491.2,523.3,470.9,447.6,451.4,511.7,89.8
420,737.0,490.9,524.9,476.7,476.3,451.5,526.2,106.0
421,719.0,493.6,535.0,439.4,460.7,453.6,516.9,104.8
422,753.8,510.1,534.7,456.8,467.3,456.6,529.9,114.2
423,736.2,509.2,544.9,456.6,473.5,458.5,529.8,106.6
424,728.5,499.1,530.3,470.1,460.2,462.0,525.0,103.2
425,753.0,508.9,538.5,478.0,479.8,451.3,534.9,110.9
426,729.4,519.8,546.6,477.6,494.3,478.4,541.0,96.0
427,756.1,526.2,543.7,463.1,475.2,454.5,536.5,113.3
428,784.2,517.1,553.5,477.1,483.0,455.5,545.1,122.1
429,755.2,522.5,547.0,473.9,469.7,470.9,539.9,110.2
430,752.8,534.2,563.1,484.0,479.4,467.6,546.9,107.3
431,777.2,531.8,545.6,481.5,476.0,485.8,549.7,115.1
432,780.8,545.2,558.5,482.4,485.4,469.6,553.6,117.1
433,808.5,548.2,547.6,488.0,481.2,469.2,557.1,127.8
434,787.4,549.3,551.6,482.9,485.3,470.9,554.6,119.3
435,775.0,560.6,561.7,484.9,491.3,477.5,558.5,112.6
436,779.0,574.2,583.1,490.0,491.3,495.2,568.8,111.4
437,790.5,562.4,593.4,479.8,492.4,494.0,568.8,117.6
438,773.4,543.4,584.4,491.0,475.2,457.9,554.2,117.1
439,792.0,569.1,565.3,492.7,500.4,501.3,570.1,113.9
440,811.1,571.6,563.7,491.0,478.1,496.2,568.6,125.1
441,789.6,571.9,578.3,503.0,499.0,481.9,570.6,114.5
442,806.2,571.7,591.4,487.9,510.0,503.7,578.5,118.8
443,784.6,577.5,589.9,491.6,508.0,499.3,575.2,110.8
444,792.1,578.8,590.8,500.7,498.6,474.3,572.5,117.4
445,793.3,593.6,584.5,491.3,517.0,498.9,579.8,113.3
446,767.9,599.4,585.9,490.5,499.9,486.2,571.6,108.2
447,783.3,592.1,593.9,498.2,508.4,499.9,579.3,109.5
448,826.9,593.9,595.4,499.6,502.4,495.6,585.6,127.1
449,800.1,605.0,588.5,505.4,504.6,504.9,584.7,114.8
450,812.2,590.9,594.4,515.0,517.7,500.9,588.5,116.8
451,806.1,603.4,591.9,514.6,517.1,508.2,590.2,113.7
452,827.7,603.0,610.3,505.3,508.2,502.6,592.9,125.4
453,804.3,597.3,610.4,498.8,522.8,505.6,589.9,115.2
454,819.9,621.1,649.2,532.8,509.7,524.9,609.6,117.5
455,813.5,637.2,630.3,521.9,523.2,499.9,604.3,118.1
456,835.6,623.8,623.9,521.0,527.5,524.7,609.4,121.1
457,774.9,635.1,642.2,512.7,519.4,519.0,600.5,104.2
458,834.0,633.4,646.7,524.2,522.5,516.9,612.9,123.1
459,811.2,620.9,636.6,533.2,518.9,513.7,605.8,113.7
460,829.4,626.1,662.3,540.4,509.9,519.7,614.6,121.7
461,800.2,638.9,650.1,535.9,516.7,528.1,611.7,109.1
462,827.9,626.9,640.4,519.5,526.7,533.7,612.5,118.0
463,819.3,653.8,665.4,539.8,518.9,528.9,621.0,116.5
464,813.1,620.3,658.5,533.6,529.8,537.1,615.4,110.6
465,807.4,653.8,669.0,547.3,526.6,540.5,624.1,108.5
466,792.5,639.6,660.8,548.0,535.3,535.1,618.5,101.4
467,811.7,643.2,670.8,551.7,527.8,555.1,626.7,106.8
468,838.1,667.6,683.3,544.9,522.1,538.1,632.4,122.4
469,832.6,660.9,651.4,552.3,524.0,554.6,629.3,114.4
470,851.6,646.9,669.4,553.7,529.8,549.6,633.5,121.0
471,845.5,658.4,674.5,541.7,536.6,560.9,636.3,118.6
472,812.5,652.7,674.0,572.5,541.7,537.8,631.9,105.2
473,806.4,664.9,681.2,557.2,534.1,557.6,633.6,104.5
474,841.3,651.2,672.2,551.0,540.8,557.6,635.7,115.0
475,818.8,660.3,683.3,558.4,537.7,547.0,634.2,109.4
476,837.8,665.8,680.3,558.3,540.4,554.3,639.5,114.3
477,830.8,665.1,688.0,557.4,549.9,550.7,640.3,111.6
478,841.8,659.2,690.9,554.9,558.6,541.8,641.2,115.9
479,833.0,663.4,707.0,564.8,554.2,558.1,646.7,111.1
480,833.7,642.3,700.8,551.1,553.8,555.2,639.5,112.9
481,838.8,670.0,712.6,563.2,567.6,569.0,653.5,110.3
482,847.6,682.0,714.2,577.4,562.4,566.1,658.3,112.9
483,816.6,672.6,706.1,566.7,555.7,564.0,647.0,104.5
484,862.6,677.7,712.0,586.4,560.4,572.8,662.0,115.7
485,843.7,662.6,728.8,568.3,548.1,570.0,653.6,116.0
486,835.6,673.6,712.7,581.1,575.9,578.6,659.6,103.7
487,846.6,662.7,724.2,588.4,553.1,575.2,658.4,111.9
488,851.9,666.2,738.6,575.3,567.8,587.8,664.6,113.0
489,836.1,670.8,742.3,591.5,563.7,586.8,665.2,106.8
490,863.3,669.5,705.6,594.8,557.1,569.2,659.9,115.4
491,852.9,680.4,714.0,581.4,571.3,564.3,660.7,112.9
492,858.6,667.0,733.4,568.0,567.1,579.3,662.2,117.0
493,825.0,691.0,724.3,596.1,583.2,583.3,667.2,97.8
494,834.4,673.6,728.0,594.8,600.0,583.4,669.0,98.4
495,825.4,649.2,733.0,587.9,562.8,582.6,656.8,103.3
496,830.5,673.9,732.8,607.3,577.5,594.8,669.5,97.8
497,859.4,676.0,755.0,584.7,567.4,589.9,672.1,116.1
498,829.5,683.8,735.7,584.3,591.9,588.0,668.9,100.1
499,844.3,676.3,746.1,614.3,580.9,593.4,675.9,102.9
500,816.8,664.1,750.5,594.5,594.8,598.5,669.9,94.4
501,825.5,686.9,737.7,596.5,582.0,589.4,669.7,98.7
502,824.9,659.7,740.2,605.9,556.2,581.1,661.3,103.5
503,825.3,695.7,738.8,600.0,581.4,587.8,671.5,99.0
504,825.1,689.5,749.8,582.4,578.8,601.8,671.2,101.4
505,828.7,687.5,728.4,608.7,563.7,590.9,668.0,100.2
506,819.2,664.7,755.5,614.3,587.0,603.0,673.9,93.8
507,814.8,675.0,749.6,605.2,570.5,601.4,669.4,96.0
508,826.6,672.1,746.2,616.8,580.4,608.2,675.1,94.7
509,809.1,669.7,754.7,618.0,567.2,608.3,671.1,93.4
510,801.9,678.9,761.8,601.8,591.5,608.5,674.1,89.9
511,802.9,675.6,766.4,616.0,571.6,595.9,671.4,94.9
512,802.4,679.0,741.7,601.4,581.2,600.7,667.7,89.6
513,795.9,666.5,737.0,609.4,585.7,592.4,664.5,86.0
514,790.3,681.3,723.4,619.7,585.5,608.9,668.2,78.5
515,798.0,692.4,756.9,625.9,592.2,599.0,677.4,86.2
516,801.1,672.0,776.2,623.1,589.3,615.2,679.5,89.0
517,796.3,696.1,754.9,611.5,593.3,603.8,676.0,86.4
518,787.1,682.9,746.8,617.1,598.2,610.7,673.8,78.9
519,795.0,675.3,741.2,611.1,590.9,600.2,669.0,84.1
520,780.0,679.5,746.2,624.5,580.0,604.2,669.1,80.6
521,778.5,686.6,743.8,612.9,582.8,604.3,668.2,80.8
522,778.6,681.9,761.5,618.0,590.6,608.6,673.2,81.3
523,771.7,698.4,756.3,616.4,568.6,606.7,669.7,84.6
524,755.4,674.4,742.1,627.5,589.5,617.1,667.7,68.6
525,751.0,668.0,731.4,613.3,579.0,611.7,659.1,70.0
526,738.7,682.9,740.5,617.8,580.4,612.4,662.1,68.6
527,736.8,674.8,758.5,619.6,584.6,605.9,663.3,72.1
528,748.5,682.9,748.5,620.2,570.3,615.9,664.4,74.4
529,734.4,681.6,751.6,609.7,586.5,610.8,662.4,70.3
530,718.2,669.5,741.9,621.9,588.6,617.6,659.6,60.9
531,721.1,685.1,755.8,616.6,584.0,615.5,663.0,68.0
532,708.1,673.8,753.0,616.6,578.6,605.8,656.0,67.1
533,709.3,669.0,742.0,631.8,572.2,599.1,653.9,65.1
534,701.1,696.4,734.7,600.6,566.0,619.4,653.0,66.8
535,692.4,675.6,723.3,603.9,578.7,611.3,647.5,57.4
536,686.8,683.3,731.6,623.1,572.0,620.0,652.8,57.9
537,686.9,680.9,733.4,619.1,583.9,589.1,648.9,60.5
538,679.7,668.6,724.4,606.4,565.7,624.3,644.8,57.0
539,682.7,677.5,727.6,597.1,560.0,620.0,644.1,62.4
540,676.4,679.3,728.0,600.1,576.5,610.1,645.1,58.3
541,661.6,661.4,721.5,609.1,571.2,606.3,638.5,53.6
542,663.9,677.5,728.7,600.2,545.0,607.9,637.2,65.5
543,647.5,678.1,710.4,595.6,557.0,605.0,632.3,56.9
544,642.7,669.6,722.3,591.7,560.7,585.1,628.7,60.9
545,637.2,660.0,716.2,589.7,556.8,598.7,626.4,57.0
546,635.4,681.3,724.4,599.9,565.3,594.2,633.4,59.8
547,631.5,662.7,722.3,592.7,547.4,591.9,624.7,61.8
548,621.6,661.5,718.6,583.3,545.4,594.5,620.8,61.7
549,614.6,670.2,709.8,588.6,546.2,599.5,621.5,59.1
550,600.3,644.7,722.8,579.3,548.6,581.1,612.8,62.5
551,594.4,669.0,714.6,581.9,565.7,576.1,617.0,60.5
552,582.4,664.1,712.8,581.4,560.5,588.3,614.9,59.7
553,581.6,649.8,722.4,575.9,557.0,587.8,612.4,62.4
554,577.5,658.6,697.6,581.2,536.1,577.2,604.7,60.5
555,569.4,660.5,697.0,572.9,552.9,592.5,607.5,57.8
556,552.7,657.9,695.9,558.1,552.6,578.5,599.3,62.1
557,540.4,655.1,709.7,556.9,538.5,589.1,598.3,69.8
558,528.2,667.0,702.6,559.2,541.2,576.0,595.7,71.8
559,520.0,644.2,713.9,548.3,531.8,573.4,588.6,75.6
560,519.0,647.8,691.0,551.1,532.1,579.0,586.7,68.5
561,503.6,657.0,695.2,544.0,517.8,568.7,581.1,77.9
562,494.8,657.9,703.4,550.4,513.9,572.5,582.2,82.2
563,487.6,654.0,692.2,550.3,533.7,564.9,580.4,77.3
564,484.4,649.9,691.3,552.8,529.8,557.0,577.5,77.7
565,470.4,664.8,682.8,557.6,521.5,559.3,576.1,82.5
