Names,Masonite_Board_R1,Masonite_Board_R2,Masonite_Board_R3,Mean,Std. Dev.
315,535.8,533.8,558.7,542.8,13.8
316,524.6,538.5,548.8,537.3,12.1
317,533.1,533.8,576.3,547.7,24.8
318,519.5,525.6,552.0,532.4,17.3
319,526.6,545.3,553.7,541.9,13.9
320,525.8,536.8,561.3,541.3,18.2
321,523.7,548.2,552.7,541.5,15.6
322,540.1,522.0,557.3,539.8,17.7
323,535.4,566.9,574.9,559.1,20.9
324,516.0,558.3,552.7,542.3,23.0
325,530.5,553.9,571.7,552.0,20.7
326,525.6,568.1,572.2,555.3,25.8
327,544.4,556.0,567.2,555.9,11.4
328,548.8,571.3,597.0,572.4,24.1
329,515.8,559.8,606.3,560.7,45.3
330,545.1,564.7,584.2,564.6,19.6
331,520.7,556.3,594.9,557.3,37.1
332,522.2,570.3,584.9,559.1,32.8
333,531.0,561.0,588.3,560.1,28.7
334,525.8,580.7,574.2,560.2,30.0
335,550.9,580.0,593.9,574.9,21.9
336,531.2,589.9,611.5,577.5,41.6
337,548.5,570.9,590.8,570.0,21.2
338,532.4,595.3,598.7,575.5,37.3
339,549.7,597.3,582.0,576.4,24.3
340,563.5,573.8,610.8,582.7,24.9
341,534.5,599.6,593.9,576.0,36.0
342,545.0,588.6,584.7,572.8,24.1
343,533.5,598.2,587.8,573.2,34.7
344,554.1,601.7,613.3,589.7,31.4
345,563.6,603.0,627.0,597.9,32.0
346,554.6,601.8,597.9,584.8,26.2
347,566.0,624.0,609.7,599.9,30.2
348,557.7,584.9,601.5,581.4,22.1
349,560.3,601.8,629.3,597.1,34.7
350,602.5,612.1,623.9,612.9,10.7
351,570.9,619.0,588.9,592.9,24.3
352,577.3,607.0,612.7,599.0,19.0
353,604.0,611.6,617.3,611.0,6.6
354,573.3,641.4,594.5,603.0,34.8
355,596.6,601.4,622.2,606.7,13.6
356,577.0,605.2,633.7,605.3,28.3
357,589.9,641.5,601.8,611.1,27.1
358,587.0,628.2,606.3,607.2,20.6
359,600.6,610.2,622.1,611.0,10.7
360,580.8,618.5,610.8,603.3,19.9
361,589.6,626.6,641.6,619.3,26.7
362,598.0,624.4,612.6,611.7,13.2
363,605.4,642.1,604.3,617.3,21.5
364,592.6,637.5,610.4,613.5,22.6
365,600.6,656.5,627.1,628.1,28.0
366,644.3,640.7,631.2,638.7,6.8
367,610.5,649.9,614.0,624.8,21.8
368,605.2,629.6,614.2,616.3,12.3
369,596.2,628.4,616.5,613.7,16.3
370,596.2,635.3,641.2,624.2,24.4
371,603.5,639.6,644.5,629.2,22.4
372,602.9,632.0,647.2,627.4,22.5
373,618.6,675.0,650.7,648.1,28.2
374,598.5,645.7,616.0,620.1,23.8
375,624.3,651.5,635.2,637.0,13.7
376,603.7,678.1,624.4,635.4,38.4
377,636.6,680.8,628.3,648.5,28.2
378,613.7,678.8,660.7,651.1,33.6
379,607.2,659.3,639.2,635.3,26.3
380,618.3,673.4,638.9,643.5,27.8
381,635.7,709.5,625.9,657.0,45.7
382,631.4,662.6,644.1,646.0,15.7
383,649.6,684.4,638.5,657.5,24.0
