Names,Cellulose_Insulation_R1,Cellulose_Insulation_R2,Cellulose_Insulation_R3,Mean,Std. Dev.
52,70.3,50.5,35.9,52.3,17.3
53,79.2,59.8,40.7,59.9,19.2
54,87.3,68.2,54.8,70.1,16.3
55,98.6,75.7,67.9,80.7,16.0
56,107.4,92.1,80.5,93.3,13.5
57,119.4,105.3,91.7,105.4,13.9
58,131.7,115.3,103.3,116.8,14.3
59,141.7,131.5,119.1,130.8,11.3
60,150.0,141.0,130.3,140.4,9.9
61,161.9,155.2,143.0,153.3,9.6
62,178.7,163.7,150.4,164.2,14.2
63,183.6,172.4,161.2,172.4,11.2
64,194.7,183.8,170.1,182.9,12.3
65,202.3,195.9,177.1,191.8,13.1
66,215.2,200.3,185.8,200.4,14.7
67,215.7,208.0,194.5,206.1,10.8
68,229.2,216.3,203.2,216.2,13.0
69,230.1,224.9,211.5,222.2,9.6
70,233.0,231.3,216.2,226.8,9.3
71,241.5,235.4,225.7,234.2,8.0
72,244.2,240.8,226.6,237.2,9.3
73,253.3,245.1,231.8,243.4,10.9
74,255.6,246.1,237.0,246.3,9.3
75,261.4,255.0,236.7,251.0,12.8
76,259.0,251.5,246.5,252.3,6.3
77,259.0,255.4,248.5,254.3,5.3
78,263.1,261.3,247.0,257.1,8.8
79,262.7,261.3,253.0,259.0,5.2
80,263.4,263.2,252.1,259.6,6.5
81,266.9,266.4,255.0,262.8,6.8
82,270.2,264.4,258.9,264.5,5.7
83,273.0,263.8,258.2,265.0,7.5
84,271.3,264.6,253.4,263.1,9.0
85,273.0,262.8,254.1,263.3,9.4
86,265.8,264.8,257.4,262.7,4.6
87,265.6,271.9,254.8,264.1,8.7
88,266.5,265.4,252.2,261.4,7.9
89,267.2,265.4,253.8,262.1,7.2
90,271.5,263.3,251.4,262.1,10.1
91,268.1,266.7,250.5,261.8,9.8
92,264.8,263.7,253.6,260.7,6.2
93,260.9,264.2,247.3,257.5,8.9
94,264.7,257.2,242.8,254.9,11.1
95,259.9,258.8,246.5,255.1,7.5
96,258.6,258.2,243.6,253.5,8.6
97,257.9,257.4,236.7,250.7,12.1
98,258.7,257.7,240.5,252.3,10.2
99,256.7,250.0,235.6,247.4,10.8
100,252.6,244.2,236.3,244.4,8.2
101,247.8,247.3,235.1,243.4,7.2
102,244.5,246.8,232.1,241.1,7.9
103,245.8,241.9,232.5,240.1,6.8
104,242.5,241.4,228.4,237.5,7.9
105,233.0,239.7,224.3,232.4,7.7
106,240.5,238.1,222.4,233.7,9.8
107,234.4,233.9,222.5,230.3,6.7
108,230.6,236.0,218.5,228.3,9.0
109,229.0,230.4,219.3,226.2,6.1
110,228.8,232.1,215.0,225.3,9.1
111,224.9,224.3,216.8,222.0,4.5
112,223.4,230.2,211.1,221.6,9.7
113,226.3,223.2,209.4,219.6,9.0
114,223.9,223.2,210.2,219.1,7.7
115,221.1,221.1,208.8,217.0,7.1
116,218.4,215.8,205.8,213.3,6.7
117,212.6,211.8,202.8,209.1,5.5
118,214.9,212.4,202.9,210.1,6.4
119,209.6,209.1,198.3,205.7,6.4
120,213.6,207.7,196.5,206.0,8.7
121,209.2,207.5,197.1,204.6,6.5
122,207.4,201.3,193.8,200.8,6.8
123,207.0,205.0,193.7,201.9,7.2
124,204.3,199.7,192.2,198.7,6.1
125,204.0,197.4,188.9,196.8,7.6
126,202.7,199.4,188.2,196.7,7.6
127,199.2,194.1,187.0,193.5,6.1
128,202.5,193.4,183.5,193.1,9.5
129,197.9,188.2,180.2,188.8,8.8
130,192.9,190.9,178.5,187.4,7.8
131,196.2,188.0,180.7,188.3,7.8
132,192.0,185.3,180.6,186.0,5.7
133,191.3,185.3,175.2,183.9,8.1
134,187.8,180.5,178.9,182.4,4.8
135,186.9,178.2,173.7,179.6,6.7
136,184.3,180.6,169.3,178.1,7.8
137,186.4,179.2,171.1,178.9,7.7
138,182.6,177.9,171.5,177.4,5.6
139,180.4,174.3,166.7,173.8,6.9
140,181.6,174.9,168.6,175.0,6.5
141,179.6,170.9,164.1,171.5,7.8
142,176.0,169.7,164.7,170.2,5.7
143,175.7,167.3,163.2,168.7,6.3
144,175.3,167.9,158.6,167.3,8.4
145,171.9,167.9,160.8,166.9,5.6
146,174.6,167.5,158.9,167.0,7.8
147,170.2,163.0,156.7,163.3,6.8
148,170.6,161.4,155.6,162.6,7.6
149,168.0,161.4,156.5,162.0,5.8
150,167.0,159.5,152.8,159.8,7.1
151,166.7,156.0,150.3,157.7,8.3
152,165.9,155.8,152.7,158.1,6.9
153,164.4,154.5,149.2,156.0,7.7
154,166.4,155.2,149.2,157.0,8.7
155,165.5,153.5,148.3,155.8,8.8
156,163.0,151.6,147.3,154.0,8.1
157,160.3,149.7,147.7,152.6,6.8
158,160.0,151.4,145.6,152.3,7.3
159,155.5,148.9,145.4,149.9,5.2
160,158.8,147.1,144.8,150.2,7.6
161,155.7,145.8,146.3,149.3,5.6
162,157.1,147.8,144.1,149.7,6.7
163,156.4,145.1,144.3,148.6,6.7
164,154.4,147.1,143.9,148.5,5.4
165,155.4,143.0,142.9,147.1,7.2
166,155.4,141.8,141.3,146.1,8.0
167,152.1,141.9,140.9,145.0,6.2
168,155.0,139.1,136.6,143.6,9.9
169,151.9,138.6,138.0,142.8,7.9
170,150.9,135.7,136.7,141.1,8.5
171,149.4,135.3,135.1,139.9,8.2
172,152.1,135.6,135.3,141.0,9.6
173,147.7,135.0,133.2,138.6,7.9
174,149.2,132.7,132.4,138.1,9.6
175,146.3,134.3,132.4,137.7,7.5
176,145.0,132.0,128.2,135.1,8.8
177,146.4,130.2,128.1,134.9,10.0
178,147.5,131.2,127.9,135.5,10.5
179,146.8,129.5,127.5,134.6,10.6
180,143.3,129.0,124.9,132.4,9.6
181,141.9,130.5,126.3,132.9,8.1
182,142.2,128.1,125.1,131.8,9.1
183,143.1,126.8,124.3,131.4,10.2
184,141.8,125.8,122.5,130.0,10.3
185,141.8,127.4,122.1,130.4,10.2
186,138.8,125.0,122.8,128.8,8.7
187,139.6,125.6,121.5,128.9,9.5
188,138.2,123.2,122.7,128.1,8.8
189,138.4,123.6,121.4,127.8,9.2
190,138.7,124.4,120.6,127.9,9.6
191,136.6,123.2,119.8,126.5,8.9
192,136.1,123.3,119.9,126.4,8.6
193,134.0,120.5,118.1,124.2,8.6
194,135.1,121.7,120.4,125.7,8.1
195,136.8,118.8,118.6,124.7,10.5
196,135.2,118.7,117.5,123.8,9.9
197,134.3,118.0,119.7,124.0,8.9
198,134.9,117.4,116.0,122.8,10.5
199,133.9,116.6,117.3,122.6,9.8
200,131.7,114.9,117.6,121.4,9.0
201,133.1,114.5,117.3,121.6,10.0
202,134.0,116.0,115.6,121.9,10.5
203,130.4,115.0,114.5,120.0,9.1
204,130.9,114.9,113.4,119.7,9.7
205,130.4,113.0,114.5,119.3,9.6
206,129.6,114.3,113.5,119.1,9.1
207,130.1,111.1,113.6,118.3,10.3
208,128.4,111.1,113.8,117.8,9.3
209,129.6,110.9,114.1,118.2,10.0
210,126.9,109.4,113.3,116.5,9.2
211,125.4,110.1,113.3,116.3,8.0
212,126.0,107.6,114.4,116.0,9.3
213,126.2,111.5,111.4,116.4,8.5
214,124.7,108.7,111.9,115.1,8.5
215,124.7,108.4,110.8,114.6,8.8
216,125.3,107.1,109.4,114.0,9.9
217,124.6,108.4,109.7,114.2,9.0
218,122.7,105.9,110.3,113.0,8.7
219,123.1,106.2,108.5,112.6,9.2
220,124.9,104.5,106.4,111.9,11.2
221,122.4,105.3,105.6,111.1,9.8
222,122.9,103.5,105.7,110.7,10.6
223,122.3,102.2,107.0,110.5,10.5
224,122.4,104.0,105.4,110.6,10.2
225,121.7,101.6,105.9,109.7,10.6
226,122.5,102.6,104.4,109.9,11.0
227,121.9,101.6,105.9,109.8,10.7
228,121.7,101.6,105.0,109.5,10.7
229,120.8,101.3,105.7,109.3,10.2
230,121.6,100.4,105.2,109.1,11.2
231,119.0,101.2,104.2,108.1,9.6
232,122.9,101.3,103.6,109.3,11.9
233,121.2,99.8,104.9,108.6,11.2
234,119.3,99.4,103.7,107.5,10.5
235,119.2,98.4,103.3,107.0,10.8
236,118.3,98.8,103.9,107.0,10.1
237,119.5,98.1,102.8,106.8,11.3
238,117.4,97.3,102.9,105.9,10.4
239,115.5,97.0,102.9,105.1,9.4
240,116.2,97.0,101.7,105.0,10.0
241,115.9,96.1,102.1,104.7,10.2
242,116.5,96.4,103.0,105.3,10.3
243,117.0,96.3,103.1,105.5,10.5
244,115.2,94.8,101.1,103.7,10.5
245,114.2,94.8,100.7,103.2,10.0
246,114.9,94.7,99.8,103.2,10.5
247,114.7,95.9,102.0,104.2,9.6
248,114.9,93.8,100.4,103.0,10.8
249,114.4,94.4,100.7,103.2,10.3
250,112.9,94.2,99.4,102.2,9.6
251,113.8,92.7,99.2,101.9,10.8
252,113.1,92.5,99.3,101.6,10.5
253,112.8,91.4,99.9,101.3,10.8
254,113.1,92.9,98.7,101.6,10.4
255,111.5,90.6,96.6,99.5,10.8
256,111.9,90.3,97.9,100.0,11.0
257,110.3,90.9,96.6,99.3,9.9
258,110.4,90.9,97.8,99.7,9.9
259,110.2,91.2,97.6,99.7,9.6
260,110.8,89.2,95.8,98.6,11.1
261,111.1,91.4,96.2,99.5,10.3
262,110.0,89.8,96.8,98.9,10.3
263,109.9,89.8,96.1,98.6,10.3
264,108.3,88.9,96.6,97.9,9.8
265,109.5,88.1,94.3,97.3,11.0
266,110.9,86.8,96.0,97.9,12.2
267,109.0,88.3,95.3,97.5,10.5
268,108.4,88.2,95.8,97.5,10.2
269,108.5,88.7,93.8,97.0,10.3
270,107.5,88.6,94.5,96.8,9.7
271,108.0,88.6,93.7,96.8,10.0
272,107.7,88.4,93.5,96.5,10.0
273,106.4,87.7,93.1,95.7,9.6
274,107.5,87.7,93.8,96.3,10.2
275,108.0,86.5,95.0,96.5,10.8
276,105.8,86.8,93.4,95.3,9.7
277,106.0,86.8,93.3,95.4,9.8
278,104.3,87.0,94.4,95.3,8.7
279,106.5,88.0,93.3,95.9,9.5
280,105.5,88.2,93.9,95.8,8.8
281,103.9,87.5,92.6,94.7,8.4
282,104.9,87.1,94.3,95.4,9.0
283,104.9,87.1,93.1,95.0,9.1
284,104.6,88.6,93.8,95.7,8.2
285,103.0,86.2,92.8,94.0,8.5
286,102.3,87.1,93.3,94.2,7.6
287,103.0,87.2,92.2,94.1,8.1
288,101.9,87.1,91.8,93.6,7.6
289,101.7,85.5,92.4,93.2,8.1
290,100.9,86.3,91.8,93.0,7.4
291,100.8,86.4,91.3,92.8,7.3
292,100.1,86.9,89.9,92.3,6.9
293,98.8,87.0,89.8,91.9,6.2
294,100.2,87.0,90.6,92.6,6.8
295,99.6,86.5,91.1,92.4,6.6
296,99.8,85.9,91.6,92.5,7.0
297,98.1,85.9,89.8,91.3,6.2
298,96.7,86.0,90.5,91.1,5.3
299,98.2,86.7,89.2,91.4,6.1
300,97.5,84.7,89.8,90.7,6.5
301,97.4,86.3,92.0,91.9,5.5
302,98.6,86.0,91.0,91.9,6.3
303,97.4,84.4,90.1,90.6,6.5
304,98.3,85.4,90.1,91.3,6.5
305,95.7,84.8,89.9,90.2,5.4
306,96.5,83.9,90.1,90.2,6.3
307,95.6,83.6,90.5,89.9,6.0
308,96.0,84.3,90.8,90.4,5.9
309,97.4,83.9,88.0,89.8,6.9
310,95.6,84.1,89.5,89.8,5.8
311,95.2,82.2,90.2,89.2,6.6
312,95.5,83.0,89.0,89.2,6.3
313,95.8,83.0,88.8,89.2,6.4
314,94.3,84.3,89.0,89.2,5.0
315,95.1,84.9,89.5,89.9,5.1
316,95.0,84.5,88.7,89.4,5.3
317,96.0,82.9,88.5,89.1,6.6
318,93.8,82.5,89.4,88.5,5.7
319,93.6,82.6,88.0,88.1,5.5
320,95.1,81.4,86.8,87.7,6.9
321,93.5,81.5,88.4,87.8,6.0
322,94.4,81.7,87.3,87.8,6.4
323,93.3,81.4,88.9,87.9,6.0
324,94.3,81.3,86.5,87.4,6.5
325,94.2,80.7,87.7,87.5,6.8
326,92.2,81.3,86.6,86.7,5.4
327,93.3,80.6,85.8,86.5,6.4
328,92.3,80.9,84.9,86.0,5.8
329,92.5,80.5,84.8,85.9,6.1
330,93.0,79.8,85.5,86.1,6.6
331,91.4,78.3,85.4,85.0,6.6
332,92.3,79.6,83.6,85.2,6.5
333,94.0,80.7,85.1,86.6,6.8
334,91.7,80.3,84.5,85.5,5.8
335,91.6,78.7,85.6,85.3,6.4
336,91.9,77.7,85.1,84.9,7.1
337,91.2,78.8,85.0,85.0,6.2
338,90.9,79.1,85.0,85.0,5.9
339,90.6,76.6,84.3,83.8,7.0
340,90.0,78.6,86.6,85.1,5.8
341,91.6,77.5,86.4,85.2,7.2
342,90.9,77.8,85.0,84.5,6.5
343,90.2,76.8,84.3,83.8,6.7
344,91.1,78.3,85.6,85.0,6.4
345,89.7,78.7,84.8,84.4,5.5
346,89.5,77.3,85.0,84.0,6.2
347,88.8,78.2,85.5,84.2,5.5
348,88.7,77.1,84.5,83.4,5.9
349,90.1,76.3,85.2,83.9,7.0
350,88.4,77.7,86.1,84.0,5.6
351,88.4,76.6,84.8,83.3,6.1
352,88.3,77.7,84.4,83.5,5.4
353,88.5,79.1,85.6,84.4,4.8
354,87.4,78.4,84.5,83.4,4.6
355,88.0,78.8,83.8,83.5,4.6
356,87.7,77.5,83.7,83.0,5.1
357,86.7,79.3,85.4,83.8,4.0
358,87.6,78.5,84.4,83.5,4.6
359,87.6,76.7,84.0,82.8,5.6
360,88.5,77.4,83.8,83.2,5.6
361,86.8,76.3,85.0,82.7,5.6
362,86.3,78.8,83.4,82.9,3.7
363,86.3,77.9,84.0,82.7,4.3
364,86.6,77.6,83.9,82.7,4.6
365,86.4,76.4,82.6,81.8,5.0
366,86.6,76.7,84.2,82.5,5.2
367,86.5,77.2,83.4,82.4,4.7
368,86.6,78.2,81.8,82.2,4.2
369,85.8,75.7,83.1,81.5,5.2
370,85.6,76.2,82.6,81.5,4.8
371,85.1,76.6,82.4,81.4,4.3
372,85.3,76.0,81.9,81.1,4.7
373,84.9,76.5,82.2,81.2,4.3
374,86.3,75.7,82.8,81.6,5.4
375,84.9,75.8,82.4,81.0,4.7
376,84.8,75.8,82.6,81.0,4.7
377,85.1,75.6,83.6,81.4,5.1
378,84.3,75.5,83.4,81.1,4.9
379,84.7,75.2,81.6,80.5,4.8
380,85.4,75.1,81.8,80.7,5.2
381,84.9,74.5,81.2,80.2,5.3
382,84.5,75.1,81.1,80.2,4.8
383,84.2,73.7,81.3,79.8,5.4
384,84.6,73.5,80.6,79.6,5.6
385,84.9,73.8,80.8,79.9,5.6
386,85.1,72.7,79.6,79.1,6.2
387,83.8,73.5,79.8,79.0,5.2
388,84.8,73.3,80.9,79.7,5.8
389,82.9,72.4,81.0,78.8,5.6
390,85.1,72.3,79.8,79.1,6.4
391,83.9,72.8,78.8,78.5,5.5
392,85.1,72.5,79.0,78.9,6.3
393,83.4,74.1,80.0,79.2,4.7
394,84.7,73.7,79.5,79.3,5.5
395,83.5,72.4,79.7,78.5,5.6
396,83.6,72.8,78.4,78.3,5.4
397,84.3,71.9,78.5,78.2,6.2
398,83.0,73.1,78.4,78.2,5.0
399,83.6,73.1,79.2,78.7,5.3
400,83.2,73.1,79.0,78.4,5.1
401,84.4,71.3,76.8,77.5,6.6
402,83.3,72.8,78.4,78.2,5.3
403,83.6,71.5,76.6,77.3,6.1
404,84.0,71.7,79.1,78.3,6.2
405,82.6,71.9,78.7,77.7,5.4
406,82.8,72.0,78.9,77.9,5.5
407,84.4,72.0,77.4,77.9,6.2
408,81.4,72.3,77.9,77.2,4.6
409,82.9,72.2,77.0,77.3,5.4
410,83.2,70.8,77.3,77.1,6.2
411,82.5,71.3,77.2,77.0,5.6
412,82.4,72.0,76.9,77.1,5.2
413,82.2,71.2,77.6,77.0,5.5
414,82.3,70.3,76.3,76.3,6.0
415,81.9,70.7,76.7,76.4,5.6
416,82.7,71.0,76.4,76.7,5.8
417,81.5,70.5,77.5,76.5,5.6
418,81.9,71.5,78.5,77.3,5.3
419,80.6,71.1,75.8,75.8,4.8
420,82.0,71.0,77.0,76.7,5.5
421,82.0,71.1,76.6,76.5,5.5
422,82.6,71.0,76.9,76.8,5.8
423,82.8,70.4,76.0,76.4,6.2
424,81.7,71.1,75.6,76.1,5.3
425,81.9,70.3,75.3,75.8,5.8
426,82.3,70.4,75.1,75.9,6.0
427,81.8,69.9,75.7,75.8,5.9
428,81.6,70.4,75.3,75.8,5.6
429,80.1,70.7,74.8,75.2,4.7
430,82.3,70.7,74.5,75.8,5.9
431,80.2,70.3,74.8,75.1,4.9
432,80.8,70.1,74.2,75.0,5.4
433,80.7,69.1,73.9,74.5,5.8
434,80.3,70.1,74.5,75.0,5.1
435,81.3,69.7,74.3,75.1,5.9
436,79.5,70.7,73.4,74.5,4.5
437,81.1,68.9,74.4,74.8,6.1
438,80.0,68.5,74.2,74.2,5.7
439,81.2,69.2,76.1,75.5,6.0
440,80.3,70.1,74.1,74.8,5.1
441,79.4,69.0,74.4,74.3,5.2
442,78.5,67.0,74.3,73.3,5.8
443,80.6,69.6,73.3,74.5,5.6
444,79.0,68.8,74.6,74.1,5.1
445,77.6,68.4,73.3,73.1,4.6
446,78.2,68.4,74.2,73.6,5.0
447,78.1,68.4,73.0,73.1,4.8
448,77.9,68.5,72.4,72.9,4.7
449,78.6,67.5,73.5,73.2,5.5
450,78.8,67.6,72.3,72.9,5.7
451,77.6,67.4,72.9,72.7,5.1
452,80.2,68.2,71.9,73.5,6.1
453,77.9,67.6,72.7,72.7,5.2
454,78.8,68.3,72.6,73.2,5.2
455,78.7,68.2,72.4,73.1,5.3
456,77.8,69.1,73.1,73.3,4.4
457,77.1,67.7,72.3,72.4,4.7
458,77.6,67.7,71.9,72.4,5.0
459,77.0,67.4,72.2,72.2,4.8
460,77.8,67.5,72.0,72.4,5.2
461,77.4,66.7,72.1,72.1,5.3
462,77.6,67.2,71.5,72.1,5.2
463,77.5,67.1,71.4,72.0,5.2
464,76.9,68.1,70.2,71.7,4.6
465,77.1,68.4,71.2,72.2,4.5
466,76.8,68.1,70.5,71.8,4.5
467,76.5,66.3,70.3,71.1,5.1
468,75.9,68.1,71.7,71.9,3.9
469,76.9,67.5,69.9,71.4,4.9
470,77.3,67.0,71.3,71.9,5.2
471,76.8,67.2,70.7,71.6,4.9
472,76.8,66.6,69.7,71.0,5.2
473,77.1,66.7,69.8,71.2,5.4
474,75.5,67.6,70.4,71.2,4.0
475,75.8,66.8,70.8,71.1,4.5
476,77.2,67.3,69.6,71.4,5.1
477,74.7,66.8,71.2,70.9,3.9
478,76.5,66.7,69.6,70.9,5.0
479,75.5,66.3,71.2,71.0,4.6
480,75.2,66.8,72.0,71.3,4.2
481,75.5,66.0,71.6,71.1,4.8
482,75.6,66.4,70.9,71.0,4.6
483,76.4,66.1,71.5,71.3,5.2
484,76.4,66.9,71.6,71.6,4.7
485,76.1,65.4,71.7,71.1,5.4
486,76.1,65.2,72.4,71.3,5.5
487,75.9,65.8,71.1,70.9,5.1
488,77.3,66.3,71.9,71.8,5.5
489,75.7,66.1,71.3,71.1,4.8
490,78.4,65.8,71.5,71.9,6.3
491,76.5,66.0,71.4,71.3,5.3
492,75.2,65.1,73.4,71.2,5.4
493,77.4,65.9,71.6,71.6,5.8
494,77.3,66.8,71.7,71.9,5.2
495,78.1,65.4,72.1,71.8,6.4
496,75.9,66.0,72.5,71.5,5.0
497,77.7,65.6,72.8,72.0,6.1
498,76.5,65.4,71.6,71.2,5.5
499,78.3,65.0,71.7,71.7,6.6
500,76.5,65.2,70.5,70.8,5.6
501,76.1,65.9,70.9,71.0,5.1
502,76.4,66.8,71.1,71.4,4.8
503,75.9,65.0,70.7,70.5,5.5
504,77.1,65.7,70.6,71.1,5.7
505,76.1,64.6,70.4,70.4,5.8
506,76.7,65.0,69.9,70.6,5.9
507,76.6,65.2,70.2,70.6,5.7
508,76.7,64.7,69.5,70.3,6.0
509,75.1,66.2,69.2,70.2,4.5
510,76.9,65.4,69.7,70.7,5.8
511,74.4,65.2,68.3,69.3,4.7
512,75.9,65.6,68.6,70.0,5.3
513,75.8,65.9,68.5,70.1,5.2
514,76.4,66.7,69.2,70.8,5.1
515,75.8,65.7,69.2,70.2,5.1
516,75.5,65.5,69.6,70.2,5.0
517,75.4,65.7,68.6,69.9,5.0
518,76.2,65.6,69.6,70.5,5.4
519,75.5,65.4,68.4,69.8,5.2
520,75.2,65.8,67.8,69.6,4.9
521,74.9,65.0,68.2,69.4,5.1
522,75.5,65.6,68.3,69.8,5.1
523,74.9,66.0,68.8,69.9,4.6
524,74.4,65.7,68.4,69.5,4.5
525,73.8,65.6,67.7,69.0,4.2
526,74.8,66.5,68.1,69.8,4.4
527,74.2,66.0,67.7,69.3,4.4
528,75.2,65.9,68.3,69.8,4.8
529,74.1,65.9,68.3,69.4,4.2
530,74.8,64.3,67.6,68.9,5.4
531,73.7,65.9,67.4,69.0,4.1
532,74.0,64.8,68.2,69.0,4.7
533,72.8,65.7,68.9,69.1,3.6
534,74.6,65.8,67.5,69.3,4.7
535,73.3,64.6,68.2,68.7,4.4
536,74.4,64.6,68.1,69.0,5.0
537,73.8,64.5,68.6,69.0,4.7
538,74.1,64.7,66.8,68.5,4.9
539,73.3,64.7,68.1,68.7,4.3
540,73.9,63.0,68.1,68.3,5.5
541,73.6,64.4,68.3,68.8,4.6
542,72.7,64.4,67.5,68.2,4.2
543,72.7,64.4,67.2,68.1,4.2
544,72.9,63.6,67.6,68.0,4.6
545,72.3,64.0,69.1,68.5,4.2
546,72.3,64.6,67.8,68.2,3.8
547,72.7,64.8,66.4,68.0,4.1
548,72.8,63.2,66.9,67.6,4.8
549,72.9,63.9,67.2,68.0,4.6
550,71.2,64.1,67.4,67.6,3.5
551,71.5,63.1,67.5,67.4,4.2
552,73.1,62.7,67.7,67.9,5.2
553,72.9,62.9,67.6,67.8,5.0
554,72.0,63.7,67.7,67.8,4.1
555,72.1,61.9,66.9,66.9,5.1
556,72.1,63.2,68.5,67.9,4.5
557,71.3,63.2,67.8,67.5,4.1
558,71.3,63.0,66.6,67.0,4.2
559,72.2,63.4,66.8,67.5,4.4
560,72.5,63.4,66.5,67.4,4.7
561,73.1,62.5,66.3,67.3,5.3
562,72.4,63.4,67.4,67.7,4.5
563,71.1,63.4,66.7,67.1,3.8
564,72.0,62.3,66.5,66.9,4.9
565,72.4,62.9,66.9,67.4,4.8
566,72.2,62.6,65.8,66.8,4.9
567,72.4,63.2,66.4,67.3,4.6
568,71.5,62.3,65.8,66.5,4.6
569,72.8,62.4,65.2,66.8,5.4
570,71.1,62.1,66.4,66.5,4.5
571,70.4,62.8,68.4,67.2,3.9
572,70.6,62.5,66.3,66.5,4.1
573,70.8,62.6,65.7,66.4,4.2
574,71.3,62.5,65.7,66.5,4.5
575,71.1,62.4,66.3,66.6,4.3
576,70.8,62.8,66.8,66.8,4.0
577,68.5,63.1,65.3,65.6,2.7
578,69.2,62.2,65.8,65.8,3.5
579,71.2,63.7,65.7,66.8,3.9
580,70.9,62.6,64.5,66.0,4.4
581,70.5,61.5,66.2,66.1,4.5
582,69.5,62.8,64.5,65.6,3.5
583,70.9,61.9,64.6,65.8,4.6
584,69.2,62.5,65.5,65.7,3.4
585,69.6,62.6,64.2,65.5,3.7
586,70.5,62.9,65.3,66.2,3.9
587,69.8,61.1,64.5,65.2,4.4
588,70.0,62.3,65.1,65.8,3.9
589,70.4,62.0,64.8,65.7,4.3
590,69.7,61.3,65.1,65.4,4.2
591,69.9,61.4,64.6,65.3,4.3
592,68.4,62.1,64.0,64.8,3.2
593,70.4,62.6,64.6,65.9,4.1
594,69.2,62.8,64.6,65.5,3.3
595,69.1,62.2,64.7,65.3,3.5
596,68.5,61.4,64.6,64.8,3.6
597,69.0,61.1,64.4,64.8,4.0
598,68.3,62.2,63.5,64.7,3.2
599,67.9,61.7,63.6,64.4,3.2
600,68.0,61.6,64.2,64.6,3.2
601,67.7,61.4,63.9,64.3,3.2
602,67.0,61.7,65.2,64.6,2.7
603,66.6,61.5,64.3,64.2,2.6
604,67.1,60.5,65.0,64.2,3.4
605,67.8,62.8,64.2,65.0,2.6
606,67.4,61.3,63.6,64.1,3.1
607,66.0,61.8,63.7,63.8,2.1
608,66.8,60.9,63.7,63.8,3.0
609,67.5,60.6,64.4,64.1,3.5
610,66.8,61.5,64.2,64.1,2.6
611,66.8,61.5,63.4,63.9,2.7
612,66.8,61.2,64.2,64.1,2.8
613,67.3,61.6,64.2,64.4,2.9
614,66.2,61.0,63.3,63.5,2.6
615,66.9,61.8,63.9,64.2,2.6
616,67.5,60.4,63.5,63.8,3.5
617,65.9,61.5,63.8,63.7,2.2
618,67.1,60.4,63.7,63.7,3.4
619,66.3,61.2,63.5,63.7,2.5
620,67.2,60.5,64.6,64.1,3.4
621,66.5,60.6,64.4,63.8,3.0
622,67.0,60.8,63.9,63.9,3.1
623,67.3,60.8,64.8,64.3,3.3
624,68.2,60.7,64.5,64.5,3.7
625,68.6,59.9,64.3,64.3,4.3
626,67.5,60.0,64.9,64.1,3.8
627,67.2,60.7,64.5,64.1,3.2
628,68.0,61.5,63.9,64.5,3.2
629,68.3,60.5,63.0,63.9,4.0
630,67.8,60.2,63.4,63.8,3.8
631,68.6,61.0,64.5,64.7,3.8
632,68.1,60.5,64.5,64.3,3.8
633,67.8,60.0,64.0,63.9,3.9
634,67.0,60.8,63.8,63.9,3.1
635,68.6,59.7,64.1,64.1,4.4
636,69.3,59.8,63.6,64.2,4.8
637,68.4,60.3,63.3,64.0,4.1
638,68.8,60.5,63.1,64.1,4.2
