Temp/C,Time/min,DSC/mW,Mass loss/mg,Sensit./(uV/mW)
68.3,12.96317469,1.386044503,0.08961098,1.053573541
68.4,12.96943491,1.387751778,0.089576782,1.053561539
68.5,12.97567988,1.383298696,0.089716191,1.053560392
68.6,12.98194059,1.382674116,0.090136026,1.0535532
68.7,12.98811388,1.389739279,0.090397927,1.05354281
68.8,12.9942706,1.396519766,0.090053179,1.053531758
68.9,13.00052382,1.404125422,0.089483191,1.053530249
69,13.00671946,1.412858796,0.089321797,1.053523555
69.1,13.01287727,1.418710951,0.089365065,1.053511536
69.2,13.01903208,1.421500809,0.089852379,1.053510393
69.3,13.02523079,1.42685336,0.090991738,1.053503198
69.4,13.03136653,1.435830317,0.091801958,1.053492817
69.5,13.03745145,1.440396537,0.092533169,1.053481733
69.6,13.0435097,1.445451433,0.093518444,1.05348034
69.7,13.0496155,1.455002534,0.095012862,1.053473213
69.8,13.0557273,1.457829208,0.096707137,1.053462812
69.9,13.06180124,1.456592082,0.098259304,1.053451741
70,13.06786987,1.460882593,0.10018274,1.053450315
70.1,13.07387078,1.468847641,0.101684434,1.053443304
70.2,13.07983783,1.476472805,0.102110113,1.053432471
70.3,13.08588531,1.486202349,0.103297861,1.05342301
70.4,13.0919654,1.497952258,0.105397655,1.053411688
70.5,13.097929,1.49848026,0.105643684,1.05341033
70.6,13.10389291,1.500908838,0.106709425,1.0534033
70.7,13.10994769,1.50906908,0.106927656,1.053392472
70.8,13.11602062,1.517645825,0.107832212,1.05338301
70.9,13.12202131,1.517468276,0.107848003,1.053371686
71,13.1279772,1.510854038,0.106324982,1.053370336
71.1,13.13397375,1.512052248,0.105454622,1.053363276
71.2,13.13999259,1.519440295,0.103372557,1.053352564
71.3,13.14596412,1.525674612,0.099854002,1.05334267
71.4,13.15197431,1.524385846,0.094805408,1.053332957
71.5,13.15789656,1.525794898,0.091391512,1.053321701
71.6,13.16377139,1.533926514,0.086721864,1.053320331
71.7,13.16965597,1.537540251,0.083272027,1.053313283
71.8,13.17557479,1.534067303,0.0804473,1.053302539
71.9,13.18145173,1.534961075,0.078198869,1.053292761
72,13.1873039,1.541567736,0.078197405,1.053282617
72.1,13.19318336,1.54476692,0.078358552,1.053272972
72.2,13.19898232,1.547707278,0.079364946,1.053261697
72.3,13.2048371,1.552807894,0.081875224,1.053260332
72.4,13.21065033,1.561051187,0.083111848,1.053253282
72.5,13.21644798,1.564725917,0.084910226,1.053242544
72.6,13.22226596,1.568263939,0.086595897,1.053232743
72.7,13.22804044,1.576864743,0.087954155,1.053222684
72.8,13.23384745,1.579576671,0.089042447,1.053212722
72.9,13.23972967,1.574664365,0.088846663,1.053202627
