Names,Vinyl_Siding_R1,Vinyl_Siding_R2,Vinyl_Siding_R3,Mean,Std. Dev.
682,144.2,,,144.2,
683,143.4,,,143.4,
684,142.2,,,142.2,
685,142.5,,,142.5,
686,141.7,,,141.7,
687,142.9,,,142.9,
688,141.3,,,141.3,
689,142.9,,,142.9,
690,141.2,,,141.2,
691,139.1,,,139.1,
692,139.6,,,139.6,
693,140.3,,,140.3,
694,139.3,,,139.3,
695,137.5,,,137.5,
696,138.2,,,138.2,
697,140.3,,,140.3,
698,138.1,,,138.1,
699,136.2,,,136.2,
700,135.0,,,135.0,
701,133.1,,,133.1,
702,132.5,,,132.5,
703,131.1,,,131.1,
704,134.3,,,134.3,
705,131.6,,,131.6,
706,131.8,,,131.8,
707,131.5,,,131.5,
708,132.5,,,132.5,
709,132.2,,,132.2,
710,131.2,,,131.2,
711,131.8,,,131.8,
712,130.2,,,130.2,
713,129.0,,,129.0,
714,128.3,,,128.3,
715,129.8,,,129.8,
716,130.3,,,130.3,
717,128.3,,,128.3,
718,127.5,,,127.5,
719,127.0,,,127.0,
720,128.1,,,128.1,
721,126.0,,,126.0,
722,125.8,,,125.8,
723,126.5,,,126.5,
724,126.0,,,126.0,
725,122.6,,,122.6,
726,125.8,,,125.8,
727,124.3,,,124.3,
728,125.0,,,125.0,
729,121.2,,,121.2,
730,120.7,,,120.7,
731,121.7,,,121.7,
732,120.2,,,120.2,
733,122.4,,,122.4,
734,120.4,,,120.4,
735,119.7,,,119.7,
736,119.6,,,119.6,
737,118.7,,,118.7,
738,118.9,,,118.9,
739,118.2,,,118.2,
740,118.0,,,118.0,
741,118.8,,,118.8,
742,116.5,,,116.5,
743,118.3,,,118.3,
744,119.4,,,119.4,
745,118.3,,,118.3,
746,118.5,,,118.5,
747,118.0,,,118.0,
748,118.1,,,118.1,
749,116.5,,,116.5,
750,116.8,,,116.8,
751,118.9,,,118.9,
752,117.5,,,117.5,
753,117.8,,,117.8,
754,118.3,,,118.3,
755,117.2,,,117.2,
756,117.7,,,117.7,
757,118.2,,,118.2,
758,118.6,,,118.6,
759,118.8,,,118.8,
760,116.5,,,116.5,
761,119.4,,,119.4,
762,117.5,,,117.5,
763,118.9,,,118.9,
764,119.0,,,119.0,
765,119.8,,,119.8,
766,121.2,,,121.2,
767,120.4,,,120.4,
768,118.8,,,118.8,
769,119.3,,,119.3,
770,119.8,,,119.8,
771,120.1,,,120.1,
772,121.0,,,121.0,
773,122.6,,,122.6,
774,123.3,,,123.3,
775,121.8,,,121.8,
776,120.5,,,120.5,
777,122.6,,,122.6,
778,122.0,,21.8,71.9,70.9
779,121.6,,28.0,74.8,66.2
780,122.8,,34.5,78.7,62.4
781,122.0,,39.4,80.7,58.5
782,123.8,,44.5,84.1,56.0
783,123.3,,47.9,85.6,53.3
784,124.0,,56.3,90.2,47.8
785,123.3,,62.6,92.9,42.9
786,123.7,,70.0,96.9,38.0
787,124.7,,77.5,101.1,33.3
788,122.0,,80.7,101.3,29.2
789,123.1,,88.4,105.7,24.6
790,121.5,,98.0,109.8,16.6
791,123.7,,103.2,113.5,14.5
792,121.7,,111.4,116.6,7.3
793,121.6,,120.1,120.8,1.1
794,120.4,,128.5,124.5,5.7
795,118.9,,135.5,127.2,11.7
796,119.5,,141.1,130.3,15.3
797,118.6,,147.1,132.9,20.2
798,119.4,,155.4,137.4,25.5
799,118.2,,163.6,140.9,32.1
800,116.5,,169.9,143.2,37.7
801,117.3,,177.9,147.6,42.8
802,116.4,,183.1,149.7,47.2
803,117.1,,186.2,151.7,48.8
804,115.5,,195.9,155.7,56.8
805,115.4,,201.6,158.5,60.9
806,114.2,,202.5,158.3,62.5
807,112.7,,209.3,161.0,68.3
808,111.4,,209.4,160.4,69.3
809,111.0,,212.0,161.5,71.4
810,111.2,,215.6,163.4,73.9
811,111.5,,221.7,166.6,77.9
812,108.0,10.0,223.9,114.0,107.0
813,106.8,12.1,221.6,113.5,104.9
814,107.1,13.9,227.2,116.1,106.9
815,105.1,15.6,229.5,116.8,107.4
816,102.7,18.9,225.3,115.7,103.8
817,100.2,22.0,231.9,118.0,106.1
818,99.6,25.2,234.4,119.7,106.0
819,95.2,27.8,235.3,119.5,105.8
820,95.3,30.1,231.8,119.1,102.9
821,93.6,34.7,229.8,119.4,100.0
822,90.6,38.5,233.5,120.9,101.0
823,89.7,42.1,238.5,123.4,102.4
824,87.3,45.6,231.5,121.5,97.5
825,88.1,48.8,235.5,124.2,98.4
826,87.4,50.6,231.4,123.1,95.6
827,86.2,56.1,231.0,124.5,93.5
828,85.7,61.4,226.9,124.7,89.4
829,83.1,64.7,223.6,123.8,86.9
830,82.6,67.9,228.3,126.3,88.7
831,80.4,75.9,220.2,125.5,82.0
832,80.0,82.8,223.8,128.9,82.3
833,78.6,88.4,218.1,128.4,77.9
834,77.4,92.6,217.8,129.3,77.1
835,76.4,100.7,213.5,130.2,73.2
836,75.2,107.0,211.9,131.4,71.6
837,74.3,114.7,209.1,132.7,69.2
838,73.8,122.0,210.2,135.3,69.2
839,72.4,124.9,206.2,134.5,67.4
840,70.7,131.5,203.5,135.2,66.5
841,69.2,135.9,202.2,135.8,66.5
842,68.4,142.4,201.2,137.3,66.5
843,67.8,150.1,196.8,138.2,65.3
844,66.7,150.2,195.5,137.5,65.3
845,64.9,156.1,192.6,137.9,65.8
846,65.2,158.7,194.3,139.4,66.7
847,62.6,162.9,190.2,138.6,67.2
848,61.1,169.5,188.9,139.8,68.9
849,59.9,169.6,186.0,138.5,68.6
850,59.2,171.8,185.1,138.7,69.2
851,59.2,174.3,180.1,137.9,68.2
852,57.8,176.5,181.5,138.6,70.1
853,56.1,176.7,176.9,136.6,69.7
854,55.8,182.0,176.4,138.1,71.3
855,54.7,183.0,174.3,137.3,71.7
856,54.4,184.8,170.6,136.6,71.5
857,52.3,185.4,171.1,136.3,73.1
858,51.1,187.3,166.0,134.8,73.3
859,50.4,186.7,165.3,134.1,73.3
860,49.9,187.6,160.4,132.6,72.9
861,49.0,186.5,159.9,131.8,73.0
862,48.1,186.9,155.6,130.2,72.8
863,47.5,189.0,152.9,129.8,73.5
864,46.3,190.0,150.0,128.7,74.2
865,45.2,189.2,149.0,127.8,74.3
866,44.0,194.6,146.3,128.3,76.9
867,43.1,192.5,143.3,126.3,76.1
868,41.9,192.7,142.5,125.7,76.8
869,41.1,192.4,140.3,124.6,76.9
870,40.1,189.8,138.5,122.8,76.1
871,39.2,192.5,136.3,122.7,77.5
872,38.4,194.2,134.9,122.5,78.7
873,37.3,192.9,131.0,120.4,78.3
874,36.6,189.1,133.3,119.6,77.2
875,36.3,189.9,130.6,118.9,77.5
876,35.0,186.6,129.3,117.0,76.6
877,34.3,184.5,128.9,115.9,76.0
878,33.1,182.7,126.3,114.0,75.6
879,32.7,183.7,123.9,113.4,76.1
880,32.5,181.7,125.1,113.1,75.3
881,31.8,180.8,119.9,110.8,74.9
882,31.7,179.4,119.2,110.1,74.3
883,31.0,178.8,121.2,110.3,74.5
884,30.4,179.2,118.9,109.5,74.9
885,29.7,174.1,117.2,107.0,72.8
886,29.5,174.9,115.9,106.8,73.1
887,29.1,173.6,114.2,105.6,72.6
888,28.8,173.7,112.2,104.9,72.7
889,28.2,171.1,111.3,103.5,71.8
890,27.6,169.6,111.3,102.9,71.4
891,27.3,168.5,109.4,101.8,70.9
892,27.2,165.8,109.4,100.8,69.7
893,26.5,166.7,106.7,100.0,70.3
894,26.2,162.4,105.7,98.1,68.4
895,26.0,161.5,104.7,97.4,68.1
896,25.6,160.4,104.3,96.8,67.8
897,25.4,160.6,103.8,96.6,67.9
898,25.5,159.3,102.9,95.9,67.1
899,24.8,157.2,102.0,94.7,66.5
900,24.9,155.4,101.5,93.9,65.6
901,24.2,155.2,100.7,93.4,65.8
902,23.9,155.1,99.2,92.7,65.9
903,23.6,154.3,97.7,91.8,65.6
904,23.6,156.0,97.3,92.3,66.3
905,23.2,152.9,95.6,90.5,65.0
906,23.2,150.5,95.7,89.8,63.9
907,22.5,150.7,92.0,88.4,64.2
908,22.4,149.6,90.8,87.6,63.7
909,21.6,150.7,89.6,87.3,64.6
910,21.3,148.1,88.7,86.0,63.4
911,20.5,147.3,88.1,85.3,63.4
912,20.4,146.5,84.5,83.8,63.1
913,20.2,146.9,83.2,83.5,63.4
914,20.2,143.1,83.7,82.3,61.4
915,19.9,146.1,81.7,82.6,63.1
916,19.4,145.2,79.8,81.5,62.9
917,19.0,144.8,77.7,80.5,62.9
918,18.7,143.6,76.8,79.7,62.5
919,18.6,140.4,75.2,78.1,60.9
920,18.3,139.4,73.4,77.0,60.6
921,18.2,141.1,71.3,76.9,61.6
922,18.0,140.3,70.7,76.3,61.3
923,17.4,136.7,68.9,74.3,59.9
924,17.0,135.4,67.9,73.5,59.4
925,16.7,135.2,67.0,73.0,59.4
926,16.3,135.0,65.9,72.4,59.6
927,16.0,133.7,64.0,71.3,59.2
928,15.6,132.5,62.9,70.3,58.8
929,15.5,130.3,62.1,69.3,57.7
930,15.2,128.8,60.6,68.2,57.2
