Time after Ignition,Vinyl_Siding_R1,Vinyl_Siding_R2,Vinyl_Siding_R3,Mean,Std. Dev.
32.5,158.9,129.7,159.4,149.3,17.0
32.75,157.8,131.3,159.2,149.4,15.7
33.0,156.4,130.2,159.8,148.8,16.2
33.25,156.7,127.5,158.4,147.6,17.4
33.5,154.5,127.2,155.1,145.6,16.0
33.75,154.0,127.8,155.4,145.7,15.5
34.0,154.6,127.5,155.3,145.8,15.8
34.25,156.5,126.3,153.7,145.5,16.7
34.5,152.4,125.0,152.4,143.3,15.8
34.75,154.9,126.3,152.0,144.4,15.7
35.0,151.0,124.0,153.1,142.7,16.2
35.25,151.9,125.4,152.9,143.4,15.6
35.5,150.4,122.7,149.4,140.8,15.7
35.75,149.3,121.9,149.7,140.3,15.9
36.0,149.1,121.4,151.8,140.8,16.8
36.25,150.8,122.4,148.2,140.5,15.7
36.5,152.5,119.2,149.8,140.5,18.5
36.75,149.5,120.9,147.6,139.4,16.0
37.0,150.5,121.3,147.7,139.8,16.1
37.25,145.8,119.5,145.4,136.9,15.1
37.5,148.0,119.7,145.0,137.6,15.6
37.75,145.9,118.6,143.3,135.9,15.1
38.0,146.2,119.6,144.2,136.7,14.8
38.25,144.4,117.3,141.7,134.5,14.9
38.5,144.8,116.6,140.2,133.9,15.1
38.75,144.9,117.6,139.2,133.9,14.4
39.0,143.5,115.1,140.2,132.9,15.5
39.25,142.5,116.4,137.5,132.1,13.8
39.5,140.8,114.1,140.5,131.8,15.3
39.75,140.6,115.5,137.6,131.2,13.7
40.0,138.6,113.9,138.0,130.1,14.1
40.25,139.3,112.2,135.7,129.1,14.7
40.5,136.2,110.6,134.3,127.0,14.3
40.75,136.6,112.2,133.4,127.4,13.3
41.0,136.3,112.4,136.2,128.3,13.8
41.25,135.2,112.3,135.5,127.6,13.3
41.5,134.2,111.3,133.2,126.2,12.9
41.75,131.4,110.7,131.1,124.4,11.8
42.0,133.6,112.1,131.9,125.9,12.0
42.25,130.5,107.3,131.0,122.9,13.5
42.5,129.7,108.2,130.5,122.8,12.6
42.75,126.9,108.8,129.6,121.8,11.3
43.0,128.8,109.1,129.1,122.4,11.5
43.25,128.4,107.9,126.8,121.0,11.4
43.5,127.5,107.5,127.6,120.9,11.6
43.75,126.3,108.9,125.8,120.3,9.9
44.0,125.4,106.6,125.2,119.1,10.8
44.25,124.9,108.3,125.7,119.6,9.8
44.5,124.5,107.0,122.9,118.1,9.6
44.75,123.3,107.4,122.6,117.7,9.0
45.0,120.4,107.2,123.0,116.8,8.5
45.25,119.8,107.1,121.5,116.1,7.8
45.5,118.6,107.3,119.3,115.1,6.7
45.75,116.9,106.0,119.8,114.2,7.3
46.0,115.4,106.7,119.7,114.0,6.7
46.25,115.6,104.1,118.6,112.8,7.7
46.5,114.0,106.1,119.1,113.0,6.5
46.75,114.0,104.3,116.3,111.5,6.4
47.0,110.0,103.6,116.4,110.0,6.4
47.25,109.0,104.4,115.1,109.5,5.4
47.5,109.6,103.6,114.9,109.4,5.7
47.75,105.8,102.8,115.2,107.9,6.5
48.0,105.9,101.6,113.7,107.1,6.1
48.25,104.9,100.8,112.8,106.2,6.1
48.5,104.3,99.9,113.9,106.0,7.1
48.75,103.9,100.8,113.0,105.9,6.4
49.0,100.8,101.2,113.6,105.2,7.3
49.25,101.8,99.3,110.6,103.9,6.0
49.5,100.8,99.1,110.9,103.6,6.4
49.75,99.2,100.0,111.9,103.7,7.1
50.0,99.2,99.2,110.3,102.9,6.4
50.25,97.2,99.3,110.2,102.2,7.0
50.5,97.7,98.4,109.3,101.8,6.5
50.75,97.5,98.0,110.3,101.9,7.2
51.0,94.8,96.8,108.0,99.9,7.1
51.25,94.0,96.2,109.3,99.8,8.3
51.5,94.9,95.6,108.9,99.8,7.9
51.75,92.5,95.1,108.1,98.6,8.4
52.0,92.7,95.1,107.2,98.3,7.8
52.25,91.8,97.1,108.0,98.9,8.3
52.5,89.9,96.4,108.7,98.3,9.6
52.75,90.8,95.4,106.1,97.4,7.8
53.0,89.0,93.3,108.3,96.9,10.1
53.25,88.6,95.8,107.4,97.3,9.5
53.5,87.9,95.1,107.7,96.9,10.1
53.75,86.7,94.1,106.6,95.8,10.1
54.0,86.5,93.6,105.3,95.1,9.5
54.25,86.1,93.7,106.3,95.3,10.2
54.5,84.0,93.0,105.9,94.3,11.0
54.75,82.9,93.0,106.5,94.1,11.8
55.0,81.2,91.8,105.6,92.8,12.3
55.25,81.9,90.3,106.2,92.8,12.3
55.5,80.6,90.7,104.9,92.1,12.2
55.75,78.5,89.0,104.0,90.5,12.8
56.0,78.5,88.9,103.1,90.2,12.3
56.25,79.0,90.8,103.2,91.0,12.1
56.5,77.3,89.9,102.2,89.8,12.5
56.75,78.3,90.6,103.7,90.9,12.7
57.0,78.3,90.6,102.8,90.6,12.2
57.25,75.7,89.6,100.7,88.7,12.5
57.5,77.2,90.8,101.6,89.8,12.2
57.75,74.7,88.5,103.3,88.8,14.3
58.0,74.8,87.6,102.0,88.1,13.6
58.25,73.4,87.6,100.2,87.1,13.4
58.5,73.2,87.4,99.7,86.8,13.3
58.75,73.1,87.3,98.9,86.5,12.9
59.0,72.4,87.0,99.9,86.4,13.8
59.25,71.6,87.0,98.6,85.7,13.5
59.5,70.9,86.9,97.0,84.9,13.2
59.75,71.5,86.2,98.9,85.5,13.7
60.0,70.0,86.0,97.3,84.4,13.7
60.25,69.7,85.3,95.3,83.4,12.9
60.5,68.9,85.2,94.8,83.0,13.1
60.75,68.0,84.1,93.4,81.8,12.8
61.0,67.9,84.1,92.9,81.6,12.7
61.25,66.8,83.9,92.5,81.1,13.1
61.5,66.8,83.3,89.6,79.9,11.8
61.75,65.8,83.4,87.0,78.7,11.3
62.0,65.9,82.6,87.9,78.8,11.5
62.25,64.5,81.9,89.2,78.5,12.7
62.5,64.2,82.6,87.8,78.2,12.4
62.75,63.7,82.8,87.0,77.8,12.4
63.0,62.9,82.2,85.1,76.7,12.1
63.25,62.8,81.7,82.9,75.8,11.3
63.5,62.3,82.9,85.1,76.8,12.6
63.75,61.1,82.0,84.3,75.8,12.8
64.0,61.7,82.6,82.9,75.7,12.2
64.25,60.2,81.2,82.1,74.5,12.4
64.5,60.6,83.0,81.1,74.9,12.4
64.75,60.5,82.7,79.7,74.3,12.0
65.0,60.2,81.2,79.0,73.5,11.5
65.25,60.2,83.1,78.9,74.1,12.2
65.5,58.0,83.3,78.0,73.1,13.3
65.75,59.1,81.3,78.0,72.8,12.0
66.0,58.0,81.4,76.4,71.9,12.3
66.25,58.8,81.4,76.4,72.2,11.9
66.5,57.8,81.3,76.0,71.7,12.3
66.75,57.5,81.4,75.7,71.5,12.5
67.0,56.8,82.5,75.1,71.5,13.2
67.25,56.1,80.7,72.7,69.8,12.6
67.5,55.7,81.5,72.6,69.9,13.1
67.75,56.0,81.1,70.5,69.2,12.6
68.0,54.5,80.5,70.4,68.5,13.1
68.25,54.1,81.1,69.9,68.4,13.5
68.5,53.6,80.6,68.4,67.5,13.5
68.75,52.9,82.6,66.7,67.4,14.9
69.0,53.3,81.9,66.3,67.2,14.3
69.25,53.3,81.5,65.7,66.8,14.1
69.5,52.2,80.2,64.1,65.5,14.0
69.75,51.8,80.3,63.1,65.1,14.3
70.0,51.3,80.4,62.6,64.8,14.7
70.25,49.9,80.2,61.8,64.0,15.3
70.5,49.7,80.5,59.6,63.3,15.7
70.75,50.2,80.1,59.2,63.1,15.3
71.0,49.2,79.6,58.7,62.5,15.6
71.25,49.1,80.8,57.9,62.6,16.4
71.5,48.7,79.5,56.0,61.4,16.1
71.75,48.1,79.5,56.2,61.3,16.3
72.0,48.7,79.3,55.6,61.2,16.1
72.25,47.8,78.6,54.8,60.4,16.1
72.5,47.1,79.7,54.1,60.3,17.1
72.75,46.8,77.9,53.2,59.3,16.4
73.0,46.7,77.8,52.5,59.0,16.5
73.25,46.3,77.9,51.3,58.5,17.0
73.5,46.1,77.5,51.1,58.2,16.9
73.75,46.1,76.5,51.3,58.0,16.3
74.0,46.5,77.6,50.1,58.0,17.0
74.25,46.2,77.2,49.4,57.6,17.0
74.5,46.1,77.3,48.2,57.2,17.4
74.75,46.1,76.1,48.5,56.9,16.7
75.0,46.1,75.3,47.3,56.2,16.5
75.25,45.3,76.0,46.6,56.0,17.4
75.5,44.4,74.8,46.3,55.2,17.0
75.75,44.3,74.7,45.6,54.9,17.2
76.0,44.4,75.8,44.1,54.8,18.2
76.25,43.9,74.3,44.2,54.1,17.5
76.5,43.2,73.1,43.3,53.2,17.2
76.75,43.3,73.4,43.1,53.3,17.4
77.0,42.1,75.0,42.1,53.1,19.0
77.25,43.1,73.5,42.2,52.9,17.8
77.5,42.5,72.4,41.1,52.0,17.7
77.75,42.2,72.9,41.0,52.0,18.1
78.0,41.9,73.3,40.2,51.8,18.7
78.25,40.9,72.7,39.1,50.9,18.9
78.5,40.8,72.9,39.5,51.0,18.9
78.75,41.0,72.7,39.3,51.0,18.8
79.0,40.3,71.9,,56.1,22.3
79.25,40.0,71.9,,55.9,22.5
79.5,40.0,71.8,,55.9,22.5
79.75,39.9,70.4,,55.1,21.6
80.0,39.3,70.8,,55.0,22.3
80.25,39.8,70.5,,55.1,21.7
80.5,39.1,70.2,,54.7,22.0
80.75,39.1,69.9,,54.5,21.8
81.0,38.6,69.4,,54.0,21.8
81.25,38.7,70.7,,54.7,22.6
81.5,38.0,68.8,,53.4,21.7
81.75,37.4,68.4,,52.9,21.9
82.0,37.7,68.9,,53.3,22.0
82.25,37.4,69.3,,53.4,22.6
82.5,36.3,68.8,,52.5,23.0
82.75,36.1,67.5,,51.8,22.2
83.0,36.6,68.4,,52.5,22.5
83.25,36.4,67.6,,52.0,22.0
