Names,PETG_R1,PETG_R2,PETG_R3,Mean,Std. Dev.
377,800.1,816.9,1006.7,874.6,114.7
378,780.5,803.9,983.4,855.9,111.0
379,781.4,783.3,958.7,841.1,101.8
380,757.9,740.3,937.6,811.9,109.2
381,729.1,722.1,916.4,789.2,110.2
382,717.5,699.3,893.8,770.2,107.4
383,704.2,665.4,858.7,742.8,102.2
384,695.7,643.1,854.5,731.1,110.1
385,679.6,620.2,846.6,715.5,117.4
386,661.3,601.6,795.0,686.0,99.0
387,649.8,580.6,779.4,669.9,100.9
388,631.8,567.5,767.7,655.7,102.2
389,641.2,545.3,755.1,647.2,105.0
390,610.9,526.5,716.8,618.0,95.3
391,592.2,503.8,700.9,599.0,98.7
392,566.2,488.6,672.2,575.7,92.2
393,559.0,466.7,658.1,561.3,95.7
394,536.4,453.9,635.3,541.9,90.8
395,517.5,430.4,614.4,520.8,92.0
396,504.7,417.1,593.6,505.2,88.3
397,491.6,402.6,568.3,487.5,82.9
398,475.7,384.6,555.0,471.8,85.2
399,468.3,367.9,528.6,454.9,81.2
400,452.7,361.0,512.3,442.0,76.2
401,429.1,342.3,490.7,420.7,74.6
402,424.6,331.1,474.9,410.2,72.9
403,409.2,313.8,449.6,390.8,69.7
404,391.4,297.9,425.9,371.7,66.2
405,371.1,284.5,401.2,352.3,60.6
406,350.6,272.8,381.8,335.1,56.1
407,341.5,261.3,363.2,322.0,53.7
408,321.0,248.2,345.4,304.9,50.6
409,311.8,238.0,331.4,293.8,49.3
410,286.3,226.7,313.9,275.6,44.5
411,275.4,215.8,297.5,262.9,42.2
412,259.7,201.2,279.5,246.8,40.7
413,244.5,193.8,265.5,234.6,36.9
414,234.6,187.4,256.9,226.3,35.4
415,226.1,180.1,246.5,217.6,34.0
416,216.2,170.2,235.6,207.3,33.6
417,206.5,162.3,220.5,196.4,30.4
418,194.8,154.8,216.6,188.7,31.3
419,184.9,150.5,206.7,180.7,28.3
420,178.5,142.0,,160.2,25.8
421,173.1,137.0,,155.1,25.5
422,163.5,131.6,,147.5,22.6
423,158.8,126.0,,142.4,23.2
424,154.1,120.9,,137.5,23.5
425,146.5,,,146.5,
426,142.3,,,142.3,
427,135.8,,,135.8,
428,132.6,,,132.6,
429,128.6,,,128.6,
430,126.0,,,126.0,
431,120.8,,,120.8,
432,117.3,,,117.3,
433,113.8,,,113.8,
434,108.5,,,108.5,
435,106.4,,,106.4,
436,102.5,,,102.5,
437,99.8,,,99.8,
438,97.2,,,97.2,
439,94.5,,,94.5,
440,89.7,,,89.7,
441,88.9,,,88.9,
442,86.3,,,86.3,
443,82.0,,,82.0,
444,80.5,,,80.5,
445,78.3,,,78.3,
446,75.8,,,75.8,
447,73.1,,,73.1,
448,71.6,,,71.6,
449,69.6,,,69.6,
450,67.1,,,67.1,
451,65.8,,,65.8,
452,63.4,,,63.4,
453,62.7,,,62.7,
454,60.4,,,60.4,
