Time after Ignition,PETG_R1,PETG_R2,PETG_R3,Mean,Std. Dev.
55.75,2145.6,2082.4,1850.5,2026.2,155.4
56.0,1900.2,1907.3,1829.7,1879.1,42.9
56.25,1951.2,2012.8,1700.7,1888.3,165.3
56.5,1808.4,2003.5,1876.5,1896.1,99.0
56.75,1934.8,2007.9,1850.5,1931.1,78.8
57.0,1978.3,1921.1,1781.2,1893.5,101.4
57.25,1852.7,1911.5,1753.3,1839.1,80.0
57.5,1870.2,1868.6,1625.4,1788.0,140.9
57.75,1849.3,1866.1,1704.3,1806.6,88.9
58.0,1842.6,1931.2,1553.7,1775.8,197.4
58.25,1848.9,1781.3,1661.7,1764.0,94.8
58.5,2071.9,1878.4,1598.2,1849.5,238.2
58.75,1822.0,1854.0,1647.9,1774.6,110.9
59.0,1846.7,1842.0,1545.0,1744.6,172.8
59.25,1839.4,1715.2,1578.6,1711.0,130.4
59.5,1741.3,1812.6,1558.0,1704.0,131.4
59.75,1864.5,1893.0,1517.0,1758.1,209.3
60.0,1890.2,1701.8,1458.8,1683.6,216.3
60.25,1791.2,1637.4,1473.2,1633.9,159.0
60.5,1649.1,1672.6,1479.2,1600.3,105.6
60.75,1844.7,1690.1,1462.5,1665.8,192.2
61.0,1707.8,1685.3,1428.4,1607.2,155.3
61.25,1668.8,1592.3,1458.2,1573.1,106.6
61.5,1620.6,1599.6,1401.2,1540.5,121.1
61.75,1725.6,1585.0,1426.7,1579.1,149.5
62.0,1565.1,1605.9,1379.9,1517.0,120.4
62.25,1642.1,1597.6,1334.5,1524.7,166.3
62.5,1494.7,1556.6,1391.7,1481.0,83.3
62.75,1751.7,1546.7,1349.8,1549.4,201.0
63.0,1564.2,1571.3,1318.2,1484.5,144.1
63.25,1584.7,1534.3,1264.8,1461.2,172.0
63.5,1481.2,1568.7,1265.3,1438.4,156.1
63.75,1563.8,1502.5,1320.6,1462.3,126.5
64.0,1539.7,1500.2,1249.5,1429.8,157.4
64.25,1469.7,1442.2,1214.0,1375.3,140.4
64.5,1496.4,1513.9,1190.9,1400.4,181.7
64.75,1451.3,1444.4,1213.1,1369.6,135.6
65.0,1447.1,1393.6,1182.8,1341.1,139.7
65.25,1449.7,1383.8,1169.0,1334.2,146.8
65.5,1331.6,1319.4,1199.3,1283.4,73.1
65.75,1452.4,1345.5,1159.1,1319.0,148.5
66.0,1394.6,1331.8,1169.8,1298.7,116.0
66.25,1396.8,1280.3,1132.7,1269.9,132.4
66.5,1339.7,1264.2,1142.4,1248.8,99.5
66.75,1360.9,1253.0,1129.9,1247.9,115.6
67.0,1351.1,1237.3,1073.3,1220.6,139.6
67.25,1237.6,1199.8,1112.1,1183.2,64.4
67.5,1276.0,1242.2,1124.4,1214.2,79.6
67.75,1247.1,1193.8,1085.4,1175.4,82.4
68.0,1178.4,1161.4,1070.3,1136.7,58.1
68.25,1240.7,1179.9,1004.5,1141.7,122.6
68.5,1209.1,1158.3,1022.1,1129.8,96.7
68.75,1150.7,1133.8,987.9,1090.8,89.5
69.0,1141.2,1115.8,1007.2,1088.1,71.2
69.25,1129.5,1093.0,1019.3,1080.6,56.1
69.5,1058.9,1047.9,996.6,1034.5,33.2
69.75,1080.7,1030.1,959.6,1023.5,60.8
70.0,1076.4,1031.3,928.9,1012.2,75.6
70.25,1097.7,972.1,928.9,999.6,87.7
70.5,1067.7,958.1,910.3,978.7,80.7
70.75,1004.5,928.9,883.7,939.0,61.0
71.0,970.9,928.1,882.4,927.1,44.3
71.25,994.8,894.8,843.8,911.1,76.9
71.5,950.9,863.5,835.5,883.3,60.2
71.75,921.2,853.2,839.3,871.2,43.8
72.0,909.2,850.8,818.0,859.3,46.2
72.25,876.8,806.4,794.8,826.0,44.4
72.5,877.2,771.6,777.8,808.9,59.3
72.75,843.0,740.1,751.0,778.0,56.6
73.0,823.5,723.4,751.9,766.3,51.6
73.25,774.3,702.2,731.3,735.9,36.3
73.5,761.1,690.9,737.5,729.8,35.7
73.75,748.7,666.9,711.9,709.2,41.0
74.0,718.1,669.8,713.5,700.4,26.7
74.25,699.1,654.5,699.9,684.5,26.0
74.5,675.3,639.5,690.1,668.3,26.0
74.75,655.4,638.6,669.0,654.3,15.2
75.0,651.6,615.3,663.6,643.5,25.2
75.25,626.7,596.7,657.7,627.0,30.5
75.5,604.5,583.0,625.1,604.2,21.1
75.75,589.0,564.2,631.3,594.8,33.9
76.0,572.4,562.7,617.4,584.2,29.2
76.25,562.9,537.5,615.6,572.0,39.8
76.5,545.9,528.2,588.5,554.2,31.0
76.75,521.5,511.9,579.3,537.6,36.5
77.0,506.2,497.2,568.2,523.9,38.7
77.25,484.7,493.2,549.5,509.1,35.2
77.5,479.7,486.3,540.5,502.2,33.4
77.75,468.1,468.0,527.8,488.0,34.5
78.0,455.3,453.1,515.1,474.5,35.2
78.25,444.2,436.0,503.4,461.2,36.8
78.5,428.2,435.8,477.6,447.2,26.6
78.75,408.6,410.4,461.8,426.9,30.2
79.0,399.5,394.1,449.6,414.4,30.6
79.25,392.2,389.6,438.2,406.6,27.3
79.5,372.7,375.5,432.2,393.5,33.6
79.75,360.3,370.5,414.5,381.8,28.8
80.0,353.2,362.1,410.3,375.2,30.7
80.25,338.8,344.4,392.9,358.7,29.8
80.5,328.1,345.0,380.4,351.2,26.7
80.75,315.3,328.8,369.2,337.8,28.0
81.0,309.1,322.8,355.7,329.2,23.9
81.25,297.0,309.6,347.9,318.2,26.5
81.5,294.9,302.7,343.0,313.6,25.8
81.75,278.6,294.1,334.5,302.4,28.8
82.0,270.1,290.0,324.0,294.7,27.3
82.25,262.6,285.6,314.2,287.5,25.8
82.5,259.8,274.2,304.2,279.4,22.7
82.75,242.7,270.3,299.1,270.7,28.2
83.0,233.7,263.5,288.5,261.9,27.4
83.25,225.0,257.0,276.9,253.0,26.2
83.5,217.0,250.7,274.3,247.3,28.8
83.75,206.6,242.8,260.5,236.6,27.5
84.0,196.7,237.7,256.1,230.2,30.4
84.25,186.0,233.9,246.0,222.0,31.7
84.5,183.2,226.6,242.4,217.4,30.6
84.75,176.6,219.8,233.8,210.1,29.8
85.0,166.9,214.9,228.8,203.5,32.4
85.25,158.8,207.0,223.8,196.5,33.7
85.5,150.4,204.4,216.0,190.3,35.0
85.75,144.4,194.9,208.9,182.7,33.9
86.0,135.9,188.9,201.2,175.3,34.7
86.25,130.9,188.6,194.6,171.4,35.2
86.5,124.0,180.5,190.8,165.1,36.0
86.75,118.1,173.3,183.3,158.2,35.1
87.0,112.9,170.0,177.7,153.5,35.4
87.25,105.7,164.9,173.3,148.0,36.8
87.5,100.8,160.5,167.0,142.8,36.5
87.75,95.9,156.9,162.6,138.5,36.9
88.0,93.5,150.4,157.4,133.8,35.0
88.25,89.9,146.6,150.1,128.9,33.8
88.5,83.9,141.4,147.2,124.2,35.0
88.75,80.8,137.7,141.1,119.8,33.9
89.0,76.1,135.0,135.8,115.6,34.2
89.25,73.2,129.6,129.7,110.8,32.6
89.5,70.6,123.2,127.6,107.1,31.7
89.75,68.5,120.0,120.9,103.1,30.0
90.0,65.7,115.1,115.8,98.9,28.7
90.25,63.0,111.1,111.6,95.2,27.9
90.5,59.9,107.1,106.1,91.0,27.0
90.75,56.8,102.4,99.7,86.3,25.6
91.0,54.5,99.6,96.4,83.5,25.2
91.25,52.2,94.8,90.8,79.3,23.5
91.5,49.6,88.5,87.3,75.1,22.1
91.75,48.0,85.6,83.7,72.4,21.2
92.0,45.5,82.4,80.7,69.5,20.8
92.25,44.0,81.5,76.8,67.4,20.4
92.5,43.5,77.2,73.8,64.9,18.6
