Names,PE_Foam_Pipe_Insulation_R1,PE_Foam_Pipe_Insulation_R2,PE_Foam_Pipe_Insulation_R3,Mean,Std. Dev.
297,360.1,349.2,315.5,341.6,23.2
298,364.8,345.0,311.2,340.3,27.1
299,360.1,355.2,315.5,343.6,24.5
300,359.0,347.3,311.4,339.2,24.8
301,364.3,352.1,314.1,343.5,26.2
302,362.8,347.7,323.2,344.6,20.0
303,356.5,351.2,321.5,343.1,18.9
304,365.5,354.6,320.4,346.8,23.5
305,365.4,354.9,326.0,348.8,20.4
306,362.2,357.2,343.3,354.2,9.8
307,363.4,358.0,334.8,352.0,15.2
308,358.6,349.9,334.3,347.6,12.3
309,357.7,359.5,340.5,352.6,10.5
310,364.7,364.4,339.7,356.3,14.4
311,364.3,367.8,346.2,359.4,11.6
312,359.3,358.7,347.9,355.3,6.4
313,357.0,366.5,346.8,356.8,9.8
314,363.6,359.4,344.8,355.9,9.9
315,364.1,362.6,349.3,358.7,8.1
316,368.3,365.3,361.5,365.1,3.4
317,375.1,370.0,363.2,369.4,6.0
318,367.4,371.9,355.4,364.9,8.5
319,367.5,375.6,373.3,372.1,4.2
320,369.2,375.4,364.2,369.6,5.6
321,360.0,371.9,356.2,362.7,8.2
322,364.1,382.1,367.1,371.1,9.6
323,365.0,381.2,365.1,370.4,9.3
324,373.9,381.3,376.5,377.2,3.8
325,371.3,378.6,371.4,373.8,4.2
326,370.5,376.4,374.4,373.8,3.0
327,370.7,390.5,381.2,380.8,9.9
328,368.3,383.4,371.8,374.5,7.9
329,364.4,397.3,374.1,378.6,16.9
330,366.1,396.9,380.3,381.1,15.4
331,374.7,403.9,381.4,386.6,15.3
332,364.7,390.1,379.2,378.0,12.8
333,371.6,398.1,379.1,382.9,13.6
334,381.3,398.3,389.5,389.7,8.5
335,371.1,398.1,386.6,385.2,13.5
336,368.7,397.5,389.0,385.1,14.8
337,367.8,400.6,391.7,386.7,17.0
338,367.9,401.2,387.6,385.6,16.7
339,359.0,394.0,392.3,381.7,19.7
340,377.7,400.8,388.5,389.0,11.6
341,367.6,400.5,389.8,386.0,16.8
342,358.7,398.4,392.7,383.3,21.5
343,369.8,407.6,392.1,389.8,19.0
344,362.4,402.1,395.9,386.8,21.4
345,372.9,406.2,399.8,393.0,17.7
346,376.0,398.5,400.0,391.5,13.4
347,364.2,408.9,395.1,389.4,22.9
348,357.0,403.1,389.4,383.2,23.7
349,371.3,404.2,388.2,387.9,16.4
350,359.4,401.4,389.7,383.5,21.7
351,363.8,410.2,403.3,392.4,25.1
352,366.5,405.7,399.9,390.7,21.1
353,369.8,397.2,401.1,389.4,17.0
354,360.0,410.7,396.8,389.2,26.2
355,361.2,411.0,399.3,390.5,26.0
356,371.5,399.7,388.3,386.5,14.2
357,361.5,402.8,391.2,385.2,21.3
358,358.7,410.5,404.2,391.1,28.3
359,363.5,398.4,393.6,385.2,19.0
360,366.4,402.9,391.0,386.7,18.6
361,362.3,399.5,381.7,381.2,18.6
362,363.4,397.9,391.1,384.1,18.2
363,361.7,395.7,393.7,383.7,19.1
364,355.3,394.9,385.1,378.5,20.6
365,366.3,400.3,390.3,385.6,17.4
366,357.4,386.6,380.4,374.8,15.4
367,357.3,393.9,389.6,380.3,20.0
368,352.8,383.4,384.1,373.4,17.8
369,360.2,388.4,381.8,376.8,14.8
370,358.5,384.0,388.6,377.0,16.2
371,357.2,375.7,394.7,375.9,18.7
372,364.4,378.5,392.3,378.4,13.9
373,368.9,385.3,384.7,379.6,9.3
374,358.5,385.5,381.7,375.2,14.6
375,361.7,387.8,380.3,376.6,13.4
376,364.7,375.0,382.3,374.0,8.9
377,371.1,380.6,381.9,377.9,5.9
378,363.1,377.2,385.6,375.3,11.4
379,366.8,372.5,381.9,373.7,7.6
380,365.1,371.7,379.5,372.1,7.2
381,366.6,370.4,373.3,370.1,3.4
382,359.0,380.0,374.4,371.1,10.9
383,366.6,375.9,375.5,372.7,5.3
384,360.5,372.2,371.6,368.1,6.6
385,369.6,373.7,375.8,373.0,3.2
386,366.4,367.2,373.2,368.9,3.7
387,365.1,368.0,375.7,369.6,5.5
388,363.1,368.8,382.3,371.4,9.8
389,370.4,368.4,374.6,371.1,3.2
390,377.3,371.6,378.4,375.8,3.6
391,375.0,364.6,368.1,369.2,5.3
392,365.1,371.0,378.1,371.4,6.5
393,364.7,365.3,381.7,370.6,9.7
394,373.3,367.7,378.6,373.2,5.5
395,377.1,361.1,374.2,370.8,8.5
396,363.9,361.2,373.2,366.1,6.3
397,370.5,364.3,370.0,368.3,3.4
398,354.8,369.5,371.7,365.3,9.2
399,368.0,370.6,374.9,371.2,3.5
400,367.8,365.5,375.7,369.7,5.3
401,370.3,362.9,371.9,368.3,4.8
402,361.5,357.9,377.4,365.6,10.4
403,359.6,361.3,381.9,367.6,12.4
404,367.2,354.3,380.5,367.3,13.1
405,361.6,352.7,375.9,363.4,11.7
406,366.5,354.0,380.7,367.1,13.4
407,362.1,358.1,379.4,366.5,11.4
408,361.3,346.8,383.4,363.8,18.4
409,354.1,350.6,383.6,362.8,18.1
410,369.3,351.7,373.2,364.7,11.5
411,360.7,355.6,380.6,365.6,13.2
412,365.2,340.0,379.0,361.4,19.8
413,354.3,340.4,382.6,359.1,21.5
414,361.2,343.3,380.7,361.7,18.7
415,364.5,346.1,379.1,363.2,16.5
416,355.1,340.7,379.5,358.4,19.6
417,364.4,334.9,375.4,358.2,20.9
418,365.8,341.1,385.9,364.3,22.5
419,364.0,334.3,383.4,360.5,24.7
420,356.9,328.9,374.2,353.3,22.8
421,363.7,336.9,380.7,360.4,22.1
422,357.3,334.0,380.6,357.3,23.3
423,355.9,337.8,387.6,360.4,25.2
424,350.1,332.7,389.4,357.4,29.1
425,359.8,336.8,385.3,360.6,24.2
426,357.8,321.1,374.2,351.0,27.2
427,352.7,325.8,377.9,352.1,26.0
428,355.2,318.8,384.2,352.7,32.8
429,363.2,318.2,390.0,357.1,36.3
430,357.2,326.9,386.9,357.0,30.0
431,350.8,323.4,376.2,350.1,26.4
432,357.5,309.8,372.5,346.6,32.7
433,347.2,313.7,390.6,350.5,38.5
434,352.9,318.1,376.2,349.0,29.2
435,350.0,314.2,370.3,344.8,28.4
436,346.5,313.3,373.1,344.3,30.0
437,351.9,317.6,376.6,348.7,29.6
438,350.0,299.5,376.1,341.8,38.9
439,344.5,303.7,373.3,340.5,35.0
440,341.4,307.0,373.1,340.5,33.0
441,345.2,299.1,363.4,335.9,33.1
442,342.3,300.4,360.5,334.4,30.8
