Time after Ignition,PE_Foam_Pipe_Insulation_R1,PE_Foam_Pipe_Insulation_R2,PE_Foam_Pipe_Insulation_R3,Mean,Std. Dev.
28.5,528.8,376.2,583.2,496.1,107.3
28.75,536.9,388.4,571.6,499.0,97.3
29.0,534.3,384.8,567.0,495.4,97.2
29.25,565.1,403.1,581.3,516.5,98.5
29.5,555.1,407.0,583.0,515.0,94.6
29.75,550.4,408.7,587.8,515.6,94.4
30.0,550.6,417.1,604.6,524.1,96.5
30.25,586.4,425.5,593.6,535.1,95.0
30.5,585.1,416.9,609.1,537.0,104.7
30.75,573.0,416.5,599.1,529.5,98.8
31.0,587.9,419.6,606.5,538.0,102.9
31.25,572.5,412.3,600.9,528.6,101.6
31.5,582.1,435.5,619.7,545.8,97.3
31.75,591.2,465.1,621.2,559.1,82.8
32.0,598.4,443.4,607.2,549.7,92.1
32.25,585.3,449.9,621.2,552.1,90.3
32.5,598.0,455.6,607.9,553.8,85.2
32.75,606.6,453.8,623.9,561.5,93.6
33.0,597.2,454.7,628.3,560.1,92.6
33.25,604.3,459.1,616.5,560.0,87.5
33.5,631.7,450.6,626.0,569.5,103.0
33.75,602.5,457.0,605.6,555.0,84.9
34.0,619.1,475.4,609.0,567.8,80.2
34.25,606.9,449.8,628.6,561.7,97.6
34.5,634.1,469.8,624.6,576.2,92.2
34.75,635.9,470.8,640.0,582.3,96.5
35.0,631.1,462.6,615.6,569.8,93.1
35.25,629.1,478.2,604.6,570.6,81.0
35.5,627.8,472.8,627.3,576.0,89.4
35.75,616.0,483.7,625.9,575.2,79.4
36.0,616.1,477.7,614.5,569.4,79.5
36.25,630.5,478.4,632.0,580.3,88.3
36.5,637.4,472.1,608.5,572.7,88.3
36.75,625.5,490.3,641.4,585.7,83.0
37.0,640.4,484.6,632.7,585.9,87.8
37.25,640.9,483.1,625.5,583.2,87.0
37.5,646.9,479.1,642.1,589.4,95.5
37.75,635.9,491.1,625.0,584.0,80.6
38.0,651.2,505.3,633.2,596.6,79.5
38.25,637.3,496.2,627.8,587.1,78.8
38.5,631.4,491.0,615.1,579.2,76.8
38.75,618.6,479.2,630.2,576.0,84.0
39.0,602.3,499.9,650.2,584.1,76.7
39.25,613.9,483.3,633.8,577.0,81.7
39.5,634.5,491.9,650.3,592.2,87.2
39.75,621.0,488.8,631.4,580.4,79.5
40.0,636.9,493.0,627.1,585.7,80.4
40.25,622.3,481.7,648.1,584.0,89.6
40.5,613.1,501.2,660.2,591.5,81.7
40.75,626.9,487.9,647.7,587.5,86.9
41.0,650.0,488.2,650.2,596.2,93.5
41.25,621.6,485.5,664.7,590.6,93.5
41.5,626.4,475.1,659.3,587.0,98.2
41.75,619.3,481.7,640.0,580.3,86.1
42.0,623.4,491.8,630.6,581.9,78.1
42.25,612.0,467.0,625.4,568.1,87.8
42.5,618.1,456.1,635.5,569.9,98.9
42.75,630.2,479.5,654.9,588.2,94.9
43.0,605.5,464.3,648.9,572.9,96.5
43.25,592.9,457.8,636.6,562.4,93.2
43.5,610.6,461.2,633.3,568.4,93.5
43.75,611.9,470.2,641.1,574.4,91.4
44.0,610.0,469.2,679.9,586.4,107.3
44.25,614.0,461.1,661.5,578.9,104.7
44.5,598.4,453.2,667.2,572.9,109.2
44.75,630.5,448.1,656.6,578.4,113.6
45.0,613.4,441.6,660.3,571.8,115.1
45.25,599.8,453.2,627.9,560.3,93.8
45.5,606.3,447.5,656.1,570.0,109.0
45.75,604.3,446.5,641.2,564.0,103.4
46.0,587.2,435.4,649.4,557.3,110.1
46.25,612.8,440.0,648.5,567.1,111.5
46.5,616.1,436.3,629.6,560.6,107.9
46.75,614.3,438.6,665.0,572.6,118.8
47.0,588.7,428.0,628.5,548.4,106.1
47.25,597.1,436.2,640.2,557.8,107.5
47.5,583.9,432.8,635.5,550.7,105.3
47.75,618.3,440.1,620.3,559.6,103.5
48.0,632.1,435.5,625.6,564.4,111.7
48.25,591.5,434.7,611.0,545.7,96.6
48.5,601.7,427.5,608.7,546.0,102.6
48.75,604.3,432.3,607.6,548.1,100.3
49.0,607.4,442.4,589.9,546.5,90.6
49.25,593.8,435.5,592.5,540.6,91.1
49.5,586.4,421.4,589.3,532.3,96.1
49.75,595.5,437.4,580.7,537.9,87.3
50.0,614.8,448.1,563.0,542.0,85.3
50.25,587.7,447.5,560.8,532.0,74.4
50.5,602.1,436.2,558.3,532.2,86.0
50.75,602.4,431.2,541.0,524.9,86.7
51.0,591.0,439.0,526.6,518.9,76.3
51.25,600.4,439.4,513.9,517.9,80.6
51.5,614.8,447.3,518.5,526.9,84.0
51.75,611.8,452.4,498.2,520.8,82.1
52.0,579.4,453.0,496.0,509.5,64.3
52.25,583.6,450.5,488.2,507.4,68.6
52.5,611.2,447.4,471.0,509.9,88.5
52.75,586.1,459.7,473.6,506.5,69.3
53.0,604.1,457.3,475.3,512.2,80.1
53.25,583.5,467.6,461.6,504.2,68.7
53.5,572.6,467.2,455.4,498.4,64.6
53.75,585.1,469.7,454.3,503.0,71.5
54.0,557.5,459.6,443.5,486.9,61.7
54.25,564.9,481.9,428.4,491.8,68.8
54.5,555.7,471.6,422.8,483.4,67.3
54.75,547.7,466.0,418.9,477.5,65.2
55.0,538.8,469.0,418.4,475.4,60.5
55.25,525.1,462.6,402.5,463.4,61.3
55.5,523.0,476.7,389.2,463.0,67.9
55.75,523.4,480.4,381.7,461.8,72.7
56.0,494.0,482.8,377.8,451.5,64.1
56.25,476.6,477.7,370.5,441.6,61.6
56.5,468.4,484.9,361.9,438.4,66.7
56.75,456.6,481.6,351.9,430.0,68.8
57.0,436.9,476.1,340.4,417.8,69.9
57.25,411.5,462.5,323.7,399.2,70.2
57.5,399.6,464.2,,431.9,45.6
57.75,377.3,464.4,,420.8,61.6
58.0,359.1,452.2,,405.7,65.8
58.25,335.6,456.0,,395.8,85.2
58.5,312.3,451.6,,382.0,98.5
58.75,299.3,441.5,,370.4,100.5
