Time after Ignition,Overstuffed_Chair_Polyester_Fabric_R1,Overstuffed_Chair_Polyester_Fabric_R2,Overstuffed_Chair_Polyester_Fabric_R3,Mean,Std. Dev.
16.0,178.01782677246177,198.303045883871,173.09925077564296,183.1400411439919,13.359851496753892
16.25,175.7154778684234,194.76156515344314,170.56814360609346,180.34839554265332,12.744738372131659
16.5,173.61115827958008,192.462876108231,162.21176990528227,176.0952680976978,15.277776599259212
16.75,172.46041912513127,193.85117232893654,158.53460896044083,174.9487334715029,17.789285911891245
17.0,170.82138911154172,192.73598928256894,154.89625029014098,172.81787622808386,18.998708702400204
17.25,167.4734788073626,194.4535024670251,152.62201726846257,171.51633284761678,21.206762838125208
17.5,162.38678743086427,191.1107430844078,145.95848702149064,166.4853391789209,22.853449448965762
17.75,159.24004898123692,193.9820226855741,142.35825860479912,165.19344342387004,26.321767294561727
18.0,159.25348043094633,187.8092423030565,138.3015314211167,161.78808471837317,24.850986365993947
18.25,154.55341884644963,187.94923079078316,133.9152401210473,158.80596325276005,27.266850521650035
18.5,151.4469238271979,184.55169899413553,132.4935791197183,156.16406731368394,26.347685727950974
18.75,146.78038379032387,182.34649692432356,126.745530096089,151.95747027024547,28.159697199615806
19.0,145.45790356787336,178.6828215683517,126.91756399026515,150.3527630421634,26.227470522072785
19.25,142.9850715394319,175.34264921413452,121.39993565695102,146.5758854701725,27.15003766096813
19.5,140.82540792760298,169.2291725855539,116.67585559959079,142.24347870424924,26.305341189622748
19.75,136.23611144042863,163.89763590646078,113.39336290015224,137.84237008234723,25.290422062363646
20.0,132.63244698141847,156.43186371076146,110.77438641302736,133.27956570173575,22.83561648558924
20.25,129.16090237687985,152.93117295841236,108.57015530334787,130.22074354621336,22.19949142044467
20.5,124.50687401345526,147.49998170732687,102.23656232129643,124.7478060140262,22.632671512673735
20.75,124.50433858695351,140.78646042026884,99.58263996226769,121.62447965649669,20.752322657435176
21.0,120.7895346338341,137.22596134653728,94.72048774303877,117.57866124113673,21.43387744955112
21.25,117.46446266379284,132.5011608699062,90.14388187988159,113.3698351378602,21.47345458448148
21.5,114.0817028171813,128.55192565927172,87.55279047992504,110.062139652126,20.79302617206037
21.75,112.13652399260468,123.16380863972101,84.06182162231435,106.45405141821335,20.16083376491141
22.0,109.98272338585313,118.52601438816635,80.15723673526229,102.8886581697606,20.14410821089204
22.25,106.54280874008892,113.15455826430633,75.26762548553128,98.32166416330885,20.237226402353045
22.5,103.63862060217515,109.16220620876564,72.02887262543726,94.94323314545936,20.035679125487455
22.75,101.69939158804925,105.20583140007676,69.13080484004644,92.01200927605748,19.89311230981069
23.0,99.50896422487595,101.21072911130749,66.90072401294093,89.20680578304145,19.336363770962244
23.25,97.76560658330202,97.13735835892207,62.75497280183833,85.8859792480208,20.03450194958339
23.5,96.814302582806,92.52511311815054,60.19208854188992,83.17716808094882,20.020856565805964
23.75,92.50599043782738,88.94076858462452,58.065242888537746,79.83733397032988,18.939262505996062
24.0,91.92706259007463,85.71165788754175,55.25458285924663,77.63110111228767,19.626238578764298
24.25,90.32686733549805,82.82767891127043,52.18906225396937,75.11453616691261,20.205011070407718
24.5,87.29772621163576,79.53147209973655,49.473170073087,72.10078946148643,19.977125547043812
24.75,85.07583846421389,74.96600217436652,47.157868626401225,69.06656975499389,19.635314774873777
25.0,83.7193403223963,71.07472395301278,45.49160753948851,66.76189060496587,19.475376428874743
25.25,80.29136965965996,69.20990852031997,43.246936800421565,64.24940499346717,19.013875141474838
25.5,78.18954618094192,65.71056196394468,40.48030338414052,61.460137176342364,19.210578628279983
25.75,74.43609910484413,62.64641415256605,39.602379126632364,58.89496412801419,17.717280966478747
26.0,71.93058621998665,60.07654095512867,37.33648325406731,56.447870143060875,17.580199910721205
26.25,69.76848524127668,58.278121058903274,35.76915201133199,54.605252770503974,17.294685198584915
26.5,68.16790230786663,53.50555628889734,34.62406026873596,52.09917295516664,16.816086650811002
26.75,65.32824040007802,,33.19765633360293,49.262948366840476,22.71975387688897
27.0,63.02555359361737,,31.761082109785455,47.39331785170141,22.107319796430986
27.25,60.22567581682899,,30.126093340345147,45.175884578587066,21.2836188800055
27.5,57.25960517707071,,28.858477496096643,43.059041336583675,20.08262997656173
27.75,55.32489530285307,,27.18039166391458,41.25264348338383,19.90116937622287
28.0,53.50582716811482,,26.040830434153072,39.77332880113394,19.420685435850732
28.25,51.49177676842856,,25.41511083974164,38.4534438040851,18.43898730891072
28.5,49.0834590022428,,23.954142573498732,36.51880078787077,17.769110053347447
28.75,47.06015466939213,,23.09114057925925,35.07564762432569,16.948652401488868
29.0,45.34885763794647,,22.090289995865763,33.71957381690612,16.446290900401277
29.25,43.40581663699469,,21.555856347526223,32.48083649226046,15.450255089339935
29.5,42.41092402385693,,20.708422163876374,31.55967309386665,15.34598623390591
29.75,42.04977170279461,,20.085010628735564,31.067391165765088,15.531431502609465
30.0,38.47478130345669,,19.389702366393564,28.932241834925126,13.495188735877882
30.25,38.6768546031042,,18.66216893093391,28.669511767019056,14.152519962108848
30.5,38.11377495899482,,18.27747512343592,28.19562504121537,14.026382127373294
