Time after Ignition,Rubber_Band_R1,Mean,Std. Dev.
120.0,92.9,92.9,
120.25,92.7,92.7,
120.5,92.4,92.4,
120.75,91.8,91.8,
121.0,92.0,92.0,
121.25,90.8,90.8,
121.5,93.3,93.3,
121.75,91.6,91.6,
122.0,92.4,92.4,
122.25,91.4,91.4,
122.5,92.2,92.2,
122.75,91.3,91.3,
123.0,91.8,91.8,
123.25,91.2,91.2,
123.5,90.2,90.2,
123.75,90.1,90.1,
124.0,91.1,91.1,
124.25,90.6,90.6,
124.5,87.9,87.9,
124.75,89.4,89.4,
125.0,89.2,89.2,
125.25,88.9,88.9,
125.5,86.5,86.5,
125.75,89.0,89.0,
126.0,88.6,88.6,
126.25,86.5,86.5,
126.5,86.6,86.6,
126.75,87.1,87.1,
127.0,86.5,86.5,
127.25,85.8,85.8,
127.5,85.6,85.6,
127.75,86.2,86.2,
128.0,86.7,86.7,
128.25,86.2,86.2,
128.5,85.7,85.7,
128.75,86.4,86.4,
129.0,83.9,83.9,
129.25,85.5,85.5,
129.5,85.2,85.2,
129.75,85.1,85.1,
130.0,83.5,83.5,
130.25,85.7,85.7,
130.5,85.1,85.1,
130.75,83.5,83.5,
131.0,82.8,82.8,
131.25,84.9,84.9,
131.5,83.1,83.1,
131.75,83.4,83.4,
132.0,85.5,85.5,
132.25,83.4,83.4,
132.5,82.9,82.9,
132.75,82.8,82.8,
133.0,82.6,82.6,
133.25,84.5,84.5,
133.5,83.5,83.5,
133.75,82.6,82.6,
134.0,82.9,82.9,
134.25,82.1,82.1,
134.5,82.7,82.7,
134.75,83.1,83.1,
135.0,81.8,81.8,
135.25,82.7,82.7,
135.5,81.9,81.9,
135.75,81.2,81.2,
136.0,81.9,81.9,
136.25,80.4,80.4,
136.5,80.6,80.6,
136.75,81.5,81.5,
137.0,80.6,80.6,
137.25,80.0,80.0,
137.5,81.3,81.3,
137.75,81.5,81.5,
138.0,80.7,80.7,
138.25,82.2,82.2,
138.5,80.8,80.8,
138.75,80.8,80.8,
139.0,80.7,80.7,
139.25,80.6,80.6,
139.5,79.8,79.8,
139.75,79.3,79.3,
140.0,78.6,78.6,
140.25,80.4,80.4,
140.5,79.5,79.5,
140.75,80.4,80.4,
141.0,78.7,78.7,
141.25,79.5,79.5,
141.5,78.3,78.3,
141.75,79.4,79.4,
142.0,79.1,79.1,
142.25,78.6,78.6,
142.5,77.9,77.9,
142.75,79.5,79.5,
143.0,78.8,78.8,
143.25,79.5,79.5,
143.5,77.4,77.4,
143.75,77.6,77.6,
144.0,78.0,78.0,
144.25,76.6,76.6,
144.5,77.4,77.4,
144.75,77.2,77.2,
145.0,76.6,76.6,
145.25,76.5,76.5,
145.5,76.6,76.6,
145.75,75.8,75.8,
146.0,76.1,76.1,
146.25,76.5,76.5,
146.5,76.4,76.4,
146.75,76.7,76.7,
147.0,76.5,76.5,
147.25,75.3,75.3,
147.5,77.2,77.2,
147.75,74.9,74.9,
148.0,76.6,76.6,
148.25,74.6,74.6,
148.5,75.4,75.4,
148.75,74.7,74.7,
149.0,74.7,74.7,
149.25,74.8,74.8,
149.5,75.2,75.2,
149.75,74.3,74.3,
150.0,75.3,75.3,
150.25,74.8,74.8,
150.5,74.9,74.9,
150.75,74.8,74.8,
151.0,75.0,75.0,
151.25,74.4,74.4,
151.5,74.0,74.0,
151.75,74.1,74.1,
152.0,74.0,74.0,
152.25,73.9,73.9,
152.5,73.5,73.5,
152.75,72.6,72.6,
153.0,73.4,73.4,
153.25,72.7,72.7,
153.5,72.8,72.8,
153.75,72.2,72.2,
154.0,72.1,72.1,
154.25,71.3,71.3,
154.5,72.5,72.5,
154.75,72.3,72.3,
155.0,71.6,71.6,
155.25,71.8,71.8,
155.5,69.9,69.9,
155.75,71.0,71.0,
156.0,70.6,70.6,
156.25,72.6,72.6,
156.5,70.4,70.4,
156.75,70.5,70.5,
157.0,70.4,70.4,
157.25,69.5,69.5,
157.5,69.5,69.5,
157.75,70.2,70.2,
158.0,69.4,69.4,
158.25,69.9,69.9,
158.5,68.9,68.9,
158.75,68.9,68.9,
159.0,70.3,70.3,
159.25,67.6,67.6,
159.5,68.6,68.6,
159.75,69.9,69.9,
160.0,68.8,68.8,
160.25,67.5,67.5,
160.5,68.0,68.0,
160.75,67.1,67.1,
161.0,67.7,67.7,
161.25,67.4,67.4,
161.5,67.8,67.8,
161.75,66.8,66.8,
162.0,66.6,66.6,
162.25,66.5,66.5,
162.5,67.1,67.1,
162.75,66.8,66.8,
163.0,66.0,66.0,
163.25,65.5,65.5,
163.5,65.2,65.2,
163.75,65.8,65.8,
164.0,64.8,64.8,
164.25,64.8,64.8,
164.5,64.3,64.3,
164.75,65.1,65.1,
165.0,64.7,64.7,
165.25,64.4,64.4,
165.5,64.6,64.6,
165.75,64.3,64.3,
166.0,64.5,64.5,
166.25,64.6,64.6,
166.5,63.6,63.6,
166.75,64.1,64.1,
167.0,62.8,62.8,
167.25,64.0,64.0,
167.5,63.2,63.2,
167.75,63.8,63.8,
168.0,64.1,64.1,
168.25,63.3,63.3,
168.5,62.0,62.0,
168.75,63.9,63.9,
169.0,62.4,62.4,
169.25,62.9,62.9,
169.5,62.2,62.2,
169.75,61.5,61.5,
170.0,62.5,62.5,
170.25,61.4,61.4,
170.5,62.4,62.4,
170.75,62.1,62.1,
171.0,62.7,62.7,
171.25,62.4,62.4,
171.5,61.7,61.7,
171.75,62.4,62.4,
172.0,60.7,60.7,
172.25,62.1,62.1,
172.5,63.3,63.3,
172.75,62.8,62.8,
173.0,62.3,62.3,
173.25,61.9,61.9,
173.5,61.9,61.9,
173.75,63.0,63.0,
174.0,60.9,60.9,
174.25,61.5,61.5,
174.5,61.7,61.7,
174.75,61.4,61.4,
175.0,61.0,61.0,
175.25,59.5,59.5,
175.5,60.7,60.7,
175.75,60.3,60.3,
176.0,60.9,60.9,
176.25,60.5,60.5,
176.5,60.3,60.3,
176.75,60.2,60.2,
177.0,60.7,60.7,
177.25,60.0,60.0,
177.5,60.2,60.2,
177.75,59.6,59.6,
178.0,61.2,61.2,
178.25,59.8,59.8,
178.5,60.1,60.1,
178.75,60.2,60.2,
179.0,60.1,60.1,
179.25,59.3,59.3,
179.5,59.5,59.5,
179.75,59.2,59.2,
180.0,58.8,58.8,
180.25,59.1,59.1,
180.5,59.4,59.4,
180.75,59.1,59.1,
181.0,58.8,58.8,
181.25,60.0,60.0,
181.5,59.4,59.4,
181.75,60.5,60.5,
182.0,59.5,59.5,
182.25,59.3,59.3,
182.5,59.1,59.1,
182.75,59.9,59.9,
183.0,59.0,59.0,
183.25,58.6,58.6,
183.5,58.8,58.8,
183.75,59.5,59.5,
184.0,59.2,59.2,
184.25,59.4,59.4,
184.5,58.9,58.9,
184.75,58.5,58.5,
185.0,58.2,58.2,
185.25,58.5,58.5,
185.5,58.6,58.6,
185.75,58.3,58.3,
186.0,58.3,58.3,
186.25,57.2,57.2,
186.5,57.9,57.9,
186.75,58.6,58.6,
187.0,56.8,56.8,
187.25,58.8,58.8,
187.5,57.8,57.8,
187.75,57.9,57.9,
188.0,58.3,58.3,
188.25,58.0,58.0,
188.5,57.5,57.5,
188.75,57.3,57.3,
189.0,57.3,57.3,
189.25,57.2,57.2,
189.5,57.0,57.0,
189.75,57.0,57.0,
190.0,56.6,56.6,
190.25,56.2,56.2,
190.5,56.6,56.6,
190.75,55.8,55.8,
191.0,57.4,57.4,
191.25,57.1,57.1,
191.5,57.2,57.2,
191.75,56.1,56.1,
192.0,55.9,55.9,
