Temperature (C),HRR_mean,HRR_std
232.00,-1.13,0.05
233.00,-1.06,0.22
234.00,-1.12,0.17
235.00,-1.12,0.15
236.00,-1.13,0.13
237.00,-1.19,0.12
238.00,-1.23,0.08
239.00,-1.23,0.16
240.00,-1.19,0.07
241.00,-1.16,0.14
242.00,-1.24,0.05
243.00,-1.16,0.05
244.00,-1.22,0.13
245.00,-1.34,0.10
246.00,-1.29,0.09
247.00,-1.27,0.11
248.00,-1.32,0.10
249.00,-1.25,0.02
250.00,-1.31,0.20
251.00,-1.26,0.27
252.00,-1.25,0.15
253.00,-1.27,0.22
254.00,-1.20,0.10
255.00,-1.20,0.13
256.00,-1.25,0.07
257.00,-1.28,0.08
258.00,-1.32,0.25
259.00,-1.34,0.16
260.00,-1.35,0.23
261.00,-1.28,0.21
262.00,-1.35,0.18
263.00,-1.39,0.12
264.00,-1.36,0.23
265.00,-1.31,0.30
266.00,-1.33,0.24
267.00,-1.32,0.36
268.00,-1.35,0.35
269.00,-1.35,0.34
270.00,-1.39,0.33
271.00,-1.41,0.41
272.00,-1.46,0.30
273.00,-1.45,0.29
274.00,-1.43,0.43
275.00,-1.51,0.40
276.00,-1.33,0.31
277.00,-1.29,0.35
278.00,-1.38,0.39
279.00,-1.30,0.51
280.00,-1.42,0.48
281.00,-1.39,0.40
282.00,-1.43,0.31
283.00,-1.46,0.29
284.00,-1.51,0.28
285.00,-1.58,0.35
286.00,-1.48,0.30
287.00,-1.47,0.19
288.00,-1.46,0.24
289.00,-1.41,0.26
290.00,-1.42,0.23
291.00,-1.42,0.22
292.00,-1.51,0.28
293.00,-1.57,0.35
294.00,-1.62,0.19
295.00,-1.52,0.41
296.00,-1.53,0.39
297.00,-1.57,0.36
298.00,-1.51,0.39
299.00,-1.66,0.28
300.00,-1.64,0.27
301.00,-1.59,0.34
302.00,-1.61,0.35
303.00,-1.73,0.30
304.00,-1.68,0.27
305.00,-1.67,0.23
306.00,-1.65,0.24
307.00,-1.62,0.22
308.00,-1.55,0.30
309.00,-1.62,0.29
310.00,-1.58,0.16
311.00,-1.58,0.25
312.00,-1.60,0.32
313.00,-1.70,0.31
314.00,-1.61,0.22
315.00,-1.57,0.21
316.00,-1.63,0.24
317.00,-1.61,0.21
318.00,-1.59,0.26
319.00,-1.59,0.36
320.00,-1.66,0.34
321.00,-1.65,0.29
322.00,-1.67,0.20
323.00,-1.71,0.14
324.00,-1.72,0.04
325.00,-1.69,0.09
326.00,-1.72,0.06
327.00,-1.83,0.08
328.00,-1.73,0.12
329.00,-1.70,0.10
330.00,-1.62,0.15
331.00,-1.69,0.15
332.00,-1.74,0.21
333.00,-1.74,0.20
334.00,-1.70,0.12
335.00,-1.74,0.08
336.00,-1.74,0.22
337.00,-1.72,0.21
338.00,-1.68,0.22
339.00,-1.66,0.07
340.00,-1.68,0.16
341.00,-1.63,0.13
342.00,-1.69,0.23
343.00,-1.73,0.24
344.00,-1.65,0.30
345.00,-1.60,0.27
346.00,-1.61,0.22
347.00,-1.65,0.29
348.00,-1.52,0.30
349.00,-1.70,0.32
350.00,-1.64,0.18
351.00,-1.71,0.24
352.00,-1.74,0.36
353.00,-1.65,0.37
354.00,-1.75,0.32
355.00,-1.76,0.37
356.00,-1.64,0.42
357.00,-1.81,0.26
358.00,-1.70,0.27
359.00,-1.82,0.36
360.00,-1.66,0.33
361.00,-1.63,0.30
362.00,-1.61,0.29
363.00,-1.76,0.34
364.00,-1.70,0.43
365.00,-1.66,0.42
366.00,-1.62,0.28
367.00,-1.58,0.38
368.00,-1.57,0.53
369.00,-1.46,0.39
370.00,-1.53,0.48
371.00,-1.48,0.56
372.00,-1.52,0.45
373.00,-1.52,0.41
374.00,-1.44,0.42
375.00,-1.42,0.31
376.00,-1.41,0.45
377.00,-1.41,0.48
378.00,-1.40,0.49
379.00,-1.41,0.38
380.00,-1.44,0.41
381.00,-1.37,0.46
382.00,-1.40,0.40
383.00,-1.46,0.44
384.00,-1.34,0.48
385.00,-1.32,0.42
386.00,-1.26,0.50
387.00,-1.21,0.48
388.00,-1.13,0.52
389.00,-1.13,0.66
390.00,-1.16,0.63
391.00,-1.00,0.52
392.00,-1.00,0.47
393.00,-0.97,0.54
394.00,-0.82,0.48
395.00,-0.85,0.46
396.00,-0.64,0.57
397.00,-0.61,0.50
398.00,-0.59,0.36
399.00,-0.54,0.46
400.00,-0.47,0.41
401.00,-0.36,0.50
402.00,-0.31,0.48
403.00,-0.16,0.55
404.00,-0.06,0.68
405.00,-0.04,0.56
406.00,0.15,0.50
407.00,0.17,0.53
408.00,0.29,0.57
409.00,0.44,0.67
410.00,0.59,0.62
411.00,0.73,0.68
412.00,0.90,0.81
413.00,1.04,0.88
414.00,1.24,0.75
415.00,1.50,0.81
416.00,1.64,0.84
417.00,1.92,0.78
418.00,2.17,0.98
419.00,2.50,0.95
420.00,2.84,1.07
421.00,3.04,1.07
422.00,3.35,1.10
423.00,3.65,1.20
424.00,4.11,1.05
425.00,4.35,1.18
426.00,4.72,1.10
427.00,5.17,1.25
428.00,5.62,1.39
429.00,6.19,1.60
430.00,6.71,1.77
431.00,7.37,2.04
432.00,7.94,2.13
433.00,8.76,2.21
434.00,9.38,2.29
435.00,10.12,2.59
436.00,11.08,2.66
437.00,11.88,2.71
438.00,12.97,2.36
439.00,14.04,2.26
440.00,15.09,2.20
441.00,16.12,2.08
442.00,17.62,2.32
443.00,18.73,2.48
444.00,20.22,2.50
445.00,21.53,2.69
446.00,22.81,3.00
447.00,24.48,3.38
448.00,26.20,3.58
449.00,28.07,3.77
450.00,30.16,4.08
451.00,32.63,4.40
452.00,35.06,4.68
453.00,37.66,5.08
454.00,40.71,5.37
455.00,43.68,6.21
456.00,47.22,6.86
457.00,51.32,7.43
458.00,55.62,8.44
459.00,60.61,9.50
460.00,66.61,10.87
461.00,73.08,12.26
462.00,80.25,13.37
463.00,87.53,13.13
464.00,97.18,13.49
465.00,106.64,14.31
466.00,116.75,14.78
467.00,126.89,15.34
468.00,137.57,16.06
469.00,149.07,17.43
470.00,161.23,19.21
471.00,174.41,21.29
472.00,189.09,22.82
473.00,203.35,22.28
474.00,220.00,24.38
475.00,237.71,26.26
476.00,254.46,28.66
477.00,273.63,29.98
478.00,293.44,32.17
479.00,314.50,34.80
480.00,339.29,35.65
481.00,361.45,39.63
482.00,387.13,41.49
483.00,414.18,44.13
484.00,442.49,46.31
485.00,471.49,47.57
486.00,498.26,50.77
487.00,525.40,46.81
488.00,560.67,50.22
489.00,590.68,49.33
490.00,616.58,42.53
491.00,642.88,39.13
492.00,668.74,37.44
493.00,694.64,36.93
494.00,716.94,31.20
495.00,729.82,21.17
496.00,736.39,5.47
497.00,734.25,15.86
498.00,720.09,30.38
499.00,695.15,41.99
500.00,661.95,54.16
501.00,630.20,59.55
502.00,586.02,71.10
503.00,535.39,80.08
504.00,484.33,91.68
505.00,430.93,86.31
506.00,376.40,86.08
507.00,317.93,81.06
508.00,266.67,67.82
509.00,220.59,60.81
510.00,180.15,57.52
511.00,143.33,44.64
512.00,110.42,36.64
513.00,83.57,29.61
514.00,63.88,23.70
515.00,46.77,18.42
516.00,34.29,13.05
517.00,24.21,10.02
518.00,16.76,7.41
519.00,11.87,5.52
520.00,7.97,4.00
521.00,5.22,2.84
522.00,3.35,2.04
523.00,2.04,1.62
524.00,1.30,1.34
525.00,0.54,1.13
526.00,-0.00,0.95
527.00,-0.25,0.87
528.00,-0.59,0.76
529.00,-0.75,0.79
530.00,-0.95,0.76
531.00,-1.08,0.57
532.00,-1.14,0.65
533.00,-1.18,0.50
534.00,-1.28,0.58
535.00,-1.42,0.54
536.00,-1.26,0.59
537.00,-1.34,0.53
538.00,-1.38,0.60
539.00,-1.43,0.71
540.00,-1.54,0.82
541.00,-1.58,0.73
542.00,-1.53,0.82
543.00,-1.61,0.91
544.00,-1.61,0.81
545.00,-1.63,0.90
546.00,-1.67,0.90
547.00,-1.61,0.76
548.00,-1.69,0.74
549.00,-1.65,0.79
550.00,-1.62,0.64
551.00,-1.67,0.62
552.00,-1.72,0.78
553.00,-1.76,0.66
554.00,-1.67,0.62
555.00,-1.70,0.77
556.00,-1.83,0.75
557.00,-1.73,0.75
558.00,-1.81,0.62
559.00,-1.74,0.59
560.00,-1.87,0.70
561.00,-1.74,0.62
562.00,-1.76,0.63
563.00,-1.73,0.54
564.00,-1.82,0.66
565.00,-1.82,0.64
566.00,-1.84,0.66
567.00,-1.79,0.71
568.00,-1.83,0.73
569.00,-1.88,0.68
570.00,-1.87,0.89
571.00,-1.90,0.90
572.00,-1.87,0.75
573.00,-1.78,0.62
574.00,-1.82,0.63
575.00,-1.80,0.59
576.00,-1.79,0.75
577.00,-1.90,0.70
578.00,-1.90,0.80
579.00,-1.85,0.57
580.00,-1.86,0.73
581.00,-1.90,0.59
582.00,-1.79,0.56
583.00,-1.98,0.62
584.00,-1.76,0.63
585.00,-1.98,0.72
586.00,-1.87,0.62
587.00,-1.81,0.49
588.00,-1.91,0.66
589.00,-2.01,0.63
590.00,-1.95,0.60
591.00,-1.98,0.75
592.00,-2.00,0.55
593.00,-2.00,0.61
594.00,-2.00,0.56
595.00,-2.07,0.82
596.00,-2.05,0.55
597.00,-1.90,0.63
598.00,-2.15,0.74
599.00,-1.99,0.60
600.00,-2.02,0.62
601.00,-1.93,0.62
602.00,-1.91,0.65
603.00,-1.83,0.71
604.00,-1.89,0.52
605.00,-2.00,0.44
606.00,-1.93,0.45
607.00,-2.01,0.56
608.00,-2.01,0.53
609.00,-1.99,0.76
610.00,-2.01,0.66
611.00,-1.95,0.69
612.00,-1.92,0.72
613.00,-1.78,0.81
614.00,-1.81,0.70
615.00,-1.90,0.77
616.00,-1.81,0.65
617.00,-1.80,0.55
618.00,-1.75,0.68
619.00,-1.80,0.72
620.00,-1.83,0.72
621.00,-1.87,0.71
622.00,-1.80,0.69
623.00,-1.81,0.57
624.00,-1.83,0.54
625.00,-1.79,0.58
626.00,-1.83,0.49
627.00,-1.72,0.46
628.00,-1.77,0.49
629.00,-1.79,0.48
630.00,-1.83,0.48
631.00,-1.83,0.48
632.00,-1.77,0.41
633.00,-1.79,0.53
634.00,-1.63,0.46
635.00,-1.75,0.55
636.00,-1.67,0.56
637.00,-1.71,0.62
638.00,-1.80,0.33
639.00,-1.64,0.41
640.00,-1.58,0.60
641.00,-1.77,0.29
642.00,-1.59,0.49
643.00,-1.54,0.50
644.00,-1.74,0.54
645.00,-1.57,0.54
646.00,-1.50,0.53
647.00,-1.43,0.34
648.00,-1.41,0.48
649.00,-1.48,0.45
650.00,-1.41,0.47
651.00,-1.62,0.08
652.00,-1.45,0.23
653.00,-1.36,0.36
654.00,-1.34,0.49
655.00,-1.29,0.43
656.00,-1.25,0.42
657.00,-1.27,0.54
658.00,-1.45,0.28
659.00,-1.40,0.26
660.00,-1.38,0.42
661.00,-1.12,0.29
662.00,-1.11,0.35
663.00,-1.14,0.19
664.00,-1.19,0.33
665.00,-1.12,0.41
666.00,-1.08,0.32
667.00,-1.21,0.29
668.00,-1.04,0.19
669.00,-1.06,0.22
670.00,-1.01,0.18
671.00,-0.90,0.34
672.00,-1.01,0.35
673.00,-1.04,0.36
674.00,-1.05,0.25
675.00,-0.88,0.44
676.00,-0.78,0.38
677.00,-0.84,0.25
678.00,-0.82,0.21
679.00,-0.68,0.09
680.00,-0.74,0.07
681.00,-0.69,0.09
682.00,-0.61,0.15
683.00,-0.54,0.13
684.00,-0.47,0.17
685.00,-0.40,0.01
686.00,-0.38,0.15
687.00,-0.47,0.06
688.00,-0.29,0.06
689.00,-0.37,0.14
690.00,-0.28,0.05
691.00,-0.36,0.09
692.00,-0.32,0.09
693.00,-0.36,0.19
694.00,-0.25,0.08
695.00,-0.31,0.07
696.00,-0.10,0.20
697.00,-0.14,0.21
698.00,-0.05,0.16
699.00,-0.10,0.11
700.00,0.00,0.00
