Temperature (C),HRR (W/g),Time_copy_1,HRR correction,R1,HRR (W/g),Time_copy_2,HRR correction,R2,HRR (W/g),Time_copy_3,HRR correction,R3
150.00,2.90,180.75,2.90,0.00,3.29,155.75,3.29,0.00,2.96,158.25,2.96,0.00
151.00,2.74,182.75,2.90,-0.15,3.20,157.75,3.30,-0.10,2.75,160.75,2.96,-0.21
152.00,2.85,184.75,2.90,-0.04,3.21,159.75,3.30,-0.09,2.74,162.75,2.96,-0.22
153.00,2.74,187.25,2.90,-0.16,3.12,161.75,3.31,-0.19,2.85,164.75,2.95,-0.10
154.00,2.73,189.25,2.90,-0.17,3.24,163.75,3.31,-0.07,2.93,166.75,2.95,-0.02
155.00,2.77,191.25,2.90,-0.12,3.22,165.75,3.32,-0.10,2.90,168.75,2.94,-0.05
156.00,2.75,193.25,2.90,-0.15,3.31,167.75,3.32,-0.01,2.73,170.75,2.94,-0.21
157.00,2.73,195.25,2.90,-0.17,3.15,169.75,3.33,-0.18,2.84,172.75,2.94,-0.10
158.00,2.62,197.75,2.90,-0.28,3.24,171.75,3.33,-0.09,3.16,174.75,2.93,0.23
159.00,2.82,199.75,2.90,-0.07,3.11,173.75,3.34,-0.23,2.65,176.75,2.93,-0.28
160.00,2.79,201.75,2.89,-0.11,3.04,176.25,3.34,-0.30,2.89,178.75,2.92,-0.03
161.00,2.73,203.75,2.89,-0.16,3.11,178.25,3.35,-0.23,2.84,180.75,2.92,-0.08
162.00,2.71,205.75,2.89,-0.19,3.16,180.25,3.35,-0.19,2.61,182.75,2.92,-0.30
163.00,2.76,208.25,2.89,-0.14,3.11,182.25,3.36,-0.25,2.63,184.75,2.91,-0.29
164.00,2.60,210.25,2.89,-0.29,2.87,184.25,3.36,-0.49,2.62,187.25,2.91,-0.29
165.00,2.59,212.25,2.89,-0.30,2.88,186.25,3.37,-0.49,2.66,188.75,2.90,-0.25
166.00,2.46,214.25,2.89,-0.43,2.74,188.25,3.37,-0.63,2.40,190.75,2.90,-0.50
167.00,2.61,216.25,2.89,-0.28,2.93,190.25,3.38,-0.45,2.53,193.25,2.90,-0.36
168.00,2.41,218.25,2.89,-0.48,3.09,192.25,3.39,-0.30,2.71,194.75,2.89,-0.18
169.00,2.48,220.25,2.89,-0.41,2.92,194.25,3.39,-0.47,2.45,196.75,2.89,-0.44
170.00,2.58,222.25,2.89,-0.31,2.70,196.25,3.40,-0.70,2.43,198.75,2.88,-0.46
171.00,2.59,224.25,2.89,-0.31,2.72,198.25,3.40,-0.68,2.36,200.75,2.88,-0.52
172.00,2.54,226.25,2.89,-0.35,2.84,200.25,3.41,-0.57,2.23,202.75,2.88,-0.65
173.00,2.51,228.25,2.89,-0.38,3.09,202.25,3.41,-0.32,2.30,204.75,2.87,-0.57
174.00,2.63,230.25,2.89,-0.26,2.98,204.25,3.42,-0.43,2.27,206.75,2.87,-0.60
175.00,2.44,232.25,2.89,-0.45,2.99,206.25,3.42,-0.44,2.42,208.75,2.86,-0.44
176.00,2.59,234.25,2.89,-0.30,3.01,208.25,3.43,-0.42,2.39,210.75,2.86,-0.47
177.00,2.56,236.75,2.89,-0.33,3.09,210.25,3.43,-0.34,2.42,212.75,2.86,-0.44
178.00,2.55,238.75,2.89,-0.34,3.06,212.25,3.44,-0.38,2.52,214.75,2.85,-0.33
179.00,2.43,240.75,2.89,-0.45,3.09,214.25,3.44,-0.35,2.24,216.75,2.85,-0.61
180.00,2.46,242.75,2.89,-0.43,2.89,216.25,3.45,-0.56,2.27,218.75,2.84,-0.58
181.00,2.31,244.75,2.89,-0.58,2.89,218.25,3.45,-0.57,2.35,220.75,2.84,-0.49
182.00,2.37,246.75,2.89,-0.52,2.92,220.25,3.46,-0.54,2.41,222.75,2.84,-0.42
183.00,2.48,248.75,2.89,-0.40,2.95,222.25,3.46,-0.52,2.32,224.75,2.83,-0.52
184.00,2.43,250.75,2.89,-0.46,2.98,224.25,3.47,-0.49,2.25,226.75,2.83,-0.58
185.00,2.42,252.75,2.89,-0.46,3.01,226.25,3.47,-0.46,2.32,228.75,2.82,-0.50
186.00,2.32,254.75,2.89,-0.56,3.07,228.25,3.48,-0.41,2.12,230.75,2.82,-0.70
187.00,2.38,256.75,2.89,-0.51,3.10,230.25,3.49,-0.38,2.07,232.75,2.82,-0.74
188.00,2.43,258.75,2.88,-0.45,3.19,232.25,3.49,-0.30,2.14,234.75,2.81,-0.68
189.00,2.40,260.75,2.88,-0.49,3.00,234.25,3.50,-0.50,2.36,236.75,2.81,-0.45
190.00,2.44,262.75,2.88,-0.44,3.00,236.25,3.50,-0.50,2.06,238.75,2.80,-0.75
191.00,2.49,264.75,2.88,-0.40,2.87,238.25,3.51,-0.64,1.96,240.75,2.80,-0.84
192.00,2.34,266.75,2.88,-0.54,2.87,240.25,3.51,-0.64,1.91,242.75,2.80,-0.89
193.00,2.40,268.75,2.88,-0.48,2.98,242.25,3.52,-0.54,1.91,244.75,2.79,-0.88
194.00,2.36,270.75,2.88,-0.52,3.02,244.25,3.52,-0.51,1.89,246.75,2.79,-0.90
195.00,2.33,272.75,2.88,-0.55,2.85,246.25,3.53,-0.68,2.07,248.75,2.78,-0.72
196.00,2.23,274.75,2.88,-0.66,2.69,248.75,3.53,-0.84,1.72,251.25,2.78,-1.06
197.00,2.33,276.75,2.88,-0.55,2.88,250.25,3.54,-0.66,1.64,253.25,2.78,-1.14
198.00,2.30,278.75,2.88,-0.58,2.84,252.75,3.54,-0.70,1.80,255.25,2.77,-0.98
199.00,2.23,280.75,2.88,-0.65,2.74,254.25,3.55,-0.81,1.62,257.25,2.77,-1.14
200.00,2.06,282.75,2.88,-0.82,2.67,256.25,3.55,-0.88,1.70,259.25,2.76,-1.07
201.00,2.19,284.75,2.88,-0.69,2.74,258.75,3.56,-0.82,1.83,261.25,2.76,-0.93
202.00,2.22,286.75,2.88,-0.66,2.73,260.75,3.56,-0.83,1.75,263.25,2.76,-1.01
203.00,2.24,288.75,2.88,-0.64,2.69,262.75,3.57,-0.88,1.53,265.25,2.75,-1.22
204.00,2.20,290.75,2.88,-0.68,2.58,264.75,3.58,-1.00,1.69,267.25,2.75,-1.06
205.00,2.17,292.75,2.88,-0.71,2.78,266.75,3.58,-0.80,1.80,269.25,2.74,-0.95
206.00,2.14,294.75,2.88,-0.74,2.69,268.75,3.59,-0.89,1.76,271.25,2.74,-0.98
207.00,1.96,296.75,2.88,-0.92,2.74,270.75,3.59,-0.85,1.63,273.25,2.74,-1.11
208.00,2.11,298.75,2.88,-0.77,2.69,272.75,3.60,-0.90,1.86,275.25,2.73,-0.87
209.00,1.99,300.75,2.88,-0.89,2.85,274.75,3.60,-0.75,1.65,277.75,2.73,-1.08
210.00,2.11,302.75,2.88,-0.77,2.71,276.75,3.61,-0.90,1.61,279.75,2.72,-1.11
211.00,2.09,304.75,2.88,-0.78,2.64,278.75,3.61,-0.97,1.68,281.75,2.72,-1.04
212.00,2.07,306.75,2.88,-0.80,2.65,280.75,3.62,-0.97,1.81,283.75,2.72,-0.91
213.00,2.29,308.75,2.88,-0.59,2.61,282.75,3.62,-1.01,1.41,285.75,2.71,-1.31
214.00,2.07,310.75,2.88,-0.80,2.60,284.75,3.63,-1.03,1.69,287.75,2.71,-1.02
215.00,2.07,312.75,2.88,-0.81,2.53,286.75,3.63,-1.10,1.48,289.75,2.70,-1.23
216.00,2.05,314.75,2.87,-0.83,2.59,288.75,3.64,-1.05,1.40,291.75,2.70,-1.30
217.00,2.02,316.75,2.87,-0.85,2.62,290.75,3.64,-1.02,1.45,294.25,2.70,-1.25
218.00,1.93,318.75,2.87,-0.95,2.50,292.75,3.65,-1.15,1.49,295.75,2.69,-1.20
219.00,2.04,320.75,2.87,-0.84,2.55,294.75,3.65,-1.11,1.48,298.25,2.69,-1.21
220.00,2.10,322.75,2.87,-0.77,2.79,296.75,3.66,-0.87,1.31,300.25,2.68,-1.37
221.00,2.20,324.75,2.87,-0.68,2.62,298.75,3.67,-1.05,1.54,302.25,2.68,-1.14
222.00,2.18,326.75,2.87,-0.70,2.76,300.75,3.67,-0.91,1.38,304.25,2.68,-1.29
223.00,1.96,328.75,2.87,-0.91,2.80,302.75,3.68,-0.88,1.50,306.25,2.67,-1.18
224.00,2.23,330.75,2.87,-0.65,2.61,304.75,3.68,-1.07,1.64,308.25,2.67,-1.03
225.00,2.01,332.75,2.87,-0.87,2.80,306.75,3.69,-0.88,1.64,310.25,2.66,-1.02
226.00,1.95,334.75,2.87,-0.92,2.67,308.75,3.69,-1.03,1.74,312.25,2.66,-0.92
227.00,1.96,336.75,2.87,-0.91,2.68,310.75,3.70,-1.02,1.63,314.25,2.66,-1.03
228.00,1.94,338.75,2.87,-0.93,2.67,312.75,3.70,-1.04,1.54,316.25,2.65,-1.12
229.00,1.94,340.75,2.87,-0.93,2.72,314.75,3.71,-0.99,1.76,318.25,2.65,-0.88
230.00,2.01,342.25,2.87,-0.86,2.52,316.75,3.71,-1.19,1.64,320.25,2.64,-1.01
231.00,1.94,344.75,2.87,-0.93,2.67,318.75,3.72,-1.04,1.57,322.25,2.64,-1.07
232.00,1.79,346.75,2.87,-1.07,2.54,320.75,3.72,-1.18,1.50,324.75,2.64,-1.14
233.00,1.98,348.75,2.87,-0.89,2.43,323.25,3.73,-1.30,1.64,326.75,2.63,-0.99
234.00,1.89,350.75,2.87,-0.97,2.65,325.25,3.73,-1.08,1.32,328.75,2.63,-1.30
235.00,1.92,352.75,2.87,-0.95,2.57,327.25,3.74,-1.17,1.38,330.75,2.62,-1.24
236.00,1.86,354.75,2.87,-1.01,2.48,329.25,3.74,-1.26,1.51,332.75,2.62,-1.11
237.00,1.81,356.75,2.87,-1.06,2.45,331.25,3.75,-1.30,1.42,334.75,2.62,-1.20
238.00,1.62,358.75,2.87,-1.25,2.62,333.25,3.76,-1.14,1.32,336.75,2.61,-1.29
239.00,1.75,360.75,2.87,-1.12,2.60,335.25,3.76,-1.16,1.20,338.75,2.61,-1.41
240.00,1.72,362.75,2.87,-1.15,2.62,337.25,3.77,-1.14,1.33,340.75,2.61,-1.27
241.00,1.79,365.25,2.87,-1.08,2.69,339.25,3.77,-1.08,1.28,342.75,2.60,-1.32
242.00,1.68,367.25,2.87,-1.19,2.50,341.25,3.78,-1.27,1.32,344.75,2.60,-1.27
243.00,1.72,369.25,2.87,-1.14,2.66,343.75,3.78,-1.12,1.38,347.25,2.59,-1.21
244.00,1.77,371.25,2.87,-1.10,2.58,345.75,3.79,-1.21,1.24,349.25,2.59,-1.35
245.00,1.54,373.25,2.86,-1.32,2.55,347.75,3.79,-1.25,1.13,351.25,2.59,-1.45
246.00,1.65,375.25,2.86,-1.21,2.52,349.75,3.80,-1.28,1.19,353.25,2.58,-1.39
247.00,1.55,377.25,2.86,-1.32,2.46,351.75,3.80,-1.34,1.44,355.25,2.58,-1.14
248.00,1.48,379.25,2.86,-1.39,2.60,353.75,3.81,-1.21,1.21,357.25,2.57,-1.37
249.00,1.61,381.25,2.86,-1.25,2.55,355.75,3.81,-1.27,1.34,359.25,2.57,-1.23
250.00,1.72,383.25,2.86,-1.15,2.57,357.75,3.82,-1.25,1.03,361.25,2.57,-1.54
251.00,1.91,385.25,2.86,-0.95,2.46,359.75,3.82,-1.36,1.10,363.25,2.56,-1.46
252.00,1.78,387.25,2.86,-1.08,2.51,361.75,3.83,-1.32,1.21,365.25,2.56,-1.35
253.00,1.83,389.25,2.86,-1.03,2.50,363.75,3.83,-1.33,1.11,367.25,2.55,-1.45
254.00,1.78,391.75,2.86,-1.09,2.56,365.75,3.84,-1.28,1.31,369.25,2.55,-1.24
255.00,1.75,393.75,2.86,-1.11,2.50,367.75,3.84,-1.35,1.40,371.25,2.55,-1.14
256.00,1.69,395.75,2.86,-1.17,2.58,369.75,3.85,-1.27,1.23,373.25,2.54,-1.31
257.00,1.61,397.75,2.86,-1.25,2.48,372.25,3.86,-1.38,1.32,375.25,2.54,-1.22
258.00,1.83,399.75,2.86,-1.03,2.37,374.25,3.86,-1.49,1.10,377.25,2.53,-1.44
259.00,1.69,401.75,2.86,-1.17,2.38,376.25,3.87,-1.48,1.17,379.25,2.53,-1.36
260.00,1.75,403.75,2.86,-1.11,2.48,378.25,3.87,-1.39,0.97,381.75,2.53,-1.56
261.00,1.82,406.25,2.86,-1.04,2.47,380.25,3.88,-1.41,1.13,383.75,2.52,-1.39
262.00,1.71,408.25,2.86,-1.15,2.43,382.25,3.88,-1.45,1.05,385.75,2.52,-1.46
263.00,1.60,410.25,2.86,-1.26,2.47,384.25,3.89,-1.42,1.02,387.75,2.51,-1.50
264.00,1.74,412.25,2.86,-1.11,2.52,386.25,3.89,-1.37,0.93,389.75,2.51,-1.58
265.00,1.87,414.25,2.86,-0.99,2.54,388.25,3.90,-1.35,0.92,391.75,2.51,-1.58
266.00,1.76,416.25,2.86,-1.09,2.59,390.25,3.90,-1.31,0.92,393.75,2.50,-1.58
267.00,1.79,418.25,2.86,-1.07,2.75,392.25,3.91,-1.16,0.77,396.25,2.50,-1.73
268.00,1.89,420.25,2.86,-0.97,2.50,394.25,3.91,-1.42,0.83,398.25,2.49,-1.66
269.00,1.82,422.25,2.86,-1.04,2.63,396.25,3.92,-1.29,0.78,400.25,2.49,-1.71
270.00,1.71,424.25,2.86,-1.14,2.67,398.25,3.92,-1.25,0.72,402.25,2.49,-1.76
271.00,1.57,426.25,2.86,-1.28,2.85,400.25,3.93,-1.08,0.61,404.25,2.48,-1.87
272.00,1.54,427.75,2.86,-1.32,2.67,402.25,3.93,-1.26,0.67,406.25,2.48,-1.81
273.00,1.53,429.75,2.85,-1.32,2.68,404.25,3.94,-1.26,0.69,408.25,2.47,-1.79
274.00,1.76,431.75,2.85,-1.10,2.68,406.25,3.95,-1.26,0.55,410.25,2.47,-1.92
275.00,1.56,433.75,2.85,-1.29,2.68,408.25,3.95,-1.27,0.50,412.25,2.47,-1.96
276.00,1.71,435.75,2.85,-1.14,2.78,410.25,3.96,-1.17,0.77,414.25,2.46,-1.69
277.00,1.93,437.75,2.85,-0.92,2.63,412.25,3.96,-1.33,0.85,416.25,2.46,-1.61
278.00,1.88,439.75,2.85,-0.97,2.56,414.75,3.97,-1.40,0.70,418.25,2.45,-1.75
279.00,2.05,441.75,2.85,-0.80,2.68,416.25,3.97,-1.29,0.64,420.25,2.45,-1.81
280.00,1.85,443.75,2.85,-1.00,2.65,418.75,3.98,-1.32,0.50,422.25,2.45,-1.94
281.00,1.88,445.75,2.85,-0.98,2.54,420.75,3.98,-1.44,0.68,424.25,2.44,-1.76
282.00,1.68,447.75,2.85,-1.17,2.65,422.75,3.99,-1.34,0.67,426.25,2.44,-1.77
283.00,1.64,449.25,2.85,-1.21,2.59,424.75,3.99,-1.40,0.66,428.75,2.43,-1.77
284.00,1.60,451.25,2.85,-1.25,2.52,426.75,4.00,-1.48,0.62,430.75,2.43,-1.81
285.00,1.57,453.25,2.85,-1.28,2.50,428.75,4.00,-1.50,0.46,432.75,2.43,-1.97
286.00,1.66,455.25,2.85,-1.19,2.55,430.75,4.01,-1.46,0.64,434.75,2.42,-1.79
287.00,1.51,457.25,2.85,-1.34,2.62,432.75,4.01,-1.39,0.73,436.75,2.42,-1.69
288.00,1.58,459.25,2.85,-1.27,2.65,434.75,4.02,-1.36,0.68,438.75,2.41,-1.74
289.00,1.55,461.25,2.85,-1.30,2.80,436.75,4.02,-1.23,0.71,440.75,2.41,-1.70
290.00,1.51,463.25,2.85,-1.34,2.80,438.75,4.03,-1.23,0.73,442.75,2.41,-1.68
291.00,1.61,465.25,2.85,-1.24,2.67,441.25,4.04,-1.36,0.74,444.75,2.40,-1.67
292.00,1.52,466.75,2.85,-1.33,2.67,442.75,4.04,-1.37,0.57,446.75,2.40,-1.83
293.00,1.50,468.75,2.85,-1.35,2.65,444.75,4.05,-1.40,0.42,448.75,2.39,-1.97
294.00,1.41,470.75,2.85,-1.44,2.45,447.25,4.05,-1.60,0.57,450.75,2.39,-1.82
295.00,1.63,472.75,2.85,-1.22,2.71,449.25,4.06,-1.34,0.40,452.75,2.39,-1.99
296.00,1.56,474.75,2.85,-1.28,2.74,451.25,4.06,-1.33,0.40,455.25,2.38,-1.98
297.00,1.49,476.75,2.85,-1.36,2.69,453.25,4.07,-1.37,0.39,457.25,2.38,-1.98
298.00,1.64,478.75,2.85,-1.21,2.70,455.25,4.07,-1.37,0.42,459.25,2.37,-1.95
299.00,1.42,480.75,2.85,-1.43,2.50,457.25,4.08,-1.58,0.39,461.25,2.37,-1.98
300.00,1.31,482.75,2.85,-1.54,2.64,459.00,4.08,-1.44,0.42,463.25,2.37,-1.94
301.00,1.43,484.75,2.84,-1.42,2.72,460.75,4.09,-1.37,0.38,465.25,2.36,-1.98
302.00,1.46,486.75,2.84,-1.38,2.66,463.25,4.09,-1.43,0.35,467.25,2.36,-2.00
303.00,1.31,488.75,2.84,-1.53,2.52,465.25,4.10,-1.58,0.27,469.25,2.35,-2.08
304.00,1.12,490.75,2.84,-1.73,2.72,467.25,4.10,-1.38,0.43,471.25,2.35,-1.92
305.00,1.37,492.75,2.84,-1.48,2.51,469.25,4.11,-1.60,0.42,473.25,2.35,-1.93
306.00,1.36,494.25,2.84,-1.49,2.58,471.25,4.11,-1.54,0.41,475.25,2.34,-1.93
307.00,1.31,496.25,2.84,-1.53,2.66,473.25,4.12,-1.46,0.46,477.25,2.34,-1.88
308.00,1.38,498.25,2.84,-1.47,2.82,475.25,4.12,-1.30,0.45,479.25,2.33,-1.89
309.00,1.45,500.25,2.84,-1.39,2.62,477.75,4.13,-1.51,0.38,481.25,2.33,-1.95
310.00,1.44,502.25,2.84,-1.41,2.52,479.75,4.14,-1.62,0.61,483.25,2.33,-1.72
311.00,1.48,504.25,2.84,-1.36,2.62,481.75,4.14,-1.52,0.47,485.25,2.32,-1.85
312.00,1.50,506.25,2.84,-1.34,2.65,483.75,4.15,-1.49,0.36,487.25,2.32,-1.96
313.00,1.42,508.25,2.84,-1.42,2.51,485.75,4.15,-1.64,0.28,489.25,2.31,-2.03
314.00,1.43,510.25,2.84,-1.41,2.60,487.75,4.16,-1.56,0.46,491.00,2.31,-1.85
315.00,1.45,512.25,2.84,-1.39,2.63,489.75,4.16,-1.53,0.51,492.75,2.31,-1.80
316.00,1.37,514.25,2.84,-1.47,2.66,491.75,4.17,-1.51,0.40,494.75,2.30,-1.91
