Time after Ignition,ABS_R1,ABS_R2,ABS_R3,Mean,Std. Dev.
14.5,820.0,811.3,797.4,809.6,11.4
14.75,782.7,818.6,793.2,798.2,18.4
15.0,799.7,823.8,826.5,816.7,14.7
15.25,863.6,851.8,845.1,853.5,9.4
15.5,832.7,895.3,812.1,846.7,43.3
15.75,866.0,863.4,850.4,860.0,8.4
16.0,858.9,888.5,893.3,880.2,18.6
16.25,873.1,871.4,862.5,869.0,5.7
16.5,859.8,877.4,895.6,877.6,17.9
16.75,914.7,904.3,857.0,892.0,30.7
17.0,885.0,905.2,882.1,890.8,12.6
17.25,926.6,898.9,876.1,900.5,25.3
17.5,928.6,876.2,874.0,892.9,30.9
17.75,955.3,949.2,915.6,940.1,21.4
18.0,958.3,953.0,904.2,938.5,29.8
18.25,972.6,942.5,931.0,948.7,21.5
18.5,905.9,958.3,877.0,913.7,41.2
18.75,936.7,960.3,935.8,944.3,13.9
19.0,947.5,934.2,965.4,949.0,15.7
19.25,911.2,1008.7,888.5,936.1,63.9
19.5,958.7,948.2,915.9,940.9,22.3
19.75,1047.8,946.4,971.5,988.6,52.8
20.0,964.8,986.8,899.7,950.4,45.3
20.25,988.0,974.2,930.9,964.4,29.8
20.5,1036.3,962.3,936.8,978.5,51.7
20.75,1006.1,1016.5,934.5,985.7,44.6
21.0,1018.0,987.8,980.8,995.6,19.8
21.25,1005.3,1005.5,1000.2,1003.7,3.0
21.5,1020.4,998.6,1002.4,1007.1,11.7
21.75,1031.9,1050.4,963.1,1015.1,46.0
22.0,968.1,1004.5,1017.0,996.6,25.4
22.25,1003.0,1021.9,992.6,1005.8,14.9
22.5,1079.8,1069.7,1007.3,1052.3,39.3
22.75,1066.7,1030.7,991.7,1029.7,37.5
23.0,1043.7,1060.4,952.3,1018.8,58.2
23.25,1004.8,1034.6,987.4,1008.9,23.9
23.5,1009.7,1051.4,964.7,1008.6,43.4
23.75,1010.0,1054.7,1034.1,1033.0,22.4
24.0,1041.4,1014.8,983.0,1013.0,29.2
24.25,994.8,1012.8,1030.9,1012.8,18.1
24.5,1032.4,1031.2,989.9,1017.8,24.2
24.75,1042.2,1026.1,996.1,1021.4,23.4
25.0,1061.6,1074.9,1020.7,1052.4,28.2
25.25,1046.4,1065.4,1034.9,1048.9,15.4
25.5,1026.1,985.9,1051.9,1021.3,33.2
25.75,1080.7,1067.0,1039.9,1062.5,20.8
26.0,1002.1,988.4,1019.9,1003.5,15.8
26.25,1037.8,1009.3,1068.2,1038.4,29.5
26.5,1041.7,1025.7,1049.2,1038.9,12.0
26.75,985.5,1090.8,1072.4,1049.6,56.3
27.0,1101.0,1018.0,1057.2,1058.7,41.6
27.25,993.8,1026.3,1081.5,1033.8,44.3
27.5,1075.3,1042.5,1061.2,1059.7,16.5
27.75,1028.9,1055.0,1105.6,1063.2,39.0
28.0,1114.3,1021.4,1058.4,1064.7,46.7
28.25,1063.8,1063.2,1070.3,1065.7,4.0
28.5,1107.9,1123.9,1024.4,1085.4,53.4
28.75,1136.7,1070.1,1113.8,1106.8,33.8
29.0,1054.8,1063.4,1059.4,1059.2,4.3
29.25,1132.6,1069.0,1065.0,1088.9,37.9
29.5,1056.8,1090.7,1054.4,1067.3,20.3
29.75,1141.1,1102.3,1065.1,1102.8,38.0
30.0,1066.8,1108.6,1076.5,1084.0,21.9
30.25,1056.0,1124.5,1103.4,1094.6,35.1
30.5,1136.2,1111.0,1085.4,1110.9,25.4
30.75,1117.0,1067.4,1082.1,1088.9,25.5
31.0,1165.0,1124.6,1042.9,1110.9,62.2
31.25,1115.5,1047.3,1104.8,1089.2,36.7
31.5,1138.0,1095.8,1093.1,1109.0,25.2
31.75,1081.8,1133.3,1200.7,1138.6,59.6
32.0,1074.8,1078.1,1143.3,1098.8,38.6
32.25,1133.0,1049.4,1119.3,1100.6,44.8
32.5,1106.3,1139.4,1118.7,1121.5,16.7
32.75,1149.7,1159.2,1211.1,1173.3,33.1
33.0,1040.5,1100.7,1094.3,1078.5,33.1
33.25,1100.8,1142.3,1217.0,1153.3,58.9
33.5,1132.4,1106.1,1133.0,1123.8,15.4
33.75,1214.2,1144.1,1186.4,1181.5,35.3
34.0,1090.1,1119.9,1173.5,1127.8,42.2
34.25,1112.6,1181.5,1185.5,1159.8,41.0
34.5,1110.5,1164.1,1198.5,1157.7,44.3
34.75,1097.4,1137.2,1122.8,1119.1,20.1
35.0,1073.3,1173.2,1213.4,1153.3,72.1
35.25,1208.7,1108.8,1283.0,1200.2,87.4
35.5,1069.7,1161.1,1171.5,1134.1,56.0
35.75,1191.2,1253.3,1210.9,1218.5,31.8
36.0,1164.6,1099.9,1176.8,1147.1,41.3
36.25,1172.4,1180.4,1256.4,1203.1,46.4
36.5,1153.7,1238.6,1272.2,1221.5,61.1
36.75,1149.9,1186.4,1233.6,1189.9,42.0
37.0,1168.0,1195.7,1233.5,1199.0,32.9
37.25,1164.3,1174.6,1257.4,1198.7,51.0
37.5,1205.9,1150.5,1266.9,1207.8,58.2
37.75,1182.3,1259.0,1274.3,1238.5,49.3
38.0,1169.0,1342.0,1261.8,1257.6,86.6
38.25,1247.3,1183.0,1318.7,1249.6,67.9
38.5,1194.2,1118.7,1231.3,1181.4,57.4
38.75,1235.5,1208.5,1281.8,1241.9,37.0
39.0,1249.1,1138.0,1260.7,1215.9,67.8
39.25,1234.0,1212.9,1270.2,1239.0,29.0
39.5,1235.1,1197.9,1249.7,1227.6,26.7
39.75,1165.3,1225.4,1262.7,1217.8,49.1
40.0,1280.1,1198.9,1282.6,1253.9,47.7
40.25,1193.2,1286.3,1277.2,1252.3,51.3
40.5,1204.9,1163.5,1268.5,1212.3,52.9
40.75,1222.6,1188.3,1263.4,1224.8,37.6
41.0,1225.3,1287.2,1327.6,1280.0,51.5
41.25,1283.3,1352.3,1292.5,1309.4,37.4
41.5,1248.0,1256.1,1242.9,1249.0,6.7
41.75,1436.0,1252.2,1352.3,1346.8,92.1
42.0,1254.5,1351.6,1271.0,1292.4,51.9
42.25,1227.8,1243.5,1282.7,1251.3,28.3
42.5,1219.5,1304.2,1324.8,1282.9,55.8
42.75,1309.9,1234.8,1313.8,1286.2,44.5
43.0,1170.8,1280.4,1402.4,1284.5,115.8
43.25,1265.9,1278.1,1417.6,1320.5,84.3
43.5,1342.2,1285.9,1334.9,1321.0,30.6
43.75,1240.1,1266.0,1341.1,1282.4,52.5
44.0,1315.4,1312.3,1327.5,1318.4,8.0
44.25,1292.6,1417.5,1215.2,1308.4,102.1
44.5,1157.4,1262.3,1452.1,1290.6,149.4
44.75,1396.7,1312.0,1287.0,1331.9,57.5
45.0,1316.0,1400.4,1450.0,1388.8,67.7
45.25,1391.3,1399.4,1397.6,1396.1,4.2
45.5,1352.1,1365.9,1331.6,1349.8,17.2
45.75,1298.3,1241.0,1423.9,1321.1,93.6
46.0,1263.6,1442.8,1272.3,1326.2,101.1
46.25,1390.2,1378.8,1384.8,1384.6,5.7
46.5,1353.6,1324.2,1352.7,1343.5,16.7
46.75,1451.9,1383.9,1426.8,1420.9,34.4
47.0,1298.9,1395.2,1320.3,1338.1,50.5
47.25,1332.5,1462.2,1410.0,1401.6,65.3
47.5,1391.7,1441.8,1703.0,1512.1,167.2
47.75,1353.2,1473.5,1396.2,1407.6,61.0
48.0,1302.8,1452.1,1424.8,1393.2,79.5
48.25,1437.0,1298.4,1448.8,1394.7,83.6
48.5,1360.1,1425.3,1446.7,1410.7,45.1
48.75,1450.6,1450.4,1501.3,1467.4,29.3
49.0,1430.8,1288.1,1474.0,1397.6,97.3
49.25,1345.0,1544.2,1523.4,1470.8,109.5
49.5,1516.4,1520.6,1496.6,1511.2,12.8
49.75,1496.3,1434.1,1466.2,1465.5,31.1
50.0,1430.7,1414.9,1447.7,1431.1,16.4
50.25,1407.2,1372.5,1495.3,1425.0,63.3
50.5,1471.2,1468.0,1424.2,1454.5,26.3
50.75,1612.8,1516.0,1572.2,1567.0,48.6
51.0,1453.8,1498.0,1491.9,1481.3,23.9
51.25,1320.2,1550.5,1735.4,1535.4,208.0
51.5,1431.3,1441.0,1364.3,1412.2,41.7
51.75,1419.0,1440.2,1508.6,1455.9,46.8
52.0,1612.5,1490.4,1571.3,1558.0,62.1
52.25,1469.3,1598.2,1399.1,1488.8,101.0
52.5,1568.5,1525.8,1564.4,1552.9,23.6
52.75,1512.4,1506.7,1439.5,1486.2,40.5
53.0,1530.2,1686.8,1454.8,1557.2,118.3
53.25,1449.4,1398.2,1765.1,1537.5,198.7
53.5,1436.8,1511.2,1454.8,1467.6,38.8
53.75,1636.6,1642.5,1606.6,1628.6,19.2
54.0,1493.1,1770.4,1566.7,1610.1,143.6
54.25,1523.0,1564.0,1645.4,1577.5,62.3
54.5,1521.0,1541.1,1864.7,1642.3,192.9
54.75,1582.9,1505.6,1630.3,1573.0,63.0
55.0,1615.4,1603.5,1472.1,1563.6,79.5
55.25,1570.2,1672.3,1693.6,1645.4,66.0
55.5,1531.5,1744.5,1792.5,1689.5,138.9
55.75,1564.3,1698.2,1346.3,1536.3,177.6
56.0,1669.9,1735.7,1476.8,1627.5,134.6
56.25,1565.1,1652.0,1763.8,1660.3,99.6
56.5,1735.7,1412.9,1664.1,1604.2,169.5
56.75,1625.9,1694.6,1793.8,1704.8,84.4
57.0,1622.2,1506.6,1803.8,1644.2,149.8
57.25,1697.0,1701.2,1681.6,1693.3,10.3
57.5,1486.1,1705.7,1666.4,1619.4,117.1
57.75,1533.0,1696.9,1802.1,1677.3,135.7
58.0,1864.7,1718.8,1553.9,1712.5,155.5
58.25,1411.0,1607.5,1573.3,1530.6,105.0
58.5,1676.4,1747.7,1722.6,1715.6,36.2
58.75,1606.8,1605.1,1623.0,1611.6,9.9
59.0,1697.2,1717.4,1877.9,1764.2,99.0
59.25,1798.0,1624.8,1823.4,1748.7,108.1
59.5,1691.9,1725.0,1581.3,1666.1,75.2
59.75,1553.7,1745.3,1744.4,1681.1,110.3
60.0,1512.9,1503.8,1688.7,1568.5,104.2
60.25,1696.9,1655.3,1551.3,1634.5,75.0
60.5,1666.1,1784.7,1633.5,1694.7,79.5
60.75,1611.5,1691.8,1951.9,1751.7,177.9
61.0,1715.1,1629.3,1656.4,1666.9,43.9
61.25,1787.1,1750.2,2074.0,1870.4,177.3
61.5,1588.6,1697.0,2094.8,1793.5,266.5
61.75,1699.3,1816.0,1672.3,1729.2,76.3
62.0,1593.9,1647.0,2022.0,1754.3,233.4
62.25,1581.1,1621.1,1716.6,1639.6,69.6
62.5,1708.2,1728.2,1702.6,1713.0,13.5
62.75,1663.7,1791.6,1743.2,1732.8,64.6
63.0,1839.4,1884.2,1577.0,1766.8,166.0
63.25,1656.1,1624.1,2141.0,1807.1,289.6
63.5,1540.8,1740.4,1563.2,1614.8,109.4
63.75,1714.4,1833.3,2110.2,1886.0,203.1
64.0,1833.9,1927.9,2090.1,1950.6,129.6
64.25,1896.9,1664.3,2031.0,1864.1,185.5
64.5,1662.9,1619.2,1641.4,1641.2,21.8
64.75,1771.4,1687.5,2035.0,1831.3,181.4
65.0,1823.0,1833.5,2160.3,1938.9,191.8
65.25,2078.1,1888.4,1803.4,1923.3,140.6
65.5,1826.4,1700.4,1931.1,1819.3,115.5
65.75,1662.5,1834.6,2195.1,1897.4,271.8
66.0,1898.3,1840.2,2105.5,1948.0,139.5
66.25,1609.6,1657.2,1938.4,1735.1,177.7
66.5,2056.1,1796.3,1891.8,1914.7,131.4
66.75,1966.4,1715.3,1861.9,1847.9,126.1
67.0,1682.2,1744.1,2239.5,1888.6,305.5
67.25,1775.0,1848.9,1959.4,1861.1,92.8
67.5,2039.7,1852.9,1844.6,1912.4,110.3
67.75,1797.6,1659.7,1852.0,1769.8,99.1
68.0,1942.3,1612.0,2170.4,1908.2,280.8
68.25,2055.5,2066.4,2088.4,2070.1,16.8
68.5,1977.2,1722.1,1760.5,1820.0,137.5
68.75,1723.0,1767.9,2231.6,1907.5,281.6
69.0,2122.6,1775.4,1861.5,1919.8,180.8
69.25,1723.5,1927.4,1672.9,1774.6,134.7
69.5,1852.2,1785.7,2189.7,1942.5,216.6
69.75,2372.8,1757.3,2023.7,2051.3,308.6
70.0,1668.8,1665.7,1793.5,1709.3,72.9
70.25,1859.0,1557.3,1714.6,1710.3,150.9
70.5,1832.1,1673.3,2350.7,1952.0,354.3
70.75,1789.2,1684.1,2048.1,1840.5,187.3
71.0,1933.2,1929.1,2223.5,2028.6,168.8
71.25,1835.6,1643.7,1555.5,1678.2,143.2
71.5,2044.4,1758.4,1878.0,1893.6,143.6
71.75,1961.9,1715.6,1868.7,1848.8,124.4
72.0,1667.7,1911.3,2355.3,1978.1,348.6
72.25,2186.7,1899.5,1745.9,1944.0,223.8
72.5,1735.6,1926.8,2076.9,1913.1,171.1
72.75,1863.7,1905.4,2388.3,2052.5,291.6
73.0,1801.2,2015.9,1829.2,1882.1,116.7
73.25,1779.0,1892.8,1976.0,1882.6,98.9
73.5,1660.1,1785.9,1829.5,1758.5,88.0
73.75,1930.3,2024.1,1813.5,1922.6,105.5
74.0,1908.5,1825.5,2101.3,1945.1,141.5
74.25,1835.2,2027.6,1963.3,1942.0,97.9
74.5,1947.5,1971.2,1986.6,1968.4,19.7
74.75,1808.8,2013.0,2038.1,1953.3,125.8
75.0,1783.2,1821.0,1993.6,1865.9,112.2
75.25,2186.5,1918.8,2022.5,2042.6,135.0
75.5,1853.4,1833.1,2012.1,1899.5,98.0
75.75,1770.7,1898.5,1798.1,1822.4,67.3
76.0,1913.2,1938.9,1878.2,1910.1,30.4
76.25,1655.6,1721.8,1947.8,1775.1,153.2
76.5,1735.0,1819.6,2141.8,1898.8,214.6
76.75,1758.8,1837.8,1820.8,1805.8,41.6
77.0,1963.0,1738.7,1863.7,1855.1,112.4
77.25,1829.2,1775.4,1847.7,1817.4,37.5
77.5,2047.2,1700.2,1809.1,1852.2,177.4
77.75,1895.0,1839.1,1794.6,1842.9,50.4
78.0,1669.7,1677.2,1741.6,1696.2,39.5
78.25,1866.1,1739.5,1770.4,1792.0,66.0
78.5,1808.9,1696.9,1737.2,1747.7,56.7
78.75,1738.5,1647.6,1714.7,1700.3,47.2
79.0,1635.4,1608.5,1696.6,1646.8,45.1
79.25,1650.0,1606.7,1630.8,1629.1,21.7
79.5,1844.6,1641.7,1730.2,1738.8,101.7
79.75,1766.9,1516.9,1625.3,1636.4,125.4
80.0,1742.7,1444.6,1576.8,1588.1,149.3
80.25,1652.1,1549.4,1590.3,1597.3,51.7
80.5,1676.8,1532.6,1537.4,1582.3,81.9
80.75,1616.0,1464.9,1547.1,1542.7,75.7
81.0,1583.6,1410.8,1509.5,1501.3,86.7
81.25,1640.8,1494.7,1520.6,1552.1,77.9
81.5,1624.5,1450.5,1455.0,1510.0,99.2
81.75,1593.5,1353.8,1407.9,1451.7,125.7
82.0,1524.2,1389.7,1380.4,1431.4,80.5
82.25,1573.6,1346.8,1378.1,1432.8,122.9
82.5,1533.4,1261.8,1356.3,1383.8,137.9
82.75,1480.7,1274.1,1342.4,1365.8,105.2
83.0,1416.0,1156.9,1311.2,1294.7,130.3
83.25,1397.4,1200.0,1262.6,1286.7,100.9
83.5,1365.4,1207.9,1221.4,1264.9,87.3
83.75,1291.5,1149.9,1168.3,1203.2,77.0
84.0,1301.9,1056.2,1129.8,1162.7,126.1
84.25,1241.4,1033.9,1081.9,1119.1,108.6
84.5,1213.0,1012.7,1027.8,1084.5,111.5
84.75,1162.5,1019.1,1002.5,1061.4,88.0
85.0,1125.0,987.7,956.1,1022.9,89.8
85.25,1099.5,952.4,908.1,986.7,100.2
85.5,1025.7,908.8,867.6,934.0,82.0
85.75,1005.5,888.3,821.8,905.2,93.0
86.0,948.6,840.4,782.5,857.2,84.3
86.25,914.8,810.1,734.9,819.9,90.4
86.5,860.2,788.5,713.0,787.2,73.6
86.75,839.0,750.7,691.7,760.5,74.1
87.0,795.3,730.3,,762.8,46.0
87.25,771.6,699.6,,735.6,51.0
87.5,729.7,660.8,,695.2,48.7
87.75,699.5,626.9,,663.2,51.3
88.0,649.4,603.4,,626.4,32.5
88.25,612.4,571.3,,591.8,29.1
88.5,579.1,552.1,,565.6,19.1
88.75,553.5,512.1,,532.8,29.3
