Time after Ignition,ABS_R1,ABS_R2,ABS_R3,Mean,Std. Dev.
27.75,813.4,785.6,824.1,807.7,19.9
28.0,807.9,803.0,805.1,805.3,2.5
28.25,817.6,800.3,799.5,805.8,10.2
28.5,820.8,827.8,837.1,828.5,8.2
28.75,798.6,823.0,823.1,814.9,14.1
29.0,829.5,846.3,819.4,831.7,13.6
29.25,828.3,840.7,829.2,832.7,6.9
29.5,836.2,850.0,813.7,833.3,18.3
29.75,821.5,828.9,810.8,820.4,9.1
30.0,874.6,830.6,840.6,848.6,23.0
30.25,842.4,825.6,788.3,818.8,27.7
30.5,798.9,820.3,808.6,809.3,10.7
30.75,838.2,846.3,823.3,835.9,11.7
31.0,806.3,808.1,817.0,810.5,5.7
31.25,829.5,843.4,793.4,822.1,25.8
31.5,832.8,909.9,845.0,862.5,41.4
31.75,816.7,827.0,818.7,820.8,5.5
32.0,850.3,845.8,827.3,841.1,12.2
32.25,831.2,849.4,839.7,840.1,9.1
32.5,832.2,882.4,842.3,852.3,26.5
32.75,859.1,853.6,790.5,834.4,38.1
33.0,876.5,840.7,823.9,847.0,26.9
33.25,825.4,827.5,849.5,834.1,13.3
33.5,862.5,849.6,814.4,842.2,24.9
33.75,848.9,870.1,848.0,855.7,12.5
34.0,847.4,844.9,862.2,851.5,9.4
34.25,854.9,863.9,873.7,864.2,9.4
34.5,858.1,876.1,838.7,857.6,18.7
34.75,842.2,861.8,848.2,850.8,10.1
35.0,862.0,861.8,848.0,857.3,8.0
35.25,858.6,883.9,871.9,871.5,12.7
35.5,851.6,864.8,870.4,862.3,9.6
35.75,829.3,866.9,842.0,846.1,19.1
36.0,878.3,869.1,850.8,866.1,14.0
36.25,854.4,901.1,861.5,872.3,25.2
36.5,876.3,888.2,881.6,882.0,6.0
36.75,882.1,868.9,876.0,875.6,6.6
37.0,877.2,900.7,892.3,890.1,11.9
37.25,852.2,896.6,860.5,869.8,23.6
37.5,911.7,901.9,913.8,909.1,6.3
37.75,878.9,878.7,898.1,885.2,11.2
38.0,881.6,876.5,874.0,877.4,3.9
38.25,869.0,874.1,890.8,878.0,11.4
38.5,862.4,930.0,893.9,895.4,33.8
38.75,869.7,871.1,905.8,882.2,20.4
39.0,864.4,898.1,898.0,886.8,19.4
39.25,906.2,857.3,884.3,882.6,24.5
39.5,915.4,906.8,895.5,905.9,10.0
39.75,914.6,899.0,890.6,901.4,12.2
40.0,861.9,909.0,862.7,877.9,27.0
40.25,905.8,920.8,899.3,908.6,11.0
40.5,924.7,901.8,924.2,916.9,13.1
40.75,921.8,889.6,940.5,917.3,25.7
41.0,859.9,904.1,956.7,906.9,48.5
41.25,915.1,893.3,922.5,910.3,15.2
41.5,884.2,913.5,932.4,910.0,24.3
41.75,964.5,890.5,926.0,927.0,37.0
42.0,916.7,913.9,897.4,909.3,10.5
42.25,899.7,919.9,956.6,925.4,28.8
42.5,908.4,878.7,919.6,902.2,21.1
42.75,892.8,924.0,933.7,916.9,21.4
43.0,897.6,939.3,918.5,918.5,20.9
43.25,883.2,919.3,932.7,911.7,25.6
43.5,859.9,965.3,942.1,922.4,55.4
43.75,934.9,945.6,915.6,932.0,15.2
44.0,949.1,936.6,952.0,945.9,8.2
44.25,879.8,960.2,962.0,934.0,46.9
44.5,909.1,931.1,964.3,934.8,27.8
44.75,909.9,922.9,936.0,922.9,13.0
45.0,977.7,918.5,992.3,962.8,39.1
45.25,937.8,951.1,976.7,955.2,19.8
45.5,917.4,962.8,1018.1,966.1,50.4
45.75,891.3,941.6,939.3,924.1,28.4
46.0,905.2,956.4,938.9,933.5,26.0
46.25,948.9,946.1,932.0,942.3,9.1
46.5,939.2,986.6,1018.9,981.6,40.1
46.75,898.5,914.7,1001.0,938.0,55.1
47.0,947.1,947.9,952.5,949.2,2.9
47.25,921.1,948.4,976.7,948.7,27.8
47.5,926.4,922.1,942.6,930.4,10.8
47.75,959.8,960.2,1049.5,989.8,51.7
48.0,967.0,945.9,1001.5,971.5,28.1
48.25,933.0,905.6,1019.8,952.8,59.6
48.5,924.0,986.9,969.0,960.0,32.4
48.75,898.7,953.0,977.0,942.9,40.1
49.0,967.3,980.0,969.3,972.2,6.8
49.25,984.9,946.1,1050.0,993.7,52.5
49.5,927.2,941.1,1011.3,959.9,45.1
49.75,968.0,964.6,1046.5,993.0,46.4
50.0,938.7,972.5,1002.9,971.4,32.1
50.25,1016.9,905.8,951.4,958.0,55.8
50.5,936.4,962.4,1034.5,977.8,50.8
50.75,952.3,985.6,1041.8,993.2,45.2
51.0,987.0,975.4,996.1,986.2,10.3
51.25,947.7,947.8,1030.4,975.3,47.7
51.5,948.4,960.9,1001.6,970.3,27.8
51.75,960.8,997.4,1055.8,1004.7,47.9
52.0,1030.2,1021.8,1017.1,1023.1,6.6
52.25,1006.7,968.5,1012.2,995.8,23.8
52.5,903.5,987.8,1014.3,968.5,57.9
52.75,984.0,1015.2,1085.0,1028.1,51.8
53.0,1085.8,990.6,988.2,1021.5,55.7
53.25,965.6,1001.6,1017.4,994.9,26.5
53.5,983.8,1021.9,1071.7,1025.8,44.1
53.75,1018.2,1024.2,1062.5,1035.0,24.0
54.0,980.3,1060.6,1079.6,1040.1,52.7
54.25,1039.8,1033.2,1029.4,1034.1,5.3
54.5,1033.1,1035.1,1045.3,1037.9,6.5
54.75,985.9,985.8,1042.9,1004.9,32.9
55.0,1038.6,1064.4,1063.3,1055.4,14.6
55.25,990.3,1013.8,1072.3,1025.5,42.3
55.5,1020.4,1019.7,1090.0,1043.4,40.4
55.75,994.0,1053.7,1086.7,1044.8,47.0
56.0,964.0,1058.6,1030.7,1017.8,48.6
56.25,1058.1,1006.2,1110.8,1058.4,52.3
56.5,1027.6,1077.2,1058.7,1054.5,25.1
56.75,1059.0,1091.0,1101.4,1083.8,22.1
57.0,1022.5,1028.2,1061.1,1037.3,20.8
57.25,1021.8,1051.4,1127.5,1066.9,54.5
57.5,1025.9,1026.9,1131.0,1061.3,60.4
57.75,1005.0,1051.9,1112.2,1056.4,53.7
58.0,1077.6,1059.4,1162.3,1099.8,54.9
58.25,1046.6,1057.1,1087.7,1063.8,21.4
58.5,1001.9,1085.9,1077.3,1055.0,46.2
58.75,1036.6,1040.0,1146.3,1074.3,62.4
59.0,1115.2,1090.2,1095.0,1100.2,13.2
59.25,1046.8,1039.1,1110.6,1065.5,39.2
59.5,1043.6,1093.4,1106.4,1081.1,33.1
59.75,1079.4,1043.0,1155.3,1092.6,57.3
60.0,1078.7,1103.7,1173.1,1118.5,48.9
60.25,1144.6,1076.0,1148.7,1123.1,40.8
60.5,1009.2,1126.9,1154.0,1096.7,77.0
60.75,1074.0,1040.7,1141.0,1085.2,51.1
61.0,1146.6,1131.4,1119.7,1132.5,13.5
61.25,1089.5,1132.9,1180.3,1134.3,45.4
61.5,1006.7,1150.6,1126.6,1094.6,77.1
61.75,1155.1,1160.0,1253.4,1189.5,55.4
62.0,1109.3,1117.3,1104.9,1110.5,6.3
62.25,1133.3,1128.7,1183.8,1148.6,30.5
62.5,1128.1,1119.7,1137.7,1128.5,9.0
62.75,1136.7,1180.8,1251.9,1189.8,58.1
63.0,1082.7,1094.0,1147.3,1108.0,34.5
63.25,1149.1,1150.2,1161.2,1153.5,6.7
63.5,1139.2,1149.8,1218.1,1169.0,42.9
63.75,1109.5,1201.4,1175.8,1162.2,47.4
64.0,1146.3,1118.9,1232.6,1166.0,59.4
64.25,1099.7,1161.7,1168.1,1143.2,37.8
64.5,1166.1,1192.5,1209.8,1189.5,22.0
64.75,1081.9,1135.1,1290.9,1169.3,108.6
65.0,1112.7,1186.4,1222.9,1174.0,56.1
65.25,1143.3,1188.8,1256.7,1196.3,57.1
65.5,1204.7,1215.9,1304.2,1241.6,54.5
65.75,1152.9,1172.7,1288.0,1204.5,73.0
66.0,1228.0,1175.1,1299.0,1234.0,62.1
66.25,1137.7,1159.0,1242.4,1179.7,55.4
66.5,1128.6,1185.1,1167.5,1160.4,28.9
66.75,1141.3,1274.1,1237.5,1217.7,68.6
67.0,1184.8,1166.4,1271.4,1207.5,56.1
67.25,1132.6,1169.2,1238.8,1180.2,53.9
67.5,1149.1,1192.9,1235.5,1192.5,43.2
67.75,1220.2,1153.6,1205.6,1193.2,35.0
68.0,1174.2,1110.6,1264.2,1183.0,77.2
68.25,1135.4,1116.2,1304.9,1185.5,103.8
68.5,1182.8,1225.9,1263.7,1224.1,40.5
68.75,1173.8,1213.1,1243.0,1210.0,34.7
69.0,1141.1,1245.2,1263.1,1216.5,65.9
69.25,1282.3,1181.8,1199.9,1221.3,53.6
69.5,1114.0,1270.7,1253.2,1212.6,85.9
69.75,1212.1,1171.1,1222.5,1201.9,27.2
70.0,1220.1,1224.5,1389.6,1278.1,96.6
70.25,1193.5,1260.4,1344.2,1266.0,75.5
70.5,1181.3,1180.3,1281.3,1214.3,58.1
70.75,1227.6,1148.5,1266.5,1214.2,60.2
71.0,1185.4,1317.9,1346.3,1283.2,85.9
71.25,1239.8,1231.3,1193.8,1221.6,24.5
71.5,1192.7,1170.8,1360.3,1241.3,103.7
71.75,1196.0,1270.6,1335.0,1267.2,69.6
72.0,1313.3,1157.0,1291.6,1253.9,84.7
72.25,1148.2,1211.0,1341.3,1233.5,98.5
72.5,1282.4,1152.7,1285.9,1240.3,75.9
72.75,1176.2,1223.0,1383.6,1260.9,108.7
73.0,1269.5,1183.3,1409.8,1287.5,114.3
73.25,1258.3,1270.6,1412.9,1313.9,85.9
73.5,1263.5,1250.6,1301.9,1272.0,26.7
73.75,1218.8,1184.6,1357.8,1253.7,91.7
74.0,1249.7,1265.0,1387.2,1300.6,75.4
74.25,1253.8,1181.2,1377.7,1270.9,99.4
74.5,1220.9,1325.5,1394.2,1313.5,87.2
74.75,1339.1,1216.0,1368.8,1308.0,81.0
75.0,1239.8,1237.2,1393.1,1290.0,89.3
75.25,1230.6,1230.0,1461.0,1307.2,133.2
75.5,1234.6,1306.9,1420.7,1320.7,93.8
75.75,1212.3,1222.7,1431.9,1289.0,123.9
76.0,1256.5,1220.4,1416.8,1297.9,104.5
76.25,1329.1,1244.5,1369.9,1314.5,64.0
76.5,1172.7,1399.3,1347.9,1306.6,118.8
76.75,1234.2,1213.5,1307.6,1251.8,49.4
77.0,1329.6,1316.5,1415.7,1353.9,53.9
77.25,1315.6,1219.1,1416.6,1317.1,98.8
77.5,1275.6,1268.8,1579.0,1374.4,177.2
77.75,1258.3,1270.7,1311.8,1280.3,28.0
78.0,1337.3,1407.1,1328.4,1357.6,43.1
78.25,1293.0,1289.2,1385.4,1322.5,54.4
78.5,1315.8,1339.5,1536.4,1397.2,121.1
78.75,1391.8,1255.2,1402.8,1349.9,82.2
79.0,1199.0,1209.9,1397.4,1268.8,111.5
79.25,1339.8,1318.8,1461.4,1373.3,77.0
79.5,1297.4,1344.8,1376.2,1339.4,39.7
79.75,1523.0,1291.0,1461.0,1425.0,120.1
80.0,1296.0,1442.1,1467.0,1401.7,92.4
80.25,1398.2,1305.6,1458.1,1387.3,76.8
80.5,1361.1,1269.3,1391.6,1340.7,63.6
80.75,1284.3,1277.8,1396.9,1319.7,66.9
81.0,1306.4,1330.5,1421.3,1352.7,60.6
81.25,1380.9,1331.2,1375.5,1362.5,27.3
81.5,1268.8,1435.5,1414.0,1372.7,90.7
81.75,1295.8,1345.5,1410.7,1350.7,57.6
82.0,1439.8,1296.1,1481.7,1405.9,97.3
82.25,1380.7,1325.8,1430.6,1379.1,52.4
82.5,1298.0,1328.0,1583.2,1403.1,156.7
82.75,1372.4,1432.6,1474.2,1426.4,51.2
83.0,1308.6,1304.8,1427.3,1346.9,69.6
83.25,1425.2,1353.8,1440.3,1406.4,46.2
83.5,1382.3,1433.7,1479.8,1431.9,48.8
83.75,1366.8,1276.1,1542.2,1395.1,135.3
84.0,1446.0,1323.5,1425.6,1398.4,65.6
84.25,1470.9,1311.5,1523.8,1435.4,110.5
84.5,1433.5,1344.5,1479.6,1419.2,68.7
84.75,1293.3,1387.5,1394.5,1358.4,56.5
85.0,1516.8,1344.3,1436.4,1432.5,86.3
85.25,1391.5,1385.5,1519.7,1432.2,75.8
85.5,1355.2,1224.9,1412.7,1331.0,96.2
85.75,1292.8,1409.5,1409.5,1370.6,67.4
86.0,1513.1,1335.9,1480.1,1443.0,94.2
86.25,1420.2,1333.3,1447.2,1400.2,59.6
86.5,1380.1,1379.7,1473.4,1411.1,54.0
86.75,1333.5,1395.8,1538.2,1422.5,104.9
87.0,1352.8,1402.4,1501.0,1418.7,75.4
87.25,1375.8,1262.5,1576.0,1404.8,158.8
87.5,1339.8,1344.2,1524.2,1402.7,105.3
87.75,1416.5,1454.3,1492.4,1454.4,38.0
88.0,1363.3,1281.7,1489.5,1378.1,104.7
88.25,1454.3,1319.6,1474.3,1416.1,84.1
88.5,1564.6,1325.5,1410.1,1433.4,121.2
88.75,1366.4,1310.3,1486.5,1387.7,90.0
89.0,1416.4,1358.5,1380.9,1385.3,29.2
89.25,1539.5,1364.5,1507.0,1470.3,93.1
89.5,1449.1,1342.3,1421.7,1404.4,55.5
89.75,1359.1,1337.6,1505.5,1400.7,91.4
90.0,1405.4,1405.4,1525.0,1445.3,69.0
90.25,1330.3,1291.4,1498.4,1373.4,110.0
90.5,1423.6,1425.1,1562.9,1470.5,80.0
90.75,1414.4,1461.5,1403.7,1426.5,30.8
91.0,1374.0,1308.1,1422.0,1368.0,57.2
91.25,1330.1,1375.2,1510.6,1405.3,94.0
91.5,1446.4,1478.2,1447.3,1457.3,18.1
91.75,1467.2,1315.0,1426.0,1402.7,78.7
92.0,1357.3,1302.5,1481.0,1380.3,91.4
92.25,1440.3,1396.6,1470.7,1435.9,37.2
92.5,1327.9,1403.6,1506.7,1412.7,89.7
92.75,1533.8,1488.5,1463.4,1495.2,35.7
93.0,1428.9,1391.2,1549.6,1456.6,82.8
93.25,1535.1,1281.3,1422.8,1413.1,127.2
93.5,1410.9,1379.0,1395.6,1395.2,15.9
93.75,1431.1,1465.8,1518.6,1471.8,44.1
94.0,1476.7,1315.9,1411.1,1401.2,80.9
94.25,1500.4,1420.7,1401.6,1440.9,52.4
94.5,1426.5,1471.1,1458.9,1452.2,23.0
94.75,1462.1,1417.0,1492.7,1457.3,38.1
95.0,1411.0,1450.5,1376.9,1412.8,36.8
95.25,1355.0,1387.4,1446.0,1396.1,46.1
95.5,1542.0,1388.1,1337.3,1422.5,106.6
95.75,1542.9,1389.0,1382.4,1438.1,90.8
96.0,1440.2,1280.5,1408.3,1376.4,84.5
96.25,1481.1,1367.9,1415.8,1421.6,56.8
96.5,1390.0,1460.3,1363.5,1404.6,50.1
96.75,1485.0,1349.0,1413.8,1416.0,68.0
97.0,1476.6,1354.6,1341.1,1390.7,74.6
97.25,1479.3,1383.3,1476.3,1446.3,54.6
97.5,1402.9,1281.9,1353.7,1346.2,60.8
97.75,1423.0,1339.7,1320.9,1361.2,54.3
98.0,1535.7,1283.0,1335.5,1384.8,133.3
98.25,1423.0,1405.2,1333.7,1387.3,47.3
98.5,1388.7,1306.1,1359.1,1351.3,41.9
98.75,1467.0,1358.1,1279.8,1368.3,94.1
99.0,1442.0,1276.3,1361.3,1359.9,82.8
99.25,1454.9,1323.1,1277.2,1351.7,92.2
99.5,1409.1,1314.0,1297.3,1340.1,60.3
99.75,1393.4,1338.0,1265.2,1332.2,64.3
100.0,1441.7,1322.8,1238.4,1334.3,102.1
100.25,1424.4,1345.4,1213.8,1327.8,106.4
100.5,1389.7,1368.0,1277.3,1345.0,59.6
100.75,1339.2,1277.9,1285.0,1300.7,33.5
101.0,1397.5,1253.4,1280.7,1310.5,76.5
101.25,1435.6,1297.5,1218.5,1317.2,109.9
101.5,1396.4,1271.7,1247.8,1305.3,79.8
101.75,1342.5,1239.1,1263.2,1281.6,54.1
102.0,1355.4,1245.7,1228.2,1276.4,69.0
102.25,1382.6,1221.7,1265.6,1289.9,83.2
102.5,1345.1,1287.4,1238.9,1290.5,53.2
102.75,1408.6,1324.8,1161.6,1298.3,125.6
103.0,1340.3,1227.8,1170.3,1246.1,86.5
103.25,1349.9,1223.7,1166.9,1246.9,93.7
103.5,1336.5,1191.2,1177.9,1235.2,88.0
103.75,1303.7,1215.8,1137.1,1218.9,83.4
104.0,1301.3,1224.3,1124.8,1216.8,88.5
104.25,1269.5,1219.9,1061.6,1183.6,108.6
104.5,1287.0,1157.3,1090.6,1178.3,99.9
104.75,1235.3,1166.9,1071.3,1157.8,82.4
105.0,1329.9,1148.2,1013.6,1163.9,158.8
105.25,1273.3,1185.7,996.5,1151.8,141.5
105.5,1221.2,1099.4,1002.7,1107.8,109.5
105.75,1235.8,1133.0,974.5,1114.4,131.6
106.0,1254.3,1159.9,970.5,1128.2,144.6
106.25,1273.3,1106.0,957.0,1112.1,158.2
106.5,1201.5,1167.2,902.8,1090.5,163.5
106.75,1209.2,1090.5,885.5,1061.7,163.8
107.0,1284.7,1090.0,868.8,1081.2,208.1
107.25,1230.8,1052.6,869.1,1050.8,180.9
107.5,1211.8,1059.1,833.9,1034.9,190.1
107.75,1229.5,976.8,803.0,1003.1,214.5
108.0,1214.8,1037.6,799.5,1017.3,208.4
108.25,1172.1,1057.1,771.2,1000.1,206.4
108.5,1164.2,1012.8,742.0,973.0,213.9
108.75,1082.6,977.3,719.2,926.4,187.0
109.0,1130.4,977.5,720.8,942.9,207.0
109.25,1132.9,978.0,683.4,931.4,228.3
109.5,1050.9,934.5,668.7,884.7,195.9
109.75,1042.2,926.5,664.8,877.8,193.4
110.0,1036.9,934.1,629.9,867.0,211.6
110.25,1040.6,930.1,604.6,858.4,226.7
110.5,1000.9,911.2,580.6,830.9,221.3
110.75,989.9,895.0,576.4,820.4,216.6
111.0,960.7,866.7,550.7,792.7,214.8
111.25,933.6,857.4,540.7,777.2,208.3
111.5,893.5,862.9,522.0,759.5,206.2
111.75,874.5,823.8,504.1,734.2,200.8
112.0,870.1,793.5,490.2,717.9,200.9
112.25,862.4,771.6,473.8,702.6,203.3
112.5,836.3,778.6,456.0,690.3,204.9
112.75,844.4,763.1,446.0,684.5,210.5
113.0,812.6,746.9,427.8,662.4,205.8
113.25,789.2,741.7,413.4,648.1,204.7
113.5,777.2,715.8,398.6,630.5,203.2
113.75,746.1,693.7,385.2,608.4,195.0
114.0,723.0,672.7,369.0,588.2,191.5
114.25,702.9,657.4,358.4,572.9,187.1
114.5,686.2,646.4,342.4,558.3,188.0
114.75,671.5,611.1,337.7,540.1,177.9
115.0,641.6,596.9,322.4,520.3,172.8
115.25,624.2,577.0,303.9,501.7,172.9
115.5,592.6,550.7,288.9,477.4,164.6
