Names,ABS_R1,ABS_R2,ABS_R3,Mean,Std. Dev.
648,625.7,632.9,641.7,633.4,8.0
649,635.5,637.0,658.4,643.6,12.8
650,638.5,624.2,653.7,638.8,14.7
651,612.4,641.4,666.1,640.0,26.9
652,642.2,638.2,638.7,639.7,2.2
653,625.9,642.6,657.4,642.0,15.7
654,624.3,648.2,655.0,642.5,16.1
655,642.1,650.4,649.4,647.3,4.5
656,629.6,661.1,667.8,652.8,20.4
657,659.0,615.6,648.3,641.0,22.6
658,650.0,654.1,645.3,649.8,4.4
659,635.3,660.5,656.9,650.9,13.6
660,635.8,643.2,675.1,651.3,20.9
661,629.8,653.4,668.7,650.6,19.6
662,622.3,643.0,671.9,645.7,24.9
663,644.9,639.2,652.7,645.6,6.8
664,657.3,642.8,668.9,656.4,13.1
665,653.4,650.9,656.5,653.6,2.8
666,641.0,644.3,701.1,662.1,33.8
667,651.4,656.0,675.0,660.8,12.5
668,657.8,658.2,662.8,659.6,2.8
669,647.5,656.4,664.9,656.3,8.7
670,652.9,671.2,653.1,659.1,10.5
671,633.1,664.7,672.8,656.9,21.0
672,654.4,673.2,661.6,663.1,9.5
673,636.2,644.9,657.4,646.1,10.6
674,625.5,657.0,685.3,655.9,29.9
675,650.6,651.8,662.3,654.9,6.5
676,640.2,653.7,679.5,657.8,20.0
677,650.7,651.9,685.6,662.7,19.8
678,671.3,641.2,664.9,659.1,15.9
679,658.3,658.1,703.1,673.1,25.9
680,651.0,678.3,658.9,662.7,14.1
681,660.3,655.2,684.3,666.6,15.6
682,652.3,684.2,685.7,674.1,18.9
683,647.1,663.3,662.3,657.6,9.1
684,646.1,663.8,664.4,658.1,10.4
685,660.5,646.6,670.8,659.3,12.1
686,658.1,658.8,671.0,662.6,7.3
687,677.5,670.3,676.0,674.6,3.8
688,635.8,658.6,685.1,659.8,24.7
689,665.0,673.9,687.6,675.5,11.4
690,653.4,680.4,664.4,666.1,13.6
691,653.5,688.9,699.0,680.4,23.9
692,644.0,660.0,688.1,664.0,22.3
693,639.4,692.4,693.5,675.1,30.9
694,657.5,674.1,681.4,671.0,12.2
695,656.7,694.5,710.3,687.2,27.5
696,642.2,672.5,657.4,657.4,15.2
697,673.4,676.6,683.1,677.7,4.9
698,683.1,683.3,684.2,683.5,0.6
699,657.8,673.7,659.6,663.7,8.7
700,647.8,689.0,693.4,676.7,25.2
701,673.4,697.3,680.1,683.6,12.3
702,647.1,691.5,709.0,682.6,31.9
703,671.8,692.4,686.0,683.4,10.6
704,643.9,659.2,712.0,671.7,35.7
705,667.4,676.7,684.6,676.2,8.6
706,664.8,689.6,677.7,677.4,12.4
707,655.7,697.1,700.3,684.4,24.9
708,657.8,680.5,694.0,677.4,18.3
709,656.4,679.2,668.2,667.9,11.4
710,664.9,691.9,689.5,682.1,15.0
711,664.0,685.5,664.2,671.2,12.4
712,680.2,692.8,707.0,693.3,13.4
713,664.5,681.9,692.2,679.5,14.0
714,663.0,693.2,698.2,684.8,19.0
715,670.1,665.4,669.5,668.3,2.6
716,666.6,680.2,674.8,673.9,6.8
717,672.6,679.4,708.1,686.7,18.8
718,650.6,669.8,692.9,671.1,21.2
719,677.5,665.1,716.6,686.4,26.9
720,662.9,705.8,695.8,688.2,22.5
721,657.6,688.2,687.0,677.6,17.3
722,685.4,681.9,681.7,683.0,2.1
723,651.0,708.2,693.2,684.1,29.6
724,657.4,708.4,722.0,695.9,34.0
725,693.8,682.0,704.4,693.4,11.2
726,657.5,692.3,681.1,677.0,17.8
727,684.4,697.4,685.9,689.2,7.2
728,672.0,671.1,724.9,689.3,30.8
729,646.9,695.3,716.3,686.2,35.6
730,676.2,701.0,734.3,703.8,29.1
731,655.6,690.5,717.0,687.7,30.8
732,676.2,690.4,720.0,695.5,22.3
733,644.9,696.1,704.7,681.9,32.3
734,679.6,721.2,709.5,703.4,21.5
735,666.3,687.2,716.2,689.9,25.0
736,665.4,711.3,732.7,703.2,34.4
737,665.6,681.7,742.1,696.5,40.3
738,689.0,707.0,706.0,700.7,10.1
739,716.1,698.9,718.3,711.1,10.6
740,699.6,683.7,720.7,701.3,18.5
741,695.2,677.7,710.5,694.5,16.4
742,689.9,692.8,708.5,697.1,10.0
743,675.1,708.2,712.2,698.5,20.4
744,688.2,708.0,715.6,703.9,14.1
745,703.9,702.7,730.3,712.3,15.6
746,674.6,690.5,733.3,699.5,30.3
747,683.2,703.1,722.2,702.8,19.5
748,698.8,712.5,736.1,715.8,18.9
749,694.4,689.8,741.9,708.7,28.9
750,696.4,697.5,731.2,708.4,19.8
751,706.8,705.5,749.6,720.6,25.1
752,691.6,696.8,737.1,708.5,24.9
753,701.2,716.6,758.0,725.3,29.4
754,683.5,686.6,737.9,702.7,30.6
755,688.5,723.5,745.0,719.0,28.5
756,718.2,722.4,732.6,724.4,7.4
757,684.9,717.1,767.6,723.2,41.7
758,691.0,694.7,717.7,701.1,14.5
759,693.3,719.1,737.0,716.5,22.0
760,683.7,706.6,765.2,718.5,42.0
761,708.3,727.3,754.1,729.9,23.0
762,707.4,729.7,767.5,734.9,30.4
763,715.2,745.0,743.5,734.6,16.8
764,705.1,737.9,734.9,726.0,18.1
765,723.2,700.5,744.2,722.6,21.9
766,720.0,724.3,743.8,729.4,12.6
767,695.2,762.1,745.3,734.2,34.8
768,706.2,733.3,723.6,721.0,13.7
769,699.6,712.2,744.8,718.9,23.3
770,704.2,718.5,773.5,732.1,36.6
771,720.5,732.8,770.3,741.2,26.0
772,677.5,727.1,777.2,727.2,49.8
773,710.0,715.3,780.3,735.2,39.1
774,721.9,698.4,761.5,727.3,31.9
775,723.5,777.7,759.6,753.6,27.6
776,731.6,726.0,753.9,737.2,14.8
777,707.9,750.3,772.5,743.6,32.8
778,740.2,780.3,773.6,764.7,21.5
779,714.7,724.7,780.1,739.8,35.3
780,715.5,727.0,774.4,738.9,31.2
781,701.6,758.5,761.6,740.5,33.8
782,727.9,735.2,770.5,744.5,22.8
783,705.7,768.2,766.5,746.8,35.6
784,717.2,720.2,794.0,743.8,43.5
785,736.2,755.8,800.3,764.1,32.9
786,744.5,773.9,794.0,770.8,24.9
787,704.8,762.3,786.5,751.2,42.0
788,718.9,746.1,795.9,753.6,39.0
789,725.0,752.6,809.0,762.2,42.8
790,748.7,769.4,746.2,754.8,12.7
791,732.2,749.2,791.7,757.7,30.6
792,751.5,769.3,782.6,767.8,15.6
793,714.6,731.5,768.5,738.2,27.6
794,763.7,748.7,781.0,764.5,16.1
795,732.4,742.1,808.9,761.1,41.6
796,746.7,758.3,773.0,759.3,13.2
797,776.6,759.7,796.2,777.5,18.3
798,728.0,769.2,809.2,768.8,40.6
799,706.2,768.9,813.8,763.0,54.0
800,771.3,763.5,812.7,782.5,26.4
801,704.6,793.5,780.2,759.4,48.0
802,727.1,753.5,783.0,754.5,28.0
803,737.6,753.0,785.1,758.6,24.2
804,719.9,790.8,809.8,773.5,47.4
805,770.4,754.5,802.7,775.9,24.5
806,750.1,796.6,805.7,784.1,29.9
807,771.4,769.2,787.9,776.2,10.2
808,754.0,779.5,833.8,789.1,40.8
809,725.2,789.9,771.7,762.3,33.3
810,762.2,767.7,845.5,791.8,46.6
811,764.1,770.3,845.2,793.2,45.1
812,749.2,780.1,829.9,786.4,40.7
813,750.6,800.6,823.8,791.7,37.4
814,766.9,775.6,817.1,786.5,26.8
815,750.7,820.7,838.7,803.4,46.5
816,776.5,792.8,819.8,796.4,21.9
817,761.8,785.4,828.1,791.8,33.6
818,767.0,802.4,801.8,790.4,20.2
819,754.6,808.6,848.9,804.1,47.3
820,758.1,795.9,818.1,790.7,30.4
821,788.5,820.0,837.1,815.2,24.7
822,769.6,808.0,817.8,798.5,25.5
823,766.2,818.3,824.1,802.8,31.9
824,763.7,797.0,830.1,796.9,33.2
825,759.5,825.0,839.9,808.1,42.7
826,770.0,818.2,840.7,809.6,36.1
827,769.6,832.2,825.3,809.1,34.3
828,769.5,847.0,869.1,828.5,52.3
829,767.2,819.9,866.0,817.7,49.4
830,806.8,827.9,833.1,822.6,14.0
831,799.6,866.7,844.3,836.9,34.2
832,792.8,862.0,899.4,851.4,54.1
833,800.5,818.5,839.2,819.4,19.4
834,768.7,830.9,854.8,818.2,44.5
835,768.8,774.0,886.8,809.9,66.6
836,820.8,824.2,843.1,829.4,12.0
837,814.6,831.1,837.9,827.8,12.0
838,809.1,828.4,864.1,833.9,27.9
839,782.5,814.3,876.3,824.4,47.7
840,784.0,847.3,852.3,827.8,38.1
841,808.1,817.2,834.4,819.9,13.3
842,813.5,825.6,871.3,836.8,30.5
843,791.9,837.0,867.9,832.3,38.2
844,803.5,821.1,887.4,837.3,44.3
845,814.8,833.8,885.1,844.6,36.4
846,832.9,826.3,911.3,856.8,47.3
847,789.8,837.0,828.0,818.3,25.1
848,804.3,826.4,852.2,827.6,24.0
849,813.9,821.9,863.7,833.2,26.7
850,792.7,857.3,862.9,837.6,39.0
851,806.7,841.6,855.4,834.6,25.1
852,818.0,809.1,888.8,838.7,43.7
853,846.6,848.5,868.6,854.6,12.2
854,831.3,854.7,869.6,851.9,19.3
855,813.7,868.3,864.8,848.9,30.6
856,819.5,845.9,845.6,837.0,15.2
857,818.0,821.1,853.8,831.0,19.8
858,816.5,873.4,841.1,843.7,28.6
859,838.7,864.3,829.0,844.0,18.3
860,830.7,844.6,843.6,839.6,7.7
861,814.5,856.0,898.6,856.4,42.0
862,856.8,840.8,856.1,851.3,9.0
863,830.2,815.6,869.9,838.5,28.1
864,829.7,817.6,892.9,846.7,40.4
865,809.4,834.5,895.5,846.5,44.3
866,851.7,853.4,901.4,868.8,28.2
867,794.3,833.2,891.5,839.7,48.9
868,840.8,825.5,872.6,846.3,24.0
869,833.8,848.6,868.2,850.2,17.3
870,844.6,829.4,849.9,841.3,10.7
871,846.3,820.1,921.1,862.5,52.4
872,859.4,849.7,939.1,882.7,49.1
873,824.2,846.2,870.8,847.1,23.3
874,861.4,868.1,870.5,866.7,4.7
875,869.0,872.4,886.6,876.0,9.3
876,806.4,869.6,888.6,854.9,43.0
877,817.5,880.9,866.1,854.8,33.2
878,857.4,884.6,865.1,869.1,14.1
879,885.8,884.7,887.1,885.9,1.2
880,825.2,869.0,895.0,863.1,35.3
881,850.9,866.2,910.5,875.9,31.0
882,833.9,863.7,888.8,862.1,27.5
883,863.9,872.0,918.6,884.8,29.5
884,863.4,882.2,882.7,876.1,11.0
885,845.7,864.3,899.0,869.7,27.0
886,882.2,867.6,886.4,878.8,9.9
887,858.1,882.7,876.3,872.3,12.8
888,828.0,874.5,912.5,871.7,42.3
889,878.1,868.5,882.0,876.2,7.0
890,869.1,902.3,901.1,890.9,18.8
891,902.0,834.8,892.3,876.4,36.3
892,874.6,839.2,851.6,855.1,18.0
893,848.9,887.7,879.1,871.9,20.4
894,888.6,854.5,865.3,869.4,17.4
895,835.1,853.0,932.0,873.4,51.5
896,888.7,836.9,888.3,871.3,29.8
897,887.2,873.3,889.4,883.3,8.7
898,886.8,850.3,914.5,883.9,32.2
899,894.4,859.8,910.8,888.3,26.0
900,850.8,864.0,900.6,871.8,25.8
901,883.1,892.1,921.6,898.9,20.1
902,885.8,847.4,852.2,861.8,21.0
903,851.8,887.9,883.5,874.4,19.7
904,873.2,907.9,891.6,890.9,17.4
905,903.2,869.6,897.1,890.0,17.9
906,852.7,892.4,893.2,879.4,23.2
907,902.7,848.0,886.5,879.0,28.1
908,874.3,869.3,895.8,879.8,14.1
909,864.2,873.2,879.2,872.2,7.5
910,887.1,889.3,892.8,889.7,2.9
911,926.0,876.9,875.8,892.9,28.7
912,876.1,849.8,865.4,863.8,13.2
913,873.5,866.1,906.1,881.9,21.3
914,862.7,895.0,868.5,875.4,17.2
915,880.9,873.5,898.7,884.4,12.9
916,868.1,886.0,885.7,879.9,10.2
917,888.1,912.4,889.6,896.7,13.6
918,892.0,899.8,902.5,898.1,5.5
919,867.3,872.3,914.3,884.7,25.8
920,894.2,883.3,914.5,897.3,15.8
921,864.4,880.2,930.7,891.8,34.7
922,892.3,910.6,861.8,888.2,24.7
923,909.7,892.4,896.0,899.4,9.1
924,904.9,895.6,914.9,905.1,9.6
925,913.6,892.7,927.6,911.3,17.5
926,898.6,873.7,918.4,896.9,22.4
927,846.9,901.8,881.9,876.9,27.8
928,873.0,892.2,959.1,908.1,45.2
929,902.7,906.4,895.6,901.6,5.5
930,844.2,889.6,859.5,864.5,23.1
931,877.3,898.1,924.0,899.8,23.4
932,935.6,870.0,897.2,900.9,32.9
933,881.7,882.1,876.8,880.2,3.0
934,913.5,902.8,925.9,914.1,11.5
935,908.6,894.6,910.0,904.4,8.5
936,934.4,848.1,893.0,891.8,43.2
937,871.4,846.9,862.8,860.4,12.4
938,926.0,860.3,894.6,893.6,32.9
939,914.7,934.4,904.7,917.9,15.1
940,865.5,913.7,896.5,891.9,24.4
941,898.4,911.4,935.3,915.0,18.7
942,863.3,892.3,889.7,881.8,16.0
943,916.0,887.7,900.7,901.5,14.2
944,868.8,852.3,907.2,876.1,28.2
945,918.2,841.2,906.7,888.7,41.6
946,907.6,915.4,886.8,903.3,14.8
947,879.4,860.6,900.1,880.0,19.7
948,879.4,883.4,869.2,877.4,7.3
949,892.2,917.4,883.0,897.5,17.8
950,894.3,876.7,890.1,887.0,9.2
951,896.3,880.2,898.0,891.5,9.8
952,892.6,896.8,879.7,889.7,8.9
953,899.7,857.9,891.9,883.2,22.2
954,892.3,887.6,883.7,887.8,4.3
955,902.4,869.8,904.9,892.4,19.6
956,882.4,868.2,861.2,870.6,10.8
957,860.7,856.4,895.6,870.9,21.5
958,920.7,893.2,852.8,888.9,34.2
959,904.7,878.9,866.4,883.3,19.5
960,885.0,861.4,891.6,879.3,15.9
961,901.7,890.4,905.6,899.2,7.9
962,903.1,888.7,847.5,879.8,28.9
963,893.1,912.2,908.1,904.4,10.1
964,943.9,885.4,879.9,903.1,35.5
965,884.5,885.5,877.3,882.4,4.5
966,898.4,905.6,918.1,907.4,10.0
967,874.1,864.5,830.0,856.2,23.2
968,909.6,866.6,884.9,887.0,21.6
969,857.5,878.4,879.0,871.6,12.2
970,914.9,898.1,872.4,895.1,21.4
971,862.9,833.4,866.6,854.3,18.2
972,880.7,871.9,872.6,875.1,4.9
973,896.6,880.4,846.2,874.4,25.7
974,905.0,860.0,905.9,890.3,26.3
975,899.3,863.8,822.4,861.9,38.5
976,925.6,880.9,878.6,895.0,26.5
977,876.7,872.9,852.4,867.3,13.0
978,867.0,882.1,832.5,860.5,25.4
979,869.3,847.7,875.4,864.2,14.5
