Time after Ignition,Asphalt_Shingle_R1,Asphalt_Shingle_R2,Asphalt_Shingle_R3,Mean,Std. Dev.
15.25,71.4,105.4,105.1,94.0,19.5
15.5,72.1,106.0,105.8,94.6,19.5
15.75,72.6,108.0,108.7,96.5,20.6
16.0,73.0,109.0,110.7,97.6,21.3
16.25,73.9,111.5,112.5,99.3,22.0
16.5,74.1,114.9,112.7,100.6,23.0
16.75,75.6,116.3,115.8,102.6,23.3
17.0,76.3,119.0,117.7,104.3,24.3
17.25,76.7,116.9,121.7,105.1,24.7
17.5,78.7,118.8,121.1,106.2,23.8
17.75,79.5,120.1,124.4,108.0,24.8
18.0,80.4,121.2,126.5,109.4,25.2
18.25,82.1,124.1,127.3,111.2,25.2
18.5,82.2,126.1,127.7,112.0,25.8
18.75,84.1,126.8,130.4,113.8,25.7
19.0,87.7,127.0,133.4,116.0,24.8
19.25,87.2,128.5,135.1,116.9,26.0
19.5,88.3,132.0,136.1,118.8,26.5
19.75,88.5,133.4,138.0,120.0,27.3
20.0,90.0,133.0,137.6,120.2,26.3
20.25,90.8,136.9,140.6,122.8,27.7
20.5,93.2,137.7,141.4,124.1,26.8
20.75,92.6,137.4,141.2,123.8,27.0
21.0,93.4,138.5,142.5,124.8,27.3
21.25,94.6,140.3,142.9,125.9,27.1
21.5,96.7,144.4,145.1,128.7,27.8
21.75,96.3,143.8,145.0,128.4,27.8
22.0,97.6,146.7,145.0,129.7,27.9
22.25,96.9,149.0,147.0,131.0,29.5
22.5,98.1,150.0,145.4,131.2,28.7
22.75,98.9,150.8,147.5,132.4,29.0
23.0,99.8,152.4,149.0,133.7,29.4
23.25,100.5,156.4,147.4,134.8,30.0
23.5,100.3,154.3,146.9,133.8,29.3
23.75,100.0,156.5,146.2,134.2,30.1
24.0,100.4,156.8,146.8,134.7,30.1
24.25,101.3,159.3,144.4,135.0,30.1
24.5,100.6,160.3,142.1,134.3,30.6
24.75,99.0,158.7,140.9,132.9,30.6
25.0,98.1,162.7,143.2,134.7,33.1
25.25,100.4,162.2,140.9,134.5,31.4
25.5,99.6,161.6,139.2,133.5,31.4
25.75,98.8,165.4,138.2,134.1,33.4
26.0,99.2,163.3,134.9,132.5,32.1
26.25,98.3,164.8,133.9,132.4,33.3
26.5,98.3,160.6,134.2,131.0,31.3
26.75,98.7,163.9,133.2,131.9,32.6
27.0,97.5,165.6,131.8,131.6,34.1
27.25,97.9,165.6,130.6,131.4,33.9
27.5,98.1,165.9,129.0,131.0,33.9
27.75,98.4,167.1,128.9,131.5,34.4
28.0,99.1,166.3,129.2,131.5,33.7
28.25,97.8,168.4,129.6,132.0,35.4
28.5,97.4,168.7,128.4,131.5,35.7
28.75,96.9,170.3,126.5,131.2,36.9
29.0,97.3,168.0,128.8,131.3,35.4
29.25,97.9,170.7,126.6,131.7,36.6
29.5,98.3,168.9,128.2,131.8,35.4
29.75,99.1,171.5,126.7,132.4,36.5
30.0,96.3,170.7,125.7,130.9,37.5
30.25,98.1,171.5,126.9,132.2,37.0
30.5,96.5,170.9,128.1,131.8,37.4
30.75,97.9,173.6,126.1,132.5,38.2
31.0,96.8,174.8,128.8,133.5,39.2
31.25,98.2,176.4,128.1,134.2,39.5
31.5,97.4,174.9,127.9,133.4,39.0
31.75,95.7,175.2,126.9,132.6,40.1
32.0,98.3,178.7,127.8,134.9,40.7
32.25,98.6,174.7,129.9,134.4,38.2
32.5,96.8,179.8,129.6,135.4,41.8
32.75,98.0,179.0,128.8,135.3,40.9
33.0,96.5,181.1,130.5,136.0,42.6
33.25,97.5,183.9,130.6,137.4,43.6
33.5,97.8,182.3,132.3,137.5,42.5
33.75,97.3,181.9,134.2,137.8,42.4
34.0,97.5,181.8,136.6,138.6,42.2
34.25,96.7,182.9,140.0,139.9,43.1
34.5,98.2,181.8,140.8,140.3,41.8
34.75,99.2,183.0,140.9,141.0,41.9
35.0,99.1,186.9,143.3,143.1,43.9
35.25,98.9,187.5,143.4,143.2,44.3
35.5,99.0,183.4,143.9,142.1,42.2
35.75,97.7,192.0,146.1,145.3,47.2
36.0,99.6,186.3,145.3,143.7,43.4
36.25,98.8,189.3,148.8,145.6,45.4
36.5,99.6,189.0,151.2,146.6,44.9
36.75,101.2,190.0,151.3,147.5,44.6
37.0,101.5,195.6,151.1,149.4,47.0
37.25,100.9,193.5,151.3,148.5,46.4
37.5,102.7,193.3,153.9,150.0,45.4
37.75,103.8,197.9,155.2,152.3,47.1
38.0,106.0,198.6,159.2,154.6,46.5
38.25,105.5,201.4,158.0,155.0,48.0
38.5,108.3,203.1,159.7,157.0,47.5
38.75,110.7,207.4,159.9,159.3,48.4
39.0,110.2,204.8,160.5,158.5,47.3
39.25,111.1,206.3,160.1,159.2,47.6
39.5,112.0,210.1,160.7,160.9,49.1
39.75,112.7,212.4,164.0,163.0,49.9
40.0,114.0,217.1,166.7,166.0,51.6
40.25,115.3,212.5,171.6,166.5,48.8
40.5,116.7,217.0,170.4,168.0,50.2
40.75,117.4,218.1,167.8,167.7,50.4
41.0,118.1,219.7,171.5,169.8,50.8
41.25,119.1,221.2,171.5,170.6,51.0
41.5,120.3,225.8,170.7,172.3,52.8
41.75,121.8,226.7,171.8,173.4,52.5
42.0,126.6,224.7,176.5,175.9,49.1
42.25,121.9,229.5,175.1,175.5,53.8
42.5,124.4,230.6,177.5,177.5,53.1
42.75,126.1,229.8,177.0,177.6,51.8
43.0,126.6,233.8,177.1,179.1,53.6
43.25,127.7,230.7,179.1,179.2,51.5
43.5,132.5,235.9,180.9,183.1,51.8
43.75,132.4,236.3,184.4,184.4,52.0
44.0,134.1,237.9,186.0,186.0,51.9
44.25,135.2,239.8,186.1,187.0,52.3
44.5,135.3,242.0,186.9,188.1,53.4
44.75,136.3,237.9,184.7,186.3,50.8
45.0,142.1,240.6,192.1,191.6,49.2
45.25,142.7,247.1,188.3,192.7,52.3
45.5,141.8,254.8,191.6,196.1,56.6
45.75,144.0,254.2,194.9,197.7,55.2
46.0,143.5,252.0,193.4,196.3,54.3
46.25,146.6,249.4,196.7,197.6,51.4
46.5,150.5,251.1,195.4,199.0,50.4
46.75,149.8,251.1,195.6,198.9,50.7
47.0,149.9,252.1,198.8,200.2,51.1
47.25,151.9,254.7,199.5,202.0,51.5
47.5,154.5,257.5,198.0,203.3,51.7
47.75,153.7,253.2,200.1,202.3,49.8
48.0,155.2,253.6,200.9,203.2,49.2
48.25,154.5,254.4,203.4,204.1,49.9
48.5,158.0,256.7,205.6,206.8,49.3
48.75,156.8,251.8,207.8,205.5,47.5
49.0,159.5,257.3,206.6,207.8,48.9
49.25,159.6,253.9,206.2,206.6,47.2
49.5,160.6,253.8,212.5,209.0,46.7
49.75,161.3,261.3,211.8,211.5,50.0
50.0,162.3,255.6,209.2,209.0,46.6
50.25,166.7,262.0,210.4,213.0,47.7
50.5,166.4,259.2,209.8,211.8,46.4
50.75,170.8,258.4,210.9,213.4,43.8
51.0,170.4,261.8,211.8,214.7,45.8
51.25,171.2,257.4,214.5,214.4,43.1
51.5,171.9,257.8,212.5,214.1,42.9
51.75,175.3,259.9,212.3,215.8,42.4
52.0,176.9,255.5,211.1,214.5,39.4
52.25,175.1,261.6,216.8,217.8,43.3
52.5,176.7,263.2,216.8,218.9,43.3
52.75,181.0,252.3,216.5,216.6,35.6
53.0,182.3,257.4,220.0,219.9,37.5
53.25,184.0,256.6,222.2,220.9,36.3
53.5,182.5,260.1,218.6,220.4,38.8
53.75,184.0,261.3,219.9,221.7,38.7
54.0,185.1,257.2,220.0,220.8,36.1
54.25,183.4,260.1,220.2,221.2,38.4
54.5,183.0,256.4,223.4,220.9,36.7
54.75,185.8,257.1,223.4,222.1,35.6
55.0,188.8,256.5,224.2,223.1,33.8
55.25,189.9,256.6,226.6,224.4,33.4
55.5,190.1,260.9,221.1,224.0,35.5
55.75,189.0,256.3,224.8,223.4,33.7
56.0,192.7,257.4,228.9,226.3,32.4
56.25,189.8,253.5,227.9,223.7,32.0
56.5,192.6,260.7,225.8,226.3,34.0
56.75,193.4,262.4,226.5,227.4,34.5
57.0,191.3,254.2,226.7,224.1,31.6
57.25,191.2,251.8,229.7,224.2,30.7
57.5,193.8,256.2,227.8,225.9,31.2
57.75,197.3,259.1,232.6,229.6,31.0
58.0,195.9,258.1,228.9,227.6,31.1
58.25,196.5,255.7,228.7,227.0,29.6
58.5,198.6,259.6,227.3,228.5,30.6
58.75,198.6,262.1,226.5,229.1,31.8
59.0,200.9,259.7,226.4,229.0,29.4
59.25,201.4,255.3,224.5,227.1,27.0
59.5,204.6,254.6,224.8,228.0,25.1
59.75,201.7,257.1,230.3,229.7,27.7
60.0,203.3,252.3,225.9,227.2,24.5
60.25,205.1,248.1,227.6,226.9,21.5
60.5,205.3,250.8,226.7,227.6,22.7
60.75,208.0,245.9,229.4,227.8,19.0
61.0,208.7,246.2,230.8,228.6,18.9
61.25,207.7,250.9,225.8,228.1,21.7
61.5,209.2,248.4,227.1,228.2,19.6
61.75,206.9,249.2,225.3,227.1,21.2
62.0,211.5,254.4,229.8,231.9,21.5
62.25,212.0,245.4,224.2,227.2,16.9
62.5,213.5,247.6,229.7,230.3,17.1
62.75,210.8,248.5,222.9,227.4,19.3
63.0,218.7,244.3,224.8,229.3,13.4
63.25,216.8,247.3,222.6,228.9,16.2
63.5,214.8,249.3,225.0,229.7,17.7
63.75,217.3,242.4,221.7,227.2,13.4
64.0,215.4,243.8,221.7,227.0,14.9
64.25,217.7,239.6,223.7,227.0,11.3
64.5,216.5,240.9,220.9,226.1,13.0
64.75,221.2,239.7,220.6,227.2,10.8
65.0,216.7,234.3,222.8,224.6,9.0
65.25,217.7,243.2,220.5,227.1,14.0
65.5,214.8,241.7,221.9,226.2,13.9
65.75,219.5,239.4,219.5,226.1,11.5
66.0,214.7,240.8,222.2,225.9,13.4
66.25,216.1,238.2,220.9,225.0,11.6
66.5,215.0,239.9,219.6,224.8,13.3
66.75,215.8,237.7,218.0,223.8,12.1
67.0,212.9,233.7,215.0,220.5,11.5
67.25,216.7,234.3,216.5,222.5,10.2
67.5,213.1,227.2,215.4,218.6,7.6
67.75,212.4,230.9,215.2,219.5,10.0
68.0,215.8,227.7,216.9,220.2,6.6
68.25,209.8,228.9,210.0,216.2,11.0
68.5,210.6,231.2,209.8,217.2,12.1
68.75,210.4,227.3,212.8,216.8,9.2
69.0,207.5,227.3,212.3,215.7,10.3
69.25,210.7,226.9,210.4,216.0,9.5
69.5,209.6,220.7,213.4,214.6,5.7
69.75,206.9,221.6,210.5,213.0,7.6
70.0,207.7,226.0,213.1,215.6,9.4
70.25,209.7,221.8,209.0,213.5,7.2
70.5,206.1,220.9,212.8,213.3,7.4
70.75,204.5,220.4,208.9,211.3,8.2
71.0,205.9,220.2,209.5,211.9,7.4
71.25,204.7,217.9,209.9,210.8,6.7
71.5,203.1,219.1,212.6,211.6,8.1
71.75,202.1,221.6,215.5,213.1,10.0
72.0,204.9,217.2,211.3,211.1,6.2
72.25,202.3,214.5,210.7,209.1,6.3
72.5,199.1,217.0,206.6,207.6,9.0
72.75,201.7,214.1,213.4,209.7,7.0
73.0,198.4,215.8,211.4,208.5,9.0
73.25,197.1,216.8,212.6,208.8,10.4
73.5,196.7,211.5,211.4,206.6,8.5
73.75,200.2,213.0,212.8,208.7,7.3
74.0,195.7,210.2,211.4,205.8,8.7
74.25,192.8,209.1,209.5,203.8,9.5
74.5,194.1,209.3,212.5,205.3,9.8
74.75,194.4,209.5,211.1,205.0,9.2
75.0,191.5,210.9,210.2,204.2,11.0
75.25,188.9,203.3,209.7,200.7,10.7
75.5,190.9,208.3,211.4,203.5,11.0
75.75,189.3,206.8,208.1,201.4,10.5
76.0,187.9,205.4,208.4,200.6,11.1
76.25,190.0,207.3,210.4,202.6,11.0
76.5,186.0,205.2,211.3,200.8,13.2
76.75,186.9,205.1,211.0,201.0,12.6
77.0,183.1,207.4,209.7,200.1,14.7
77.25,182.0,205.4,208.5,198.6,14.5
77.5,179.8,201.9,211.1,197.6,16.1
77.75,178.9,199.1,209.0,195.6,15.3
78.0,179.0,203.2,213.0,198.4,17.5
78.25,179.0,201.9,210.3,197.1,16.2
78.5,175.5,197.5,209.7,194.2,17.3
78.75,175.1,199.2,208.8,194.4,17.4
79.0,174.5,195.0,210.2,193.2,17.9
79.25,172.9,200.0,209.3,194.1,18.9
79.5,170.3,194.6,210.1,191.7,20.0
79.75,171.2,197.1,207.2,191.8,18.6
80.0,170.1,192.1,210.7,191.0,20.3
80.25,167.8,192.2,207.6,189.2,20.0
80.5,169.8,191.7,209.9,190.5,20.1
80.75,166.9,191.6,205.4,188.0,19.5
81.0,163.5,188.3,205.9,185.9,21.3
81.25,165.2,188.4,206.3,186.6,20.6
81.5,163.7,189.0,207.8,186.8,22.1
81.75,161.2,183.6,205.9,183.5,22.4
82.0,160.1,187.0,210.0,185.7,25.0
82.25,158.1,182.1,207.9,182.7,24.9
82.5,155.3,180.6,204.9,180.3,24.8
82.75,157.1,180.9,204.8,180.9,23.9
83.0,154.5,181.1,202.6,179.4,24.0
83.25,153.1,180.8,203.5,179.1,25.2
83.5,154.2,179.1,199.8,177.7,22.9
83.75,149.8,177.0,202.5,176.4,26.3
84.0,149.7,178.2,204.2,177.4,27.3
84.25,146.7,175.8,202.1,174.9,27.7
84.5,145.0,172.2,203.6,173.6,29.3
84.75,143.2,173.8,200.8,172.6,28.8
85.0,143.5,170.3,201.8,171.9,29.2
85.25,140.5,170.3,198.8,169.9,29.2
85.5,139.4,169.5,198.3,169.1,29.4
85.75,139.4,169.0,198.4,168.9,29.5
86.0,138.8,168.7,195.8,167.8,28.5
86.25,135.2,166.6,198.8,166.9,31.8
86.5,135.5,165.0,202.0,167.5,33.3
86.75,134.6,163.6,196.1,164.8,30.8
87.0,134.3,162.2,195.0,163.8,30.4
87.25,131.2,158.4,196.6,162.1,32.9
87.5,132.2,159.4,193.2,161.6,30.6
87.75,132.5,157.8,196.4,162.2,32.2
88.0,130.7,156.1,193.2,160.0,31.4
88.25,131.2,154.6,195.5,160.4,32.5
88.5,127.9,153.9,192.6,158.1,32.6
88.75,128.6,150.7,192.9,157.4,32.7
89.0,126.1,151.0,190.2,155.8,32.3
89.25,124.8,151.2,191.6,155.9,33.7
89.5,122.3,149.1,192.0,154.5,35.2
89.75,122.8,145.2,191.6,153.2,35.1
90.0,120.8,147.2,187.1,151.7,33.4
90.25,121.5,145.1,188.7,151.8,34.1
90.5,119.3,145.7,185.9,150.3,33.6
90.75,119.3,141.7,185.0,148.7,33.4
91.0,118.6,140.3,184.7,147.9,33.7
91.25,116.5,140.5,184.3,147.1,34.4
91.5,116.3,141.9,184.7,147.6,34.6
91.75,115.7,137.4,183.1,145.4,34.4
92.0,115.3,137.5,183.9,145.5,35.0
92.25,114.1,136.5,182.5,144.3,34.9
92.5,114.4,134.0,182.4,143.6,35.0
92.75,113.3,133.8,183.1,143.4,35.9
93.0,112.3,129.3,179.6,140.4,35.0
93.25,112.1,130.6,181.1,141.2,35.7
93.5,111.8,129.0,181.7,140.8,36.4
93.75,109.1,128.0,177.8,138.3,35.5
94.0,111.0,126.8,177.9,138.5,35.0
94.25,109.0,124.0,178.6,137.2,36.6
94.5,109.1,124.7,173.4,135.7,33.5
94.75,106.2,126.6,177.5,136.8,36.7
95.0,107.3,122.0,174.1,134.5,35.1
95.25,107.7,121.9,173.9,134.5,34.8
95.5,106.6,119.2,171.9,132.5,34.7
95.75,106.5,116.9,172.5,132.0,35.5
96.0,105.8,119.1,172.2,132.4,35.1
96.25,105.1,117.9,173.6,132.2,36.4
96.5,105.6,117.1,171.5,131.4,35.2
96.75,104.1,115.3,170.1,129.8,35.3
97.0,104.3,116.4,170.2,130.3,35.1
97.25,103.1,114.1,167.3,128.2,34.4
97.5,104.7,112.0,168.3,128.3,34.8
97.75,104.2,113.2,168.8,128.8,35.0
98.0,102.6,112.7,167.1,127.4,34.7
98.25,103.4,112.7,166.8,127.6,34.2
98.5,103.7,110.1,166.2,126.7,34.4
98.75,101.7,109.1,165.5,125.4,34.9
99.0,102.8,108.1,163.3,124.7,33.5
99.25,101.7,109.1,160.2,123.7,31.8
99.5,101.9,106.4,164.8,124.3,35.1
99.75,99.8,106.3,163.4,123.2,35.0
100.0,101.5,106.3,161.7,123.2,33.5
100.25,99.8,103.6,160.2,121.2,33.8
100.5,100.9,105.1,158.8,121.6,32.3
100.75,100.9,105.1,157.5,121.2,31.5
101.0,100.8,102.5,158.3,120.5,32.7
101.25,101.6,101.5,157.3,120.1,32.2
101.5,100.5,100.7,157.1,119.4,32.6
101.75,100.6,100.3,158.1,119.7,33.3
102.0,100.7,100.5,156.2,119.1,32.1
102.25,98.4,100.1,158.3,118.9,34.1
102.5,98.9,97.7,153.0,116.5,31.6
102.75,99.2,99.1,153.2,117.2,31.2
103.0,99.7,96.5,154.1,116.8,32.4
103.25,98.6,96.6,153.4,116.2,32.2
103.5,98.7,97.4,152.3,116.2,31.3
103.75,99.4,98.2,151.3,116.3,30.3
104.0,98.8,96.0,150.1,115.0,30.4
104.25,97.4,94.5,147.1,113.0,29.6
104.5,99.7,94.2,147.3,113.7,29.2
104.75,97.3,93.3,146.3,112.3,29.5
105.0,97.0,93.5,144.0,111.5,28.2
105.25,97.7,93.9,145.7,112.4,28.9
105.5,97.3,91.9,144.7,111.3,29.0
105.75,96.9,91.4,142.4,110.2,28.0
106.0,97.1,90.6,141.9,109.9,27.9
106.25,95.9,90.5,141.8,109.4,28.2
106.5,95.1,89.4,139.6,108.0,27.5
106.75,95.4,88.3,142.4,108.7,29.4
107.0,96.2,89.1,138.5,107.9,26.7
107.25,95.4,88.3,138.2,107.3,27.0
107.5,95.1,86.0,137.4,106.2,27.4
107.75,94.0,85.8,136.0,105.3,26.9
108.0,94.4,84.3,135.8,104.8,27.3
108.25,94.2,83.7,135.7,104.5,27.5
108.5,93.6,82.8,136.5,104.3,28.4
108.75,92.8,81.6,133.3,102.6,27.2
109.0,93.5,80.5,133.0,102.3,27.4
109.25,92.0,80.8,133.3,102.1,27.7
109.5,93.4,80.6,132.3,102.1,26.9
109.75,92.4,80.2,130.9,101.1,26.5
110.0,93.2,79.8,129.6,100.8,25.8
110.25,91.8,78.2,127.6,99.2,25.5
110.5,90.9,78.5,128.4,99.3,26.0
110.75,92.6,77.1,127.7,99.1,25.9
111.0,91.4,75.8,126.9,98.1,26.2
111.25,91.2,76.2,125.5,97.6,25.3
111.5,90.4,75.6,126.2,97.4,26.0
111.75,90.7,75.5,124.7,97.0,25.2
112.0,91.0,74.9,122.6,96.2,24.2
112.25,92.0,75.6,122.7,96.8,23.9
112.5,91.1,74.4,120.1,95.2,23.1
112.75,90.9,74.2,120.2,95.1,23.3
113.0,90.2,73.9,119.9,94.7,23.4
113.25,90.1,73.0,117.9,93.6,22.7
113.5,90.1,72.1,117.0,93.1,22.6
113.75,90.3,71.0,116.2,92.5,22.7
114.0,91.2,71.7,114.6,92.5,21.5
114.25,89.5,71.2,114.6,91.8,21.8
114.5,89.9,69.6,114.5,91.3,22.5
114.75,90.3,68.2,113.8,90.8,22.8
115.0,90.5,69.0,111.7,90.4,21.3
115.25,90.2,67.0,111.3,89.5,22.2
115.5,91.2,67.5,110.2,89.6,21.4
115.75,89.5,66.4,108.6,88.1,21.1
116.0,90.5,65.6,109.6,88.6,22.1
116.25,89.8,64.1,105.8,86.6,21.0
116.5,90.7,63.6,106.6,86.9,21.7
116.75,90.4,63.1,104.5,86.0,21.0
117.0,90.0,62.8,102.3,85.0,20.2
117.25,90.2,62.0,102.2,84.8,20.7
117.5,89.6,61.8,101.8,84.4,20.5
117.75,89.6,59.9,100.5,83.4,21.0
118.0,91.0,60.8,98.6,83.4,20.0
118.25,90.4,58.7,98.2,82.4,20.9
118.5,90.5,58.6,96.4,81.8,20.3
118.75,90.7,57.8,95.3,81.3,20.5
119.0,90.8,57.5,94.8,81.0,20.5
119.25,90.9,55.8,94.9,80.5,21.5
119.5,91.2,55.4,93.6,80.1,21.4
119.75,90.1,55.4,92.3,79.3,20.7
120.0,89.8,56.1,90.7,78.9,19.7
120.25,91.1,55.0,89.0,78.4,20.3
120.5,90.3,54.2,88.3,77.6,20.3
120.75,90.4,54.9,88.1,77.8,19.9
121.0,90.5,53.4,86.7,76.9,20.4
121.25,90.3,53.3,86.7,76.8,20.4
121.5,89.8,52.8,85.2,75.9,20.2
121.75,90.7,52.0,85.3,76.0,21.0
122.0,90.1,51.9,82.9,75.0,20.3
122.25,90.9,51.0,84.5,75.4,21.4
122.5,90.3,51.1,83.7,75.0,21.0
122.75,91.0,49.4,82.7,74.4,22.0
123.0,90.2,49.6,82.4,74.0,21.5
123.25,90.0,49.0,81.6,73.5,21.6
123.5,90.1,48.0,81.1,73.1,22.2
123.75,89.4,47.6,78.8,71.9,21.7
124.0,90.3,47.4,77.7,71.8,22.0
124.25,89.9,46.6,77.1,71.2,22.2
124.5,89.0,46.8,76.4,70.8,21.7
124.75,89.2,46.0,75.2,70.2,22.0
125.0,89.8,45.4,74.3,69.8,22.5
125.25,89.0,45.7,73.5,69.4,21.9
125.5,91.1,44.5,73.5,69.7,23.6
125.75,88.6,44.5,72.2,68.4,22.3
126.0,89.5,43.9,71.8,68.4,23.0
126.25,87.6,44.1,70.9,67.6,22.0
126.5,88.2,43.0,69.4,66.9,22.7
126.75,86.3,42.8,68.9,66.0,21.9
127.0,89.0,42.6,68.2,66.6,23.2
127.25,86.2,42.5,67.5,65.4,21.9
127.5,88.4,42.0,66.4,65.6,23.2
127.75,86.6,41.6,66.1,64.8,22.6
128.0,87.0,41.3,65.6,64.6,22.9
128.25,85.7,40.9,64.8,63.8,22.4
128.5,87.4,39.9,63.6,63.6,23.7
128.75,86.2,39.5,63.5,63.1,23.3
129.0,85.2,40.0,61.7,62.3,22.6
129.25,84.6,38.8,61.2,61.5,22.9
129.5,85.4,39.0,60.7,61.7,23.3
129.75,85.1,39.1,60.1,61.4,23.0
130.0,85.0,38.8,59.4,61.0,23.2
130.25,84.8,38.0,58.5,60.4,23.5
130.5,84.2,37.3,58.0,59.8,23.5
130.75,83.8,37.6,56.8,59.4,23.2
131.0,84.1,37.3,57.2,59.5,23.5
131.25,83.6,36.8,55.9,58.8,23.6
131.5,85.2,36.6,54.8,58.8,24.5
131.75,83.9,36.1,54.9,58.3,24.1
132.0,83.8,36.3,54.0,58.0,24.0
132.25,83.6,36.0,53.0,57.5,24.1
132.5,82.5,36.1,52.7,57.1,23.5
132.75,83.3,35.4,51.4,56.7,24.4
133.0,83.9,35.7,51.7,57.1,24.6
133.25,82.6,35.4,51.3,56.4,24.0
133.5,83.6,35.6,50.1,56.4,24.6
133.75,82.1,35.1,50.1,55.8,24.0
134.0,83.2,34.7,48.7,55.5,25.0
134.25,82.5,34.4,48.4,55.1,24.8
134.5,81.4,34.5,48.1,54.7,24.2
134.75,82.1,34.5,47.3,54.6,24.6
135.0,82.5,34.2,47.6,54.7,24.9
135.25,81.8,34.5,46.8,54.3,24.6
135.5,82.8,34.2,46.6,54.6,25.3
135.75,81.5,33.7,46.6,53.9,24.7
136.0,81.5,33.7,45.5,53.5,24.9
136.25,81.2,33.7,45.6,53.5,24.7
136.5,80.9,33.5,45.0,53.1,24.7
136.75,82.2,33.8,44.0,53.3,25.5
137.0,80.3,33.6,44.3,52.7,24.5
137.25,81.6,33.5,43.5,52.9,25.4
137.5,81.0,33.8,43.1,52.7,25.0
137.75,80.5,33.5,42.6,52.2,24.9
138.0,80.0,33.8,42.4,52.1,24.6
138.25,79.4,33.7,42.5,51.8,24.3
138.5,81.3,34.2,41.5,52.3,25.3
138.75,80.0,33.9,41.6,51.8,24.7
139.0,79.3,34.0,41.4,51.6,24.3
139.25,80.4,33.6,40.9,51.6,25.2
139.5,80.8,33.8,39.8,51.5,25.6
139.75,79.2,33.8,39.5,50.8,24.7
140.0,79.3,33.6,39.3,50.7,24.9
140.25,79.4,33.7,38.4,50.5,25.1
140.5,79.0,33.2,38.6,50.3,25.0
140.75,78.5,33.4,37.7,49.9,24.9
141.0,78.9,33.2,38.1,50.0,25.1
141.25,77.8,33.0,37.7,49.5,24.6
141.5,77.9,32.5,37.0,49.1,25.0
141.75,78.5,33.0,36.9,49.5,25.2
142.0,77.6,32.5,36.3,48.8,25.0
142.25,77.4,32.5,36.1,48.7,25.0
142.5,76.5,32.4,35.8,48.2,24.6
142.75,77.1,32.7,35.3,48.4,24.9
143.0,76.4,32.3,35.0,47.9,24.7
143.25,75.2,32.3,34.6,47.4,24.1
143.5,75.8,31.6,34.1,47.2,24.8
143.75,75.1,31.8,34.4,47.1,24.3
144.0,75.0,31.9,33.8,46.9,24.3
144.25,75.5,31.7,32.9,46.7,24.9
