Time after Ignition,Straw_R1,Straw_R2,Straw_R3,Mean,Std. Dev.
17.75,93.6,108.9,111.9,104.8,9.8
18.0,95.4,108.4,110.3,104.7,8.1
18.25,93.8,110.0,110.5,104.8,9.5
18.5,94.3,110.5,112.1,105.6,9.8
18.75,95.8,108.2,110.5,104.8,7.9
19.0,96.1,107.9,112.3,105.4,8.4
19.25,94.9,107.5,110.2,104.2,8.1
19.5,96.1,106.8,111.1,104.7,7.7
19.75,94.6,106.9,109.6,103.7,8.0
20.0,96.7,107.5,112.2,105.4,7.9
20.25,97.7,107.7,109.8,105.1,6.5
20.5,99.4,106.3,111.7,105.8,6.2
20.75,96.6,105.8,111.3,104.6,7.5
21.0,98.2,108.1,110.2,105.5,6.4
21.25,98.0,104.2,110.8,104.3,6.4
21.5,97.2,106.8,111.5,105.2,7.3
21.75,98.0,106.9,109.4,104.8,6.0
22.0,96.9,105.7,111.8,104.8,7.5
22.25,99.1,104.7,109.2,104.3,5.1
22.5,98.0,106.2,112.2,105.4,7.1
22.75,97.9,105.2,111.4,104.8,6.8
23.0,97.6,104.4,108.0,103.3,5.3
23.25,97.5,104.0,109.6,103.7,6.1
23.5,98.1,103.9,109.6,103.8,5.8
23.75,98.4,102.4,108.8,103.2,5.2
24.0,98.8,101.7,109.3,103.3,5.4
24.25,98.1,103.0,109.5,103.5,5.7
24.5,97.1,102.4,108.8,102.7,5.8
24.75,96.8,101.5,107.4,101.9,5.3
25.0,96.6,102.0,108.4,102.3,5.9
25.25,96.5,101.5,106.0,101.3,4.8
25.5,97.3,100.0,105.9,101.1,4.4
25.75,98.6,101.1,107.0,102.2,4.3
26.0,99.1,99.9,105.7,101.6,3.6
26.25,97.6,99.4,105.1,100.7,3.9
26.5,98.6,99.3,106.3,101.4,4.3
26.75,98.6,99.1,106.2,101.3,4.2
27.0,97.8,97.6,105.3,100.2,4.4
27.25,98.9,101.2,104.5,101.6,2.8
27.5,97.4,99.8,105.2,100.8,4.0
27.75,97.9,97.2,105.3,100.1,4.5
28.0,97.1,96.4,103.8,99.1,4.1
28.25,97.8,96.0,104.9,99.6,4.7
28.5,96.6,96.1,103.8,98.8,4.3
28.75,96.5,94.6,103.6,98.2,4.8
29.0,97.1,93.1,103.5,97.9,5.2
29.25,96.4,94.8,103.6,98.3,4.7
29.5,97.9,93.8,102.9,98.2,4.5
29.75,96.7,94.7,101.4,97.6,3.4
30.0,98.3,93.3,100.7,97.4,3.8
30.25,96.5,92.5,102.3,97.1,4.9
30.5,96.3,93.1,101.8,97.0,4.4
30.75,97.2,92.3,99.4,96.3,3.7
31.0,97.1,92.2,99.7,96.3,3.8
31.25,95.0,92.8,100.8,96.2,4.1
31.5,96.3,91.7,100.4,96.1,4.3
31.75,96.0,91.3,99.4,95.6,4.0
32.0,95.2,92.3,99.4,95.6,3.6
32.25,95.1,92.1,97.7,95.0,2.8
32.5,95.3,90.8,99.1,95.1,4.2
32.75,94.7,90.3,97.9,94.3,3.8
33.0,95.4,89.8,97.8,94.3,4.1
33.25,93.9,89.3,97.3,93.5,4.0
33.5,94.7,90.7,98.3,94.5,3.8
33.75,95.0,89.2,98.5,94.3,4.7
34.0,95.6,89.8,97.9,94.5,4.2
34.25,94.4,89.4,98.2,94.0,4.4
34.5,94.0,88.8,97.8,93.6,4.5
34.75,95.2,88.9,99.0,94.4,5.1
35.0,94.2,88.9,94.8,92.6,3.3
35.25,92.8,87.6,97.5,92.6,4.9
35.5,95.8,87.2,94.9,92.6,4.7
35.75,94.5,88.3,95.9,92.9,4.1
36.0,94.5,87.6,95.3,92.5,4.2
36.25,93.6,87.0,96.3,92.3,4.8
36.5,94.3,86.7,96.2,92.4,5.0
36.75,91.7,86.5,94.2,90.8,3.9
37.0,94.1,86.8,93.1,91.3,3.9
37.25,94.4,86.5,94.3,91.7,4.5
37.5,94.6,85.4,93.7,91.2,5.1
37.75,92.8,85.8,94.7,91.1,4.7
38.0,93.9,85.9,94.0,91.3,4.6
38.25,92.8,84.2,94.9,90.6,5.7
38.5,93.0,84.3,96.0,91.1,6.1
38.75,93.6,83.8,94.2,90.6,5.9
39.0,92.9,83.8,94.1,90.3,5.6
39.25,92.8,84.0,94.7,90.5,5.7
39.5,93.3,82.6,94.0,90.0,6.4
39.75,91.9,83.5,94.2,89.8,5.6
40.0,94.4,83.4,93.1,90.3,6.0
40.25,92.9,82.8,93.3,89.7,6.0
40.5,93.9,82.9,94.2,90.3,6.4
40.75,93.4,82.2,92.7,89.4,6.3
41.0,94.0,82.3,91.5,89.3,6.2
41.25,94.2,80.9,92.9,89.3,7.3
41.5,94.6,81.9,93.9,90.1,7.1
41.75,93.4,81.1,91.9,88.8,6.7
42.0,93.5,82.0,90.2,88.6,6.0
42.25,93.3,81.5,92.4,89.1,6.5
42.5,94.1,81.0,92.6,89.2,7.2
42.75,93.9,80.2,91.3,88.5,7.3
43.0,92.8,80.2,90.7,87.9,6.8
43.25,93.3,80.7,92.3,88.7,7.0
43.5,93.1,79.8,90.8,87.9,7.1
43.75,93.4,79.6,91.4,88.1,7.5
44.0,92.4,80.4,90.4,87.8,6.4
44.25,93.9,77.8,91.7,87.8,8.8
44.5,93.9,79.3,89.9,87.7,7.5
44.75,92.7,79.1,89.5,87.1,7.1
45.0,92.3,79.3,90.5,87.4,7.1
45.25,92.2,78.5,91.3,87.3,7.7
45.5,91.0,78.0,90.6,86.5,7.4
45.75,91.3,79.4,90.6,87.1,6.7
46.0,93.1,79.0,88.9,87.0,7.2
46.25,91.9,77.6,90.3,86.6,7.9
46.5,92.0,78.4,89.7,86.7,7.2
46.75,91.2,77.3,89.4,86.0,7.5
47.0,92.7,78.5,87.7,86.3,7.2
47.25,91.1,78.2,87.9,85.7,6.7
47.5,91.6,77.9,87.9,85.8,7.1
47.75,91.9,76.4,88.9,85.7,8.2
48.0,92.0,77.6,88.8,86.1,7.6
48.25,91.7,77.1,86.3,85.0,7.4
48.5,91.8,76.4,87.8,85.4,8.0
48.75,90.1,74.9,87.3,84.1,8.1
49.0,89.2,75.4,87.4,84.0,7.5
49.25,91.3,75.4,86.8,84.5,8.2
49.5,90.4,75.3,85.7,83.8,7.7
49.75,90.7,75.7,86.3,84.2,7.7
50.0,91.3,75.9,86.5,84.6,7.9
50.25,90.1,73.9,84.8,82.9,8.2
50.5,89.4,74.3,86.6,83.4,8.0
50.75,90.6,73.8,85.7,83.4,8.6
51.0,89.8,72.4,85.2,82.5,9.0
51.25,90.2,72.4,84.5,82.4,9.1
51.5,89.3,72.0,85.0,82.1,9.0
51.75,90.2,72.9,84.8,82.6,8.8
52.0,89.3,72.0,83.9,81.7,8.9
52.25,89.3,71.5,85.0,82.0,9.3
52.5,90.0,71.4,83.5,81.7,9.4
52.75,88.9,70.8,83.8,81.2,9.3
53.0,90.7,71.8,83.4,82.0,9.5
53.25,89.9,70.4,83.3,81.2,9.9
53.5,88.5,71.9,83.9,81.4,8.6
53.75,90.4,70.3,83.9,81.5,10.3
54.0,89.9,69.9,82.9,80.9,10.1
54.25,91.0,69.8,81.1,80.6,10.6
54.5,90.4,70.2,83.7,81.4,10.3
54.75,91.7,70.0,81.5,81.1,10.8
55.0,91.3,68.4,83.1,80.9,11.6
55.25,91.2,68.2,81.1,80.2,11.5
55.5,93.6,68.5,83.5,81.9,12.6
55.75,92.0,68.1,82.1,80.7,12.1
56.0,92.7,69.1,81.8,81.2,11.8
56.25,92.6,67.8,81.3,80.6,12.4
56.5,91.3,67.6,81.4,80.1,11.9
56.75,93.1,67.0,81.7,80.6,13.1
57.0,93.1,67.3,82.1,80.8,12.9
57.25,93.9,66.4,80.5,80.3,13.8
57.5,93.5,67.1,81.1,80.5,13.2
57.75,93.3,66.0,80.7,80.0,13.7
58.0,93.4,67.4,80.5,80.4,13.0
58.25,94.6,65.8,79.6,80.0,14.4
58.5,93.7,66.7,80.5,80.3,13.5
58.75,94.3,66.2,80.5,80.3,14.0
59.0,94.5,65.4,81.0,80.3,14.6
59.25,94.2,67.1,79.6,80.3,13.5
59.5,95.3,66.4,80.8,80.8,14.4
59.75,94.6,66.5,79.4,80.2,14.1
60.0,95.9,66.3,81.0,81.0,14.8
60.25,93.8,65.9,79.2,79.6,14.0
60.5,95.3,67.2,78.7,80.4,14.2
60.75,95.2,65.6,79.0,79.9,14.8
61.0,96.4,66.3,78.9,80.5,15.1
61.25,96.9,66.0,79.1,80.7,15.5
61.5,96.5,66.3,79.5,80.8,15.1
61.75,94.0,65.6,79.1,79.6,14.2
62.0,97.1,66.6,78.1,80.6,15.4
62.25,97.6,66.4,79.2,81.1,15.6
62.5,96.1,65.8,78.5,80.1,15.2
62.75,96.7,65.6,77.6,80.0,15.7
63.0,97.0,65.5,78.3,80.3,15.9
63.25,96.4,66.2,79.1,80.6,15.2
63.5,98.6,66.8,76.9,80.8,16.3
63.75,97.7,67.4,77.7,80.9,15.4
64.0,97.6,66.2,77.1,80.3,16.0
64.25,98.2,66.4,76.4,80.4,16.3
64.5,98.6,65.5,76.8,80.3,16.8
64.75,97.2,65.9,75.5,79.5,16.0
65.0,98.8,65.8,76.0,80.2,16.9
65.25,97.7,66.0,76.3,80.0,16.2
65.5,96.8,65.4,75.8,79.3,16.0
65.75,98.9,65.4,74.8,79.7,17.3
66.0,98.1,65.8,74.7,79.5,16.7
66.25,98.2,65.6,75.8,79.9,16.7
66.5,99.8,65.4,75.0,80.0,17.7
66.75,100.4,65.5,74.7,80.2,18.1
67.0,101.1,65.2,74.7,80.3,18.6
67.25,99.9,65.5,74.3,79.9,17.9
67.5,99.1,65.7,75.0,79.9,17.2
67.75,101.2,65.2,73.1,79.8,18.9
68.0,101.7,64.3,72.0,79.3,19.7
68.25,101.3,64.6,72.5,79.4,19.3
68.5,101.3,64.5,73.4,79.7,19.2
68.75,100.5,63.5,73.3,79.1,19.2
69.0,102.1,63.5,72.2,79.3,20.3
69.25,102.1,62.5,72.5,79.1,20.6
69.5,102.7,65.2,72.2,80.0,19.9
69.75,101.7,64.5,71.9,79.4,19.7
70.0,102.2,63.5,73.6,79.8,20.0
70.25,102.8,63.6,71.7,79.4,20.7
70.5,101.8,63.3,71.1,78.7,20.4
70.75,102.5,64.2,71.4,79.4,20.4
71.0,102.9,63.0,71.8,79.3,21.0
71.25,104.0,63.1,70.5,79.2,21.8
71.5,102.1,63.7,72.1,79.3,20.2
71.75,103.2,63.1,71.7,79.3,21.1
72.0,102.6,63.1,70.0,78.6,21.1
72.25,103.6,62.5,71.1,79.1,21.7
72.5,103.7,62.8,70.3,78.9,21.7
72.75,103.2,63.1,71.0,79.1,21.2
73.0,104.2,63.3,70.8,79.4,21.8
73.25,104.9,63.5,70.3,79.6,22.2
73.5,104.5,63.0,70.3,79.3,22.2
73.75,102.9,63.4,69.7,78.7,21.2
74.0,103.5,62.7,69.7,78.6,21.8
74.25,103.4,62.9,69.7,78.7,21.7
74.5,103.5,62.8,71.5,79.3,21.4
74.75,103.6,62.0,69.5,78.3,22.2
75.0,103.6,63.0,70.3,79.0,21.6
75.25,102.3,63.2,69.4,78.3,21.0
75.5,103.3,62.3,70.2,78.6,21.8
75.75,102.1,63.5,70.2,78.6,20.6
76.0,103.1,62.7,70.4,78.7,21.5
76.25,103.1,62.4,68.7,78.1,21.9
76.5,103.6,61.9,68.6,78.0,22.4
76.75,101.7,61.6,69.1,77.4,21.3
77.0,103.0,62.1,68.2,77.8,22.1
77.25,99.7,63.1,71.1,78.0,19.3
77.5,101.8,61.4,68.5,77.2,21.5
77.75,100.3,62.5,68.3,77.0,20.3
78.0,100.4,61.6,67.6,76.5,20.9
78.25,100.9,61.8,67.5,76.7,21.1
78.5,99.3,62.4,68.1,76.6,19.9
78.75,99.8,62.5,67.7,76.7,20.2
79.0,99.0,62.4,67.1,76.2,20.0
79.25,96.6,62.8,66.5,75.3,18.6
79.5,99.4,62.3,66.9,76.2,20.2
79.75,99.8,63.3,66.9,76.7,20.1
80.0,96.7,62.8,65.6,75.0,18.8
80.25,99.5,62.2,66.8,76.2,20.4
80.5,97.1,62.6,66.4,75.4,18.9
80.75,97.6,61.3,66.6,75.2,19.6
81.0,97.3,61.8,65.0,74.7,19.7
81.25,99.1,60.3,65.4,74.9,21.1
81.5,95.1,60.8,65.5,73.8,18.6
81.75,95.3,61.3,64.9,73.8,18.7
82.0,96.5,60.3,65.0,73.9,19.7
82.25,97.1,61.1,66.3,74.8,19.5
82.5,95.3,60.9,64.6,73.6,18.9
82.75,95.1,60.9,64.7,73.6,18.7
83.0,94.5,60.5,64.0,73.0,18.7
83.25,93.6,61.6,64.9,73.4,17.6
83.5,93.3,60.0,64.7,72.7,18.0
83.75,92.5,60.3,63.2,72.0,17.8
84.0,90.9,60.7,63.5,71.7,16.7
84.25,90.8,59.8,62.6,71.0,17.2
84.5,88.9,60.6,62.6,70.7,15.8
84.75,90.0,61.1,62.0,71.1,16.4
85.0,89.0,60.3,61.2,70.2,16.4
85.25,88.4,60.0,62.0,70.1,15.9
85.5,87.4,59.7,60.6,69.2,15.7
85.75,84.2,59.8,60.5,68.2,13.9
86.0,84.5,60.8,60.5,68.6,13.7
86.25,84.6,60.6,60.1,68.5,14.0
86.5,82.5,60.6,59.2,67.5,13.1
86.75,81.5,59.9,58.5,66.6,12.9
87.0,81.3,60.7,59.6,67.2,12.2
87.25,80.6,60.4,58.5,66.5,12.2
87.5,79.9,60.5,58.1,66.2,11.9
87.75,80.9,60.0,57.3,66.1,12.9
88.0,78.2,60.3,57.2,65.2,11.3
88.25,77.7,60.4,57.1,65.0,11.1
88.5,77.1,60.7,56.7,64.9,10.8
88.75,77.2,59.1,56.6,64.3,11.2
89.0,74.8,60.3,56.5,63.9,9.7
89.25,75.3,61.4,56.1,64.3,9.9
89.5,74.0,59.8,55.7,63.2,9.6
89.75,74.4,60.3,56.7,63.8,9.3
90.0,74.6,61.1,55.8,63.8,9.7
90.25,73.0,60.0,55.5,62.8,9.1
90.5,72.8,61.3,55.7,63.3,8.7
90.75,72.4,60.6,55.3,62.8,8.7
91.0,71.2,60.8,54.8,62.3,8.3
91.25,70.7,61.3,54.8,62.3,8.0
91.5,71.3,60.6,54.4,62.1,8.5
91.75,69.9,61.3,54.3,61.8,7.8
92.0,69.6,61.9,53.2,61.6,8.2
92.25,70.0,61.3,53.9,61.7,8.1
92.5,67.5,61.9,53.3,60.9,7.1
92.75,67.5,61.5,52.4,60.5,7.6
93.0,67.4,61.5,52.8,60.6,7.3
93.25,67.0,61.6,51.0,59.9,8.1
93.5,66.4,61.5,49.8,59.2,8.5
93.75,65.8,62.1,50.7,59.5,7.9
94.0,65.0,62.6,49.7,59.1,8.2
94.25,63.2,61.6,49.4,58.1,7.6
94.5,64.4,61.9,48.0,58.1,8.9
94.75,64.2,62.8,47.4,58.1,9.3
95.0,62.3,62.5,47.3,57.4,8.7
95.25,62.7,63.1,46.5,57.5,9.5
95.5,61.5,63.7,45.8,57.0,9.8
95.75,61.3,63.1,45.6,56.7,9.6
96.0,60.9,64.1,44.8,56.6,10.4
96.25,60.2,63.2,44.0,55.8,10.3
96.5,58.6,63.8,43.3,55.2,10.6
96.75,59.4,64.0,42.6,55.3,11.3
97.0,59.2,63.3,41.8,54.8,11.5
97.25,58.4,64.0,40.8,54.4,12.1
97.5,58.4,62.8,40.9,54.0,11.6
97.75,56.8,63.9,40.3,53.7,12.1
98.0,56.6,64.2,39.8,53.6,12.5
98.25,56.2,64.0,38.8,53.0,12.9
98.5,55.5,64.3,38.7,52.8,13.0
98.75,56.0,64.7,37.8,52.8,13.7
99.0,55.6,63.1,38.0,52.2,12.9
99.25,54.2,63.6,37.5,51.8,13.3
99.5,54.5,64.0,36.4,51.7,14.1
99.75,54.1,64.6,36.3,51.6,14.3
100.0,52.3,65.0,35.5,50.9,14.8
100.25,53.6,65.0,,59.3,8.1
100.5,52.3,64.8,,58.6,8.8
100.75,52.2,65.9,,59.1,9.7
101.0,52.1,65.0,,58.5,9.1
101.25,51.3,64.9,,58.1,9.6
101.5,50.6,65.1,,57.9,10.3
101.75,50.0,65.0,,57.5,10.6
102.0,50.1,65.7,,57.9,11.0
102.25,49.0,65.2,,57.1,11.5
102.5,48.7,66.3,,57.5,12.5
102.75,48.4,65.5,,57.0,12.1
103.0,47.3,66.5,,56.9,13.6
103.25,47.1,65.2,,56.1,12.8
103.5,46.4,65.1,,55.7,13.2
103.75,46.7,65.6,,56.2,13.3
104.0,45.3,65.9,,55.6,14.5
104.25,46.0,65.4,,55.7,13.7
104.5,44.9,65.0,,55.0,14.2
104.75,44.4,64.8,,54.6,14.5
105.0,43.9,65.5,,54.7,15.2
105.25,43.1,65.0,,54.0,15.5
