Time after Ignition,Polyester_Bed_Skirt_R1,Polyester_Bed_Skirt_R2,Polyester_Bed_Skirt_R3,Mean,Std. Dev.
14.75,482.0,360.7,591.0,477.9,115.2
15.0,469.4,355.5,573.2,466.0,108.8
15.25,453.0,335.4,552.7,447.0,108.8
15.5,443.8,328.7,533.9,435.5,102.8
15.75,420.6,312.0,520.2,417.6,104.1
16.0,410.8,302.4,513.4,408.9,105.5
16.25,398.6,291.8,484.0,391.5,96.3
16.5,387.3,275.9,473.5,378.9,99.1
16.75,366.9,272.2,457.4,365.5,92.6
17.0,365.7,261.1,438.2,355.0,89.0
17.25,356.6,251.9,422.3,343.6,85.9
17.5,347.7,243.2,407.1,332.7,83.0
17.75,332.9,233.4,387.0,317.8,77.9
18.0,326.7,227.3,383.5,312.5,79.1
18.25,310.2,218.0,362.2,296.8,73.0
18.5,300.6,217.1,344.9,287.5,64.9
18.75,287.5,208.2,329.1,274.9,61.4
19.0,284.5,199.7,320.4,268.2,62.0
19.25,272.7,194.2,305.3,257.4,57.1
19.5,268.8,186.9,294.0,249.9,56.0
19.75,262.4,183.1,284.3,243.3,53.2
20.0,254.7,176.3,271.1,234.0,50.6
20.25,243.7,173.4,259.4,225.5,45.8
20.5,238.6,166.4,244.7,216.6,43.5
20.75,233.0,162.3,241.5,212.2,43.5
21.0,227.0,156.4,232.9,205.5,42.5
21.25,217.5,151.8,219.2,196.2,38.4
21.5,210.7,146.3,216.4,191.1,38.9
21.75,206.4,145.6,206.4,186.1,35.1
22.0,200.1,137.5,200.7,179.4,36.3
22.25,192.8,136.7,194.8,174.7,33.0
22.5,183.6,131.1,185.5,166.7,30.9
22.75,179.1,129.0,180.8,163.0,29.4
23.0,174.3,125.8,173.8,158.0,27.8
23.25,168.0,121.1,169.9,153.0,27.6
23.5,161.2,119.6,164.8,148.5,25.1
23.75,155.4,115.9,159.2,143.5,24.0
24.0,148.6,113.2,154.4,138.7,22.3
24.25,147.2,111.4,150.9,136.5,21.8
24.5,139.4,107.7,149.1,132.1,21.7
24.75,136.8,103.5,143.7,128.0,21.5
25.0,130.7,102.1,142.4,125.0,20.7
25.25,125.9,98.0,134.8,119.6,19.2
25.5,123.4,94.8,131.1,116.4,19.2
25.75,118.7,92.3,127.9,113.0,18.5
26.0,115.2,91.3,127.1,111.2,18.2
26.25,113.2,89.4,121.3,108.0,16.6
26.5,108.7,87.5,117.9,104.7,15.6
26.75,106.9,85.3,115.4,102.5,15.5
27.0,103.6,82.3,114.3,100.0,16.3
27.25,99.9,81.2,110.5,97.2,14.9
27.5,98.3,79.0,107.0,94.8,14.3
27.75,95.1,77.3,105.3,92.6,14.2
28.0,92.1,76.6,103.0,90.6,13.3
28.25,92.4,74.9,100.7,89.3,13.2
28.5,89.8,73.9,97.4,87.0,12.0
28.75,86.3,72.4,97.7,85.5,12.7
29.0,85.7,71.3,95.1,84.0,11.9
29.25,82.8,70.0,90.9,81.2,10.5
29.5,81.4,68.4,89.9,79.9,10.8
29.75,79.6,68.2,88.9,78.9,10.4
30.0,79.5,67.3,87.7,78.2,10.3
30.25,76.8,66.4,86.6,76.6,10.1
30.5,76.3,65.4,84.9,75.5,9.8
30.75,74.1,63.8,81.8,73.3,9.0
31.0,72.7,63.8,81.6,72.7,8.9
31.25,71.6,63.6,79.1,71.4,7.7
31.5,72.0,62.6,79.6,71.4,8.5
31.75,70.5,61.9,77.9,70.1,8.0
32.0,69.1,62.2,77.1,69.5,7.5
32.25,67.9,61.6,75.8,68.4,7.1
32.5,68.4,61.1,73.6,67.7,6.3
32.75,65.3,59.4,71.9,65.6,6.3
33.0,65.4,60.2,71.7,65.8,5.7
33.25,64.9,59.8,70.9,65.2,5.6
33.5,63.7,59.3,69.6,64.2,5.2
33.75,62.9,58.3,68.1,63.1,4.9
34.0,62.7,56.9,67.4,62.3,5.3
34.25,61.7,56.6,66.3,61.5,4.9
34.5,60.7,55.5,65.7,60.6,5.1
34.75,59.9,55.7,64.7,60.1,4.5
35.0,59.4,54.1,63.7,59.0,4.8
35.25,59.0,53.3,63.4,58.6,5.1
35.5,58.2,52.9,62.8,58.0,5.0
35.75,56.6,52.5,60.7,56.6,4.1
36.0,56.7,51.3,60.3,56.1,4.5
36.25,55.5,50.6,60.2,55.4,4.8
36.5,55.5,50.1,59.5,55.0,4.7
36.75,55.5,50.6,59.1,55.1,4.3
37.0,55.0,49.7,59.8,54.8,5.0
37.25,54.0,49.0,57.6,53.5,4.4
37.5,53.0,48.1,57.7,53.0,4.8
37.75,53.9,47.6,57.2,52.9,4.9
38.0,52.3,47.6,57.1,52.3,4.7
38.25,52.4,47.3,56.5,52.1,4.6
38.5,52.1,46.9,55.3,51.4,4.3
38.75,51.0,46.8,55.2,51.0,4.2
39.0,51.0,45.4,53.9,50.1,4.3
39.25,49.9,44.8,53.9,49.5,4.6
39.5,49.3,45.1,54.2,49.5,4.6
39.75,49.1,45.0,53.9,49.4,4.5
40.0,49.1,44.0,52.2,48.5,4.2
40.25,48.6,42.9,52.8,48.1,5.0
40.5,49.0,43.6,51.6,48.1,4.1
40.75,48.4,42.3,51.2,47.3,4.5
41.0,47.9,42.6,50.7,47.1,4.2
41.25,47.2,41.6,50.6,46.5,4.6
41.5,46.9,41.7,49.9,46.1,4.1
41.75,46.7,41.0,49.5,45.7,4.3
42.0,45.9,40.7,49.7,45.4,4.5
42.25,45.3,40.7,48.9,44.9,4.1
42.5,46.4,40.0,49.2,45.2,4.7
42.75,46.3,40.3,48.2,44.9,4.1
43.0,45.3,39.5,47.8,44.2,4.3
43.25,44.8,40.2,47.6,44.2,3.7
43.5,45.1,39.0,47.3,43.8,4.3
43.75,44.2,39.1,46.7,43.3,3.9
44.0,45.1,38.8,47.0,43.6,4.3
44.25,44.6,38.1,47.1,43.3,4.6
44.5,44.5,38.1,46.5,43.0,4.4
44.75,44.1,38.2,46.6,42.9,4.3
45.0,43.4,38.5,46.0,42.6,3.8
45.25,43.7,37.7,45.5,42.3,4.1
45.5,43.2,37.6,45.5,42.1,4.1
45.75,43.2,36.8,45.2,41.7,4.4
46.0,43.1,36.9,45.4,41.8,4.4
46.25,42.7,37.1,45.2,41.7,4.2
46.5,42.6,36.3,44.9,41.2,4.5
46.75,41.9,36.5,44.5,41.0,4.0
47.0,41.9,36.3,44.5,40.9,4.2
47.25,41.3,35.5,44.1,40.3,4.4
47.5,41.2,35.5,44.7,40.4,4.7
47.75,41.6,34.2,44.8,40.2,5.4
48.0,40.7,34.3,44.2,39.7,5.0
48.25,40.8,34.1,43.8,39.5,5.0
48.5,41.3,33.5,44.3,39.7,5.6
48.75,40.9,33.3,43.6,39.2,5.3
49.0,41.0,33.1,44.1,39.4,5.6
49.25,40.3,32.7,43.6,38.9,5.6
49.5,39.9,32.1,42.6,38.2,5.5
49.75,40.3,32.1,42.5,38.3,5.5
50.0,40.0,31.7,42.1,37.9,5.5
50.25,39.8,31.5,42.0,37.8,5.6
50.5,39.8,31.0,41.5,37.4,5.6
50.75,40.0,31.2,41.9,37.7,5.7
51.0,39.0,30.3,41.8,37.0,6.0
51.25,39.3,30.3,41.4,37.0,5.9
51.5,39.3,30.1,41.3,36.9,6.0
51.75,39.2,30.0,41.4,36.9,6.0
52.0,39.0,29.4,41.2,36.5,6.2
52.25,39.2,30.4,40.7,36.7,5.6
52.5,38.7,29.7,40.3,36.2,5.7
52.75,39.3,30.3,40.5,36.7,5.6
53.0,38.4,29.8,40.6,36.2,5.7
53.25,38.6,29.8,40.4,36.2,5.6
53.5,38.8,29.3,41.3,36.4,6.3
53.75,38.7,29.6,40.6,36.3,5.9
54.0,38.4,29.0,40.2,35.8,6.0
54.25,38.2,28.6,40.0,35.6,6.1
54.5,38.0,28.3,39.9,35.4,6.2
54.75,38.0,28.2,39.8,35.3,6.2
55.0,37.8,27.4,39.7,35.0,6.6
55.25,37.9,27.3,39.6,35.0,6.6
55.5,37.4,26.9,39.8,34.7,6.9
55.75,37.5,27.2,40.0,34.9,6.8
56.0,37.2,26.8,39.2,34.4,6.7
56.25,37.5,26.5,39.1,34.4,6.9
56.5,37.4,25.7,38.6,33.9,7.1
56.75,36.9,25.6,39.0,33.9,7.2
57.0,36.9,25.3,38.7,33.6,7.3
57.25,37.2,25.6,38.6,33.8,7.1
57.5,36.7,25.0,38.9,33.5,7.5
57.75,36.7,24.7,39.2,33.5,7.8
58.0,36.2,24.7,38.1,33.0,7.3
58.25,36.0,24.1,38.2,32.8,7.6
58.5,36.4,24.1,37.9,32.8,7.6
58.75,36.0,23.5,38.1,32.5,7.9
59.0,35.5,23.6,38.2,32.4,7.8
59.25,36.1,23.2,37.8,32.4,8.0
59.5,35.9,23.2,38.6,32.5,8.2
59.75,35.5,23.5,38.1,32.4,7.8
60.0,36.0,23.1,38.4,32.5,8.2
60.25,35.3,22.3,38.4,32.0,8.5
60.5,35.3,22.9,38.2,32.1,8.1
60.75,35.2,22.3,38.3,31.9,8.5
61.0,34.7,22.2,38.5,31.8,8.5
61.25,35.0,22.1,37.8,31.6,8.4
61.5,34.4,21.7,38.3,31.5,8.7
61.75,34.4,21.4,37.9,31.2,8.7
62.0,34.2,21.0,37.5,30.9,8.7
62.25,34.3,21.2,37.2,30.9,8.5
62.5,34.4,21.0,37.3,30.9,8.7
62.75,33.7,20.6,36.7,30.3,8.6
63.0,33.8,20.7,36.2,30.2,8.3
63.25,33.8,20.4,36.4,30.2,8.6
63.5,33.2,20.0,36.3,29.9,8.7
63.75,33.6,19.7,36.4,29.9,8.9
64.0,33.2,19.5,36.2,29.6,8.9
64.25,33.7,19.4,35.9,29.7,8.9
64.5,33.5,19.2,35.3,29.3,8.9
64.75,32.6,19.5,35.5,29.2,8.5
65.0,32.5,19.0,35.5,29.0,8.8
65.25,32.8,18.7,35.8,29.1,9.1
65.5,32.8,18.8,34.8,28.8,8.7
65.75,32.7,18.8,34.7,28.7,8.6
66.0,32.6,18.4,34.2,28.4,8.7
66.25,32.7,18.6,34.2,28.5,8.6
66.5,32.5,18.7,34.5,28.5,8.6
66.75,32.1,18.6,34.1,28.3,8.4
67.0,33.0,18.4,34.4,28.6,8.8
67.25,32.5,18.9,34.0,28.5,8.3
67.5,32.4,18.5,34.1,28.3,8.5
67.75,32.2,18.3,34.4,28.3,8.7
68.0,31.9,18.3,33.7,28.0,8.4
68.25,32.5,18.4,33.4,28.1,8.4
68.5,32.4,18.2,34.1,28.2,8.7
68.75,32.4,18.1,34.0,28.2,8.8
69.0,32.3,18.0,33.6,28.0,8.7
69.25,32.5,18.0,33.1,27.9,8.6
69.5,32.4,17.9,33.6,28.0,8.7
69.75,32.5,17.7,33.2,27.8,8.8
70.0,32.7,17.6,32.9,27.7,8.8
70.25,32.7,17.6,33.0,27.8,8.8
70.5,33.0,17.5,32.7,27.7,8.9
70.75,32.6,17.2,32.4,27.4,8.9
71.0,33.3,17.2,32.5,27.6,9.1
71.25,33.1,17.1,32.4,27.5,9.0
71.5,32.6,17.1,32.1,27.3,8.8
71.75,32.5,17.0,32.0,27.1,8.8
72.0,32.7,16.6,32.1,27.1,9.1
72.25,32.8,16.5,32.2,27.2,9.3
72.5,33.2,16.7,32.0,27.3,9.2
72.75,32.5,16.3,32.3,27.0,9.3
73.0,32.6,16.0,32.7,27.1,9.6
73.25,32.0,16.2,32.5,26.9,9.3
73.5,32.5,16.0,31.9,26.8,9.4
73.75,32.6,15.9,31.4,26.7,9.3
74.0,32.0,15.7,31.4,26.4,9.2
74.25,31.9,15.6,31.3,26.3,9.3
74.5,31.8,15.8,30.7,26.1,8.9
74.75,32.2,15.6,30.8,26.2,9.2
75.0,32.1,15.6,30.6,26.1,9.2
75.25,31.8,15.5,30.5,25.9,9.0
75.5,31.9,15.6,30.7,26.1,9.1
75.75,31.5,15.6,30.5,25.9,8.9
76.0,31.4,15.5,29.6,25.5,8.7
76.25,31.1,15.3,29.7,25.4,8.8
76.5,31.4,15.6,29.9,25.6,8.7
76.75,31.3,15.3,29.2,25.3,8.7
77.0,31.0,15.4,29.4,25.3,8.6
77.25,30.8,15.5,28.3,24.9,8.2
77.5,31.2,15.2,28.7,25.0,8.6
77.75,30.9,15.2,27.6,24.6,8.3
78.0,30.8,15.3,27.7,24.6,8.2
78.25,30.7,15.3,27.8,24.6,8.2
78.5,30.3,15.3,27.4,24.3,8.0
78.75,30.4,15.1,27.3,24.3,8.1
79.0,29.6,15.3,27.0,24.0,7.6
79.25,30.0,15.2,27.4,24.2,7.9
79.5,29.8,15.2,27.2,24.1,7.8
79.75,29.8,15.1,26.6,23.8,7.7
80.0,29.4,14.9,26.9,23.7,7.8
80.25,29.0,15.2,26.8,23.7,7.4
80.5,29.2,15.4,26.2,23.6,7.3
80.75,28.6,15.4,26.2,23.4,7.0
81.0,28.7,15.6,26.1,23.5,6.9
81.25,28.3,15.6,25.5,23.1,6.7
81.5,28.4,15.8,25.1,23.1,6.6
81.75,27.9,15.8,25.3,23.0,6.4
82.0,27.9,15.6,24.5,22.7,6.3
82.25,27.4,16.3,24.8,22.8,5.8
82.5,27.1,15.9,24.4,22.5,5.9
82.75,26.9,16.1,24.2,22.4,5.6
83.0,26.6,16.2,23.8,22.2,5.4
83.25,26.7,15.9,24.3,22.3,5.7
83.5,26.4,16.2,23.5,22.0,5.3
83.75,26.1,16.0,23.4,21.8,5.2
84.0,25.7,16.2,23.1,21.7,4.9
84.25,25.4,16.0,23.1,21.5,4.9
84.5,25.2,16.3,22.6,21.3,4.6
84.75,25.0,16.2,22.7,21.3,4.5
85.0,24.7,16.3,22.5,21.2,4.3
85.25,25.0,16.1,22.2,21.1,4.5
85.5,24.5,16.3,22.4,21.0,4.3
85.75,23.9,16.3,22.0,20.8,3.9
86.0,23.8,16.3,21.8,20.6,3.9
86.25,23.8,16.4,21.8,20.7,3.8
86.5,23.5,16.7,22.1,20.8,3.6
86.75,23.8,16.6,21.7,20.7,3.7
87.0,23.6,16.6,22.1,20.8,3.7
87.25,23.0,16.9,21.8,20.6,3.3
87.5,22.8,17.1,21.4,20.4,3.0
87.75,22.9,17.0,21.6,20.5,3.1
88.0,22.8,17.1,21.3,20.4,2.9
88.25,22.1,17.3,21.4,20.3,2.6
88.5,22.1,17.4,21.3,20.3,2.5
88.75,21.7,17.8,21.1,20.2,2.1
89.0,21.6,17.9,21.0,20.2,2.0
89.25,21.5,18.0,21.1,20.2,1.9
89.5,21.2,17.6,20.6,19.8,1.9
89.75,20.8,17.9,20.7,19.8,1.7
90.0,21.1,17.8,20.9,19.9,1.8
90.25,21.2,17.9,20.3,19.8,1.7
90.5,20.7,18.1,20.5,19.8,1.4
90.75,20.8,17.9,20.3,19.7,1.6
91.0,20.4,18.1,20.0,19.5,1.2
91.25,20.0,18.3,20.3,19.6,1.1
91.5,20.0,18.1,19.8,19.3,1.0
91.75,19.9,18.2,19.9,19.3,1.0
92.0,20.1,18.2,19.6,19.3,1.0
92.25,20.1,18.5,19.5,19.4,0.8
92.5,19.5,18.5,19.4,19.1,0.5
92.75,19.0,18.6,19.5,19.0,0.4
93.0,19.2,18.7,19.2,19.0,0.3
93.25,18.8,18.7,19.0,18.8,0.2
93.5,19.1,18.9,19.4,19.1,0.3
93.75,18.6,18.9,19.1,18.9,0.3
94.0,18.8,19.2,19.1,19.0,0.2
94.25,18.6,19.4,18.8,18.9,0.4
94.5,18.5,19.1,19.2,18.9,0.4
94.75,18.1,19.2,19.0,18.8,0.5
95.0,17.8,19.1,18.8,18.6,0.7
95.25,18.1,19.3,18.8,18.8,0.6
95.5,17.8,19.4,18.7,18.6,0.8
95.75,17.7,19.3,19.2,18.7,0.9
96.0,17.3,19.4,18.7,18.5,1.1
96.25,17.3,19.4,18.8,18.5,1.1
96.5,17.1,19.5,18.8,18.5,1.2
96.75,16.5,19.5,18.6,18.2,1.5
97.0,16.7,19.6,18.5,18.3,1.5
97.25,16.0,19.7,18.8,18.2,1.9
97.5,15.9,19.9,18.3,18.0,2.0
97.75,15.8,19.6,18.3,17.9,1.9
98.0,15.6,19.6,17.9,17.7,2.0
98.25,15.5,19.6,18.3,17.8,2.1
98.5,15.1,19.6,18.0,17.6,2.3
98.75,14.8,19.6,18.1,17.5,2.4
99.0,14.6,19.3,17.8,17.2,2.4
99.25,14.5,19.6,17.2,17.1,2.5
99.5,14.2,19.7,17.5,17.1,2.8
99.75,14.2,19.7,17.4,17.1,2.8
100.0,13.9,19.4,17.2,16.9,2.8
100.25,13.5,19.8,17.2,16.8,3.2
100.5,13.2,19.7,17.3,16.8,3.3
100.75,13.2,19.7,16.9,16.6,3.3
101.0,13.0,19.7,16.7,16.5,3.4
101.25,12.9,19.6,16.7,16.4,3.3
101.5,12.7,19.5,16.8,16.3,3.4
101.75,12.6,19.5,16.8,16.3,3.5
102.0,12.6,19.8,16.6,16.3,3.6
102.25,12.3,19.6,16.9,16.3,3.7
102.5,12.0,19.7,16.2,16.0,3.8
102.75,11.8,19.8,16.5,16.0,4.0
103.0,11.9,20.1,16.6,16.2,4.1
103.25,11.7,19.5,16.6,15.9,3.9
103.5,11.4,19.4,16.3,15.7,4.0
103.75,11.1,19.5,16.6,15.7,4.3
104.0,11.1,19.3,16.3,15.6,4.1
104.25,10.9,19.3,16.1,15.4,4.2
104.5,10.8,19.4,16.3,15.5,4.4
104.75,10.9,19.2,16.5,15.5,4.2
105.0,10.9,18.9,16.4,15.4,4.1
105.25,10.5,18.9,16.2,15.2,4.3
105.5,10.5,19.0,16.3,15.3,4.4
105.75,10.3,19.0,16.5,15.2,4.5
106.0,10.1,18.9,16.2,15.1,4.5
106.25,10.0,18.8,16.2,15.0,4.5
106.5,9.8,18.7,16.0,14.8,4.6
106.75,9.6,18.6,16.1,14.8,4.6
107.0,9.5,18.8,16.5,14.9,4.8
107.25,9.5,18.8,15.9,14.8,4.7
107.5,9.4,18.8,16.3,14.8,4.9
107.75,9.2,18.7,16.5,14.8,5.0
108.0,9.2,18.9,16.2,14.8,5.0
108.25,9.1,18.7,16.4,14.7,5.0
108.5,9.0,19.0,16.2,14.8,5.2
108.75,9.1,19.1,16.4,14.9,5.1
109.0,9.0,19.1,16.4,14.8,5.2
109.25,9.0,19.1,16.1,14.8,5.2
109.5,9.0,19.4,16.4,14.9,5.4
109.75,8.9,19.8,16.1,14.9,5.5
110.0,8.8,19.4,16.3,14.8,5.5
110.25,8.7,19.2,16.0,14.7,5.4
110.5,8.9,19.5,16.0,14.8,5.4
110.75,8.8,19.6,15.8,14.7,5.4
111.0,8.7,19.5,15.8,14.7,5.5
111.25,8.8,19.5,15.6,14.7,5.4
111.5,8.9,19.3,15.8,14.6,5.3
111.75,8.7,19.7,15.6,14.7,5.6
112.0,8.7,19.4,15.4,14.5,5.4
112.25,8.6,19.3,15.2,14.4,5.4
112.5,8.6,19.2,15.3,14.3,5.4
112.75,8.4,19.0,15.4,14.3,5.4
113.0,8.3,18.9,15.4,14.2,5.4
113.25,8.1,19.0,15.3,14.2,5.5
113.5,8.1,18.8,15.3,14.0,5.5
113.75,7.9,18.7,15.3,14.0,5.5
114.0,8.1,18.5,15.0,13.9,5.3
114.25,7.9,18.5,15.1,13.9,5.4
114.5,7.8,18.9,15.1,13.9,5.6
114.75,7.7,18.7,14.9,13.8,5.6
115.0,7.6,18.7,15.1,13.8,5.7
115.25,7.5,18.7,14.9,13.7,5.7
115.5,7.5,18.7,14.9,13.7,5.6
115.75,7.5,18.3,14.9,13.6,5.5
116.0,7.5,18.4,14.8,13.5,5.6
116.25,7.6,18.4,14.5,13.5,5.5
116.5,7.2,18.3,14.5,13.3,5.6
116.75,7.3,18.0,14.4,13.2,5.5
117.0,7.2,18.3,14.2,13.2,5.6
117.25,7.3,18.3,14.2,13.2,5.5
117.5,7.2,18.0,14.1,13.1,5.5
117.75,7.1,18.4,14.1,13.2,5.7
118.0,7.2,18.4,13.9,13.1,5.6
118.25,7.2,18.2,14.2,13.2,5.6
118.5,7.1,18.4,14.0,13.2,5.7
118.75,7.1,17.8,13.9,13.0,5.4
119.0,7.1,18.0,13.9,13.0,5.5
119.25,7.1,17.9,14.1,13.0,5.5
119.5,7.1,18.1,13.8,13.0,5.5
119.75,7.1,17.7,13.8,12.9,5.4
120.0,7.1,17.6,13.7,12.8,5.3
120.25,7.0,17.3,13.5,12.6,5.2
120.5,7.1,17.6,13.6,12.8,5.3
120.75,7.1,17.3,13.4,12.6,5.2
121.0,6.8,17.2,13.2,12.4,5.3
121.25,6.7,17.4,13.3,12.5,5.4
121.5,6.6,17.2,13.1,12.3,5.4
121.75,6.5,17.5,13.0,12.4,5.5
122.0,6.5,17.3,12.9,12.2,5.4
122.25,6.4,17.1,12.9,12.1,5.4
122.5,6.4,17.0,12.8,12.0,5.3
122.75,6.2,16.9,13.0,12.0,5.4
123.0,6.2,16.8,12.7,11.9,5.3
123.25,6.1,16.8,12.8,11.9,5.4
123.5,6.0,16.1,12.5,11.6,5.1
123.75,6.0,16.0,12.4,11.5,5.1
124.0,6.0,16.0,12.0,11.4,5.0
124.25,6.1,15.6,12.1,11.3,4.8
124.5,6.0,15.3,12.0,11.1,4.7
124.75,5.9,15.4,11.9,11.1,4.8
125.0,5.9,14.9,11.8,10.9,4.6
125.25,5.8,14.9,11.8,10.8,4.6
125.5,5.8,14.7,11.6,10.7,4.5
125.75,5.6,14.6,11.6,10.6,4.6
126.0,5.5,14.4,11.5,10.5,4.5
126.25,5.5,14.4,11.3,10.4,4.5
126.5,5.5,14.3,11.5,10.4,4.5
126.75,5.4,14.1,11.1,10.2,4.4
127.0,5.4,13.8,11.0,10.1,4.3
127.25,5.3,14.0,10.9,10.1,4.4
127.5,5.2,13.8,10.9,10.0,4.4
127.75,5.3,13.9,10.7,10.0,4.4
128.0,5.2,13.4,10.5,9.7,4.2
128.25,5.2,13.9,10.6,9.9,4.4
128.5,5.1,13.6,10.3,9.7,4.3
128.75,5.1,13.6,10.4,9.7,4.3
129.0,5.1,13.7,10.3,9.7,4.3
129.25,5.1,13.7,10.4,9.7,4.4
129.5,5.0,13.9,10.2,9.7,4.5
129.75,5.0,13.7,10.2,9.6,4.4
130.0,4.9,14.0,10.2,9.7,4.5
