Time after Ignition,Polyester_Bed_Skirt_R1,Polyester_Bed_Skirt_R2,Polyester_Bed_Skirt_R3,Mean,Std. Dev.
16.0,420.5,378.1,341.7,380.1,39.5
16.25,406.6,378.5,335.5,373.5,35.8
16.5,399.2,369.2,333.6,367.3,32.8
16.75,388.4,366.7,332.4,362.5,28.3
17.0,384.3,360.0,325.3,356.5,29.6
17.25,368.3,355.4,313.3,345.7,28.7
17.5,361.1,342.9,315.2,339.7,23.1
17.75,346.4,338.5,304.6,329.8,22.2
18.0,335.4,330.0,301.5,322.3,18.2
18.25,330.8,332.2,293.3,318.7,22.1
18.5,319.4,325.5,290.1,311.7,18.9
18.75,311.6,316.3,278.1,302.0,20.8
19.0,303.0,309.6,275.7,296.1,18.0
19.25,294.0,305.6,267.3,289.0,19.6
19.5,288.6,293.1,259.6,280.4,18.2
19.75,282.6,288.0,250.2,273.6,20.4
20.0,273.6,280.2,245.0,266.3,18.7
20.25,265.5,280.2,247.1,264.3,16.6
20.5,259.9,274.9,235.2,256.7,20.1
20.75,254.3,269.1,228.7,250.7,20.5
21.0,244.2,263.8,222.6,243.5,20.6
21.25,234.4,258.1,217.4,236.6,20.4
21.5,229.7,254.7,212.1,232.2,21.4
21.75,221.1,250.4,208.6,226.7,21.4
22.0,211.5,246.3,202.1,220.0,23.3
22.25,205.8,238.8,201.5,215.4,20.4
22.5,203.7,234.9,193.8,210.8,21.4
22.75,198.4,226.6,188.7,204.6,19.7
23.0,191.9,224.4,184.1,200.2,21.4
23.25,183.0,216.7,180.1,193.3,20.4
23.5,175.5,210.6,176.0,187.4,20.1
23.75,172.8,208.6,170.9,184.1,21.2
24.0,168.9,202.6,163.8,178.5,21.1
24.25,164.6,196.4,160.2,173.8,19.7
24.5,154.4,190.0,156.3,166.9,20.0
24.75,157.0,185.8,151.3,164.7,18.5
25.0,148.8,181.3,149.8,160.0,18.5
25.25,144.1,174.3,142.0,153.5,18.1
25.5,143.6,165.0,139.6,149.4,13.7
25.75,139.9,161.0,136.1,145.7,13.4
26.0,136.4,156.4,134.8,142.6,12.0
26.25,133.3,152.1,132.2,139.2,11.2
26.5,130.9,146.0,125.8,134.3,10.5
26.75,127.7,143.7,121.5,131.0,11.4
27.0,123.7,140.0,118.9,127.5,11.1
27.25,123.4,135.9,117.9,125.8,9.2
27.5,122.0,131.9,113.1,122.4,9.4
27.75,118.6,129.6,110.7,119.6,9.5
28.0,115.4,125.3,111.9,117.5,6.9
28.25,113.7,120.2,107.7,113.9,6.3
28.5,110.7,117.9,105.1,111.2,6.4
28.75,109.3,115.5,102.7,109.1,6.4
29.0,107.5,116.5,101.7,108.6,7.5
29.25,106.0,113.1,99.6,106.2,6.7
29.5,103.1,110.3,97.8,103.7,6.3
29.75,99.3,105.8,95.0,100.0,5.4
30.0,97.9,103.7,93.8,98.5,4.9
30.25,95.9,100.1,92.9,96.3,3.6
30.5,93.5,97.5,90.1,93.7,3.7
30.75,91.5,96.3,88.3,92.1,4.0
31.0,88.0,91.2,87.4,88.9,2.1
31.25,86.9,90.9,86.0,87.9,2.6
31.5,84.4,87.8,84.4,85.5,1.9
31.75,82.6,84.6,81.9,83.0,1.4
32.0,81.4,83.3,81.4,82.0,1.1
32.25,80.0,80.9,78.6,79.8,1.2
32.5,77.2,80.3,76.5,78.0,2.0
32.75,75.4,78.3,73.8,75.8,2.3
33.0,74.4,74.1,73.1,73.9,0.6
33.25,74.0,73.5,71.4,73.0,1.4
33.5,72.6,71.0,70.3,71.3,1.2
33.75,71.9,71.4,68.5,70.6,1.8
34.0,71.4,69.4,67.4,69.4,2.0
34.25,69.4,67.5,65.9,67.6,1.7
34.5,68.4,66.7,65.1,66.8,1.6
34.75,67.9,65.6,63.4,65.6,2.3
35.0,66.2,64.3,63.3,64.6,1.5
35.25,64.5,63.6,62.2,63.4,1.2
35.5,63.5,61.3,60.9,61.9,1.4
35.75,62.7,60.0,60.1,60.9,1.5
36.0,62.4,59.1,58.8,60.1,2.0
36.25,61.0,58.4,57.9,59.1,1.7
36.5,60.3,56.9,57.9,58.3,1.7
36.75,59.6,54.9,56.5,57.0,2.4
37.0,58.5,53.4,55.8,55.9,2.6
37.25,56.7,52.5,54.8,54.7,2.1
37.5,57.1,52.0,53.6,54.2,2.6
37.75,55.2,50.2,52.5,52.7,2.5
38.0,54.7,49.2,51.7,51.9,2.8
38.25,53.8,48.0,50.8,50.9,2.9
38.5,52.8,47.0,50.4,50.0,2.9
38.75,51.5,46.5,49.5,49.2,2.5
39.0,50.2,45.0,48.8,48.0,2.7
39.25,49.4,43.9,47.5,46.9,2.8
39.5,49.3,43.5,47.4,46.7,2.9
39.75,48.4,42.7,46.5,45.9,2.9
40.0,48.0,40.8,44.9,44.6,3.6
40.25,46.9,41.1,44.8,44.3,2.9
40.5,46.0,40.1,43.8,43.3,3.0
40.75,45.6,38.7,43.4,42.6,3.5
41.0,44.7,38.6,42.5,41.9,3.1
41.25,44.3,37.5,41.7,41.1,3.4
41.5,43.5,36.7,41.2,40.5,3.5
41.75,42.3,36.0,40.8,39.7,3.3
42.0,42.5,35.1,40.2,39.3,3.8
42.25,41.9,34.7,39.9,38.8,3.7
42.5,40.8,34.2,39.6,38.2,3.5
42.75,41.4,33.4,38.9,37.9,4.1
43.0,40.4,32.9,38.5,37.3,3.9
43.25,39.8,32.7,38.7,37.1,3.8
43.5,39.8,31.3,38.3,36.5,4.5
43.75,38.9,30.9,37.9,35.9,4.4
44.0,38.7,31.2,37.1,35.6,3.9
44.25,38.7,30.3,36.6,35.2,4.3
44.5,38.2,29.7,36.4,34.8,4.5
44.75,37.9,29.1,36.2,34.4,4.7
45.0,37.4,28.6,35.7,33.9,4.7
45.25,37.6,28.0,35.1,33.6,5.0
45.5,37.5,27.4,34.7,33.2,5.2
45.75,37.2,26.7,34.8,32.9,5.5
46.0,36.7,26.5,33.9,32.4,5.3
46.25,36.5,26.3,33.7,32.1,5.3
46.5,36.4,26.0,33.3,31.9,5.3
46.75,35.9,25.1,32.9,31.3,5.6
47.0,35.7,24.9,32.7,31.1,5.6
47.25,35.5,24.6,31.8,30.6,5.6
47.5,35.3,24.2,31.9,30.5,5.7
47.75,35.0,23.8,31.5,30.1,5.7
48.0,34.3,23.8,31.5,29.8,5.4
48.25,34.8,23.6,31.5,30.0,5.8
48.5,34.5,23.0,31.1,29.5,5.9
48.75,34.1,22.8,30.7,29.2,5.8
49.0,33.2,22.4,30.8,28.8,5.7
49.25,33.1,21.6,30.0,28.3,6.0
49.5,32.4,21.6,29.8,27.9,5.6
49.75,32.8,21.5,29.7,28.0,5.8
50.0,32.2,21.5,29.3,27.7,5.5
50.25,31.6,21.5,29.4,27.5,5.3
50.5,31.6,21.2,28.9,27.2,5.4
50.75,31.6,20.7,29.2,27.2,5.7
51.0,30.7,20.6,28.2,26.5,5.3
51.25,30.8,20.8,28.4,26.7,5.2
51.5,30.4,20.2,27.8,26.2,5.3
51.75,30.1,20.2,27.6,26.0,5.2
52.0,30.1,19.9,27.5,25.8,5.3
52.25,29.8,20.1,27.6,25.8,5.1
52.5,29.1,19.9,27.6,25.5,4.9
52.75,29.1,19.5,27.0,25.2,5.0
53.0,29.2,18.9,27.0,25.0,5.4
53.25,28.6,18.7,26.7,24.7,5.2
53.5,28.2,18.5,26.3,24.3,5.1
53.75,28.7,18.0,26.3,24.3,5.6
54.0,28.0,17.9,26.1,24.0,5.3
54.25,27.8,17.8,25.6,23.7,5.2
54.5,27.6,17.8,25.3,23.6,5.1
54.75,27.8,17.2,25.2,23.4,5.5
55.0,27.1,16.6,25.2,23.0,5.6
55.25,27.0,16.9,24.8,22.9,5.3
55.5,26.8,16.5,24.8,22.7,5.5
55.75,26.5,16.3,25.0,22.6,5.5
56.0,27.3,16.2,24.4,22.6,5.8
56.25,27.1,16.0,24.2,22.5,5.8
56.5,26.7,15.8,23.7,22.1,5.6
56.75,26.1,15.5,23.6,21.7,5.5
57.0,26.1,15.5,23.2,21.6,5.5
57.25,25.6,15.6,22.7,21.3,5.2
57.5,25.7,15.4,22.5,21.2,5.3
57.75,25.4,15.3,22.3,21.0,5.2
58.0,25.3,15.4,22.1,20.9,5.1
58.25,25.5,15.2,21.7,20.8,5.2
58.5,25.1,15.2,21.4,20.6,5.0
58.75,24.9,14.9,21.3,20.4,5.1
59.0,24.9,15.1,21.2,20.4,5.0
59.25,24.7,15.0,20.8,20.2,4.8
59.5,24.4,14.6,20.8,20.0,5.0
59.75,24.2,14.6,20.5,19.8,4.8
60.0,23.8,14.5,20.1,19.5,4.7
60.25,23.7,14.6,20.0,19.4,4.6
60.5,23.7,14.4,19.6,19.3,4.7
60.75,23.1,14.4,19.7,19.1,4.4
61.0,22.9,14.2,19.3,18.8,4.4
61.25,22.9,14.2,18.9,18.7,4.3
61.5,22.8,14.1,18.7,18.5,4.3
61.75,22.9,14.1,18.4,18.5,4.4
62.0,22.9,14.2,18.5,18.5,4.3
62.25,22.3,14.0,18.2,18.1,4.1
62.5,22.2,13.9,18.4,18.2,4.1
62.75,21.8,13.9,18.2,18.0,4.0
63.0,21.7,14.0,18.5,18.1,3.8
63.25,21.4,14.0,18.1,17.8,3.7
63.5,21.2,14.1,17.8,17.7,3.6
63.75,20.9,13.9,17.6,17.5,3.5
64.0,20.9,13.8,17.3,17.3,3.5
64.25,20.9,13.8,17.3,17.3,3.6
64.5,20.4,13.8,17.0,17.1,3.3
64.75,20.2,13.9,17.0,17.0,3.1
65.0,20.1,13.8,17.1,17.0,3.2
65.25,19.7,13.9,16.7,16.7,2.9
65.5,19.4,14.0,16.6,16.6,2.7
65.75,19.2,13.9,16.2,16.5,2.7
66.0,19.1,13.8,16.3,16.4,2.6
66.25,18.9,13.6,15.7,16.1,2.7
66.5,19.0,13.8,16.0,16.3,2.6
66.75,18.6,13.7,15.7,16.0,2.5
67.0,18.5,13.9,15.6,16.0,2.3
67.25,18.6,13.9,15.7,16.1,2.4
67.5,18.2,13.7,15.5,15.8,2.3
67.75,17.8,13.8,15.5,15.7,2.0
68.0,18.1,13.7,15.1,15.6,2.2
68.25,17.5,13.8,15.2,15.5,1.9
68.5,17.6,13.6,14.9,15.4,2.0
68.75,17.4,13.8,15.2,15.5,1.8
69.0,17.5,13.8,14.8,15.4,1.9
69.25,17.3,13.9,14.8,15.3,1.7
69.5,17.1,13.8,14.6,15.1,1.7
69.75,17.0,13.8,14.6,15.1,1.7
70.0,16.9,13.8,14.3,15.0,1.6
70.25,17.1,,14.1,15.6,2.1
70.5,17.0,,14.0,15.5,2.1
70.75,17.0,,13.8,15.4,2.3
71.0,16.8,,13.8,15.3,2.1
