Names,HIPS_R1,HIPS_R2,HIPS_R3,Mean,Std. Dev.
683,617.5,624.2,529.1,590.3,53.1
684,608.8,659.7,510.5,593.0,75.8
685,618.2,643.5,536.8,599.5,55.8
686,600.0,658.6,519.3,592.7,69.9
687,624.4,664.2,544.9,611.2,60.7
688,632.9,676.3,530.7,613.3,74.7
689,621.9,625.3,535.2,594.1,51.1
690,622.6,692.8,538.1,617.8,77.5
691,635.9,658.3,527.9,607.4,69.8
692,619.8,679.2,555.5,618.2,61.9
693,640.0,653.6,532.4,608.6,66.4
694,625.8,663.0,540.8,609.9,62.6
695,644.4,664.7,547.2,618.8,62.8
696,653.6,681.0,554.7,629.8,66.5
697,620.1,682.1,548.3,616.8,67.0
698,637.8,665.1,540.4,614.4,65.6
699,655.3,671.4,556.9,627.9,62.0
700,620.1,674.0,575.7,623.3,49.2
701,656.6,664.7,546.7,622.7,65.9
702,631.1,703.3,528.5,621.0,87.9
703,644.2,688.2,543.7,625.4,74.0
704,676.4,707.5,563.6,649.2,75.7
705,647.4,684.4,572.4,634.7,57.1
706,662.8,701.1,568.9,644.3,68.0
707,650.6,666.9,561.2,626.2,56.9
708,649.0,706.6,550.5,635.4,79.0
709,652.2,709.4,563.1,641.6,73.7
710,673.7,707.9,561.1,647.6,76.8
711,657.1,688.7,551.3,632.4,71.9
712,654.6,703.6,569.6,642.6,67.8
713,666.3,701.0,561.6,643.0,72.6
714,674.2,698.7,574.8,649.2,65.6
715,658.2,720.3,570.6,649.7,75.2
716,673.7,706.1,609.8,663.2,49.0
717,653.6,710.9,580.9,648.5,65.1
718,666.8,713.3,595.8,658.6,59.2
719,684.4,725.2,581.5,663.7,74.1
720,674.2,701.1,575.6,650.3,66.1
721,700.9,735.3,606.8,681.0,66.5
722,676.5,684.1,605.4,655.3,43.4
723,674.5,719.7,579.4,657.9,71.6
724,642.1,732.4,604.9,659.8,65.6
725,677.1,712.4,609.2,666.2,52.5
726,699.3,756.3,595.3,683.7,81.7
727,687.0,734.0,602.2,674.4,66.8
728,679.7,783.3,611.7,691.5,86.4
729,673.6,731.8,633.1,679.5,49.7
730,694.4,750.8,634.0,693.1,58.4
731,701.3,737.2,587.5,675.3,78.1
732,688.8,743.7,617.7,683.4,63.1
733,671.7,737.5,619.3,676.2,59.2
734,696.4,756.5,607.8,686.9,74.8
735,712.0,741.5,633.4,695.6,55.9
736,670.1,804.2,631.1,701.8,90.8
737,673.7,740.8,626.6,680.3,57.4
738,690.9,813.2,617.2,707.1,99.0
739,714.0,774.2,615.5,701.2,80.1
740,710.6,773.9,631.2,705.3,71.5
741,694.2,780.3,612.3,695.6,84.0
742,708.3,771.3,624.4,701.3,73.7
743,707.6,791.4,643.1,714.0,74.4
744,704.8,791.1,659.9,718.6,66.7
745,719.9,793.5,664.0,725.8,65.0
746,717.6,794.6,625.1,712.4,84.9
747,722.1,795.7,637.7,718.5,79.1
748,734.3,793.9,622.6,716.9,87.0
749,713.7,783.6,642.8,713.4,70.4
750,725.3,801.9,621.1,716.1,90.7
751,715.1,783.2,635.4,711.2,74.0
752,725.5,817.6,632.5,725.2,92.6
753,705.8,767.3,680.2,717.7,44.8
754,715.8,835.4,639.6,730.3,98.7
755,717.2,846.5,658.8,740.8,96.0
756,732.8,812.9,679.6,741.8,67.1
757,729.7,817.6,669.8,739.0,74.3
758,719.5,831.1,677.5,742.7,79.4
759,733.1,805.7,675.1,738.0,65.4
760,759.8,804.9,662.7,742.5,72.7
761,734.1,867.6,686.5,762.7,93.9
762,766.8,838.3,688.8,764.6,74.8
763,771.1,859.6,700.1,776.9,79.9
764,718.1,867.8,691.3,759.1,95.1
765,714.6,834.1,721.5,756.7,67.1
766,797.8,822.0,684.9,768.2,73.2
767,757.4,849.3,702.7,769.8,74.0
768,751.1,815.1,687.2,751.1,64.0
769,751.9,875.3,675.1,767.4,101.0
770,742.8,827.3,701.1,757.1,64.3
771,776.8,898.4,712.8,796.0,94.2
772,746.5,873.2,683.8,767.8,96.5
773,752.4,821.4,707.9,760.6,57.2
774,734.9,840.1,707.5,760.8,70.0
775,775.4,875.0,721.9,790.8,77.7
776,789.6,833.9,730.2,784.6,52.0
777,762.2,892.1,740.4,798.3,82.0
778,775.4,831.4,745.3,784.0,43.7
779,751.5,875.0,703.3,776.6,88.6
780,787.5,878.9,723.4,796.6,78.1
781,764.5,872.6,722.0,786.3,77.7
782,757.4,860.2,722.6,780.1,71.5
783,766.0,905.4,710.5,794.0,100.4
784,776.6,906.0,750.3,811.0,83.4
785,782.8,876.3,730.8,796.6,73.8
786,789.3,871.0,749.8,803.3,61.8
787,766.6,878.1,728.6,791.1,77.7
788,724.8,896.1,729.3,783.4,97.6
789,766.5,880.8,749.1,798.8,71.5
790,800.0,883.3,728.0,803.8,77.7
791,775.4,901.5,747.3,808.1,82.1
792,801.0,876.0,760.3,812.4,58.7
793,793.4,844.7,769.8,802.6,38.3
794,780.1,887.0,779.1,815.4,62.0
795,744.8,918.4,769.5,810.9,93.9
796,804.6,895.7,751.9,817.4,72.7
797,782.1,914.8,757.0,818.0,84.8
798,767.7,879.2,778.3,808.4,61.5
799,796.2,910.1,754.8,820.4,80.4
800,776.6,859.4,760.9,798.9,52.9
801,825.4,900.1,768.0,831.1,66.3
802,778.2,934.1,763.3,825.2,94.6
803,797.1,909.7,765.1,824.0,76.0
804,789.2,915.4,801.2,835.3,69.6
805,817.4,904.3,771.9,831.2,67.3
806,806.4,908.0,805.6,840.0,58.9
807,800.2,908.6,757.6,822.1,77.9
808,808.0,919.3,779.2,835.5,74.0
809,786.2,922.8,763.1,824.0,86.3
810,790.5,881.2,751.7,807.8,66.5
811,825.1,890.7,803.4,839.7,45.4
812,825.6,934.0,804.2,854.6,69.6
813,840.3,898.9,798.3,845.8,50.6
814,832.2,917.5,786.3,845.3,66.6
815,830.6,957.8,820.8,869.7,76.4
816,794.0,948.7,777.3,840.0,94.5
817,870.3,914.0,770.2,851.5,73.7
818,817.5,914.3,803.9,845.2,60.2
819,807.7,907.4,794.2,836.5,61.8
820,835.6,913.3,803.7,850.9,56.4
821,818.5,926.3,776.6,840.5,77.2
822,847.2,964.8,797.6,869.9,85.9
823,835.4,931.8,759.8,842.3,86.2
824,835.1,946.6,825.9,869.2,67.2
825,843.8,919.6,796.3,853.2,62.2
826,823.1,934.3,791.6,849.7,75.0
827,815.8,940.0,785.8,847.2,81.8
828,843.2,934.5,812.0,863.2,63.7
829,821.0,927.6,817.2,855.3,62.7
830,868.6,916.6,838.1,874.4,39.6
831,851.9,930.1,773.8,852.0,78.2
832,883.4,943.0,788.5,871.6,77.9
833,863.9,931.0,787.5,860.8,71.8
834,839.8,918.3,805.6,854.6,57.8
835,856.7,939.8,828.5,875.0,57.9
836,842.0,934.5,833.9,870.1,55.9
837,821.5,951.6,806.0,859.7,80.0
838,810.8,945.6,792.9,849.8,83.5
839,904.3,979.0,802.3,895.2,88.7
840,867.8,962.2,811.7,880.5,76.1
841,872.0,1038.8,852.1,921.0,102.5
842,808.1,1005.6,823.1,878.9,109.9
843,892.0,929.0,841.3,887.4,44.1
844,836.4,961.7,851.1,883.1,68.5
845,865.6,970.4,856.0,897.3,63.5
846,843.9,958.3,840.8,881.0,66.9
847,897.1,937.8,858.6,897.9,39.6
848,876.3,973.0,804.7,884.7,84.5
849,844.0,982.4,830.0,885.5,84.2
850,826.4,987.7,815.3,876.5,96.5
851,842.5,952.6,812.8,869.3,73.7
852,884.7,961.8,834.5,893.7,64.1
853,835.9,952.4,836.5,874.9,67.1
854,882.1,986.6,829.5,899.4,80.0
855,900.5,992.0,873.6,922.0,62.1
856,833.1,996.6,864.8,898.2,86.7
857,839.2,967.7,831.1,879.3,76.7
858,875.6,968.5,847.0,897.1,63.5
859,853.0,959.8,869.6,894.1,57.5
860,845.6,983.7,890.5,906.6,70.4
861,858.3,995.5,821.1,891.6,91.9
862,838.0,968.4,851.4,885.9,71.7
863,866.0,968.2,846.7,893.6,65.3
864,878.3,940.3,854.7,891.1,44.2
865,836.5,952.3,821.0,869.9,71.7
866,865.8,980.7,872.9,906.5,64.4
867,902.1,970.5,880.8,917.8,46.8
868,872.0,965.4,880.9,906.1,51.5
869,860.0,953.9,878.3,897.4,49.8
870,838.4,960.1,863.4,887.3,64.3
871,849.6,979.4,871.7,900.2,69.4
872,859.0,927.9,864.0,883.7,38.4
873,891.9,1058.8,901.3,950.7,93.8
874,862.9,992.4,818.5,891.3,90.4
875,881.2,985.9,903.1,923.4,55.2
876,872.3,959.9,861.3,897.8,54.0
877,919.6,986.1,862.2,922.6,62.0
878,845.2,1008.8,826.8,893.6,100.2
879,874.2,927.9,899.2,900.4,26.8
880,898.2,990.0,898.5,928.9,52.9
881,866.6,993.3,840.1,900.0,81.8
882,896.9,953.8,878.8,909.8,39.2
883,855.8,964.9,858.0,892.9,62.4
884,865.5,1004.9,897.1,922.5,73.1
885,872.2,958.6,888.6,906.5,45.9
886,894.1,1021.6,877.1,930.9,79.0
887,859.1,1020.0,847.8,909.0,96.3
888,893.5,992.0,884.5,923.3,59.6
889,900.0,1005.1,842.0,915.7,82.7
890,889.7,968.6,911.3,923.2,40.8
891,853.4,983.0,883.5,906.7,67.8
892,884.7,935.2,865.3,895.1,36.1
893,869.0,973.9,893.8,912.3,54.8
894,908.5,1040.7,879.8,943.0,85.8
895,883.1,990.2,902.6,925.3,57.0
896,870.0,988.4,890.3,916.2,63.3
897,907.9,982.2,870.2,920.1,57.0
898,901.8,985.2,875.2,920.7,57.4
899,896.6,945.8,858.0,900.1,44.0
900,874.5,997.8,934.2,935.5,61.7
901,888.4,1018.7,864.5,923.9,83.0
902,897.5,1030.8,848.4,925.6,94.3
903,885.1,960.6,894.6,913.4,41.1
904,877.3,962.8,898.6,912.9,44.5
905,847.5,997.2,904.7,916.5,75.6
906,872.9,984.2,882.2,913.1,61.7
907,887.7,1019.7,827.0,911.5,98.5
908,906.2,968.3,910.8,928.4,34.6
909,851.5,956.0,933.8,913.8,55.0
910,867.9,992.9,909.4,923.4,63.7
911,925.2,1000.7,909.0,945.0,48.9
912,845.6,1006.9,908.9,920.5,81.2
913,888.1,991.4,905.0,928.1,55.4
914,896.1,973.8,910.0,926.7,41.4
915,875.0,1036.3,904.9,938.7,85.8
916,919.6,1025.0,877.4,940.7,76.1
917,904.6,1000.2,877.2,927.3,64.6
918,885.6,1048.8,908.7,947.7,88.3
919,899.2,1010.4,917.7,942.4,59.6
920,856.6,1024.0,897.7,926.1,87.2
921,930.3,1013.6,900.0,948.0,58.9
922,872.5,985.7,955.5,937.9,58.6
923,928.8,1007.8,897.7,944.8,56.8
924,873.8,976.9,933.9,928.2,51.8
925,904.5,974.7,856.5,911.9,59.5
926,889.7,997.4,872.8,920.0,67.6
927,902.9,991.4,916.2,936.8,47.7
928,907.4,972.7,930.8,936.9,33.1
929,869.7,1057.6,901.6,943.0,100.5
930,876.1,978.8,856.8,903.9,65.5
931,854.3,1010.5,879.1,914.7,83.9
932,915.2,1023.7,916.6,951.8,62.3
933,890.7,992.1,941.9,941.6,50.7
934,901.0,956.4,923.6,927.0,27.8
935,895.7,993.5,916.1,935.1,51.6
936,890.3,1038.1,906.8,945.1,81.0
937,882.0,1021.8,891.8,931.9,78.1
938,975.7,1025.5,921.8,974.3,51.9
939,917.8,1018.1,868.6,934.9,76.2
940,925.2,1032.1,924.8,960.7,61.8
941,919.9,1041.1,849.4,936.8,97.0
942,907.5,1005.4,894.5,935.8,60.6
943,864.3,1026.5,937.8,942.8,81.2
944,888.8,984.9,914.4,929.4,49.8
945,930.6,1042.2,875.0,949.3,85.2
946,874.2,1008.4,863.6,915.4,80.7
947,876.4,970.8,948.2,931.8,49.3
948,926.3,1015.4,902.4,948.0,59.6
949,924.6,1024.1,899.1,949.3,66.0
950,916.9,1009.3,923.5,949.9,51.6
951,887.1,984.6,971.2,947.6,52.9
952,873.5,970.8,945.2,929.8,50.5
953,893.5,1066.1,914.8,958.2,94.1
954,883.5,1003.9,944.0,943.8,60.2
955,902.9,1000.3,920.4,941.2,51.9
956,900.4,958.0,943.9,934.1,30.0
957,911.9,1038.1,900.9,950.3,76.3
958,906.2,1007.8,913.3,942.4,56.7
959,929.6,1002.1,894.4,942.0,54.9
960,912.1,1035.1,924.6,957.3,67.7
961,885.3,994.5,854.3,911.4,73.6
962,906.9,978.0,925.7,936.9,36.8
963,887.5,1017.0,900.4,935.0,71.3
964,928.8,982.2,917.7,942.9,34.5
965,893.7,1019.1,936.4,949.7,63.7
966,879.6,986.6,925.9,930.7,53.6
967,862.0,966.8,905.2,911.3,52.7
968,916.0,1005.7,911.9,944.5,53.0
969,913.5,996.8,919.5,943.3,46.5
970,877.9,993.1,928.5,933.1,57.8
971,867.6,1005.5,935.0,936.0,68.9
972,910.4,976.1,938.9,941.8,32.9
973,919.3,991.1,941.3,950.6,36.8
974,894.9,987.5,948.5,943.6,46.5
975,889.2,986.7,872.7,916.2,61.6
976,913.9,967.5,878.9,920.1,44.6
977,887.4,949.8,901.7,913.0,32.7
978,909.1,979.7,933.9,940.9,35.8
979,919.2,1009.1,922.7,950.3,50.9
980,894.6,1012.1,893.4,933.4,68.2
981,887.9,989.3,937.5,938.2,50.7
982,880.8,992.0,888.3,920.4,62.2
983,875.6,972.2,936.6,928.1,48.9
984,916.5,927.7,927.8,924.0,6.4
985,866.0,985.8,938.5,930.1,60.3
986,902.2,1013.5,871.8,929.2,74.6
987,917.2,915.8,909.1,914.0,4.3
988,883.8,1007.9,887.3,926.3,70.7
989,878.4,1008.9,884.1,923.8,73.8
990,903.5,963.6,934.3,933.8,30.0
991,911.6,1004.8,962.1,959.5,46.6
992,890.3,919.3,939.2,916.2,24.6
993,891.5,969.6,881.3,914.2,48.3
994,898.0,984.5,937.6,940.0,43.3
995,881.8,950.1,932.5,921.5,35.5
996,871.8,974.6,873.1,906.5,59.0
997,859.8,961.2,923.3,914.7,51.2
998,879.3,996.5,930.3,935.4,58.7
999,867.0,929.1,903.2,899.8,31.2
1000,910.6,979.4,906.5,932.1,40.9
1001,913.2,922.3,949.7,928.4,19.0
1002,899.2,978.3,935.6,937.7,39.6
1003,900.8,962.2,969.6,944.2,37.8
1004,881.1,979.4,923.1,927.9,49.3
1005,859.6,950.2,906.9,905.6,45.3
1006,914.4,995.4,923.2,944.3,44.4
1007,928.8,951.3,940.6,940.2,11.3
1008,875.1,989.2,922.3,928.9,57.3
1009,861.4,933.7,933.6,909.6,41.7
1010,863.7,923.0,937.4,908.0,39.1
1011,898.7,944.5,919.3,920.9,22.9
1012,920.8,923.8,936.3,927.0,8.2
1013,856.5,959.0,988.3,934.6,69.2
1014,886.3,972.2,926.9,928.5,43.0
1015,852.6,984.1,900.0,912.2,66.6
1016,861.5,990.5,939.7,930.5,65.0
1017,882.9,959.9,926.1,923.0,38.6
1018,896.0,932.8,927.2,918.7,19.8
1019,836.8,950.3,954.3,913.8,66.7
1020,881.3,941.8,967.7,930.3,44.4
1021,900.2,889.2,955.4,914.9,35.5
1022,915.6,923.7,935.7,925.0,10.1
1023,841.1,950.2,921.8,904.4,56.6
1024,831.5,895.9,952.7,893.4,60.6
1025,881.0,905.9,930.2,905.7,24.6
1026,861.2,980.7,903.7,915.2,60.6
1027,843.8,914.6,905.7,888.0,38.6
1028,832.5,933.6,949.6,905.3,63.5
1029,884.9,918.4,917.2,906.8,19.0
1030,872.7,901.3,933.2,902.4,30.3
1031,838.5,972.7,947.7,919.7,71.4
1032,860.2,917.7,915.9,898.0,32.7
1033,840.7,938.6,905.8,895.0,49.8
1034,851.6,936.8,916.2,901.5,44.5
1035,817.1,921.2,941.6,893.3,66.8
1036,874.2,906.7,894.3,891.7,16.4
1037,860.6,921.2,929.6,903.8,37.7
1038,857.5,920.5,946.8,908.3,45.9
1039,857.1,907.1,913.9,892.7,31.0
1040,835.9,896.0,954.6,895.5,59.3
1041,874.7,928.8,892.5,898.6,27.6
1042,819.0,891.2,968.9,893.0,74.9
1043,833.6,910.2,922.9,888.9,48.3
1044,846.6,935.2,894.3,892.1,44.3
1045,867.1,856.6,931.7,885.2,40.7
1046,846.8,925.8,936.8,903.1,49.1
1047,845.1,916.8,875.9,879.3,36.0
1048,870.3,887.7,920.8,892.9,25.6
1049,884.4,879.0,897.4,886.9,9.5
1050,855.3,890.2,961.5,902.3,54.1
1051,839.6,900.1,951.1,896.9,55.8
1052,859.6,866.7,938.1,888.1,43.4
1053,855.9,879.2,910.9,882.0,27.6
1054,845.8,872.8,917.8,878.8,36.4
1055,800.5,866.8,922.0,863.1,60.8
1056,794.1,896.9,941.1,877.4,75.4
1057,822.4,852.5,930.5,868.5,55.8
1058,814.9,884.5,914.6,871.3,51.2
1059,862.5,854.1,968.3,894.9,63.6
1060,836.9,830.0,915.7,860.9,47.6
1061,836.1,851.4,949.7,879.0,61.6
1062,872.4,829.5,921.6,874.5,46.1
1063,881.8,863.6,934.5,893.3,36.8
1064,850.5,862.2,931.1,881.3,43.6
1065,818.2,834.7,912.3,855.1,50.3
1066,826.9,838.2,944.3,869.8,64.8
1067,834.3,852.3,933.9,873.5,53.1
1068,838.6,848.1,971.8,886.2,74.3
1069,853.1,800.7,947.7,867.2,74.5
1070,838.4,804.2,944.1,862.2,72.9
1071,839.8,781.2,944.3,855.1,82.6
1072,829.1,796.9,904.1,843.4,55.0
1073,798.1,781.3,894.6,824.7,61.2
1074,789.7,789.6,926.8,835.4,79.2
1075,823.8,778.4,950.0,850.7,88.9
1076,798.6,815.0,924.4,846.0,68.4
1077,824.7,791.3,945.3,853.8,81.0
1078,792.5,758.3,895.5,815.4,71.4
1079,807.9,759.8,949.4,839.0,98.5
1080,806.1,748.0,930.6,828.3,93.3
1081,764.3,785.5,963.5,837.8,109.4
1082,803.2,746.4,886.9,812.2,70.7
1083,748.9,736.0,944.3,809.7,116.7
1084,766.4,743.7,943.7,817.9,109.5
1085,783.2,750.4,900.5,811.4,78.9
1086,790.7,719.5,903.8,804.7,92.9
1087,746.4,729.8,931.4,802.5,111.9
1088,778.6,721.9,941.9,814.1,114.2
1089,772.5,754.4,852.0,793.0,51.9
1090,797.3,703.8,917.6,806.2,107.2
1091,759.3,705.6,921.6,795.5,112.5
1092,775.6,710.4,926.9,804.3,111.0
1093,711.5,687.3,945.4,781.4,142.5
1094,740.9,672.1,902.6,771.9,118.3
1095,755.3,668.1,876.1,766.5,104.4
1096,758.2,648.9,944.9,784.0,149.7
1097,741.3,654.3,869.5,755.0,108.3
1098,717.7,627.7,983.6,776.3,185.1
1099,742.5,642.8,942.8,776.1,152.8
1100,698.1,628.1,918.8,748.3,151.7
1101,738.9,609.1,844.8,731.0,118.1
1102,724.4,601.5,915.9,747.3,158.5
1103,717.9,597.7,892.6,736.1,148.3
1104,693.6,579.9,878.8,717.5,150.9
1105,700.9,570.6,897.1,722.9,164.4
1106,667.4,562.6,868.0,699.3,155.2
1107,705.0,547.4,944.4,732.3,199.9
1108,682.2,541.9,898.3,707.5,179.5
1109,704.8,531.1,896.0,710.6,182.5
1110,682.0,535.0,896.2,704.4,181.6
1111,676.9,514.4,881.6,691.0,184.0
1112,702.0,521.7,872.3,698.6,175.3
1113,677.3,523.3,893.5,698.0,186.0
1114,660.5,503.1,883.8,682.5,191.3
1115,659.4,491.0,864.7,671.7,187.1
1116,649.1,480.5,874.1,667.9,197.5
1117,655.7,472.5,857.8,662.0,192.7
1118,634.9,472.9,873.0,660.3,201.3
1119,644.3,464.1,848.0,652.1,192.1
1120,635.6,441.0,909.3,662.0,235.2
1121,614.6,442.6,841.4,632.9,200.0
1122,620.9,429.5,865.0,638.5,218.3
1123,615.1,426.6,857.4,633.0,216.0
1124,605.2,410.3,871.7,629.0,231.6
1125,581.9,407.5,866.6,618.7,231.7
1126,571.5,394.3,871.5,612.4,241.2
1127,585.7,385.4,873.9,615.0,245.5
1128,589.7,386.6,836.9,604.4,225.5
1129,588.3,372.6,856.9,605.9,242.6
1130,580.4,370.9,851.4,600.9,240.9
1131,566.5,353.6,822.8,581.0,234.9
1132,550.9,350.9,830.8,577.5,241.0
1133,549.8,340.8,813.4,568.0,236.8
1134,534.5,333.2,833.2,567.0,251.6
1135,533.3,318.9,833.6,561.9,258.6
1136,520.8,316.2,833.1,556.7,260.3
1137,507.0,308.8,798.8,538.2,246.5
1138,510.1,294.3,827.9,544.1,268.4
1139,507.2,285.5,805.9,532.9,261.1
1140,507.6,275.9,821.7,535.1,274.0
1141,495.6,261.1,857.9,538.2,300.7
1142,483.5,247.6,801.3,510.8,277.9
1143,483.0,235.6,756.5,491.7,260.6
1144,471.2,226.6,804.6,500.8,290.1
1145,470.7,214.6,782.1,489.1,284.2
1146,467.0,205.8,790.7,487.8,293.0
1147,463.8,196.0,775.0,478.3,289.8
1148,447.2,188.0,779.6,471.6,296.5
1149,446.0,175.7,769.1,463.6,297.1
1150,440.3,164.5,765.3,456.7,300.7
1151,438.8,160.4,730.2,443.2,284.9
1152,434.6,152.0,761.7,449.4,305.1
1153,417.4,144.0,752.3,437.9,304.6
1154,405.0,137.7,724.4,422.4,293.7
1155,392.5,133.6,738.9,421.7,303.7
1156,391.4,126.4,734.4,417.4,304.9
1157,377.0,118.5,716.6,404.0,299.9
1158,367.6,,699.5,533.6,234.7
1159,351.3,,709.0,530.2,252.9
1160,343.9,,692.6,518.3,246.5
1161,333.2,,674.6,503.9,241.4
1162,307.7,,674.5,491.1,259.4
1163,295.1,,670.5,482.8,265.5
1164,289.6,,652.7,471.1,256.8
1165,269.0,,642.5,455.8,264.1
1166,258.0,,640.3,449.2,270.3
1167,250.8,,643.2,447.0,277.5
1168,235.0,,634.2,434.6,282.3
1169,224.0,,615.4,419.7,276.8
1170,212.9,,609.9,411.4,280.7
1171,207.8,,603.9,405.9,280.0
1172,192.7,,586.9,389.8,278.7
1173,185.4,,593.3,389.3,288.5
1174,179.1,,575.4,377.2,280.2
1175,170.7,,568.3,369.5,281.2
1176,161.1,,563.1,362.1,284.3
1177,153.0,,557.6,355.3,286.1
1178,148.8,,555.8,352.3,287.8
1179,143.1,,534.8,339.0,276.9
1180,138.6,,529.4,334.0,276.3
1181,129.4,,514.9,322.1,272.6
1182,124.0,,517.6,320.8,278.3
1183,120.1,,511.7,315.9,276.9
1184,114.5,,496.3,305.4,270.0
