Time after Ignition,HIPS_R1,HIPS_R2,HIPS_R3,Mean,Std. Dev.
39.0,1080.2662661423217,1200.1018213372752,1023.6429381047294,1101.3370085281088,90.09670641280655
39.25,1124.596006996133,1104.9568063936604,1058.0065113961282,1095.8531082619738,34.21546756688293
39.5,1158.679538807592,1085.7376610054603,1003.4708078475765,1082.6293358868763,77.65103866231759
39.75,1106.016955016467,1205.2575925084698,1048.5745511347225,1119.9496995532197,79.26528175233254
40.0,1075.7015727558646,1194.5849170409479,1056.2660276348747,1108.8508391438957,74.88113372659939
40.25,1132.0764719687832,1174.963356259684,1110.7906932015426,1139.2768404766698,32.68664331161062
40.5,1111.1882718630343,1215.5415748323558,1113.3084531324919,1146.6794332759607,59.64578524048107
40.75,1076.3666520567208,1123.0437742137808,1082.2327314812837,1093.8810525839283,25.42540012662562
41.0,1156.4904675801015,1129.2335316135895,1078.8635308961386,1121.52917669661,39.38277717796304
41.25,1188.3205018225838,1245.5026987593264,1134.5529331971638,1189.4587112596912,55.483639571649874
41.5,1200.5247628542108,1199.8627855393302,1149.3419822671901,1183.2431768869103,29.361161437764448
41.75,1199.8068559846265,1255.0865697182044,1073.2981833875945,1176.0638696968083,93.19094054450468
42.0,1091.5709041007258,1189.6233645179072,1122.9466674175465,1134.7136453453932,50.074120817359926
42.25,1207.0786368299991,1267.970244812649,1153.3319431355237,1209.4602749260573,57.35624815893511
42.5,1186.2501664067922,1171.1236899953358,1156.7400256491273,1171.3712940170851,14.75662843260575
42.75,1118.432364616473,1221.3851468818118,1077.6679987576833,1139.1618367519895,74.06711772099703
43.0,1249.2114912275538,1282.9975044371097,1137.8861687496817,1223.3650548047817,75.9299258729037
43.25,1144.429168970005,1220.8207593644781,1176.8152563019455,1180.6883948788097,38.34279166383078
43.5,1164.2013973878534,1230.1572922707635,1147.0918262692837,1180.4835053093002,43.86112389445782
43.75,1202.1871104609907,1250.3655654366858,1107.9007192648905,1186.8177983875223,72.46530144763811
44.0,1170.3650239209774,1225.5513638622917,1183.6100966211416,1193.1754948014702,28.809818826066117
44.25,1265.0504552304872,1223.4880236787924,1119.1365280431908,1202.5583356508234,75.17484564344637
44.5,1252.0052139004267,1203.231804922918,1177.702068592394,1210.9796958052461,37.75263845759667
44.75,1180.6259910652316,1304.9395760451985,1153.1692461289156,1212.9116044131151,80.87229984772982
45.0,1256.177820508755,1258.6244244539225,1122.8905684714232,1212.5642711447003,77.6693387448844
45.25,1248.2022781395851,1251.8660660062935,1129.708444741403,1209.9255962957604,69.49423996277781
45.5,1268.3706443106146,1256.0332122558987,1213.1315832255164,1245.8451465973433,28.99458533568089
45.75,1290.5491687997478,1217.529475043245,1251.0855656019548,1253.0547364816491,36.54965313841492
46.0,1307.6098682737893,1221.1677847886458,1217.158041733574,1248.6452315986696,51.10421502687981
46.25,1158.0719703698596,1302.9580824512489,1248.2739232160307,1236.4346586790464,73.16503609715326
46.5,1295.3622730225798,1286.156991153529,1188.5858313972478,1256.701698524452,59.16935709842034
46.75,1276.785790622182,1306.7326476427065,1227.9199342603008,1270.4794575083963,39.78301554282719
47.0,1244.4255358973314,1347.3250209156975,1378.05255150078,1323.2677027712698,69.98650399896924
47.25,1488.48512360058,1339.1860666906127,1265.5607929591972,1364.4106610834633,113.58267658269904
47.5,1260.1759670471672,1238.423003203065,1192.4887359107852,1230.3625687203391,34.556016375809854
47.75,1227.5021841649602,1292.201335660445,1244.009033633731,1254.5708511530454,33.617838167294394
48.0,1200.022789784891,1305.2916122298427,1296.9140513297943,1267.409484448176,58.508724519430466
48.25,1265.1118686682323,1320.7772443075385,1239.585655652528,1275.158256209433,41.51765821975151
48.5,1322.103691445075,1344.0107308966628,1205.0062850395875,1290.3735691271083,74.73726974370273
48.75,1293.2450924171435,1349.2685359883114,1183.387365943338,1275.3003314495977,84.38395273100876
49.0,1266.8584649907496,1354.1730449987367,1221.8606785764828,1280.964062855323,67.27456053666937
49.25,1323.5717455024517,1298.0530706978948,1239.1187727890858,1286.914529663144,43.31427561807133
49.5,1357.303028837862,1294.8613924957508,1315.676079338213,1322.6135002239419,31.79363684260465
49.75,1288.1947323206361,1380.8140263615971,1255.606148829326,1308.2049691705197,64.95814293162469
50.0,1274.0918519699694,1309.9798340628088,1231.8189966437317,1271.96356089217,39.12385900824114
50.25,1353.3899945016603,1353.6076767806424,1238.6828531282356,1315.2268414701794,66.28912776513484
50.5,1387.048552884943,1341.3839547588193,1304.5483473304107,1344.3269516580579,41.32876603767307
50.75,1341.0445327144153,1524.1079533160323,1249.5203598311978,1371.5576152872152,139.813707411037
51.0,1327.729958466418,1303.728234651065,1335.9044967786026,1322.454229965362,16.724321945527336
51.25,1287.4934152741923,1375.6238992113392,1254.1287147998983,1305.7486764284765,62.77109907155403
51.5,1300.8570963196992,1282.3636403181629,1293.9300548127148,1292.3835971501924,9.343212894752568
51.75,1387.409485248089,1352.4831968200824,1289.3157459839088,1343.06947601736,49.719805160729926
52.0,1285.4613160333681,1305.1163440355208,1249.7526831767286,1280.1101144152058,28.067067089215183
52.25,1404.4405719612078,1342.2930961192365,1275.7614532903826,1340.831707123609,64.35200570939867
52.5,1377.4372717161825,1342.943108907052,1329.409302773768,1349.9298944656675,24.764547835866907
52.75,1385.0576563961192,1515.6655310973968,1297.1623270086156,1399.2951715007105,109.94518032424605
53.0,1388.286365778407,1385.6183216503784,1313.6909896303637,1362.5318923530497,42.31849417149001
53.25,1453.0552668661626,1478.8959791158943,1283.1193970499028,1405.0235476773198,106.35977650191523
53.5,1357.1067389715013,1325.9902489526057,1310.021906026531,1331.0396313168794,23.945094906043213
53.75,1348.4909674130408,1360.9785324580878,1350.6843809732568,1353.3846269481285,6.667332032543274
54.0,1450.2956995016725,1337.978200067922,1264.772139935465,1351.0153465016865,93.44636525237672
54.25,1409.659813301553,1436.8282407019117,1373.8949579766268,1406.7943373266971,31.564342747268135
54.5,1389.6546922275056,1343.4879680452023,1476.4201700068434,1403.1876100931838,67.49146226791969
54.75,1312.469934155579,1446.480540304314,1286.2846081081568,1348.4116941893499,85.93335649672265
55.0,1428.1686966100572,1442.2757037722276,1285.3943593965832,1385.2795865929559,86.79024064848328
55.25,1476.6082297939356,1510.175807063154,1291.3765962668408,1426.0535443746437,117.83507892242898
55.5,1277.6308094219294,1288.2660223886808,1320.4442046303093,1295.447012146973,22.291739787391137
55.75,1427.4536661890684,1363.2791523193512,1366.838882897411,1385.8572338019437,36.06751046232027
56.0,1408.4669158317424,1379.942283333262,1323.4917369536363,1370.6336453728802,43.24561609978089
56.25,1437.6376181238475,1376.5975337967573,1251.420415935113,1355.2185226185727,94.93159741080794
56.5,1420.7470178352526,1409.7696173888091,1339.0044939104027,1389.8403763781546,44.365989675050876
56.75,1442.0011710751376,1398.4619888122304,1336.3726605860127,1392.2786068244602,53.085037596697646
57.0,1360.9869901860145,1371.3157242473035,1340.69447509884,1357.6657298440527,15.578456359581482
57.25,1382.2541365935115,1395.2080837621472,1401.4321199539581,1392.9647801032054,9.783816735970571
57.5,1508.601329597765,1430.3337370007325,1387.4734909271776,1442.1361858418916,61.42036856156185
57.75,1491.0886187423828,1459.4303740935686,1307.446319409505,1419.3217707484855,98.17152628326858
58.0,1534.1685460863391,1591.7159422895893,1420.404046005891,1515.4295114606066,87.17972824061489
58.25,1343.5153862152579,1391.9253019952087,1299.9505932149032,1345.13042714179,46.00861910230823
58.5,1320.9309458777814,1397.82764189676,1379.0065745536276,1365.9217207760564,40.08348180290877
58.75,1449.8092662720321,1679.8795936627075,1324.3827160257902,1484.6905253201767,180.29707201445945
59.0,1485.49121626327,1453.179769385307,1325.521655373731,1421.3975470074358,84.58810405284729
59.25,1372.5149766290974,1429.6077639490718,1310.3931570978305,1370.8386325586664,59.62497982184867
59.5,1443.3060651761953,1509.2689688410642,1366.773982128281,1439.7830053818468,71.31279178594104
59.75,1529.7722578032453,1437.8812273756796,1383.0209560484443,1450.2248137424565,74.15024770678602
60.0,1494.6190841671125,1424.7399771047249,1507.2197417901596,1475.5262676873324,44.431178540402186
60.25,1397.7416951982418,1518.862095051355,1387.7787641554175,1434.7941848016715,72.97516803031463
60.5,1427.068411552093,1457.1292324858669,1373.0999824951075,1419.0992088443556,42.577692015304656
60.75,1465.84571973191,1497.6674020155072,1403.2720160834444,1455.5950459436206,48.02530016721614
61.0,1461.087112319355,1660.4144316232419,1559.679113345705,1560.3935524294338,99.66558018002853
61.25,1437.3393795882007,1488.756313084563,1365.3175586488953,1430.4710837738864,62.00533557446462
61.5,1456.808265677326,1315.2467157776316,1283.7306969113574,1351.9285594554383,92.18529950153082
61.75,1389.9389208931375,1575.8012083079147,1396.3169259947713,1454.0190183986078,105.51467230484576
62.0,1490.4487700705238,1562.641028859896,1337.0128149007664,1463.3675379437288,115.22615841780768
62.25,1475.8652267010366,1453.187939816043,1386.605902137342,1438.5530228848072,46.394421545913
62.5,1439.9035266324072,1484.161847617716,1385.5428574248276,1436.5360772249835,49.3956586483055
62.75,1459.3905214657407,1473.914043191407,1438.5534095166374,1457.2859913912616,17.774008793631843
63.0,1448.759308620501,1546.6958753534223,1396.5449790597638,1464.0000543445624,76.22685328751517
63.25,1456.740427254682,1815.5223906286715,1523.145759294894,1598.4695257260826,190.88314921086896
63.5,1488.477261589611,1558.3642047625103,1379.8987849990795,1475.5800837837335,89.9290242877777
63.75,1469.834551935767,1557.6848351506394,1401.789315985983,1476.436234357463,78.15714863019338
64.0,1528.8921117804211,1544.6762052621498,1471.7994893895582,1515.1226021440432,38.33997229802525
64.25,1466.8667230094175,1558.0806416378143,1401.9007410160837,1475.6160352211052,78.45669625778673
64.5,1495.0988807007661,1461.568181426024,1474.957143030394,1477.2080683857282,16.87829811265822
64.75,1509.4092719166074,1542.228703963027,1450.0107029587257,1500.5495596127869,46.74302946843719
65.0,1624.063144908466,1567.6776512988786,1352.411541242745,1514.7174458166967,143.36051048693886
65.25,1467.8722753207694,1378.941787529076,1339.5109012336761,1395.4416546945074,65.75214674624192
65.5,1470.831743061605,1699.2742249968462,1496.3516826067055,1555.4858835550522,125.17640424430172
65.75,1485.1937851240234,1472.3708872229474,1383.7997356194835,1447.1214693221516,55.21175732558284
66.0,1633.352512000253,1578.5658927485022,1414.569144558529,1542.1625164357613,113.84394943303036
66.25,1484.7585947497673,1661.8032783188141,1434.194625922619,1526.9188329970668,119.51794395907582
66.5,1508.7615272433773,1552.9813986070071,1495.9761769743616,1519.239700941582,29.912253615935924
66.75,1533.4549810218555,1532.070587519361,1336.966655452064,1467.49740799776,113.0450669266543
67.0,1582.599327979999,1642.0541209403166,1404.2528476272275,1542.9687655158477,123.75498983172504
67.25,1500.3662149078345,1493.6389962043472,1405.0549189831447,1466.3533766984422,53.1924765035124
67.5,1453.2619203744805,1594.4313504941588,1375.3733529512417,1474.3555412732937,111.0419164272902
67.75,1599.5232741552506,1521.3233274168274,1391.5170724601164,1504.1212246773982,105.06464314840947
68.0,1520.746673204225,1431.7287753470632,1489.5191581840443,1480.6648689117776,45.164647276545395
68.25,1568.951262440985,1596.4563447949456,1464.4716963711214,1543.2931012023507,69.63291451246985
68.5,1583.9688320831983,1561.0933647914874,1499.4488645257732,1548.170353800153,43.7168089959533
68.75,1545.170041618513,1463.7178862318844,1452.957557683868,1487.2818285114217,50.42053232726055
69.0,1646.0611343502894,1488.5218969539567,1406.562277677481,1513.7151029939089,121.72078216074782
69.25,1516.9124407501974,1574.0665151692658,1376.2761279631657,1489.0850279608765,101.78915951463206
69.5,1497.5432870505563,1559.9328469524462,1493.1302539916842,1516.868795998229,37.35977888900366
69.75,1537.6662441580352,1429.0101814950092,1460.2193587044649,1475.6319281191697,55.94368114747348
70.0,1608.643149541198,1528.7497338857372,1455.5074576527693,1530.9667803599016,76.5919153947621
70.25,1545.6357144996116,1814.2043554737334,1456.6797556632055,1605.5066085455167,186.12993534843216
70.5,1613.6559469016986,1462.03046830022,1450.3056802080014,1508.6640318033067,91.11445736529858
