Names,Polyester_Microfiber_Sheet_R1,Polyester_Microfiber_Sheet_R2,Polyester_Microfiber_Sheet_R3,Mean,Std. Dev.
346,39.8,47.7,26.5,38.0,10.7
347,39.5,47.5,26.3,37.8,10.7
348,39.8,46.4,25.8,37.3,10.5
349,38.1,46.2,25.8,36.7,10.3
350,37.6,46.2,25.6,36.5,10.4
351,37.1,45.7,25.7,36.2,10.0
352,37.0,46.2,25.4,36.2,10.4
353,36.7,45.5,25.2,35.8,10.2
354,36.0,44.9,25.1,35.3,9.9
355,35.2,45.4,24.7,35.1,10.4
356,35.1,44.5,24.6,34.7,10.0
357,35.1,44.7,24.4,34.7,10.2
358,34.6,44.5,24.4,34.5,10.1
359,34.1,43.7,24.2,34.0,9.8
360,33.7,43.5,23.8,33.7,9.8
361,33.6,44.2,23.9,33.9,10.1
362,33.5,43.8,24.1,33.8,9.9
363,33.0,43.3,23.6,33.3,9.8
364,32.6,42.6,23.4,32.9,9.6
365,32.7,42.8,23.5,33.0,9.6
366,32.5,42.2,23.1,32.6,9.6
367,32.3,41.9,23.0,32.4,9.5
368,31.4,42.3,23.2,32.3,9.6
369,31.5,42.5,22.8,32.3,9.8
370,31.5,41.8,22.7,32.0,9.5
371,31.3,41.2,22.7,31.7,9.3
372,31.3,41.5,22.4,31.7,9.6
373,31.2,40.9,22.6,31.6,9.1
374,30.4,41.1,22.4,31.3,9.4
375,30.3,40.9,22.3,31.2,9.3
376,30.5,40.6,22.1,31.1,9.2
377,30.1,40.1,22.2,30.8,9.0
378,30.0,40.5,21.7,30.7,9.4
379,29.7,40.2,21.9,30.6,9.2
380,29.8,39.6,21.8,30.4,8.9
381,29.6,39.5,21.6,30.2,9.0
382,29.1,39.6,21.5,30.1,9.1
383,29.4,39.3,21.8,30.1,8.8
384,28.9,38.9,21.9,29.9,8.6
385,29.1,39.4,21.8,30.1,8.9
386,28.7,39.2,21.9,29.9,8.7
387,28.7,38.8,21.7,29.7,8.6
388,28.3,39.5,21.9,29.9,8.9
389,28.6,38.5,22.0,29.7,8.3
390,28.1,38.0,21.9,29.4,8.1
391,27.6,37.8,21.8,29.1,8.1
392,27.5,38.1,22.1,29.3,8.1
393,27.1,37.7,22.0,28.9,8.0
394,26.5,37.3,22.0,28.6,7.9
395,26.9,37.4,22.1,28.8,7.8
396,26.3,36.6,21.9,28.3,7.6
397,26.3,36.5,21.9,28.2,7.5
398,26.4,36.6,22.1,28.4,7.4
399,26.1,36.6,22.1,28.3,7.5
400,26.1,36.3,22.2,28.2,7.3
401,26.1,36.0,21.9,28.0,7.3
402,25.7,35.7,22.1,27.8,7.1
403,25.9,35.6,22.1,27.9,7.0
404,25.4,35.4,22.2,27.7,6.9
405,25.9,35.1,22.0,27.6,6.7
406,25.3,34.4,22.1,27.3,6.4
407,25.2,34.5,22.2,27.3,6.4
408,25.0,34.2,22.4,27.2,6.2
409,25.5,33.5,21.8,27.0,6.0
410,24.7,34.2,22.3,27.0,6.3
411,24.8,33.7,22.0,26.8,6.1
412,24.7,33.0,22.0,26.5,5.7
413,24.8,33.1,22.1,26.6,5.7
414,24.6,33.1,22.1,26.6,5.7
415,24.3,32.9,21.9,26.4,5.8
416,24.4,32.2,22.0,26.2,5.3
417,24.0,32.6,22.2,26.3,5.5
418,24.0,32.9,22.0,26.3,5.8
419,23.8,32.4,22.3,26.2,5.5
420,23.4,32.1,22.1,25.9,5.4
421,23.0,32.3,22.0,25.8,5.7
422,23.0,32.1,22.3,25.8,5.5
423,22.6,31.7,22.2,25.5,5.4
424,22.7,32.0,22.3,25.7,5.5
425,22.7,31.5,21.9,25.4,5.3
426,22.6,31.7,21.9,25.4,5.5
427,22.5,31.4,21.9,25.3,5.3
428,22.3,31.4,21.8,25.1,5.4
429,22.3,31.2,22.2,25.2,5.2
430,22.0,30.9,22.1,25.0,5.2
431,22.3,31.0,22.0,25.1,5.1
432,22.0,30.7,22.0,24.9,5.0
433,21.9,30.4,22.1,24.8,4.8
434,21.9,30.3,22.4,24.9,4.7
435,21.5,30.1,22.1,24.6,4.8
436,21.3,30.2,22.2,24.6,4.9
437,21.4,30.2,22.2,24.6,4.9
438,21.7,30.2,22.1,24.6,4.8
439,21.4,29.6,22.4,24.5,4.5
440,21.2,30.0,22.4,24.5,4.8
441,21.2,29.3,22.1,24.2,4.5
442,21.0,29.2,22.3,24.2,4.4
443,20.9,29.2,22.4,24.2,4.4
