Time after Ignition,Polyester_Microfiber_Sheet_R1,Polyester_Microfiber_Sheet_R2,Polyester_Microfiber_Sheet_R3,Mean,Std. Dev.
14.25,151.9,225.2,289.3,222.1,68.7
14.5,153.8,231.7,298.1,227.9,72.2
14.75,155.2,237.6,297.4,230.1,71.4
15.0,155.5,247.1,309.6,237.4,77.5
15.25,157.3,253.7,312.6,241.2,78.4
15.5,160.7,261.1,323.1,248.3,82.0
15.75,164.3,270.2,314.8,249.8,77.3
16.0,166.8,277.6,329.2,257.8,83.0
16.25,169.6,285.1,328.0,260.9,81.9
16.5,169.4,284.0,335.8,263.1,85.2
16.75,171.1,286.5,334.5,264.0,84.0
17.0,175.9,297.1,335.5,269.5,83.3
17.25,177.1,297.5,345.3,273.3,86.6
17.5,183.8,304.1,345.9,277.9,84.2
17.75,184.5,307.6,347.5,279.9,84.9
18.0,189.6,314.4,348.6,284.2,83.7
18.25,192.3,312.6,346.9,283.9,81.2
18.5,192.6,310.1,352.7,285.2,82.9
18.75,196.4,312.4,350.3,286.4,80.2
19.0,196.9,315.8,355.8,289.5,82.7
19.25,201.9,322.1,354.2,292.7,80.3
19.5,202.4,324.3,350.9,292.5,79.2
19.75,198.9,322.3,353.3,291.5,81.6
20.0,199.8,323.0,351.8,291.5,80.7
20.25,205.5,319.7,350.6,291.9,76.5
20.5,207.2,317.6,345.2,290.0,73.0
20.75,204.2,315.2,344.7,288.0,74.1
21.0,207.5,321.0,339.7,289.4,71.6
21.25,205.1,320.1,338.7,288.0,72.4
21.5,207.6,314.0,332.6,284.7,67.4
21.75,209.7,311.2,327.3,282.7,63.7
22.0,206.8,315.8,323.4,282.0,65.2
22.25,209.7,319.5,318.3,282.5,63.0
22.5,210.5,306.0,310.6,275.7,56.5
22.75,207.6,309.2,316.6,277.8,60.9
23.0,208.3,304.2,307.0,273.2,56.2
23.25,209.5,300.0,300.9,270.1,52.5
23.5,206.0,300.0,299.7,268.6,54.2
23.75,203.5,295.3,293.4,264.1,52.5
24.0,206.8,289.0,287.2,261.0,47.0
24.25,200.5,281.3,282.7,254.8,47.1
24.5,200.6,281.0,281.4,254.3,46.5
24.75,202.8,276.9,275.3,251.7,42.3
25.0,198.2,278.0,266.9,247.7,43.2
25.25,197.8,273.8,267.6,246.4,42.2
25.5,194.6,260.9,267.9,241.1,40.5
25.75,190.2,260.1,263.2,237.9,41.3
26.0,191.8,258.2,258.1,236.0,38.3
26.25,188.4,255.0,258.6,234.0,39.5
26.5,184.7,247.9,251.8,228.1,37.6
26.75,186.3,247.4,253.8,229.2,37.3
27.0,182.9,243.0,248.2,224.7,36.3
27.25,178.6,243.3,240.6,220.8,36.6
27.5,175.8,234.9,240.2,217.0,35.7
27.75,177.9,232.1,237.6,215.9,33.0
28.0,172.0,233.2,228.7,211.3,34.1
28.25,170.8,228.6,226.6,208.7,32.8
28.5,170.1,227.0,223.1,206.7,31.8
28.75,164.0,224.0,222.9,203.6,34.3
29.0,161.5,221.8,217.9,200.4,33.7
29.25,163.2,220.4,215.2,199.6,31.6
29.5,156.3,217.8,209.0,194.4,33.2
29.75,153.5,215.1,208.5,192.4,33.8
30.0,152.1,211.0,205.6,189.6,32.5
30.25,150.6,206.2,201.6,186.1,30.9
30.5,147.7,206.9,192.6,182.4,30.9
30.75,143.8,200.6,193.4,179.3,30.9
31.0,141.7,198.1,191.3,177.0,30.8
31.25,140.0,194.6,186.3,173.7,29.4
31.5,138.6,193.4,186.1,172.7,29.7
31.75,135.2,188.1,183.6,169.0,29.3
32.0,132.7,183.2,181.7,165.9,28.7
32.25,129.3,180.0,177.7,162.3,28.6
32.5,130.9,175.1,174.7,160.2,25.4
32.75,129.0,170.4,172.2,157.2,24.4
33.0,126.8,168.5,167.9,154.4,23.9
33.25,123.5,166.8,165.9,152.0,24.7
33.5,123.1,159.1,162.5,148.2,21.9
33.75,120.3,157.1,159.6,145.7,22.0
34.0,117.9,154.0,160.5,144.1,22.9
34.25,115.3,148.8,157.4,140.5,22.2
34.5,113.2,147.1,156.4,138.9,22.7
34.75,112.7,145.0,151.3,136.3,20.7
35.0,110.7,140.2,149.8,133.6,20.4
35.25,109.4,138.1,146.3,131.3,19.3
35.5,109.7,134.9,146.3,130.3,18.7
35.75,105.6,134.6,142.6,127.6,19.5
36.0,104.7,129.5,138.5,124.2,17.5
36.25,104.8,126.6,136.9,122.7,16.4
36.5,102.4,127.4,134.8,121.5,17.0
36.75,100.0,122.0,130.0,117.3,15.5
37.0,97.7,120.8,129.1,115.9,16.3
37.25,97.4,118.0,125.0,113.5,14.3
37.5,95.6,115.7,122.3,111.2,13.9
37.75,94.1,115.1,121.1,110.1,14.2
38.0,93.8,111.0,117.3,107.3,12.1
38.25,92.5,110.1,116.6,106.4,12.5
38.5,90.1,108.5,113.5,104.1,12.4
38.75,89.9,106.5,112.1,102.8,11.6
39.0,88.0,104.1,110.0,100.7,11.4
39.25,87.6,103.4,110.2,100.4,11.6
39.5,85.7,98.9,107.2,97.3,10.8
39.75,84.8,98.5,104.9,96.1,10.3
40.0,83.2,95.4,104.1,94.2,10.5
40.25,82.1,93.6,102.3,92.6,10.1
40.5,80.2,93.2,98.2,90.6,9.3
40.75,77.6,90.2,97.2,88.3,9.9
41.0,77.4,89.7,95.0,87.4,9.0
41.25,77.2,87.6,93.3,86.0,8.2
41.5,75.0,85.5,91.0,83.8,8.1
41.75,74.1,84.1,90.3,82.8,8.1
42.0,71.7,83.5,88.7,81.3,8.7
42.25,71.2,81.0,85.8,79.3,7.4
42.5,69.6,78.5,84.0,77.4,7.3
42.75,67.9,78.3,81.1,75.8,7.0
43.0,65.9,77.6,80.4,74.6,7.7
43.25,64.7,76.8,78.6,73.4,7.6
43.5,64.1,75.1,77.5,72.2,7.2
43.75,62.4,74.4,74.7,70.5,7.0
44.0,61.9,72.4,74.5,69.6,6.7
44.25,59.8,70.6,71.1,67.2,6.4
44.5,58.5,69.6,70.2,66.1,6.6
44.75,57.4,68.6,67.7,64.5,6.2
45.0,58.0,67.6,65.7,63.8,5.1
45.25,55.9,66.3,64.0,62.1,5.5
45.5,54.8,65.4,64.1,61.4,5.8
45.75,53.6,63.7,61.7,59.7,5.4
46.0,53.0,62.9,60.2,58.7,5.1
46.25,51.6,62.0,59.9,57.8,5.5
46.5,50.1,59.7,59.3,56.4,5.4
46.75,49.0,58.0,57.7,54.9,5.1
47.0,47.8,57.2,56.8,53.9,5.3
47.25,47.0,55.7,55.5,52.7,5.0
47.5,45.7,54.1,53.9,51.2,4.8
47.75,44.3,52.3,53.5,50.0,5.0
48.0,43.6,51.7,52.6,49.3,5.0
48.25,42.8,49.9,50.7,47.8,4.3
48.5,41.5,49.1,50.6,47.1,4.8
48.75,40.5,48.2,48.9,45.9,4.6
49.0,40.2,47.4,47.1,44.9,4.1
49.25,39.1,45.8,47.1,44.0,4.3
49.5,38.2,45.3,45.8,43.1,4.2
49.75,37.6,43.9,45.0,42.2,4.0
50.0,36.3,43.3,44.1,41.2,4.3
50.25,35.6,42.3,42.5,40.2,3.9
50.5,34.6,41.5,40.6,38.9,3.8
50.75,33.8,40.3,40.0,38.0,3.7
51.0,32.5,39.7,38.3,36.8,3.8
51.25,31.8,39.3,37.3,36.1,3.9
51.5,30.9,39.4,35.7,35.3,4.3
51.75,30.4,38.4,35.0,34.6,4.0
52.0,29.4,36.7,33.6,33.2,3.7
52.25,28.6,36.1,32.6,32.4,3.7
52.5,28.1,35.2,32.0,31.8,3.6
52.75,27.5,34.7,31.1,31.1,3.6
53.0,26.7,33.4,30.0,30.0,3.4
53.25,26.0,32.3,29.2,29.2,3.1
53.5,25.1,31.5,28.5,28.4,3.2
53.75,24.6,30.4,27.5,27.5,2.9
54.0,24.0,30.1,26.9,27.0,3.0
54.25,23.5,28.9,25.7,26.0,2.7
54.5,23.0,27.5,24.9,25.1,2.3
54.75,22.1,27.1,24.3,24.5,2.5
55.0,21.4,26.0,23.7,23.7,2.3
55.25,21.1,24.9,22.7,22.9,1.9
55.5,20.6,23.9,21.9,22.1,1.6
55.75,20.2,22.8,21.1,21.4,1.3
56.0,20.0,22.0,20.4,20.8,1.1
56.25,19.9,21.4,19.9,20.4,0.9
56.5,19.2,20.7,19.0,19.6,0.9
56.75,18.6,19.7,18.3,18.8,0.7
57.0,18.1,18.8,17.5,18.2,0.7
57.25,17.8,17.8,16.8,17.5,0.6
57.5,17.4,17.2,16.0,16.9,0.8
57.75,17.0,16.2,15.4,16.2,0.8
58.0,16.6,15.8,14.7,15.7,1.0
58.25,16.2,15.4,14.1,15.2,1.1
58.5,15.7,14.8,13.4,14.6,1.2
58.75,15.7,14.4,12.8,14.3,1.5
59.0,15.1,13.4,11.9,13.5,1.6
59.25,14.8,12.9,11.3,13.0,1.7
59.5,14.5,12.4,10.8,12.6,1.9
59.75,14.1,11.8,10.4,12.1,1.8
60.0,13.7,11.0,10.2,11.7,1.9
60.25,13.3,10.3,9.6,11.1,2.0
60.5,12.9,10.0,9.4,10.8,1.9
60.75,12.8,9.6,9.1,10.5,2.0
61.0,12.4,8.9,8.6,10.0,2.1
61.25,12.0,8.7,8.4,9.7,2.0
61.5,11.7,8.4,8.3,9.5,1.9
61.75,11.4,8.0,7.9,9.1,2.0
62.0,11.1,7.7,7.8,8.9,1.9
62.25,10.7,7.4,7.9,8.7,1.8
62.5,10.7,7.2,7.5,8.5,1.9
62.75,10.4,7.0,7.3,8.2,1.9
63.0,10.4,6.7,7.1,8.1,2.0
63.25,10.2,6.5,6.8,7.8,2.0
63.5,9.8,6.1,,8.0,2.6
63.75,9.5,6.2,,7.9,2.4
64.0,9.5,6.0,,7.7,2.5
64.25,9.1,5.6,,7.3,2.5
64.5,8.8,5.6,,7.2,2.3
64.75,8.4,5.2,,6.8,2.3
65.0,8.3,,,8.3,
65.25,8.2,,,8.2,
65.5,8.0,,,8.0,
65.75,7.8,,,7.8,
66.0,7.5,,,7.5,
66.25,7.3,,,7.3,
66.5,7.1,,,7.1,
66.75,6.8,,,6.8,
67.0,6.7,,,6.7,
67.25,6.5,,,6.5,
67.5,6.3,,,6.3,
67.75,6.2,,,6.2,
68.0,6.0,,,6.0,
68.25,6.0,,,6.0,
68.5,5.9,,,5.9,
68.75,5.7,,,5.7,
69.0,5.7,,,5.7,
69.25,5.6,,,5.6,
69.5,5.5,,,5.5,
69.75,5.4,,,5.4,
70.0,5.3,,,5.3,
70.25,5.2,,,5.2,
70.5,5.2,,,5.2,
70.75,5.1,,,5.1,
71.0,5.1,,,5.1,
71.25,5.1,,,5.1,
71.5,5.1,,,5.1,
