##Temp./°C,Time/min,Mass loss(subtr.)/mg,DSC(subtr.2)/(mW/mg),Sensit./(uV/mW)
91.699,15.57107,-0.04627962,0.3412,
91.799,15.58103,-0.04631408,0.34208,
91.899,15.59096,-0.04620859,0.34279,
91.999,15.60093,-0.04487311,0.34135,
92.099,15.61089,-0.04429438,0.34151,
92.199,15.62084,-0.04478353,0.34226,
92.299,15.6307,-0.04683983,0.34251,
92.399,15.64067,-0.047929,0.34171,
92.499,15.65065,-0.04992191,0.3428,
92.599,15.66065,-0.05130298,0.34243,
92.699,15.67064,-0.05174065,0.34279,
92.799,15.68055,-0.05038774,0.3419,
92.899,15.69049,-0.04979994,0.34174,
92.999,15.70048,-0.04977286,0.34107,
93.099,15.71045,-0.0487838,0.34162,
93.199,15.72047,-0.04848821,0.3407,
93.299,15.73038,-0.04849036,0.34042,
93.399,15.7404,-0.04849001,0.34015,
93.499,15.75044,-0.04848953,0.33796,
93.599,15.7604,-0.04849172,0.34106,
93.699,15.77036,-0.04848419,0.34082,
93.799,15.78023,-0.04850359,0.34119,
93.899,15.79014,-0.04948126,0.34014,
93.999,15.80012,-0.04980045,0.34089,
94.099,15.81008,-0.04980012,0.34052,
94.199,15.81998,-0.04980018,0.33822,
94.299,15.82988,-0.04979583,0.33877,
94.399,15.83979,-0.05044682,0.33899,
94.499,15.84971,-0.05078706,0.33843,
94.599,15.85961,-0.0507911,0.33987,
94.699,15.86946,-0.05078959,0.33957,
94.799,15.87935,-0.05079013,0.34021,
94.899,15.88926,-0.05078996,0.34077,
94.999,15.89918,-0.05079001,0.33843,
95.099,15.90904,-0.05079,0.33953,
95.199,15.91889,-0.05079,0.3385,
95.299,15.92877,-0.05079,0.33669,
95.399,15.9387,-0.05079,0.33919,
95.499,15.94857,-0.05079,0.3376,
95.599,15.9585,-0.05079,0.33765,
95.699,15.96838,-0.05079,0.33567,
95.799,15.97823,-0.05079,0.3377,
95.899,15.98823,-0.05079,0.3365,
95.999,15.99814,-0.05079001,0.33615,
96.099,16.00799,-0.05078995,0.33441,
96.199,16.01786,-0.05079021,0.33691,
96.299,16.02775,-0.05078921,0.3359,
96.399,16.03772,-0.05079295,0.33654,
96.499,16.0477,-0.05077886,0.33739,
96.599,16.05759,-0.05083296,0.33701,
96.699,16.06746,-0.0503516,0.33495,
96.799,16.07737,-0.0495373,0.33571,
96.899,16.08721,-0.04987006,0.33593,
96.999,16.09708,-0.05066811,0.33318,
97.099,16.107,-0.05081872,0.33595,
97.199,16.1169,-0.05078377,0.33696,
97.299,16.12684,-0.05078542,0.33491,
97.399,16.13669,-0.05081534,0.33669,
97.499,16.14657,-0.05069394,0.33641,
97.599,16.15649,-0.05142095,0.33294,
97.699,16.16632,-0.05206857,0.33474,
97.799,16.17622,-0.05210422,0.33585,
97.899,16.18611,-0.05209883,0.33478,
97.999,16.19598,-0.0521003,0.33548,
98.099,16.20588,-0.05209998,0.33579,
98.199,16.21574,-0.05209976,0.33478,
98.299,16.22562,-0.05210097,0.33363,
98.399,16.23545,-0.05209634,0.33325,
98.499,16.24525,-0.05211339,0.33298,
98.599,16.2551,-0.05205107,0.33367,
98.699,16.26496,-0.0523607,0.33556,
98.799,16.27482,-0.05314312,0.33368,
98.899,16.28466,-0.05347041,0.33217,
98.999,16.29454,-0.05340651,0.33313,
99.099,16.30444,-0.05342369,0.33161,
99.199,16.31424,-0.053419,0.33203,
99.299,16.32404,-0.05342027,0.33219,
99.399,16.33388,-0.05341993,0.33159,
99.499,16.34378,-0.05342002,0.33295,
99.599,16.35366,-0.05341999,0.33225,
99.699,16.36349,-0.05342,0.33123,
99.799,16.37336,-0.05342,0.32991,
99.899,16.38322,-0.05342,0.33023,
99.999,16.39308,-0.05342,0.32963,
100.099,16.40291,-0.05342,0.32666,
100.199,16.4127,-0.05342,0.32684,
100.299,16.42256,-0.05342,0.32958,
100.399,16.43244,-0.05342,0.32796,
100.499,16.44226,-0.05342,0.32611,
100.599,16.45221,-0.05342001,0.32531,
100.699,16.46203,-0.05341995,0.32582,
100.799,16.47179,-0.05342017,0.32607,
100.899,16.48166,-0.05341942,0.327,
100.999,16.49155,-0.05342199,0.32511,
101.099,16.50146,-0.05341202,0.32539,
101.199,16.51128,-0.0529715,0.32688,
101.299,16.52115,-0.05204667,0.32688,
101.399,16.53104,-0.05211353,0.32754,
101.499,16.54088,-0.05209582,0.32636,
101.599,16.55073,-0.05210413,0.32587,
101.699,16.56056,-0.05247872,0.32662,
101.799,16.5704,-0.05344148,0.324,
101.899,16.58027,-0.05341601,0.32494,
101.999,16.59016,-0.05342069,0.32369,
102.099,16.6,-0.05342,0.32425,
102.199,16.60984,-0.05341927,0.32302,
102.299,16.61976,-0.0537306,0.32374,
102.399,16.62959,-0.05470539,0.32339,
102.499,16.63943,-0.05473943,0.32417,
102.599,16.64926,-0.05472665,0.32231,
102.699,16.65908,-0.05473107,0.32155,
102.799,16.6689,-0.0547299,0.32055,
102.899,16.67874,-0.05472902,0.32211,
102.999,16.68856,-0.05473453,0.32145,
103.099,16.6983,-0.05452231,0.32169,
103.199,16.70804,-0.05356308,0.3211,
103.299,16.71787,-0.05338039,0.32129,
103.399,16.72771,-0.05343151,0.32015,
103.499,16.73754,-0.05341666,0.32188,
103.599,16.74737,-0.05342096,0.32172,
103.699,16.75722,-0.05341973,0.32067,
103.799,16.76709,-0.05342008,0.32122,
103.899,16.77685,-0.05341998,0.31983,
103.999,16.78668,-0.05342001,0.32027,
104.099,16.79649,-0.05342,0.31901,
104.199,16.80625,-0.05342,0.31858,
104.299,16.81609,-0.05342,0.31902,
104.399,16.82586,-0.05342,0.31877,
