Names,Nylon_Carpet_High_Pile_R1,Nylon_Carpet_High_Pile_R2,Nylon_Carpet_High_Pile_R3,Mean,Std. Dev.
387,321.7,334.1,355.7,337.2,17.2
388,322.6,334.6,347.6,334.9,12.5
389,312.8,328.4,346.5,329.2,16.9
390,315.5,329.0,346.3,330.3,15.4
391,315.0,325.2,343.8,328.0,14.6
392,309.5,327.3,337.4,324.7,14.2
393,303.1,321.6,343.0,322.5,19.9
394,303.7,319.1,333.1,318.7,14.7
395,308.1,324.9,332.3,321.7,12.4
396,299.7,321.7,333.1,318.1,17.0
397,301.5,317.5,332.2,317.1,15.3
398,301.0,317.2,328.6,315.6,13.9
399,297.8,313.2,330.4,313.8,16.3
400,295.5,314.0,325.9,311.8,15.3
401,294.1,311.7,325.8,310.5,15.9
402,291.9,309.9,316.5,306.1,12.8
403,294.0,313.3,321.5,309.6,14.1
404,293.0,314.3,313.9,307.1,12.2
405,286.9,307.0,315.6,303.2,14.7
406,286.1,305.7,314.7,302.1,14.6
407,286.4,302.6,308.5,299.2,11.5
408,289.8,303.3,313.5,302.2,11.9
409,283.9,301.0,309.4,298.1,13.0
410,285.0,297.4,310.4,297.6,12.7
411,279.0,293.8,305.2,292.7,13.2
412,276.2,289.1,301.0,288.8,12.4
413,272.6,290.0,302.7,288.4,15.1
414,276.8,295.4,300.2,290.8,12.4
415,273.6,296.4,298.3,289.4,13.7
416,266.9,293.6,297.3,285.9,16.6
417,273.5,283.1,292.9,283.2,9.7
418,263.3,282.5,287.1,277.6,12.6
419,267.4,287.6,294.5,283.2,14.1
420,266.3,287.8,290.0,281.4,13.1
421,258.7,276.1,287.2,274.0,14.3
422,258.8,283.4,285.6,276.0,14.9
423,261.7,274.5,289.4,275.2,13.9
424,261.5,278.7,287.5,275.9,13.2
425,257.0,278.5,279.4,271.6,12.7
426,255.0,276.9,272.1,268.0,11.5
427,255.4,274.3,278.3,269.3,12.2
428,253.7,268.5,279.4,267.2,12.9
429,256.8,270.5,277.6,268.3,10.6
430,253.0,265.6,274.4,264.3,10.7
431,244.7,264.0,269.8,259.5,13.1
432,245.5,263.5,273.0,260.7,13.9
433,244.1,262.4,268.6,258.4,12.8
434,245.3,260.8,270.8,259.0,12.9
435,244.2,256.0,267.7,256.0,11.8
436,245.6,258.2,262.1,255.3,8.6
437,245.6,254.8,267.9,256.1,11.2
438,241.2,255.8,265.8,254.3,12.4
439,244.3,247.3,256.2,249.3,6.2
440,242.4,252.2,259.8,251.5,8.7
441,242.8,253.1,261.1,252.3,9.2
442,235.6,249.7,259.3,248.2,11.9
443,238.0,247.8,257.0,247.6,9.5
444,236.3,244.6,254.5,245.1,9.1
445,242.2,245.8,256.6,248.2,7.5
446,239.6,241.6,256.3,245.8,9.1
447,236.7,241.2,256.6,244.9,10.4
448,235.7,237.8,254.2,242.6,10.1
449,232.8,235.3,250.8,239.6,9.8
450,238.2,238.2,248.1,241.5,5.7
451,232.9,236.9,249.8,239.9,8.8
452,236.4,234.7,246.4,239.2,6.3
