Time after Ignition,Nylon_Carpet_High_Pile_R1,Nylon_Carpet_High_Pile_R2,Nylon_Carpet_High_Pile_R3,Mean,Std. Dev.
121.25,213.5548961591368,338.8597426481142,267.0077877416504,273.1408088496338,62.87715482860031
121.5,216.1309695932166,337.4417500989186,270.8333241128038,274.80201460164636,60.752689198691634
121.75,210.1531963556821,342.40220910598094,270.35683879334505,274.304081418336,66.21280757234649
122.0,214.85593920223715,332.46241960093676,269.80325557295726,272.37387145871037,58.84536606621199
122.25,215.0171134946404,330.67779221895995,269.27980515221856,271.65823695527297,57.867010067255954
122.5,217.04818463450715,336.3497068198315,273.0197027129454,275.4725313890947,59.68857156374045
122.75,216.78525628838324,334.2485527780598,271.99908861810684,274.3442992281833,58.76675518658168
123.0,214.72088153435598,326.86903563144756,270.8926598604303,270.82752567541127,56.07410542035239
123.25,217.3546044585582,329.1467902981161,273.74775865261097,273.4163844697618,55.896829608962236
123.5,214.88027084649485,332.0076339366796,269.7846110469589,272.22417194337777,58.601778037364156
123.75,213.0913003468876,333.5008761670727,270.21992005852155,272.270698857494,60.23097838787746
124.0,215.32046255315655,325.9169104016054,274.0226032851762,271.7533254133127,55.33313460954894
124.25,214.08945630876025,321.52945501534975,271.86678235408897,269.161897892733,53.7710482553572
124.5,212.2884114552382,326.1376793915276,268.8896647552618,269.10525186734253,56.924940147174745
124.75,216.8393651004756,324.17585643564564,273.9035906985475,271.6396040782229,53.704048447012035
125.0,214.19859579031032,319.8811394360079,276.2387788556709,270.10617136066304,53.10750101324731
125.25,214.284974148942,320.80341552293254,266.3080285902875,267.1321394207207,53.264002451765606
125.5,214.71698116614436,319.9471638697698,269.4383877251365,268.03417758701687,52.62914299647672
125.75,213.87229704189414,313.9718884647524,266.88025641941766,264.90814730868806,50.07892731992426
126.0,219.0365385628201,316.57832645600047,270.62134741599897,268.74540414493987,48.79794533294123
126.25,214.90991453219007,316.9524493902646,271.1153481759085,267.65923736612103,51.10898410761541
126.5,216.64436273549126,315.59084763019194,265.8155004587131,266.01690360813205,49.47354990978265
126.75,214.7157270144692,315.1246238234447,271.57793063656806,267.1394271581607,50.35138403703269
127.0,216.74657803868047,312.62839587296907,276.8113513169594,268.72877507620296,48.44921853670765
127.25,214.92762929389184,316.6536229794627,270.5529149768017,267.37805575005206,50.93725793720602
127.5,214.8616926023899,317.0641650428321,270.9396155210926,267.62182438877153,51.18195137676091
127.75,218.68859199002736,311.6951122511863,271.15519612841973,267.1796334565445,46.63053749090661
128.0,217.00246611575704,311.07379709492716,272.3782187725173,266.81816066106717,47.28149228503865
128.25,221.10981096128523,308.75867637997374,274.767656544901,268.2120479620533,44.1906427336656
128.5,218.05248118557557,313.21015041192334,270.1891778998668,267.1506031657886,47.6515498746755
128.75,216.92412645441775,304.5004211649796,275.6511454408866,265.6918976867613,44.629494851262145
129.0,216.61823646618822,304.23269903827594,275.42331165132157,265.4247490519286,44.654808850664956
129.25,220.6136064354444,305.15222043646514,269.89018519535165,265.21867068908705,42.46247284532632
129.5,218.21869767571516,303.8849422826154,272.1889248115428,264.76418825662444,43.313062705663874
129.75,225.39294294109212,297.46702760467974,274.424954293944,265.7616416132386,36.80975631508924
130.0,218.8972553663246,295.12015292572545,271.2779260004905,261.76511143084684,38.99170115377178
130.25,222.28286253425392,292.5305743378937,272.64374959731344,262.4857288231537,36.20875989243493
130.5,221.48210950878536,289.00396386522095,266.37785536733026,258.95464291377886,34.36754670151545
