Time after Ignition,Corrugated_Cardboard_R1,Corrugated_Cardboard_R2,Corrugated_Cardboard_R3,Mean,Std. Dev.
24.25,268.6,265.8,280.5,271.6,7.8
24.5,265.3,265.0,278.2,269.5,7.5
24.75,264.1,257.0,271.8,264.3,7.4
25.0,259.7,259.0,270.9,263.2,6.7
25.25,262.9,260.2,270.7,264.6,5.4
25.5,258.5,256.3,268.6,261.1,6.6
25.75,261.6,255.7,267.7,261.6,6.0
26.0,263.1,256.4,258.9,259.5,3.4
26.25,266.6,254.0,272.1,264.3,9.3
26.5,262.0,251.5,261.0,258.2,5.8
26.75,258.9,256.2,259.9,258.3,1.9
27.0,263.0,252.3,264.9,260.1,6.8
27.25,263.1,255.8,259.9,259.6,3.7
27.5,261.3,260.8,263.5,261.9,1.4
27.75,259.9,264.2,262.0,262.0,2.1
28.0,265.3,265.6,257.3,262.7,4.7
28.25,263.8,267.6,264.7,265.4,2.0
28.5,258.8,270.8,264.5,264.7,6.0
28.75,265.1,271.1,260.3,265.5,5.4
29.0,262.4,285.1,260.9,269.5,13.6
29.25,262.0,282.5,260.3,268.3,12.3
29.5,264.6,283.3,261.2,269.7,11.9
29.75,267.0,291.0,264.1,274.0,14.8
30.0,260.8,291.0,263.9,271.9,16.6
30.25,266.2,295.8,255.6,272.6,20.8
30.5,264.2,294.0,266.2,274.8,16.7
30.75,263.3,300.5,265.3,276.4,20.9
31.0,260.5,305.2,261.9,275.9,25.4
31.25,261.0,301.6,260.3,274.3,23.7
31.5,264.5,308.0,262.5,278.3,25.7
31.75,259.7,303.5,258.0,273.7,25.8
32.0,260.3,304.5,261.1,275.3,25.3
32.25,258.0,302.9,261.5,274.1,25.0
32.5,253.7,302.5,261.3,272.5,26.3
32.75,254.0,298.6,257.5,270.1,24.8
33.0,253.8,297.1,255.5,268.8,24.6
33.25,250.2,296.2,,273.2,32.5
33.5,252.0,297.9,,274.9,32.5
33.75,245.8,289.4,,267.6,30.9
34.0,244.4,289.1,,266.7,31.6
34.25,242.1,283.0,,262.5,28.9
34.5,236.5,274.2,,255.3,26.7
34.75,232.5,276.3,,254.4,30.9
35.0,228.5,267.5,,248.0,27.6
35.25,224.7,262.4,,243.6,26.6
35.5,216.4,263.6,,240.0,33.4
35.75,216.0,252.0,,234.0,25.4
36.0,213.0,244.0,,228.5,21.9
36.25,205.4,241.3,,223.3,25.4
36.5,199.5,234.5,,217.0,24.8
36.75,198.1,232.2,,215.2,24.1
37.0,192.7,226.8,,209.8,24.1
37.25,189.0,220.8,,204.9,22.5
37.5,183.2,215.7,,199.4,23.0
37.75,179.0,207.8,,193.4,20.3
38.0,180.3,203.7,,192.0,16.5
38.25,176.9,195.0,,186.0,12.8
38.5,170.4,189.0,,179.7,13.1
38.75,165.6,187.5,,176.5,15.5
39.0,162.1,179.2,,170.6,12.1
39.25,157.7,171.6,,164.7,9.8
39.5,156.1,169.5,,162.8,9.5
39.75,151.5,,,151.5,
40.0,147.8,,,147.8,
40.25,142.5,,,142.5,
40.5,141.3,,,141.3,
40.75,137.0,,,137.0,
41.0,134.4,,,134.4,
41.25,130.5,,,130.5,
41.5,127.0,,,127.0,
41.75,122.7,,,122.7,
