Time after Ignition,Corrugated_Cardboard_R1,Corrugated_Cardboard_R2,Corrugated_Cardboard_R3,Mean,Std. Dev.
12.5,37.1,39.0,47.6,41.2,5.6
12.75,44.1,49.2,55.0,49.4,5.5
13.0,48.5,57.7,62.7,56.3,7.2
13.25,54.3,65.6,70.5,63.5,8.3
13.5,58.4,73.3,80.1,70.6,11.1
13.75,69.3,80.2,90.8,80.1,10.8
14.0,79.4,91.9,100.3,90.6,10.5
14.25,88.0,104.0,108.5,100.2,10.8
14.5,95.6,111.4,115.5,107.5,10.5
14.75,107.9,119.5,121.3,116.2,7.3
15.0,120.4,129.3,132.8,127.5,6.4
15.25,130.5,136.8,140.7,136.0,5.1
15.5,139.2,142.1,149.1,143.5,5.1
15.75,145.7,150.1,154.9,150.3,4.6
16.0,155.5,152.4,165.6,157.8,6.9
16.25,160.2,152.1,165.9,159.4,7.0
16.5,165.6,157.1,172.7,165.1,7.8
16.75,174.0,164.4,181.9,173.4,8.8
17.0,177.3,170.1,183.1,176.8,6.5
17.25,180.8,169.1,188.5,179.5,9.8
17.5,186.2,174.1,187.6,182.7,7.4
17.75,186.8,177.8,193.9,186.2,8.1
18.0,193.1,178.5,192.6,188.1,8.3
18.25,194.7,180.6,195.5,190.3,8.3
18.5,199.4,183.5,196.1,193.0,8.4
18.75,205.6,183.2,195.1,194.6,11.2
19.0,203.5,186.2,197.6,195.8,8.8
19.25,200.8,183.5,198.5,194.3,9.4
19.5,202.1,183.3,199.5,195.0,10.2
19.75,206.9,184.1,197.7,196.2,11.5
20.0,206.8,179.0,201.1,195.6,14.7
20.25,204.5,177.9,196.5,192.9,13.6
20.5,202.7,177.0,201.3,193.7,14.5
20.75,205.5,179.7,196.3,193.8,13.1
21.0,202.8,179.6,193.9,192.1,11.7
21.25,201.7,170.4,195.6,189.2,16.6
21.5,197.5,170.8,191.8,186.7,14.1
21.75,193.9,165.2,184.3,181.1,14.6
22.0,192.3,167.0,184.8,181.4,13.0
22.25,190.1,160.5,183.2,177.9,15.4
22.5,188.0,161.0,183.4,177.5,14.4
22.75,185.6,156.2,178.1,173.3,15.3
23.0,184.7,154.9,177.4,172.4,15.5
23.25,180.2,155.9,172.1,169.4,12.3
23.5,175.9,154.2,173.7,168.0,11.9
23.75,176.3,147.4,166.8,163.5,14.7
24.0,170.4,145.2,165.5,160.4,13.3
24.25,171.6,145.1,163.7,160.1,13.6
24.5,163.6,143.8,158.8,155.4,10.3
24.75,162.5,141.3,157.2,153.7,11.0
25.0,161.1,139.4,155.3,152.0,11.2
25.25,157.7,136.5,151.0,148.4,10.8
25.5,155.8,139.6,149.8,148.4,8.2
25.75,151.1,135.7,147.4,144.7,8.0
26.0,146.5,132.4,143.8,140.9,7.5
26.25,147.4,129.7,143.4,140.2,9.3
26.5,144.6,130.3,140.9,138.6,7.4
26.75,143.7,127.5,140.4,137.2,8.5
27.0,138.9,127.6,136.0,134.2,5.8
27.25,139.3,125.2,136.5,133.7,7.5
27.5,136.3,121.4,135.5,131.1,8.3
27.75,133.5,121.4,131.1,128.7,6.4
28.0,129.8,120.7,127.6,126.0,4.7
28.25,129.0,118.0,129.1,125.4,6.4
28.5,126.7,114.9,126.8,122.8,6.8
28.75,125.0,115.9,124.2,121.7,5.0
29.0,123.7,112.2,122.0,119.3,6.2
29.25,124.5,111.1,121.4,119.0,7.0
29.5,122.0,110.5,119.0,117.2,6.0
29.75,120.8,108.2,119.4,116.1,6.9
30.0,117.9,108.5,116.2,114.2,5.0
30.25,116.4,105.7,115.9,112.7,6.1
30.5,117.4,101.9,112.9,110.7,8.0
30.75,116.9,102.4,111.2,110.1,7.3
31.0,115.0,102.3,109.8,109.0,6.4
31.25,112.6,99.7,109.5,107.3,6.7
31.5,113.1,99.0,107.0,106.4,7.1
31.75,111.8,98.6,104.8,105.1,6.6
32.0,111.0,99.4,103.3,104.6,5.9
32.25,111.5,95.4,101.3,102.8,8.1
32.5,112.0,95.6,99.9,102.5,8.5
32.75,111.9,95.5,99.5,102.3,8.6
33.0,109.1,92.9,101.6,101.2,8.1
33.25,109.9,93.1,98.6,100.5,8.6
33.5,113.4,91.7,98.4,101.2,11.1
33.75,109.3,91.9,96.5,99.2,9.0
34.0,110.7,91.0,97.9,99.9,10.0
34.25,108.4,88.5,98.3,98.4,9.9
34.5,109.3,87.8,96.8,98.0,10.8
34.75,108.8,86.9,96.2,97.3,11.0
35.0,109.3,87.7,95.0,97.3,11.0
35.25,108.4,86.2,94.0,96.2,11.2
35.5,107.7,86.6,94.1,96.1,10.7
35.75,109.3,84.8,95.1,96.4,12.3
36.0,111.5,84.9,95.9,97.4,13.4
36.25,108.7,83.9,93.7,95.4,12.5
36.5,109.7,83.5,92.8,95.3,13.2
36.75,109.0,82.5,92.6,94.7,13.4
37.0,109.8,82.9,93.3,95.3,13.6
37.25,110.9,81.6,92.0,94.8,14.8
37.5,112.0,83.2,93.1,96.1,14.6
37.75,112.5,81.9,92.6,95.6,15.5
38.0,113.6,82.8,92.5,96.3,15.8
38.25,113.2,79.7,91.9,94.9,16.9
38.5,112.3,81.3,93.7,95.8,15.6
38.75,115.7,81.1,92.6,96.5,17.6
39.0,115.2,81.0,91.1,95.7,17.6
39.25,113.8,79.3,94.1,95.8,17.3
39.5,115.0,80.2,93.2,96.2,17.6
39.75,116.1,80.7,93.7,96.8,17.9
40.0,115.9,80.5,95.4,97.3,17.7
40.25,115.0,82.2,94.2,97.1,16.6
40.5,116.9,81.7,93.9,97.5,17.9
40.75,117.4,81.6,95.8,98.3,18.0
41.0,117.7,82.3,96.0,98.7,17.8
41.25,116.2,80.7,97.0,98.0,17.8
41.5,117.5,80.8,97.0,98.4,18.4
41.75,118.1,82.7,99.9,100.2,17.7
42.0,117.8,83.3,101.8,101.0,17.2
42.25,117.7,82.3,105.3,101.7,18.0
42.5,118.3,82.8,104.1,101.7,17.9
42.75,116.5,84.9,105.0,102.1,16.0
43.0,116.2,86.0,110.7,104.3,16.1
43.25,115.2,85.6,110.0,103.6,15.8
43.5,116.5,86.5,110.3,104.4,15.8
43.75,113.4,86.9,114.3,104.9,15.5
44.0,114.9,88.1,114.5,105.8,15.3
44.25,114.0,89.0,118.2,107.1,15.8
44.5,113.2,90.4,116.8,106.8,14.3
44.75,112.7,92.0,120.4,108.4,14.7
45.0,112.9,92.0,119.8,108.3,14.5
45.25,113.8,93.2,124.5,110.5,15.9
45.5,112.1,92.9,123.2,109.4,15.3
45.75,110.2,95.0,124.9,110.0,15.0
46.0,111.2,95.5,126.7,111.1,15.6
46.25,110.5,96.4,127.9,111.6,15.8
46.5,109.5,98.1,127.1,111.6,14.6
46.75,109.5,100.0,125.1,111.5,12.7
47.0,109.8,100.9,127.5,112.7,13.5
47.25,108.8,101.5,128.2,112.8,13.8
47.5,108.4,102.7,129.2,113.4,14.0
47.75,106.7,106.5,131.6,114.9,14.4
48.0,106.9,107.5,128.5,114.3,12.3
48.25,108.0,108.0,131.6,115.9,13.6
48.5,108.7,110.6,130.7,116.6,12.2
48.75,106.8,113.1,131.2,117.1,12.6
49.0,106.7,115.5,130.6,117.6,12.1
49.25,106.8,117.1,131.0,118.3,12.1
49.5,104.9,117.9,131.3,118.1,13.2
49.75,106.5,117.4,129.5,117.8,11.5
50.0,106.0,120.9,129.9,118.9,12.1
50.25,106.5,120.8,128.6,118.6,11.2
50.5,103.2,122.6,128.3,118.0,13.1
50.75,105.8,123.2,128.5,119.2,11.9
51.0,104.2,124.2,128.8,119.1,13.0
51.25,105.4,125.4,128.3,119.7,12.4
51.5,104.2,126.8,125.2,118.7,12.6
51.75,104.3,125.6,123.8,117.9,11.8
52.0,102.8,128.3,123.9,118.3,13.6
52.25,104.7,127.8,123.5,118.7,12.3
52.5,104.2,128.4,121.6,118.1,12.5
52.75,104.8,128.8,118.9,117.5,12.1
53.0,102.2,128.6,118.2,116.3,13.3
53.25,101.3,130.5,115.9,115.9,14.6
53.5,100.3,131.5,116.2,116.0,15.6
53.75,98.9,129.9,113.8,114.2,15.5
54.0,99.8,130.9,114.0,114.9,15.6
54.25,99.4,129.0,113.4,113.9,14.8
54.5,99.2,128.8,109.0,112.3,15.1
54.75,97.1,131.9,111.2,113.4,17.5
55.0,98.2,132.0,108.8,113.0,17.3
55.25,95.7,128.1,107.7,110.5,16.4
55.5,96.1,129.7,103.5,109.7,17.7
55.75,94.8,128.7,104.1,109.2,17.5
56.0,93.4,129.6,102.3,108.4,18.8
56.25,92.2,128.2,100.7,107.0,18.8
56.5,92.0,127.1,99.7,106.3,18.5
56.75,91.7,126.2,98.9,105.6,18.2
57.0,91.3,124.4,98.2,104.7,17.5
57.25,90.9,126.0,96.9,104.6,18.8
57.5,87.6,123.8,94.3,101.9,19.2
57.75,87.7,123.7,93.4,101.6,19.3
58.0,87.2,120.7,90.3,99.4,18.5
58.25,85.6,117.6,91.4,98.2,17.0
58.5,83.0,122.1,89.2,98.1,21.0
58.75,84.0,118.1,87.4,96.5,18.8
59.0,82.2,118.7,87.6,96.2,19.7
59.25,82.9,117.4,87.7,96.0,18.7
59.5,81.2,117.4,84.9,94.5,19.9
59.75,79.7,112.3,83.9,92.0,17.7
60.0,77.9,112.9,83.9,91.6,18.7
60.25,79.1,112.6,83.5,91.8,18.2
60.5,76.3,109.3,83.4,89.7,17.4
60.75,75.8,108.4,80.6,88.3,17.6
61.0,74.0,106.8,78.8,86.5,17.7
61.25,73.8,106.7,78.1,86.2,17.9
61.5,72.4,103.5,78.7,84.9,16.4
61.75,72.7,102.6,77.2,84.1,16.1
62.0,70.7,100.7,76.2,82.5,16.0
62.25,68.9,98.0,75.7,80.8,15.3
62.5,70.5,96.6,75.2,80.8,13.9
62.75,68.1,94.7,74.4,79.1,13.9
63.0,67.6,93.3,72.8,77.9,13.6
63.25,66.0,89.9,71.7,75.9,12.5
63.5,64.5,87.1,70.5,74.0,11.7
63.75,63.6,85.4,69.5,72.8,11.3
64.0,62.5,83.4,68.7,71.5,10.7
64.25,62.2,80.8,67.2,70.1,9.6
64.5,61.5,80.0,67.2,69.6,9.5
64.75,59.7,79.1,66.3,68.4,9.9
65.0,59.3,77.1,64.6,67.0,9.2
65.25,58.5,74.4,63.0,65.3,8.2
65.5,57.1,73.7,,65.4,11.8
65.75,56.4,72.6,,64.5,11.5
66.0,55.4,69.6,,62.5,10.0
66.25,55.1,68.0,,61.6,9.1
66.5,53.8,66.5,,60.2,9.0
66.75,53.5,65.5,,59.5,8.5
67.0,52.0,65.6,,58.8,9.6
67.25,51.8,63.7,,57.7,8.4
