Time after Ignition,Polyisocyanurate_Spray_Foam_Insulation_R1,Polyisocyanurate_Spray_Foam_Insulation_R2,Mean,Std. Dev.
28.5,266.9,308.9,287.9,29.7
28.75,266.9,313.8,290.3,33.1
29.0,267.4,311.0,289.2,30.8
29.25,271.9,311.9,291.9,28.3
29.5,266.7,308.7,287.7,29.7
29.75,270.2,315.7,293.0,32.2
30.0,270.6,309.7,290.1,27.7
30.25,270.9,313.8,292.3,30.3
30.5,264.5,316.4,290.4,36.7
30.75,268.9,319.0,294.0,35.4
31.0,273.1,315.7,294.4,30.1
31.25,270.0,312.4,291.2,30.0
31.5,275.0,317.0,296.0,29.8
31.75,271.8,322.6,297.2,35.9
32.0,270.3,315.9,293.1,32.3
32.25,270.4,317.6,294.0,33.4
32.5,270.6,321.8,296.2,36.2
32.75,272.6,321.4,297.0,34.5
33.0,271.0,321.8,296.4,35.9
33.25,274.1,324.5,299.3,35.6
33.5,269.6,312.9,291.3,30.6
33.75,275.1,331.1,303.1,39.6
34.0,270.7,327.2,299.0,39.9
34.25,267.2,319.2,293.2,36.8
34.5,268.7,317.0,292.8,34.2
34.75,277.1,323.4,300.3,32.7
35.0,271.3,313.3,292.3,29.7
35.25,275.2,320.9,298.0,32.3
35.5,273.1,317.9,295.5,31.7
35.75,267.0,325.1,296.0,41.1
36.0,274.6,323.5,299.0,34.5
36.25,267.7,322.9,295.3,39.0
36.5,276.9,319.5,298.2,30.1
36.75,278.3,325.1,301.7,33.0
37.0,280.1,317.2,298.7,26.2
37.25,280.2,319.5,299.9,27.8
37.5,278.2,321.4,299.8,30.6
37.75,274.8,329.3,302.1,38.6
38.0,278.2,314.3,296.3,25.5
38.25,276.6,320.9,298.8,31.3
38.5,276.1,321.8,299.0,32.4
38.75,277.9,325.1,301.5,33.4
39.0,277.4,318.1,297.8,28.8
39.25,282.4,324.9,303.7,30.1
39.5,278.7,327.6,303.1,34.5
39.75,281.0,317.0,299.0,25.5
40.0,284.7,326.0,305.3,29.2
40.25,278.2,327.6,302.9,34.9
40.5,284.9,324.0,304.5,27.6
40.75,278.5,327.7,303.1,34.8
41.0,287.6,322.2,304.9,24.4
41.25,281.4,327.6,304.5,32.7
41.5,280.3,330.5,305.4,35.5
41.75,281.2,324.1,302.6,30.3
42.0,283.4,318.7,301.0,25.0
42.25,281.7,317.9,299.8,25.6
42.5,285.9,323.0,304.5,26.3
42.75,284.0,330.8,307.4,33.1
43.0,278.6,330.4,304.5,36.6
43.25,277.6,318.2,297.9,28.7
43.5,280.8,320.9,300.9,28.4
43.75,283.5,319.3,301.4,25.3
44.0,279.7,317.8,298.7,27.0
44.25,280.2,324.9,302.6,31.6
44.5,277.7,320.0,298.8,30.0
44.75,278.0,322.3,300.1,31.3
45.0,276.8,318.3,297.5,29.3
45.25,280.6,322.1,301.3,29.4
45.5,278.5,317.2,297.9,27.4
45.75,277.0,320.2,298.6,30.5
46.0,281.8,325.9,303.8,31.2
46.25,283.2,326.4,304.8,30.6
46.5,275.8,322.8,299.3,33.2
46.75,279.4,328.3,303.9,34.6
47.0,276.0,326.0,301.0,35.4
47.25,281.3,329.9,305.6,34.4
47.5,283.9,334.9,309.4,36.0
47.75,284.7,336.7,310.7,36.7
48.0,288.3,336.5,312.4,34.1
48.25,285.1,332.1,308.6,33.2
48.5,289.2,335.5,312.4,32.7
48.75,286.2,342.7,314.4,40.0
49.0,287.3,335.5,311.4,34.1
49.25,287.3,332.4,309.8,31.9
49.5,290.0,341.3,315.6,36.2
49.75,289.2,342.5,315.9,37.7
50.0,287.7,340.0,313.8,37.0
50.25,279.8,347.7,313.8,48.0
50.5,290.1,337.3,313.7,33.4
50.75,282.4,344.3,313.4,43.8
51.0,290.2,343.3,316.7,37.6
51.25,287.9,344.5,316.2,40.0
51.5,281.1,349.0,315.1,48.0
51.75,288.0,345.1,316.6,40.3
52.0,280.1,349.7,314.9,49.2
52.25,280.4,342.5,311.4,43.9
52.5,274.8,337.8,306.3,44.5
52.75,289.2,350.7,319.9,43.5
53.0,284.5,352.4,318.4,48.1
53.25,280.2,345.9,313.1,46.4
53.5,288.5,359.3,323.9,50.1
53.75,280.3,356.2,318.3,53.7
54.0,274.2,361.4,317.8,61.7
54.25,286.3,350.3,318.3,45.3
54.5,280.8,362.5,321.7,57.8
54.75,282.9,360.1,321.5,54.6
55.0,280.4,361.2,320.8,57.1
55.25,281.3,364.5,322.9,58.8
55.5,278.8,364.9,321.8,60.9
55.75,274.6,355.2,314.9,57.0
56.0,271.6,375.9,323.7,73.7
56.25,283.6,365.4,324.5,57.9
56.5,281.6,372.5,327.1,64.3
56.75,273.1,372.3,322.7,70.1
57.0,278.0,377.0,327.5,70.0
57.25,273.8,372.5,323.1,69.8
57.5,277.5,372.1,324.8,66.9
57.75,283.2,365.4,324.3,58.1
58.0,282.1,368.1,325.1,60.8
58.25,279.8,365.9,322.8,60.9
58.5,281.8,364.2,323.0,58.3
58.75,285.2,358.0,321.6,51.5
59.0,282.8,371.1,327.0,62.5
59.25,282.5,364.8,323.7,58.2
59.5,274.1,365.8,320.0,64.8
59.75,278.9,359.7,319.3,57.1
60.0,280.2,350.3,315.2,49.6
60.25,282.9,355.5,319.2,51.3
60.5,286.0,353.8,319.9,48.0
60.75,277.4,355.0,316.2,54.9
61.0,275.1,354.1,314.6,55.8
61.25,284.2,352.5,318.3,48.3
61.5,278.7,341.9,310.3,44.7
61.75,287.0,349.2,318.1,44.0
62.0,277.2,348.2,312.7,50.2
62.25,277.4,342.0,309.7,45.7
62.5,283.4,341.0,312.2,40.7
62.75,283.9,349.7,316.8,46.5
63.0,278.1,352.6,315.4,52.7
63.25,279.8,342.0,310.9,44.0
63.5,283.0,338.4,310.7,39.2
63.75,281.1,339.2,310.1,41.1
64.0,287.4,342.9,315.1,39.2
64.25,279.4,339.1,309.2,42.3
64.5,283.5,339.0,311.3,39.3
64.75,284.3,345.9,315.1,43.5
65.0,279.5,347.8,313.6,48.3
65.25,284.1,351.0,317.5,47.3
65.5,282.0,343.0,312.5,43.1
65.75,283.5,348.1,315.8,45.7
66.0,283.5,341.9,312.7,41.3
66.25,285.0,343.7,314.4,41.5
66.5,279.7,346.2,313.0,47.0
66.75,278.1,348.9,313.5,50.0
67.0,285.1,348.2,316.6,44.6
67.25,285.1,348.4,316.8,44.8
67.5,290.1,353.8,321.9,45.0
67.75,287.2,353.2,320.2,46.7
68.0,278.8,354.3,316.6,53.3
68.25,286.8,362.7,324.8,53.7
68.5,284.8,358.9,321.9,52.4
68.75,290.2,362.2,326.2,50.9
69.0,287.2,357.8,322.5,49.9
69.25,289.2,358.5,323.9,49.0
69.5,281.5,363.8,322.7,58.1
69.75,288.2,356.4,322.3,48.3
70.0,286.1,358.6,322.4,51.3
70.25,277.4,352.0,314.7,52.8
70.5,289.6,361.0,325.3,50.5
70.75,288.5,366.9,327.7,55.4
71.0,281.8,367.5,324.6,60.6
71.25,281.9,366.4,324.2,59.8
71.5,282.5,362.4,322.5,56.5
71.75,287.7,363.5,325.6,53.6
72.0,291.6,363.4,327.5,50.7
72.25,287.8,357.1,322.4,49.0
72.5,291.2,366.3,328.8,53.1
72.75,292.7,359.2,325.9,47.0
73.0,294.5,361.4,327.9,47.3
73.25,285.4,354.0,319.7,48.5
73.5,289.7,365.3,327.5,53.5
73.75,290.6,356.8,323.7,46.8
74.0,293.3,357.7,325.5,45.6
74.25,291.4,355.6,323.5,45.4
74.5,288.7,359.6,324.2,50.2
74.75,285.9,353.5,319.7,47.8
75.0,292.0,355.3,323.7,44.7
75.25,289.9,354.3,322.1,45.5
75.5,288.6,354.7,321.6,46.7
75.75,292.4,357.0,324.7,45.7
76.0,288.2,349.7,318.9,43.5
76.25,293.4,353.6,323.5,42.6
76.5,288.7,349.4,319.0,42.9
76.75,292.6,346.2,319.4,38.0
77.0,293.7,340.9,317.3,33.3
77.25,289.2,340.8,315.0,36.5
77.5,284.6,340.1,312.4,39.3
77.75,281.8,337.9,309.8,39.7
78.0,284.2,347.1,315.7,44.5
78.25,282.8,337.4,310.1,38.6
78.5,287.6,333.0,310.3,32.0
78.75,285.2,336.3,310.8,36.1
79.0,283.3,331.3,307.3,33.9
79.25,282.8,329.7,306.2,33.2
79.5,282.7,329.2,305.9,32.8
79.75,280.6,318.8,299.7,27.1
80.0,284.1,324.7,304.4,28.7
80.25,277.9,316.8,297.4,27.5
80.5,279.7,318.6,299.1,27.5
80.75,275.5,314.8,295.2,27.8
81.0,282.5,305.6,294.1,16.3
81.25,277.7,308.2,292.9,21.6
81.5,281.3,299.8,290.6,13.1
81.75,275.4,298.7,287.0,16.5
82.0,279.7,294.8,287.3,10.7
82.25,275.0,293.0,284.0,12.7
82.5,280.0,298.3,289.1,12.9
82.75,275.6,292.7,284.2,12.0
83.0,279.7,283.5,281.6,2.7
83.25,272.1,287.9,280.0,11.2
83.5,278.4,281.8,280.1,2.4
83.75,278.1,283.1,280.6,3.6
84.0,273.4,283.1,278.2,6.9
84.25,274.1,279.4,276.7,3.8
84.5,275.6,276.7,276.1,0.8
84.75,276.6,277.6,277.1,0.7
85.0,271.6,278.3,275.0,4.8
85.25,278.3,274.3,276.3,2.8
85.5,269.0,271.9,270.4,2.0
85.75,274.7,274.5,274.6,0.1
86.0,274.2,270.9,272.5,2.3
86.25,278.0,266.7,272.4,8.0
86.5,272.5,271.5,272.0,0.7
86.75,274.4,262.8,268.6,8.2
87.0,272.8,257.8,265.3,10.6
87.25,271.3,254.3,262.8,12.0
87.5,276.6,255.2,265.9,15.2
87.75,272.5,250.9,261.7,15.3
88.0,270.0,249.0,259.5,14.8
88.25,278.8,239.3,259.0,27.9
88.5,271.9,240.1,256.0,22.5
88.75,272.6,231.7,252.2,28.9
89.0,272.0,234.0,253.0,26.9
89.25,270.3,231.0,250.6,27.8
89.5,267.4,221.9,244.7,32.2
89.75,264.9,225.1,245.0,28.1
90.0,267.9,216.2,242.0,36.6
90.25,267.5,,267.5,
90.5,264.4,,264.4,
90.75,262.6,,262.6,
91.0,268.5,,268.5,
91.25,264.5,,264.5,
