Time after Ignition,Polyisocyanurate_Spray_Foam_Insulation_R1,Polyisocyanurate_Spray_Foam_Insulation_R2,Mean,Std. Dev.
14.25,154.7,109.6,132.2,31.9
14.5,160.4,123.4,141.9,26.2
14.75,171.3,133.2,152.3,26.9
15.0,192.1,148.3,170.2,30.9
15.25,195.8,158.5,177.1,26.4
15.5,205.4,167.4,186.4,26.9
15.75,219.4,177.3,198.3,29.8
16.0,231.2,196.1,213.7,24.8
16.25,243.9,208.1,226.0,25.4
16.5,248.9,218.2,233.5,21.7
16.75,275.9,233.9,254.9,29.7
17.0,267.3,240.4,253.8,19.0
17.25,285.7,257.6,271.6,19.9
17.5,297.2,264.8,281.0,22.9
17.75,304.9,276.7,290.8,20.0
18.0,306.5,282.0,294.3,17.3
18.25,329.2,297.6,313.4,22.4
18.5,334.4,311.4,322.9,16.2
18.75,340.4,306.3,323.3,24.1
19.0,350.3,325.5,337.9,17.6
19.25,355.1,340.4,347.7,10.4
19.5,362.8,341.0,351.9,15.5
19.75,359.6,340.0,349.8,13.9
20.0,372.4,346.7,359.5,18.1
20.25,375.4,369.8,372.6,4.0
20.5,380.2,384.9,382.5,3.3
20.75,396.4,382.1,389.2,10.1
21.0,398.3,398.7,398.5,0.3
21.25,397.6,408.6,403.1,7.8
21.5,403.2,400.9,402.1,1.6
21.75,414.4,408.4,411.4,4.3
22.0,416.8,407.8,412.3,6.4
22.25,403.8,425.4,414.6,15.3
22.5,416.0,434.6,425.3,13.1
22.75,432.0,439.6,435.8,5.4
23.0,423.6,436.1,429.9,8.8
23.25,424.9,441.7,433.3,11.8
23.5,450.3,447.7,449.0,1.9
23.75,438.6,460.9,449.8,15.8
24.0,441.2,458.1,449.7,12.0
24.25,447.4,465.1,456.2,12.6
24.5,447.4,457.6,452.5,7.2
24.75,450.3,478.8,464.6,20.2
25.0,432.8,486.3,459.5,37.8
25.25,455.2,482.1,468.6,19.0
25.5,440.9,483.4,462.2,30.0
25.75,441.0,474.0,457.5,23.3
26.0,445.3,493.1,469.2,33.8
26.25,463.4,498.5,480.9,24.8
26.5,444.9,476.3,460.6,22.2
26.75,454.7,488.5,471.6,23.9
27.0,460.7,504.6,482.7,31.1
27.25,447.0,483.7,465.3,25.9
27.5,463.5,496.0,479.7,23.0
27.75,462.0,505.2,483.6,30.6
28.0,463.7,506.1,484.9,30.0
28.25,464.5,516.1,490.3,36.5
28.5,460.4,501.2,480.8,28.8
28.75,465.4,493.8,479.6,20.0
29.0,447.7,486.5,467.1,27.5
29.25,456.8,497.8,477.3,29.0
29.5,454.9,499.4,477.2,31.5
29.75,451.3,491.7,471.5,28.6
30.0,468.1,508.0,488.0,28.2
30.25,455.4,487.1,471.2,22.4
30.5,459.0,506.5,482.7,33.6
30.75,452.3,503.1,477.7,36.0
31.0,464.0,498.9,481.4,24.7
31.25,457.6,500.6,479.1,30.4
31.5,471.3,508.5,489.9,26.3
31.75,447.0,514.6,480.8,47.8
32.0,457.8,497.7,477.7,28.2
32.25,465.0,501.5,483.2,25.7
32.5,462.5,500.2,481.3,26.6
32.75,444.5,503.3,473.9,41.6
33.0,442.6,519.0,480.8,54.0
33.25,443.4,505.8,474.6,44.1
33.5,455.1,523.0,489.1,48.0
33.75,458.1,516.0,487.0,41.0
34.0,442.2,508.5,475.4,46.8
34.25,447.0,502.8,474.9,39.5
34.5,470.3,518.4,494.4,34.0
34.75,445.1,503.9,474.5,41.6
35.0,453.9,495.1,474.5,29.1
35.25,446.4,508.1,477.2,43.7
35.5,445.8,525.8,485.8,56.6
35.75,437.0,518.2,477.6,57.4
36.0,446.9,514.2,480.5,47.6
36.25,453.1,529.3,491.2,53.8
36.5,441.7,513.5,477.6,50.8
36.75,437.9,490.5,464.2,37.2
37.0,456.1,513.3,484.7,40.4
37.25,448.5,506.7,477.6,41.2
37.5,433.7,495.6,464.6,43.7
37.75,423.3,505.8,464.6,58.4
38.0,438.3,515.9,477.1,54.9
38.25,428.2,496.7,462.4,48.4
38.5,436.5,500.2,468.3,45.0
38.75,435.0,495.3,465.2,42.7
39.0,443.5,508.9,476.2,46.2
39.25,442.9,497.3,470.1,38.5
39.5,441.1,495.8,468.5,38.7
39.75,436.3,498.8,467.6,44.2
40.0,430.4,498.2,464.3,47.9
40.25,433.0,513.4,473.2,56.9
40.5,432.2,494.7,463.5,44.2
40.75,439.5,506.1,472.8,47.1
41.0,443.7,507.2,475.5,44.9
41.25,450.9,487.8,469.3,26.1
41.5,440.9,487.3,464.1,32.8
41.75,457.3,498.3,477.8,29.0
42.0,432.2,494.5,463.3,44.1
42.25,434.7,501.0,467.8,46.9
42.5,444.3,494.0,469.2,35.1
42.75,433.7,495.9,464.8,44.0
43.0,435.5,479.1,457.3,30.8
43.25,432.9,494.2,463.5,43.3
43.5,435.7,492.2,463.9,39.9
43.75,436.1,484.1,460.1,33.9
44.0,440.3,486.9,463.6,32.9
44.25,439.3,500.0,469.7,42.9
44.5,441.0,487.8,464.4,33.1
44.75,453.7,490.0,471.9,25.6
45.0,446.9,488.4,467.6,29.3
45.25,448.3,473.2,460.8,17.6
45.5,438.6,487.0,462.8,34.2
45.75,447.4,475.3,461.3,19.7
46.0,458.8,471.0,464.9,8.6
46.25,451.7,486.3,469.0,24.5
46.5,451.9,474.6,463.3,16.0
46.75,457.7,480.6,469.1,16.2
47.0,465.0,476.8,470.9,8.3
47.25,457.1,464.3,460.7,5.1
47.5,456.9,470.1,463.5,9.3
47.75,458.4,474.1,466.2,11.0
48.0,465.0,471.2,468.1,4.4
48.25,459.9,480.6,470.3,14.6
48.5,464.8,464.5,464.6,0.2
48.75,462.0,463.1,462.5,0.7
49.0,461.5,471.1,466.3,6.8
49.25,462.4,465.2,463.8,2.0
49.5,472.2,465.4,468.8,4.7
49.75,464.8,461.2,463.0,2.5
50.0,464.1,468.6,466.3,3.2
50.25,470.2,464.8,467.5,3.8
50.5,473.3,469.8,471.6,2.5
50.75,478.5,459.0,468.7,13.8
51.0,473.4,462.5,468.0,7.8
51.25,483.8,474.3,479.0,6.7
51.5,483.2,468.3,475.8,10.5
51.75,465.2,462.4,463.8,1.9
52.0,474.9,462.4,468.6,8.9
52.25,467.0,462.4,464.7,3.2
52.5,466.2,461.2,463.7,3.5
52.75,463.8,460.0,461.9,2.7
53.0,468.6,464.6,466.6,2.8
53.25,463.9,462.8,463.4,0.7
53.5,458.9,457.8,458.4,0.8
53.75,457.5,465.9,461.7,5.9
54.0,460.7,449.8,455.2,7.7
54.25,453.9,464.6,459.2,7.6
54.5,454.9,458.9,456.9,2.9
54.75,448.0,447.5,447.8,0.4
55.0,455.6,457.4,456.5,1.3
55.25,457.6,462.0,459.8,3.1
55.5,456.3,456.9,456.6,0.4
55.75,450.2,447.1,448.6,2.2
56.0,458.3,446.3,452.3,8.4
56.25,451.6,446.5,449.1,3.6
56.5,452.8,446.9,449.8,4.2
56.75,458.5,444.7,451.6,9.8
57.0,450.1,446.0,448.1,2.8
57.25,457.4,441.7,449.5,11.0
57.5,450.0,441.7,445.8,5.9
57.75,447.2,440.8,444.0,4.5
58.0,445.8,439.3,442.5,4.6
58.25,442.1,435.4,438.7,4.8
58.5,435.9,421.4,428.6,10.3
58.75,433.8,434.2,434.0,0.2
59.0,427.3,425.0,426.2,1.7
59.25,424.9,428.9,426.9,2.8
59.5,424.5,419.3,421.9,3.7
59.75,414.8,407.1,411.0,5.4
60.0,402.9,425.7,414.3,16.1
60.25,401.1,420.4,410.7,13.6
60.5,389.9,420.4,405.2,21.6
60.75,389.5,415.4,402.5,18.3
61.0,382.8,414.4,398.6,22.4
61.25,378.7,407.4,393.1,20.3
61.5,369.4,402.0,385.7,23.0
61.75,360.4,404.0,382.2,30.8
62.0,363.2,409.7,386.5,32.9
62.25,359.8,408.3,384.1,34.3
62.5,348.5,404.7,376.6,39.8
62.75,340.7,410.9,375.8,49.6
63.0,334.5,404.3,369.4,49.3
63.25,330.1,412.1,371.1,58.0
63.5,324.7,404.1,364.4,56.1
63.75,324.2,404.0,364.1,56.4
64.0,311.6,403.2,357.4,64.8
64.25,311.5,397.8,354.7,61.0
64.5,302.8,401.7,352.2,69.9
64.75,297.2,393.4,345.3,68.0
65.0,287.6,393.7,340.7,75.1
65.25,287.7,388.4,338.0,71.2
65.5,278.1,391.3,334.7,80.1
65.75,276.0,385.5,330.8,77.4
66.0,268.0,386.5,327.2,83.8
66.25,259.3,386.8,323.1,90.2
66.5,254.5,389.7,322.1,95.6
66.75,249.1,384.2,316.6,95.5
67.0,243.0,381.3,312.2,97.8
67.25,238.8,375.4,307.1,96.6
67.5,233.1,374.8,304.0,100.2
67.75,229.8,373.6,301.7,101.7
68.0,223.4,369.8,296.6,103.5
