Time after Ignition,Rebond_Foam_Carpet_Pad_R1,Rebond_Foam_Carpet_Pad_R2,Rebond_Foam_Carpet_Pad_R3,Mean,Std. Dev.
11.5,603.1,549.7,574.4,575.8,26.7
11.75,621.0,534.5,577.1,577.6,43.3
12.0,624.0,593.7,601.7,606.5,15.7
12.25,638.6,599.8,635.0,624.4,21.4
12.5,655.6,561.5,626.9,614.7,48.2
12.75,680.0,579.8,616.7,625.5,50.7
13.0,678.7,597.3,644.7,640.2,40.9
13.25,687.2,631.3,665.0,661.2,28.1
13.5,718.8,618.6,661.1,666.2,50.3
13.75,682.1,697.0,689.2,689.4,7.5
14.0,734.5,688.7,731.2,718.1,25.5
14.25,750.5,721.3,742.8,738.2,15.1
14.5,724.5,713.3,709.9,715.9,7.6
14.75,760.6,756.6,763.9,760.4,3.7
15.0,786.2,746.3,763.6,765.4,20.0
15.25,795.3,793.7,836.4,808.5,24.2
15.5,862.5,870.0,763.0,831.8,59.7
15.75,822.3,844.8,856.2,841.1,17.3
16.0,900.3,980.3,815.7,898.8,82.3
16.25,882.5,892.2,860.8,878.5,16.1
16.5,894.1,913.9,976.3,928.1,42.9
16.75,1025.2,961.8,972.6,986.6,33.9
17.0,1002.6,1031.6,920.9,985.0,57.4
17.25,1083.6,1030.1,1029.9,1047.9,30.9
17.5,940.7,1187.7,1042.7,1057.1,124.1
17.75,980.9,1234.5,1083.5,1099.7,127.5
18.0,1104.8,1319.5,1009.7,1144.7,158.7
18.25,1110.0,1259.3,1167.4,1178.9,75.3
18.5,1212.4,1210.2,1163.3,1195.3,27.7
18.75,1399.7,1300.1,1016.3,1238.7,198.9
19.0,1173.2,1179.5,1126.7,1159.8,28.9
19.25,1311.4,1352.2,1217.5,1293.7,69.1
19.5,1233.5,1439.7,1179.7,1284.3,137.2
19.75,1383.3,1371.6,1250.7,1335.2,73.4
20.0,1305.6,1411.2,1247.5,1321.4,83.0
20.25,1448.0,1278.4,1194.9,1307.1,129.0
20.5,1506.2,1399.0,1259.8,1388.3,123.5
20.75,1413.7,1509.3,1307.7,1410.3,100.8
21.0,1348.5,1413.7,1334.5,1365.5,42.3
21.25,1605.1,1571.1,1331.8,1502.7,149.0
21.5,1539.0,1474.0,1387.4,1466.8,76.0
21.75,1391.0,1431.4,1392.6,1405.0,22.9
22.0,1358.7,1517.8,1384.0,1420.1,85.5
22.25,1529.1,1605.4,1497.7,1544.1,55.4
22.5,1522.8,1504.2,1508.5,1511.9,9.7
22.75,1598.5,1538.7,1599.7,1579.0,34.9
23.0,1586.3,1555.2,1566.9,1569.5,15.7
23.25,1619.8,1589.1,1587.3,1598.7,18.2
23.5,1618.6,1559.3,1629.5,1602.5,37.8
23.75,1725.4,1486.5,1620.8,1610.9,119.8
24.0,1649.0,1542.1,1539.3,1576.8,62.5
24.25,1680.6,1582.2,1575.2,1612.7,58.9
24.5,1769.3,1497.5,1545.8,1604.2,145.0
24.75,1748.3,1544.2,1482.3,1591.6,139.2
25.0,1707.3,1504.6,1527.1,1579.6,111.1
25.25,1647.4,1457.5,1502.9,1535.9,99.2
25.5,1702.5,1385.6,1562.6,1550.2,158.8
25.75,1726.8,1344.1,1486.5,1519.2,193.4
26.0,1723.3,1334.2,1440.6,1499.4,201.1
26.25,1652.4,1261.7,1426.1,1446.7,196.1
26.5,1613.5,1219.5,1413.6,1415.5,197.0
26.75,1551.5,1149.9,1389.1,1363.5,202.0
27.0,1504.2,1114.6,1381.0,1333.3,199.2
27.25,1473.7,1060.7,1386.7,1307.0,217.7
27.5,1431.5,1029.2,1341.9,1267.5,211.2
27.75,1358.7,953.4,1295.1,1202.4,218.0
28.0,1308.6,921.0,1269.9,1166.5,213.5
28.25,1239.8,907.9,1233.9,1127.2,189.9
28.5,1196.6,852.8,1192.5,1080.6,197.3
28.75,1140.4,815.7,1150.9,1035.7,190.6
29.0,1063.1,781.4,1113.6,986.1,179.0
29.25,1016.1,742.2,1047.9,935.4,168.1
29.5,965.0,721.3,972.6,886.3,143.0
29.75,909.6,675.7,947.2,844.1,147.1
30.0,861.6,635.2,903.2,800.0,144.2
30.25,813.9,610.5,849.7,758.0,129.0
30.5,765.8,582.4,788.6,712.3,113.1
30.75,720.7,561.8,747.1,676.5,100.3
31.0,674.4,547.5,711.3,644.4,85.9
31.25,629.9,519.2,646.9,598.7,69.4
31.5,593.6,500.9,615.5,570.0,60.8
31.75,555.7,481.8,580.2,539.2,51.2
32.0,521.0,459.6,538.5,506.4,41.4
32.25,493.2,424.5,512.6,476.8,46.3
32.5,465.3,408.5,483.3,452.4,39.0
32.75,438.4,386.5,442.5,422.4,31.2
33.0,411.1,373.3,423.2,402.6,26.0
33.25,378.9,352.6,396.0,375.8,21.8
33.5,361.3,333.5,379.6,358.2,23.2
33.75,343.1,321.7,353.6,339.5,16.3
34.0,322.7,298.6,329.9,317.1,16.4
34.25,301.3,282.2,309.1,297.5,13.9
34.5,304.9,270.9,292.3,289.4,17.2
34.75,287.3,256.7,,272.0,21.6
35.0,272.7,237.9,,255.3,24.6
35.25,256.8,228.1,,242.4,20.3
35.5,240.7,218.1,,229.4,16.0
35.75,228.4,207.0,,217.7,15.1
36.0,218.4,196.4,,207.4,15.5
36.25,204.6,185.1,,194.8,13.8
36.5,192.6,176.5,,184.6,11.4
36.75,184.2,167.6,,175.9,11.7
37.0,175.5,159.7,,167.6,11.2
37.25,166.1,,,166.1,
37.5,154.2,,,154.2,
37.75,149.5,,,149.5,
38.0,139.3,,,139.3,
38.25,133.7,,,133.7,
38.5,127.4,,,127.4,
