Names,Rebond_Foam_Carpet_Pad_R1,Rebond_Foam_Carpet_Pad_R2,Rebond_Foam_Carpet_Pad_R3,Mean,Std. Dev.
130,350.8,431.7,367.1,383.2,42.8
131,350.4,432.8,383.0,388.7,41.5
132,356.3,452.5,372.3,393.7,51.5
133,369.0,465.7,384.1,406.3,52.0
134,355.9,456.0,382.0,397.9,51.9
135,376.3,475.3,388.3,413.3,54.0
136,367.6,486.4,407.3,420.4,60.5
137,382.3,481.6,399.3,421.1,53.2
138,389.5,506.0,409.4,435.0,62.3
139,404.1,529.2,414.6,449.3,69.4
140,397.1,518.2,429.5,448.3,62.7
141,401.1,536.7,416.9,451.6,74.2
142,418.0,542.3,440.3,466.9,66.3
143,427.1,542.1,454.3,474.5,60.1
144,418.9,574.0,432.0,475.0,86.0
145,434.1,569.5,456.0,486.5,72.7
146,437.3,579.3,457.7,491.5,76.8
147,453.1,605.5,480.0,512.9,81.4
148,458.0,582.7,475.7,505.5,67.4
149,453.7,618.1,482.5,518.1,87.8
150,468.0,582.7,486.9,512.5,61.5
151,460.3,644.2,490.0,531.5,98.7
152,481.2,641.8,525.6,549.5,82.9
153,486.8,656.0,501.2,548.0,93.9
154,486.3,656.1,537.5,560.0,87.1
155,479.7,664.9,553.4,566.0,93.3
156,494.0,654.5,537.1,561.9,83.0
157,506.0,650.7,557.7,571.5,73.4
158,522.1,641.9,548.1,570.7,63.0
159,508.5,676.8,594.8,593.4,84.2
160,519.1,695.8,556.1,590.3,93.2
161,520.7,675.9,582.5,593.0,78.2
162,529.0,718.5,585.8,611.1,97.3
163,539.2,679.4,588.8,602.5,71.1
164,535.6,731.9,578.5,615.3,103.2
165,536.2,680.7,598.8,605.3,72.5
166,534.3,715.5,620.2,623.3,90.6
167,565.6,726.0,613.4,635.0,82.4
168,544.8,730.1,599.3,624.7,95.2
169,564.3,749.7,599.4,637.8,98.5
170,582.8,718.7,653.9,651.8,68.0
171,563.2,742.5,616.7,640.8,92.1
172,558.3,745.1,634.7,646.0,93.9
173,574.3,724.3,633.3,644.0,75.6
174,587.2,742.5,639.2,656.3,79.0
175,597.7,718.8,650.2,655.6,60.7
176,588.6,713.7,647.1,649.8,62.6
177,583.7,752.3,652.7,662.9,84.8
178,614.5,763.1,652.9,676.8,77.2
179,619.7,733.1,685.4,679.4,56.9
180,637.6,738.0,660.6,678.7,52.6
181,620.6,739.6,671.2,677.1,59.7
182,658.2,748.6,664.2,690.3,50.6
183,651.0,769.1,669.2,696.5,63.6
184,641.3,730.7,686.8,686.2,44.7
185,639.3,722.5,699.1,687.0,42.9
186,626.0,763.2,679.2,689.5,69.2
187,641.2,774.3,687.9,701.2,67.5
188,649.7,756.8,662.2,689.6,58.6
189,659.4,751.5,650.0,687.0,56.1
190,641.5,762.2,696.0,699.9,60.4
191,639.3,747.2,675.7,687.4,54.9
192,666.0,763.3,684.8,704.7,51.6
193,660.5,711.1,693.0,688.2,25.6
194,664.6,741.2,705.6,703.8,38.3
195,664.8,732.4,707.2,701.5,34.2
196,650.7,742.0,688.0,693.5,45.9
197,666.2,727.3,706.0,699.9,31.0
198,665.1,728.8,676.9,690.3,33.9
199,682.3,751.7,688.5,707.5,38.4
200,654.4,754.0,694.1,700.8,50.1
201,653.4,714.2,677.1,681.6,30.7
202,650.1,703.3,699.7,684.4,29.8
203,642.2,734.7,669.6,682.2,47.5
204,650.4,735.7,680.4,688.8,43.3
205,643.8,727.9,669.7,680.5,43.1
206,648.2,730.1,662.2,680.2,43.8
207,636.5,706.2,673.9,672.2,34.8
208,653.5,714.4,656.9,674.9,34.2
209,647.0,710.5,628.8,662.1,42.9
210,613.6,711.2,662.8,662.6,48.8
211,647.9,714.6,652.4,671.6,37.3
212,633.8,680.4,627.0,647.1,29.1
213,605.5,710.1,629.0,648.2,54.9
214,601.6,690.1,615.7,635.8,47.6
215,601.9,688.9,599.4,630.1,51.0
216,585.7,679.5,607.6,624.3,49.0
217,589.6,686.0,599.3,624.9,53.1
218,584.1,670.2,599.2,617.8,46.0
219,588.0,658.1,567.5,604.5,47.5
220,559.6,651.0,566.8,592.5,50.8
221,562.7,650.9,556.7,590.1,52.7
222,547.6,637.6,578.4,587.8,45.7
223,551.2,635.3,551.4,579.3,48.5
224,539.4,640.5,544.6,574.8,56.9
225,545.3,634.5,531.5,570.4,55.9
226,529.7,621.6,524.1,558.5,54.8
227,520.9,590.2,505.0,538.7,45.3
228,507.0,586.1,510.7,534.6,44.6
229,515.2,604.3,486.8,535.4,61.3
230,495.4,580.1,477.4,517.6,54.8
231,489.3,549.6,471.3,503.4,41.0
232,482.0,557.8,460.0,499.9,51.3
233,486.1,546.4,442.0,491.5,52.4
234,476.3,542.0,444.0,487.4,50.0
235,453.7,538.6,434.5,475.6,55.4
236,449.6,522.2,414.5,462.1,54.9
237,444.2,503.4,411.7,453.1,46.5
238,443.5,493.8,392.5,443.2,50.6
239,427.8,480.1,379.2,429.0,50.5
240,411.4,465.3,374.1,416.9,45.9
241,407.7,449.1,353.5,403.4,48.0
242,401.1,438.0,348.1,395.7,45.2
243,386.0,426.1,341.1,384.4,42.5
244,375.8,413.3,328.9,372.7,42.3
245,370.5,406.4,313.8,363.6,46.7
246,360.6,393.8,304.4,352.9,45.2
247,354.1,389.0,296.5,346.5,46.7
248,346.6,372.8,290.0,336.4,42.3
249,343.8,355.8,278.9,326.2,41.4
250,337.2,345.6,269.6,317.5,41.7
251,329.5,334.2,258.8,307.5,42.3
252,322.7,322.4,245.7,296.9,44.4
253,318.6,313.3,240.1,290.7,43.9
254,306.1,299.3,232.2,279.2,40.8
255,306.9,285.7,221.5,271.4,44.5
256,290.5,272.8,212.7,258.6,40.8
257,288.8,257.0,205.6,250.5,42.0
258,276.2,246.6,196.7,239.8,40.2
259,273.2,237.2,185.9,232.1,43.9
260,260.0,223.0,176.3,219.7,41.9
261,254.4,212.3,170.8,212.5,41.8
262,247.3,201.3,163.5,204.0,42.0
263,238.1,189.2,154.4,193.9,42.0
264,230.1,180.7,145.7,185.5,42.4
265,224.0,171.3,139.6,178.3,42.6
266,219.2,160.3,131.9,170.5,44.5
267,206.6,152.5,126.2,161.8,41.0
268,199.3,145.3,118.0,154.2,41.4
269,190.3,137.6,112.9,146.9,39.6
270,182.8,129.7,107.0,139.8,38.9
271,174.0,123.1,103.4,133.5,36.4
272,167.1,113.5,98.6,126.4,36.0
273,158.7,108.8,94.0,120.5,33.9
274,153.7,102.1,89.8,115.2,33.9
275,148.6,98.0,85.2,110.6,33.5
276,141.8,94.1,81.6,105.8,31.7
277,136.2,87.4,80.1,101.2,30.5
278,128.1,82.6,76.9,95.9,28.1
279,125.1,79.6,72.9,92.5,28.4
280,119.9,,71.3,95.6,34.3
281,113.1,,66.6,89.9,32.9
282,107.5,,64.6,86.0,30.3
283,103.6,,62.2,82.9,29.2
284,98.8,,60.0,79.4,27.4
285,93.3,,58.5,75.9,24.6
286,88.6,,56.6,72.6,22.6
287,83.7,,53.0,68.4,21.7
288,80.4,,52.6,66.5,19.6
289,76.5,,49.9,63.2,18.8
290,73.3,,48.5,60.9,17.6
291,69.3,,47.0,58.1,15.8
292,66.0,,45.1,55.5,14.8
293,62.2,,43.3,52.8,13.3
294,62.8,,41.7,52.2,14.9
295,59.4,,40.1,49.7,13.7
296,56.4,,37.8,47.1,13.2
297,52.3,,36.3,44.3,11.3
298,49.8,,34.5,42.2,10.8
299,48.6,,33.2,40.9,10.9
300,46.0,,32.5,39.3,9.6
301,43.5,,31.1,37.3,8.8
302,41.8,,29.7,35.8,8.5
303,39.6,,28.3,33.9,7.9
304,38.7,,28.0,33.4,7.6
305,37.0,,26.7,31.8,7.3
306,35.3,,25.5,30.4,6.9
307,34.1,,24.5,29.3,6.7
308,33.3,,23.5,28.4,7.0
309,31.9,,22.5,27.2,6.6
310,30.7,,,30.7,
311,29.5,,,29.5,
312,28.2,,,28.2,
313,27.5,,,27.5,
314,26.5,,,26.5,
315,25.2,,,25.2,
316,24.6,,,24.6,
317,23.9,,,23.9,
318,22.9,,,22.9,
319,22.1,,,22.1,
320,21.3,,,21.3,
321,20.2,,,20.2,
322,19.8,,,19.8,
323,18.9,,,18.9,
